Orthogroup	CAPO3	HELIO_ok
OG0000043	CAPO308256	HELIO_04067, HELIO_00563
OG0000048	CAPO305301	HELIO_10223
OG0000048	CAPO306877	HELIO_00288, HELIO_00660, HELIO_12560, HELIO_10706
OG0000048	CAPO304823	HELIO_05605
OG0000049	CAPO304018	HELIO_02366, HELIO_10175, HELIO_12356, HELIO_11403
OG0000051	CAPO307809, CAPO301249	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844, HELIO_11965, HELIO_05090, HELIO_05789
OG0000053	CAPO302193	HELIO_06044
OG0000054	CAPO303213, CAPO305653	HELIO_03625, HELIO_05561
OG0000054	CAPO302015	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	CAPO305974, CAPO306012, CAPO306941	HELIO_02100, HELIO_05303, HELIO_03513, HELIO_09232, HELIO_07150, HELIO_07638, HELIO_00064, HELIO_07637
OG0000058	CAPO305595	HELIO_04784
OG0000060	CAPO305373	HELIO_02035, HELIO_11213, HELIO_01698, HELIO_08930, HELIO_10260, HELIO_12113
OG0000062	CAPO300910	HELIO_01760, HELIO_09809, HELIO_08709, HELIO_06316, HELIO_06187, HELIO_08446, HELIO_09104
OG0000063	CAPO300270	HELIO_10147, HELIO_12629, HELIO_04719, HELIO_12335, HELIO_11425, HELIO_12062, HELIO_05484, HELIO_08778, HELIO_04019, HELIO_04155
OG0000066	CAPO308057	HELIO_02871, HELIO_08302, HELIO_11387, HELIO_05268
OG0000069	CAPO302182	HELIO_11698
OG0000069	CAPO301523, CAPO305173	HELIO_03190
OG0000079	CAPO302518	HELIO_01744, HELIO_07509
OG0000082	CAPO304738	HELIO_12249
OG0000082	CAPO306626	HELIO_08556
OG0000082	CAPO300843	HELIO_06503, HELIO_04026, HELIO_02219
OG0000085	CAPO303061	HELIO_02405
OG0000085	CAPO303047	HELIO_05344, HELIO_08642, HELIO_11582
OG0000089	CAPO300386, CAPO300810, CAPO302098	HELIO_06389, HELIO_03526, HELIO_07518, HELIO_10304, HELIO_06684, HELIO_10658, HELIO_05968, HELIO_04877, HELIO_00224, HELIO_05928
OG0000090	CAPO304460, CAPO304458, CAPO303991	HELIO_04390
OG0000091	CAPO301134	HELIO_06734, HELIO_05437, HELIO_01871, HELIO_05996, HELIO_06609
OG0000095	CAPO301288, CAPO306046	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874
OG0000096	CAPO301431	HELIO_03681
OG0000096	CAPO307955	HELIO_03321
OG0000096	CAPO307522	HELIO_06897
OG0000096	CAPO300294	HELIO_03947
OG0000096	CAPO307017	HELIO_09595
OG0000101	CAPO306858	HELIO_03317, HELIO_11521, HELIO_06274, HELIO_11624, HELIO_06876
OG0000103	CAPO302453	HELIO_03996, HELIO_12543
OG0000106	CAPO300017	HELIO_02364, HELIO_07474, HELIO_05614, HELIO_10877
OG0000110	CAPO300387	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191, HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452
OG0000116	CAPO305622	HELIO_08217, HELIO_10553
OG0000119	CAPO304642	HELIO_09291, HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015, HELIO_08423, HELIO_01329
OG0000122	CAPO307824	HELIO_03986, HELIO_09221, HELIO_00601, HELIO_11330, HELIO_07753
OG0000124	CAPO304324	HELIO_07531
OG0000126	CAPO302484	HELIO_05678
OG0000126	CAPO306676	HELIO_07534
OG0000126	CAPO300572	HELIO_02617, HELIO_12717
OG0000128	CAPO306991, CAPO304956	HELIO_09757, HELIO_05183, HELIO_03924, HELIO_07945, HELIO_04974
OG0000129	CAPO303361	HELIO_08318, HELIO_05477, HELIO_12045
OG0000137	CAPO305369	HELIO_10563, HELIO_05850, HELIO_01589, HELIO_12262
OG0000142	CAPO302031, CAPO302030	HELIO_07594, HELIO_07399
OG0000147	CAPO308132	HELIO_07856
OG0000147	CAPO304230	HELIO_07688
OG0000149	CAPO305206, CAPO306214	HELIO_11224, HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026, HELIO_08561
OG0000157	CAPO305956	HELIO_02764
OG0000157	CAPO302981	HELIO_10997
OG0000157	CAPO305824	HELIO_02973, HELIO_02898
OG0000160	CAPO301680	HELIO_11870
OG0000167	CAPO301364, CAPO303476	HELIO_01889, HELIO_11909, HELIO_08193, HELIO_10849, HELIO_07346
OG0000171	CAPO304813	HELIO_09820, HELIO_01149, HELIO_03619
OG0000174	CAPO304629	HELIO_09480, HELIO_04614, HELIO_10809, HELIO_01069, HELIO_01831, HELIO_10694
OG0000175	CAPO303513	HELIO_11471
OG0000179	CAPO300694	HELIO_05015
OG0000179	CAPO303342	HELIO_04929
OG0000181	CAPO302034	HELIO_03744
OG0000181	CAPO307692	HELIO_11084, HELIO_06953
OG0000181	CAPO300374	HELIO_10771
OG0000183	CAPO305638	HELIO_03106, HELIO_07785
OG0000183	CAPO305829	HELIO_12279, HELIO_02987
OG0000184	CAPO304928	HELIO_04383
OG0000192	CAPO300533	HELIO_03155
OG0000192	CAPO301980	HELIO_03349
OG0000194	CAPO305195	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417, HELIO_04980
OG0000195	CAPO305454	HELIO_05982, HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118
OG0000201	CAPO307729	HELIO_03794
OG0000203	CAPO302139	HELIO_11397, HELIO_01088, HELIO_02460
OG0000204	CAPO303090	HELIO_05116, HELIO_05845
OG0000207	CAPO304105, CAPO304106, CAPO304714	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091
OG0000211	CAPO306209	HELIO_11401, HELIO_09853, HELIO_00554, HELIO_04759, HELIO_11035
OG0000218	CAPO300559	HELIO_12321, HELIO_05067
OG0000220	CAPO306780, CAPO307695	HELIO_04722, HELIO_04300, HELIO_10035, HELIO_12042, HELIO_05776, HELIO_08506
OG0000221	CAPO300247	HELIO_06860, HELIO_10767, HELIO_06340
OG0000222	CAPO304211	HELIO_00099, HELIO_10967, HELIO_04924, HELIO_00113
OG0000223	CAPO308126	HELIO_08605, HELIO_10674, HELIO_07967, HELIO_04535, HELIO_08604
OG0000225	CAPO305347	HELIO_03666, HELIO_05507, HELIO_12455, HELIO_12454
OG0000234	CAPO301359	HELIO_06356, HELIO_10361
OG0000238	CAPO305428	HELIO_10889
OG0000239	CAPO302089	HELIO_09847, HELIO_06585, HELIO_09876
OG0000240	CAPO303214	HELIO_07617
OG0000242	CAPO304847	HELIO_01488
OG0000244	CAPO301556	HELIO_03531, HELIO_03532, HELIO_02491, HELIO_05724, HELIO_12702
OG0000246	CAPO303496	HELIO_06641, HELIO_12542, HELIO_06797, HELIO_02441
OG0000248	CAPO307635, CAPO302481, CAPO302487	HELIO_03449, HELIO_00693, HELIO_05570
OG0000250	CAPO305827	HELIO_09216
OG0000255	CAPO306632	HELIO_09865
OG0000255	CAPO301531	HELIO_11786
OG0000255	CAPO300499	HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573
OG0000256	CAPO307884	HELIO_11169
OG0000256	CAPO306483	HELIO_06584, HELIO_07024, HELIO_07406, HELIO_07937
OG0000257	CAPO300414	HELIO_10210, HELIO_02598, HELIO_08653, HELIO_08223
OG0000258	CAPO301106	HELIO_01832
OG0000258	CAPO301746	HELIO_07834, HELIO_11938
OG0000260	CAPO300399	HELIO_02123
OG0000265	CAPO306126	HELIO_10981
OG0000265	CAPO306540	HELIO_02949
OG0000271	CAPO304641	HELIO_09338, HELIO_09337, HELIO_12202, HELIO_10271, HELIO_11250
OG0000273	CAPO305109	HELIO_05150
OG0000273	CAPO300804	HELIO_01650
OG0000273	CAPO306869	HELIO_02819
OG0000277	CAPO303621	HELIO_01369
OG0000277	CAPO301295	HELIO_01920
OG0000282	CAPO308183	HELIO_10802, HELIO_02090, HELIO_06080
OG0000284	CAPO305695	HELIO_04011
OG0000285	CAPO303377	HELIO_08936, HELIO_07805, HELIO_08935, HELIO_08587
OG0000288	CAPO305142	HELIO_01393
OG0000289	CAPO307835	HELIO_07121, HELIO_04864, HELIO_08142
OG0000295	CAPO302113, CAPO302799	HELIO_07292, HELIO_04234, HELIO_05051
OG0000299	CAPO306599	HELIO_09503
OG0000305	CAPO307183	HELIO_04494
OG0000306	CAPO308212	HELIO_09402
OG0000308	CAPO304037	HELIO_09361, HELIO_07835
OG0000308	CAPO303083	HELIO_08987
OG0000310	CAPO305978	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589
OG0000312	CAPO302691	HELIO_10360
OG0000313	CAPO307072	HELIO_06905, HELIO_11614
OG0000313	CAPO301348	HELIO_01266
OG0000314	CAPO304303	HELIO_00525, HELIO_03371
OG0000315	CAPO307611	HELIO_08178
OG0000315	CAPO308167	HELIO_06387
OG0000316	CAPO307924, CAPO300321	HELIO_01799, HELIO_11514, HELIO_05676
OG0000317	CAPO306620	HELIO_04312
OG0000319	CAPO303225	HELIO_04561, HELIO_06272, HELIO_00545, HELIO_04456, HELIO_04612, HELIO_10441, HELIO_04762
OG0000320	CAPO304008	HELIO_00242
OG0000322	CAPO306406	HELIO_05399, HELIO_04398, HELIO_03829, HELIO_10830, HELIO_06778
OG0000326	CAPO303322	HELIO_08613
OG0000335	CAPO307753	HELIO_01713
OG0000338	CAPO304735	HELIO_11240, HELIO_09261, HELIO_11115
OG0000339	CAPO305264	HELIO_05723, HELIO_01207
OG0000343	CAPO306429	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075
OG0000345	CAPO300769	HELIO_12314
OG0000352	CAPO300356	HELIO_07849, HELIO_02109, HELIO_10654
OG0000357	CAPO301487	HELIO_04303
OG0000359	CAPO305417	HELIO_08095
OG0000359	CAPO301540	HELIO_01337
OG0000359	CAPO306866	HELIO_08324
OG0000360	CAPO300757	HELIO_03033, HELIO_07042, HELIO_05668, HELIO_09290
OG0000364	CAPO301330, CAPO300908	HELIO_03949, HELIO_12735, HELIO_10136, HELIO_07364, HELIO_06168, HELIO_10958
OG0000367	CAPO301272	HELIO_11366, HELIO_00864
OG0000371	CAPO307503	HELIO_07468, HELIO_06901, HELIO_00894, HELIO_04470
OG0000372	CAPO307553	HELIO_08010, HELIO_09904, HELIO_12662, HELIO_08215
OG0000373	CAPO301744	HELIO_07356
OG0000385	CAPO300182, CAPO305781, CAPO305517	HELIO_06965, HELIO_07014, HELIO_02136, HELIO_00841, HELIO_02137
OG0000390	CAPO301433, CAPO301477	HELIO_00340, HELIO_02309, HELIO_11674, HELIO_05872
OG0000390	CAPO307000	HELIO_11470, HELIO_06676
OG0000392	CAPO300351	HELIO_05710, HELIO_07226
OG0000393	CAPO307627	HELIO_12162, HELIO_00926, HELIO_04233, HELIO_12760, HELIO_07006
OG0000397	CAPO304372	HELIO_10979
OG0000399	CAPO302781	HELIO_09726, HELIO_07050, HELIO_04949, HELIO_03771
OG0000402	CAPO300999	HELIO_08210, HELIO_08672, HELIO_08610
OG0000405	CAPO300636	HELIO_10657
OG0000412	CAPO306116	HELIO_12508
OG0000412	CAPO307159	HELIO_09547
OG0000413	CAPO302663	HELIO_08207, HELIO_08206
OG0000413	CAPO304678	HELIO_10878
OG0000416	CAPO305980	HELIO_09065
OG0000420	CAPO307162	HELIO_11506, HELIO_10479, HELIO_04176
OG0000422	CAPO301071	HELIO_06618
OG0000424	CAPO302770, CAPO306814	HELIO_07447, HELIO_02671
OG0000426	CAPO302714	HELIO_00568
OG0000426	CAPO306829	HELIO_10983
OG0000427	CAPO303813	HELIO_11307, HELIO_03641
OG0000429	CAPO300725	HELIO_04434
OG0000431	CAPO306585	HELIO_05550
OG0000431	CAPO304684	HELIO_04546
OG0000433	CAPO304838, CAPO302573	HELIO_09108
OG0000434	CAPO304471	HELIO_03450, HELIO_09418, HELIO_09671, HELIO_06005
OG0000435	CAPO308080	HELIO_02789, HELIO_08123
OG0000436	CAPO305799	HELIO_08988, HELIO_08989
OG0000442	CAPO302753, CAPO302633	HELIO_02982
OG0000444	CAPO305423	HELIO_00903
OG0000444	CAPO301239	HELIO_04957
OG0000445	CAPO301584	HELIO_01787, HELIO_05217
OG0000447	CAPO300691	HELIO_10938, HELIO_10939
OG0000450	CAPO307586, CAPO307446	HELIO_01846
OG0000453	CAPO305025	HELIO_11149, HELIO_05758
OG0000454	CAPO301952	HELIO_01041
OG0000461	CAPO303645, CAPO304085, CAPO303531	HELIO_02414
OG0000461	CAPO307456	HELIO_03731, HELIO_03732, HELIO_06581
OG0000467	CAPO302214	HELIO_10923
OG0000468	CAPO302003, CAPO303185	HELIO_00401, HELIO_10281, HELIO_03768, HELIO_09960
OG0000469	CAPO306584, CAPO302277	HELIO_06536
OG0000469	CAPO302982	HELIO_02957
OG0000470	CAPO307521	HELIO_04201
OG0000474	CAPO307766	HELIO_10673
OG0000475	CAPO303779	HELIO_10255
OG0000476	CAPO306104	HELIO_05620
OG0000479	CAPO303549	HELIO_08760
OG0000479	CAPO304267	HELIO_02948
OG0000480	CAPO307201	HELIO_05557, HELIO_08414, HELIO_08413
OG0000481	CAPO300053	HELIO_12216
OG0000481	CAPO304800	HELIO_11178
OG0000481	CAPO304355	HELIO_09259
OG0000484	CAPO304750	HELIO_05916
OG0000485	CAPO303224, CAPO303026	HELIO_02562, HELIO_07054
OG0000486	CAPO306048, CAPO306972	HELIO_10558, HELIO_11461, HELIO_05022, HELIO_11212, HELIO_06172, HELIO_02564, HELIO_00117
OG0000488	CAPO305871	HELIO_02611
OG0000491	CAPO305506	HELIO_02841, HELIO_11924
OG0000494	CAPO300277	HELIO_07387
OG0000506	CAPO304587	HELIO_11106
OG0000508	CAPO303408, CAPO307945	HELIO_04860
OG0000508	CAPO302590	HELIO_10897
OG0000510	CAPO303128, CAPO305095	HELIO_05326, HELIO_00614, HELIO_06648
OG0000511	CAPO301322	HELIO_04224
OG0000514	CAPO307292	HELIO_07204
OG0000516	CAPO302072	HELIO_04523
OG0000519	CAPO300709	HELIO_03762, HELIO_07021, HELIO_05761, HELIO_00935
OG0000520	CAPO304720	HELIO_10311
OG0000522	CAPO306204	HELIO_08815, HELIO_12218, HELIO_08208
OG0000528	CAPO300417	HELIO_11004, HELIO_07368, HELIO_07025
OG0000530	CAPO306919	HELIO_07741, HELIO_07742
OG0000532	CAPO301913	HELIO_04439, HELIO_05643, HELIO_00054
OG0000538	CAPO300039	HELIO_11897, HELIO_11896
OG0000548	CAPO307253, CAPO307370	HELIO_10743, HELIO_10294, HELIO_01580
OG0000549	CAPO305341	HELIO_05772
OG0000551	CAPO305700	HELIO_05085
OG0000552	CAPO302805	HELIO_04288, HELIO_02628
OG0000553	CAPO302261	HELIO_12654, HELIO_00441, HELIO_00012
OG0000554	CAPO300205	HELIO_09952
OG0000561	CAPO307817, CAPO304686, CAPO304296	HELIO_11408
OG0000566	CAPO306820	HELIO_06134, HELIO_05991, HELIO_09539
OG0000567	CAPO300710, CAPO302895	HELIO_10257, HELIO_10335, HELIO_10328
OG0000569	CAPO302672	HELIO_07652, HELIO_07414, HELIO_03504, HELIO_07223, HELIO_04797
OG0000572	CAPO302048	HELIO_10250, HELIO_10251
OG0000573	CAPO301573	HELIO_11819
OG0000573	CAPO300482	HELIO_09237
OG0000574	CAPO303025	HELIO_05765
OG0000578	CAPO305505	HELIO_04018
OG0000583	CAPO302594	HELIO_06801
OG0000585	CAPO302010	HELIO_01503
OG0000586	CAPO304818	HELIO_10402
OG0000587	CAPO304868	HELIO_08335
OG0000588	CAPO300701	HELIO_08850
OG0000590	CAPO302664	HELIO_04845
OG0000590	CAPO307990	HELIO_05331
OG0000591	CAPO300885	HELIO_00717
OG0000591	CAPO301508, CAPO306921	HELIO_09984
OG0000592	CAPO302552	HELIO_11966, HELIO_10886
OG0000593	CAPO303950	HELIO_01727
OG0000594	CAPO305185	HELIO_10206, HELIO_10013, HELIO_09059
OG0000597	CAPO305949	HELIO_02513
OG0000600	CAPO302133	HELIO_06427, HELIO_09191
OG0000603	CAPO300286	HELIO_08442
OG0000604	CAPO304248	HELIO_10843, HELIO_10844
OG0000609	CAPO306415	HELIO_01095
OG0000611	CAPO305139	HELIO_03068, HELIO_03069
OG0000611	CAPO302505	HELIO_06952
OG0000612	CAPO308174	HELIO_12611
OG0000612	CAPO300901	HELIO_07229, HELIO_04425
OG0000613	CAPO306741, CAPO303985	HELIO_03222, HELIO_12531
OG0000614	CAPO308097	HELIO_08984
OG0000614	CAPO306138, CAPO304207	HELIO_11672
OG0000616	CAPO301011	HELIO_12592
OG0000617	CAPO305351, CAPO305350, CAPO301395, CAPO308110, CAPO305569, CAPO302463, CAPO301963, CAPO307719, CAPO308046, CAPO302479, CAPO302684, CAPO303925	HELIO_02152
OG0000619	CAPO303580	HELIO_07452, HELIO_07453
OG0000623	CAPO306891	HELIO_01153
OG0000623	CAPO306678	HELIO_01575
OG0000624	CAPO304034, CAPO304035	HELIO_12110, HELIO_04396, HELIO_02075
OG0000627	CAPO301912	HELIO_01431
OG0000628	CAPO306878	HELIO_07284
OG0000629	CAPO304632	HELIO_03651, HELIO_10813, HELIO_09172
OG0000634	CAPO305866	HELIO_04856, HELIO_00330, HELIO_04828, HELIO_05700, HELIO_04832
OG0000636	CAPO300927, CAPO308236	HELIO_06623, HELIO_05388
OG0000637	CAPO306492	HELIO_11151
OG0000639	CAPO300322	HELIO_03049, HELIO_03048
OG0000639	CAPO305269	HELIO_09484
OG0000642	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430	HELIO_06112, HELIO_06155
OG0000643	CAPO301316	HELIO_10380
OG0000645	CAPO306925	HELIO_03716
OG0000645	CAPO307784, CAPO304648	HELIO_08748
OG0000648	CAPO306715	HELIO_05483
OG0000648	CAPO307568	HELIO_02387
OG0000650	CAPO302429	HELIO_09037, HELIO_09036
OG0000651	CAPO301045	HELIO_06636
OG0000652	CAPO307163	HELIO_05827
OG0000657	CAPO304462	HELIO_10387
OG0000660	CAPO304213	HELIO_01158
OG0000662	CAPO308235	HELIO_03239, HELIO_05920
OG0000663	CAPO303713	HELIO_00575, HELIO_09383, HELIO_07980
OG0000664	CAPO305353	HELIO_01686, HELIO_03266
OG0000665	CAPO304505, CAPO304163	HELIO_07542
OG0000667	CAPO305865	HELIO_04498, HELIO_09789, HELIO_07844, HELIO_00177
OG0000672	CAPO301072	HELIO_01185
OG0000672	CAPO301848	HELIO_02468
OG0000674	CAPO303746	HELIO_04125, HELIO_00323
OG0000676	CAPO304343, CAPO305288	HELIO_11959
OG0000676	CAPO300920, CAPO304680	HELIO_04321
OG0000683	CAPO304912	HELIO_12315
OG0000683	CAPO305392, CAPO303509	HELIO_10017
OG0000684	CAPO306227	HELIO_08779
OG0000690	CAPO306653	HELIO_00922
OG0000690	CAPO306445	HELIO_02624
OG0000690	CAPO304114	HELIO_05919
OG0000691	CAPO301028	HELIO_08803, HELIO_03421
OG0000692	CAPO306980	HELIO_12014
OG0000693	CAPO300633	HELIO_09915
OG0000693	CAPO307538	HELIO_07892
OG0000694	CAPO302468	HELIO_05625
OG0000696	CAPO305456	HELIO_04265
OG0000696	CAPO305466	HELIO_06426
OG0000696	CAPO301422	HELIO_08090
OG0000701	CAPO306727	HELIO_11804, HELIO_02160
OG0000703	CAPO308078	HELIO_02836
OG0000706	CAPO301985	HELIO_02299, HELIO_07131
OG0000708	CAPO302130	HELIO_04126
OG0000708	CAPO300640	HELIO_01919
OG0000709	CAPO305451	HELIO_07079
OG0000711	CAPO304713	HELIO_06385, HELIO_01631, HELIO_03110
OG0000713	CAPO302804	HELIO_07275, HELIO_11463, HELIO_06463, HELIO_00543, HELIO_02508
OG0000715	CAPO305197	HELIO_06043
OG0000716	CAPO306457, CAPO306957	HELIO_06181, HELIO_07464
OG0000717	CAPO302989	HELIO_06882
OG0000718	CAPO301597, CAPO306021	HELIO_08422
OG0000721	CAPO305154, CAPO301906	HELIO_03399, HELIO_06261
OG0000724	CAPO300826	HELIO_09105
OG0000726	CAPO302910	HELIO_04091
OG0000731	CAPO304569	HELIO_11029
OG0000732	CAPO304867	HELIO_08995
OG0000732	CAPO302445	HELIO_10738
OG0000733	CAPO301695	HELIO_03055, HELIO_00314
OG0000735	CAPO302824	HELIO_11007
OG0000736	CAPO306770	HELIO_10996, HELIO_10609
OG0000737	CAPO304586	HELIO_05852
OG0000743	CAPO306268	HELIO_11272, HELIO_06669
OG0000747	CAPO303187	HELIO_08407, HELIO_11171, HELIO_00507
OG0000748	CAPO301276	HELIO_03440
OG0000751	CAPO302771	HELIO_11590
OG0000752	CAPO300507	HELIO_05368
OG0000752	CAPO305335	HELIO_02501
OG0000753	CAPO301378	HELIO_08985, HELIO_08986
OG0000755	CAPO300267	HELIO_04915, HELIO_07851
OG0000757	CAPO307096	HELIO_03294
OG0000758	CAPO305275	HELIO_08482, HELIO_08479
OG0000759	CAPO300473	HELIO_08744
OG0000761	CAPO305655	HELIO_06744, HELIO_05323
OG0000765	CAPO301853	HELIO_01379
OG0000766	CAPO300388	HELIO_09234, HELIO_02323, HELIO_06179
OG0000768	CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904	HELIO_00359
OG0000772	CAPO304708, CAPO302709	HELIO_08462
OG0000774	CAPO306995	HELIO_08849, HELIO_04009, HELIO_08272
OG0000775	CAPO306201	HELIO_06059, HELIO_08032, HELIO_04698
OG0000776	CAPO307356	HELIO_04225, HELIO_09018
OG0000777	CAPO301548	HELIO_01199
OG0000777	CAPO304271	HELIO_04823
OG0000779	CAPO305943	HELIO_11967
OG0000779	CAPO300301	HELIO_02465
OG0000788	CAPO304590	HELIO_09954, HELIO_02295
OG0000791	CAPO304699	HELIO_07748
OG0000792	CAPO305838	HELIO_05838, HELIO_03909
OG0000793	CAPO301604	HELIO_04742
OG0000794	CAPO304031	HELIO_08580, HELIO_07646
OG0000797	CAPO307534	HELIO_10217
OG0000803	CAPO301668	HELIO_01765
OG0000810	CAPO305098, CAPO306601	HELIO_02012, HELIO_12250
OG0000813	CAPO300040, CAPO308168	HELIO_06105, HELIO_05174
OG0000814	CAPO307227	HELIO_12587, HELIO_12586, HELIO_06788, HELIO_00245, HELIO_05814
OG0000815	CAPO300838	HELIO_02679, HELIO_01991, HELIO_09051, HELIO_00716
OG0000816	CAPO304990	HELIO_09415, HELIO_05766
OG0000817	CAPO308202	HELIO_02523
OG0000818	CAPO307656	HELIO_09790
OG0000820	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452	HELIO_08795
OG0000824	CAPO303788	HELIO_00999
OG0000825	CAPO305165, CAPO306157, CAPO306129	HELIO_05366, HELIO_00080, HELIO_08583
OG0000826	CAPO306060	HELIO_04619
OG0000827	CAPO304578	HELIO_03128, HELIO_06494, HELIO_07218
OG0000828	CAPO306023	HELIO_02812
OG0000828	CAPO307153	HELIO_08756
OG0000834	CAPO306233	HELIO_05184, HELIO_06529
OG0000836	CAPO306019, CAPO307821	HELIO_03410, HELIO_08284
OG0000837	CAPO308104, CAPO303511	HELIO_06103
OG0000838	CAPO303856	HELIO_00849, HELIO_10009, HELIO_02719
OG0000841	CAPO307470	HELIO_01420
OG0000844	CAPO306591, CAPO307267	HELIO_12719
OG0000845	CAPO303615	HELIO_09887, HELIO_12283, HELIO_12001
OG0000847	CAPO308298	HELIO_07547
OG0000849	CAPO304492	HELIO_02567
OG0000850	CAPO302141	HELIO_09938
OG0000850	CAPO306299	HELIO_06017
OG0000851	CAPO304092	HELIO_11326
OG0000852	CAPO307622	HELIO_01058
OG0000857	CAPO302559	HELIO_09917
OG0000858	CAPO302161	HELIO_09884
OG0000858	CAPO306693	HELIO_10581
OG0000860	CAPO306338	HELIO_06728, HELIO_10827, HELIO_04489
OG0000871	CAPO300407	HELIO_09841
OG0000872	CAPO308293	HELIO_10138
OG0000873	CAPO307878	HELIO_12140
OG0000875	CAPO303418, CAPO302903	HELIO_11887
OG0000876	CAPO302150	HELIO_09814
OG0000877	CAPO304981	HELIO_03881
OG0000879	CAPO301982	HELIO_12212, HELIO_12213
OG0000881	CAPO301333, CAPO300020	HELIO_08698
OG0000881	CAPO308042	HELIO_01944
OG0000888	CAPO300320	HELIO_05889
OG0000889	CAPO302257	HELIO_04264, HELIO_00210
OG0000891	CAPO307358	HELIO_05993, HELIO_06566
OG0000894	CAPO300968, CAPO300967	HELIO_06317
OG0000894	CAPO301227	HELIO_06932
OG0000896	CAPO301183	HELIO_12759
OG0000896	CAPO304049	HELIO_06843
OG0000897	CAPO306059	HELIO_09055, HELIO_12050
OG0000898	CAPO302619	HELIO_04279
OG0000899	CAPO300655	HELIO_09464
OG0000904	CAPO305539	HELIO_11725, HELIO_04556
