Orthogroup	CAPO3	SCHMD
OG0000082	CAPO304738	SCHMD05824, SCHMD03263, SCHMD10119
OG0000082	CAPO300843	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	CAPO306232	SCHMD03363
OG0000085	CAPO303061	SCHMD12837
OG0000085	CAPO303047	SCHMD12836, SCHMD12466, SCHMD18327
OG0000090	CAPO304460, CAPO304458, CAPO303991	SCHMD10805, SCHMD21388
OG0000095	CAPO301288, CAPO306046	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761
OG0000096	CAPO301431	SCHMD07753
OG0000096	CAPO303349	SCHMD18607
OG0000096	CAPO307017	SCHMD10033
OG0000101	CAPO306858	SCHMD06502, SCHMD06505, SCHMD06506
OG0000103	CAPO302453	SCHMD29081, SCHMD19673, SCHMD08147
OG0000106	CAPO300017	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	CAPO300387	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056, SCHMD11887
OG0000114	CAPO302440	SCHMD28859
OG0000114	CAPO304415	SCHMD14331, SCHMD20678, SCHMD12740, SCHMD12417, SCHMD24462
OG0000119	CAPO304642	SCHMD02911, SCHMD07212
OG0000122	CAPO307824	SCHMD00543, SCHMD16641, SCHMD09849, SCHMD16640, SCHMD09850, SCHMD00544
OG0000124	CAPO304324	SCHMD10270, SCHMD10271
OG0000124	CAPO302553	SCHMD08774
OG0000126	CAPO301836	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	CAPO302484	SCHMD24144
OG0000126	CAPO306676	SCHMD06494, SCHMD07751
OG0000126	CAPO300572	SCHMD01813, SCHMD04253, SCHMD01816, SCHMD27922
OG0000128	CAPO306991, CAPO304956	SCHMD25789, SCHMD19594
OG0000129	CAPO303361	SCHMD23245, SCHMD26510, SCHMD08406, SCHMD20816, SCHMD05405, SCHMD19694, SCHMD06183, SCHMD03224, SCHMD24436, SCHMD08405, SCHMD14968, SCHMD17972, SCHMD27382
OG0000137	CAPO305369	SCHMD05813, SCHMD08865, SCHMD09251, SCHMD04306, SCHMD09558
OG0000142	CAPO302031, CAPO302030	SCHMD07405, SCHMD02973, SCHMD14341, SCHMD09826, SCHMD07726, SCHMD03243, SCHMD14394, SCHMD01440, SCHMD00718, SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364, SCHMD29515, SCHMD28730, SCHMD18761, SCHMD19018, SCHMD17308
OG0000147	CAPO305863	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025, SCHMD03558
OG0000147	CAPO308132	SCHMD11968
OG0000149	CAPO305206, CAPO306214	SCHMD06205, SCHMD05440
OG0000157	CAPO305956	SCHMD06364, SCHMD03548, SCHMD06363
OG0000157	CAPO305824	SCHMD21651, SCHMD01456, SCHMD11574, SCHMD05819, SCHMD25811, SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418
OG0000158	CAPO304850	SCHMD09856
OG0000167	CAPO301364, CAPO303476	SCHMD16214, SCHMD15187, SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000171	CAPO304813	SCHMD26790, SCHMD13950, SCHMD07239, SCHMD01258, SCHMD16118, SCHMD07241, SCHMD07240
OG0000174	CAPO304629	SCHMD09838, SCHMD22727, SCHMD14760, SCHMD22728, SCHMD08354, SCHMD22729
OG0000175	CAPO303513	SCHMD18439, SCHMD17544
OG0000179	CAPO300694	SCHMD11075
OG0000179	CAPO303342	SCHMD01320
OG0000181	CAPO301108	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	CAPO307692	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328, SCHMD20053, SCHMD26119
OG0000183	CAPO305638	SCHMD22220, SCHMD21103, SCHMD28756
OG0000183	CAPO302591, CAPO305829	SCHMD12130, SCHMD10333
OG0000192	CAPO304141	SCHMD03934
OG0000193	CAPO302628	SCHMD01373, SCHMD03682, SCHMD08341, SCHMD22652, SCHMD22559
OG0000194	CAPO305195	SCHMD11912, SCHMD12565
OG0000195	CAPO305454	SCHMD06851, SCHMD06771, SCHMD25463, SCHMD25751, SCHMD25464, SCHMD06740, SCHMD19007, SCHMD24767, SCHMD19839, SCHMD22974, SCHMD25501
OG0000201	CAPO307729	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	CAPO300462	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519
OG0000203	CAPO302139	SCHMD13221
OG0000204	CAPO303090	SCHMD05946, SCHMD11236, SCHMD20783, SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858, SCHMD00860, SCHMD11235, SCHMD00861
OG0000207	CAPO304105, CAPO304106, CAPO304714	SCHMD08593, SCHMD23499, SCHMD28860, SCHMD21038, SCHMD27067, SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396, SCHMD21037
OG0000211	CAPO306209	SCHMD21436, SCHMD10115
OG0000218	CAPO300559	SCHMD01527, SCHMD26821
OG0000220	CAPO306780, CAPO307695	SCHMD15387, SCHMD08237, SCHMD07645
OG0000221	CAPO305669, CAPO306000, CAPO305162, CAPO300247, CAPO308272, CAPO301991, CAPO300059	SCHMD10720
OG0000222	CAPO304211	SCHMD11897, SCHMD07455, SCHMD07456, SCHMD08503, SCHMD08501, SCHMD21613, SCHMD21612, SCHMD08502
OG0000223	CAPO308126	SCHMD02890, SCHMD03920, SCHMD02891, SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493, SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565, SCHMD02892, SCHMD03921, SCHMD02888, SCHMD07141, SCHMD29544, SCHMD25725
OG0000225	CAPO305347	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161, SCHMD18925, SCHMD18924
OG0000226	CAPO303463	SCHMD28293
OG0000228	CAPO306208	SCHMD07563, SCHMD07561, SCHMD07562, SCHMD11296
OG0000234	CAPO301359	SCHMD19058, SCHMD11623, SCHMD10215, SCHMD25368
OG0000238	CAPO305428	SCHMD22146, SCHMD14066
OG0000239	CAPO302089	SCHMD18522, SCHMD03432, SCHMD16926, SCHMD03433, SCHMD01648, SCHMD18521, SCHMD06547
OG0000240	CAPO303214	SCHMD06226, SCHMD00582
OG0000242	CAPO304847	SCHMD20260
OG0000244	CAPO301556	SCHMD21826, SCHMD15740, SCHMD18441, SCHMD21827
OG0000246	CAPO303496	SCHMD28687, SCHMD29623, SCHMD29618, SCHMD29765, SCHMD02140, SCHMD16891, SCHMD17961, SCHMD12289, SCHMD12291, SCHMD13657, SCHMD12290
OG0000248	CAPO307635, CAPO302481, CAPO302487	SCHMD01134, SCHMD07579, SCHMD25860, SCHMD09553, SCHMD07301, SCHMD15578, SCHMD28870, SCHMD28143, SCHMD26766, SCHMD07305, SCHMD23142, SCHMD07304, SCHMD09549, SCHMD06759, SCHMD00071
OG0000250	CAPO305827	SCHMD00165
OG0000255	CAPO301531	SCHMD14618, SCHMD25034
OG0000256	CAPO307884	SCHMD06220
OG0000257	CAPO300414	SCHMD24197, SCHMD15360, SCHMD21968, SCHMD21969, SCHMD20769
OG0000258	CAPO301106	SCHMD00959
OG0000260	CAPO303219	SCHMD09053
OG0000260	CAPO300399	SCHMD00231
OG0000265	CAPO306126	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	CAPO306540	SCHMD18240, SCHMD09007
OG0000271	CAPO304641	SCHMD06707
OG0000273	CAPO305109	SCHMD09689
OG0000277	CAPO300750, CAPO306681, CAPO303621	SCHMD09439
OG0000277	CAPO307814, CAPO307752	SCHMD27259, SCHMD14857, SCHMD14380, SCHMD02171, SCHMD17662
OG0000278	CAPO302023	SCHMD04708, SCHMD14538
OG0000278	CAPO305864	SCHMD00822, SCHMD09237, SCHMD03776
OG0000282	CAPO308183	SCHMD16848, SCHMD05137, SCHMD15635, SCHMD25636, SCHMD25893, SCHMD28325
OG0000285	CAPO303377	SCHMD29037
OG0000288	CAPO305142	SCHMD10121, SCHMD07093, SCHMD10930, SCHMD07061
OG0000289	CAPO307835	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163, SCHMD23289, SCHMD16353, SCHMD29502, SCHMD19194, SCHMD19219, SCHMD13163, SCHMD22750
OG0000295	CAPO302113, CAPO302799	SCHMD11340, SCHMD11341, SCHMD11339, SCHMD02776, SCHMD10264, SCHMD14695
OG0000299	CAPO306599	SCHMD12746, SCHMD13170, SCHMD20344
OG0000305	CAPO307183	SCHMD04764
OG0000306	CAPO308212	SCHMD02490, SCHMD21359, SCHMD02963, SCHMD23914, SCHMD02489, SCHMD17729
OG0000308	CAPO304037	SCHMD26369
OG0000310	CAPO305978	SCHMD09298, SCHMD11775
OG0000312	CAPO304557	SCHMD10213, SCHMD21295, SCHMD02452
OG0000313	CAPO307072	SCHMD03134
OG0000313	CAPO301348	SCHMD09307, SCHMD20212, SCHMD00975, SCHMD00972, SCHMD02125
OG0000314	CAPO304303	SCHMD02240
OG0000315	CAPO307611	SCHMD06241
OG0000315	CAPO308167	SCHMD01939
OG0000319	CAPO303225	SCHMD24888, SCHMD18991, SCHMD16676, SCHMD24889, SCHMD28931, SCHMD18992, SCHMD16068, SCHMD16067, SCHMD16069
OG0000322	CAPO306406	SCHMD03845, SCHMD03842
OG0000326	CAPO308358, CAPO307947	SCHMD05388, SCHMD24730
OG0000326	CAPO303322	SCHMD29727
OG0000338	CAPO304735	SCHMD23566, SCHMD22193, SCHMD20089, SCHMD17969
OG0000339	CAPO305264	SCHMD09051, SCHMD09049, SCHMD07931, SCHMD10837, SCHMD09050, SCHMD11944, SCHMD04027, SCHMD10973
OG0000343	CAPO306429	SCHMD10731, SCHMD08099
OG0000352	CAPO300356	SCHMD07814, SCHMD03216
OG0000357	CAPO301487	SCHMD01155
OG0000360	CAPO300757	SCHMD00611, SCHMD06046, SCHMD19691, SCHMD20116, SCHMD06047
OG0000363	CAPO305594	SCHMD20653
OG0000364	CAPO301330, CAPO300908	SCHMD15142, SCHMD27939
OG0000367	CAPO301272	SCHMD09947, SCHMD00568
OG0000372	CAPO307553	SCHMD09703, SCHMD26866, SCHMD11546, SCHMD21831, SCHMD11336, SCHMD21198, SCHMD11338
OG0000373	CAPO301744	SCHMD12690, SCHMD02964, SCHMD08646, SCHMD00201, SCHMD13176, SCHMD08271
OG0000373	CAPO307539	SCHMD14501, SCHMD16786
OG0000385	CAPO300182, CAPO305781, CAPO305517	SCHMD02710, SCHMD19251, SCHMD20652, SCHMD23399, SCHMD15491
OG0000390	CAPO307000	SCHMD02401, SCHMD19098
OG0000392	CAPO300351	SCHMD08120, SCHMD08121
OG0000393	CAPO307627	SCHMD10497
OG0000397	CAPO304372	SCHMD20119, SCHMD04641
OG0000399	CAPO302781	SCHMD00926, SCHMD06729, SCHMD23058, SCHMD03563, SCHMD24680, SCHMD10909, SCHMD09432, SCHMD23059
OG0000402	CAPO300999	SCHMD10342, SCHMD12760, SCHMD14530, SCHMD02881, SCHMD11412
OG0000405	CAPO300636	SCHMD26927, SCHMD22788, SCHMD20823
OG0000412	CAPO306116	SCHMD08478
OG0000412	CAPO307159	SCHMD26267, SCHMD21996, SCHMD18753, SCHMD11584
OG0000413	CAPO302663	SCHMD18816, SCHMD03327, SCHMD18461, SCHMD19663, SCHMD03328
OG0000413	CAPO304678	SCHMD18817, SCHMD28614
OG0000419	CAPO304227	SCHMD20590, SCHMD23181, SCHMD17261, SCHMD26157
OG0000420	CAPO307162	SCHMD23004
OG0000422	CAPO301071	SCHMD13923, SCHMD28499, SCHMD13922, SCHMD11782, SCHMD13921, SCHMD19755, SCHMD21866
OG0000424	CAPO302770, CAPO306814	SCHMD27748, SCHMD06039, SCHMD02613, SCHMD06040, SCHMD02614, SCHMD02615, SCHMD01853, SCHMD01880, SCHMD16600, SCHMD13568
OG0000426	CAPO302714	SCHMD02251
OG0000426	CAPO306829	SCHMD20249, SCHMD19378, SCHMD08176
OG0000427	CAPO302870	SCHMD07526, SCHMD14108
OG0000431	CAPO304684	SCHMD00614
OG0000433	CAPO304838, CAPO302573	SCHMD22817, SCHMD15295, SCHMD25465, SCHMD24790
OG0000434	CAPO304471	SCHMD11371, SCHMD07829
OG0000435	CAPO308080	SCHMD12216, SCHMD19476
OG0000436	CAPO305799	SCHMD13323, SCHMD09381, SCHMD19812, SCHMD12383, SCHMD19813
OG0000437	CAPO300952	SCHMD15978, SCHMD13458, SCHMD13578, SCHMD05773, SCHMD23206, SCHMD08272, SCHMD05769
OG0000442	CAPO301179	SCHMD07580
OG0000444	CAPO305423	SCHMD00767, SCHMD00766
OG0000445	CAPO301584	SCHMD29179
OG0000447	CAPO300691	SCHMD15169, SCHMD15170, SCHMD24266
OG0000450	CAPO307586, CAPO307446	SCHMD15839, SCHMD21713, SCHMD25409, SCHMD13515
OG0000454	CAPO301952	SCHMD28986, SCHMD13266, SCHMD11564, SCHMD20156, SCHMD03653, SCHMD17914
OG0000461	CAPO303645, CAPO304085, CAPO303531	SCHMD03515
OG0000461	CAPO307456	SCHMD06358, SCHMD06359
OG0000467	CAPO302815	SCHMD03209
OG0000467	CAPO302214	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369
OG0000469	CAPO306584, CAPO302277	SCHMD15597
OG0000469	CAPO302982	SCHMD09418
OG0000470	CAPO307521	SCHMD05493, SCHMD05494, SCHMD03184, SCHMD03185
OG0000475	CAPO303779	SCHMD03319, SCHMD25802, SCHMD20688, SCHMD03320, SCHMD03318
OG0000476	CAPO306104	SCHMD04015
OG0000479	CAPO303549	SCHMD10108
OG0000479	CAPO304267	SCHMD14823, SCHMD04174
OG0000480	CAPO307201	SCHMD19204, SCHMD14582, SCHMD09535
OG0000481	CAPO300053	SCHMD12328
OG0000481	CAPO304800	SCHMD11352, SCHMD11001
OG0000481	CAPO304355	SCHMD06297
OG0000484	CAPO304750	SCHMD20174, SCHMD17933, SCHMD25775, SCHMD29525, SCHMD10182, SCHMD03948, SCHMD20175, SCHMD12364, SCHMD25776, SCHMD16669, SCHMD23292, SCHMD20173, SCHMD20110, SCHMD15292
OG0000485	CAPO303224, CAPO303026	SCHMD16798, SCHMD13016, SCHMD17436, SCHMD21312, SCHMD21946, SCHMD16799, SCHMD17091
OG0000486	CAPO306048, CAPO306972	SCHMD19250
OG0000488	CAPO305871	SCHMD01306, SCHMD17798, SCHMD16340
OG0000490	CAPO304482	SCHMD03996
OG0000490	CAPO302264	SCHMD23364
OG0000491	CAPO305506	SCHMD03171, SCHMD08983, SCHMD20738, SCHMD13341, SCHMD07340, SCHMD18133, SCHMD23188, SCHMD23436, SCHMD27960, SCHMD18920, SCHMD17666, SCHMD22815, SCHMD07927, SCHMD20806, SCHMD08846, SCHMD08847, SCHMD23642, SCHMD25563, SCHMD27546, SCHMD28266, SCHMD26950, SCHMD21486, SCHMD20472, SCHMD23045, SCHMD23074, SCHMD09539, SCHMD08981, SCHMD06713, SCHMD11915, SCHMD09317, SCHMD02859, SCHMD00109, SCHMD00103, SCHMD08015, SCHMD18354, SCHMD03551, SCHMD00998
OG0000494	CAPO300277	SCHMD12513, SCHMD23674, SCHMD27423, SCHMD04960, SCHMD24725, SCHMD26393, SCHMD25222, SCHMD18092, SCHMD26971, SCHMD24713, SCHMD21987
OG0000506	CAPO304587	SCHMD24136, SCHMD05024
OG0000510	CAPO303128, CAPO305095	SCHMD10006
OG0000514	CAPO307292	SCHMD15950, SCHMD28993, SCHMD17111
OG0000519	CAPO300709	SCHMD19355, SCHMD25526, SCHMD21661, SCHMD23283
OG0000520	CAPO302094	SCHMD05955
OG0000520	CAPO304720	SCHMD29599, SCHMD27845
OG0000522	CAPO306204	SCHMD23148, SCHMD08897
OG0000528	CAPO300417	SCHMD03822, SCHMD02315, SCHMD09612
OG0000529	CAPO307357	SCHMD24374
OG0000530	CAPO306919	SCHMD23577, SCHMD10363, SCHMD07780, SCHMD07802, SCHMD07779, SCHMD20771, SCHMD28369
OG0000532	CAPO301913	SCHMD07765
OG0000538	CAPO300039	SCHMD23313
OG0000538	CAPO302001	SCHMD17312
OG0000548	CAPO307253, CAPO307370	SCHMD11369, SCHMD02725, SCHMD00205
OG0000551	CAPO305700	SCHMD28789, SCHMD18977, SCHMD20852, SCHMD20040, SCHMD29185, SCHMD16306, SCHMD26226, SCHMD18979, SCHMD18976, SCHMD28799, SCHMD28338, SCHMD15481
OG0000552	CAPO302805	SCHMD16245, SCHMD21874, SCHMD07234, SCHMD13011, SCHMD12173, SCHMD26203, SCHMD19357, SCHMD01116, SCHMD12890
OG0000553	CAPO302261	SCHMD18290, SCHMD06981
OG0000554	CAPO300205	SCHMD06339, SCHMD06340, SCHMD01332
OG0000556	CAPO305079	SCHMD23624
OG0000561	CAPO307817, CAPO304686, CAPO304296	SCHMD09766
OG0000563	CAPO305151	SCHMD25177, SCHMD22478, SCHMD19010, SCHMD18961, SCHMD13906, SCHMD19772, SCHMD04138, SCHMD13630, SCHMD27006, SCHMD25371, SCHMD26550, SCHMD20849, SCHMD11824, SCHMD20039, SCHMD21297, SCHMD02175, SCHMD21596, SCHMD14777, SCHMD04135, SCHMD05410, SCHMD16749, SCHMD27088, SCHMD13743, SCHMD13510, SCHMD05417, SCHMD00956, SCHMD23940
OG0000566	CAPO306820	SCHMD24931, SCHMD26489
OG0000567	CAPO300710, CAPO302895	SCHMD27076, SCHMD27355, SCHMD13533, SCHMD00241, SCHMD03989, SCHMD19236, SCHMD27026
OG0000572	CAPO302048	SCHMD10816, SCHMD03242, SCHMD25603
OG0000573	CAPO301573	SCHMD13281, SCHMD17636, SCHMD00372, SCHMD01043, SCHMD15213, SCHMD24610
OG0000573	CAPO300482	SCHMD11309, SCHMD19455, SCHMD01045, SCHMD29036, SCHMD15211, SCHMD16187
OG0000574	CAPO303025	SCHMD01583, SCHMD12209, SCHMD05508, SCHMD00489
OG0000578	CAPO305505	SCHMD07755, SCHMD00300, SCHMD17617
OG0000579	CAPO303635	SCHMD26692, SCHMD29307
OG0000583	CAPO302594	SCHMD12669, SCHMD05295, SCHMD25227, SCHMD08418, SCHMD20267, SCHMD01121, SCHMD04123, SCHMD14346, SCHMD17189, SCHMD06646, SCHMD04941
OG0000585	CAPO302010	SCHMD24793, SCHMD28810, SCHMD24792, SCHMD27773, SCHMD04336, SCHMD25418
OG0000586	CAPO304818	SCHMD22847, SCHMD22071, SCHMD26810, SCHMD08470, SCHMD16050, SCHMD19532
OG0000587	CAPO304868	SCHMD03879, SCHMD05571
OG0000588	CAPO300701	SCHMD09247, SCHMD07021, SCHMD07022
OG0000590	CAPO302664	SCHMD08634
OG0000590	CAPO307990	SCHMD18326
OG0000591	CAPO300885	SCHMD10835
OG0000591	CAPO301508, CAPO306921	SCHMD09048, SCHMD27550, SCHMD09047
OG0000592	CAPO302552	SCHMD11895, SCHMD04777
OG0000594	CAPO305185	SCHMD01864, SCHMD01865
OG0000597	CAPO305949	SCHMD00271
OG0000600	CAPO302133	SCHMD24344, SCHMD16882, SCHMD16883
OG0000603	CAPO300286	SCHMD15890, SCHMD18934, SCHMD26022, SCHMD15888
OG0000604	CAPO304248	SCHMD25060, SCHMD19326, SCHMD28316, SCHMD25058, SCHMD15896, SCHMD15253, SCHMD27467, SCHMD15254, SCHMD15897
OG0000609	CAPO305915	SCHMD24245, SCHMD16443
OG0000609	CAPO306415	SCHMD17568
OG0000611	CAPO305139	SCHMD07468
OG0000611	CAPO302505	SCHMD07467, SCHMD10118
OG0000612	CAPO308174	SCHMD03892, SCHMD04363, SCHMD09119
OG0000612	CAPO300901	SCHMD12368
OG0000613	CAPO306741, CAPO303985	SCHMD19801, SCHMD26357, SCHMD15315, SCHMD11333
OG0000614	CAPO306138, CAPO304207	SCHMD02000, SCHMD19846, SCHMD14215, SCHMD02001
OG0000619	CAPO303580	SCHMD20094
OG0000623	CAPO306891	SCHMD06017, SCHMD06018
OG0000623	CAPO306678	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585
OG0000624	CAPO304034, CAPO304035	SCHMD01951
OG0000627	CAPO301912	SCHMD09127
OG0000628	CAPO306878	SCHMD21997, SCHMD24762, SCHMD25901
OG0000634	CAPO305866	SCHMD10172, SCHMD10394, SCHMD05099, SCHMD10171, SCHMD10393, SCHMD05098, SCHMD18845, SCHMD05101, SCHMD10395
OG0000636	CAPO300927, CAPO308236	SCHMD23842, SCHMD07652, SCHMD03198
OG0000637	CAPO306492	SCHMD05589, SCHMD10644, SCHMD20645, SCHMD23793, SCHMD25329, SCHMD16174, SCHMD06815, SCHMD14376, SCHMD24038
OG0000639	CAPO300322	SCHMD15823
OG0000639	CAPO305269	SCHMD12604, SCHMD12603, SCHMD12605, SCHMD10747
OG0000642	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430	SCHMD07724
OG0000643	CAPO301316	SCHMD11980, SCHMD11653, SCHMD12892, SCHMD14321
OG0000645	CAPO307784, CAPO304648	SCHMD29005, SCHMD05528
OG0000648	CAPO307637	SCHMD09057
OG0000648	CAPO304025	SCHMD29274
OG0000648	CAPO307568	SCHMD18065
OG0000651	CAPO301045	SCHMD02428
OG0000652	CAPO307163	SCHMD03400, SCHMD03280, SCHMD23460, SCHMD03282, SCHMD27558, SCHMD03401, SCHMD03285, SCHMD29341, SCHMD05205, SCHMD08162
OG0000653	CAPO304384	SCHMD07619, SCHMD08845
