Orthogroup	CAPO3	SACKO_ok
OG0000043	CAPO308256	SACKO_08499, SACKO_08500, SACKO_08492, SACKO_22653, SACKO_08433, SACKO_16081, SACKO_11560, SACKO_06732, SACKO_06744, SACKO_30022, SACKO_28017, SACKO_06742, SACKO_06747, SACKO_06718, SACKO_22845, SACKO_22851, SACKO_06719, SACKO_27090, SACKO_10903, SACKO_10887, SACKO_10910, SACKO_10918, SACKO_27578, SACKO_10867, SACKO_10904, SACKO_27580, SACKO_10923, SACKO_10919, SACKO_06713, SACKO_06727, SACKO_06759, SACKO_00470, SACKO_10927, SACKO_10915, SACKO_11078
OG0000048	CAPO306877	SACKO_04525, SACKO_04530, SACKO_31187
OG0000048	CAPO304823	SACKO_29639
OG0000049	CAPO304018	SACKO_08936, SACKO_25469, SACKO_25472, SACKO_21504, SACKO_03908, SACKO_04800, SACKO_33166, SACKO_03850, SACKO_27793, SACKO_21677, SACKO_29659, SACKO_17863
OG0000051	CAPO307809, CAPO301249	SACKO_31910, SACKO_01323, SACKO_05894, SACKO_05920, SACKO_05919, SACKO_05947, SACKO_05961, SACKO_05937, SACKO_05924, SACKO_05914, SACKO_05927, SACKO_21265, SACKO_05598, SACKO_21276, SACKO_00826, SACKO_19765, SACKO_21267, SACKO_21272, SACKO_21225, SACKO_21248, SACKO_21467, SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	CAPO307363	SACKO_22606
OG0000054	CAPO303213, CAPO305653	SACKO_11814, SACKO_18179
OG0000054	CAPO302015	SACKO_17476
OG0000054	CAPO303797	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000055	CAPO301479, CAPO301432	SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027
OG0000056	CAPO305974, CAPO306012, CAPO306941	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672, SACKO_32711, SACKO_24077, SACKO_19128, SACKO_03331, SACKO_23806, SACKO_06355, SACKO_01699, SACKO_04324, SACKO_33186, SACKO_24135, SACKO_10684, SACKO_34077, SACKO_21890, SACKO_14382, SACKO_02173, SACKO_16829, SACKO_08042, SACKO_11469, SACKO_13827, SACKO_01900, SACKO_22063, SACKO_13826, SACKO_16845, SACKO_11517, SACKO_05139
OG0000058	CAPO305595	SACKO_15454, SACKO_23572
OG0000060	CAPO305373	SACKO_26044, SACKO_07510, SACKO_24235, SACKO_14759, SACKO_25092, SACKO_25096, SACKO_25098, SACKO_31798, SACKO_14758, SACKO_18890, SACKO_08309
OG0000062	CAPO300910	SACKO_16743, SACKO_15950, SACKO_15963, SACKO_09033, SACKO_15645, SACKO_01291, SACKO_22149
OG0000063	CAPO300270	SACKO_12392, SACKO_30345, SACKO_30337, SACKO_05560, SACKO_17344, SACKO_15225, SACKO_21554, SACKO_13817, SACKO_13819, SACKO_20636, SACKO_21551, SACKO_15119
OG0000066	CAPO308057	SACKO_02924, SACKO_12792, SACKO_04159, SACKO_04149, SACKO_32467, SACKO_12791, SACKO_22294, SACKO_01637, SACKO_22338, SACKO_23403, SACKO_02070, SACKO_09024
OG0000069	CAPO302182	SACKO_07016, SACKO_15035
OG0000082	CAPO304738	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295
OG0000082	CAPO306626	SACKO_12474
OG0000082	CAPO300843	SACKO_26490
OG0000082	CAPO306232	SACKO_12848, SACKO_24599, SACKO_24554, SACKO_24557, SACKO_24563, SACKO_12893
OG0000085	CAPO303061	SACKO_10531, SACKO_23009, SACKO_08919
OG0000085	CAPO303047	SACKO_25563, SACKO_10208, SACKO_29731, SACKO_33849
OG0000089	CAPO300386, CAPO300810, CAPO302098	SACKO_27338, SACKO_27360
OG0000091	CAPO301134	SACKO_25558, SACKO_23916, SACKO_16030, SACKO_16068, SACKO_05246, SACKO_05031, SACKO_05056, SACKO_05059, SACKO_05047, SACKO_05030, SACKO_28587, SACKO_28597, SACKO_28593, SACKO_28598, SACKO_28601
OG0000095	CAPO301288, CAPO306046	SACKO_28112, SACKO_28146, SACKO_22238, SACKO_22239, SACKO_09533, SACKO_14638, SACKO_28141, SACKO_28147, SACKO_28111, SACKO_05633, SACKO_28134, SACKO_05646, SACKO_28114, SACKO_22231, SACKO_28136, SACKO_28131, SACKO_05648
OG0000096	CAPO301431	SACKO_02842
OG0000096	CAPO307955	SACKO_13904
OG0000096	CAPO300294	SACKO_24537
OG0000096	CAPO307017	SACKO_23084, SACKO_27312, SACKO_27255
OG0000101	CAPO306858	SACKO_13586, SACKO_13587, SACKO_31937, SACKO_05234, SACKO_24340, SACKO_08457, SACKO_23978, SACKO_23977, SACKO_08939, SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330
OG0000103	CAPO302453	SACKO_33359, SACKO_23497
OG0000106	CAPO300017	SACKO_19035, SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319
OG0000110	CAPO300387	SACKO_10755, SACKO_10759, SACKO_10764, SACKO_28436, SACKO_28440, SACKO_19692, SACKO_19702, SACKO_09064, SACKO_22197
OG0000116	CAPO305622	SACKO_31632
OG0000119	CAPO304642	SACKO_14170, SACKO_22937, SACKO_22948, SACKO_22971, SACKO_28303
OG0000122	CAPO307824	SACKO_31419
OG0000124	CAPO304324	SACKO_19309
OG0000124	CAPO302553	SACKO_18436, SACKO_18432
OG0000126	CAPO302484	SACKO_30837
OG0000126	CAPO306676	SACKO_27653
OG0000126	CAPO300572	SACKO_09501
OG0000128	CAPO306991, CAPO304956	SACKO_09563, SACKO_21605, SACKO_14613, SACKO_15316, SACKO_15336
OG0000129	CAPO303361	SACKO_20115, SACKO_00164, SACKO_17443
OG0000132	CAPO305174	SACKO_02565
OG0000137	CAPO305369	SACKO_15706, SACKO_03335, SACKO_14791, SACKO_24679, SACKO_26787, SACKO_26762, SACKO_21535, SACKO_21490, SACKO_25869, SACKO_08934, SACKO_08979, SACKO_08926
OG0000142	CAPO302031, CAPO302030	SACKO_25766, SACKO_02162, SACKO_02157, SACKO_25774, SACKO_21060, SACKO_25772, SACKO_25778, SACKO_25760, SACKO_02153, SACKO_02160, SACKO_28263, SACKO_02155, SACKO_31525
OG0000147	CAPO308132	SACKO_29987
OG0000147	CAPO304230	SACKO_18080, SACKO_06120
OG0000149	CAPO305206, CAPO306214	SACKO_25876, SACKO_25874, SACKO_25452, SACKO_33731, SACKO_25477, SACKO_31812, SACKO_01160, SACKO_10629, SACKO_25873, SACKO_24272, SACKO_00593, SACKO_01114
OG0000157	CAPO305956	SACKO_13943
OG0000157	CAPO302981	SACKO_19300
OG0000157	CAPO305824	SACKO_02395, SACKO_02389, SACKO_28274
OG0000160	CAPO301680	SACKO_18893, SACKO_04388, SACKO_11262, SACKO_24189
OG0000167	CAPO301364, CAPO303476	SACKO_13978, SACKO_13975, SACKO_13984, SACKO_13999, SACKO_13976
OG0000171	CAPO304813	SACKO_30921, SACKO_17743, SACKO_17747, SACKO_04473, SACKO_30895, SACKO_18626
OG0000174	CAPO304629	SACKO_28192, SACKO_28201, SACKO_15819, SACKO_32551, SACKO_10689, SACKO_27263, SACKO_23847, SACKO_25875
OG0000175	CAPO303513	SACKO_20858
OG0000175	CAPO303920	SACKO_26661
OG0000179	CAPO300694	SACKO_06450, SACKO_05905
OG0000179	CAPO303342	SACKO_15469
OG0000181	CAPO301108	SACKO_04152
OG0000181	CAPO302034	SACKO_07379
OG0000181	CAPO307692	SACKO_04775
OG0000181	CAPO300374	SACKO_32918
OG0000183	CAPO305638	SACKO_02174
OG0000183	CAPO302591	SACKO_12428
OG0000183	CAPO305829	SACKO_26873
OG0000184	CAPO307711	SACKO_20563, SACKO_02843, SACKO_02840, SACKO_05038, SACKO_00035
OG0000184	CAPO304928	SACKO_18335, SACKO_17629
OG0000186	CAPO301875	SACKO_02704
OG0000192	CAPO300533	SACKO_06335, SACKO_06336, SACKO_21054
OG0000192	CAPO301980	SACKO_31547
OG0000193	CAPO302628	SACKO_23908, SACKO_25908, SACKO_13008, SACKO_13012, SACKO_11767, SACKO_11772, SACKO_19913, SACKO_30076
OG0000194	CAPO305195	SACKO_08434, SACKO_00029, SACKO_00051, SACKO_32303, SACKO_32313, SACKO_25043, SACKO_25042, SACKO_00049
OG0000195	CAPO305454	SACKO_19025, SACKO_17832, SACKO_17833, SACKO_08489, SACKO_30751, SACKO_02091, SACKO_28206, SACKO_28209, SACKO_33037
OG0000201	CAPO307729	SACKO_33320
OG0000203	CAPO302139	SACKO_10536, SACKO_33009, SACKO_21607
OG0000204	CAPO303090	SACKO_32823, SACKO_07430, SACKO_19755, SACKO_07433
OG0000207	CAPO304105, CAPO304106, CAPO304714	SACKO_30239
OG0000211	CAPO306209	SACKO_32655, SACKO_09451, SACKO_20445, SACKO_09187, SACKO_14823, SACKO_14809, SACKO_14837, SACKO_08705, SACKO_16984
OG0000218	CAPO300559	SACKO_18819, SACKO_13048, SACKO_18813, SACKO_18841, SACKO_19249, SACKO_01440, SACKO_08052, SACKO_01447, SACKO_01430
OG0000220	CAPO306780, CAPO307695	SACKO_05945, SACKO_14764, SACKO_29293, SACKO_17745
OG0000221	CAPO300247	SACKO_07311, SACKO_32418, SACKO_20289, SACKO_15443
OG0000222	CAPO304211	SACKO_32534, SACKO_32533, SACKO_05115, SACKO_12196, SACKO_15846, SACKO_11870, SACKO_11831, SACKO_13269, SACKO_16972
OG0000223	CAPO308126	SACKO_06054, SACKO_00009, SACKO_07484, SACKO_12223, SACKO_30421, SACKO_18466, SACKO_30424
OG0000225	CAPO305347	SACKO_25492, SACKO_26675, SACKO_25518, SACKO_23391, SACKO_25483, SACKO_25473, SACKO_25501, SACKO_25456
OG0000226	CAPO306934	SACKO_21639, SACKO_00395
OG0000226	CAPO303463	SACKO_00399
OG0000234	CAPO301359	SACKO_21028, SACKO_01549
OG0000238	CAPO305428	SACKO_14320, SACKO_28194
OG0000239	CAPO302089	SACKO_23050, SACKO_03853, SACKO_23070
OG0000240	CAPO303214	SACKO_18260, SACKO_18199
OG0000240	CAPO303372	SACKO_04929
OG0000242	CAPO304847	SACKO_31437
OG0000244	CAPO301556	SACKO_07492, SACKO_25063, SACKO_25053, SACKO_16205, SACKO_25569, SACKO_21049
OG0000246	CAPO303496	SACKO_32904, SACKO_11087, SACKO_07496, SACKO_26312, SACKO_07493, SACKO_20188
OG0000248	CAPO307635, CAPO302481, CAPO302487	SACKO_05978, SACKO_32557, SACKO_32579, SACKO_32576
OG0000250	CAPO305827	SACKO_06222
OG0000255	CAPO306632	SACKO_30688
OG0000255	CAPO301531	SACKO_00039
OG0000255	CAPO300499	SACKO_02560, SACKO_04653, SACKO_21059, SACKO_27247
OG0000256	CAPO307884	SACKO_19804
OG0000256	CAPO306483	SACKO_31234, SACKO_11114, SACKO_10962, SACKO_00717, SACKO_10964, SACKO_29212, SACKO_18022, SACKO_00855, SACKO_17003, SACKO_05084
OG0000257	CAPO300414	SACKO_15321, SACKO_31460, SACKO_24626, SACKO_04483, SACKO_29914, SACKO_30726
OG0000258	CAPO301106	SACKO_00377
OG0000258	CAPO301746	SACKO_10833, SACKO_32411
OG0000260	CAPO300399	SACKO_23657
OG0000265	CAPO306126	SACKO_28292, SACKO_17354
OG0000265	CAPO306540	SACKO_17458, SACKO_06245
OG0000271	CAPO304641	SACKO_28542
OG0000273	CAPO305109	SACKO_25860, SACKO_18590
OG0000273	CAPO307666	SACKO_18588
OG0000273	CAPO300804	SACKO_00732
OG0000273	CAPO306869	SACKO_11419
OG0000277	CAPO303621	SACKO_10207
OG0000277	CAPO301295	SACKO_13321
OG0000277	CAPO300254, CAPO307814, CAPO307752	SACKO_25436
OG0000278	CAPO300620	SACKO_13664
OG0000278	CAPO305822	SACKO_06388
OG0000278	CAPO302023	SACKO_11366
OG0000278	CAPO303638	SACKO_13514
OG0000282	CAPO308183	SACKO_12850, SACKO_12863, SACKO_29302, SACKO_07792, SACKO_07779, SACKO_07698
OG0000284	CAPO305695	SACKO_05744, SACKO_27435
OG0000285	CAPO303377	SACKO_27700, SACKO_27727, SACKO_26924, SACKO_26919
OG0000288	CAPO305142	SACKO_26577, SACKO_24123, SACKO_26576, SACKO_26567, SACKO_30464, SACKO_30462, SACKO_00022, SACKO_14626, SACKO_14628, SACKO_22642, SACKO_03207, SACKO_03219, SACKO_20827, SACKO_11800, SACKO_11811, SACKO_31062, SACKO_27711, SACKO_13171, SACKO_13172, SACKO_27724, SACKO_14625, SACKO_00017
OG0000289	CAPO307835	SACKO_25627, SACKO_09751, SACKO_25537, SACKO_25538
OG0000295	CAPO302113, CAPO302799	SACKO_09750, SACKO_11826, SACKO_07984, SACKO_24242, SACKO_00439, SACKO_00457, SACKO_00431, SACKO_07988, SACKO_28032, SACKO_00434, SACKO_29580, SACKO_29578, SACKO_28240, SACKO_29581
OG0000299	CAPO306599	SACKO_16759
OG0000306	CAPO308212	SACKO_05951, SACKO_05913
OG0000308	CAPO304037	SACKO_05538, SACKO_27953
OG0000308	CAPO303083	SACKO_28741
OG0000310	CAPO305978	SACKO_14353, SACKO_33497, SACKO_11427, SACKO_11441, SACKO_11487, SACKO_05157, SACKO_15555
OG0000312	CAPO304557	SACKO_12498, SACKO_12512
OG0000312	CAPO302691	SACKO_09512
OG0000313	CAPO307072	SACKO_25102, SACKO_12413
OG0000313	CAPO301348	SACKO_24651, SACKO_21609, SACKO_11070, SACKO_26885, SACKO_01992, SACKO_18918, SACKO_03803
OG0000314	CAPO304303	SACKO_19523, SACKO_04289, SACKO_09369, SACKO_31479, SACKO_20267, SACKO_20257, SACKO_33534
OG0000315	CAPO307611	SACKO_21990
OG0000315	CAPO308167	SACKO_02387
OG0000316	CAPO307924, CAPO300321	SACKO_23643
OG0000317	CAPO306620	SACKO_14463
OG0000319	CAPO303225	SACKO_08516, SACKO_11140, SACKO_31044, SACKO_30308, SACKO_04054, SACKO_08909, SACKO_21180, SACKO_31045, SACKO_31043, SACKO_32883
OG0000322	CAPO306406	SACKO_10414, SACKO_08269, SACKO_08262, SACKO_14465, SACKO_25809
OG0000326	CAPO308358, CAPO307947	SACKO_09487
OG0000326	CAPO303322	SACKO_00052, SACKO_00067, SACKO_08423, SACKO_24590
OG0000327	CAPO308120	SACKO_09977, SACKO_09994, SACKO_14731
OG0000335	CAPO307753	SACKO_02210, SACKO_02207, SACKO_02196, SACKO_21724, SACKO_16362, SACKO_18697, SACKO_17377, SACKO_30257, SACKO_27152, SACKO_19044, SACKO_05322, SACKO_17674, SACKO_33911, SACKO_22067, SACKO_22042
OG0000338	CAPO304735	SACKO_20111, SACKO_31237, SACKO_13513
OG0000339	CAPO305264	SACKO_04937, SACKO_04891, SACKO_14938, SACKO_17398
OG0000343	CAPO306429	SACKO_01767
OG0000345	CAPO300769	SACKO_19848
OG0000352	CAPO300356	SACKO_34178, SACKO_18132, SACKO_00810, SACKO_00821, SACKO_22008, SACKO_07999
OG0000357	CAPO301487	SACKO_14095
OG0000359	CAPO305417	SACKO_17662
OG0000359	CAPO301540	SACKO_33693, SACKO_21762, SACKO_26778
OG0000359	CAPO306866	SACKO_21197
OG0000360	CAPO300757	SACKO_27760, SACKO_01921, SACKO_01907, SACKO_11056
OG0000363	CAPO305594	SACKO_08051
OG0000364	CAPO301330, CAPO300908	SACKO_08428, SACKO_08491, SACKO_29762, SACKO_31752, SACKO_30845
OG0000365	CAPO302286	SACKO_00503
OG0000367	CAPO301272	SACKO_26443, SACKO_11424
OG0000371	CAPO307503	SACKO_25535, SACKO_21537, SACKO_19490, SACKO_27434, SACKO_00209, SACKO_27645, SACKO_13929
OG0000372	CAPO307553	SACKO_07164, SACKO_32909, SACKO_01910, SACKO_24569, SACKO_24546
OG0000373	CAPO301744	SACKO_05445, SACKO_09368
OG0000385	CAPO300182, CAPO305781, CAPO305517	SACKO_16439, SACKO_20574, SACKO_20579, SACKO_25649, SACKO_25651, SACKO_14863, SACKO_20587, SACKO_25647, SACKO_08050, SACKO_16440
OG0000390	CAPO307000	SACKO_01353, SACKO_01355
OG0000392	CAPO300351	SACKO_27590
OG0000393	CAPO307627	SACKO_24305, SACKO_07706, SACKO_06930, SACKO_34206
OG0000397	CAPO304372	SACKO_06461
OG0000399	CAPO302781	SACKO_31626, SACKO_26961, SACKO_24326
OG0000402	CAPO300999	SACKO_12739, SACKO_05257, SACKO_05263, SACKO_05292, SACKO_17632, SACKO_17651, SACKO_17642, SACKO_17652, SACKO_15505, SACKO_18949, SACKO_05251, SACKO_05260, SACKO_18973
OG0000405	CAPO300636	SACKO_03471
OG0000412	CAPO306116	SACKO_28880, SACKO_04784
OG0000412	CAPO307159	SACKO_20586, SACKO_09277
OG0000413	CAPO302663	SACKO_11939
OG0000413	CAPO304678	SACKO_26133
OG0000416	CAPO300647, CAPO303519	SACKO_27496
OG0000419	CAPO304227	SACKO_13227
OG0000420	CAPO307162	SACKO_13998, SACKO_10383
OG0000422	CAPO301071	SACKO_01649, SACKO_01631
OG0000424	CAPO302770, CAPO306814	SACKO_03765, SACKO_31497
OG0000426	CAPO302714	SACKO_26352, SACKO_06534
OG0000426	CAPO306829	SACKO_02762
OG0000427	CAPO303813	SACKO_23359
OG0000431	CAPO306585	SACKO_06822
OG0000431	CAPO304684	SACKO_26117
OG0000433	CAPO304838, CAPO302573	SACKO_07666
OG0000434	CAPO304471	SACKO_12594, SACKO_17023, SACKO_06502, SACKO_00315, SACKO_06501, SACKO_06510, SACKO_06511, SACKO_06508, SACKO_21017
OG0000435	CAPO308080	SACKO_25249, SACKO_21913, SACKO_31971
OG0000436	CAPO305799	SACKO_03318, SACKO_03316
OG0000437	CAPO300952	SACKO_07819, SACKO_20319, SACKO_31109, SACKO_31119, SACKO_31108
OG0000442	CAPO302753, CAPO302633	SACKO_00306
OG0000444	CAPO305423	SACKO_08879, SACKO_08903
OG0000444	CAPO301239	SACKO_16809
OG0000445	CAPO301584	SACKO_01829, SACKO_19774, SACKO_27379, SACKO_27346, SACKO_08275, SACKO_00462, SACKO_33751, SACKO_27331, SACKO_27357
OG0000447	CAPO300691	SACKO_31056
OG0000450	CAPO307586, CAPO307446	SACKO_20176, SACKO_20166, SACKO_10223
OG0000453	CAPO305025	SACKO_27333, SACKO_27397, SACKO_25837, SACKO_27383, SACKO_06847, SACKO_06848, SACKO_27408, SACKO_27399, SACKO_27407, SACKO_27405, SACKO_03955, SACKO_29489, SACKO_11542
OG0000454	CAPO301952	SACKO_15534
OG0000461	CAPO303645, CAPO304085, CAPO303531	SACKO_15370
OG0000461	CAPO307456	SACKO_07130, SACKO_07109
OG0000467	CAPO302214	SACKO_32050
OG0000468	CAPO302003, CAPO303185	SACKO_06371, SACKO_06372, SACKO_06400, SACKO_23390, SACKO_12657, SACKO_06761, SACKO_11651, SACKO_29000, SACKO_28335
OG0000469	CAPO306584, CAPO302277	SACKO_32529, SACKO_32539
OG0000470	CAPO307521	SACKO_13430, SACKO_20424
OG0000474	CAPO307766	SACKO_26694
OG0000475	CAPO303779	SACKO_01439, SACKO_01437, SACKO_01446, SACKO_18627
OG0000476	CAPO306104	SACKO_29718, SACKO_29707, SACKO_29711, SACKO_16110
OG0000479	CAPO303549	SACKO_30305
OG0000479	CAPO304267	SACKO_20169
OG0000480	CAPO307201	SACKO_21578, SACKO_16958, SACKO_31389
OG0000481	CAPO300053	SACKO_18810
OG0000481	CAPO304800	SACKO_02151, SACKO_09218
OG0000481	CAPO304355	SACKO_17872
OG0000484	CAPO304750	SACKO_23202
OG0000485	CAPO303224, CAPO303026	SACKO_12872, SACKO_32346
OG0000486	CAPO306048, CAPO306972	SACKO_03067, SACKO_03069, SACKO_29945, SACKO_29937, SACKO_07182, SACKO_07195, SACKO_21708, SACKO_28616, SACKO_28629
OG0000488	CAPO305871	SACKO_32393
OG0000491	CAPO305506	SACKO_09275
OG0000494	CAPO300277	SACKO_09661, SACKO_20661, SACKO_20676, SACKO_20667, SACKO_20670, SACKO_29545
OG0000505	CAPO303790, CAPO306121	SACKO_07335
OG0000506	CAPO304587	SACKO_28370
OG0000508	CAPO303408, CAPO307945	SACKO_04141
OG0000508	CAPO302590	SACKO_03535
OG0000510	CAPO303128, CAPO305095	SACKO_00307, SACKO_08802
OG0000511	CAPO301322	SACKO_16608, SACKO_16632, SACKO_17075
OG0000514	CAPO307292	SACKO_06731
OG0000516	CAPO302072	SACKO_26866, SACKO_23319, SACKO_05262, SACKO_21254, SACKO_26833
OG0000519	CAPO300709	SACKO_15404, SACKO_19079, SACKO_19078, SACKO_19075, SACKO_19086, SACKO_19096, SACKO_19095, SACKO_19099, SACKO_19087, SACKO_32736
OG0000520	CAPO304720	SACKO_09249, SACKO_06826
OG0000522	CAPO306204	SACKO_08798, SACKO_03537, SACKO_08795, SACKO_03413, SACKO_08800, SACKO_20367
OG0000528	CAPO300417	SACKO_04604, SACKO_09093, SACKO_23862
OG0000530	CAPO306919	SACKO_04253
OG0000532	CAPO301913	SACKO_04033, SACKO_04027, SACKO_04015, SACKO_04019
OG0000538	CAPO300039	SACKO_05534, SACKO_05532
OG0000548	CAPO307253, CAPO307370	SACKO_24136, SACKO_21638, SACKO_01196
OG0000549	CAPO305341	SACKO_09190, SACKO_09189, SACKO_27792
OG0000551	CAPO305700	SACKO_00109, SACKO_01283, SACKO_27987
OG0000552	CAPO302805	SACKO_16965, SACKO_16841, SACKO_22479, SACKO_21195
OG0000553	CAPO302261	SACKO_30818, SACKO_27631, SACKO_24378
OG0000554	CAPO300205	SACKO_04829
OG0000561	CAPO307817, CAPO304686, CAPO304296	SACKO_01260, SACKO_27682, SACKO_33677, SACKO_00159, SACKO_01255, SACKO_31249
OG0000563	CAPO305151	SACKO_05456
OG0000566	CAPO306820	SACKO_13906, SACKO_18189
OG0000567	CAPO300710, CAPO302895	SACKO_32703, SACKO_18072, SACKO_21311, SACKO_16516, SACKO_01005
