Orthogroup	CAPO3	ASTMX
OG0000218	CAPO300559	ASTMX14255, ASTMX06375
OG0000220	CAPO306780, CAPO307695	ASTMX06452, ASTMX19472, ASTMX14009, ASTMX14010, ASTMX09978, ASTMX02750, ASTMX13093, ASTMX15732
OG0000221	CAPO300247	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047, ASTMX14659, ASTMX05690, ASTMX18613, ASTMX00084, ASTMX22683, ASTMX10185
OG0000222	CAPO304211	ASTMX11164, ASTMX04358, ASTMX14568, ASTMX11163
OG0000223	CAPO308126	ASTMX17097, ASTMX19956, ASTMX01390, ASTMX13426, ASTMX05635, ASTMX07750, ASTMX06611, ASTMX15854
OG0000225	CAPO305347	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717
OG0000226	CAPO306934	ASTMX03292
OG0000226	CAPO303463	ASTMX10407
OG0000234	CAPO301359	ASTMX02457, ASTMX11930, ASTMX03378, ASTMX21596, ASTMX09075, ASTMX14217, ASTMX02028, ASTMX03572
OG0000238	CAPO305428	ASTMX07705, ASTMX20450, ASTMX07704
OG0000239	CAPO302089	ASTMX07645, ASTMX14835, ASTMX20429, ASTMX05441, ASTMX01276, ASTMX03280, ASTMX14116, ASTMX21438, ASTMX15869, ASTMX10448, ASTMX21437, ASTMX01895
OG0000240	CAPO303214	ASTMX10617
OG0000242	CAPO304847	ASTMX04049, ASTMX03054
OG0000244	CAPO301556	ASTMX01790, ASTMX01791, ASTMX05536, ASTMX00432, ASTMX01984, ASTMX17641, ASTMX00972, ASTMX16602, ASTMX08895, ASTMX21456, ASTMX15853, ASTMX06255, ASTMX15851, ASTMX07398
OG0000246	CAPO303496	ASTMX19738, ASTMX03325
OG0000248	CAPO307635, CAPO302481, CAPO302487	ASTMX14140, ASTMX14138, ASTMX19921, ASTMX21287, ASTMX14135, ASTMX14137, ASTMX14134, ASTMX11343, ASTMX11267, ASTMX06856, ASTMX21086, ASTMX06855
OG0000250	CAPO305827	ASTMX22935, ASTMX21081
OG0000255	CAPO301531	ASTMX15208
OG0000255	CAPO300499	ASTMX00265
OG0000256	CAPO307884	ASTMX14236, ASTMX14182, ASTMX17896
OG0000256	CAPO306483	ASTMX08211, ASTMX08210, ASTMX05152
OG0000257	CAPO300414	ASTMX01595, ASTMX20351, ASTMX06234, ASTMX21561, ASTMX08510, ASTMX01271, ASTMX07606, ASTMX08826, ASTMX13542
OG0000258	CAPO301746	ASTMX13949, ASTMX09429, ASTMX02019, ASTMX10822, ASTMX04575, ASTMX10602, ASTMX16862
OG0000260	CAPO303219	ASTMX02089
OG0000260	CAPO300399	ASTMX08323, ASTMX08530, ASTMX00791, ASTMX02088
OG0000265	CAPO306126	ASTMX20048, ASTMX19410, ASTMX06906, ASTMX17905, ASTMX03304
OG0000265	CAPO306540	ASTMX17774, ASTMX08300
OG0000271	CAPO304641	ASTMX08643, ASTMX19899, ASTMX11074, ASTMX18872, ASTMX12570, ASTMX12732, ASTMX04753, ASTMX09407, ASTMX13766, ASTMX13768, ASTMX02664, ASTMX13767
OG0000273	CAPO305109	ASTMX02360
OG0000273	CAPO300804	ASTMX16340
OG0000273	CAPO306869	ASTMX21300
OG0000277	CAPO303621	ASTMX17498, ASTMX03998, ASTMX13452
OG0000277	CAPO301295	ASTMX12126, ASTMX12127, ASTMX03033, ASTMX03664
OG0000278	CAPO305822	ASTMX18193
OG0000278	CAPO302023	ASTMX01574
OG0000278	CAPO303638	ASTMX16975, ASTMX10057
OG0000282	CAPO308183	ASTMX18342, ASTMX09599, ASTMX04653, ASTMX06602, ASTMX00322, ASTMX19110, ASTMX07649
OG0000284	CAPO305695	ASTMX00328, ASTMX15433
OG0000285	CAPO303377	ASTMX01560
OG0000288	CAPO305142	ASTMX19599, ASTMX03159, ASTMX17230, ASTMX07890, ASTMX01219
OG0000289	CAPO307835	ASTMX12627, ASTMX20455, ASTMX02890, ASTMX10329, ASTMX21654, ASTMX05955, ASTMX18073, ASTMX11422, ASTMX16415
OG0000295	CAPO302113, CAPO302799	ASTMX20405, ASTMX19587, ASTMX20406, ASTMX19588, ASTMX22085, ASTMX19804
OG0000299	CAPO306599	ASTMX18363, ASTMX17281, ASTMX00682, ASTMX08715, ASTMX12382, ASTMX11949
OG0000306	CAPO308212	ASTMX18000, ASTMX12121, ASTMX01553, ASTMX05933, ASTMX13715, ASTMX14016, ASTMX15243
OG0000308	CAPO304037	ASTMX20341, ASTMX17147, ASTMX10685, ASTMX02323, ASTMX17926
OG0000310	CAPO305978	ASTMX00126
OG0000312	CAPO304557	ASTMX17975
OG0000312	CAPO302691	ASTMX19559, ASTMX13976
OG0000313	CAPO307072	ASTMX20598, ASTMX13321, ASTMX07858, ASTMX04915, ASTMX16687, ASTMX11511
OG0000313	CAPO301348	ASTMX07132
OG0000314	CAPO304303	ASTMX10586, ASTMX02410, ASTMX02409, ASTMX21219, ASTMX07736, ASTMX14320, ASTMX01567, ASTMX21999, ASTMX10109, ASTMX11499
OG0000315	CAPO307611	ASTMX11724
OG0000315	CAPO308167	ASTMX08301, ASTMX03040
OG0000319	CAPO303225	ASTMX15258, ASTMX11737, ASTMX11738, ASTMX05117, ASTMX10390
OG0000322	CAPO306406	ASTMX06004, ASTMX03375, ASTMX14712, ASTMX15181, ASTMX15890
OG0000326	CAPO308358, CAPO307947	ASTMX00747, ASTMX05282, ASTMX15670, ASTMX15158, ASTMX20792
OG0000326	CAPO303322	ASTMX00749
OG0000327	CAPO308120	ASTMX06414, ASTMX05544, ASTMX06421, ASTMX13482, ASTMX13483, ASTMX13484, ASTMX06420, ASTMX06415
OG0000334	CAPO300337	ASTMX22703, ASTMX21795, ASTMX06979, ASTMX13611, ASTMX22716, ASTMX22027, ASTMX21357, ASTMX22598
OG0000335	CAPO307753	ASTMX18011, ASTMX18289
OG0000338	CAPO304735	ASTMX13042, ASTMX20131, ASTMX05102, ASTMX05103, ASTMX03140, ASTMX09866, ASTMX01891
OG0000339	CAPO305264	ASTMX07466
OG0000343	CAPO306429	ASTMX10298, ASTMX08048, ASTMX09330, ASTMX07009, ASTMX11872, ASTMX14973
OG0000345	CAPO300769	ASTMX17770, ASTMX16023, ASTMX16273, ASTMX07982, ASTMX01509
OG0000352	CAPO300356	ASTMX05896, ASTMX03995, ASTMX17359, ASTMX13140, ASTMX01195, ASTMX07258
OG0000357	CAPO301487	ASTMX15888, ASTMX01105, ASTMX14562, ASTMX04757
OG0000359	CAPO305417	ASTMX07087, ASTMX13220
OG0000359	CAPO301540	ASTMX09819, ASTMX07326
OG0000359	CAPO306866	ASTMX01180
OG0000360	CAPO300757	ASTMX04622, ASTMX02247, ASTMX22133, ASTMX09946, ASTMX13961
OG0000364	CAPO301330, CAPO300908	ASTMX08125
OG0000367	CAPO301272	ASTMX18601, ASTMX09449, ASTMX02026, ASTMX13956, ASTMX04028, ASTMX06700, ASTMX14123, ASTMX14122, ASTMX18667
OG0000371	CAPO307503	ASTMX11842, ASTMX16154
OG0000372	CAPO307553	ASTMX00698, ASTMX11491, ASTMX06694, ASTMX07580, ASTMX13013
OG0000373	CAPO301744	ASTMX13546, ASTMX07311, ASTMX17503, ASTMX11338, ASTMX01301, ASTMX01605
OG0000385	CAPO300182, CAPO305781, CAPO305517	ASTMX12707, ASTMX02895, ASTMX01809, ASTMX18429, ASTMX18427, ASTMX18428
OG0000392	CAPO300351	ASTMX12388, ASTMX03996, ASTMX06463, ASTMX05494
OG0000393	CAPO307627	ASTMX19684, ASTMX19683, ASTMX17767, ASTMX20759
OG0000397	CAPO304372	ASTMX08239, ASTMX05577, ASTMX13966, ASTMX12675, ASTMX19668, ASTMX18504
OG0000399	CAPO302781	ASTMX07149, ASTMX09464, ASTMX15648, ASTMX13680, ASTMX19388, ASTMX07577, ASTMX13014, ASTMX14554, ASTMX05126, ASTMX19706
OG0000402	CAPO300999	ASTMX08873, ASTMX08328, ASTMX15651, ASTMX21467, ASTMX17950, ASTMX07646, ASTMX19109, ASTMX00692, ASTMX17284, ASTMX02556
OG0000405	CAPO300636	ASTMX06845, ASTMX10883, ASTMX04895, ASTMX21258, ASTMX08631, ASTMX07907
OG0000412	CAPO306116	ASTMX08855
OG0000412	CAPO307159	ASTMX13390, ASTMX06615, ASTMX11203, ASTMX12505
OG0000413	CAPO302663	ASTMX22225, ASTMX13671, ASTMX19651, ASTMX16482, ASTMX04390
OG0000413	CAPO304678	ASTMX16688, ASTMX04912, ASTMX09192, ASTMX19930
OG0000416	CAPO300647, CAPO303519	ASTMX16726, ASTMX21802, ASTMX21803, ASTMX16725
OG0000419	CAPO304227	ASTMX14421, ASTMX01798, ASTMX13831, ASTMX01797
OG0000420	CAPO307162	ASTMX03701, ASTMX11233, ASTMX04743
OG0000422	CAPO301071	ASTMX00828, ASTMX04590, ASTMX14110, ASTMX06444, ASTMX19359
OG0000424	CAPO302770, CAPO306814	ASTMX07663
OG0000426	CAPO302714	ASTMX14958
OG0000426	CAPO306829	ASTMX11516, ASTMX15003, ASTMX14175, ASTMX10096, ASTMX04997
OG0000427	CAPO303813	ASTMX06287, ASTMX09008
OG0000431	CAPO306585	ASTMX11097, ASTMX09197, ASTMX22566
OG0000431	CAPO304684	ASTMX06516, ASTMX00145, ASTMX09571
OG0000433	CAPO304838, CAPO302573	ASTMX10245, ASTMX08139, ASTMX12987
OG0000434	CAPO304471	ASTMX05014
OG0000435	CAPO308080	ASTMX07675, ASTMX17180, ASTMX22596, ASTMX08016, ASTMX00822, ASTMX11321, ASTMX01296, ASTMX01968, ASTMX00957
OG0000436	CAPO305799	ASTMX00162, ASTMX01672, ASTMX22621, ASTMX04268
OG0000442	CAPO302753, CAPO302633	ASTMX06201, ASTMX00907, ASTMX14474
OG0000444	CAPO305423	ASTMX14380, ASTMX00703, ASTMX21179
OG0000444	CAPO301239	ASTMX10912, ASTMX16562
OG0000445	CAPO301584	ASTMX09933
OG0000447	CAPO300691	ASTMX14913, ASTMX09104, ASTMX06112, ASTMX14924, ASTMX04090, ASTMX14911, ASTMX21473
OG0000450	CAPO307586, CAPO307446	ASTMX07538, ASTMX08134, ASTMX11116, ASTMX11115, ASTMX01427, ASTMX10964, ASTMX17597, ASTMX18833, ASTMX18053, ASTMX11721, ASTMX11722
OG0000453	CAPO305025	ASTMX04911
OG0000454	CAPO301952	ASTMX10568, ASTMX07895, ASTMX18556, ASTMX19705, ASTMX19391, ASTMX05140
OG0000461	CAPO303645, CAPO304085, CAPO303531	ASTMX14096
OG0000461	CAPO307456	ASTMX09634, ASTMX19013
OG0000467	CAPO302214	ASTMX19597, ASTMX15795, ASTMX10740, ASTMX09415, ASTMX01966, ASTMX05515, ASTMX02018
OG0000468	CAPO302003, CAPO303185	ASTMX16969, ASTMX16968, ASTMX16966, ASTMX16964, ASTMX16965, ASTMX16967, ASTMX08249, ASTMX07575
OG0000469	CAPO306584, CAPO302277	ASTMX17554, ASTMX08379, ASTMX20035, ASTMX11781, ASTMX01028, ASTMX09278, ASTMX13963, ASTMX16633, ASTMX02217, ASTMX04047
OG0000470	CAPO307521	ASTMX20617, ASTMX01420, ASTMX16395, ASTMX15646, ASTMX03241, ASTMX22015
OG0000474	CAPO307766	ASTMX09410, ASTMX04778, ASTMX21427, ASTMX22551, ASTMX19649, ASTMX03307, ASTMX04489, ASTMX17013, ASTMX16239
OG0000475	CAPO303779	ASTMX05454, ASTMX09395, ASTMX04770, ASTMX05457, ASTMX04247, ASTMX09728, ASTMX05455, ASTMX08656, ASTMX22981, ASTMX05456
OG0000476	CAPO306104	ASTMX15079
OG0000479	CAPO303549	ASTMX07487, ASTMX08702, ASTMX01240, ASTMX04831, ASTMX08818
OG0000479	CAPO304267	ASTMX21850, ASTMX17585, ASTMX15198, ASTMX05901
OG0000480	CAPO307201	ASTMX05218, ASTMX07171, ASTMX07170
OG0000481	CAPO300053	ASTMX04468
OG0000481	CAPO304800	ASTMX15759
OG0000481	CAPO304355	ASTMX21277, ASTMX10551
OG0000484	CAPO304750	ASTMX20535, ASTMX06464, ASTMX05493, ASTMX21963, ASTMX03189, ASTMX02359, ASTMX05957
OG0000485	CAPO303224, CAPO303026	ASTMX18912, ASTMX15444, ASTMX22055, ASTMX02971, ASTMX22496
OG0000486	CAPO306048, CAPO306972	ASTMX13378, ASTMX03758
OG0000488	CAPO305871	ASTMX03433, ASTMX00689
OG0000491	CAPO305506	ASTMX05642, ASTMX18439, ASTMX18438, ASTMX18437, ASTMX14753, ASTMX17371, ASTMX11249
OG0000494	CAPO300277	ASTMX16000, ASTMX05886, ASTMX17592, ASTMX10961, ASTMX13194, ASTMX13294, ASTMX10353
OG0000505	CAPO303790, CAPO306121	ASTMX18350
OG0000506	CAPO304587	ASTMX21436, ASTMX20807, ASTMX05502, ASTMX16924, ASTMX20808, ASTMX10856, ASTMX08798
OG0000508	CAPO303408, CAPO307945	ASTMX01457, ASTMX09874
OG0000508	CAPO302590	ASTMX07533
OG0000510	CAPO303128, CAPO305095	ASTMX10189, ASTMX20520, ASTMX12755, ASTMX12852, ASTMX10966, ASTMX16608
OG0000511	CAPO301322	ASTMX13576
OG0000514	CAPO307292	ASTMX10637, ASTMX15495, ASTMX20347, ASTMX17787, ASTMX03613, ASTMX20346
OG0000516	CAPO302072	ASTMX06518, ASTMX01654, ASTMX13984, ASTMX12362, ASTMX20641
OG0000519	CAPO300709	ASTMX13209, ASTMX05997
OG0000520	CAPO304720	ASTMX19989, ASTMX14233, ASTMX09883
OG0000522	CAPO306204	ASTMX18924, ASTMX19564, ASTMX01611, ASTMX06605
OG0000528	CAPO300417	ASTMX18461, ASTMX02315, ASTMX10467, ASTMX20121
OG0000530	CAPO306919	ASTMX03176, ASTMX02906, ASTMX17387, ASTMX07408, ASTMX19455
OG0000532	CAPO300259	ASTMX11129, ASTMX21141
OG0000532	CAPO301913	ASTMX01302, ASTMX15057
OG0000538	CAPO300039	ASTMX06663, ASTMX01046, ASTMX13231, ASTMX04495, ASTMX12645, ASTMX21007
OG0000548	CAPO307253, CAPO307370	ASTMX20814, ASTMX19774, ASTMX15937, ASTMX10502, ASTMX10235, ASTMX16625, ASTMX05347
OG0000551	CAPO305700	ASTMX02105
OG0000552	CAPO302805	ASTMX21676, ASTMX01181, ASTMX00313
OG0000553	CAPO302261	ASTMX06372, ASTMX14267, ASTMX09263, ASTMX16310, ASTMX17368, ASTMX03487, ASTMX06718, ASTMX14321, ASTMX21466, ASTMX11677
OG0000554	CAPO300205	ASTMX01832, ASTMX14014, ASTMX18036, ASTMX05113, ASTMX22267, ASTMX07583, ASTMX22268
OG0000561	CAPO307817, CAPO304686, CAPO304296	ASTMX19650, ASTMX12281, ASTMX09747, ASTMX04726
OG0000563	CAPO305151	ASTMX12226, ASTMX05877, ASTMX13470
OG0000566	CAPO306820	ASTMX21688, ASTMX02449, ASTMX22106, ASTMX06097, ASTMX02203, ASTMX02202, ASTMX09638
