Orthogroup	CAPO3	BRALA
OG0000016	CAPO304360	BRALA32113, BRALA10406
OG0000016	CAPO306803	BRALA12120, BRALA09688, BRALA21418, BRALA29534, BRALA13585, BRALA05543
OG0000016	CAPO303259	BRALA24127
OG0000016	CAPO300936	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808, BRALA09686, BRALA22170, BRALA33982
OG0000023	CAPO307690	BRALA34393, BRALA34449, BRALA33273, BRALA29325, BRALA12288, BRALA25880, BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437, BRALA19145, BRALA14945, BRALA23600, BRALA23601, BRALA02985, BRALA02983, BRALA35419, BRALA11100, BRALA28758, BRALA17881, BRALA21074, BRALA03421, BRALA29841, BRALA06984, BRALA06983, BRALA04762, BRALA33103
OG0000029	CAPO307131	BRALA01099, BRALA00240, BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	CAPO300110	BRALA04160, BRALA13442
OG0000030	CAPO305356, CAPO301638, CAPO307563	BRALA21433, BRALA12198, BRALA13443, BRALA12205, BRALA32549, BRALA32573, BRALA13032, BRALA33797, BRALA14671, BRALA31250, BRALA14315, BRALA04297, BRALA10449, BRALA29985, BRALA29147, BRALA32176, BRALA06142
OG0000031	CAPO303729	BRALA16640
OG0000031	CAPO302122	BRALA09408
OG0000035	CAPO307346, CAPO308354	BRALA21367, BRALA35402, BRALA13925, BRALA13921, BRALA29588, BRALA13912, BRALA13913, BRALA30368, BRALA30375, BRALA30377, BRALA30378, BRALA30374, BRALA30370, BRALA34080, BRALA13915, BRALA22877, BRALA13917
OG0000039	CAPO302254	BRALA06993, BRALA34379, BRALA19136, BRALA31749, BRALA29745, BRALA19134, BRALA23918, BRALA06990, BRALA17755, BRALA26668, BRALA19135, BRALA00263, BRALA19137
OG0000041	CAPO308025, CAPO306861	BRALA24286, BRALA29257, BRALA00505, BRALA16473, BRALA00235, BRALA34487, BRALA22373, BRALA12409, BRALA12410, BRALA15735, BRALA29856, BRALA12407, BRALA24919, BRALA22127, BRALA14462, BRALA07763, BRALA29216, BRALA11960, BRALA35158, BRALA12406, BRALA33023, BRALA09775, BRALA27215
OG0000043	CAPO308256	BRALA27558, BRALA29904, BRALA27561, BRALA27544, BRALA25261, BRALA20700, BRALA31404, BRALA31409, BRALA11161, BRALA06431, BRALA06417, BRALA06396, BRALA06445, BRALA06452, BRALA06409, BRALA06468, BRALA20694, BRALA06439, BRALA20722, BRALA06458, BRALA06464, BRALA06413, BRALA06474, BRALA06478
OG0000048	CAPO305301	BRALA08224
OG0000048	CAPO304823	BRALA03524
OG0000049	CAPO304018	BRALA24160, BRALA08952, BRALA08950, BRALA08951, BRALA15334, BRALA15336, BRALA15335, BRALA17285, BRALA26771, BRALA08954, BRALA23719, BRALA24162, BRALA13111, BRALA24161, BRALA16919, BRALA35874, BRALA15337
OG0000051	CAPO307809, CAPO301249	BRALA30678, BRALA34311, BRALA03595, BRALA20239, BRALA03865, BRALA03866, BRALA03867, BRALA03864, BRALA03859, BRALA03860, BRALA03861, BRALA03862, BRALA03858, BRALA07177, BRALA07182, BRALA34503, BRALA07183, BRALA31110, BRALA03328, BRALA07178, BRALA07180, BRALA07181, BRALA03815, BRALA03814, BRALA03593, BRALA17952, BRALA31109, BRALA22978, BRALA25416
OG0000054	CAPO303213, CAPO305653	BRALA24089
OG0000054	CAPO302015	BRALA02118
OG0000054	CAPO303797	BRALA20506, BRALA19923, BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257, BRALA17805, BRALA33752, BRALA25223
OG0000055	CAPO301479, CAPO301432	BRALA31408, BRALA11246, BRALA06430, BRALA06473, BRALA06477
OG0000056	CAPO305974, CAPO306012, CAPO306941	BRALA00682, BRALA22096, BRALA17447, BRALA17448, BRALA17452, BRALA17449, BRALA21309, BRALA08250
OG0000058	CAPO305595	BRALA07698, BRALA29633, BRALA08669, BRALA24063
OG0000058	CAPO307225	BRALA06324
OG0000060	CAPO305373	BRALA01718, BRALA00658, BRALA22074, BRALA13737, BRALA02440, BRALA02437, BRALA02438, BRALA02435, BRALA02439, BRALA02436, BRALA08276, BRALA08275, BRALA08274, BRALA08273, BRALA08272, BRALA01703, BRALA01702, BRALA20908, BRALA19913, BRALA12851, BRALA31735, BRALA31736, BRALA35394
OG0000062	CAPO300910	BRALA21141, BRALA30349, BRALA21142, BRALA31607, BRALA35327, BRALA00098
OG0000063	CAPO300270	BRALA00957, BRALA27402, BRALA12767, BRALA05064, BRALA05065, BRALA01329, BRALA01330, BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	CAPO308057	BRALA00370, BRALA00373, BRALA26242, BRALA12021, BRALA25173, BRALA12022, BRALA14833, BRALA25174, BRALA14834, BRALA12019, BRALA12020, BRALA12018, BRALA25175, BRALA31760, BRALA14835, BRALA12017, BRALA01873, BRALA35618, BRALA16563, BRALA21024, BRALA34957, BRALA21025, BRALA29041, BRALA32504, BRALA07717, BRALA26784, BRALA25733, BRALA28825, BRALA18292, BRALA11955, BRALA06903, BRALA28617, BRALA09971, BRALA34593, BRALA24323, BRALA27164
OG0000069	CAPO302182	BRALA10090, BRALA31904, BRALA27769, BRALA28929
OG0000069	CAPO301523, CAPO305173	BRALA06255, BRALA22501
OG0000079	CAPO302518	BRALA00141, BRALA16237, BRALA25844, BRALA16235
OG0000082	CAPO304738	BRALA23665
OG0000082	CAPO306626	BRALA23991
OG0000082	CAPO300843	BRALA10738
OG0000082	CAPO306232	BRALA12025
OG0000085	CAPO303061	BRALA10231, BRALA23235, BRALA35080, BRALA33501
OG0000085	CAPO303047	BRALA35021, BRALA20574, BRALA19315, BRALA25446, BRALA25560, BRALA18829, BRALA18828
OG0000089	CAPO300001	BRALA35828
OG0000089	CAPO300386, CAPO300810, CAPO302098	BRALA30280, BRALA11321, BRALA01875, BRALA04469, BRALA29882, BRALA04174, BRALA10340, BRALA11376, BRALA20593, BRALA34209, BRALA08976, BRALA35711, BRALA10278, BRALA30045, BRALA34579
OG0000090	CAPO304460, CAPO304458, CAPO303991	BRALA02609
OG0000091	CAPO301134	BRALA15793, BRALA15791, BRALA21812, BRALA21813, BRALA21766, BRALA17200, BRALA17198, BRALA20643, BRALA24218, BRALA11634, BRALA07640, BRALA34071, BRALA10846, BRALA26173, BRALA11558, BRALA34552, BRALA15596, BRALA32931, BRALA32607, BRALA11562, BRALA12688, BRALA11559, BRALA24219, BRALA20646, BRALA26643, BRALA12340
OG0000095	CAPO301288, CAPO306046	BRALA15122, BRALA25718, BRALA09730, BRALA09773, BRALA27146, BRALA20760, BRALA08842
OG0000096	CAPO307955	BRALA16859
OG0000096	CAPO300294	BRALA08595, BRALA28945
OG0000096	CAPO307017	BRALA02509, BRALA24883
OG0000101	CAPO306858	BRALA27830, BRALA34770, BRALA14230, BRALA14227, BRALA01723, BRALA14232, BRALA14229, BRALA14228, BRALA34771, BRALA35778, BRALA34308, BRALA07967, BRALA07968, BRALA07970, BRALA07971, BRALA07969, BRALA14905, BRALA34983, BRALA04209, BRALA32337, BRALA04500, BRALA17899, BRALA22970
OG0000103	CAPO302453	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033
OG0000106	CAPO300017	BRALA03306, BRALA03304, BRALA03303, BRALA03302, BRALA03305, BRALA17617, BRALA24272, BRALA34814, BRALA05381, BRALA14365, BRALA14367
OG0000107	CAPO301524	BRALA20703, BRALA11727, BRALA20699
OG0000110	CAPO300387	BRALA16587, BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295, BRALA05542, BRALA08593, BRALA22079, BRALA25609, BRALA15143, BRALA30278, BRALA29111, BRALA29112, BRALA24555, BRALA29879, BRALA15145, BRALA25881, BRALA05405, BRALA34750
OG0000119	CAPO304642	BRALA06707, BRALA09190, BRALA09113, BRALA09057, BRALA09056, BRALA14028, BRALA14029
OG0000122	CAPO307824	BRALA04629, BRALA07001
OG0000124	CAPO304324	BRALA26544
OG0000124	CAPO302553	BRALA05628
OG0000126	CAPO301836	BRALA11509
OG0000126	CAPO300572	BRALA11885, BRALA21733
OG0000128	CAPO306991, CAPO304956	BRALA08606, BRALA13534, BRALA13533, BRALA21885, BRALA21891, BRALA03636, BRALA10967, BRALA10966, BRALA17194, BRALA16474, BRALA15948, BRALA13405, BRALA32930, BRALA32135, BRALA32136, BRALA13384
OG0000129	CAPO303361	BRALA27239, BRALA31934, BRALA31933, BRALA13415, BRALA13416, BRALA11658, BRALA33036, BRALA19532, BRALA15020, BRALA27240
OG0000137	CAPO305369	BRALA21689, BRALA16648, BRALA28974, BRALA04537, BRALA12643, BRALA12641, BRALA02192, BRALA12642, BRALA14840, BRALA06017, BRALA11495, BRALA27466, BRALA25430, BRALA25424, BRALA35631, BRALA30028
OG0000142	CAPO302031, CAPO302030	BRALA11507, BRALA06235, BRALA24723, BRALA02306
OG0000147	CAPO305863	BRALA34645
OG0000147	CAPO304230	BRALA30660
OG0000149	CAPO305206, CAPO306214	BRALA04476, BRALA12518, BRALA28887, BRALA24371
OG0000157	CAPO305956	BRALA34949, BRALA27057
OG0000157	CAPO302981	BRALA11237
OG0000157	CAPO305824	BRALA28027
OG0000160	CAPO301680	BRALA09740
OG0000167	CAPO301364, CAPO303476	BRALA21923, BRALA17123, BRALA00255, BRALA14209, BRALA17893, BRALA33074, BRALA33075
OG0000171	CAPO304813	BRALA31073, BRALA34610, BRALA35313, BRALA35602, BRALA10000, BRALA06159, BRALA33750, BRALA28419, BRALA09972, BRALA09975, BRALA34620, BRALA11421, BRALA23749, BRALA04631, BRALA06721
OG0000174	CAPO304629	BRALA01909, BRALA10706, BRALA03775, BRALA26657, BRALA29586
OG0000175	CAPO303920	BRALA21252, BRALA16465
OG0000179	CAPO300694	BRALA13816
OG0000179	CAPO303342	BRALA15064, BRALA15063, BRALA32738
OG0000181	CAPO301108	BRALA20263
OG0000181	CAPO302034	BRALA09404
OG0000181	CAPO307692	BRALA25948
OG0000181	CAPO300374	BRALA11436
OG0000183	CAPO305638	BRALA29461, BRALA34386
OG0000183	CAPO302591	BRALA17782, BRALA17781
OG0000183	CAPO305829	BRALA30657
OG0000184	CAPO307711	BRALA24654
OG0000184	CAPO304928	BRALA24349, BRALA24348, BRALA24345, BRALA13027, BRALA24344
OG0000192	CAPO304141	BRALA03467
OG0000192	CAPO300533	BRALA03466
OG0000192	CAPO301980	BRALA25029
OG0000193	CAPO302628	BRALA13336, BRALA13337, BRALA21700, BRALA29049, BRALA35297
OG0000194	CAPO305195	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297
OG0000195	CAPO305454	BRALA27202, BRALA33299, BRALA21846, BRALA14189, BRALA01750, BRALA01749, BRALA08338, BRALA22184
OG0000201	CAPO307729	BRALA11221
OG0000201	CAPO300462	BRALA35564, BRALA31919, BRALA35436
OG0000203	CAPO302139	BRALA30533, BRALA06689, BRALA14737, BRALA25872, BRALA05551, BRALA14396, BRALA14391, BRALA25871, BRALA14399, BRALA15294
OG0000204	CAPO303090	BRALA20764, BRALA02474, BRALA02308
OG0000207	CAPO304105, CAPO304106, CAPO304714	BRALA15681, BRALA02588, BRALA10030, BRALA10031, BRALA29862, BRALA29863, BRALA17799, BRALA10029, BRALA03383, BRALA12356
OG0000211	CAPO306209	BRALA12046, BRALA25506, BRALA13452, BRALA35174, BRALA35905, BRALA33365, BRALA15028, BRALA13475, BRALA13474
OG0000218	CAPO300559	BRALA17567, BRALA27085, BRALA27089, BRALA27086, BRALA12470, BRALA10611, BRALA12469, BRALA27090, BRALA27088, BRALA18542, BRALA27087, BRALA11952, BRALA11951, BRALA00320, BRALA04451, BRALA29590
OG0000220	CAPO306780, CAPO307695	BRALA03898, BRALA01840, BRALA01841
OG0000221	CAPO300247	BRALA04793, BRALA07381, BRALA07380, BRALA10634
OG0000222	CAPO304211	BRALA11750, BRALA11749, BRALA11748, BRALA11747, BRALA17286, BRALA09521
OG0000223	CAPO308126	BRALA24481, BRALA11482, BRALA12163
OG0000225	CAPO305347	BRALA20442, BRALA20435
OG0000226	CAPO306934	BRALA31446, BRALA01942
OG0000226	CAPO303463	BRALA24234, BRALA31118, BRALA21113, BRALA21112, BRALA31079, BRALA29759, BRALA31078
OG0000234	CAPO301359	BRALA04116, BRALA02072
OG0000238	CAPO305428	BRALA11216, BRALA11218, BRALA11219, BRALA11217
OG0000239	CAPO302089	BRALA04987, BRALA30155, BRALA34063, BRALA34087, BRALA29970
OG0000240	CAPO303214	BRALA26625
OG0000240	CAPO303372	BRALA20674, BRALA20673
OG0000242	CAPO304847	BRALA11080, BRALA10999
OG0000244	CAPO301556	BRALA12481, BRALA28034, BRALA16560
OG0000246	CAPO303496	BRALA33867, BRALA30813, BRALA02252, BRALA29247, BRALA14673, BRALA16837, BRALA30601, BRALA16836, BRALA30599, BRALA16835, BRALA09816, BRALA25342, BRALA14675, BRALA14676, BRALA18019, BRALA29474
OG0000248	CAPO307635, CAPO302481, CAPO302487	BRALA30267, BRALA30265, BRALA30263, BRALA30268, BRALA30271, BRALA30270, BRALA12363, BRALA12308, BRALA16095, BRALA27868
OG0000250	CAPO305827	BRALA11863
OG0000255	CAPO306632	BRALA25790
OG0000255	CAPO301531	BRALA00871, BRALA11731, BRALA31615
OG0000255	CAPO300499	BRALA02467, BRALA20756, BRALA08872, BRALA09849, BRALA09857, BRALA27836
OG0000256	CAPO307884	BRALA10199
OG0000256	CAPO306483	BRALA09570, BRALA17466, BRALA00793, BRALA13439, BRALA13440, BRALA13438, BRALA30583
OG0000257	CAPO300414	BRALA18496, BRALA09564, BRALA08492, BRALA15240, BRALA09566, BRALA26949
OG0000258	CAPO301106	BRALA13021
OG0000258	CAPO301746	BRALA20081, BRALA24991
OG0000260	CAPO300399	BRALA15356
OG0000265	CAPO306126	BRALA18329
OG0000265	CAPO306540	BRALA12823
OG0000271	CAPO304641	BRALA11413, BRALA09066, BRALA09068, BRALA17558, BRALA18501, BRALA17563, BRALA11414
OG0000273	CAPO305109	BRALA05275
OG0000273	CAPO300804	BRALA15018
OG0000273	CAPO306869	BRALA14731
OG0000277	CAPO303621	BRALA26639
OG0000277	CAPO301295	BRALA25256
OG0000277	CAPO300254	BRALA35852, BRALA29891
OG0000277	CAPO307814, CAPO307752	BRALA06081
OG0000278	CAPO302023	BRALA21572
OG0000278	CAPO303638	BRALA03801
OG0000282	CAPO308183	BRALA23685, BRALA27475, BRALA29869, BRALA11493
OG0000284	CAPO305695	BRALA01827, BRALA00852
OG0000285	CAPO303377	BRALA26168, BRALA30720, BRALA23371, BRALA23370, BRALA11165, BRALA23372, BRALA19155, BRALA33619, BRALA11166, BRALA02428, BRALA03238, BRALA31583, BRALA32871, BRALA35420, BRALA32202, BRALA35583, BRALA24652, BRALA11771, BRALA17774
OG0000288	CAPO305142	BRALA35660, BRALA15870, BRALA21967, BRALA31105, BRALA09698
OG0000289	CAPO307835	BRALA16624, BRALA13907, BRALA01040, BRALA18235, BRALA18234
OG0000295	CAPO302113, CAPO302799	BRALA26979, BRALA26980, BRALA22435, BRALA05907, BRALA02617, BRALA05908, BRALA05913, BRALA05912, BRALA06482
OG0000299	CAPO306599	BRALA17872
OG0000305	CAPO307183	BRALA18598
OG0000306	CAPO308212	BRALA03883
OG0000308	CAPO304037	BRALA35067, BRALA07362
OG0000308	CAPO303083	BRALA29439
OG0000310	CAPO305978	BRALA13697, BRALA13599, BRALA23270, BRALA13590, BRALA14259, BRALA15274, BRALA15276, BRALA15273, BRALA15272, BRALA13010
OG0000312	CAPO304557	BRALA11332, BRALA11333, BRALA11331
OG0000312	CAPO302691	BRALA11891
OG0000313	CAPO307072	BRALA06607, BRALA33057, BRALA35023
OG0000313	CAPO301348	BRALA19728
OG0000314	CAPO304303	BRALA21481, BRALA29813, BRALA00695, BRALA11883, BRALA01413
OG0000315	CAPO307611	BRALA34362
OG0000315	CAPO308167	BRALA25721
OG0000316	CAPO307924, CAPO300321	BRALA15637
OG0000317	CAPO306620	BRALA02907
OG0000319	CAPO303225	BRALA14575, BRALA13880, BRALA04120
OG0000320	CAPO304008	BRALA04738, BRALA17494, BRALA04672, BRALA04669, BRALA04676, BRALA17492, BRALA04680
OG0000321	CAPO307156	BRALA14360
OG0000322	CAPO306406	BRALA07551, BRALA07552, BRALA08284
OG0000326	CAPO308358, CAPO307947	BRALA08611
OG0000326	CAPO303322	BRALA08568, BRALA14598, BRALA14600, BRALA14599, BRALA17896, BRALA16589, BRALA30880
OG0000327	CAPO308120	BRALA13826, BRALA13825, BRALA19890, BRALA19891, BRALA11391, BRALA07661, BRALA19889
OG0000335	CAPO307753	BRALA34973, BRALA34688, BRALA30905, BRALA27316, BRALA03367, BRALA03088, BRALA35387
OG0000338	CAPO304735	BRALA15013, BRALA15015, BRALA03386
OG0000339	CAPO305264	BRALA16110, BRALA24762, BRALA24769, BRALA24739, BRALA16149, BRALA24763, BRALA16108, BRALA24745, BRALA24757, BRALA16111, BRALA24761, BRALA22116, BRALA24768, BRALA24760, BRALA24746
OG0000343	CAPO306429	BRALA09005
OG0000345	CAPO300769	BRALA09664
OG0000352	CAPO300356	BRALA01009, BRALA15685, BRALA28171
OG0000357	CAPO301487	BRALA26089
OG0000359	CAPO305417	BRALA13099
OG0000359	CAPO301540	BRALA32272, BRALA24208, BRALA15205, BRALA09897, BRALA26110, BRALA18714
OG0000359	CAPO306866	BRALA31578
OG0000360	CAPO300757	BRALA22946, BRALA11831, BRALA34738, BRALA28049
OG0000364	CAPO301330, CAPO300908	BRALA19406, BRALA19407, BRALA32552, BRALA11746, BRALA11744, BRALA11743, BRALA11742, BRALA23996, BRALA12924
OG0000367	CAPO301272	BRALA31361, BRALA12833
OG0000371	CAPO307503	BRALA10649, BRALA10658, BRALA08456, BRALA18611, BRALA10647, BRALA17381, BRALA31152, BRALA18606, BRALA18607
OG0000372	CAPO307553	BRALA15783, BRALA08267, BRALA23771
OG0000373	CAPO301744	BRALA31921, BRALA23435
OG0000390	CAPO301433, CAPO301477	BRALA23594
OG0000390	CAPO307000	BRALA00892, BRALA00888, BRALA00889, BRALA00891, BRALA04361, BRALA12713, BRALA26811, BRALA26809, BRALA12705, BRALA08159, BRALA22700, BRALA22699, BRALA23595
OG0000392	CAPO300351	BRALA01209
OG0000393	CAPO307627	BRALA31822, BRALA02241, BRALA15381, BRALA24472, BRALA31821, BRALA03078, BRALA27929, BRALA03160
OG0000397	CAPO304372	BRALA35642, BRALA34670
OG0000399	CAPO302781	BRALA28297, BRALA23772, BRALA04322
OG0000402	CAPO300999	BRALA21413, BRALA17661, BRALA17660
OG0000405	CAPO300636	BRALA21721
OG0000412	CAPO306116	BRALA00561
OG0000412	CAPO307159	BRALA06660, BRALA01758, BRALA10138
OG0000413	CAPO302663	BRALA21468
OG0000413	CAPO304678	BRALA06166
OG0000416	CAPO300647, CAPO303519	BRALA31400, BRALA14141, BRALA02178, BRALA17361, BRALA29138, BRALA22835, BRALA29137
OG0000416	CAPO305980	BRALA02826
OG0000419	CAPO304227	BRALA03697
OG0000420	CAPO307162	BRALA22044, BRALA24622, BRALA13074, BRALA05449, BRALA13072, BRALA13076, BRALA13077, BRALA13078, BRALA04230, BRALA13075, BRALA04225
OG0000422	CAPO301071	BRALA29319, BRALA19742, BRALA15573, BRALA32978, BRALA08206, BRALA17188, BRALA06280, BRALA26893, BRALA01517, BRALA24198, BRALA24289, BRALA01608, BRALA12419, BRALA34491, BRALA33751, BRALA00881, BRALA01803, BRALA16676, BRALA27177, BRALA16622
OG0000424	CAPO302770, CAPO306814	BRALA03834, BRALA03844, BRALA29651, BRALA08803
OG0000426	CAPO306829	BRALA13863
OG0000427	CAPO303813	BRALA09830
OG0000431	CAPO304684	BRALA13675
OG0000433	CAPO304838, CAPO302573	BRALA19035
OG0000434	CAPO304471	BRALA01801, BRALA14574, BRALA04475, BRALA20379
OG0000435	CAPO308080	BRALA00145, BRALA13279
OG0000436	CAPO305799	BRALA00479
OG0000437	CAPO300952	BRALA23658, BRALA22832, BRALA23657, BRALA09050, BRALA03237
OG0000442	CAPO302753, CAPO302633	BRALA25405, BRALA33737
OG0000444	CAPO305423	BRALA29773
OG0000444	CAPO301239	BRALA07745
OG0000445	CAPO301584	BRALA35281, BRALA33201, BRALA05663, BRALA29510, BRALA27780, BRALA00619, BRALA21525, BRALA01672, BRALA24679, BRALA34223
OG0000447	CAPO300691	BRALA30761
OG0000450	CAPO307586, CAPO307446	BRALA29697
OG0000453	CAPO305025	BRALA02456, BRALA02457, BRALA14623, BRALA04109, BRALA28906, BRALA28062, BRALA23580, BRALA19233, BRALA24206, BRALA24207, BRALA35630, BRALA34948, BRALA34318
OG0000454	CAPO301952	BRALA16593
OG0000461	CAPO303645, CAPO304085, CAPO303531	BRALA10740
OG0000461	CAPO307456	BRALA25433
OG0000467	CAPO302214	BRALA17998
OG0000468	CAPO302003, CAPO303185	BRALA16180, BRALA28186, BRALA18298, BRALA18299, BRALA18302, BRALA18300, BRALA11917
OG0000469	CAPO306584, CAPO302277	BRALA35215, BRALA33439
OG0000470	CAPO307521	BRALA24698
OG0000475	CAPO303779	BRALA33310
OG0000476	CAPO306104	BRALA14616, BRALA14614, BRALA14617
OG0000479	CAPO303549	BRALA33937, BRALA19002
OG0000479	CAPO304267	BRALA33783
OG0000480	CAPO307201	BRALA30132, BRALA35901, BRALA28328, BRALA28329
OG0000481	CAPO300053	BRALA27659
OG0000481	CAPO304800	BRALA10023
OG0000481	CAPO304355	BRALA03647
OG0000484	CAPO304750	BRALA35066, BRALA34077
OG0000485	CAPO303224, CAPO303026	BRALA07325, BRALA23674, BRALA05059, BRALA21189
OG0000486	CAPO306048, CAPO306972	BRALA01376, BRALA02955, BRALA02954, BRALA02956, BRALA19977, BRALA04760, BRALA04761, BRALA03985
OG0000488	CAPO305871	BRALA07851
OG0000491	CAPO305506	BRALA11888
OG0000494	CAPO300277	BRALA14931
OG0000506	CAPO304587	BRALA05807
OG0000508	CAPO303408, CAPO307945	BRALA17016
OG0000508	CAPO307989	BRALA24846
OG0000508	CAPO301076	BRALA34227
OG0000508	CAPO302590	BRALA31119
OG0000510	CAPO303128, CAPO305095	BRALA00432
OG0000511	CAPO301322	BRALA35478, BRALA09338, BRALA09340, BRALA33779, BRALA33860, BRALA34653, BRALA29688, BRALA34788, BRALA29694, BRALA35018, BRALA35374, BRALA33126, BRALA12401, BRALA09343, BRALA35119, BRALA33571, BRALA03901, BRALA09344, BRALA12399, BRALA34156, BRALA34761, BRALA12397, BRALA34096, BRALA29693, BRALA34946, BRALA32479, BRALA33387, BRALA34529, BRALA35005
OG0000514	CAPO307292	BRALA19477
OG0000516	CAPO302072	BRALA15544, BRALA02044, BRALA02039, BRALA02037, BRALA32371, BRALA02047, BRALA20757, BRALA02147, BRALA02350, BRALA22353, BRALA02043, BRALA02030, BRALA20755, BRALA08843, BRALA28896, BRALA28892, BRALA28893
OG0000519	CAPO300709	BRALA25441, BRALA22160
OG0000520	CAPO304720	BRALA23459, BRALA35783
OG0000522	CAPO306204	BRALA25053, BRALA25050, BRALA25052
OG0000528	CAPO300417	BRALA08668, BRALA02212, BRALA11348, BRALA11351, BRALA13353
OG0000530	CAPO306919	BRALA27713
OG0000532	CAPO300259	BRALA23832
OG0000532	CAPO301913	BRALA13752, BRALA07475, BRALA19708
OG0000548	CAPO307253, CAPO307370	BRALA31695, BRALA21474, BRALA22718
OG0000549	CAPO305341	BRALA09774, BRALA01654, BRALA11510, BRALA16788, BRALA33866, BRALA19896, BRALA24295, BRALA03880
OG0000551	CAPO305700	BRALA20243, BRALA20242, BRALA03802, BRALA20241, BRALA03089
OG0000552	CAPO302805	BRALA31577, BRALA11014, BRALA19431, BRALA19430, BRALA12172
OG0000553	CAPO302261	BRALA09626, BRALA16722, BRALA35015
OG0000554	CAPO300205	BRALA26471, BRALA28539, BRALA10862, BRALA04712, BRALA32452
