Orthogroup	CAPO3	AENJA_ok
OG0000049	CAPO304018	AENJA_20702, AENJA_25756, AENJA_17800, AENJA_10359, AENJA_24984, AENJA_12834, AENJA_18082, AENJA_24580, AENJA_11158, AENJA_02953, AENJA_07586, AENJA_26413, AENJA_17680
OG0000051	CAPO307809, CAPO301249	AENJA_15112, AENJA_18491, AENJA_12662, AENJA_24250
OG0000053	CAPO302193	AENJA_14744
OG0000053	CAPO307363	AENJA_19076
OG0000054	CAPO302015	AENJA_06676, AENJA_23371
OG0000056	CAPO305974, CAPO306012, CAPO306941	AENJA_07746, AENJA_20577, AENJA_26131, AENJA_20111, AENJA_20268, AENJA_20270, AENJA_05228, AENJA_08324, AENJA_08326, AENJA_10099, AENJA_20631, AENJA_14653, AENJA_12353, AENJA_00716, AENJA_23916, AENJA_16059, AENJA_06586, AENJA_23245, AENJA_07599, AENJA_23054, AENJA_09762, AENJA_10486, AENJA_19769, AENJA_19772, AENJA_25728, AENJA_23915, AENJA_20579, AENJA_01631, AENJA_03114
OG0000058	CAPO305595	AENJA_23345
OG0000060	CAPO305373	AENJA_17233, AENJA_00816, AENJA_19748, AENJA_06413, AENJA_16934, AENJA_19164, AENJA_25801, AENJA_00669, AENJA_06416, AENJA_06418, AENJA_18536, AENJA_04512, AENJA_04510, AENJA_04511, AENJA_11167, AENJA_04778, AENJA_05765, AENJA_23597
OG0000062	CAPO300910	AENJA_11363, AENJA_21914, AENJA_09119, AENJA_00352, AENJA_09642, AENJA_22683, AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995, AENJA_11364, AENJA_03699
OG0000063	CAPO300270	AENJA_20321, AENJA_03789, AENJA_04323, AENJA_26394
OG0000066	CAPO308057	AENJA_19946, AENJA_12655, AENJA_09505, AENJA_20318, AENJA_04513, AENJA_18855, AENJA_25232, AENJA_08610, AENJA_22621
OG0000069	CAPO302182	AENJA_15982
OG0000079	CAPO302518	AENJA_05095
OG0000082	CAPO306626	AENJA_25747
OG0000085	CAPO303061	AENJA_11709, AENJA_05556
OG0000085	CAPO303047	AENJA_06487, AENJA_24493, AENJA_20539, AENJA_06382, AENJA_08917
OG0000089	CAPO300386, CAPO300810, CAPO302098	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496, AENJA_09908, AENJA_23276, AENJA_11297, AENJA_00357, AENJA_23778, AENJA_22153, AENJA_17373, AENJA_13869, AENJA_00358, AENJA_09888, AENJA_08835, AENJA_24030, AENJA_01751, AENJA_09728, AENJA_01807
OG0000090	CAPO304460, CAPO304458, CAPO303991	AENJA_02476
OG0000090	CAPO304635, CAPO304845, CAPO301336	AENJA_03876
OG0000091	CAPO301134	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299, AENJA_01389
OG0000095	CAPO301288, CAPO306046	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676
OG0000096	CAPO307522	AENJA_21947
OG0000096	CAPO300294	AENJA_08423
OG0000096	CAPO307017	AENJA_09240, AENJA_14053
OG0000101	CAPO306858	AENJA_26592, AENJA_26594, AENJA_00251, AENJA_06142, AENJA_14914, AENJA_21479, AENJA_11421
OG0000103	CAPO302453	AENJA_10812, AENJA_14367
OG0000106	CAPO300017	AENJA_21591, AENJA_13743, AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000110	CAPO300387	AENJA_15291, AENJA_04603, AENJA_15296, AENJA_15289, AENJA_15290, AENJA_16216, AENJA_01780, AENJA_10578, AENJA_06144, AENJA_06145, AENJA_16217, AENJA_09309, AENJA_19995, AENJA_08732
OG0000116	CAPO305622	AENJA_23563, AENJA_23564
OG0000119	CAPO304642	AENJA_18357, AENJA_20512, AENJA_08115, AENJA_08491
OG0000122	CAPO307824	AENJA_09263, AENJA_26721, AENJA_14198, AENJA_09459, AENJA_22788
OG0000124	CAPO304324	AENJA_04495
OG0000124	CAPO302553	AENJA_03187
OG0000126	CAPO302484	AENJA_24273
OG0000126	CAPO300572	AENJA_07507
OG0000128	CAPO306991, CAPO304956	AENJA_22594, AENJA_22595, AENJA_07850, AENJA_17413, AENJA_26743, AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744
OG0000129	CAPO303361	AENJA_11469, AENJA_21737, AENJA_16458, AENJA_17470, AENJA_12119, AENJA_20942, AENJA_12123
OG0000132	CAPO305174	AENJA_18042
OG0000137	CAPO305369	AENJA_26083, AENJA_25528, AENJA_11173, AENJA_09533
OG0000142	CAPO302031, CAPO302030	AENJA_25989, AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249, AENJA_21733, AENJA_26417, AENJA_16857, AENJA_18146
OG0000147	CAPO306333	AENJA_03760
OG0000147	CAPO308132	AENJA_12275
OG0000147	CAPO304230	AENJA_10787, AENJA_03843
OG0000149	CAPO305206, CAPO306214	AENJA_12114, AENJA_12111, AENJA_03471, AENJA_12512, AENJA_18447
OG0000157	CAPO302981	AENJA_03158
OG0000157	CAPO305824	AENJA_08473, AENJA_07142
OG0000160	CAPO301680	AENJA_06959
OG0000167	CAPO301364, CAPO303476	AENJA_04545, AENJA_20048, AENJA_12329, AENJA_04868, AENJA_12328
OG0000171	CAPO304813	AENJA_00267, AENJA_26673, AENJA_26672, AENJA_09998
OG0000174	CAPO304629	AENJA_09684, AENJA_09689, AENJA_19122, AENJA_02198
OG0000175	CAPO303513	AENJA_05120
OG0000179	CAPO300694	AENJA_05305
OG0000179	CAPO303342	AENJA_25279
OG0000181	CAPO301108	AENJA_08843
OG0000181	CAPO302034	AENJA_22272
OG0000181	CAPO307692	AENJA_05116, AENJA_18867, AENJA_18892
OG0000183	CAPO305638	AENJA_03852
OG0000183	CAPO305829	AENJA_18616, AENJA_21091, AENJA_21093
OG0000184	CAPO307711	AENJA_15402, AENJA_19874
OG0000184	CAPO304928	AENJA_19614, AENJA_08959, AENJA_22614
OG0000186	CAPO301875	AENJA_16122
OG0000192	CAPO304141	AENJA_23240
OG0000192	CAPO300533	AENJA_11217, AENJA_11222
OG0000192	CAPO301980	AENJA_16678, AENJA_04859
OG0000193	CAPO302628	AENJA_13914, AENJA_10880, AENJA_10878, AENJA_10877, AENJA_08498
OG0000194	CAPO305195	AENJA_10642, AENJA_01834
OG0000195	CAPO305454	AENJA_16048, AENJA_12573, AENJA_10227, AENJA_02703
OG0000201	CAPO307729	AENJA_04223
OG0000203	CAPO302139	AENJA_01110, AENJA_20011, AENJA_10014, AENJA_10780
OG0000204	CAPO303090	AENJA_01745, AENJA_12472
OG0000207	CAPO304105, CAPO304106, CAPO304714	AENJA_24487
OG0000211	CAPO306209	AENJA_25447, AENJA_09895, AENJA_19821, AENJA_00791, AENJA_02934, AENJA_21143, AENJA_10795
OG0000218	CAPO300559	AENJA_17671, AENJA_11970, AENJA_11978, AENJA_20895, AENJA_14302, AENJA_11979, AENJA_16614, AENJA_01825, AENJA_26732
OG0000220	CAPO306780, CAPO307695	AENJA_25417, AENJA_19945, AENJA_06243, AENJA_19950, AENJA_20772, AENJA_08885
OG0000221	CAPO300247	AENJA_18945, AENJA_16769, AENJA_12084
OG0000222	CAPO304211	AENJA_10919, AENJA_15540
OG0000223	CAPO308126	AENJA_17914, AENJA_25328, AENJA_19949
OG0000225	CAPO305347	AENJA_04793, AENJA_18668
OG0000234	CAPO301359	AENJA_02022, AENJA_09853
OG0000238	CAPO305428	AENJA_24755
OG0000239	CAPO302089	AENJA_09843, AENJA_06019, AENJA_09841
OG0000240	CAPO303214	AENJA_19535
OG0000240	CAPO303372	AENJA_09344
OG0000244	CAPO301556	AENJA_09215, AENJA_09220, AENJA_18376, AENJA_02207
OG0000246	CAPO303496	AENJA_23370, AENJA_10538, AENJA_10539, AENJA_20530, AENJA_11679, AENJA_05856, AENJA_05857, AENJA_05854, AENJA_23980, AENJA_21766
OG0000248	CAPO307635, CAPO302481, CAPO302487	AENJA_23410, AENJA_15881, AENJA_08718
OG0000250	CAPO305827	AENJA_01564
OG0000255	CAPO306632	AENJA_23771
OG0000255	CAPO301531	AENJA_05199
OG0000255	CAPO300499	AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356
OG0000256	CAPO307884	AENJA_24528
OG0000256	CAPO306483	AENJA_04595, AENJA_22679, AENJA_05370, AENJA_07601, AENJA_13004
OG0000257	CAPO300414	AENJA_21159, AENJA_18420, AENJA_06250, AENJA_12469, AENJA_20995, AENJA_23471
OG0000258	CAPO301106	AENJA_04201
OG0000258	CAPO301746	AENJA_21764, AENJA_08669
OG0000260	CAPO300399	AENJA_02917
OG0000265	CAPO306126	AENJA_21392, AENJA_21393
OG0000265	CAPO306540	AENJA_02918
OG0000271	CAPO306147	AENJA_06329
OG0000271	CAPO304641	AENJA_00138, AENJA_18761, AENJA_07943, AENJA_08114, AENJA_14553, AENJA_18762
OG0000273	CAPO305109	AENJA_14902
OG0000277	CAPO303621	AENJA_21144
OG0000277	CAPO301295	AENJA_08858
OG0000278	CAPO300620	AENJA_24084
OG0000278	CAPO302023	AENJA_12104
OG0000278	CAPO305864	AENJA_24144
OG0000282	CAPO308183	AENJA_08490, AENJA_20347, AENJA_07959, AENJA_08159
OG0000284	CAPO305695	AENJA_03142, AENJA_20326
OG0000285	CAPO303377	AENJA_13941, AENJA_20401, AENJA_20406, AENJA_19105, AENJA_07714, AENJA_19484, AENJA_02834, AENJA_06481, AENJA_21453, AENJA_25131
OG0000288	CAPO305142	AENJA_00977, AENJA_14604
OG0000289	CAPO307835	AENJA_13824, AENJA_25023, AENJA_15869, AENJA_15870
OG0000295	CAPO302113, CAPO302799	AENJA_18927, AENJA_14336, AENJA_11107, AENJA_14335, AENJA_07578
OG0000299	CAPO306599	AENJA_07480
OG0000305	CAPO307183	AENJA_23458
OG0000306	CAPO308212	AENJA_01416
OG0000308	CAPO304037	AENJA_23339
OG0000308	CAPO303083	AENJA_04225
OG0000310	CAPO305978	AENJA_12510, AENJA_19334, AENJA_10979, AENJA_16718, AENJA_13920, AENJA_20912, AENJA_20756
OG0000312	CAPO302691	AENJA_05337
OG0000313	CAPO307072	AENJA_16242, AENJA_16057
OG0000313	CAPO301348	AENJA_23096, AENJA_17234, AENJA_00680, AENJA_01313
OG0000314	CAPO304303	AENJA_05762, AENJA_10482, AENJA_16012, AENJA_19100
OG0000315	CAPO308167	AENJA_20619
OG0000316	CAPO307924, CAPO300321	AENJA_08472
OG0000317	CAPO306620	AENJA_16154
OG0000319	CAPO303225	AENJA_21128, AENJA_02024, AENJA_15257
OG0000320	CAPO304008	AENJA_16441, AENJA_02544
OG0000322	CAPO306406	AENJA_07618, AENJA_03568, AENJA_04218
OG0000326	CAPO308358, CAPO307947	AENJA_25612, AENJA_08013
OG0000326	CAPO303322	AENJA_25861
OG0000327	CAPO308120	AENJA_09087, AENJA_11801, AENJA_16140, AENJA_13471, AENJA_26486, AENJA_12542
OG0000334	CAPO300337	AENJA_18674, AENJA_08078, AENJA_20172, AENJA_19540, AENJA_16534, AENJA_18675, AENJA_11653, AENJA_06892, AENJA_10669, AENJA_22797, AENJA_22796, AENJA_24850, AENJA_10667, AENJA_10668
OG0000335	CAPO307753	AENJA_20108, AENJA_01373, AENJA_01375, AENJA_01372
OG0000338	CAPO304735	AENJA_13192, AENJA_22299
OG0000339	CAPO305264	AENJA_00382, AENJA_19984, AENJA_00140, AENJA_14078, AENJA_02225
OG0000343	CAPO306429	AENJA_04274
OG0000352	CAPO300356	AENJA_13697, AENJA_04782, AENJA_25500, AENJA_11315
OG0000357	CAPO301487	AENJA_04794
OG0000359	CAPO305417	AENJA_14005
OG0000359	CAPO301540	AENJA_07464, AENJA_09269
OG0000360	CAPO300757	AENJA_19447, AENJA_18938, AENJA_08035, AENJA_08623, AENJA_22734
OG0000364	CAPO301330, CAPO300908	AENJA_08616, AENJA_07293, AENJA_05680
OG0000367	CAPO301272	AENJA_21570, AENJA_21567, AENJA_15749
OG0000371	CAPO307503	AENJA_14528, AENJA_04971, AENJA_19657, AENJA_18838
OG0000372	CAPO307553	AENJA_14610, AENJA_10537, AENJA_22918, AENJA_10254
OG0000373	CAPO301744	AENJA_10744, AENJA_18516
OG0000385	CAPO300182, CAPO305781, CAPO305517	AENJA_16044, AENJA_12666, AENJA_12667, AENJA_16346
OG0000390	CAPO301433, CAPO301477	AENJA_23187, AENJA_21850, AENJA_23186
OG0000390	CAPO307000	AENJA_23491, AENJA_23482, AENJA_23492, AENJA_06399
OG0000392	CAPO300351	AENJA_11266
OG0000393	CAPO307627	AENJA_20824, AENJA_11660
OG0000397	CAPO304372	AENJA_26085
OG0000399	CAPO302781	AENJA_09258, AENJA_25908, AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668, AENJA_14143
OG0000402	CAPO300999	AENJA_01108, AENJA_20115
OG0000405	CAPO300636	AENJA_21234
OG0000412	CAPO306116	AENJA_21404
OG0000412	CAPO307159	AENJA_26231, AENJA_11362
OG0000413	CAPO302663	AENJA_18235
OG0000416	CAPO300647, CAPO303519, CAPO305980	AENJA_13956
OG0000419	CAPO304227	AENJA_25245, AENJA_25372, AENJA_25244
OG0000420	CAPO307162	AENJA_05214, AENJA_14372, AENJA_14000, AENJA_14371, AENJA_25418, AENJA_12757, AENJA_24304
OG0000422	CAPO301071	AENJA_10624
OG0000424	CAPO302770, CAPO306814	AENJA_15205, AENJA_15202, AENJA_26752
OG0000426	CAPO302714	AENJA_16516
OG0000426	CAPO306829	AENJA_15653, AENJA_15654
OG0000427	CAPO303813	AENJA_16219
OG0000429	CAPO300725	AENJA_21410
OG0000431	CAPO306585	AENJA_19097
OG0000431	CAPO304684	AENJA_17426
OG0000433	CAPO304838, CAPO302573	AENJA_10323
OG0000434	CAPO304471	AENJA_23323, AENJA_21939, AENJA_18428, AENJA_12178
OG0000435	CAPO308080	AENJA_25030, AENJA_23148
OG0000436	CAPO305799	AENJA_24307
OG0000442	CAPO302753, CAPO302633	AENJA_20819
OG0000444	CAPO305423	AENJA_22469
OG0000445	CAPO301584	AENJA_02867, AENJA_01957, AENJA_03366, AENJA_08087, AENJA_03365
OG0000447	CAPO300691	AENJA_07978
OG0000450	CAPO307586, CAPO307446	AENJA_18743, AENJA_10311
OG0000453	CAPO305025	AENJA_23512, AENJA_19259, AENJA_19260
OG0000461	CAPO303645, CAPO304085, CAPO303531	AENJA_22982
OG0000461	CAPO307456	AENJA_10288
OG0000467	CAPO302214	AENJA_24285
OG0000468	CAPO302003, CAPO303185	AENJA_06943, AENJA_02883, AENJA_02878, AENJA_08672, AENJA_12636
OG0000469	CAPO306584, CAPO302277	AENJA_19006
OG0000469	CAPO302982	AENJA_05512
OG0000470	CAPO307521	AENJA_05899, AENJA_25964
OG0000474	CAPO307766	AENJA_17737
OG0000475	CAPO303779	AENJA_22558
OG0000476	CAPO306104	AENJA_24295, AENJA_10203
OG0000479	CAPO303549	AENJA_09588
OG0000479	CAPO304267	AENJA_20878
OG0000480	CAPO307201	AENJA_10027, AENJA_23584, AENJA_25610, AENJA_14480, AENJA_23244
OG0000481	CAPO300053	AENJA_16592
OG0000481	CAPO304800	AENJA_22951
OG0000481	CAPO304355	AENJA_11417
OG0000484	CAPO304750	AENJA_00628
OG0000485	CAPO303224, CAPO303026	AENJA_01157, AENJA_13767, AENJA_15714, AENJA_15716, AENJA_24876, AENJA_15715, AENJA_14513
OG0000486	CAPO306048, CAPO306972	AENJA_24911, AENJA_01412, AENJA_01364, AENJA_22874
OG0000488	CAPO305871	AENJA_10931
OG0000494	CAPO300277	AENJA_16419, AENJA_21639, AENJA_05180
OG0000506	CAPO304587	AENJA_21734
OG0000508	CAPO303408, CAPO307945	AENJA_05447
OG0000508	CAPO307989	AENJA_18700
OG0000508	CAPO302590	AENJA_18701
OG0000510	CAPO303128, CAPO305095	AENJA_13229, AENJA_13230
OG0000511	CAPO301322	AENJA_16863, AENJA_16866, AENJA_25207
OG0000514	CAPO307292	AENJA_24585
OG0000519	CAPO300709	AENJA_13197, AENJA_00264
OG0000520	CAPO304720	AENJA_00693
OG0000522	CAPO306204	AENJA_22612, AENJA_04937, AENJA_01107
OG0000528	CAPO300417	AENJA_10012, AENJA_23565, AENJA_19659
OG0000530	CAPO306919	AENJA_14711
OG0000532	CAPO300259	AENJA_06922
OG0000532	CAPO301913	AENJA_16814, AENJA_16819, AENJA_21969, AENJA_01491, AENJA_19889
OG0000538	CAPO300039	AENJA_23758
OG0000548	CAPO307253, CAPO307370	AENJA_14730, AENJA_19997
OG0000549	CAPO305341	AENJA_17344, AENJA_17342, AENJA_17318, AENJA_21943
OG0000551	CAPO305700	AENJA_18612, AENJA_25358
OG0000552	CAPO302805	AENJA_18702, AENJA_23603
OG0000553	CAPO302261	AENJA_20283, AENJA_25732
OG0000554	CAPO300205	AENJA_25501
OG0000561	CAPO307817, CAPO304686, CAPO304296	AENJA_01455, AENJA_18412
OG0000563	CAPO305151	AENJA_25022, AENJA_03438
OG0000566	CAPO306820	AENJA_14810, AENJA_20531, AENJA_16653
OG0000567	CAPO300710, CAPO302895	AENJA_23422
OG0000569	CAPO302672	AENJA_24688, AENJA_22569, AENJA_16744, AENJA_00319
OG0000572	CAPO302048	AENJA_05866, AENJA_02750
OG0000573	CAPO301573	AENJA_05835
OG0000573	CAPO300482	AENJA_03220
OG0000574	CAPO303025	AENJA_03681, AENJA_21909, AENJA_24754
OG0000578	CAPO305505	AENJA_09428
OG0000583	CAPO302594	AENJA_17607
OG0000585	CAPO302010	AENJA_25758
OG0000586	CAPO304818	AENJA_25809
OG0000588	CAPO300701	AENJA_21633
OG0000590	CAPO302664	AENJA_19774
OG0000590	CAPO307990	AENJA_07046
OG0000591	CAPO300885	AENJA_25061
OG0000591	CAPO301508, CAPO306921	AENJA_08335, AENJA_08330, AENJA_08329
OG0000592	CAPO302552	AENJA_12392
OG0000593	CAPO303950	AENJA_21036, AENJA_17174
OG0000594	CAPO305185	AENJA_00502, AENJA_08887, AENJA_21333, AENJA_15216, AENJA_13904
OG0000595	CAPO303068, CAPO304997	AENJA_21288, AENJA_00557, AENJA_14351, AENJA_14766
OG0000597	CAPO305949	AENJA_10748
OG0000600	CAPO302133	AENJA_07369, AENJA_09335
OG0000603	CAPO300286	AENJA_20949
OG0000604	CAPO304248	AENJA_24197, AENJA_26538
OG0000609	CAPO306415	AENJA_03157
OG0000611	CAPO305139	AENJA_15613
OG0000611	CAPO302505	AENJA_05204, AENJA_13627
OG0000612	CAPO308174	AENJA_06346
OG0000613	CAPO306741, CAPO303985	AENJA_08922, AENJA_20929
OG0000614	CAPO308097	AENJA_10824
OG0000614	CAPO306138, CAPO304207	AENJA_17421
OG0000616	CAPO301011	AENJA_11411
OG0000617	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167	AENJA_19025
OG0000619	CAPO303580	AENJA_15723
OG0000620	CAPO300569	AENJA_23744, AENJA_23743
OG0000623	CAPO306891	AENJA_02871
OG0000623	CAPO306678	AENJA_17960
OG0000624	CAPO304034, CAPO304035	AENJA_13893, AENJA_06380, AENJA_22597
OG0000627	CAPO301912	AENJA_13466
OG0000628	CAPO306878	AENJA_25533, AENJA_13648
OG0000629	CAPO304632	AENJA_16147, AENJA_26558
OG0000634	CAPO305866	AENJA_04829, AENJA_15030, AENJA_04831, AENJA_11956, AENJA_02531, AENJA_15029
OG0000636	CAPO300927, CAPO308236	AENJA_07463
OG0000637	CAPO306492	AENJA_11572, AENJA_16161, AENJA_07771
OG0000639	CAPO300322	AENJA_10965
OG0000639	CAPO305269	AENJA_22126
OG0000642	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430	AENJA_02487, AENJA_00389, AENJA_26018
OG0000643	CAPO301316	AENJA_00652, AENJA_10745
OG0000645	CAPO306925	AENJA_00673
OG0000645	CAPO307784, CAPO304648	AENJA_22405
OG0000648	CAPO306715	AENJA_04823
OG0000648	CAPO307568	AENJA_04819
OG0000650	CAPO302429	AENJA_10994
OG0000651	CAPO301045	AENJA_15937
OG0000652	CAPO307163	AENJA_18507, AENJA_18509
OG0000653	CAPO304384	AENJA_23631, AENJA_23630
OG0000657	CAPO304462	AENJA_14948
OG0000662	CAPO308235	AENJA_08142, AENJA_09173, AENJA_21495
OG0000663	CAPO303713	AENJA_26290, AENJA_19588, AENJA_10413
OG0000664	CAPO305353	AENJA_14841, AENJA_15036
OG0000665	CAPO304505, CAPO304163	AENJA_18167
OG0000666	CAPO306172	AENJA_19016
OG0000667	CAPO305865	AENJA_23722, AENJA_23727, AENJA_23726
OG0000672	CAPO301072	AENJA_11032
OG0000672	CAPO301848	AENJA_02173
OG0000674	CAPO303746	AENJA_03705
OG0000676	CAPO304343, CAPO305288	AENJA_15570
OG0000676	CAPO300920, CAPO304680	AENJA_04404
OG0000683	CAPO304912	AENJA_18458
OG0000683	CAPO305392, CAPO303509	AENJA_20329
OG0000684	CAPO306227	AENJA_20633
OG0000690	CAPO306653	AENJA_04544
OG0000690	CAPO304114	AENJA_00603
OG0000691	CAPO301028	AENJA_08029, AENJA_00795
OG0000692	CAPO301383	AENJA_17363
OG0000692	CAPO306980	AENJA_13840
OG0000693	CAPO300633	AENJA_01709
OG0000693	CAPO307538	AENJA_03923
OG0000694	CAPO302468	AENJA_02666, AENJA_15805
OG0000696	CAPO305456	AENJA_12321
OG0000696	CAPO305466	AENJA_10033
OG0000696	CAPO301422	AENJA_06971
OG0000697	CAPO304466, CAPO306724	AENJA_20153, AENJA_07893, AENJA_21762
OG0000698	CAPO303921	AENJA_24098
OG0000701	CAPO306727	AENJA_18091
OG0000703	CAPO308078	AENJA_26753, AENJA_26449
OG0000706	CAPO301985	AENJA_23411, AENJA_25177, AENJA_22931, AENJA_16301, AENJA_02924, AENJA_00418
OG0000708	CAPO302130	AENJA_10491
OG0000708	CAPO300640	AENJA_04787
OG0000711	CAPO304713	AENJA_12473, AENJA_12494, AENJA_02057
OG0000713	CAPO302804	AENJA_08677, AENJA_06149, AENJA_06146
OG0000715	CAPO305197	AENJA_15913
OG0000716	CAPO306457	AENJA_17206
OG0000717	CAPO302989	AENJA_19227
OG0000718	CAPO301597, CAPO306021	AENJA_24056, AENJA_24052, AENJA_21088
OG0000721	CAPO305154, CAPO301906	AENJA_16007, AENJA_01615
OG0000724	CAPO300826	AENJA_08671
OG0000726	CAPO302910	AENJA_14697
OG0000731	CAPO304569	AENJA_07204
OG0000732	CAPO304867	AENJA_23886
OG0000732	CAPO302445	AENJA_07798, AENJA_12389
OG0000733	CAPO301695	AENJA_07801
OG0000735	CAPO302824	AENJA_15834
OG0000736	CAPO306770	AENJA_24261, AENJA_25876
OG0000743	CAPO306268	AENJA_02218, AENJA_03448, AENJA_02220, AENJA_13371, AENJA_13756, AENJA_04913
OG0000747	CAPO303187	AENJA_11144, AENJA_11146, AENJA_17531
OG0000748	CAPO301276	AENJA_15960
OG0000751	CAPO302771	AENJA_22604
OG0000752	CAPO300507	AENJA_00591
OG0000752	CAPO305335	AENJA_26667
OG0000753	CAPO301378	AENJA_01120
