Orthogroup	CAPO3	DROME
OG0000126	CAPO300572	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804, DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000129	CAPO303361	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055
OG0000142	CAPO302031, CAPO302030	DROME09730, DROME08254, DROME08253, DROME07188, DROME13886, DROME07187, DROME17530, DROME17531
OG0000147	CAPO308132	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	CAPO304230	DROME17452, DROME17451
OG0000149	CAPO305206, CAPO306214	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236, DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000157	CAPO305956	DROME05619, DROME05620, DROME05621, DROME05618, DROME05617, DROME05616
OG0000157	CAPO301137	DROME11709
OG0000157	CAPO305824	DROME09786, DROME05150, DROME05149
OG0000167	CAPO301364, CAPO303476	DROME04018, DROME04019, DROME09457, DROME09458
OG0000171	CAPO304813	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199, DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000174	CAPO304629	DROME10165, DROME11306
OG0000175	CAPO303513	DROME03593, DROME00840
OG0000179	CAPO300694	DROME11221, DROME21050
OG0000179	CAPO303342	DROME07796
OG0000181	CAPO301108	DROME12775
OG0000181	CAPO302034	DROME18397
OG0000181	CAPO300374	DROME06226
OG0000183	CAPO305638	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	CAPO302591	DROME07197
OG0000183	CAPO305829	DROME07008, DROME18789
OG0000192	CAPO301980	DROME21955, DROME21954, DROME21953, DROME11894
OG0000193	CAPO302628	DROME21697, DROME21696, DROME21698, DROME08054, DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981
OG0000195	CAPO305454	DROME10558, DROME10557, DROME10559, DROME09087, DROME14260
OG0000201	CAPO307729	DROME11047
OG0000203	CAPO302139	DROME04489, DROME17201, DROME17204, DROME17194, DROME17195, DROME17203, DROME17199, DROME17193, DROME21480, DROME04557, DROME10212, DROME03275
OG0000204	CAPO303090	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808, DROME10849, DROME10848
OG0000207	CAPO304105, CAPO304106, CAPO304714	DROME17636, DROME06000
OG0000211	CAPO306209	DROME17290, DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068
OG0000220	CAPO306780, CAPO307695	DROME21812, DROME21811, DROME16094, DROME16093, DROME16092, DROME21087, DROME21089, DROME21088
OG0000222	CAPO304211	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
OG0000223	CAPO308126	DROME10256
OG0000225	CAPO305347	DROME11929
OG0000226	CAPO306934	DROME14660
OG0000226	CAPO303463	DROME15107, DROME15108, DROME15106, DROME15105
OG0000234	CAPO301359	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143, DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365, DROME11142
OG0000238	CAPO305428	DROME01901, DROME01902
OG0000239	CAPO302089	DROME05270, DROME05269, DROME05271, DROME05268, DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708, DROME03549, DROME03548, DROME03550, DROME03551
OG0000240	CAPO303214	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862
OG0000240	CAPO303372	DROME04779, DROME05772, DROME06965, DROME08357, DROME06930, DROME06939, DROME06932, DROME06931, DROME06933, DROME06938, DROME06935, DROME06936, DROME06937, DROME06934, DROME14517, DROME14518, DROME14516, DROME14525, DROME14521, DROME14522, DROME14519, DROME14520, DROME14523, DROME14524, DROME14527, DROME14528
OG0000246	CAPO303496	DROME18580, DROME13185, DROME13186, DROME13188, DROME13187
OG0000248	CAPO307635, CAPO302481, CAPO302487	DROME01997, DROME05927, DROME05926, DROME05929, DROME05928
OG0000250	CAPO305827	DROME11256, DROME11255, DROME11257
OG0000255	CAPO301531	DROME15943
OG0000255	CAPO300499	DROME20722, DROME05791, DROME18596
OG0000256	CAPO307884	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058
OG0000256	CAPO306876	DROME07912
OG0000257	CAPO300414	DROME01840, DROME01838, DROME01839, DROME01837, DROME22065, DROME22067, DROME22063, DROME22064, DROME22066, DROME22069, DROME22068, DROME12936
OG0000258	CAPO301106	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594
OG0000258	CAPO301746	DROME20383, DROME17641, DROME17639, DROME17640
OG0000260	CAPO300399	DROME17607, DROME17608, DROME17606
OG0000265	CAPO306126	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975
OG0000265	CAPO306540	DROME00452
OG0000271	CAPO304641	DROME19668, DROME19667, DROME03592
OG0000273	CAPO305109	DROME09248, DROME09247, DROME10822, DROME20533
OG0000273	CAPO300804	DROME08809, DROME08810
OG0000273	CAPO306869	DROME18369
OG0000277	CAPO303621	DROME03338, DROME03337, DROME03339, DROME03340, DROME03341, DROME03342
OG0000277	CAPO301295, CAPO300254, CAPO307814, CAPO307752, CAPO306171	DROME03640, DROME03639, DROME21210, DROME21209, DROME08160
OG0000278	CAPO305822	DROME00752
OG0000278	CAPO302023	DROME02023
OG0000278	CAPO303638	DROME03254
OG0000282	CAPO308183	DROME05714, DROME11686
OG0000284	CAPO305695	DROME09381, DROME09382
OG0000285	CAPO303377	DROME00993
OG0000288	CAPO305142	DROME02838, DROME18143, DROME18843, DROME19403, DROME18842, DROME13122, DROME08694, DROME09407, DROME04916, DROME16609, DROME16610, DROME04910, DROME04913, DROME01225, DROME08693, DROME16360, DROME10946, DROME09605, DROME03357, DROME03358, DROME01394, DROME03352, DROME03350, DROME03351, DROME01393
OG0000289	CAPO307835	DROME14029, DROME14030, DROME14032, DROME14033, DROME16652, DROME14031, DROME07017, DROME07018, DROME16470, DROME04966, DROME16392, DROME16393, DROME16389, DROME16394, DROME13607, DROME12960, DROME12961, DROME12959, DROME12962, DROME10658, DROME10659
OG0000299	CAPO306599	DROME07127, DROME07124, DROME07123
OG0000305	CAPO307183	DROME05696, DROME05695, DROME05694, DROME14843, DROME05690, DROME05691, DROME05692
OG0000306	CAPO308212	DROME18377, DROME18374, DROME18379, DROME18378, DROME18380, DROME18375, DROME18381, DROME18376
OG0000308	CAPO303083	DROME05159
OG0000310	CAPO305978	DROME16770
OG0000312	CAPO302691	DROME10814, DROME10815
OG0000313	CAPO307072	DROME15510, DROME02549, DROME02550
OG0000313	CAPO301348	DROME21546
OG0000314	CAPO304303	DROME06444, DROME09997, DROME09992, DROME09995, DROME09999, DROME09991, DROME09996, DROME09998, DROME10001, DROME09993, DROME10000, DROME09994
OG0000315	CAPO307611	DROME13631
OG0000316	CAPO307924, CAPO300321	DROME19451, DROME19452
OG0000320	CAPO308077	DROME18689
OG0000320	CAPO307609, CAPO307599, CAPO304493	DROME02815
OG0000322	CAPO306406	DROME08431, DROME08430, DROME08432, DROME15309, DROME03869, DROME08433, DROME01395, DROME01498, DROME00116, DROME16124, DROME08429
OG0000326	CAPO308358, CAPO307947	DROME20026, DROME20030, DROME20027, DROME20025, DROME20029, DROME20028, DROME20024
OG0000327	CAPO308120	DROME03880, DROME09102, DROME08839, DROME07459, DROME07460, DROME07461, DROME07462, DROME14790, DROME19988, DROME19987, DROME19986, DROME19989, DROME19990, DROME19985, DROME19984, DROME19510
OG0000335	CAPO307753	DROME11631, DROME11632, DROME11634, DROME11633, DROME11639, DROME11640, DROME01793
OG0000338	CAPO304735	DROME21194, DROME21193, DROME21975, DROME04558
OG0000339	CAPO305264	DROME16744
OG0000343	CAPO306429	DROME13475, DROME13478, DROME13474, DROME13476, DROME13480, DROME13477, DROME13473, DROME13481, DROME13479
OG0000352	CAPO300356	DROME14143, DROME14145, DROME14147, DROME14146, DROME14148, DROME14144
OG0000359	CAPO301540	DROME11803
OG0000363	CAPO300237, CAPO305594	DROME18487
OG0000367	CAPO301272	DROME01988, DROME15187, DROME15186, DROME13648, DROME13646, DROME13647, DROME15189, DROME15190, DROME15188, DROME15181, DROME15183, DROME15185, DROME15184, DROME15182
OG0000371	CAPO307503	DROME01678, DROME02633, DROME02636
OG0000372	CAPO307553	DROME18401, DROME09531, DROME10800
OG0000373	CAPO301744	DROME14548, DROME20852, DROME16822, DROME20049, DROME20050
OG0000385	CAPO300182, CAPO305781, CAPO305517	DROME05997, DROME09713, DROME09714, DROME09715, DROME05708, DROME05707
OG0000390	CAPO307000	DROME01744, DROME01742, DROME02737, DROME01739, DROME01741
OG0000392	CAPO300351	DROME13919, DROME13921, DROME13920
OG0000393	CAPO307627	DROME13321, DROME05811, DROME00250, DROME16370, DROME16369, DROME13323, DROME02418, DROME13322, DROME20684
OG0000397	CAPO304372	DROME14885
OG0000399	CAPO302781	DROME21835, DROME12205, DROME12206
OG0000402	CAPO300999	DROME11245, DROME11246, DROME12090
OG0000405	CAPO300636	DROME04975, DROME04976, DROME04979, DROME04977, DROME04980, DROME04978, DROME04974
OG0000412	CAPO306116	DROME09076
OG0000412	CAPO307159	DROME15681, DROME15682, DROME02464, DROME13336, DROME13334, DROME13335, DROME15399
OG0000413	CAPO302663	DROME21174
OG0000413	CAPO304678	DROME13327, DROME13328
OG0000419	CAPO304227	DROME15435, DROME02118, DROME02117, DROME18475, DROME01671, DROME00269, DROME15434, DROME15436, DROME00268, DROME00270
OG0000420	CAPO307162	DROME02672
OG0000424	CAPO302770, CAPO306814	DROME02090, DROME02075, DROME02066, DROME02076, DROME02077, DROME02078, DROME02064, DROME02063, DROME02062, DROME02065, DROME02081, DROME12353, DROME17176, DROME17175, DROME00623, DROME03850, DROME03851, DROME06196, DROME14713, DROME14583, DROME14582, DROME14580, DROME14579, DROME14581, DROME08237, DROME08236, DROME08235
OG0000426	CAPO302714	DROME16357, DROME16356
OG0000426	CAPO306829	DROME09933, DROME09928, DROME09929, DROME09932, DROME09931, DROME09930, DROME09934
OG0000427	CAPO303813	DROME05699, DROME05698
OG0000429	CAPO300725	DROME19525, DROME07553, DROME07552, DROME06812
OG0000431	CAPO306585	DROME12301, DROME12300
OG0000431	CAPO304684	DROME11410, DROME11409, DROME11408
OG0000433	CAPO304838, CAPO302573	DROME20425, DROME20423, DROME20424
OG0000435	CAPO308080	DROME05837, DROME03996, DROME03995
OG0000436	CAPO305799	DROME12478
OG0000442	CAPO302753, CAPO302633	DROME12188
OG0000444	CAPO305423	DROME21032
OG0000444	CAPO301239	DROME03786, DROME03789, DROME03788, DROME03787
OG0000445	CAPO301584	DROME06725, DROME06723, DROME06724, DROME20153, DROME20152
OG0000447	CAPO300691	DROME20929, DROME20928
OG0000450	CAPO307586, CAPO307446	DROME16711, DROME16712
OG0000453	CAPO305025	DROME16386, DROME16387, DROME16388
OG0000454	CAPO301952	DROME15035, DROME15036, DROME15037, DROME15029, DROME15032, DROME15025, DROME15026, DROME15028, DROME15030, DROME15027, DROME15040, DROME15039
OG0000461	CAPO303645, CAPO304085, CAPO303531	DROME17428
OG0000461	CAPO307456	DROME03657, DROME03656
OG0000467	CAPO302214	DROME21658, DROME21660, DROME21659
OG0000469	CAPO306584, CAPO302277	DROME18292, DROME18291, DROME18290
OG0000470	CAPO307521	DROME21570, DROME21569, DROME21239
OG0000475	CAPO303779	DROME08667, DROME08669, DROME08666, DROME08668
OG0000479	CAPO303549	DROME10906, DROME10907, DROME10905, DROME10908, DROME10909
OG0000479	CAPO304267	DROME19907, DROME19910, DROME19906, DROME19908, DROME19909, DROME19905, DROME19911
OG0000480	CAPO307201	DROME18226, DROME18222, DROME18229, DROME18223, DROME18227, DROME18225, DROME18224, DROME18228
OG0000481	CAPO300053	DROME21853
OG0000481	CAPO304800	DROME19418
OG0000481	CAPO304355	DROME01481
OG0000484	CAPO304750	DROME18988, DROME18995, DROME18994, DROME18989, DROME18985, DROME18986, DROME18992, DROME18993, DROME18990, DROME18987, DROME18991, DROME18996
OG0000485	CAPO303224, CAPO303026	DROME01103, DROME01104, DROME14453
OG0000486	CAPO306048, CAPO306972	DROME11708
OG0000488	CAPO305871	DROME14757, DROME14755, DROME14754
OG0000490	CAPO302264	DROME07132
OG0000491	CAPO305506	DROME21061, DROME21062, DROME21060, DROME21059
OG0000505	CAPO303790, CAPO306121	DROME18823
OG0000506	CAPO304587	DROME20212, DROME20211, DROME20206, DROME20208, DROME20209, DROME20213, DROME20215, DROME20219, DROME20218, DROME20214, DROME20216, DROME20217
OG0000508	CAPO303408, CAPO307945	DROME02055
OG0000508	CAPO306082, CAPO307989, CAPO301076, CAPO302590	DROME08723, DROME08722, DROME08721
OG0000510	CAPO303128, CAPO305095	DROME07066, DROME17661, DROME17660, DROME17663, DROME17662, DROME17659, DROME15630, DROME15629, DROME02254
OG0000514	CAPO307292	DROME10575, DROME10574, DROME10569, DROME10572, DROME10570, DROME10576, DROME10573, DROME10571
OG0000519	CAPO300709	DROME08599
OG0000520	CAPO304720	DROME14866, DROME14865
OG0000528	CAPO300417	DROME11293, DROME11294, DROME11295, DROME11296
OG0000530	CAPO306919	DROME18198, DROME18195, DROME18196, DROME18193, DROME18191, DROME18192, DROME18194, DROME18190, DROME18199, DROME18197
OG0000532	CAPO300259	DROME01047, DROME12257
OG0000548	CAPO307253, CAPO307370	DROME12062, DROME12064, DROME12063
OG0000549	CAPO305341	DROME15009
OG0000551	CAPO305700	DROME20755, DROME20754, DROME20757, DROME20756, DROME17228, DROME20767, DROME20760, DROME20758, DROME20761, DROME20765, DROME13495, DROME20763, DROME20762, DROME20766
OG0000552	CAPO302805	DROME03162, DROME03867
OG0000553	CAPO302261	DROME21018, DROME21017, DROME21019
OG0000554	CAPO300205	DROME13166, DROME13165, DROME13164
OG0000561	CAPO307817, CAPO304686, CAPO304296	DROME01983, DROME01984, DROME17453
OG0000563	CAPO305151	DROME19165, DROME00254
OG0000566	CAPO306820	DROME04343, DROME04344, DROME04345
OG0000567	CAPO300710, CAPO302895	DROME15246, DROME04098, DROME04097, DROME15019
OG0000572	CAPO302048	DROME13193, DROME13191, DROME13190, DROME13192
OG0000573	CAPO301573	DROME12167, DROME20963
OG0000573	CAPO300482	DROME19690
OG0000574	CAPO303025	DROME20472, DROME13727, DROME20471
OG0000578	CAPO305505	DROME00903, DROME00906, DROME00904, DROME00909, DROME00905, DROME00907, DROME00908, DROME11950, DROME13534
OG0000583	CAPO302594	DROME06718, DROME11767, DROME11759, DROME11760, DROME11761, DROME11765, DROME11762, DROME11766
OG0000585	CAPO302010	DROME07476
OG0000586	CAPO304818	DROME05946, DROME05945, DROME05947, DROME05948
OG0000587	CAPO304868	DROME16670, DROME16671, DROME16672
OG0000590	CAPO302664	DROME00417
OG0000591	CAPO300885	DROME20132, DROME20133, DROME20134
OG0000591	CAPO304932, CAPO300378	DROME12861
OG0000591	CAPO301508, CAPO306921	DROME02758, DROME01434, DROME01432, DROME01435, DROME01433
OG0000592	CAPO302552	DROME03009, DROME03008, DROME03007, DROME03010, DROME03011, DROME03012, DROME19640
OG0000593	CAPO303950	DROME03359, DROME03360, DROME07365, DROME07366
OG0000594	CAPO305185	DROME15095, DROME15096, DROME15094
OG0000597	CAPO305949	DROME04131, DROME04129, DROME04130
OG0000600	CAPO302133	DROME15794, DROME15792, DROME15791, DROME15789, DROME15786, DROME15790, DROME15788, DROME15787, DROME15793, DROME15795, DROME15797, DROME15796
OG0000603	CAPO300286	DROME16375, DROME16373, DROME16372, DROME16376, DROME16374
OG0000604	CAPO304248	DROME04675, DROME04678, DROME04673, DROME04681, DROME04677, DROME04672, DROME04674, DROME04680, DROME04676, DROME04679
OG0000611	CAPO305139	DROME19843, DROME19842, DROME19846, DROME19847, DROME19844, DROME19845, DROME19841
OG0000611	CAPO302505	DROME01553, DROME01552, DROME01554
OG0000612	CAPO308174	DROME04304
OG0000612	CAPO300901	DROME00841
OG0000613	CAPO306741, CAPO303985	DROME11661, DROME11657, DROME11660, DROME11656, DROME11658, DROME11659
OG0000614	CAPO306138, CAPO304207	DROME20120, DROME20121, DROME20122, DROME20119
OG0000616	CAPO301011	DROME06628, DROME06631, DROME06630, DROME06629
OG0000617	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167	DROME17414
OG0000619	CAPO303580	DROME01411, DROME01409, DROME01406, DROME01407, DROME01404, DROME01403, DROME01408, DROME01405, DROME01410
OG0000623	CAPO306891	DROME13642
OG0000623	CAPO306678	DROME13267, DROME13269, DROME13273, DROME13272, DROME13270, DROME13271, DROME13268, DROME13266, DROME19458, DROME19644, DROME09777, DROME09776
OG0000624	CAPO304034, CAPO304035	DROME05635, DROME05636, DROME05638, DROME05634, DROME05639, DROME05637, DROME08947, DROME08946, DROME08945
OG0000627	CAPO301912	DROME00612, DROME00609, DROME00610, DROME00607, DROME00611, DROME00608, DROME07604, DROME07603
OG0000628	CAPO306878	DROME13958, DROME17423
OG0000629	CAPO304632	DROME03521, DROME15755
OG0000636	CAPO300927, CAPO308236	DROME13985, DROME13986, DROME13982, DROME13979, DROME13976, DROME13972, DROME13974, DROME13975, DROME13973, DROME13981, DROME13984, DROME13980, DROME13983
OG0000637	CAPO306492	DROME07298
OG0000639	CAPO300322	DROME11868, DROME11860, DROME11862, DROME11861, DROME11863, DROME11866, DROME11867, DROME11864, DROME11865
OG0000639	CAPO305269	DROME00355
OG0000642	CAPO302938, CAPO302939, CAPO304769, CAPO302566	DROME16938
OG0000643	CAPO301316	DROME03064, DROME03054, DROME03067, DROME03065, DROME03063, DROME03061, DROME03066, DROME03062, DROME03060, DROME03059, DROME03058, DROME03057, DROME03056, DROME03055
OG0000645	CAPO307784, CAPO304648	DROME14720
OG0000648	CAPO307637, CAPO304025, CAPO306715, CAPO307568	DROME08636
OG0000650	CAPO302429	DROME12896, DROME12897, DROME12895
OG0000651	CAPO301045	DROME04446, DROME04444, DROME04448, DROME04445, DROME04443, DROME04449, DROME04447
OG0000652	CAPO307163	DROME15382, DROME15380, DROME15381, DROME15386, DROME15385, DROME15379, DROME15384, DROME15383
OG0000653	CAPO304384	DROME04693, DROME06761
OG0000657	CAPO304461, CAPO304462	DROME04361
OG0000660	CAPO304213	DROME08489
OG0000662	CAPO308235	DROME13127, DROME03101, DROME20426, DROME20379, DROME18061
OG0000663	CAPO303713	DROME05436
OG0000664	CAPO305353	DROME09223, DROME09224, DROME09222, DROME09220, DROME09221, DROME09219
OG0000666	CAPO306172	DROME12576, DROME12575
OG0000672	CAPO301072	DROME01096, DROME01095
OG0000672	CAPO301848	DROME13682
OG0000674	CAPO303746	DROME13823, DROME12190
OG0000676	CAPO304343, CAPO305288	DROME07205
OG0000676	CAPO300920, CAPO304680	DROME15377
OG0000683	CAPO304912	DROME11493, DROME11492
OG0000683	CAPO305392, CAPO303509	DROME01831, DROME18009, DROME18008, DROME18007
OG0000684	CAPO306227	DROME01544, DROME01547, DROME01543, DROME01550, DROME01548, DROME01541, DROME01546, DROME01542, DROME01545, DROME01549, DROME12862
OG0000686	CAPO300156	DROME18140, DROME18139, DROME02489
OG0000690	CAPO306653	DROME09460
OG0000690	CAPO304114	DROME13136
OG0000691	CAPO301028	DROME16223, DROME16222, DROME03625
OG0000692	CAPO306980	DROME13871, DROME13870
OG0000693	CAPO300633	DROME01415, DROME01416, DROME01417, DROME01418
