Orthogroup	CAPO3	OWEFU
OG0000023	CAPO307690	OFUSG26468.1.p1, OFUSG06069.1.p1, OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1, OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1, OFUSG14126.1.p1, OFUSG03510.1.p1, OFUSG16429.1.p1, OFUSG16431.1.p1, OFUSG11068.1.p1, OFUSG06762.1.p1, OFUSG02690.3.p1, OFUSG02690.2.p1, OFUSG02690.1.p1, OFUSG10023.2.p1, OFUSG10023.1.p1, OFUSG10022.3.p1, OFUSG10022.4.p1, OFUSG10022.1.p1, OFUSG10022.2.p1, OFUSG13724.2.p1, OFUSG13724.1.p1
OG0000029	CAPO307131	OFUSG21449.1.p1, OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1, OFUSG01397.1.p1, OFUSG01400.1.p1, OFUSG01402.1.p1, OFUSG03457.2.p1, OFUSG03457.1.p1, OFUSG05746.3.p1, OFUSG05746.2.p1, OFUSG05746.1.p1, OFUSG18779.1.p1, OFUSG08105.1.p1, OFUSG09439.1.p1, OFUSG26816.1.p1, OFUSG22757.1.p1, OFUSG11381.1.p1, OFUSG11380.1.p1, OFUSG07090.1.p1, OFUSG07089.1.p1, OFUSG06802.1.p1, OFUSG26611.2.p1, OFUSG26611.1.p1, OFUSG13634.2.p1, OFUSG13634.1.p1, OFUSG01580.1.p1, OFUSG21155.1.p1, OFUSG16858.1.p1, OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1
OG0000030	CAPO300110	OFUSG16143.1.p1
OG0000030	CAPO305356, CAPO301638, CAPO307563	OFUSG05961.1.p1, OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1, OFUSG07789.1.p1, OFUSG07787.1.p1, OFUSG04213.1.p1, OFUSG21892.1.p1, OFUSG11273.1.p1, OFUSG21119.1.p1, OFUSG17928.1.p1, OFUSG18203.1.p1, OFUSG10901.1.p1, OFUSG10241.1.p1, OFUSG17612.1.p1, OFUSG12869.1.p1, OFUSG05001.1.p1, OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1, OFUSG14128.1.p1, OFUSG14128.2.p1, OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	CAPO303729	OFUSG12627.1.p1
OG0000035	CAPO307346, CAPO308354	OFUSG08016.1.p1, OFUSG08016.2.p1, OFUSG16461.1.p1, OFUSG07703.1.p1, OFUSG09470.1.p1, OFUSG07007.1.p1, OFUSG07007.2.p1, OFUSG07851.1.p1, OFUSG25460.1.p1, OFUSG07717.1.p1, OFUSG23601.1.p1, OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1, OFUSG09471.1.p1
OG0000039	CAPO306958, CAPO306959	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	CAPO302254	OFUSG12767.1.p1, OFUSG04725.1.p1
OG0000041	CAPO308025, CAPO306861	OFUSG24029.1.p1, OFUSG17554.1.p1, OFUSG15031.1.p1, OFUSG26511.5.p1, OFUSG26511.1.p1, OFUSG26511.3.p1, OFUSG26511.2.p1, OFUSG26511.4.p1, OFUSG15030.1.p1, OFUSG24031.1.p1, OFUSG24027.1.p1, OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1, OFUSG06586.2.p1, OFUSG06586.1.p1, OFUSG06587.1.p1, OFUSG07896.1.p1, OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000043	CAPO308256	OFUSG12022.1.p1, OFUSG22688.1.p1, OFUSG21723.1.p1
OG0000048	CAPO305301	OFUSG03456.1.p1
OG0000048	CAPO306877	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1
OG0000048	CAPO304823	OFUSG04756.1.p1
OG0000049	CAPO304018	OFUSG22442.1.p1, OFUSG00390.1.p1, OFUSG06038.1.p1, OFUSG14032.1.p1, OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1, OFUSG23568.1.p1, OFUSG21437.1.p1, OFUSG10735.1.p1, OFUSG14837.1.p1, OFUSG06810.1.p1, OFUSG18275.1.p1, OFUSG20360.1.p1, OFUSG20359.1.p1, OFUSG20362.1.p1, OFUSG14327.1.p1, OFUSG01468.1.p1, OFUSG04791.1.p1, OFUSG24665.1.p1, OFUSG04926.1.p1, OFUSG10567.1.p1, OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1, OFUSG22444.1.p1, OFUSG19056.1.p1, OFUSG22443.1.p1
OG0000051	CAPO307809, CAPO301249	OFUSG18065.1.p1, OFUSG26208.1.p1, OFUSG26207.1.p1, OFUSG09394.2.p1, OFUSG09394.1.p1, OFUSG09393.1.p1, OFUSG06466.2.p1, OFUSG06466.1.p1, OFUSG06468.1.p1, OFUSG06467.1.p1, OFUSG22449.1.p1, OFUSG01450.1.p2, OFUSG23177.1.p1, OFUSG10302.1.p1, OFUSG14314.1.p1, OFUSG17623.1.p1, OFUSG24736.1.p1
OG0000053	CAPO307363	OFUSG08626.1.p1
OG0000054	CAPO303213, CAPO305653	OFUSG08102.2.p1, OFUSG08102.1.p1
OG0000054	CAPO302015	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	CAPO303797	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000056	CAPO305974, CAPO306012, CAPO306941	OFUSG00150.1.p1, OFUSG17281.1.p1, OFUSG00880.1.p1, OFUSG00880.2.p1, OFUSG19663.1.p1, OFUSG09997.1.p1, OFUSG11656.1.p1, OFUSG14011.1.p1, OFUSG00149.1.p1, OFUSG01275.1.p1, OFUSG00148.1.p1
OG0000058	CAPO305595	OFUSG21852.1.p1, OFUSG06504.1.p1
OG0000060	CAPO305373	OFUSG14955.1.p1, OFUSG23392.1.p1, OFUSG21371.2.p1, OFUSG21371.1.p1, OFUSG25748.1.p1, OFUSG06220.1.p1, OFUSG06220.2.p1, OFUSG22689.1.p1, OFUSG15770.2.p1, OFUSG15770.1.p1, OFUSG17254.1.p1, OFUSG17256.1.p1, OFUSG07484.1.p1, OFUSG07264.1.p1, OFUSG04665.1.p1, OFUSG04666.1.p1, OFUSG13147.1.p1, OFUSG04875.1.p1, OFUSG09429.1.p1, OFUSG08326.1.p1, OFUSG08326.2.p1
OG0000062	CAPO300910	OFUSG19725.1.p1, OFUSG05205.1.p1, OFUSG20078.1.p1, OFUSG20078.2.p1, OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	CAPO300270	OFUSG17109.2.p1, OFUSG17109.1.p1, OFUSG05823.2.p1, OFUSG05823.1.p1, OFUSG01195.1.p1, OFUSG20081.1.p1, OFUSG22244.1.p1, OFUSG01196.1.p1, OFUSG17598.1.p1, OFUSG17396.1.p1, OFUSG23292.1.p1
OG0000066	CAPO308057	OFUSG11553.1.p1, OFUSG15075.1.p1, OFUSG25801.1.p1, OFUSG16714.1.p1, OFUSG24368.1.p1, OFUSG12881.1.p1, OFUSG12880.1.p1, OFUSG01773.1.p1, OFUSG01842.1.p1, OFUSG18415.1.p2, OFUSG18410.1.p1, OFUSG01823.1.p1, OFUSG01911.1.p1, OFUSG18410.2.p1, OFUSG18412.1.p2, OFUSG26741.1.p1, OFUSG26737.1.p1, OFUSG25402.1.p1, OFUSG26742.1.p1, OFUSG13079.1.p1, OFUSG25914.1.p1, OFUSG00863.1.p1, OFUSG04883.1.p1, OFUSG04882.1.p1, OFUSG04885.1.p2, OFUSG21263.1.p1, OFUSG23527.1.p1, OFUSG16951.1.p1, OFUSG16951.2.p1, OFUSG09162.1.p1, OFUSG22461.1.p1, OFUSG03668.1.p1, OFUSG23652.3.p1, OFUSG23652.1.p1, OFUSG23652.2.p1, OFUSG12986.1.p1, OFUSG23651.1.p1, OFUSG23651.2.p1, OFUSG23651.3.p1, OFUSG07546.1.p1, OFUSG14827.1.p1, OFUSG13498.2.p1, OFUSG13498.1.p1, OFUSG02268.1.p1, OFUSG02267.1.p1, OFUSG03611.1.p1, OFUSG00570.1.p1, OFUSG19426.1.p2, OFUSG21693.1.p1, OFUSG14092.1.p1
OG0000069	CAPO302182	OFUSG26968.1.p1
OG0000082	CAPO304738	OFUSG08036.1.p1
OG0000082	CAPO306626	OFUSG05603.1.p1
OG0000082	CAPO300843	OFUSG21176.1.p1, OFUSG21175.1.p1
OG0000082	CAPO306232	OFUSG21079.1.p1, OFUSG10604.1.p1
OG0000085	CAPO303061	OFUSG23228.1.p1, OFUSG17240.1.p1, OFUSG17241.1.p1
OG0000085	CAPO303047	OFUSG24119.1.p1, OFUSG04918.1.p1, OFUSG15502.1.p1, OFUSG23884.1.p1, OFUSG00479.1.p1
OG0000089	CAPO300386, CAPO300810, CAPO302098	OFUSG05790.1.p1, OFUSG00843.1.p1, OFUSG05923.1.p1, OFUSG05923.2.p1, OFUSG05781.1.p1
OG0000091	CAPO301134	OFUSG04820.1.p1, OFUSG07948.1.p1, OFUSG12748.1.p1, OFUSG16501.1.p1, OFUSG09748.1.p1, OFUSG15287.1.p1, OFUSG21197.1.p1, OFUSG12747.1.p1, OFUSG00427.1.p1, OFUSG13208.1.p1, OFUSG02153.1.p1, OFUSG01959.1.p1, OFUSG01956.2.p1, OFUSG01956.1.p1, OFUSG14844.1.p1, OFUSG05335.1.p1, OFUSG01958.1.p1, OFUSG01955.1.p1, OFUSG07415.1.p1, OFUSG07415.2.p1, OFUSG07949.1.p1
OG0000095	CAPO301288, CAPO306046	OFUSG11139.1.p1, OFUSG11139.2.p1, OFUSG20731.1.p1, OFUSG10751.1.p1, OFUSG10752.1.p1, OFUSG05076.1.p1, OFUSG05077.1.p1, OFUSG04927.1.p1, OFUSG04834.1.p1, OFUSG05311.1.p1, OFUSG05311.3.p1, OFUSG05311.2.p1, OFUSG23053.1.p1, OFUSG20564.2.p1, OFUSG20564.1.p1, OFUSG06065.1.p1, OFUSG03477.1.p1, OFUSG05320.1.p1
OG0000096	CAPO301431	OFUSG06591.1.p1
OG0000096	CAPO307955	OFUSG12705.1.p1
OG0000096	CAPO307522	OFUSG09090.1.p1
OG0000096	CAPO300294	OFUSG08225.1.p1
OG0000096	CAPO307017	OFUSG00268.1.p1
OG0000101	CAPO306858	OFUSG17826.1.p1, OFUSG17826.2.p1, OFUSG17827.1.p1, OFUSG26221.1.p1, OFUSG19071.1.p1, OFUSG16240.1.p1, OFUSG16959.1.p1, OFUSG24300.2.p1, OFUSG24300.1.p1
OG0000103	CAPO302453	OFUSG11159.3.p1, OFUSG11159.1.p1, OFUSG11159.4.p1, OFUSG11159.2.p1, OFUSG11159.5.p1, OFUSG10643.2.p1, OFUSG10643.1.p1
OG0000106	CAPO300017	OFUSG20665.1.p1, OFUSG20644.1.p1, OFUSG20761.2.p1, OFUSG20761.1.p1, OFUSG15466.1.p1, OFUSG15467.1.p1, OFUSG20218.1.p1, OFUSG20218.2.p1, OFUSG24132.1.p1, OFUSG24131.1.p1, OFUSG24131.2.p1, OFUSG24130.1.p1, OFUSG24130.2.p1, OFUSG05307.1.p1, OFUSG24133.1.p1, OFUSG24133.2.p1, OFUSG15090.1.p1, OFUSG15395.1.p1, OFUSG15393.1.p1, OFUSG05895.1.p1
OG0000110	CAPO300387	OFUSG16688.1.p1, OFUSG00551.1.p1, OFUSG00553.1.p2, OFUSG08856.1.p1, OFUSG08857.1.p1, OFUSG05171.1.p1, OFUSG22992.1.p1, OFUSG02493.1.p1, OFUSG11515.1.p1, OFUSG11410.3.p1, OFUSG11410.4.p1, OFUSG11410.1.p1, OFUSG11410.2.p1, OFUSG11514.1.p1, OFUSG11512.1.p1, OFUSG11513.1.p1, OFUSG25344.1.p1, OFUSG25344.2.p1, OFUSG11146.1.p1
OG0000119	CAPO304642	OFUSG15970.2.p1, OFUSG15970.3.p1, OFUSG15970.4.p1, OFUSG15970.1.p1, OFUSG00836.1.p1, OFUSG12269.1.p1, OFUSG14939.1.p1, OFUSG16287.1.p1
OG0000122	CAPO307824	OFUSG16654.1.p1, OFUSG16654.2.p1, OFUSG16654.5.p1, OFUSG16654.4.p1, OFUSG16654.3.p1, OFUSG07637.2.p1, OFUSG07637.1.p1, OFUSG24096.1.p1, OFUSG24096.2.p1, OFUSG25442.1.p1, OFUSG16403.1.p1, OFUSG07655.1.p1, OFUSG09651.1.p1, OFUSG16404.3.p1, OFUSG16404.1.p1, OFUSG16404.4.p1, OFUSG16404.2.p1
OG0000124	CAPO304324	OFUSG17860.1.p1
OG0000124	CAPO302553	OFUSG17649.1.p1
OG0000126	CAPO301836	OFUSG02680.1.p1
OG0000126	CAPO302484	OFUSG13809.1.p1
OG0000126	CAPO300572	OFUSG02691.3.p1, OFUSG02691.2.p1, OFUSG02691.4.p1, OFUSG02691.1.p1, OFUSG02691.5.p1, OFUSG08618.1.p1, OFUSG07602.1.p1
OG0000128	CAPO306991, CAPO304956	OFUSG13665.1.p1, OFUSG08989.1.p1, OFUSG08988.1.p1, OFUSG08990.1.p1, OFUSG25804.1.p1, OFUSG25332.1.p1, OFUSG25334.1.p1, OFUSG00562.1.p1
OG0000129	CAPO303361	OFUSG15026.1.p1, OFUSG03321.1.p1, OFUSG03321.2.p1, OFUSG19181.1.p1, OFUSG19181.2.p1, OFUSG12088.1.p1, OFUSG12519.1.p1, OFUSG05207.1.p1, OFUSG18497.1.p1, OFUSG25789.1.p1, OFUSG04265.2.p1, OFUSG04265.1.p1, OFUSG14340.1.p1
OG0000137	CAPO305369	OFUSG10777.1.p1, OFUSG13550.1.p1, OFUSG13550.2.p1, OFUSG11144.1.p1, OFUSG11145.1.p1, OFUSG11143.1.p1, OFUSG21640.1.p1, OFUSG06514.1.p1, OFUSG06514.2.p1, OFUSG00060.1.p1, OFUSG01896.1.p1
OG0000142	CAPO302031, CAPO302030	OFUSG00775.1.p1, OFUSG05109.1.p1, OFUSG05117.1.p1, OFUSG05355.1.p1
OG0000147	CAPO308132	OFUSG21442.2.p1, OFUSG21442.4.p1, OFUSG21442.1.p1, OFUSG21442.3.p1, OFUSG21442.5.p1
OG0000147	CAPO304230	OFUSG25122.1.p1, OFUSG25011.1.p1, OFUSG25011.2.p1
OG0000149	CAPO305206, CAPO306214	OFUSG16120.1.p1, OFUSG04525.1.p1, OFUSG05240.1.p1, OFUSG20670.1.p1, OFUSG20485.1.p1, OFUSG04685.1.p1, OFUSG04699.1.p1, OFUSG04099.1.p1, OFUSG10155.1.p1, OFUSG06135.1.p1, OFUSG10728.1.p1
OG0000157	CAPO302981	OFUSG10663.1.p1
OG0000157	CAPO305824	OFUSG06400.1.p1, OFUSG20854.1.p1
OG0000160	CAPO301680	OFUSG13799.1.p1
OG0000167	CAPO301364, CAPO303476	OFUSG13384.1.p1, OFUSG23708.1.p1, OFUSG23708.2.p1
OG0000171	CAPO304813	OFUSG00917.1.p1, OFUSG15615.1.p1, OFUSG12255.1.p1, OFUSG02510.1.p1, OFUSG00918.1.p1, OFUSG24189.1.p1, OFUSG10183.1.p1
OG0000174	CAPO304629	OFUSG23398.1.p1, OFUSG23396.1.p1, OFUSG08038.1.p1, OFUSG08231.1.p1, OFUSG08230.1.p1, OFUSG08228.1.p1, OFUSG00523.2.p1, OFUSG00523.1.p1, OFUSG17472.1.p1, OFUSG21473.2.p1, OFUSG21473.1.p1
OG0000175	CAPO303513	OFUSG17209.1.p1
OG0000175	CAPO303920	OFUSG17416.1.p1
OG0000179	CAPO300694	OFUSG10862.2.p1, OFUSG10862.1.p1
OG0000179	CAPO303342	OFUSG09587.1.p1
OG0000181	CAPO301108	OFUSG16146.1.p1
OG0000181	CAPO302034	OFUSG05616.1.p1
OG0000181	CAPO307692	OFUSG21931.1.p1
OG0000181	CAPO300374	OFUSG26101.1.p1
OG0000183	CAPO305638	OFUSG11627.1.p1, OFUSG11627.2.p1
OG0000183	CAPO305829	OFUSG08563.2.p1, OFUSG08563.1.p1, OFUSG09522.1.p1
OG0000184	CAPO304928	OFUSG15487.1.p1, OFUSG21878.1.p1, OFUSG08044.1.p1, OFUSG14499.1.p1
OG0000186	CAPO301875	OFUSG21934.1.p1, OFUSG21934.2.p1, OFUSG21934.3.p1, OFUSG21937.1.p1
OG0000192	CAPO301980	OFUSG10409.1.p1, OFUSG02450.1.p1
OG0000193	CAPO302628	OFUSG07986.3.p1, OFUSG07986.2.p1, OFUSG07986.1.p1, OFUSG08158.1.p1
OG0000194	CAPO305195	OFUSG13910.1.p1, OFUSG20742.1.p1
OG0000195	CAPO305454	OFUSG14819.1.p1, OFUSG14479.2.p1, OFUSG14479.1.p1, OFUSG23590.1.p1, OFUSG23591.1.p1, OFUSG17223.2.p1, OFUSG23589.1.p1, OFUSG17223.1.p1, OFUSG24484.1.p1, OFUSG18426.1.p1, OFUSG17323.1.p1, OFUSG05634.1.p1
OG0000201	CAPO307729	OFUSG18295.1.p1
OG0000203	CAPO302139	OFUSG18348.1.p1, OFUSG23539.1.p1, OFUSG23539.2.p1, OFUSG17594.1.p1, OFUSG17593.1.p1, OFUSG26269.1.p1, OFUSG26268.1.p1, OFUSG26267.1.p1, OFUSG23325.1.p1, OFUSG23386.1.p1, OFUSG13145.1.p1, OFUSG23301.1.p1
OG0000204	CAPO303090	OFUSG26401.1.p1, OFUSG00289.1.p1, OFUSG00295.4.p1, OFUSG00295.3.p1, OFUSG00295.2.p1, OFUSG00295.1.p1, OFUSG00294.2.p1, OFUSG00294.3.p1, OFUSG00294.1.p1
OG0000207	CAPO304105, CAPO304106, CAPO304714	OFUSG23269.1.p1, OFUSG23266.1.p1, OFUSG04805.1.p1, OFUSG26647.1.p1, OFUSG11923.1.p1, OFUSG26853.1.p1, OFUSG11197.1.p1, OFUSG06473.1.p1, OFUSG04111.3.p1, OFUSG04111.1.p1, OFUSG04111.2.p1, OFUSG04111.4.p1, OFUSG22441.1.p1, OFUSG01125.1.p1, OFUSG00716.2.p1, OFUSG00716.1.p1, OFUSG00716.3.p1, OFUSG21730.2.p1, OFUSG21730.1.p1, OFUSG21729.1.p1, OFUSG21731.1.p1, OFUSG21727.1.p1, OFUSG22730.1.p1, OFUSG25250.1.p1, OFUSG23095.1.p1, OFUSG03131.1.p1, OFUSG21728.1.p1
OG0000211	CAPO306209	OFUSG09374.1.p1, OFUSG00599.1.p1, OFUSG12452.1.p1, OFUSG19871.1.p1, OFUSG19638.1.p1, OFUSG20005.1.p1
OG0000218	CAPO300559	OFUSG07139.1.p1, OFUSG16832.1.p1, OFUSG07140.1.p1, OFUSG18980.1.p1
OG0000220	CAPO306780, CAPO307695	OFUSG17667.1.p1, OFUSG10627.1.p1
OG0000221	CAPO300247	OFUSG10844.1.p1, OFUSG10678.1.p1, OFUSG10678.2.p1, OFUSG07107.3.p1, OFUSG07107.2.p1, OFUSG07107.1.p1
OG0000222	CAPO304211	OFUSG08668.1.p1, OFUSG08666.1.p1, OFUSG07845.3.p1, OFUSG07845.2.p1, OFUSG07845.1.p1, OFUSG26535.1.p1, OFUSG26532.1.p1, OFUSG17221.1.p1, OFUSG17222.1.p1, OFUSG26534.1.p1
OG0000223	CAPO308126	OFUSG17112.1.p1, OFUSG17112.2.p1, OFUSG17112.4.p1, OFUSG17112.3.p1, OFUSG23350.2.p1, OFUSG23350.1.p1, OFUSG05933.1.p1, OFUSG05933.2.p1
OG0000225	CAPO305347	OFUSG19279.1.p1, OFUSG19278.1.p1, OFUSG06916.1.p1, OFUSG02515.1.p1, OFUSG18793.3.p1, OFUSG18793.2.p1, OFUSG18793.1.p1, OFUSG15666.1.p1, OFUSG21902.1.p1, OFUSG18792.1.p1
OG0000226	CAPO306934	OFUSG12589.1.p1
OG0000226	CAPO303463	OFUSG07026.2.p1, OFUSG07026.1.p1, OFUSG07426.1.p1
OG0000234	CAPO301359	OFUSG01567.2.p1, OFUSG01567.1.p1, OFUSG01567.5.p1, OFUSG01567.3.p1, OFUSG01567.4.p1, OFUSG16599.1.p1
OG0000238	CAPO305428	OFUSG10164.1.p1
OG0000239	CAPO302089	OFUSG11213.1.p1, OFUSG11213.2.p1, OFUSG16306.2.p1, OFUSG16306.1.p1
OG0000240	CAPO303214	OFUSG25838.1.p1, OFUSG23383.1.p1, OFUSG01957.1.p1, OFUSG25513.1.p1, OFUSG13581.1.p1, OFUSG02370.1.p1, OFUSG00223.1.p1, OFUSG24220.1.p1, OFUSG20470.1.p1, OFUSG20471.1.p1, OFUSG13190.2.p1, OFUSG13190.1.p1, OFUSG22069.1.p1, OFUSG22658.1.p1
OG0000240	CAPO303372	OFUSG00810.1.p1, OFUSG20290.1.p1
