Orthogroup	CAPO3	STRPU_ok
OG0000110	CAPO300387	STRPU_00144, STRPU_15809, STRPU_15855, STRPU_16662, STRPU_16520, STRPU_15856, STRPU_15811, STRPU_15857, STRPU_15812, STRPU_07303, STRPU_16033, STRPU_16044, STRPU_04106, STRPU_02369, STRPU_12779, STRPU_16663, STRPU_16689, STRPU_16690, STRPU_16661, STRPU_16688, STRPU_25624, STRPU_25621, STRPU_25625, STRPU_02320, STRPU_12739, STRPU_20491, STRPU_21462, STRPU_21461, STRPU_24363
OG0000116	CAPO305622	STRPU_21801, STRPU_21802
OG0000119	CAPO304642	STRPU_13902, STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951, STRPU_13805, STRPU_13905
OG0000122	CAPO307824	STRPU_24152, STRPU_24150, STRPU_24593, STRPU_24582, STRPU_24583, STRPU_24594
OG0000124	CAPO304324	STRPU_09291
OG0000126	CAPO302484	STRPU_06870
OG0000126	CAPO300572	STRPU_04964, STRPU_26672
OG0000128	CAPO306991, CAPO304956	STRPU_10852, STRPU_10834, STRPU_17766, STRPU_17387, STRPU_17765, STRPU_17386, STRPU_24545, STRPU_20813, STRPU_00080, STRPU_21124, STRPU_21123, STRPU_21127, STRPU_21125
OG0000129	CAPO303361	STRPU_15503, STRPU_21106, STRPU_21101, STRPU_06625
OG0000137	CAPO305369	STRPU_07118, STRPU_07594, STRPU_07697, STRPU_07683, STRPU_07593, STRPU_07965, STRPU_07957, STRPU_17715, STRPU_18673, STRPU_18678
OG0000142	CAPO302031, CAPO302030	STRPU_10891, STRPU_10873, STRPU_05787, STRPU_10883, STRPU_10879, STRPU_00821, STRPU_26698, STRPU_00820, STRPU_00819, STRPU_25555, STRPU_25554, STRPU_10876, STRPU_10887, STRPU_10875, STRPU_10888, STRPU_25556, STRPU_10885, STRPU_10877, STRPU_10878, STRPU_10884, STRPU_10889, STRPU_10890, STRPU_10874, STRPU_10945, STRPU_10943
OG0000147	CAPO308132	STRPU_24812
OG0000147	CAPO304230	STRPU_20621
OG0000149	CAPO305206, CAPO306214	STRPU_00890, STRPU_00893, STRPU_23020, STRPU_23018, STRPU_00891, STRPU_22171, STRPU_22181, STRPU_22177, STRPU_22170, STRPU_11139, STRPU_11116, STRPU_01568, STRPU_09391, STRPU_01569, STRPU_09390, STRPU_22185, STRPU_17637, STRPU_02282, STRPU_17638, STRPU_17737, STRPU_17521, STRPU_17518, STRPU_17522, STRPU_04830, STRPU_00746
OG0000157	CAPO305956	STRPU_22147
OG0000157	CAPO302981	STRPU_08448
OG0000157	CAPO305824	STRPU_22616, STRPU_25761
OG0000160	CAPO301680	STRPU_24405
OG0000167	CAPO301364, CAPO303476	STRPU_08011, STRPU_07803, STRPU_07531, STRPU_07529, STRPU_07745, STRPU_07671
OG0000171	CAPO304813	STRPU_14714, STRPU_24033, STRPU_02631, STRPU_19940, STRPU_02585, STRPU_04281
OG0000174	CAPO304629	STRPU_16145, STRPU_16138, STRPU_15886, STRPU_09192, STRPU_15884, STRPU_15888, STRPU_15882, STRPU_15832, STRPU_15834, STRPU_15887, STRPU_15891, STRPU_15838, STRPU_15890, STRPU_15892, STRPU_15836, STRPU_15835, STRPU_15883, STRPU_15881, STRPU_15885, STRPU_15839, STRPU_15833, STRPU_15831, STRPU_15837, STRPU_00043, STRPU_16005, STRPU_23493
OG0000175	CAPO303513	STRPU_24563
OG0000179	CAPO300694	STRPU_04627, STRPU_04649
OG0000179	CAPO303342	STRPU_00166, STRPU_27037, STRPU_27036
OG0000181	CAPO302034	STRPU_22671
OG0000181	CAPO307692	STRPU_21403, STRPU_21400, STRPU_21401
OG0000181	CAPO300374	STRPU_15658, STRPU_15675
OG0000183	CAPO305638	STRPU_21811
OG0000183	CAPO305829	STRPU_03432, STRPU_03075
OG0000184	CAPO304928	STRPU_19370, STRPU_19368
OG0000186	CAPO301875	STRPU_20741
OG0000192	CAPO300533	STRPU_25396
OG0000192	CAPO301980	STRPU_08187
OG0000193	CAPO302628	STRPU_26256, STRPU_10096, STRPU_10159
OG0000194	CAPO305195	STRPU_00024, STRPU_00025, STRPU_06136, STRPU_06137, STRPU_05974, STRPU_06736, STRPU_06599, STRPU_06600, STRPU_06597, STRPU_06598, STRPU_05970, STRPU_05971, STRPU_05972, STRPU_05973, STRPU_06442
OG0000195	CAPO305454	STRPU_06815, STRPU_06128, STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458, STRPU_13259
OG0000201	CAPO307729	STRPU_08330
OG0000203	CAPO302139	STRPU_24292, STRPU_10908, STRPU_10896, STRPU_10907, STRPU_10827
OG0000204	CAPO303090	STRPU_10936, STRPU_11647, STRPU_01303
OG0000207	CAPO304105, CAPO304106, CAPO304714	STRPU_02190, STRPU_09226, STRPU_10587, STRPU_12464, STRPU_12640, STRPU_12639, STRPU_25640, STRPU_25623, STRPU_25638, STRPU_25639, STRPU_04360, STRPU_02462, STRPU_13603, STRPU_25406, STRPU_02460, STRPU_06266, STRPU_06310, STRPU_16641, STRPU_06673
OG0000211	CAPO306209	STRPU_02785, STRPU_18014, STRPU_21779, STRPU_27150, STRPU_26341
OG0000218	CAPO300559	STRPU_24450, STRPU_24451, STRPU_20177, STRPU_20178, STRPU_06428, STRPU_20179, STRPU_23041, STRPU_23040, STRPU_20377, STRPU_20378, STRPU_09181, STRPU_02145, STRPU_02142, STRPU_02143, STRPU_09179, STRPU_02146, STRPU_02147, STRPU_02144, STRPU_02140, STRPU_02149, STRPU_20379
OG0000220	CAPO306780, CAPO307695	STRPU_04095, STRPU_07403, STRPU_07402, STRPU_07401, STRPU_11837, STRPU_04617
OG0000221	CAPO300247	STRPU_25006, STRPU_10448, STRPU_16065
OG0000222	CAPO304211	STRPU_10704, STRPU_10705, STRPU_10948, STRPU_26038, STRPU_00387, STRPU_10706
OG0000223	CAPO308126	STRPU_09834, STRPU_09833, STRPU_07084
OG0000225	CAPO305347	STRPU_22829, STRPU_01990, STRPU_01991, STRPU_22830, STRPU_22831, STRPU_22388
OG0000234	CAPO301359	STRPU_22182, STRPU_11520
OG0000238	CAPO305428	STRPU_00959, STRPU_08862
OG0000239	CAPO302089	STRPU_24683, STRPU_20505, STRPU_01873, STRPU_25188
OG0000240	CAPO303214	STRPU_02509, STRPU_02512, STRPU_15130, STRPU_15129, STRPU_02510, STRPU_15131, STRPU_02513
OG0000242	CAPO304847	STRPU_22571
OG0000244	CAPO301556	STRPU_25421, STRPU_23304, STRPU_23303, STRPU_25990
OG0000246	CAPO303496	STRPU_14570, STRPU_14461, STRPU_14460, STRPU_14442, STRPU_18045, STRPU_07221, STRPU_13463, STRPU_08832, STRPU_13464, STRPU_13465
OG0000248	CAPO307635, CAPO302481, CAPO302487	STRPU_23659, STRPU_23683, STRPU_23774, STRPU_23777, STRPU_23776, STRPU_23775, STRPU_23778, STRPU_23779
OG0000250	CAPO305827	STRPU_05823
OG0000255	CAPO306632	STRPU_21343
OG0000255	CAPO301531	STRPU_06497
OG0000255	CAPO300499	STRPU_04137, STRPU_13419, STRPU_12912, STRPU_26210, STRPU_18620, STRPU_12446, STRPU_12447, STRPU_12953, STRPU_12950
OG0000256	CAPO307884	STRPU_19461
OG0000256	CAPO306483	STRPU_14842, STRPU_26901, STRPU_26900, STRPU_26902, STRPU_27111, STRPU_26544
OG0000257	CAPO300414	STRPU_27378, STRPU_27217, STRPU_21726, STRPU_21661, STRPU_26405
OG0000258	CAPO301106	STRPU_08780
OG0000258	CAPO301746	STRPU_22696, STRPU_21352
OG0000260	CAPO300399	STRPU_22982
OG0000265	CAPO306126	STRPU_19907
OG0000265	CAPO306540	STRPU_01912, STRPU_22756
OG0000271	CAPO304641	STRPU_13269, STRPU_19512, STRPU_13270, STRPU_13735, STRPU_13553
OG0000273	CAPO305109	STRPU_18566
OG0000273	CAPO300804	STRPU_15406
OG0000273	CAPO306869	STRPU_24051, STRPU_02609, STRPU_24050, STRPU_02610
OG0000277	CAPO303621	STRPU_02244, STRPU_15555
OG0000277	CAPO301295	STRPU_04283
OG0000278	CAPO305822	STRPU_03004
OG0000278	CAPO302023	STRPU_20692
OG0000278	CAPO303638	STRPU_26265
OG0000282	CAPO308183	STRPU_01499, STRPU_13749, STRPU_09980, STRPU_09957, STRPU_09543, STRPU_09417
OG0000284	CAPO305695	STRPU_07330, STRPU_18787
OG0000285	CAPO303377	STRPU_05159, STRPU_05080, STRPU_05158, STRPU_04963, STRPU_05775, STRPU_05157, STRPU_05079
OG0000288	CAPO305142	STRPU_24377
OG0000289	CAPO307835	STRPU_18786, STRPU_18677, STRPU_12560, STRPU_12562
OG0000295	CAPO302113, CAPO302799	STRPU_26615, STRPU_26613, STRPU_06225, STRPU_06205, STRPU_06691, STRPU_26618, STRPU_08406, STRPU_08402
OG0000299	CAPO306599	STRPU_07501
OG0000305	CAPO307183	STRPU_21971
OG0000306	CAPO308212	STRPU_04181, STRPU_00072, STRPU_04180
OG0000308	CAPO304037	STRPU_13191, STRPU_13968, STRPU_21103, STRPU_21098, STRPU_14797
OG0000308	CAPO303083	STRPU_08810
OG0000310	CAPO305978	STRPU_25676, STRPU_25769, STRPU_25768, STRPU_25786, STRPU_25767, STRPU_25785, STRPU_08819, STRPU_08721, STRPU_01455, STRPU_19424, STRPU_19517
OG0000312	CAPO304557	STRPU_21396
OG0000312	CAPO302691	STRPU_05481
OG0000313	CAPO307072	STRPU_05794, STRPU_10597
OG0000313	CAPO301348	STRPU_24296, STRPU_23132
OG0000314	CAPO304303	STRPU_21722, STRPU_21657, STRPU_21176, STRPU_05385
OG0000315	CAPO307611	STRPU_14641
OG0000315	CAPO308167	STRPU_23166
OG0000316	CAPO307924, CAPO300321	STRPU_10737, STRPU_01026, STRPU_23411, STRPU_23297
OG0000317	CAPO306620	STRPU_19997
OG0000319	CAPO303225	STRPU_07205, STRPU_16775, STRPU_01745
OG0000320	CAPO308077	STRPU_27116
OG0000320	CAPO304008	STRPU_07019
OG0000322	CAPO306406	STRPU_04953, STRPU_04955, STRPU_05710, STRPU_18148, STRPU_05731, STRPU_07690, STRPU_20644, STRPU_20642, STRPU_07689, STRPU_07702
OG0000326	CAPO303322	STRPU_10867, STRPU_10847
OG0000335	CAPO307753	STRPU_25854
OG0000338	CAPO304735	STRPU_02251, STRPU_15548, STRPU_15357, STRPU_26051
OG0000339	CAPO305264	STRPU_25795, STRPU_25777, STRPU_25782, STRPU_25800, STRPU_25779, STRPU_25781, STRPU_25803, STRPU_25817, STRPU_25811, STRPU_25778, STRPU_25797, STRPU_25815, STRPU_25802, STRPU_25799, STRPU_17596, STRPU_17598, STRPU_17599, STRPU_09857, STRPU_25818, STRPU_25804, STRPU_25814, STRPU_25801, STRPU_14998, STRPU_25780, STRPU_08178, STRPU_25807, STRPU_25805, STRPU_25819, STRPU_25784, STRPU_25808, STRPU_25810, STRPU_25816, STRPU_25783
OG0000343	CAPO306429	STRPU_17122, STRPU_17107
OG0000345	CAPO300769	STRPU_04121
OG0000352	CAPO300356	STRPU_18690, STRPU_06876, STRPU_16144, STRPU_16137, STRPU_07149, STRPU_16650, STRPU_16649
OG0000357	CAPO301487	STRPU_23598
OG0000359	CAPO305417	STRPU_09098, STRPU_02069
OG0000359	CAPO301540	STRPU_14383
OG0000359	CAPO306866	STRPU_05510
OG0000360	CAPO300757	STRPU_24087, STRPU_16620, STRPU_05700, STRPU_23802
OG0000364	CAPO301330, CAPO300908	STRPU_24813, STRPU_24695, STRPU_12300, STRPU_23213, STRPU_23224, STRPU_24852, STRPU_22921
OG0000367	CAPO301272	STRPU_22294, STRPU_24010
OG0000371	CAPO307503	STRPU_23761, STRPU_23760, STRPU_16099, STRPU_13196, STRPU_13809, STRPU_09318, STRPU_23763, STRPU_23766, STRPU_23764
OG0000372	CAPO307553	STRPU_20297, STRPU_16741, STRPU_01713, STRPU_05141, STRPU_05066, STRPU_15694
OG0000373	CAPO301744	STRPU_15389, STRPU_20623
OG0000385	CAPO300182, CAPO305781, CAPO305517	STRPU_11318, STRPU_11302, STRPU_11104, STRPU_11129, STRPU_11108, STRPU_11132, STRPU_11109, STRPU_11133, STRPU_13347, STRPU_11130, STRPU_11105
OG0000390	CAPO301433, CAPO301477	STRPU_14892, STRPU_15069, STRPU_15070, STRPU_15067, STRPU_15284, STRPU_14788, STRPU_18623, STRPU_08567, STRPU_08568, STRPU_14895, STRPU_14894, STRPU_14896
OG0000390	CAPO307000	STRPU_02974, STRPU_23877
OG0000392	CAPO300351	STRPU_19132
OG0000393	CAPO307627	STRPU_17898, STRPU_17427, STRPU_17899, STRPU_17900, STRPU_25376, STRPU_01522, STRPU_09438, STRPU_26326
OG0000397	CAPO304372	STRPU_10143, STRPU_10081
OG0000399	CAPO302781	STRPU_07794, STRPU_20860, STRPU_20896, STRPU_07796, STRPU_11457, STRPU_23097
OG0000402	CAPO300999	STRPU_09420, STRPU_01539, STRPU_26119, STRPU_26105, STRPU_26104, STRPU_26118
OG0000405	CAPO300636	STRPU_27356
OG0000412	CAPO306116	STRPU_22647
OG0000412	CAPO307159	STRPU_04141, STRPU_20062
OG0000413	CAPO302663	STRPU_21399
OG0000413	CAPO304678	STRPU_06626
OG0000416	CAPO305980	STRPU_20196
OG0000420	CAPO307162	STRPU_23782, STRPU_10246, STRPU_10247, STRPU_10244, STRPU_14739, STRPU_14741, STRPU_14740, STRPU_20569, STRPU_20568
OG0000422	CAPO301071	STRPU_07102
OG0000424	CAPO302770, CAPO306814	STRPU_11870, STRPU_04472, STRPU_04471
OG0000426	CAPO302714	STRPU_09853
OG0000426	CAPO306829	STRPU_00627
OG0000427	CAPO303813	STRPU_12503, STRPU_00637
OG0000429	CAPO300725	STRPU_23154
OG0000431	CAPO306585	STRPU_05364
OG0000431	CAPO304684	STRPU_06554, STRPU_06544
OG0000433	CAPO304838, CAPO302573	STRPU_17895
OG0000434	CAPO304471	STRPU_07317, STRPU_15085, STRPU_14398, STRPU_14396, STRPU_14395, STRPU_14557, STRPU_14249
OG0000435	CAPO308080	STRPU_24868, STRPU_24869, STRPU_22156
OG0000436	CAPO305799	STRPU_23785
OG0000442	CAPO302753, CAPO302633	STRPU_17294
OG0000444	CAPO305423	STRPU_12350
OG0000444	CAPO301239	STRPU_12803
OG0000445	CAPO301584	STRPU_02013, STRPU_16954, STRPU_26060, STRPU_17672
OG0000447	CAPO300691	STRPU_05018
OG0000450	CAPO307586, CAPO307446	STRPU_14805
OG0000453	CAPO305025	STRPU_11780, STRPU_11765, STRPU_11767, STRPU_11764
OG0000454	CAPO301952	STRPU_26357
OG0000461	CAPO303645, CAPO304085, CAPO303531	STRPU_22427
OG0000461	CAPO307456	STRPU_14492
OG0000467	CAPO302214	STRPU_23158
