Orthogroup	CAPO3	DANRE
OG0000043	CAPO308256	DANRE34152, DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395, DANRE00964
OG0000048	CAPO305301	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	CAPO304823	DANRE26183
OG0000049	CAPO304018	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854, DANRE36715, DANRE36714, DANRE02678, DANRE12445, DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833, DANRE13089, DANRE13098, DANRE13083, DANRE35265, DANRE10820, DANRE30744
OG0000051	CAPO307809, CAPO301249	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	CAPO302015	DANRE06791, DANRE15743
OG0000054	CAPO303797	DANRE09041, DANRE09042, DANRE04360
OG0000055	CAPO301479, CAPO301432	DANRE26046, DANRE37399, DANRE26075
OG0000056	CAPO305974, CAPO306012, CAPO306941	DANRE40469, DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910, DANRE40924, DANRE40923, DANRE30239
OG0000058	CAPO305595	DANRE01466, DANRE01467
OG0000058	CAPO307225	DANRE03528
OG0000060	CAPO305373	DANRE15035, DANRE15034, DANRE05268, DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000062	CAPO300910	DANRE28563, DANRE28564, DANRE28575, DANRE28567, DANRE08108, DANRE35118, DANRE16967, DANRE16966, DANRE16965, DANRE16964, DANRE16968, DANRE16963, DANRE16977, DANRE16975, DANRE16976, DANRE16978, DANRE16969, DANRE08527, DANRE08526, DANRE09429, DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570, DANRE18807, DANRE18806
OG0000063	CAPO300270	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513, DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785, DANRE15770, DANRE36896, DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000066	CAPO308057	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000069	CAPO302182	DANRE26091
OG0000069	CAPO301523, CAPO305173	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956
OG0000082	CAPO304738	DANRE33308
OG0000082	CAPO306626	DANRE06377
OG0000082	CAPO300843	DANRE29360, DANRE29355, DANRE39683, DANRE29357, DANRE40398, DANRE00971, DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710
OG0000085	CAPO303061	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947
OG0000085	CAPO303047	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408, DANRE41207, DANRE34643, DANRE03156, DANRE10316, DANRE06317, DANRE41902, DANRE41903, DANRE41901, DANRE23253, DANRE33578, DANRE33579, DANRE35407, DANRE35406, DANRE08304, DANRE08305, DANRE33807, DANRE33806, DANRE14204, DANRE04562, DANRE35677, DANRE35678
OG0000089	CAPO300386, CAPO300810, CAPO302098	DANRE00866, DANRE06893, DANRE01120, DANRE01121, DANRE24411, DANRE18395, DANRE18394, DANRE18393, DANRE18392
OG0000091	CAPO301134	DANRE19328, DANRE19327, DANRE19329
OG0000096	CAPO301431	DANRE40526, DANRE02165, DANRE31394, DANRE31393
OG0000096	CAPO303349	DANRE02166
OG0000096	CAPO307955	DANRE36045, DANRE24893
OG0000096	CAPO307522	DANRE14485
OG0000096	CAPO300294	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947
OG0000096	CAPO307017	DANRE38250, DANRE38251, DANRE29625, DANRE29623, DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000101	CAPO306858	DANRE38569, DANRE26131, DANRE26132, DANRE12070, DANRE23836, DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774
OG0000103	CAPO302453	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772, DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633
OG0000106	CAPO300017	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604, DANRE26909, DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822
OG0000107	CAPO301524	DANRE37418
OG0000110	CAPO300387	DANRE00791, DANRE00859, DANRE08321, DANRE11747, DANRE11748, DANRE11749
OG0000116	CAPO305622	DANRE10733
OG0000119	CAPO304642	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249, DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167, DANRE42690, DANRE42691, DANRE05898
OG0000122	CAPO307824	DANRE03356, DANRE03355, DANRE29132, DANRE27353, DANRE24610, DANRE24611, DANRE42733, DANRE34039, DANRE34040, DANRE34038, DANRE01547, DANRE01546, DANRE19221, DANRE19220, DANRE34744, DANRE34745, DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813
OG0000124	CAPO304324	DANRE43119
OG0000124	CAPO302553	DANRE09986, DANRE02785, DANRE02786, DANRE22696
OG0000126	CAPO301836	DANRE04839, DANRE04840, DANRE04841, DANRE06613, DANRE06612, DANRE36521
OG0000126	CAPO302484	DANRE16570, DANRE16568, DANRE16569, DANRE06924, DANRE06925, DANRE06927, DANRE06923, DANRE22185, DANRE22186
OG0000126	CAPO306676	DANRE09488
OG0000126	CAPO300572	DANRE24264, DANRE24265, DANRE24266, DANRE07231, DANRE07232, DANRE19091, DANRE19090, DANRE21704, DANRE21705, DANRE33653, DANRE33654, DANRE09589, DANRE25981, DANRE25982
OG0000128	CAPO306991, CAPO304956	DANRE33979, DANRE08860
OG0000129	CAPO303361	DANRE21944, DANRE21943, DANRE21942, DANRE21941, DANRE21936, DANRE21937, DANRE05805, DANRE05803, DANRE05804, DANRE21940, DANRE21939, DANRE21938, DANRE21934, DANRE21935, DANRE05801, DANRE05802, DANRE19999, DANRE37478, DANRE37477, DANRE37476, DANRE16830, DANRE17949, DANRE17948, DANRE11891, DANRE11892, DANRE11890, DANRE10723, DANRE10724, DANRE11910, DANRE19744, DANRE12249, DANRE12250, DANRE37926, DANRE37925, DANRE37924, DANRE13156, DANRE13155, DANRE13154, DANRE28020, DANRE28021
OG0000137	CAPO305369	DANRE09204, DANRE17609, DANRE06165, DANRE17940, DANRE17941, DANRE04021, DANRE04020, DANRE17727, DANRE10757
OG0000142	CAPO302031, CAPO302030	DANRE23829, DANRE34265, DANRE41247, DANRE06190, DANRE30133, DANRE16974, DANRE09223, DANRE26306, DANRE36874
OG0000147	CAPO308132	DANRE10593, DANRE10594, DANRE18815, DANRE11115
OG0000147	CAPO304230	DANRE05562, DANRE16724, DANRE16725, DANRE11736, DANRE11737
OG0000149	CAPO305206, CAPO306214	DANRE00119, DANRE33977, DANRE33976, DANRE33978, DANRE34857, DANRE34856, DANRE34855, DANRE25293, DANRE25295, DANRE25294, DANRE37665, DANRE37666, DANRE12798, DANRE12797, DANRE04846
OG0000157	CAPO305956	DANRE34923, DANRE28272, DANRE21748, DANRE21746, DANRE21747, DANRE41215, DANRE41214, DANRE34922, DANRE21753, DANRE21754
OG0000157	CAPO302981	DANRE21331
OG0000157	CAPO305824	DANRE40414, DANRE40415, DANRE36730, DANRE00557, DANRE36959, DANRE36960, DANRE02661, DANRE25691, DANRE31497, DANRE40411, DANRE40410, DANRE12853, DANRE12855, DANRE38298, DANRE12854
OG0000158	CAPO302924	DANRE21825, DANRE21824, DANRE16888, DANRE16887, DANRE16889
OG0000167	CAPO301364, CAPO303476	DANRE10765, DANRE22706, DANRE22707, DANRE40314, DANRE15008, DANRE22499, DANRE22498, DANRE27166, DANRE17740, DANRE11398, DANRE11083, DANRE11082, DANRE11081, DANRE17267, DANRE15006, DANRE15004, DANRE23504, DANRE27268, DANRE17271, DANRE17272
OG0000171	CAPO304813	DANRE00111, DANRE00110, DANRE04752, DANRE07375, DANRE03983, DANRE20301, DANRE20300, DANRE08229, DANRE08228, DANRE31512, DANRE31513, DANRE03984, DANRE03985, DANRE16355, DANRE15814
OG0000174	CAPO304629	DANRE13585, DANRE33604, DANRE04813, DANRE04814, DANRE23326, DANRE27857, DANRE42132, DANRE42133
OG0000175	CAPO303513	DANRE18466, DANRE26656, DANRE39199, DANRE39200
OG0000175	CAPO303920	DANRE22919, DANRE02514
OG0000179	CAPO300694	DANRE01574, DANRE40987
OG0000179	CAPO303342	DANRE43121, DANRE25146, DANRE25145
OG0000181	CAPO301108	DANRE35615, DANRE23131, DANRE23130, DANRE26358, DANRE29929, DANRE24701
OG0000181	CAPO302034	DANRE02884, DANRE02883, DANRE12403, DANRE12404, DANRE12405
OG0000181	CAPO307692	DANRE16584, DANRE26492
OG0000181	CAPO300374	DANRE18962, DANRE11917
OG0000183	CAPO305638	DANRE19978, DANRE08187, DANRE08186, DANRE08185, DANRE34383, DANRE34382, DANRE18628, DANRE18627, DANRE04912, DANRE04914, DANRE04913, DANRE19973, DANRE19972, DANRE19974, DANRE38116, DANRE38118, DANRE38117, DANRE22228, DANRE22229
OG0000183	CAPO305829	DANRE08132, DANRE34989, DANRE34988, DANRE41633, DANRE41632, DANRE08948, DANRE08946, DANRE34990
OG0000184	CAPO304928	DANRE17664, DANRE17663, DANRE17665, DANRE17666
OG0000192	CAPO304141	DANRE39465, DANRE39464
OG0000192	CAPO301980	DANRE28817, DANRE28818
OG0000193	CAPO302628	DANRE34973, DANRE33595, DANRE34240, DANRE33321, DANRE33322, DANRE33593, DANRE33594, DANRE34569, DANRE07989, DANRE34976, DANRE34977, DANRE34975, DANRE34974, DANRE16056, DANRE08684
OG0000194	CAPO305195	DANRE07507, DANRE27093, DANRE24470, DANRE24471, DANRE02515
OG0000195	CAPO305454	DANRE26547, DANRE26546, DANRE23862, DANRE23863, DANRE32969, DANRE26548, DANRE38212, DANRE38213, DANRE38214, DANRE33889, DANRE28018
OG0000201	CAPO307729	DANRE15486, DANRE15485, DANRE15484, DANRE30063, DANRE30062, DANRE30061, DANRE36037, DANRE28541, DANRE28524, DANRE12461
OG0000201	CAPO300462	DANRE19427, DANRE35321
OG0000203	CAPO302139	DANRE15727, DANRE14699, DANRE18500, DANRE14717, DANRE38197, DANRE07753, DANRE36471, DANRE22962, DANRE41037, DANRE41036, DANRE35298, DANRE06818, DANRE35299, DANRE22900, DANRE02845, DANRE02846, DANRE02844
OG0000204	CAPO303090	DANRE22975, DANRE22976, DANRE07627, DANRE07626, DANRE30762, DANRE12375, DANRE12376, DANRE39104, DANRE39103, DANRE39102, DANRE26235, DANRE43351, DANRE26103, DANRE38455, DANRE38457, DANRE38456, DANRE30689, DANRE30690, DANRE26107, DANRE26108, DANRE22977, DANRE38458, DANRE26101, DANRE38469
OG0000207	CAPO304105, CAPO304106, CAPO304714	DANRE17486, DANRE17485, DANRE17484, DANRE22386, DANRE15618, DANRE15616, DANRE15617, DANRE15615, DANRE15619, DANRE07385, DANRE27408, DANRE35263, DANRE35264, DANRE10271, DANRE22834, DANRE22835
OG0000211	CAPO306209	DANRE07428, DANRE04462, DANRE04461, DANRE19375, DANRE19374, DANRE37550, DANRE37552, DANRE34919, DANRE34918, DANRE40802, DANRE37551, DANRE40803, DANRE25257, DANRE37648
OG0000218	CAPO300559	DANRE21272, DANRE22815
OG0000220	CAPO306780, CAPO307695	DANRE26586, DANRE26587, DANRE26588, DANRE26584, DANRE26583, DANRE26585, DANRE23907, DANRE15860, DANRE15859, DANRE01410, DANRE04370, DANRE04369, DANRE04371, DANRE04950, DANRE04949, DANRE00370, DANRE00369, DANRE35167
OG0000221	CAPO300247	DANRE21380, DANRE21379, DANRE42561, DANRE24216, DANRE24218, DANRE24215, DANRE26894, DANRE26896, DANRE26895, DANRE24217, DANRE29970, DANRE29969, DANRE03479, DANRE13103, DANRE13104, DANRE41056, DANRE02442, DANRE02443, DANRE42362, DANRE10521, DANRE29024, DANRE29025
OG0000222	CAPO304211	DANRE08892, DANRE02501, DANRE02503, DANRE02502, DANRE02504, DANRE22242, DANRE22243, DANRE22240, DANRE22239, DANRE22241
OG0000223	CAPO308126	DANRE41768, DANRE41772, DANRE02462, DANRE02461, DANRE41770, DANRE12033, DANRE12032, DANRE18153, DANRE18152, DANRE41769, DANRE38146, DANRE38148, DANRE38147, DANRE03385, DANRE03386, DANRE05328
OG0000225	CAPO305347	DANRE31381, DANRE31382, DANRE31383, DANRE31384, DANRE31380, DANRE31379, DANRE31378, DANRE31377, DANRE22490, DANRE36644, DANRE36645, DANRE40476, DANRE31226, DANRE40474, DANRE40473, DANRE23156, DANRE19629, DANRE19630, DANRE06683
OG0000226	CAPO306934	DANRE11650
OG0000226	CAPO303463	DANRE21406, DANRE21407
OG0000234	CAPO301359	DANRE21676, DANRE21675, DANRE19408, DANRE19409, DANRE12183, DANRE12184, DANRE08990, DANRE08989, DANRE13969, DANRE31517, DANRE31519, DANRE31518, DANRE31520, DANRE31523, DANRE31521, DANRE38638, DANRE38634, DANRE38635, DANRE38636, DANRE31522
OG0000238	CAPO305428	DANRE03666, DANRE29074, DANRE03667
OG0000239	CAPO302089	DANRE03491, DANRE29951, DANRE03738, DANRE26391, DANRE26392, DANRE41746, DANRE41745, DANRE35712, DANRE19581, DANRE41747, DANRE35710, DANRE19582, DANRE35708, DANRE18831, DANRE11676, DANRE29702, DANRE29704, DANRE29703, DANRE03364, DANRE03363, DANRE03365, DANRE09553, DANRE14346, DANRE14347
OG0000240	CAPO303214	DANRE33483
OG0000242	CAPO304847	DANRE39800, DANRE30613, DANRE23069
OG0000244	CAPO301556	DANRE23384, DANRE33208, DANRE01749, DANRE01750, DANRE40364, DANRE33065, DANRE26123, DANRE23383, DANRE39345, DANRE10256, DANRE14300, DANRE12683, DANRE02457, DANRE02456, DANRE02458, DANRE24578
OG0000246	CAPO303496	DANRE29491, DANRE35156
OG0000248	CAPO307635, CAPO302481, CAPO302487	DANRE11475, DANRE03510, DANRE03511, DANRE03504, DANRE03515, DANRE03516, DANRE17595, DANRE17596, DANRE03517, DANRE03512, DANRE03507, DANRE03513, DANRE03514, DANRE03518, DANRE03508, DANRE03509, DANRE03506, DANRE03505, DANRE03503, DANRE33895, DANRE34721, DANRE34722, DANRE34720, DANRE09912, DANRE09911, DANRE09913, DANRE13533, DANRE09910
OG0000250	CAPO305827	DANRE30458
OG0000255	CAPO301531	DANRE20502
OG0000255	CAPO300499	DANRE38523, DANRE38521, DANRE38522, DANRE38524
OG0000256	CAPO307884	DANRE00399, DANRE00398, DANRE30242, DANRE17145, DANRE17146
OG0000256	CAPO306483	DANRE00533, DANRE00532, DANRE12153, DANRE25972, DANRE25973, DANRE25974, DANRE12154
OG0000257	CAPO300414	DANRE15601, DANRE15602, DANRE39467, DANRE39468, DANRE39469, DANRE12721, DANRE12720, DANRE12294, DANRE11745, DANRE18824, DANRE18823, DANRE05266, DANRE07014, DANRE39437
OG0000258	CAPO301106	DANRE15460
OG0000258	CAPO301746	DANRE02230, DANRE36624, DANRE31543, DANRE31544, DANRE17770, DANRE05460, DANRE04652, DANRE03782
OG0000260	CAPO300399	DANRE25713, DANRE25714, DANRE30881, DANRE30885, DANRE30884, DANRE30882, DANRE30883, DANRE22095, DANRE22094
OG0000265	CAPO306126	DANRE17649, DANRE17650, DANRE30214, DANRE30216, DANRE30217, DANRE30212, DANRE30213, DANRE30215, DANRE17167, DANRE35122, DANRE35123, DANRE35124, DANRE33277, DANRE33279, DANRE33280, DANRE33278, DANRE17651
OG0000265	CAPO306540	DANRE41183, DANRE25673, DANRE25672, DANRE25671
OG0000271	CAPO304641	DANRE42040, DANRE42039, DANRE42038, DANRE29117, DANRE03804, DANRE01950, DANRE01951, DANRE13620, DANRE42712, DANRE36581, DANRE36580, DANRE23801, DANRE23800, DANRE43397, DANRE27936, DANRE27939, DANRE27938, DANRE27937, DANRE27935
OG0000273	CAPO305109	DANRE27068
OG0000273	CAPO300804	DANRE33683
OG0000273	CAPO306869	DANRE18454
OG0000277	CAPO303621	DANRE40145, DANRE33384, DANRE39642
OG0000277	CAPO301295	DANRE05075, DANRE05074, DANRE05086, DANRE05084, DANRE05077, DANRE05087, DANRE00061, DANRE00060, DANRE33406, DANRE43188
OG0000278	CAPO305822	DANRE28332
OG0000278	CAPO302023	DANRE35562
OG0000278	CAPO304651	DANRE34629
OG0000278	CAPO303638	DANRE38067, DANRE27771
OG0000278	CAPO305864	DANRE33682
OG0000282	CAPO308183	DANRE26878, DANRE24153, DANRE24154, DANRE06182, DANRE06181, DANRE05309, DANRE03499, DANRE11288, DANRE03498, DANRE05310
OG0000284	CAPO305695	DANRE16784, DANRE16785, DANRE06207, DANRE06206
OG0000285	CAPO303377	DANRE03809, DANRE03811, DANRE03810
OG0000288	CAPO305142	DANRE23048, DANRE27140, DANRE27142, DANRE27141, DANRE25605, DANRE37644, DANRE37643, DANRE18515
OG0000289	CAPO307835	DANRE23961, DANRE04508, DANRE04509, DANRE04510, DANRE02091, DANRE02092, DANRE02093, DANRE02094, DANRE02090, DANRE26804, DANRE26805, DANRE40016, DANRE43308, DANRE43309, DANRE27163, DANRE40066, DANRE40068, DANRE40067, DANRE09075, DANRE23535
OG0000295	CAPO302113, CAPO302799	DANRE12214, DANRE12212, DANRE29067, DANRE29068, DANRE15487
OG0000299	CAPO306599	DANRE17354, DANRE24910, DANRE24909, DANRE24914, DANRE28382, DANRE28381, DANRE28383, DANRE22586, DANRE22588, DANRE14187, DANRE14186, DANRE14188, DANRE17357, DANRE17356, DANRE17355, DANRE14189, DANRE22587
OG0000305	CAPO307183	DANRE09757, DANRE09755, DANRE09756
OG0000306	CAPO308212	DANRE20509, DANRE20510, DANRE05062, DANRE05061, DANRE05060, DANRE04107, DANRE04106, DANRE05063, DANRE01567, DANRE39184, DANRE01564, DANRE39185, DANRE04108, DANRE01566, DANRE33720, DANRE33719, DANRE15656, DANRE15655, DANRE39182, DANRE39180, DANRE39181, DANRE20511, DANRE39183, DANRE01565
OG0000308	CAPO304037	DANRE09139, DANRE35889, DANRE08377, DANRE08378, DANRE34374, DANRE34375, DANRE11893
OG0000310	CAPO305978	DANRE42431, DANRE00597, DANRE00598
OG0000312	CAPO304557	DANRE35322
OG0000312	CAPO302691	DANRE07302, DANRE01094, DANRE01093
OG0000313	CAPO307072	DANRE16304, DANRE41630, DANRE41631, DANRE20918, DANRE27620, DANRE14004
OG0000313	CAPO301348	DANRE31017, DANRE31016
OG0000314	CAPO304303	DANRE00180, DANRE00181, DANRE21707, DANRE21708, DANRE21706, DANRE28886, DANRE03624, DANRE03625, DANRE28629, DANRE04014, DANRE28800, DANRE09345, DANRE09346, DANRE14022
OG0000315	CAPO307611	DANRE07577
OG0000315	CAPO308167	DANRE25676, DANRE31346
OG0000319	CAPO303225	DANRE10764, DANRE10762, DANRE27249, DANRE39551, DANRE19184
OG0000320	CAPO304008	DANRE18363
OG0000322	CAPO306406	DANRE01544, DANRE01543, DANRE01540, DANRE01539, DANRE34869, DANRE43093, DANRE19017, DANRE31496
OG0000326	CAPO308358, CAPO307947	DANRE02837, DANRE22886, DANRE22885, DANRE22887, DANRE27986, DANRE27987, DANRE13111, DANRE13112, DANRE35291, DANRE35290, DANRE35289, DANRE02836
OG0000326	CAPO303322	DANRE02839
OG0000327	CAPO308120	DANRE02331, DANRE02332, DANRE22734, DANRE22735, DANRE22733, DANRE22732, DANRE02335, DANRE02334, DANRE02330, DANRE02333, DANRE22736
OG0000334	CAPO300337	DANRE28592, DANRE28625, DANRE28599, DANRE28582, DANRE28583, DANRE28764, DANRE28479, DANRE28598, DANRE28659, DANRE22065, DANRE22064, DANRE23627, DANRE29289, DANRE13927, DANRE13928, DANRE13929, DANRE13930, DANRE37971, DANRE37972
OG0000335	CAPO307753	DANRE20201, DANRE16270
OG0000338	CAPO304735	DANRE20312, DANRE07418, DANRE01510, DANRE01511, DANRE01512, DANRE39673, DANRE39672, DANRE39674, DANRE39675, DANRE26933, DANRE26935, DANRE26934, DANRE25350, DANRE10476, DANRE25349, DANRE25347, DANRE25348, DANRE10472, DANRE10473, DANRE10474
OG0000339	CAPO305264	DANRE37053, DANRE37054
OG0000343	CAPO306429	DANRE30806, DANRE30807, DANRE30808, DANRE10048, DANRE10049, DANRE10047, DANRE38028, DANRE38032, DANRE38029, DANRE38030, DANRE08041, DANRE08040, DANRE08038, DANRE08039, DANRE00942, DANRE00939, DANRE00938
OG0000345	CAPO300769	DANRE41177, DANRE20579, DANRE15725, DANRE06044, DANRE03976, DANRE03977
OG0000352	CAPO300356	DANRE00052, DANRE00051, DANRE00054, DANRE00053, DANRE40150, DANRE29098, DANRE29099, DANRE16846, DANRE16847, DANRE18553, DANRE18552, DANRE12565
OG0000357	CAPO301487	DANRE31492, DANRE31491, DANRE25521, DANRE25522, DANRE25519, DANRE31493, DANRE02489, DANRE02488, DANRE23129, DANRE25520
OG0000359	CAPO305417	DANRE12179, DANRE30427
OG0000359	CAPO301540	DANRE17317, DANRE17318, DANRE17316, DANRE41910, DANRE29664, DANRE29663
OG0000359	CAPO306866	DANRE06415, DANRE06416, DANRE06413, DANRE06414
