Orthogroup	CAPO3	ORYLA
OG0000082	CAPO306626	ORYLA01470
OG0000082	CAPO300843	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560
OG0000085	CAPO303061	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	CAPO303047	ORYLA04311, ORYLA03740, ORYLA02606, ORYLA17874, ORYLA07935, ORYLA06168, ORYLA01458, ORYLA09387, ORYLA11376, ORYLA17935, ORYLA02607, ORYLA17633, ORYLA03741, ORYLA08526, ORYLA02243, ORYLA05178
OG0000089	CAPO300386, CAPO300810, CAPO302098	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000091	CAPO301134	ORYLA02531
OG0000096	CAPO301431	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	CAPO307955	ORYLA13747, ORYLA08870
OG0000096	CAPO300294	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	CAPO307017	ORYLA12353, ORYLA17186, ORYLA10017
OG0000101	CAPO306858	ORYLA12058, ORYLA08387, ORYLA09166, ORYLA09165, ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000103	CAPO302453	ORYLA18349, ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966, ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000106	CAPO300017	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282, ORYLA06794, ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914
OG0000107	CAPO301524	ORYLA18785
OG0000110	CAPO300387	ORYLA04051, ORYLA04053, ORYLA04052, ORYLA03470
OG0000116	CAPO305622	ORYLA19541
OG0000119	CAPO304642	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823, ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654, ORYLA09477, ORYLA05169
OG0000122	CAPO307824	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471, ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000124	CAPO304324	ORYLA16732
OG0000124	CAPO302553	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000126	CAPO301836	ORYLA10750, ORYLA01228, ORYLA13510
OG0000126	CAPO302484	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	CAPO306676	ORYLA02839
OG0000126	CAPO300572	ORYLA09118, ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000128	CAPO306991, CAPO304956	ORYLA17289, ORYLA03587
OG0000129	CAPO303361	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766, ORYLA18999, ORYLA18998, ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452, ORYLA03371, ORYLA06890
OG0000132	CAPO305174	ORYLA13789
OG0000137	CAPO305369	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560, ORYLA20491, ORYLA06196, ORYLA16275, ORYLA11370, ORYLA08706
OG0000142	CAPO302031, CAPO302030	ORYLA08857, ORYLA18004, ORYLA10671, ORYLA16620, ORYLA01917, ORYLA05889, ORYLA06988, ORYLA13949
OG0000147	CAPO308132	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000147	CAPO304230	ORYLA05214, ORYLA18182, ORYLA10192
OG0000149	CAPO305206, CAPO306214	ORYLA17290, ORYLA17651, ORYLA17652, ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319, ORYLA19729
OG0000157	CAPO305956	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319, ORYLA02473, ORYLA17522, ORYLA02474
OG0000157	CAPO302981	ORYLA16681, ORYLA00723
OG0000157	CAPO305824	ORYLA15668, ORYLA19374, ORYLA02711, ORYLA13713, ORYLA15077, ORYLA11173, ORYLA15669, ORYLA13712, ORYLA15189, ORYLA12434
OG0000158	CAPO302924	ORYLA13317, ORYLA13316, ORYLA00712
OG0000160	CAPO301680	ORYLA15840
OG0000167	CAPO301364, CAPO303476	ORYLA20275, ORYLA20276, ORYLA15498, ORYLA06766, ORYLA11713, ORYLA10617, ORYLA10277, ORYLA11948, ORYLA02111, ORYLA16156, ORYLA14005, ORYLA07114, ORYLA09226, ORYLA11938
OG0000171	CAPO304813	ORYLA17814, ORYLA02334, ORYLA08117, ORYLA10775, ORYLA01499, ORYLA17815, ORYLA03475, ORYLA11273, ORYLA07855, ORYLA00842, ORYLA07412, ORYLA00507
OG0000174	CAPO304629	ORYLA18569, ORYLA09218, ORYLA19814, ORYLA10779, ORYLA06450, ORYLA09402
OG0000175	CAPO303513	ORYLA06318
OG0000175	CAPO303920	ORYLA14503, ORYLA14504
OG0000179	CAPO300694	ORYLA02338, ORYLA18117
OG0000179	CAPO303342	ORYLA18062, ORYLA18061, ORYLA14649
OG0000181	CAPO301108	ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335
OG0000181	CAPO307692	ORYLA19060, ORYLA03346
OG0000181	CAPO300374	ORYLA11594
OG0000183	CAPO305638	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092
OG0000183	CAPO305829	ORYLA03426, ORYLA09404, ORYLA03815
OG0000184	CAPO304928	ORYLA13442, ORYLA13444, ORYLA13443
OG0000192	CAPO301980	ORYLA16694
OG0000193	CAPO302628	ORYLA02650, ORYLA17280, ORYLA18753, ORYLA17279, ORYLA04135, ORYLA19839
OG0000194	CAPO305195	ORYLA03335, ORYLA10209, ORYLA09317
OG0000195	CAPO305454	ORYLA09172, ORYLA07416
OG0000201	CAPO307729	ORYLA16516, ORYLA00614, ORYLA00794, ORYLA17010
OG0000203	CAPO302139	ORYLA19611, ORYLA02186, ORYLA05651, ORYLA02226, ORYLA03787, ORYLA06336, ORYLA13132, ORYLA15645, ORYLA15587, ORYLA01442, ORYLA01434, ORYLA01433, ORYLA06100, ORYLA15574, ORYLA15575
OG0000204	CAPO303090	ORYLA19568, ORYLA14989, ORYLA12052, ORYLA10864, ORYLA14833, ORYLA12329, ORYLA11040, ORYLA14829, ORYLA10865, ORYLA12759, ORYLA14834
OG0000207	CAPO304105, CAPO304106, CAPO304714	ORYLA12926, ORYLA15852, ORYLA20450, ORYLA04172, ORYLA06174, ORYLA15820
OG0000211	CAPO306209	ORYLA03809, ORYLA03810, ORYLA05322, ORYLA04972, ORYLA14089, ORYLA02476, ORYLA17530, ORYLA18617, ORYLA15118, ORYLA12450
OG0000218	CAPO300559	ORYLA15885
OG0000220	CAPO306780, CAPO307695	ORYLA06609, ORYLA09295, ORYLA00491, ORYLA02670, ORYLA08075, ORYLA04983, ORYLA02915
OG0000221	CAPO300247	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056, ORYLA03306, ORYLA16226, ORYLA13864, ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468
OG0000221	CAPO308272, CAPO301991, CAPO300059	ORYLA14776
OG0000222	CAPO304211	ORYLA03527, ORYLA14496, ORYLA13104, ORYLA13105
OG0000223	CAPO308126	ORYLA10038, ORYLA11518, ORYLA07266, ORYLA07818, ORYLA05006
OG0000225	CAPO305347	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507
OG0000226	CAPO306934	ORYLA08515
OG0000234	CAPO301359	ORYLA13000, ORYLA14105, ORYLA12637, ORYLA05772, ORYLA01693, ORYLA11249, ORYLA14751
OG0000238	CAPO305428	ORYLA07768
OG0000239	CAPO302089	ORYLA16412, ORYLA07887, ORYLA08904, ORYLA06616, ORYLA09375, ORYLA08385, ORYLA11432, ORYLA10759, ORYLA19462, ORYLA07829, ORYLA05627, ORYLA01800
OG0000240	CAPO303214	ORYLA18684
OG0000242	CAPO304847	ORYLA20204, ORYLA11050
OG0000244	CAPO301556	ORYLA15688, ORYLA14426, ORYLA14594, ORYLA19522, ORYLA15434, ORYLA12391, ORYLA01756, ORYLA15173, ORYLA19456, ORYLA08925, ORYLA08923, ORYLA08924
OG0000246	CAPO303496	ORYLA16344, ORYLA17250
OG0000248	CAPO307635, CAPO302481, CAPO302487	ORYLA10227, ORYLA19716, ORYLA01732, ORYLA06052, ORYLA06051
OG0000250	CAPO305827	ORYLA16891
OG0000255	CAPO301531	ORYLA04331
OG0000255	CAPO300499	ORYLA12113
OG0000256	CAPO307884	ORYLA02742, ORYLA16602, ORYLA00877
OG0000256	CAPO306483	ORYLA19550, ORYLA12202, ORYLA14805, ORYLA12201
OG0000257	CAPO300414	ORYLA07342, ORYLA19508, ORYLA14895, ORYLA12185, ORYLA11428, ORYLA00194, ORYLA04615, ORYLA01083, ORYLA04202
OG0000258	CAPO301746	ORYLA13731, ORYLA14055, ORYLA11238, ORYLA10418, ORYLA04818, ORYLA08148
OG0000260	CAPO300399	ORYLA10907, ORYLA18428, ORYLA15874
OG0000265	CAPO306126	ORYLA12872, ORYLA06630, ORYLA16609, ORYLA00871, ORYLA18135, ORYLA02583
OG0000265	CAPO306540	ORYLA17739, ORYLA10912, ORYLA14726
OG0000271	CAPO304641	ORYLA19394, ORYLA07853, ORYLA07854, ORYLA16440, ORYLA12237, ORYLA01772, ORYLA18841, ORYLA19666, ORYLA08907, ORYLA06205
OG0000273	CAPO305109	ORYLA13171
OG0000273	CAPO300804	ORYLA17595
OG0000273	CAPO306869	ORYLA11307
OG0000277	CAPO303621	ORYLA07913, ORYLA13592, ORYLA17906
OG0000277	CAPO301295	ORYLA04770, ORYLA02631, ORYLA17515, ORYLA01293
OG0000278	CAPO300620	ORYLA02326
OG0000278	CAPO305822	ORYLA13179
OG0000278	CAPO302023	ORYLA04766
OG0000278	CAPO305864	ORYLA17596
OG0000282	CAPO308183	ORYLA00210, ORYLA09022, ORYLA18951, ORYLA04706, ORYLA01496, ORYLA04826
OG0000284	CAPO305695	ORYLA20455, ORYLA00383
OG0000285	CAPO303377	ORYLA18449, ORYLA08261
OG0000288	CAPO305142	ORYLA16173, ORYLA06317, ORYLA14637, ORYLA12168, ORYLA08853
OG0000289	CAPO307835	ORYLA05120, ORYLA13565, ORYLA06948, ORYLA17464, ORYLA12957, ORYLA11776
OG0000295	CAPO302113, CAPO302799	ORYLA03631, ORYLA16746, ORYLA00613
OG0000299	CAPO306599	ORYLA14209, ORYLA06308, ORYLA15623, ORYLA02095, ORYLA02094, ORYLA05585, ORYLA11794
OG0000305	CAPO307183	ORYLA05505
OG0000306	CAPO308212	ORYLA04450, ORYLA08161, ORYLA04852, ORYLA02312, ORYLA17215, ORYLA00329, ORYLA19413
OG0000308	CAPO304037	ORYLA08644, ORYLA03830, ORYLA03011
OG0000310	CAPO305978	ORYLA09618
OG0000312	CAPO302691	ORYLA20410, ORYLA04032
OG0000313	CAPO307072	ORYLA07713, ORYLA09993, ORYLA12846, ORYLA05854
OG0000314	CAPO304303	ORYLA17105, ORYLA17107, ORYLA07735, ORYLA16991, ORYLA16992, ORYLA16282, ORYLA05811
OG0000315	CAPO307611	ORYLA10390, ORYLA03355
OG0000315	CAPO308167	ORYLA14332, ORYLA10891
OG0000319	CAPO303225	ORYLA07102, ORYLA17421, ORYLA02486, ORYLA17422
OG0000321	CAPO307156	ORYLA04617
OG0000322	CAPO306406	ORYLA02330, ORYLA02329, ORYLA17228, ORYLA02554, ORYLA02714, ORYLA11174
OG0000326	CAPO308358, CAPO307947	ORYLA13891, ORYLA06903, ORYLA03641, ORYLA04182
OG0000326	CAPO303322	ORYLA13893
OG0000327	CAPO308120	ORYLA14175, ORYLA16012, ORYLA16011, ORYLA14173, ORYLA14174
OG0000334	CAPO300337	ORYLA17002
OG0000335	CAPO307753	ORYLA03866, ORYLA03867, ORYLA03868
OG0000338	CAPO304735	ORYLA03979, ORYLA03456, ORYLA02319, ORYLA17367, ORYLA06348, ORYLA01999, ORYLA20309, ORYLA06130
OG0000339	CAPO305264	ORYLA13968
OG0000343	CAPO306429	ORYLA11766, ORYLA05311, ORYLA03936, ORYLA03297
OG0000345	CAPO300769	ORYLA17736, ORYLA03893, ORYLA18632, ORYLA19612, ORYLA01382, ORYLA08221
OG0000352	CAPO300356	ORYLA02626, ORYLA13214, ORYLA13215, ORYLA16805, ORYLA00708, ORYLA00709, ORYLA19045, ORYLA15089
OG0000357	CAPO301487	ORYLA11167, ORYLA14261, ORYLA15724
OG0000359	CAPO305417	ORYLA12664, ORYLA16724
OG0000359	CAPO301540	ORYLA09391, ORYLA16382
OG0000359	CAPO306866	ORYLA01269
OG0000360	CAPO300757	ORYLA09367, ORYLA12791, ORYLA14415
OG0000364	CAPO301330, CAPO300908	ORYLA19293
OG0000367	CAPO301272	ORYLA11251, ORYLA13727, ORYLA14050, ORYLA14306, ORYLA15500, ORYLA07069, ORYLA11818
OG0000371	CAPO307503	ORYLA07825, ORYLA07827, ORYLA07826, ORYLA07824
OG0000372	CAPO307553	ORYLA11902, ORYLA14491, ORYLA16999, ORYLA12426, ORYLA15492, ORYLA11861
OG0000373	CAPO301744	ORYLA17975, ORYLA07919, ORYLA16362, ORYLA10269, ORYLA07659
OG0000385	CAPO300182, CAPO305781, CAPO305517	ORYLA09843, ORYLA08652, ORYLA05706
OG0000392	CAPO300351	ORYLA02414, ORYLA13216, ORYLA06665, ORYLA13229
OG0000393	CAPO307627	ORYLA17272, ORYLA18186
OG0000397	CAPO304372	ORYLA18921, ORYLA19892, ORYLA08378, ORYLA10415
OG0000399	CAPO302781	ORYLA11402, ORYLA10522, ORYLA11860, ORYLA14927, ORYLA05753, ORYLA19952, ORYLA07160, ORYLA13626
OG0000402	CAPO300999	ORYLA16038, ORYLA10903, ORYLA14672, ORYLA17762, ORYLA18643, ORYLA18833, ORYLA19928, ORYLA12469
OG0000405	CAPO300636	ORYLA06036, ORYLA14984, ORYLA12719, ORYLA17691
OG0000412	CAPO306116	ORYLA13397
OG0000412	CAPO307159	ORYLA08106, ORYLA05004, ORYLA17848, ORYLA01673
OG0000413	CAPO302663	ORYLA10551, ORYLA11652, ORYLA11343, ORYLA03076, ORYLA03075
OG0000413	CAPO304678	ORYLA10219, ORYLA12848, ORYLA03097, ORYLA04188
OG0000419	CAPO304227	ORYLA11288
OG0000420	CAPO307162	ORYLA03182, ORYLA20448
OG0000422	CAPO301071	ORYLA01866, ORYLA10570, ORYLA10569, ORYLA10571, ORYLA11363, ORYLA16053
OG0000424	CAPO302770, CAPO306814	ORYLA19753
OG0000426	CAPO302714	ORYLA01331, ORYLA03961
OG0000426	CAPO306829	ORYLA16632, ORYLA05829, ORYLA16908
OG0000427	CAPO303813	ORYLA19867, ORYLA12374
OG0000431	CAPO306585	ORYLA12780, ORYLA03106
OG0000431	CAPO304684	ORYLA06581, ORYLA12268, ORYLA09572
OG0000433	CAPO304838, CAPO302573	ORYLA11555, ORYLA11554, ORYLA20072
OG0000434	CAPO304471	ORYLA02067
OG0000435	CAPO308080	ORYLA07794, ORYLA09187, ORYLA06556, ORYLA01852, ORYLA10582, ORYLA11407, ORYLA15982, ORYLA14458
OG0000436	CAPO305799	ORYLA08530, ORYLA02125
OG0000442	CAPO302753, CAPO302633	ORYLA09139, ORYLA02244
OG0000444	CAPO305423	ORYLA10830, ORYLA14231, ORYLA14616
OG0000444	CAPO301239	ORYLA15046
OG0000445	CAPO301584	ORYLA10377, ORYLA11833
OG0000447	CAPO300691	ORYLA00469, ORYLA14196, ORYLA04123, ORYLA03133, ORYLA03913
OG0000450	CAPO307586, CAPO307446	ORYLA09724, ORYLA18516, ORYLA11564, ORYLA02780, ORYLA02779, ORYLA08258, ORYLA00676, ORYLA01113, ORYLA17859, ORYLA18902, ORYLA03353
OG0000453	CAPO305025	ORYLA14626
OG0000454	CAPO301952	ORYLA14943, ORYLA12583, ORYLA19101, ORYLA19102, ORYLA02884, ORYLA13625, ORYLA02103
OG0000461	CAPO303645, CAPO304085, CAPO303531	ORYLA16495
OG0000461	CAPO307456	ORYLA04397, ORYLA17538
OG0000467	CAPO302214	ORYLA16164, ORYLA20242, ORYLA14274, ORYLA13723, ORYLA15983, ORYLA14489, ORYLA10863
OG0000468	CAPO302003, CAPO303185	ORYLA07498, ORYLA06150, ORYLA10188
OG0000469	CAPO306584, CAPO302277	ORYLA14324, ORYLA13835, ORYLA15812, ORYLA16158, ORYLA14163, ORYLA14420, ORYLA14753, ORYLA19640
OG0000470	CAPO307521	ORYLA06621, ORYLA17202, ORYLA10519, ORYLA11404, ORYLA04902
OG0000474	CAPO307766	ORYLA15732, ORYLA07059, ORYLA02569, ORYLA18127, ORYLA08620, ORYLA09745
OG0000475	CAPO303779	ORYLA15741, ORYLA02269, ORYLA05492, ORYLA08543, ORYLA10034
OG0000479	CAPO303549	ORYLA05427, ORYLA02241, ORYLA00980, ORYLA10578
OG0000479	CAPO304267	ORYLA01123, ORYLA17925, ORYLA02622
OG0000480	CAPO307201	ORYLA13134, ORYLA06337, ORYLA15386
OG0000481	CAPO300053	ORYLA17197
OG0000481	CAPO304800	ORYLA02862, ORYLA19409
OG0000481	CAPO304355	ORYLA03884, ORYLA19808
OG0000484	CAPO304750	ORYLA00605, ORYLA16560, ORYLA06643, ORYLA13228, ORYLA17466, ORYLA13170
OG0000485	CAPO303224, CAPO303026	ORYLA09796, ORYLA18526, ORYLA03726, ORYLA03727
OG0000486	CAPO306048, CAPO306972	ORYLA08269, ORYLA04783, ORYLA20474, ORYLA20475
OG0000488	CAPO305871	ORYLA15556
OG0000491	CAPO305506	ORYLA18622, ORYLA19026, ORYLA04018, ORYLA03196
OG0000494	CAPO300277	ORYLA04408, ORYLA01116, ORYLA17618, ORYLA04392, ORYLA17962
OG0000505	CAPO303790, CAPO306121	ORYLA18172
OG0000506	CAPO304587	ORYLA18768, ORYLA06518, ORYLA06517, ORYLA04180, ORYLA13275, ORYLA04114, ORYLA01026
OG0000508	CAPO303408, CAPO307945	ORYLA08233, ORYLA02029
OG0000508	CAPO302590	ORYLA10053
OG0000510	CAPO303128, CAPO305095	ORYLA16472, ORYLA08348, ORYLA17578, ORYLA02689, ORYLA01174
OG0000511	CAPO301322	ORYLA01957
OG0000514	CAPO307292	ORYLA05801, ORYLA17040, ORYLA17041, ORYLA00294, ORYLA16274, ORYLA00293
OG0000516	CAPO302072	ORYLA06563, ORYLA07576, ORYLA04429, ORYLA03430, ORYLA07000
OG0000519	CAPO300709	ORYLA19812, ORYLA02303
OG0000520	CAPO304720	ORYLA05565, ORYLA01527, ORYLA03445
OG0000522	CAPO306204	ORYLA20412, ORYLA00500, ORYLA05061
OG0000528	CAPO300417	ORYLA10409, ORYLA03074, ORYLA07689, ORYLA04813
OG0000530	CAPO306919	ORYLA10196, ORYLA13418, ORYLA20102, ORYLA06799
OG0000532	CAPO301913	ORYLA10268
OG0000538	CAPO300039	ORYLA09396, ORYLA13935, ORYLA08202, ORYLA08895, ORYLA08896, ORYLA06216
OG0000548	CAPO307253, CAPO307370	ORYLA01284, ORYLA02791, ORYLA17384, ORYLA00893, ORYLA11445, ORYLA04341, ORYLA13910, ORYLA20346, ORYLA15938
OG0000551	CAPO305700	ORYLA15546
OG0000552	CAPO302805	ORYLA02316, ORYLA01268, ORYLA19748
OG0000553	CAPO302261	ORYLA11116, ORYLA04427, ORYLA04603, ORYLA05553, ORYLA05554, ORYLA16813, ORYLA16993, ORYLA16814, ORYLA19765
OG0000554	CAPO300205	ORYLA05333, ORYLA11866, ORYLA02853, ORYLA17786, ORYLA19758, ORYLA19976, ORYLA11865
OG0000561	CAPO307817, CAPO304686, CAPO304296	ORYLA10348, ORYLA11842, ORYLA11841, ORYLA01515
OG0000563	CAPO305151	ORYLA04101, ORYLA03246, ORYLA17360
OG0000566	CAPO306820	ORYLA13005, ORYLA20281, ORYLA14818, ORYLA12608, ORYLA14819, ORYLA04369
OG0000567	CAPO300710, CAPO302895	ORYLA12167, ORYLA12905
OG0000572	CAPO302048	ORYLA08145, ORYLA10185, ORYLA07690, ORYLA13763, ORYLA15650
OG0000573	CAPO301573	ORYLA01895, ORYLA05878, ORYLA13057, ORYLA13843, ORYLA04228
OG0000573	CAPO300482	ORYLA12607, ORYLA14820
OG0000574	CAPO303025	ORYLA08316, ORYLA16658, ORYLA16287, ORYLA08280, ORYLA00058
OG0000578	CAPO305505	ORYLA07686, ORYLA04727, ORYLA10429, ORYLA03394, ORYLA04274
OG0000583	CAPO302594	ORYLA00997, ORYLA00998, ORYLA03929, ORYLA09564, ORYLA08581, ORYLA10274, ORYLA02043, ORYLA05980
OG0000585	CAPO302010	ORYLA16046, ORYLA15895, ORYLA14066, ORYLA11170, ORYLA15076, ORYLA16126, ORYLA14043, ORYLA11172
OG0000586	CAPO304818	ORYLA12015, ORYLA11291, ORYLA15040, ORYLA08031, ORYLA16360
OG0000587	CAPO304868	ORYLA03518, ORYLA06908, ORYLA07631, ORYLA13556, ORYLA13555, ORYLA12215
OG0000588	CAPO300701	ORYLA04266
OG0000590	CAPO302664	ORYLA06142, ORYLA02148, ORYLA16465
OG0000590	CAPO307990	ORYLA06302, ORYLA06303, ORYLA14008
OG0000591	CAPO300885	ORYLA16935, ORYLA00569
OG0000591	CAPO301508, CAPO306921	ORYLA04567, ORYLA03099, ORYLA06605, ORYLA13493
OG0000592	CAPO302552	ORYLA17452, ORYLA11854, ORYLA14631, ORYLA12104, ORYLA04227
OG0000593	CAPO303950	ORYLA16513, ORYLA16679, ORYLA00726, ORYLA12884, ORYLA15051, ORYLA12474, ORYLA13360, ORYLA15847, ORYLA14301
OG0000594	CAPO305185	ORYLA04212, ORYLA03767, ORYLA08739, ORYLA03768, ORYLA08738, ORYLA14067, ORYLA14715
OG0000597	CAPO305949	ORYLA07402, ORYLA04005, ORYLA16364, ORYLA17588, ORYLA02653
OG0000600	CAPO302133	ORYLA11563, ORYLA19470, ORYLA00993
