TCONS_00000001	XLOC_000001
TCONS_00000147	XLOC_000130
TCONS_00000148	XLOC_000131
TCONS_00000149	XLOC_000132
TCONS_00000150	XLOC_000132
TCONS_00000151	XLOC_000132
TCONS_00000152	XLOC_000133
TCONS_00000153	XLOC_000134
TCONS_00000154	XLOC_000134
TCONS_00000155	XLOC_000134
TCONS_00000156	XLOC_000134
TCONS_00000157	XLOC_000134
TCONS_00000158	XLOC_000134
TCONS_00000159	XLOC_000134
TCONS_00000160	XLOC_000134
TCONS_00000161	XLOC_000134
TCONS_00000162	XLOC_000135
TCONS_00000163	XLOC_000136
TCONS_00000164	XLOC_000136
TCONS_00000165	XLOC_000137
TCONS_00000166	XLOC_000138
TCONS_00000167	XLOC_000139
TCONS_00000168	XLOC_000140
TCONS_00000169	XLOC_000141
TCONS_00000170	XLOC_000142
TCONS_00000171	XLOC_000143
TCONS_00000172	XLOC_000144
TCONS_00000173	XLOC_000145
TCONS_00000174	XLOC_000146
TCONS_00000175	XLOC_000147
TCONS_00000176	XLOC_000148
TCONS_00000177	XLOC_000149
TCONS_00000178	XLOC_000150
TCONS_00000180	XLOC_000152
TCONS_00000181	XLOC_000153
TCONS_00000182	XLOC_000153
TCONS_00000183	XLOC_000153
TCONS_00000184	XLOC_000153
TCONS_00000185	XLOC_000154
TCONS_00000186	XLOC_000155
TCONS_00000187	XLOC_000155
TCONS_00000188	XLOC_000156
TCONS_00000189	XLOC_000157
TCONS_00000190	XLOC_000158
TCONS_00000191	XLOC_000159
TCONS_00000192	XLOC_000160
TCONS_00000193	XLOC_000160
TCONS_00000194	XLOC_000160
TCONS_00000195	XLOC_000161
TCONS_00000196	XLOC_000162
TCONS_00000197	XLOC_000163
TCONS_00000198	XLOC_000164
TCONS_00000199	XLOC_000165
TCONS_00000200	XLOC_000166
TCONS_00000201	XLOC_000167
TCONS_00000202	XLOC_000168
TCONS_00000203	XLOC_000169
TCONS_00000204	XLOC_000170
TCONS_00000205	XLOC_000171
TCONS_00000206	XLOC_000172
TCONS_00000207	XLOC_000173
TCONS_00000208	XLOC_000174
TCONS_00000210	XLOC_000176
TCONS_00000211	XLOC_000177
TCONS_00000212	XLOC_000178
TCONS_00000213	XLOC_000178
TCONS_00000215	XLOC_000180
TCONS_00000216	XLOC_000180
TCONS_00000217	XLOC_000180
TCONS_00000218	XLOC_000180
TCONS_00000219	XLOC_000180
TCONS_00000220	XLOC_000180
TCONS_00000221	XLOC_000180
TCONS_00000222	XLOC_000180
TCONS_00000223	XLOC_000180
TCONS_00000224	XLOC_000180
TCONS_00000225	XLOC_000180
TCONS_00000226	XLOC_000180
TCONS_00000227	XLOC_000180
TCONS_00000228	XLOC_000180
TCONS_00000229	XLOC_000180
TCONS_00000230	XLOC_000180
TCONS_00000231	XLOC_000180
TCONS_00000232	XLOC_000180
TCONS_00000233	XLOC_000180
TCONS_00000234	XLOC_000181
TCONS_00000235	XLOC_000182
TCONS_00000236	XLOC_000183
TCONS_00000237	XLOC_000184
TCONS_00000238	XLOC_000184
TCONS_00000239	XLOC_000184
TCONS_00000240	XLOC_000184
TCONS_00000241	XLOC_000184
TCONS_00000242	XLOC_000184
TCONS_00000243	XLOC_000184
TCONS_00000244	XLOC_000184
TCONS_00000245	XLOC_000184
TCONS_00000246	XLOC_000184
TCONS_00000247	XLOC_000184
TCONS_00000248	XLOC_000184
TCONS_00000249	XLOC_000184
TCONS_00000250	XLOC_000184
TCONS_00000252	XLOC_000186
TCONS_00000253	XLOC_000187
TCONS_00000254	XLOC_000187
TCONS_00000255	XLOC_000187
TCONS_00000256	XLOC_000187
TCONS_00000257	XLOC_000187
TCONS_00000258	XLOC_000188
TCONS_00000259	XLOC_000188
TCONS_00000260	XLOC_000188
TCONS_00000261	XLOC_000188
TCONS_00000262	XLOC_000188
TCONS_00000263	XLOC_000188
TCONS_00000264	XLOC_000188
TCONS_00000265	XLOC_000189
TCONS_00000266	XLOC_000190
TCONS_00000267	XLOC_000191
TCONS_00000268	XLOC_000192
TCONS_00000269	XLOC_000193
TCONS_00000270	XLOC_000193
TCONS_00000271	XLOC_000193
TCONS_00000272	XLOC_000194
TCONS_00000273	XLOC_000195
TCONS_00000274	XLOC_000195
TCONS_00000275	XLOC_000196
TCONS_00000276	XLOC_000197
TCONS_00000277	XLOC_000198
TCONS_00000278	XLOC_000199
TCONS_00000279	XLOC_000200
TCONS_00000281	XLOC_000202
TCONS_00000282	XLOC_000203
TCONS_00000283	XLOC_000203
TCONS_00000284	XLOC_000204
TCONS_00000285	XLOC_000205
TCONS_00000286	XLOC_000205
TCONS_00000287	XLOC_000206
TCONS_00000288	XLOC_000207
TCONS_00000289	XLOC_000207
TCONS_00000290	XLOC_000207
TCONS_00000291	XLOC_000207
TCONS_00000292	XLOC_000207
TCONS_00000293	XLOC_000207
TCONS_00000294	XLOC_000208
TCONS_00000295	XLOC_000208
TCONS_00000296	XLOC_000208
TCONS_00000297	XLOC_000208
TCONS_00000299	XLOC_000210
TCONS_00000300	XLOC_000211
TCONS_00000301	XLOC_000211
TCONS_00000302	XLOC_000211
TCONS_00000306	XLOC_000215
TCONS_00000307	XLOC_000215
TCONS_00000308	XLOC_000215
TCONS_00000309	XLOC_000215
TCONS_00000310	XLOC_000215
TCONS_00000311	XLOC_000216
TCONS_00000312	XLOC_000217
TCONS_00000313	XLOC_000217
TCONS_00000314	XLOC_000218
TCONS_00000315	XLOC_000218
TCONS_00000316	XLOC_000219
TCONS_00000317	XLOC_000219
TCONS_00000318	XLOC_000220
TCONS_00000319	XLOC_000220
TCONS_00000320	XLOC_000221
TCONS_00000321	XLOC_000222
TCONS_00000322	XLOC_000223
TCONS_00000323	XLOC_000224
TCONS_00000324	XLOC_000225
TCONS_00000325	XLOC_000226
TCONS_00000327	XLOC_000228
TCONS_00000328	XLOC_000229
TCONS_00000329	XLOC_000230
TCONS_00000330	XLOC_000231
TCONS_00000331	XLOC_000231
TCONS_00000332	XLOC_000231
TCONS_00000333	XLOC_000231
TCONS_00000334	XLOC_000232
TCONS_00000335	XLOC_000233
TCONS_00000336	XLOC_000234
TCONS_00000337	XLOC_000235
TCONS_00000338	XLOC_000236
TCONS_00000339	XLOC_000237
TCONS_00000340	XLOC_000238
TCONS_00000341	XLOC_000238
TCONS_00000342	XLOC_000239
TCONS_00000343	XLOC_000240
TCONS_00000344	XLOC_000241
TCONS_00000345	XLOC_000242
TCONS_00000346	XLOC_000243
TCONS_00000347	XLOC_000244
TCONS_00000348	XLOC_000245
TCONS_00000349	XLOC_000246
TCONS_00000350	XLOC_000247
TCONS_00000351	XLOC_000248
TCONS_00000352	XLOC_000248
TCONS_00000353	XLOC_000249
TCONS_00000354	XLOC_000250
TCONS_00000355	XLOC_000251
TCONS_00000356	XLOC_000252
TCONS_00000357	XLOC_000253
TCONS_00000360	XLOC_000256
TCONS_00000361	XLOC_000257
TCONS_00000362	XLOC_000258
TCONS_00000363	XLOC_000259
TCONS_00000364	XLOC_000260
TCONS_00000365	XLOC_000261
TCONS_00000366	XLOC_000262
TCONS_00000367	XLOC_000263
TCONS_00000368	XLOC_000264
TCONS_00000369	XLOC_000265
TCONS_00000370	XLOC_000266
TCONS_00000371	XLOC_000267
TCONS_00000372	XLOC_000268
TCONS_00000373	XLOC_000269
TCONS_00000374	XLOC_000270
TCONS_00000375	XLOC_000270
TCONS_00000376	XLOC_000271
TCONS_00000377	XLOC_000272
TCONS_00000378	XLOC_000273
TCONS_00000379	XLOC_000273
TCONS_00000380	XLOC_000273
TCONS_00000381	XLOC_000274
TCONS_00000382	XLOC_000275
TCONS_00000383	XLOC_000276
TCONS_00000385	XLOC_000278
TCONS_00000386	XLOC_000279
TCONS_00000387	XLOC_000279
TCONS_00000388	XLOC_000280
TCONS_00000389	XLOC_000281
TCONS_00000390	XLOC_000282
TCONS_00000391	XLOC_000283
TCONS_00000392	XLOC_000284
TCONS_00000393	XLOC_000285
TCONS_00000394	XLOC_000286
TCONS_00000395	XLOC_000287
TCONS_00000396	XLOC_000288
TCONS_00000397	XLOC_000289
TCONS_00000398	XLOC_000290
TCONS_00000399	XLOC_000291
TCONS_00000400	XLOC_000291
TCONS_00000401	XLOC_000291
TCONS_00000402	XLOC_000292
TCONS_00000403	XLOC_000293
TCONS_00000404	XLOC_000293
TCONS_00000405	XLOC_000293
TCONS_00000406	XLOC_000294
TCONS_00000407	XLOC_000295
TCONS_00000408	XLOC_000296
TCONS_00000409	XLOC_000297
TCONS_00000410	XLOC_000298
TCONS_00000411	XLOC_000299
TCONS_00000412	XLOC_000300
TCONS_00000413	XLOC_000301
TCONS_00000414	XLOC_000302
TCONS_00000415	XLOC_000303
TCONS_00000416	XLOC_000304
TCONS_00000417	XLOC_000305
TCONS_00000418	XLOC_000306
TCONS_00000419	XLOC_000307
TCONS_00000420	XLOC_000308
TCONS_00000421	XLOC_000309
TCONS_00000422	XLOC_000310
TCONS_00000423	XLOC_000311
TCONS_00000424	XLOC_000312
TCONS_00000425	XLOC_000313
TCONS_00000426	XLOC_000314
TCONS_00000427	XLOC_000314
TCONS_00000428	XLOC_000315
TCONS_00000429	XLOC_000316
TCONS_00000430	XLOC_000317
TCONS_00000431	XLOC_000318
TCONS_00000432	XLOC_000319
TCONS_00000433	XLOC_000319
TCONS_00000434	XLOC_000319
TCONS_00000440	XLOC_000325
TCONS_00000443	XLOC_000328
TCONS_00000445	XLOC_000330
TCONS_00000446	XLOC_000331
TCONS_00000447	XLOC_000332
TCONS_00000448	XLOC_000333
TCONS_00000449	XLOC_000334
TCONS_00000451	XLOC_000336
TCONS_00000452	XLOC_000337
TCONS_00000453	XLOC_000338
TCONS_00000454	XLOC_000339
TCONS_00000455	XLOC_000339
TCONS_00000456	XLOC_000339
TCONS_00000459	XLOC_000342
TCONS_00000460	XLOC_000343
TCONS_00000461	XLOC_000344
TCONS_00000462	XLOC_000344
TCONS_00000463	XLOC_000345
TCONS_00000464	XLOC_000346
TCONS_00000465	XLOC_000347
TCONS_00000467	XLOC_000349
TCONS_00000468	XLOC_000349
TCONS_00000469	XLOC_000350
TCONS_00000470	XLOC_000351
TCONS_00000471	XLOC_000352
TCONS_00000472	XLOC_000353
TCONS_00000473	XLOC_000354
TCONS_00000475	XLOC_000356
TCONS_00000477	XLOC_000358
TCONS_00000478	XLOC_000358
TCONS_00000479	XLOC_000359
TCONS_00000480	XLOC_000359
TCONS_00000481	XLOC_000359
TCONS_00000482	XLOC_000360
TCONS_00000483	XLOC_000361
TCONS_00000484	XLOC_000361
TCONS_00000485	XLOC_000362
TCONS_00000486	XLOC_000363
TCONS_00000487	XLOC_000364
TCONS_00000488	XLOC_000365
TCONS_00000489	XLOC_000365
TCONS_00000490	XLOC_000366
TCONS_00000491	XLOC_000367
TCONS_00000492	XLOC_000368
TCONS_00000493	XLOC_000369
TCONS_00000494	XLOC_000370
TCONS_00000495	XLOC_000370
TCONS_00000496	XLOC_000371
TCONS_00000497	XLOC_000372
TCONS_00000498	XLOC_000373
TCONS_00000499	XLOC_000374
TCONS_00000500	XLOC_000374
TCONS_00000501	XLOC_000374
TCONS_00000502	XLOC_000374
TCONS_00000503	XLOC_000374
TCONS_00000504	XLOC_000375
TCONS_00000505	XLOC_000376
TCONS_00000506	XLOC_000377
TCONS_00000507	XLOC_000378
TCONS_00000508	XLOC_000378
TCONS_00000509	XLOC_000378
TCONS_00000510	XLOC_000378
TCONS_00000511	XLOC_000379
TCONS_00000512	XLOC_000380
TCONS_00000513	XLOC_000381
TCONS_00000514	XLOC_000381
TCONS_00000515	XLOC_000381
TCONS_00000516	XLOC_000381
TCONS_00000517	XLOC_000382
TCONS_00000518	XLOC_000382
TCONS_00000519	XLOC_000382
TCONS_00000520	XLOC_000382
TCONS_00000521	XLOC_000382
TCONS_00000522	XLOC_000382
TCONS_00000523	XLOC_000383
TCONS_00000524	XLOC_000384
TCONS_00000525	XLOC_000384
TCONS_00000526	XLOC_000384
TCONS_00000527	XLOC_000384
TCONS_00000528	XLOC_000384
TCONS_00000529	XLOC_000384
TCONS_00000530	XLOC_000385
TCONS_00000531	XLOC_000386
TCONS_00000532	XLOC_000387
TCONS_00000533	XLOC_000388
TCONS_00000534	XLOC_000389
TCONS_00000535	XLOC_000390
TCONS_00000536	XLOC_000390
TCONS_00000537	XLOC_000391
TCONS_00000538	XLOC_000392
TCONS_00000539	XLOC_000392
TCONS_00000540	XLOC_000392
TCONS_00000541	XLOC_000393
TCONS_00000542	XLOC_000393
TCONS_00000543	XLOC_000393
TCONS_00000544	XLOC_000394
TCONS_00000545	XLOC_000394
TCONS_00000546	XLOC_000395
TCONS_00000548	XLOC_000397
TCONS_00000549	XLOC_000398
TCONS_00000550	XLOC_000399
TCONS_00000552	XLOC_000401
TCONS_00000558	XLOC_000407
TCONS_00000559	XLOC_000408
TCONS_00000560	XLOC_000409
TCONS_00000564	XLOC_000413
TCONS_00000565	XLOC_000414
TCONS_00000569	XLOC_000418
TCONS_00000570	XLOC_000419
TCONS_00000571	XLOC_000420
TCONS_00000572	XLOC_000421
TCONS_00000575	XLOC_000424
TCONS_00000576	XLOC_000425
TCONS_00000577	XLOC_000425
TCONS_00000578	XLOC_000426
TCONS_00000579	XLOC_000426
TCONS_00000580	XLOC_000427
TCONS_00000581	XLOC_000427
TCONS_00000582	XLOC_000427
TCONS_00000583	XLOC_000427
TCONS_00000584	XLOC_000428
TCONS_00000585	XLOC_000429
TCONS_00000586	XLOC_000429
TCONS_00000587	XLOC_000429
TCONS_00000588	XLOC_000429
TCONS_00000589	XLOC_000430
TCONS_00000591	XLOC_000432
TCONS_00000592	XLOC_000433
TCONS_00000593	XLOC_000434
TCONS_00000594	XLOC_000435
TCONS_00000595	XLOC_000436
TCONS_00000596	XLOC_000436
TCONS_00000597	XLOC_000436
TCONS_00000598	XLOC_000437
TCONS_00000599	XLOC_000437
TCONS_00000600	XLOC_000438
TCONS_00000601	XLOC_000439
TCONS_00000602	XLOC_000439
TCONS_00000603	XLOC_000440
TCONS_00000609	XLOC_000446
TCONS_00000611	XLOC_000448
TCONS_00000613	XLOC_000450
TCONS_00000614	XLOC_000451
TCONS_00000615	XLOC_000452
TCONS_00000616	XLOC_000453
TCONS_00000617	XLOC_000454
TCONS_00000618	XLOC_000455
TCONS_00000619	XLOC_000456
TCONS_00000623	XLOC_000460
TCONS_00000624	XLOC_000461
TCONS_00000625	XLOC_000461
TCONS_00000626	XLOC_000462
TCONS_00000627	XLOC_000463
TCONS_00000628	XLOC_000463
TCONS_00000629	XLOC_000464
TCONS_00000630	XLOC_000465
TCONS_00000631	XLOC_000466
TCONS_00000632	XLOC_000467
TCONS_00000633	XLOC_000468
TCONS_00000634	XLOC_000469
TCONS_00000635	XLOC_000470
TCONS_00000636	XLOC_000471
TCONS_00000637	XLOC_000472
TCONS_00000638	XLOC_000473
TCONS_00000639	XLOC_000473
TCONS_00000640	XLOC_000474
TCONS_00000641	XLOC_000475
TCONS_00000642	XLOC_000476
TCONS_00000643	XLOC_000476
TCONS_00000644	XLOC_000476
TCONS_00000645	XLOC_000477
TCONS_00000646	XLOC_000477
TCONS_00000647	XLOC_000477
TCONS_00000648	XLOC_000477
TCONS_00000649	XLOC_000477
TCONS_00000650	XLOC_000478
TCONS_00000651	XLOC_000479
TCONS_00000652	XLOC_000480
TCONS_00000653	XLOC_000480
TCONS_00000654	XLOC_000481
TCONS_00000655	XLOC_000482
TCONS_00000656	XLOC_000482
TCONS_00000657	XLOC_000483
TCONS_00000658	XLOC_000484
TCONS_00000659	XLOC_000485
TCONS_00000660	XLOC_000485
TCONS_00000661	XLOC_000486
TCONS_00000662	XLOC_000487
TCONS_00000663	XLOC_000488
TCONS_00000664	XLOC_000489
TCONS_00000665	XLOC_000490
TCONS_00000667	XLOC_000492
TCONS_00000668	XLOC_000493
TCONS_00000669	XLOC_000494
TCONS_00000670	XLOC_000495
TCONS_00000671	XLOC_000496
TCONS_00000672	XLOC_000497
TCONS_00000673	XLOC_000498
TCONS_00000674	XLOC_000499
TCONS_00000676	XLOC_000501
TCONS_00000677	XLOC_000501
TCONS_00000678	XLOC_000502
TCONS_00000679	XLOC_000503
TCONS_00000680	XLOC_000504
TCONS_00000681	XLOC_000505
TCONS_00000682	XLOC_000506
TCONS_00000683	XLOC_000506
TCONS_00000684	XLOC_000506
TCONS_00000685	XLOC_000506
TCONS_00000686	XLOC_000506
TCONS_00000687	XLOC_000506
TCONS_00000688	XLOC_000506
TCONS_00000689	XLOC_000507
TCONS_00000690	XLOC_000508
TCONS_00000691	XLOC_000508
TCONS_00000692	XLOC_000508
TCONS_00000693	XLOC_000509
TCONS_00000694	XLOC_000510
TCONS_00000695	XLOC_000511
TCONS_00000696	XLOC_000512
TCONS_00000697	XLOC_000513
TCONS_00000698	XLOC_000514
TCONS_00000700	XLOC_000516
TCONS_00000701	XLOC_000516
TCONS_00000703	XLOC_000518
TCONS_00000704	XLOC_000519
TCONS_00000705	XLOC_000520
TCONS_00000706	XLOC_000521
TCONS_00000707	XLOC_000522
TCONS_00000708	XLOC_000523
TCONS_00000709	XLOC_000524
TCONS_00000710	XLOC_000525
TCONS_00000711	XLOC_000526
TCONS_00000712	XLOC_000527
TCONS_00000713	XLOC_000528
TCONS_00000714	XLOC_000528
TCONS_00000715	XLOC_000529
TCONS_00000716	XLOC_000530
TCONS_00000717	XLOC_000531
TCONS_00000718	XLOC_000532
TCONS_00000719	XLOC_000533
TCONS_00000720	XLOC_000534
TCONS_00000721	XLOC_000535
TCONS_00000722	XLOC_000536
TCONS_00000723	XLOC_000536
TCONS_00000724	XLOC_000537
TCONS_00000725	XLOC_000537
TCONS_00000726	XLOC_000537
TCONS_00000727	XLOC_000538
TCONS_00000728	XLOC_000539
TCONS_00000729	XLOC_000540
TCONS_00000730	XLOC_000541
TCONS_00000731	XLOC_000542
TCONS_00000732	XLOC_000543
TCONS_00000733	XLOC_000543
TCONS_00000735	XLOC_000545
TCONS_00000736	XLOC_000546
TCONS_00000737	XLOC_000547
TCONS_00000738	XLOC_000548
TCONS_00000740	XLOC_000550
TCONS_00000741	XLOC_000551
TCONS_00000742	XLOC_000551
TCONS_00000743	XLOC_000551
TCONS_00000744	XLOC_000552
TCONS_00000745	XLOC_000553
TCONS_00000746	XLOC_000553
TCONS_00000747	XLOC_000554
TCONS_00000748	XLOC_000555
TCONS_00000749	XLOC_000556
TCONS_00000750	XLOC_000557
TCONS_00000751	XLOC_000558
TCONS_00000752	XLOC_000559
TCONS_00000753	XLOC_000559
TCONS_00000754	XLOC_000560
TCONS_00000756	XLOC_000562
TCONS_00000757	XLOC_000563
TCONS_00000758	XLOC_000564
TCONS_00000760	XLOC_000566
TCONS_00000761	XLOC_000567
TCONS_00000762	XLOC_000568
TCONS_00000763	XLOC_000569
TCONS_00000764	XLOC_000570
TCONS_00000765	XLOC_000571
TCONS_00000766	XLOC_000572
TCONS_00000769	XLOC_000575
TCONS_00000770	XLOC_000576
TCONS_00000771	XLOC_000577
TCONS_00000772	XLOC_000578
TCONS_00000773	XLOC_000579
TCONS_00000774	XLOC_000580
TCONS_00000775	XLOC_000581
TCONS_00000776	XLOC_000582
TCONS_00000777	XLOC_000583
TCONS_00000778	XLOC_000584
TCONS_00000779	XLOC_000585
TCONS_00000780	XLOC_000586
TCONS_00000781	XLOC_000586
TCONS_00000782	XLOC_000586
TCONS_00000783	XLOC_000586
TCONS_00000785	XLOC_000588
TCONS_00000786	XLOC_000588
TCONS_00000787	XLOC_000589
TCONS_00000788	XLOC_000590
TCONS_00000789	XLOC_000591
TCONS_00000790	XLOC_000592
TCONS_00000791	XLOC_000593
TCONS_00000793	XLOC_000595
TCONS_00000794	XLOC_000596
TCONS_00000795	XLOC_000597
TCONS_00000797	XLOC_000599
TCONS_00000799	XLOC_000601
TCONS_00000800	XLOC_000602
TCONS_00000805	XLOC_000607
TCONS_00000806	XLOC_000608
TCONS_00000807	XLOC_000609
TCONS_00000808	XLOC_000610
TCONS_00000809	XLOC_000610
TCONS_00000810	XLOC_000611
TCONS_00000811	XLOC_000612
TCONS_00000812	XLOC_000612
TCONS_00000813	XLOC_000613
TCONS_00000814	XLOC_000613
TCONS_00000815	XLOC_000614
TCONS_00000816	XLOC_000615
TCONS_00000817	XLOC_000616
TCONS_00000818	XLOC_000617
TCONS_00000819	XLOC_000618
TCONS_00000820	XLOC_000619
TCONS_00000821	XLOC_000619
TCONS_00000822	XLOC_000620
TCONS_00000823	XLOC_000621
TCONS_00000824	XLOC_000622
TCONS_00000825	XLOC_000622
TCONS_00000826	XLOC_000623
TCONS_00000827	XLOC_000624
TCONS_00000828	XLOC_000624
TCONS_00000829	XLOC_000624
TCONS_00000830	XLOC_000625
TCONS_00000831	XLOC_000626
TCONS_00000832	XLOC_000627
TCONS_00000833	XLOC_000628
TCONS_00000834	XLOC_000629
TCONS_00000835	XLOC_000630
TCONS_00000836	XLOC_000631
TCONS_00000837	XLOC_000631
TCONS_00000838	XLOC_000631
TCONS_00000839	XLOC_000632
TCONS_00000840	XLOC_000632
TCONS_00000841	XLOC_000632
TCONS_00000842	XLOC_000633
TCONS_00000843	XLOC_000634
TCONS_00000844	XLOC_000635
TCONS_00000845	XLOC_000636
TCONS_00000846	XLOC_000637
TCONS_00000847	XLOC_000638
TCONS_00000848	XLOC_000639
TCONS_00000849	XLOC_000640
TCONS_00000850	XLOC_000641
TCONS_00000851	XLOC_000642
TCONS_00000852	XLOC_000643
TCONS_00000853	XLOC_000644
TCONS_00000854	XLOC_000645
TCONS_00000855	XLOC_000646
TCONS_00000856	XLOC_000646
TCONS_00000857	XLOC_000646
TCONS_00000858	XLOC_000646
TCONS_00000859	XLOC_000647
TCONS_00000860	XLOC_000648
TCONS_00000861	XLOC_000648
TCONS_00000862	XLOC_000649
TCONS_00000863	XLOC_000650
TCONS_00000864	XLOC_000650
TCONS_00000865	XLOC_000651
TCONS_00000866	XLOC_000651
TCONS_00000867	XLOC_000652
TCONS_00000868	XLOC_000653
TCONS_00000869	XLOC_000653
TCONS_00000870	XLOC_000654
TCONS_00000871	XLOC_000655
TCONS_00000872	XLOC_000656
TCONS_00000873	XLOC_000656
TCONS_00000874	XLOC_000656
TCONS_00000875	XLOC_000656
TCONS_00000876	XLOC_000657
TCONS_00000877	XLOC_000658
TCONS_00000878	XLOC_000659
TCONS_00000879	XLOC_000660
TCONS_00000880	XLOC_000661
TCONS_00000881	XLOC_000662
TCONS_00000882	XLOC_000663
TCONS_00000883	XLOC_000664
TCONS_00000885	XLOC_000666
TCONS_00000886	XLOC_000667
TCONS_00000887	XLOC_000668
TCONS_00000888	XLOC_000669
TCONS_00000889	XLOC_000670
TCONS_00000890	XLOC_000671
TCONS_00000892	XLOC_000673
TCONS_00000893	XLOC_000674
TCONS_00000894	XLOC_000675
TCONS_00000895	XLOC_000676
TCONS_00000896	XLOC_000677
TCONS_00000897	XLOC_000678
TCONS_00000898	XLOC_000679
TCONS_00000899	XLOC_000680
TCONS_00000900	XLOC_000681
TCONS_00000901	XLOC_000682
TCONS_00000902	XLOC_000683
TCONS_00000903	XLOC_000684
TCONS_00000904	XLOC_000684
TCONS_00000905	XLOC_000685
TCONS_00000909	XLOC_000689
TCONS_00000910	XLOC_000690
TCONS_00000911	XLOC_000691
TCONS_00000912	XLOC_000691
TCONS_00000913	XLOC_000692
TCONS_00000914	XLOC_000693
TCONS_00000916	XLOC_000695
TCONS_00000917	XLOC_000696
TCONS_00000918	XLOC_000697
TCONS_00000919	XLOC_000697
TCONS_00000920	XLOC_000698
TCONS_00000921	XLOC_000698
TCONS_00000922	XLOC_000698
TCONS_00000923	XLOC_000698
TCONS_00000924	XLOC_000698
TCONS_00000925	XLOC_000699
TCONS_00000926	XLOC_000700
TCONS_00000927	XLOC_000701
TCONS_00000928	XLOC_000702
TCONS_00000929	XLOC_000703
TCONS_00000930	XLOC_000704
TCONS_00000931	XLOC_000704
TCONS_00000933	XLOC_000706
TCONS_00000934	XLOC_000707
TCONS_00000935	XLOC_000708
TCONS_00000936	XLOC_000709
TCONS_00000937	XLOC_000709
