#query_name	COGcat
TCONS_00000558	O
TCONS_00000559	T
TCONS_00000560	T
TCONS_00000565	S
TCONS_00000569	P
TCONS_00000569	T
TCONS_00000570	S
TCONS_00000571	S
TCONS_00000575	A
TCONS_00000577	Z
TCONS_00000579	J
TCONS_00000580	K
TCONS_00000584	K
TCONS_00000585	B
TCONS_00000589	Z
TCONS_00000591	K
TCONS_00000594	J
TCONS_00000595	K
TCONS_00000598	F
TCONS_00000600	O
TCONS_00000601	L
TCONS_00000609	G
TCONS_00000613	S
TCONS_00000614	G
TCONS_00000615	G
TCONS_00000616	G
TCONS_00000617	G
TCONS_00000623	S
TCONS_00000626	S
TCONS_00000627	W
TCONS_00000629	W
TCONS_00000630	W
TCONS_00000631	O
TCONS_00000632	W
TCONS_00000635	K
TCONS_00000636	S
TCONS_00000637	O
TCONS_00000638	F
TCONS_00000640	J
TCONS_00000643	Q
TCONS_00000645	P
TCONS_00000645	Q
TCONS_00000651	S
TCONS_00000653	S
TCONS_00000654	S
TCONS_00000655	S
TCONS_00000659	S
TCONS_00000661	T
TCONS_00000661	V
TCONS_00000662	T
TCONS_00000662	V
TCONS_00000663	S
TCONS_00000665	U
TCONS_00000667	S
TCONS_00000668	S
TCONS_00000669	I
TCONS_00000670	S
TCONS_00000671	S
TCONS_00000672	A
TCONS_00000673	S
TCONS_00000674	S
TCONS_00000676	K
TCONS_00000678	K
TCONS_00000679	K
TCONS_00000681	T
TCONS_00000684	A
TCONS_00000689	T
TCONS_00000690	D
TCONS_00000693	T
TCONS_00000695	T
TCONS_00000697	T
TCONS_00000698	T
TCONS_00000700	S
TCONS_00000703	S
TCONS_00000704	I
TCONS_00000705	G
TCONS_00000706	O
TCONS_00000707	G
TCONS_00000708	G
TCONS_00000709	G
TCONS_00000710	I
TCONS_00000712	L
TCONS_00000713	T
TCONS_00000715	S
TCONS_00000716	S
TCONS_00000717	S
TCONS_00000718	S
TCONS_00000719	S
TCONS_00000720	S
TCONS_00000721	S
TCONS_00000722	S
TCONS_00000727	O
TCONS_00000728	Z
TCONS_00000729	S
TCONS_00000731	S
TCONS_00000733	S
TCONS_00000735	P
TCONS_00000735	T
TCONS_00000737	S
TCONS_00000738	F
TCONS_00000740	A
TCONS_00000742	S
TCONS_00000744	I
TCONS_00000745	I
TCONS_00000747	I
TCONS_00000748	I
TCONS_00000749	A
TCONS_00000750	F
TCONS_00000752	T
TCONS_00000760	T
TCONS_00000762	G
TCONS_00000763	G
TCONS_00000770	S
TCONS_00000771	Y
TCONS_00000772	U
TCONS_00000773	K
TCONS_00000774	S
TCONS_00000777	P
TCONS_00000777	T
TCONS_00000779	I
TCONS_00000780	O
TCONS_00000786	L
TCONS_00000787	L
TCONS_00000788	I
TCONS_00000789	S
TCONS_00000794	L
TCONS_00000795	L
TCONS_00000797	L
TCONS_00000799	S
TCONS_00000800	A
TCONS_00000805	T
TCONS_00000806	E
TCONS_00000807	E
TCONS_00000808	E
TCONS_00000810	E
TCONS_00000811	E
TCONS_00000813	E
TCONS_00000815	E
TCONS_00000816	E
TCONS_00000817	K
TCONS_00000818	K
TCONS_00000819	K
TCONS_00000820	E
TCONS_00000822	E
TCONS_00000823	E
TCONS_00000824	S
TCONS_00000826	K
TCONS_00000827	E
TCONS_00000830	E
TCONS_00000831	S
TCONS_00000832	S
TCONS_00000834	S
TCONS_00000838	S
TCONS_00000839	K
TCONS_00000842	V
TCONS_00000842	W
TCONS_00000843	S
TCONS_00000844	V
TCONS_00000844	W
TCONS_00000847	S
TCONS_00000848	K
TCONS_00000849	V
TCONS_00000849	W
TCONS_00000850	S
TCONS_00000851	S
TCONS_00000852	T
TCONS_00000853	K
TCONS_00000854	O
TCONS_00000855	B
TCONS_00000855	K
TCONS_00000860	G
TCONS_00000862	T
TCONS_00000863	T
TCONS_00000863	W
TCONS_00000865	K
TCONS_00000867	G
TCONS_00000868	S
TCONS_00000870	K
TCONS_00000871	U
TCONS_00000875	J
TCONS_00000876	I
TCONS_00000877	T
TCONS_00000878	O
TCONS_00000879	K
TCONS_00000880	S
TCONS_00000887	C
TCONS_00000888	I
TCONS_00000888	J
TCONS_00000888	T
TCONS_00000889	J
TCONS_00000890	S
TCONS_00000892	I
TCONS_00000893	I
TCONS_00000894	I
TCONS_00000895	T
TCONS_00000895	Z
TCONS_00000896	T
TCONS_00000896	Z
TCONS_00000897	S
TCONS_00000900	S
TCONS_00000901	S
TCONS_00000902	S
TCONS_00000905	T
TCONS_00000905	V
TCONS_00000909	U
TCONS_00000910	S
TCONS_00000914	S
TCONS_00000916	T
TCONS_00000917	K
TCONS_00000918	K
TCONS_00000920	F
TCONS_00000925	T
TCONS_00000926	M
TCONS_00000928	S
TCONS_00000929	H
TCONS_00000930	Q
TCONS_00000933	T
TCONS_00000935	F
TCONS_00000936	F
TCONS_00000938	T
TCONS_00000940	M
TCONS_00000946	S
TCONS_00000948	H
TCONS_00000949	Q
TCONS_00000950	Q
TCONS_00000951	O
TCONS_00000952	O
TCONS_00000953	O
TCONS_00000954	O
TCONS_00000956	S
TCONS_00000960	I
TCONS_00000969	U
TCONS_00000978	D
TCONS_00000980	O
TCONS_00000981	B
TCONS_00000982	O
TCONS_00000983	U
TCONS_00000984	L
TCONS_00000988	S
TCONS_00000991	Q
TCONS_00000994	F
TCONS_00000996	T
TCONS_00000999	U
TCONS_00001002	H
TCONS_00001003	L
TCONS_00001004	O
TCONS_00001005	T
TCONS_00001008	L
TCONS_00001010	D
TCONS_00001015	S
TCONS_00001016	S
TCONS_00001019	S
TCONS_00001020	U
TCONS_00001021	D
TCONS_00001022	K
TCONS_00001024	L
TCONS_00001025	J
TCONS_00001034	O
TCONS_00001039	S
TCONS_00001041	K
TCONS_00001044	I
TCONS_00001048	T
TCONS_00001049	K
TCONS_00001055	T
TCONS_00001057	S
TCONS_00001058	T
TCONS_00001066	T
TCONS_00001067	S
TCONS_00001068	S
TCONS_00001069	Q
TCONS_00001070	S
TCONS_00001072	S
TCONS_00001074	S
TCONS_00001075	S
TCONS_00001078	E
TCONS_00001080	E
TCONS_00001082	Q
TCONS_00001084	Q
TCONS_00001085	H
TCONS_00001087	O
TCONS_00001088	E
TCONS_00001089	C
TCONS_00001090	K
TCONS_00001091	O
TCONS_00001097	C
TCONS_00001101	S
TCONS_00001102	U
TCONS_00001103	E
TCONS_00001109	F
TCONS_00001111	A
TCONS_00001112	B
TCONS_00001112	K
TCONS_00001115	T
TCONS_00001118	T
TCONS_00001123	S
TCONS_00001125	S
TCONS_00001126	S
TCONS_00001127	S
TCONS_00001128	S
TCONS_00001132	Z
TCONS_00001133	S
TCONS_00001135	J
TCONS_00001137	T
TCONS_00001138	T
TCONS_00001141	K
TCONS_00001144	K
TCONS_00001145	O
TCONS_00001145	T
TCONS_00001146	O
TCONS_00001147	O
TCONS_00001149	O
TCONS_00001150	S
TCONS_00001151	C
TCONS_00001152	U
TCONS_00001154	V
TCONS_00001154	W
TCONS_00001157	S
TCONS_00001159	U
TCONS_00001161	P
TCONS_00001162	S
TCONS_00001163	S
TCONS_00001165	U
TCONS_00001168	T
TCONS_00001169	V
TCONS_00001170	S
TCONS_00001171	O
TCONS_00001172	S
TCONS_00001174	Z
TCONS_00001175	U
TCONS_00001177	U
TCONS_00001178	C
TCONS_00001179	C
TCONS_00001181	E
TCONS_00001182	M
TCONS_00001186	Z
TCONS_00001187	U
TCONS_00001188	U
TCONS_00001189	C
TCONS_00001190	C
TCONS_00001191	E
TCONS_00001193	M
TCONS_00001195	H
TCONS_00001196	S
TCONS_00001197	J
TCONS_00001198	S
TCONS_00001200	T
TCONS_00001201	T
TCONS_00001202	T
TCONS_00001203	B
TCONS_00001204	S
TCONS_00001205	I
TCONS_00001206	S
TCONS_00001213	I
TCONS_00001214	I
TCONS_00001216	I
TCONS_00001217	Q
TCONS_00001218	O
TCONS_00001221	B
TCONS_00001222	L
TCONS_00001225	O
TCONS_00001226	S
TCONS_00001227	L
TCONS_00001228	S
TCONS_00001232	T
TCONS_00001232	U
TCONS_00001234	T
TCONS_00001238	O
TCONS_00001241	M
TCONS_00001243	S
TCONS_00001245	P
TCONS_00001245	Q
TCONS_00001248	S
TCONS_00001249	S
TCONS_00001251	T
TCONS_00001252	T
TCONS_00001253	T
TCONS_00001254	S
TCONS_00001255	O
TCONS_00001256	S
TCONS_00001257	S
TCONS_00001258	S
TCONS_00001265	B
TCONS_00001265	K
TCONS_00001267	T
TCONS_00001268	S
TCONS_00001269	T
TCONS_00001270	S
TCONS_00001274	S
TCONS_00001275	S
TCONS_00001276	S
TCONS_00001280	T
TCONS_00001281	S
TCONS_00001282	E
TCONS_00001287	O
TCONS_00001290	O
TCONS_00001292	S
TCONS_00001294	G
TCONS_00001295	I
TCONS_00001297	S
TCONS_00001298	S
TCONS_00001299	O
TCONS_00001300	G
TCONS_00001301	G
TCONS_00001303	O
TCONS_00001304	O
TCONS_00001305	J
TCONS_00001309	Y
TCONS_00001310	Z
TCONS_00001313	T
TCONS_00001314	J
TCONS_00001318	L
TCONS_00001321	S
TCONS_00001323	G
TCONS_00001324	P
TCONS_00001325	P
TCONS_00001326	P
TCONS_00001327	P
TCONS_00001336	T
TCONS_00001339	E
TCONS_00001343	K
TCONS_00001344	K
TCONS_00001345	H
TCONS_00001346	P
TCONS_00001347	P
TCONS_00001348	P
TCONS_00001354	T
TCONS_00001362	G
TCONS_00001363	O
TCONS_00001364	T
TCONS_00001367	T
TCONS_00001369	T
TCONS_00001370	T
TCONS_00001373	G
TCONS_00001376	S
TCONS_00001377	S
TCONS_00001378	E
TCONS_00001378	G
TCONS_00001379	S
TCONS_00001380	S
TCONS_00001382	G
TCONS_00001382	M
TCONS_00001383	U
TCONS_00001384	S
TCONS_00001385	S
TCONS_00001388	Q
TCONS_00001389	U
TCONS_00001391	S
TCONS_00001392	P
TCONS_00001393	A
TCONS_00001399	A
TCONS_00001400	T
TCONS_00001401	O
TCONS_00001408	S
TCONS_00001410	U
TCONS_00001411	S
TCONS_00001414	L
TCONS_00001416	I
TCONS_00001418	T
TCONS_00001421	T
TCONS_00001422	T
TCONS_00001424	T
TCONS_00001426	O
TCONS_00001427	T
TCONS_00001428	S
TCONS_00001429	T
TCONS_00001430	T
TCONS_00001432	T
TCONS_00001436	T
TCONS_00001437	T
TCONS_00001438	S
TCONS_00001439	T
TCONS_00001440	T
TCONS_00001441	T
TCONS_00001442	O
TCONS_00001443	S
TCONS_00001446	T
TCONS_00001446	V
TCONS_00001449	S
TCONS_00001450	S
TCONS_00001453	S
TCONS_00001461	P
TCONS_00001462	S
TCONS_00001464	T
TCONS_00001465	K
TCONS_00001466	S
TCONS_00001467	G
TCONS_00001469	W
TCONS_00001476	T
TCONS_00001479	Z
TCONS_00001480	Q
TCONS_00001483	L
TCONS_00001487	J
TCONS_00001488	F
TCONS_00001489	Z
TCONS_00001491	T
TCONS_00001492	B
TCONS_00001492	K
TCONS_00001493	I
TCONS_00001496	T
TCONS_00001498	S
TCONS_00001501	G
TCONS_00001509	Q
TCONS_00001510	T
TCONS_00001512	S
TCONS_00001513	T
TCONS_00001513	V
TCONS_00001514	T
TCONS_00001516	E
TCONS_00001516	O
TCONS_00001517	P
TCONS_00001518	P
TCONS_00001524	G
TCONS_00001527	P
TCONS_00001528	K
TCONS_00001529	S
TCONS_00001530	Q
TCONS_00001531	Q
TCONS_00001532	Q
TCONS_00001533	L
TCONS_00001534	L
TCONS_00001535	T
TCONS_00001536	C
TCONS_00001538	I
TCONS_00001539	Z
TCONS_00001540	Z
TCONS_00001541	Z
TCONS_00001542	Z
TCONS_00001543	Z
TCONS_00001544	Z
TCONS_00001545	Z
TCONS_00001550	A
TCONS_00001551	S
TCONS_00001552	I
TCONS_00001553	T
TCONS_00001555	P
TCONS_00001556	O
TCONS_00001557	O
TCONS_00001558	U
TCONS_00001559	S
TCONS_00001564	U
TCONS_00001569	S
TCONS_00001570	S
TCONS_00001573	S
TCONS_00001576	S
TCONS_00001579	S
TCONS_00001580	S
TCONS_00001581	S
TCONS_00001582	S
TCONS_00001584	T
TCONS_00001585	S
TCONS_00001586	S
TCONS_00001589	S
TCONS_00001600	S
TCONS_00001602	T
TCONS_00001608	T
TCONS_00001611	T
TCONS_00001615	T
TCONS_00001628	T
TCONS_00001631	T
TCONS_00001635	T
TCONS_00001637	T
TCONS_00001638	S
TCONS_00001639	O
TCONS_00001640	T
TCONS_00001641	T
TCONS_00001643	T
TCONS_00001644	A
TCONS_00001646	E
TCONS_00001649	G
TCONS_00001650	G
TCONS_00001651	G
TCONS_00001653	G
TCONS_00001656	S
TCONS_00001658	D
TCONS_00001658	Z
TCONS_00001659	S
TCONS_00001664	S
TCONS_00001665	B
TCONS_00001666	B
TCONS_00001667	B
TCONS_00001668	B
TCONS_00001668	T
TCONS_00001669	H
TCONS_00001670	S
TCONS_00001671	U
TCONS_00001673	U
TCONS_00001677	Q
TCONS_00001681	K
TCONS_00001683	D
TCONS_00001685	O
TCONS_00001697	P
TCONS_00001697	T
TCONS_00001699	T
TCONS_00001700	S
TCONS_00001701	O
TCONS_00001702	S
TCONS_00001703	S
TCONS_00001704	O
TCONS_00001705	T
TCONS_00001707	H
TCONS_00001710	S
TCONS_00001711	T
TCONS_00001713	S
TCONS_00001714	O
TCONS_00001716	S
TCONS_00001717	O
TCONS_00001719	S
TCONS_00001720	B
TCONS_00001721	T
TCONS_00001723	T
TCONS_00001726	T
TCONS_00001727	T
TCONS_00001728	T
TCONS_00001729	T
TCONS_00001730	T
TCONS_00001731	T
TCONS_00001732	T
TCONS_00001733	U
TCONS_00001735	W
TCONS_00001736	W
TCONS_00001737	W
TCONS_00001739	W
TCONS_00001740	S
TCONS_00001741	T
TCONS_00001752	T
TCONS_00001756	T
TCONS_00001758	S
TCONS_00001759	T
TCONS_00001764	T
TCONS_00001768	T
TCONS_00001769	T
TCONS_00001770	T
TCONS_00001771	A
TCONS_00001773	E
TCONS_00001779	S
TCONS_00001780	L
TCONS_00001781	D
TCONS_00001782	T
TCONS_00001782	B
TCONS_00001782	D
TCONS_00001782	L
TCONS_00001790	K
TCONS_00001793	L
TCONS_00001794	L
TCONS_00001795	L
TCONS_00001797	S
TCONS_00001800	G
TCONS_00001801	S
TCONS_00001802	T
TCONS_00001803	T
TCONS_00001804	T
TCONS_00001805	S
TCONS_00001806	K
TCONS_00001807	S
TCONS_00001811	U
TCONS_00001812	S
TCONS_00001814	I
TCONS_00001815	O
TCONS_00001817	S
TCONS_00001819	S
TCONS_00001820	S
TCONS_00001826	G
TCONS_00001827	T
TCONS_00001828	T
TCONS_00001829	T
TCONS_00001830	T
TCONS_00001831	S
TCONS_00001832	T
TCONS_00001833	W
TCONS_00001834	S
TCONS_00001836	T
TCONS_00001838	S
TCONS_00001845	S
TCONS_00001848	S
TCONS_00001854	T
TCONS_00001855	E
TCONS_00001855	O
TCONS_00001858	G
TCONS_00001860	Q
TCONS_00001861	E
TCONS_00001862	G
TCONS_00001864	T
TCONS_00001865	T
TCONS_00001866	T
TCONS_00001867	T
TCONS_00001868	T
TCONS_00001869	S
TCONS_00001870	O
TCONS_00001872	B
TCONS_00001874	L
TCONS_00001877	S
TCONS_00001878	U
TCONS_00001881	J
TCONS_00001883	J
TCONS_00001884	S
TCONS_00001887	T
TCONS_00001888	T
TCONS_00001889	S
TCONS_00001891	T
TCONS_00001893	T
TCONS_00001894	T
TCONS_00001895	T
TCONS_00001897	T
TCONS_00001898	T
TCONS_00001899	T
TCONS_00001900	T
TCONS_00001901	T
TCONS_00001901	V
TCONS_00001902	T
TCONS_00001904	U
TCONS_00001905	S
TCONS_00001906	S
TCONS_00001907	S
TCONS_00001909	T
TCONS_00001913	T
TCONS_00001916	T
TCONS_00001917	T
TCONS_00001920	S
TCONS_00001926	T
TCONS_00001928	A
TCONS_00001928	T
TCONS_00001928	Y
TCONS_00001932	S
TCONS_00001938	L
TCONS_00001939	J
TCONS_00001941	J
TCONS_00001942	J
TCONS_00001943	U
TCONS_00001943	Y
TCONS_00001945	S
TCONS_00001948	K
TCONS_00001949	P
TCONS_00001951	K
TCONS_00001953	T
TCONS_00001955	S
TCONS_00001958	I
TCONS_00001962	P
TCONS_00001966	P
TCONS_00001969	M
TCONS_00001971	T
TCONS_00001973	S
TCONS_00001974	S
TCONS_00001975	E
TCONS_00001979	E
TCONS_00001981	E
TCONS_00001985	E
TCONS_00001988	S
TCONS_00001989	S
TCONS_00001991	C
TCONS_00001992	F
TCONS_00001996	W
TCONS_00001998	S
TCONS_00001999	S
TCONS_00002001	C
TCONS_00002002	E
TCONS_00002003	V
TCONS_00002003	W
TCONS_00002004	W
TCONS_00002005	S
TCONS_00002006	S
TCONS_00002007	U
TCONS_00002010	C
TCONS_00002011	W
TCONS_00002013	L
TCONS_00002015	K
TCONS_00002016	D
TCONS_00002021	M
TCONS_00002022	T
TCONS_00002023	L
TCONS_00002026	U
TCONS_00002027	A
TCONS_00002029	U
TCONS_00002032	J
TCONS_00002033	K
TCONS_00002034	S
TCONS_00002035	K
TCONS_00002036	T
TCONS_00002037	S
TCONS_00002039	S
TCONS_00002040	S
TCONS_00002041	T
TCONS_00002044	O
TCONS_00002049	T
TCONS_00002050	G
TCONS_00002051	S
TCONS_00002057	S
TCONS_00002058	S
TCONS_00002059	T
TCONS_00002062	T
TCONS_00002063	T
TCONS_00002066	Q
TCONS_00002068	Q
TCONS_00002069	G
TCONS_00002070	E
TCONS_00002072	K
TCONS_00002074	E
TCONS_00002075	E
TCONS_00002077	E
TCONS_00002080	M
TCONS_00002080	W
TCONS_00002082	S
TCONS_00002083	S
TCONS_00002085	P
TCONS_00002085	T
TCONS_00002086	P
TCONS_00002086	T
TCONS_00002088	O
TCONS_00002089	T
TCONS_00002090	T
TCONS_00002092	K
TCONS_00002093	Z
TCONS_00002094	S
TCONS_00002096	T
TCONS_00002100	S
TCONS_00002101	U
TCONS_00002102	F
TCONS_00002103	S
TCONS_00002105	I
TCONS_00002106	I
TCONS_00002108	S
TCONS_00002109	U
TCONS_00002110	F
TCONS_00002111	S
TCONS_00002113	I
TCONS_00002114	S
TCONS_00002117	I
TCONS_00002118	I
TCONS_00002120	I
TCONS_00002121	G
TCONS_00002122	S
TCONS_00002123	S
TCONS_00002126	S
TCONS_00002127	T
TCONS_00002127	W
TCONS_00002128	Y
TCONS_00002129	B
TCONS_00002132	S
TCONS_00002134	S
TCONS_00002136	S
TCONS_00002138	Z
TCONS_00002146	E
TCONS_00002146	G
TCONS_00002148	G
TCONS_00002151	S
TCONS_00002153	F
TCONS_00002154	S
TCONS_00002156	S
TCONS_00002157	S
TCONS_00002163	Y
TCONS_00002164	K
TCONS_00002165	K
TCONS_00002167	A
TCONS_00002169	U
TCONS_00002170	O
TCONS_00002171	T
TCONS_00002172	U
TCONS_00002176	S
TCONS_00002177	O
TCONS_00002183	T
TCONS_00002185	T
TCONS_00002186	T
TCONS_00002187	S
TCONS_00002188	B
TCONS_00002189	S
TCONS_00002190	U
TCONS_00002192	S
TCONS_00002193	P
TCONS_00002193	T
TCONS_00002197	S
TCONS_00002198	S
TCONS_00002203	S
TCONS_00002204	W
TCONS_00002205	T
TCONS_00002207	C
TCONS_00002212	P
TCONS_00002213	M
TCONS_00002215	S
TCONS_00002218	T
TCONS_00002219	T
TCONS_00002220	T
TCONS_00002221	T
TCONS_00002222	T
TCONS_00002223	T
TCONS_00002224	T
TCONS_00002225	T
TCONS_00002226	T
TCONS_00002227	T
TCONS_00002228	T
TCONS_00002229	T
TCONS_00002232	T
TCONS_00002233	O
TCONS_00002237	C
TCONS_00002239	M
TCONS_00002239	W
TCONS_00002242	T
TCONS_00002246	L
TCONS_00002247	S
TCONS_00002248	S
TCONS_00002251	S
TCONS_00002255	T
TCONS_00002256	U
TCONS_00002264	S
TCONS_00002270	S
TCONS_00002275	T
TCONS_00002280	S
TCONS_00002283	P
TCONS_00002284	I
TCONS_00002285	K
TCONS_00002286	O
TCONS_00002289	A
TCONS_00002291	S
TCONS_00002292	S
TCONS_00002294	S
TCONS_00002295	S
TCONS_00002296	S
TCONS_00002297	O
TCONS_00002297	T
TCONS_00002299	O
TCONS_00002299	T
TCONS_00002302	T
TCONS_00002304	T
TCONS_00002305	V
TCONS_00002307	C
TCONS_00002308	S
TCONS_00002310	S
TCONS_00002311	U
TCONS_00002313	S
TCONS_00002314	S
TCONS_00002318	S
TCONS_00002319	S
TCONS_00002320	O
TCONS_00002321	T
TCONS_00002325	U
TCONS_00002326	S
TCONS_00002327	S
TCONS_00002328	S
TCONS_00002329	S
TCONS_00002330	S
TCONS_00002331	O
TCONS_00002333	O
TCONS_00002334	O
TCONS_00002336	S
TCONS_00002337	Q
TCONS_00002338	I
TCONS_00002340	I
TCONS_00002341	I
TCONS_00002343	O
TCONS_00002344	O
TCONS_00002346	A
TCONS_00002347	O
TCONS_00002351	S
TCONS_00002353	I
TCONS_00002354	E
TCONS_00002355	S
TCONS_00002356	S
TCONS_00002363	O
TCONS_00002367	S
TCONS_00002373	J
TCONS_00002374	T
TCONS_00002375	O
TCONS_00002380	J
TCONS_00002381	T
TCONS_00002382	T
TCONS_00002382	U
TCONS_00002384	S
TCONS_00002386	S
TCONS_00002388	T
TCONS_00002389	T
TCONS_00002390	D
TCONS_00002392	W
TCONS_00002394	K
TCONS_00002398	U
TCONS_00002399	K
TCONS_00002401	F
TCONS_00002402	O
TCONS_00002403	K
TCONS_00002408	P
TCONS_00002410	P
TCONS_00002411	S
TCONS_00002413	S
TCONS_00002414	S
TCONS_00002417	S
TCONS_00002419	S
TCONS_00002421	S
TCONS_00002422	S
TCONS_00002423	S
TCONS_00002428	S
TCONS_00002433	S
TCONS_00002438	S
TCONS_00002439	S
TCONS_00002441	S
TCONS_00002443	S
TCONS_00002447	U
TCONS_00002449	P
TCONS_00002451	T
TCONS_00002457	K
TCONS_00002464	Q
TCONS_00002468	Q
TCONS_00002470	A
TCONS_00002472	Q
TCONS_00002473	S
TCONS_00002475	T
TCONS_00002480	O
TCONS_00002485	L
TCONS_00002489	O
TCONS_00002492	U
TCONS_00002493	T
TCONS_00002498	S
TCONS_00002501	Z
TCONS_00002504	L
