GENE.OFUSG00006.1~~OFUSG00006.1	OFUSG00006.1.p1
GENE.OFUSG00147.1~~OFUSG00147.1	OFUSG00147.1.p1
GENE.OFUSG00160.1~~OFUSG00160.1	OFUSG00160.1.p1
GENE.OFUSG00163.1~~OFUSG00163.1	OFUSG00163.1.p1
GENE.OFUSG00174.1~~OFUSG00174.1	OFUSG00174.1.p1
GENE.OFUSG00191.1~~OFUSG00191.1	OFUSG00191.1.p1
GENE.OFUSG00208.1~~OFUSG00208.1	OFUSG00208.1.p1
GENE.OFUSG00212.1~~OFUSG00212.1	OFUSG00212.1.p1
GENE.OFUSG00216.1~~OFUSG00216.1	OFUSG00216.1.p1
GENE.OFUSG00217.1~~OFUSG00217.1	OFUSG00217.1.p1
GENE.OFUSG00218.1~~OFUSG00218.1	OFUSG00218.1.p1
GENE.OFUSG00219.1~~OFUSG00219.1	OFUSG00219.1.p1
GENE.OFUSG00221.1~~OFUSG00221.1	OFUSG00221.1.p1
GENE.OFUSG00226.1~~OFUSG00226.1	OFUSG00226.1.p1
GENE.OFUSG00231.1~~OFUSG00231.1	OFUSG00231.1.p1
GENE.OFUSG00232.1~~OFUSG00232.1	OFUSG00232.1.p1
GENE.OFUSG00233.1~~OFUSG00233.1	OFUSG00233.1.p1
GENE.OFUSG00234.2~~OFUSG00234.2	OFUSG00234.2.p1
GENE.OFUSG00237.1~~OFUSG00237.1	OFUSG00237.1.p1
GENE.OFUSG00254.1~~OFUSG00254.1	OFUSG00254.1.p1
GENE.OFUSG00259.1~~OFUSG00259.1	OFUSG00259.1.p1
GENE.OFUSG00259.1~~OFUSG00259.1	OFUSG00259.1.p1
GENE.OFUSG00268.1~~OFUSG00268.1	OFUSG00268.1.p1
GENE.OFUSG00269.1~~OFUSG00269.1	OFUSG00269.1.p1
GENE.OFUSG00271.1~~OFUSG00271.1	OFUSG00271.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00278.1~~OFUSG00278.1	OFUSG00278.1.p1
GENE.OFUSG00281.1~~OFUSG00281.1	OFUSG00281.1.p1
GENE.OFUSG00282.1~~OFUSG00282.1	OFUSG00282.1.p1
GENE.OFUSG00286.3~~OFUSG00286.3	OFUSG00286.3.p1
GENE.OFUSG00290.1~~OFUSG00290.1	OFUSG00290.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00301.1~~OFUSG00301.1	OFUSG00301.1.p1
GENE.OFUSG00307.1~~OFUSG00307.1	OFUSG00307.1.p1
GENE.OFUSG00312.1~~OFUSG00312.1	OFUSG00312.1.p1
GENE.OFUSG00313.1~~OFUSG00313.1	OFUSG00313.1.p1
GENE.OFUSG00323.1~~OFUSG00323.1	OFUSG00323.1.p1
GENE.OFUSG00324.1~~OFUSG00324.1	OFUSG00324.1.p1
GENE.OFUSG00332.1~~OFUSG00332.1	OFUSG00332.1.p1
GENE.OFUSG00335.1~~OFUSG00335.1	OFUSG00335.1.p1
GENE.OFUSG00341.1~~OFUSG00341.1	OFUSG00341.1.p1
GENE.OFUSG00342.1~~OFUSG00342.1	OFUSG00342.1.p1
GENE.OFUSG00343.1~~OFUSG00343.1	OFUSG00343.1.p1
GENE.OFUSG00348.1~~OFUSG00348.1	OFUSG00348.1.p1
GENE.OFUSG00350.1~~OFUSG00350.1	OFUSG00350.1.p1
GENE.OFUSG00360.1~~OFUSG00360.1	OFUSG00360.1.p1
GENE.OFUSG00362.1~~OFUSG00362.1	OFUSG00362.1.p1
GENE.OFUSG00364.1~~OFUSG00364.1	OFUSG00364.1.p1
GENE.OFUSG00372.1~~OFUSG00372.1	OFUSG00372.1.p1
GENE.OFUSG00378.1~~OFUSG00378.1	OFUSG00378.1.p1
GENE.OFUSG00383.1~~OFUSG00383.1	OFUSG00383.1.p1
GENE.OFUSG00393.1~~OFUSG00393.1	OFUSG00393.1.p1
GENE.OFUSG00395.1~~OFUSG00395.1	OFUSG00395.1.p1
GENE.OFUSG00404.1~~OFUSG00404.1	OFUSG00404.1.p1
GENE.OFUSG00407.1~~OFUSG00407.1	OFUSG00407.1.p1
GENE.OFUSG00409.1~~OFUSG00409.1	OFUSG00409.1.p1
GENE.OFUSG00420.1~~OFUSG00420.1	OFUSG00420.1.p1
GENE.OFUSG00421.1~~OFUSG00421.1	OFUSG00421.1.p1
GENE.OFUSG00422.1~~OFUSG00422.1	OFUSG00422.1.p1
GENE.OFUSG00423.1~~OFUSG00423.1	OFUSG00423.1.p1
GENE.OFUSG00424.1~~OFUSG00424.1	OFUSG00424.1.p1
GENE.OFUSG00428.1~~OFUSG00428.1	OFUSG00428.1.p1
GENE.OFUSG00433.1~~OFUSG00433.1	OFUSG00433.1.p1
GENE.OFUSG00434.1~~OFUSG00434.1	OFUSG00434.1.p1
GENE.OFUSG00436.1~~OFUSG00436.1	OFUSG00436.1.p1
GENE.OFUSG00445.1~~OFUSG00445.1	OFUSG00445.1.p1
GENE.OFUSG00447.1~~OFUSG00447.1	OFUSG00447.1.p1
GENE.OFUSG00452.1~~OFUSG00452.1	OFUSG00452.1.p1
GENE.OFUSG00455.1~~OFUSG00455.1	OFUSG00455.1.p1
GENE.OFUSG00457.1~~OFUSG00457.1	OFUSG00457.1.p1
GENE.OFUSG00462.1~~OFUSG00462.1	OFUSG00462.1.p1
GENE.OFUSG00466.1~~OFUSG00466.1	OFUSG00466.1.p1
GENE.OFUSG00470.1~~OFUSG00470.1	OFUSG00470.1.p1
GENE.OFUSG00472.1~~OFUSG00472.1	OFUSG00472.1.p1
GENE.OFUSG00473.1~~OFUSG00473.1	OFUSG00473.1.p1
GENE.OFUSG00479.1~~OFUSG00479.1	OFUSG00479.1.p1
GENE.OFUSG00498.1~~OFUSG00498.1	OFUSG00498.1.p1
GENE.OFUSG00508.1~~OFUSG00508.1	OFUSG00508.1.p1
GENE.OFUSG00512.1~~OFUSG00512.1	OFUSG00512.1.p1
GENE.OFUSG00514.1~~OFUSG00514.1	OFUSG00514.1.p1
GENE.OFUSG00515.1~~OFUSG00515.1	OFUSG00515.1.p1
GENE.OFUSG00520.1~~OFUSG00520.1	OFUSG00520.1.p1
GENE.OFUSG00522.1~~OFUSG00522.1	OFUSG00522.1.p1
GENE.OFUSG00530.1~~OFUSG00530.1	OFUSG00530.1.p1
GENE.OFUSG00531.1~~OFUSG00531.1	OFUSG00531.1.p1
GENE.OFUSG00532.1~~OFUSG00532.1	OFUSG00532.1.p1
GENE.OFUSG00534.1~~OFUSG00534.1	OFUSG00534.1.p1
GENE.OFUSG00544.1~~OFUSG00544.1	OFUSG00544.1.p1
GENE.OFUSG00549.1~~OFUSG00549.1	OFUSG00549.1.p1
GENE.OFUSG00564.1~~OFUSG00564.1	OFUSG00564.1.p1
GENE.OFUSG00564.1~~OFUSG00564.1	OFUSG00564.1.p1
GENE.OFUSG00565.1~~OFUSG00565.1	OFUSG00565.1.p1
GENE.OFUSG00565.1~~OFUSG00565.1	OFUSG00565.1.p1
GENE.OFUSG00579.1~~OFUSG00579.1	OFUSG00579.1.p1
GENE.OFUSG00580.1~~OFUSG00580.1	OFUSG00580.1.p1
GENE.OFUSG00598.1~~OFUSG00598.1	OFUSG00598.1.p1
GENE.OFUSG00599.1~~OFUSG00599.1	OFUSG00599.1.p1
GENE.OFUSG00605.1~~OFUSG00605.1	OFUSG00605.1.p1
GENE.OFUSG00613.1~~OFUSG00613.1	OFUSG00613.1.p1
GENE.OFUSG00618.1~~OFUSG00618.1	OFUSG00618.1.p1
GENE.OFUSG00619.1~~OFUSG00619.1	OFUSG00619.1.p1
GENE.OFUSG00620.1~~OFUSG00620.1	OFUSG00620.1.p1
GENE.OFUSG00621.1~~OFUSG00621.1	OFUSG00621.1.p1
GENE.OFUSG00630.1~~OFUSG00630.1	OFUSG00630.1.p1
GENE.OFUSG00657.1~~OFUSG00657.1	OFUSG00657.1.p1
GENE.OFUSG00673.1~~OFUSG00673.1	OFUSG00673.1.p1
GENE.OFUSG00673.1~~OFUSG00673.1	OFUSG00673.1.p1
GENE.OFUSG00675.1~~OFUSG00675.1	OFUSG00675.1.p1
GENE.OFUSG00675.1~~OFUSG00675.1	OFUSG00675.1.p1
GENE.OFUSG00684.1~~OFUSG00684.1	OFUSG00684.1.p1
GENE.OFUSG00692.1~~OFUSG00692.1	OFUSG00692.1.p1
GENE.OFUSG00701.1~~OFUSG00701.1	OFUSG00701.1.p1
GENE.OFUSG00705.1~~OFUSG00705.1	OFUSG00705.1.p1
GENE.OFUSG00705.1~~OFUSG00705.1	OFUSG00705.1.p1
GENE.OFUSG00709.1~~OFUSG00709.1	OFUSG00709.1.p1
GENE.OFUSG00714.1~~OFUSG00714.1	OFUSG00714.1.p1
GENE.OFUSG00718.1~~OFUSG00718.1	OFUSG00718.1.p1
GENE.OFUSG00726.1~~OFUSG00726.1	OFUSG00726.1.p1
GENE.OFUSG00728.1~~OFUSG00728.1	OFUSG00728.1.p1
GENE.OFUSG00731.1~~OFUSG00731.1	OFUSG00731.1.p1
GENE.OFUSG00731.1~~OFUSG00731.1	OFUSG00731.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00734.1~~OFUSG00734.1	OFUSG00734.1.p1
GENE.OFUSG00739.1~~OFUSG00739.1	OFUSG00739.1.p1
GENE.OFUSG00744.1~~OFUSG00744.1	OFUSG00744.1.p1
GENE.OFUSG00753.1~~OFUSG00753.1	OFUSG00753.1.p1
GENE.OFUSG00759.1~~OFUSG00759.1	OFUSG00759.1.p1
GENE.OFUSG00760.1~~OFUSG00760.1	OFUSG00760.1.p1
GENE.OFUSG00761.1~~OFUSG00761.1	OFUSG00761.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00766.1~~OFUSG00766.1	OFUSG00766.1.p1
GENE.OFUSG00776.1~~OFUSG00776.1	OFUSG00776.1.p1
GENE.OFUSG00777.1~~OFUSG00777.1	OFUSG00777.1.p1
GENE.OFUSG00778.1~~OFUSG00778.1	OFUSG00778.1.p1
GENE.OFUSG00780.1~~OFUSG00780.1	OFUSG00780.1.p1
GENE.OFUSG00781.1~~OFUSG00781.1	OFUSG00781.1.p1
GENE.OFUSG00792.1~~OFUSG00792.1	OFUSG00792.1.p1
GENE.OFUSG00799.1~~OFUSG00799.1	OFUSG00799.1.p1
GENE.OFUSG00804.1~~OFUSG00804.1	OFUSG00804.1.p1
GENE.OFUSG00805.1~~OFUSG00805.1	OFUSG00805.1.p1
GENE.OFUSG00807.1~~OFUSG00807.1	OFUSG00807.1.p1
GENE.OFUSG00809.1~~OFUSG00809.1	OFUSG00809.1.p1
GENE.OFUSG00814.1~~OFUSG00814.1	OFUSG00814.1.p1
GENE.OFUSG00815.1~~OFUSG00815.1	OFUSG00815.1.p1
GENE.OFUSG00819.1~~OFUSG00819.1	OFUSG00819.1.p1
GENE.OFUSG00819.1~~OFUSG00819.1	OFUSG00819.1.p1
GENE.OFUSG00831.1~~OFUSG00831.1	OFUSG00831.1.p1
GENE.OFUSG00843.1~~OFUSG00843.1	OFUSG00843.1.p1
GENE.OFUSG00847.1~~OFUSG00847.1	OFUSG00847.1.p1
GENE.OFUSG00850.1~~OFUSG00850.1	OFUSG00850.1.p1
GENE.OFUSG00850.1~~OFUSG00850.1	OFUSG00850.1.p1
GENE.OFUSG00850.1~~OFUSG00850.1	OFUSG00850.1.p1
GENE.OFUSG00850.1~~OFUSG00850.1	OFUSG00850.1.p1
GENE.OFUSG00866.1~~OFUSG00866.1	OFUSG00866.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00871.1~~OFUSG00871.1	OFUSG00871.1.p1
GENE.OFUSG00877.1~~OFUSG00877.1	OFUSG00877.1.p1
GENE.OFUSG00878.1~~OFUSG00878.1	OFUSG00878.1.p1
GENE.OFUSG00880.1~~OFUSG00880.1	OFUSG00880.1.p1
GENE.OFUSG00880.2~~OFUSG00880.2	OFUSG00880.2.p1
GENE.OFUSG00882.1~~OFUSG00882.1	OFUSG00882.1.p1
GENE.OFUSG00888.1~~OFUSG00888.1	OFUSG00888.1.p1
GENE.OFUSG00889.1~~OFUSG00889.1	OFUSG00889.1.p1
GENE.OFUSG00890.1~~OFUSG00890.1	OFUSG00890.1.p1
GENE.OFUSG00891.2~~OFUSG00891.2	OFUSG00891.2.p1
GENE.OFUSG00897.1~~OFUSG00897.1	OFUSG00897.1.p1
GENE.OFUSG00900.1~~OFUSG00900.1	OFUSG00900.1.p1
GENE.OFUSG00901.1~~OFUSG00901.1	OFUSG00901.1.p1
GENE.OFUSG00903.1~~OFUSG00903.1	OFUSG00903.1.p1
GENE.OFUSG00906.1~~OFUSG00906.1	OFUSG00906.1.p1
GENE.OFUSG00908.1~~OFUSG00908.1	OFUSG00908.1.p1
GENE.OFUSG00913.1~~OFUSG00913.1	OFUSG00913.1.p1
GENE.OFUSG00918.1~~OFUSG00918.1	OFUSG00918.1.p1
GENE.OFUSG00920.1~~OFUSG00920.1	OFUSG00920.1.p1
GENE.OFUSG00922.1~~OFUSG00922.1	OFUSG00922.1.p1
GENE.OFUSG00924.1~~OFUSG00924.1	OFUSG00924.1.p1
GENE.OFUSG00925.1~~OFUSG00925.1	OFUSG00925.1.p1
GENE.OFUSG00931.1~~OFUSG00931.1	OFUSG00931.1.p1
GENE.OFUSG00936.1~~OFUSG00936.1	OFUSG00936.1.p1
GENE.OFUSG00940.1~~OFUSG00940.1	OFUSG00940.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00943.1~~OFUSG00943.1	OFUSG00943.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00944.1~~OFUSG00944.1	OFUSG00944.1.p1
GENE.OFUSG00965.1~~OFUSG00965.1	OFUSG00965.1.p1
GENE.OFUSG00971.1~~OFUSG00971.1	OFUSG00971.1.p1
GENE.OFUSG00976.1~~OFUSG00976.1	OFUSG00976.1.p1
GENE.OFUSG00993.1~~OFUSG00993.1	OFUSG00993.1.p1
GENE.OFUSG00993.1~~OFUSG00993.1	OFUSG00993.1.p1
GENE.OFUSG00995.1~~OFUSG00995.1	OFUSG00995.1.p1
GENE.OFUSG00997.1~~OFUSG00997.1	OFUSG00997.1.p1
GENE.OFUSG00999.1~~OFUSG00999.1	OFUSG00999.1.p1
GENE.OFUSG01001.1~~OFUSG01001.1	OFUSG01001.1.p1
GENE.OFUSG01001.1~~OFUSG01001.1	OFUSG01001.1.p1
GENE.OFUSG01001.1~~OFUSG01001.1	OFUSG01001.1.p1
GENE.OFUSG01024.1~~OFUSG01024.1	OFUSG01024.1.p1
GENE.OFUSG01024.1~~OFUSG01024.1	OFUSG01024.1.p1
GENE.OFUSG01024.1~~OFUSG01024.1	OFUSG01024.1.p1
GENE.OFUSG01024.1~~OFUSG01024.1	OFUSG01024.1.p1
GENE.OFUSG01030.1~~OFUSG01030.1	OFUSG01030.1.p1
GENE.OFUSG01032.1~~OFUSG01032.1	OFUSG01032.1.p1
GENE.OFUSG01036.1~~OFUSG01036.1	OFUSG01036.1.p1
GENE.OFUSG01037.1~~OFUSG01037.1	OFUSG01037.1.p1
GENE.OFUSG01046.1~~OFUSG01046.1	OFUSG01046.1.p1
GENE.OFUSG01059.1~~OFUSG01059.1	OFUSG01059.1.p1
GENE.OFUSG01065.1~~OFUSG01065.1	OFUSG01065.1.p1
GENE.OFUSG01069.1~~OFUSG01069.1	OFUSG01069.1.p1
GENE.OFUSG01070.1~~OFUSG01070.1	OFUSG01070.1.p1
GENE.OFUSG01072.1~~OFUSG01072.1	OFUSG01072.1.p1
GENE.OFUSG01075.1~~OFUSG01075.1	OFUSG01075.1.p1
GENE.OFUSG01084.1~~OFUSG01084.1	OFUSG01084.1.p1
GENE.OFUSG01086.1~~OFUSG01086.1	OFUSG01086.1.p1
GENE.OFUSG01090.1~~OFUSG01090.1	OFUSG01090.1.p1
GENE.OFUSG01097.1~~OFUSG01097.1	OFUSG01097.1.p1
GENE.OFUSG01098.1~~OFUSG01098.1	OFUSG01098.1.p1
GENE.OFUSG01098.1~~OFUSG01098.1	OFUSG01098.1.p1
GENE.OFUSG01098.1~~OFUSG01098.1	OFUSG01098.1.p1
GENE.OFUSG01099.1~~OFUSG01099.1	OFUSG01099.1.p1
GENE.OFUSG01103.1~~OFUSG01103.1	OFUSG01103.1.p1
GENE.OFUSG01110.2~~OFUSG01110.2	OFUSG01110.2.p1
GENE.OFUSG01112.1~~OFUSG01112.1	OFUSG01112.1.p1
GENE.OFUSG01112.1~~OFUSG01112.1	OFUSG01112.1.p1
GENE.OFUSG01112.1~~OFUSG01112.1	OFUSG01112.1.p1
GENE.OFUSG01115.1~~OFUSG01115.1	OFUSG01115.1.p1
GENE.OFUSG01117.1~~OFUSG01117.1	OFUSG01117.1.p1
GENE.OFUSG01126.1~~OFUSG01126.1	OFUSG01126.1.p1
GENE.OFUSG01139.1~~OFUSG01139.1	OFUSG01139.1.p1
GENE.OFUSG01140.1~~OFUSG01140.1	OFUSG01140.1.p1
GENE.OFUSG01154.1~~OFUSG01154.1	OFUSG01154.1.p1
GENE.OFUSG01166.1~~OFUSG01166.1	OFUSG01166.1.p1
GENE.OFUSG01179.1~~OFUSG01179.1	OFUSG01179.1.p1
GENE.OFUSG01196.1~~OFUSG01196.1	OFUSG01196.1.p1
GENE.OFUSG01209.1~~OFUSG01209.1	OFUSG01209.1.p1
GENE.OFUSG01209.2~~OFUSG01209.2	OFUSG01209.2.p1
GENE.OFUSG01215.1~~OFUSG01215.1	OFUSG01215.1.p1
GENE.OFUSG01224.1~~OFUSG01224.1	OFUSG01224.1.p1
GENE.OFUSG01227.1~~OFUSG01227.1	OFUSG01227.1.p1
GENE.OFUSG01232.1~~OFUSG01232.1	OFUSG01232.1.p1
GENE.OFUSG01233.1~~OFUSG01233.1	OFUSG01233.1.p1
GENE.OFUSG01233.1~~OFUSG01233.1	OFUSG01233.1.p1
GENE.OFUSG01242.1~~OFUSG01242.1	OFUSG01242.1.p1
GENE.OFUSG01243.1~~OFUSG01243.1	OFUSG01243.1.p1
GENE.OFUSG01246.1~~OFUSG01246.1	OFUSG01246.1.p2
GENE.OFUSG01248.1~~OFUSG01248.1	OFUSG01248.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01250.1~~OFUSG01250.1	OFUSG01250.1.p1
GENE.OFUSG01251.1~~OFUSG01251.1	OFUSG01251.1.p1
GENE.OFUSG01252.1~~OFUSG01252.1	OFUSG01252.1.p1
GENE.OFUSG01253.1~~OFUSG01253.1	OFUSG01253.1.p1
GENE.OFUSG01254.1~~OFUSG01254.1	OFUSG01254.1.p1
GENE.OFUSG01257.1~~OFUSG01257.1	OFUSG01257.1.p1
GENE.OFUSG01260.1~~OFUSG01260.1	OFUSG01260.1.p1
GENE.OFUSG01272.1~~OFUSG01272.1	OFUSG01272.1.p1
GENE.OFUSG01283.1~~OFUSG01283.1	OFUSG01283.1.p1
GENE.OFUSG01287.1~~OFUSG01287.1	OFUSG01287.1.p1
GENE.OFUSG01289.2~~OFUSG01289.2	OFUSG01289.2.p1
GENE.OFUSG01293.1~~OFUSG01293.1	OFUSG01293.1.p1
GENE.OFUSG01300.1~~OFUSG01300.1	OFUSG01300.1.p1
GENE.OFUSG01331.1~~OFUSG01331.1	OFUSG01331.1.p1
GENE.OFUSG01335.1~~OFUSG01335.1	OFUSG01335.1.p1
GENE.OFUSG01336.1~~OFUSG01336.1	OFUSG01336.1.p1
GENE.OFUSG01337.1~~OFUSG01337.1	OFUSG01337.1.p1
GENE.OFUSG01347.1~~OFUSG01347.1	OFUSG01347.1.p1
GENE.OFUSG01350.1~~OFUSG01350.1	OFUSG01350.1.p1
