AENJA_00004	OFUSG05380.1
AENJA_00552	OFUSG01990.1
AENJA_00556	OFUSG13162.1
AENJA_00557	OFUSG25229.1
AENJA_00565	OFUSG25148.1
AENJA_00571	OFUSG03464.1
AENJA_00588	OFUSG00902.1
AENJA_00589	OFUSG00045.1
AENJA_00590	OFUSG00519.1
AENJA_00591	OFUSG01816.1
AENJA_00593	OFUSG15724.1
AENJA_00600	OFUSG08460.1
AENJA_00603	OFUSG17680.1
AENJA_00606	OFUSG16034.1
AENJA_00650	OFUSG11055.1
AENJA_00651	OFUSG02068.1
AENJA_00652	OFUSG26510.1
AENJA_00653	OFUSG21501.1
AENJA_00667	OFUSG09047.1
AENJA_00673	OFUSG05054.1
AENJA_00700	OFUSG20129.1
AENJA_00701	OFUSG20128.1
AENJA_00704	OFUSG24052.1
AENJA_00706	OFUSG09330.1
AENJA_00709	OFUSG19922.1
AENJA_00710	OFUSG09001.1
AENJA_00713	OFUSG08790.1
AENJA_00718	OFUSG12472.1
AENJA_00719	OFUSG12314.1
AENJA_00729	OFUSG16904.1
AENJA_00731	OFUSG12558.1
AENJA_00732	OFUSG22075.1
AENJA_00735	OFUSG22074.1
AENJA_00744	OFUSG04765.1
AENJA_00748	OFUSG10979.1
AENJA_00753	OFUSG07711.1
AENJA_00758	OFUSG07112.1
AENJA_00765	OFUSG05271.1
AENJA_00767	OFUSG20806.1
AENJA_00771	OFUSG23977.1
AENJA_00776	OFUSG12708.1
AENJA_00777	OFUSG16398.1
AENJA_00781	OFUSG06712.1
AENJA_00781	OFUSG13700.1
AENJA_00781	OFUSG18204.1
AENJA_00781	OFUSG18205.1
AENJA_00785	OFUSG08039.1
AENJA_00796	OFUSG19155.1
AENJA_00803	OFUSG06938.1
AENJA_00804	OFUSG18664.1
AENJA_00811	OFUSG10770.2
AENJA_00831	OFUSG20952.1
AENJA_00832	OFUSG20952.1
AENJA_00836	OFUSG11160.1
AENJA_00838	OFUSG11149.1
AENJA_00856	OFUSG02179.1
AENJA_00868	OFUSG19542.1
AENJA_00869	OFUSG05458.1
AENJA_00873	OFUSG19156.1
AENJA_00876	OFUSG19248.1
AENJA_00882	OFUSG24621.2
AENJA_00888	OFUSG25165.1
AENJA_00889	OFUSG25163.1
AENJA_00905	OFUSG03909.1
AENJA_00912	OFUSG02180.1
AENJA_00917	OFUSG06747.1
AENJA_00924	OFUSG04597.1
AENJA_00927	OFUSG06451.1
AENJA_00931	OFUSG26478.1
AENJA_00934	OFUSG26833.1
AENJA_00939	OFUSG02479.1
AENJA_00939	OFUSG10515.1
AENJA_00940	OFUSG05400.1
AENJA_00940	OFUSG08136.1
AENJA_00940	OFUSG08137.1
AENJA_00940	OFUSG13972.1
AENJA_00940	OFUSG15990.1
AENJA_00940	OFUSG17641.1
AENJA_00953	OFUSG13249.1
AENJA_00962	OFUSG17660.1
AENJA_00967	OFUSG10356.1
AENJA_00975	OFUSG04679.1
AENJA_00977	OFUSG01800.1
AENJA_00977	OFUSG09608.1
AENJA_00977	OFUSG12769.1
AENJA_00977	OFUSG21189.1
AENJA_00978	OFUSG17077.1
AENJA_00981	OFUSG23536.1
AENJA_00983	OFUSG17078.1
AENJA_00987	OFUSG18399.1
AENJA_00991	OFUSG24754.1
AENJA_00994	OFUSG19852.1
AENJA_00995	OFUSG24947.1
AENJA_00995	OFUSG24950.1
AENJA_00997	OFUSG13540.1
AENJA_01001	OFUSG02684.1
AENJA_01004	OFUSG02722.1
AENJA_01009	OFUSG12824.1
AENJA_01011	OFUSG13085.1
AENJA_01012	OFUSG17676.1
AENJA_01014	OFUSG26483.1
AENJA_01019	OFUSG04404.1
AENJA_01029	OFUSG17622.1
AENJA_01039	OFUSG14192.1
AENJA_01042	OFUSG10158.1
AENJA_01043	OFUSG10280.1
AENJA_01044	OFUSG10664.1
AENJA_01053	OFUSG05759.1
AENJA_01053	OFUSG14519.1
AENJA_01066	OFUSG00422.1
AENJA_01067	OFUSG00940.1
AENJA_01095	OFUSG17653.1
AENJA_01100	OFUSG09983.1
AENJA_01101	OFUSG05696.1
AENJA_01102	OFUSG26702.1
AENJA_01104	OFUSG19488.1
AENJA_01105	OFUSG19489.1
AENJA_01108	OFUSG05767.1
AENJA_01109	OFUSG10346.1
AENJA_01120	OFUSG03990.1
AENJA_01125	OFUSG09991.1
AENJA_01142	OFUSG21796.1
AENJA_01157	OFUSG24362.1
AENJA_01161	OFUSG01022.1
AENJA_01166	OFUSG13281.1
AENJA_01168	OFUSG23517.1
AENJA_01169	OFUSG13568.1
AENJA_01170	OFUSG17278.1
AENJA_01172	OFUSG06331.1
AENJA_01176	OFUSG07718.1
AENJA_01184	OFUSG05562.1
AENJA_01188	OFUSG08657.1
AENJA_01194	OFUSG08435.1
AENJA_01195	OFUSG09822.1
AENJA_01196	OFUSG19673.1
AENJA_01198	OFUSG09058.1
AENJA_01200	OFUSG09269.1
AENJA_01201	OFUSG08788.1
AENJA_01203	OFUSG19674.1
AENJA_01205	OFUSG06475.1
AENJA_01206	OFUSG22644.1
AENJA_01208	OFUSG06477.1
AENJA_01226	OFUSG12465.1
AENJA_01253	OFUSG00629.1
AENJA_01257	OFUSG05883.1
AENJA_01258	OFUSG11488.1
AENJA_01259	OFUSG21967.1
AENJA_01261	OFUSG21699.1
AENJA_01262	OFUSG25347.1
AENJA_01266	OFUSG07278.1
AENJA_01277	OFUSG00633.1
AENJA_01280	OFUSG12522.1
AENJA_01299	OFUSG07013.1
AENJA_01314	OFUSG06656.1
AENJA_01320	OFUSG06463.1
AENJA_01322	OFUSG19395.1
AENJA_01325	OFUSG01243.1
AENJA_01350	OFUSG07192.1
AENJA_01361	OFUSG10181.1
AENJA_01367	OFUSG10911.1
AENJA_01372	OFUSG05135.1
AENJA_01372	OFUSG05136.1
AENJA_01372	OFUSG18561.1
AENJA_01373	OFUSG05135.1
AENJA_01373	OFUSG05136.1
AENJA_01373	OFUSG18561.1
AENJA_01374	OFUSG05133.1
AENJA_01382	OFUSG04314.1
AENJA_01383	OFUSG16501.1
AENJA_01389	OFUSG14844.1
AENJA_01405	OFUSG25436.1
AENJA_01409	OFUSG08226.1
AENJA_01410	OFUSG08227.1
AENJA_01422	OFUSG10992.1
AENJA_01429	OFUSG08726.1
AENJA_01429	OFUSG13785.1
AENJA_01430	OFUSG09207.1
AENJA_01430	OFUSG23994.1
AENJA_01431	OFUSG25959.1
AENJA_01432	OFUSG09712.1
AENJA_01436	OFUSG20033.1
AENJA_01439	OFUSG04303.1
AENJA_01441	OFUSG13976.1
AENJA_01446	OFUSG06637.1
AENJA_01446	OFUSG12844.1
AENJA_01448	OFUSG25255.1
AENJA_01455	OFUSG11759.1
AENJA_01456	OFUSG11760.1
AENJA_01457	OFUSG09312.1
AENJA_01458	OFUSG06063.1
AENJA_01459	OFUSG13083.1
AENJA_01473	OFUSG03566.1
AENJA_01487	OFUSG00132.1
AENJA_01495	OFUSG21854.1
AENJA_01507	OFUSG23324.1
AENJA_01512	OFUSG07952.1
AENJA_01513	OFUSG20587.1
AENJA_01523	OFUSG10425.1
AENJA_01529	OFUSG19492.1
AENJA_01532	OFUSG07068.1
AENJA_01536	OFUSG07313.1
AENJA_01547	OFUSG25224.1
AENJA_01548	OFUSG11528.1
AENJA_01552	OFUSG07216.1
AENJA_01552	OFUSG09774.1
AENJA_01552	OFUSG18314.1
AENJA_01552	OFUSG18750.1
AENJA_01552	OFUSG20706.1
AENJA_01552	OFUSG21793.1
AENJA_01552	OFUSG21795.1
AENJA_01552	OFUSG21830.1
AENJA_01552	OFUSG26037.1
AENJA_01559	OFUSG02479.1
AENJA_01559	OFUSG10515.1
AENJA_01569	OFUSG03330.1
AENJA_01582	OFUSG19540.1
AENJA_01586	OFUSG06000.1
AENJA_01591	OFUSG26571.1
AENJA_01592	OFUSG00925.1
AENJA_01596	OFUSG11134.1
AENJA_01604	OFUSG11996.1
AENJA_01611	OFUSG00970.1
AENJA_01615	OFUSG01480.1
AENJA_01616	OFUSG17317.1
AENJA_01634	OFUSG03909.1
AENJA_01641	OFUSG00717.1
AENJA_01643	OFUSG22503.1
AENJA_01646	OFUSG17662.1
AENJA_01649	OFUSG07767.1
AENJA_01667	OFUSG09556.1
AENJA_01667	OFUSG10896.1
AENJA_01679	OFUSG15957.1
AENJA_01681	OFUSG16032.1
AENJA_01698	OFUSG07837.1
AENJA_01704	OFUSG13497.1
AENJA_01705	OFUSG13655.1
AENJA_01727	OFUSG02704.1
AENJA_01728	OFUSG04090.1
AENJA_01729	OFUSG23701.1
AENJA_01730	OFUSG00013.1
AENJA_01731	OFUSG17210.1
AENJA_01736	OFUSG01951.1
AENJA_01738	OFUSG17769.1
AENJA_01745	OFUSG26401.1
AENJA_01753	OFUSG12916.1
AENJA_01755	OFUSG14509.1
AENJA_01756	OFUSG07943.1
AENJA_01756	OFUSG16895.1
AENJA_01777	OFUSG16977.1
AENJA_01777	OFUSG19788.1
AENJA_01779	OFUSG16977.1
AENJA_01779	OFUSG19788.1
AENJA_01780	OFUSG11512.1
AENJA_01780	OFUSG11513.1
AENJA_01780	OFUSG11514.1
AENJA_01780	OFUSG16688.1
AENJA_01783	OFUSG19469.1
AENJA_01827	OFUSG05705.1
AENJA_01828	OFUSG04812.1
AENJA_01831	OFUSG25812.1
AENJA_01840	OFUSG15207.1
AENJA_01867	OFUSG04345.1
AENJA_01869	OFUSG17372.1
AENJA_01871	OFUSG21387.1
AENJA_01879	OFUSG24826.1
AENJA_01883	OFUSG02639.1
AENJA_01885	OFUSG18829.1
AENJA_01886	OFUSG13920.1
AENJA_01887	OFUSG14370.1
AENJA_01889	OFUSG04846.1
AENJA_01894	OFUSG22804.1
AENJA_01904	OFUSG20409.1
AENJA_01947	OFUSG08452.1
AENJA_01948	OFUSG08466.1
AENJA_01954	OFUSG08207.1
AENJA_01955	OFUSG00534.1
AENJA_01957	OFUSG02435.1
AENJA_01958	OFUSG09375.1
AENJA_01960	OFUSG00689.1
AENJA_01962	OFUSG17045.1
AENJA_01963	OFUSG00245.1
AENJA_01966	OFUSG00243.1
AENJA_01981	OFUSG20952.1
AENJA_01995	OFUSG12678.1
AENJA_01996	OFUSG17103.1
AENJA_01997	OFUSG18112.1
AENJA_01998	OFUSG18595.1
AENJA_02005	OFUSG14908.1
AENJA_02009	OFUSG20694.1
AENJA_02010	OFUSG14086.1
AENJA_02014	OFUSG14153.1
AENJA_02014	OFUSG23981.1
AENJA_02021	OFUSG04447.1
AENJA_02024	OFUSG23476.1
AENJA_02043	OFUSG05925.1
AENJA_02043	OFUSG10601.1
AENJA_02043	OFUSG23315.1
AENJA_02043	OFUSG26305.1
AENJA_02051	OFUSG00544.1
AENJA_02053	OFUSG18113.1
AENJA_02063	OFUSG17921.1
AENJA_02066	OFUSG05400.1
AENJA_02066	OFUSG08136.1
AENJA_02066	OFUSG08137.1
AENJA_02066	OFUSG13972.1
AENJA_02066	OFUSG15990.1
AENJA_02066	OFUSG17641.1
AENJA_02075	OFUSG11181.1
AENJA_02076	OFUSG10852.1
AENJA_02077	OFUSG10227.1
AENJA_02078	OFUSG10222.1
AENJA_02079	OFUSG16660.1
AENJA_02088	OFUSG09745.1
AENJA_02091	OFUSG04403.1
AENJA_02093	OFUSG04046.1
AENJA_02094	OFUSG09745.1
AENJA_02105	OFUSG13115.1
AENJA_02107	OFUSG14668.1
AENJA_02120	OFUSG17339.1
AENJA_02142	OFUSG03550.1
AENJA_02161	OFUSG13189.1
AENJA_02165	OFUSG18659.1
AENJA_02167	OFUSG05464.1
AENJA_02168	OFUSG25180.1
AENJA_02170	OFUSG12083.1
AENJA_02173	OFUSG12085.1
AENJA_02178	OFUSG07323.1
AENJA_02178	OFUSG09415.1
AENJA_02178	OFUSG15163.1
AENJA_02178	OFUSG15164.1
AENJA_02179	OFUSG21717.1
AENJA_02195	OFUSG04635.1
AENJA_02197	OFUSG26582.1
AENJA_02199	OFUSG20028.1
AENJA_02199	OFUSG23716.1
AENJA_02206	OFUSG05226.1
AENJA_02207	OFUSG20331.1
AENJA_02208	OFUSG20553.1
AENJA_02210	OFUSG05227.1
AENJA_02211	OFUSG08583.1
AENJA_02215	OFUSG03962.1
AENJA_02219	OFUSG08523.1
AENJA_02224	OFUSG10942.1
AENJA_02249	OFUSG03998.1
AENJA_02252	OFUSG10690.1
AENJA_02267	OFUSG20886.1
AENJA_02268	OFUSG20804.1
AENJA_02270	OFUSG24470.1
AENJA_02274	OFUSG24340.1
AENJA_02278	OFUSG09197.1
AENJA_02279	OFUSG09196.1
AENJA_02280	OFUSG09190.1
AENJA_02281	OFUSG26572.1
AENJA_02283	OFUSG11029.2
AENJA_02284	OFUSG17347.1
AENJA_02289	OFUSG17348.1
AENJA_02291	OFUSG20119.1
AENJA_02297	OFUSG05890.1
AENJA_02300	OFUSG05810.1
AENJA_02301	OFUSG23310.1
AENJA_02302	OFUSG19109.1
AENJA_02312	OFUSG10753.1
AENJA_02315	OFUSG18302.1
AENJA_02330	OFUSG04617.1
AENJA_02331	OFUSG21706.1
AENJA_02335	OFUSG17239.1
AENJA_02340	OFUSG17696.1
AENJA_02350	OFUSG07848.1
AENJA_02354	OFUSG11909.1
AENJA_02368	OFUSG16917.1
AENJA_02374	OFUSG23247.1
AENJA_02375	OFUSG23258.1
AENJA_02377	OFUSG21494.1
AENJA_02378	OFUSG13673.1
AENJA_02385	OFUSG25750.1
AENJA_02386	OFUSG25523.1
AENJA_02394	OFUSG04456.1
AENJA_02394	OFUSG23658.1
AENJA_02397	OFUSG09066.1
AENJA_02398	OFUSG09065.1
AENJA_02399	OFUSG23749.1
AENJA_02400	OFUSG08825.1
AENJA_02401	OFUSG19694.1
AENJA_02402	OFUSG08691.1
AENJA_02403	OFUSG22030.1
AENJA_02410	OFUSG21204.1
AENJA_02411	OFUSG13238.1
AENJA_02412	OFUSG13691.1
AENJA_02416	OFUSG20952.1
AENJA_02419	OFUSG18002.1
AENJA_02420	OFUSG05878.1
AENJA_02422	OFUSG09954.1
AENJA_02425	OFUSG17809.1
AENJA_02429	OFUSG12590.1
AENJA_02430	OFUSG24908.1
AENJA_02432	OFUSG07744.1
AENJA_02445	OFUSG02933.1
AENJA_02447	OFUSG11676.1
AENJA_02450	OFUSG03079.1
AENJA_02456	OFUSG04762.1
AENJA_02457	OFUSG04456.1
AENJA_02457	OFUSG23658.1
AENJA_02461	OFUSG16567.1
AENJA_02462	OFUSG16566.1
AENJA_02475	OFUSG03705.1
AENJA_02481	OFUSG10796.1
AENJA_02482	OFUSG10422.1
AENJA_02484	OFUSG01355.1
AENJA_02486	OFUSG10016.2
AENJA_02493	OFUSG12549.1
AENJA_02540	OFUSG14982.1
AENJA_02542	OFUSG22312.1
AENJA_02560	OFUSG23403.1
AENJA_02561	OFUSG05392.1
AENJA_02562	OFUSG21274.1
AENJA_02563	OFUSG21089.1
AENJA_02564	OFUSG12773.1
AENJA_02569	OFUSG17107.1
AENJA_02582	OFUSG18648.1
AENJA_02591	OFUSG21302.1
AENJA_02598	OFUSG12764.1
AENJA_02605	OFUSG26658.1
AENJA_02610	OFUSG08975.1
AENJA_02610	OFUSG16442.1
AENJA_02618	OFUSG02832.1
AENJA_02618	OFUSG17786.1
AENJA_02627	OFUSG15140.1
AENJA_02632	OFUSG25199.1
AENJA_02633	OFUSG13378.1
AENJA_02634	OFUSG23606.1
AENJA_02642	OFUSG14093.1
AENJA_02646	OFUSG12008.1
AENJA_02647	OFUSG12174.1
AENJA_02653	OFUSG06894.1
AENJA_02657	OFUSG16561.2
AENJA_02670	OFUSG21188.1
AENJA_02675	OFUSG21297.1
AENJA_02680	OFUSG14159.1
AENJA_02685	OFUSG00272.1
AENJA_02685	OFUSG26560.1
AENJA_02686	OFUSG14228.1
AENJA_02687	OFUSG14848.1
AENJA_02688	OFUSG03691.1
AENJA_02689	OFUSG14337.1
AENJA_02695	OFUSG14256.1
AENJA_02703	OFUSG17223.1
AENJA_02714	OFUSG23132.1
AENJA_02715	OFUSG07257.1
AENJA_02720	OFUSG04758.1
AENJA_02731	OFUSG19175.1
AENJA_02740	OFUSG10232.1
AENJA_02756	OFUSG17273.1
AENJA_02764	OFUSG03509.1
AENJA_02769	OFUSG07940.1
AENJA_02770	OFUSG07939.1
AENJA_02775	OFUSG12079.1
AENJA_02777	OFUSG26803.1
AENJA_02779	OFUSG25217.1
AENJA_02781	OFUSG11848.1
AENJA_02782	OFUSG11568.1
AENJA_02792	OFUSG01106.1
AENJA_02794	OFUSG00418.1
AENJA_02797	OFUSG00279.1
AENJA_02798	OFUSG04184.1
AENJA_02799	OFUSG00744.1
AENJA_02809	OFUSG15266.1
AENJA_02816	OFUSG19415.1
AENJA_02817	OFUSG18726.1
AENJA_02846	OFUSG11385.1
AENJA_02853	OFUSG06980.1
AENJA_02860	OFUSG19412.1
AENJA_02862	OFUSG05642.1
AENJA_02870	OFUSG08762.1
AENJA_02871	OFUSG17186.1
AENJA_02876	OFUSG15797.1
AENJA_02889	OFUSG26497.1
AENJA_02896	OFUSG05267.1
AENJA_02906	OFUSG12366.1
AENJA_02906	OFUSG25147.1
AENJA_02907	OFUSG12593.1
AENJA_02911	OFUSG19123.1
AENJA_02912	OFUSG05928.1
AENJA_02914	OFUSG22533.1
AENJA_02914	OFUSG22535.1
AENJA_02914	OFUSG22536.1
AENJA_02917	OFUSG05664.1
AENJA_02924	OFUSG08372.1
AENJA_02924	OFUSG09559.1
AENJA_02924	OFUSG14756.1
AENJA_02924	OFUSG16383.1
AENJA_02924	OFUSG24706.1
AENJA_02927	OFUSG20144.1
AENJA_02931	OFUSG09515.1
AENJA_02938	OFUSG07841.1
AENJA_02940	OFUSG21215.1
AENJA_02941	OFUSG23483.1
AENJA_02942	OFUSG07802.1
AENJA_02954	OFUSG19374.1
AENJA_02956	OFUSG05608.1
AENJA_02964	OFUSG05535.1
AENJA_02975	OFUSG05766.1
AENJA_02979	OFUSG11970.1
AENJA_02982	OFUSG06668.1
AENJA_02986	OFUSG07395.1
AENJA_02988	OFUSG12297.1
AENJA_02989	OFUSG11735.1
AENJA_02992	OFUSG23100.1
AENJA_03001	OFUSG19612.1
AENJA_03017	OFUSG10099.1
AENJA_03019	OFUSG18259.1
AENJA_03021	OFUSG07216.1
AENJA_03021	OFUSG09774.1
AENJA_03021	OFUSG18314.1
AENJA_03021	OFUSG18750.1
AENJA_03021	OFUSG20706.1
AENJA_03021	OFUSG21793.1
AENJA_03021	OFUSG21795.1
AENJA_03021	OFUSG21830.1
AENJA_03021	OFUSG26037.1
AENJA_03031	OFUSG10555.1
AENJA_03036	OFUSG10373.1
AENJA_03043	OFUSG20687.1
AENJA_03045	OFUSG20327.1
AENJA_03049	OFUSG20688.1
AENJA_03055	OFUSG03994.1
AENJA_03057	OFUSG16686.1
AENJA_03060	OFUSG16790.1
AENJA_03061	OFUSG12940.1
AENJA_03061	OFUSG14529.1
AENJA_03061	OFUSG14898.1
AENJA_03064	OFUSG12523.1
AENJA_03065	OFUSG12159.1
AENJA_03069	OFUSG12068.1
AENJA_03072	OFUSG22946.1
AENJA_03089	OFUSG19255.1
AENJA_03091	OFUSG06326.1
AENJA_03104	OFUSG26017.2
AENJA_03107	OFUSG19676.1
AENJA_03117	OFUSG14587.1
AENJA_03118	OFUSG14483.1
AENJA_03121	OFUSG14003.1
AENJA_03124	OFUSG10538.1
AENJA_03130	OFUSG04255.1
AENJA_03131	OFUSG22650.1
AENJA_03143	OFUSG05188.1
AENJA_03147	OFUSG13492.1
AENJA_03148	OFUSG01069.1
AENJA_03149	OFUSG13254.1
AENJA_03156	OFUSG04578.1
AENJA_03161	OFUSG13324.1
AENJA_03162	OFUSG04196.1
AENJA_03163	OFUSG04733.1
AENJA_03167	OFUSG20574.1
AENJA_03174	OFUSG05241.1
AENJA_03180	OFUSG03992.1
AENJA_03181	OFUSG03441.1
AENJA_03197	OFUSG13060.1
AENJA_03209	OFUSG03649.2
AENJA_03211	OFUSG11032.1
AENJA_03212	OFUSG03514.1
AENJA_03216	OFUSG16049.1
AENJA_03220	OFUSG09137.1
AENJA_03226	OFUSG19563.1
AENJA_03252	OFUSG15309.1
AENJA_03256	OFUSG25918.1
AENJA_03258	OFUSG14822.1
AENJA_03260	OFUSG05781.1
AENJA_03261	OFUSG22455.1
AENJA_03262	OFUSG15559.1
AENJA_03263	OFUSG15049.1
AENJA_03264	OFUSG22257.1
AENJA_03266	OFUSG13860.1
AENJA_03277	OFUSG13133.1
AENJA_03277	OFUSG13877.1
AENJA_03286	OFUSG24613.1
AENJA_03297	OFUSG16169.1
AENJA_03320	OFUSG16968.1
AENJA_03321	OFUSG05079.1
AENJA_03323	OFUSG09204.1
AENJA_03324	OFUSG19562.1
AENJA_03328	OFUSG09527.1
AENJA_03329	OFUSG20654.1
AENJA_03334	OFUSG09666.1
AENJA_03336	OFUSG15109.1
AENJA_03367	OFUSG00611.1
AENJA_03370	OFUSG00464.1
AENJA_03371	OFUSG07323.1
AENJA_03371	OFUSG09415.1
AENJA_03371	OFUSG15163.1
AENJA_03371	OFUSG15164.1
AENJA_03372	OFUSG01720.1
AENJA_03378	OFUSG19044.1
AENJA_03379	OFUSG23262.1
AENJA_03381	OFUSG03299.1
AENJA_03381	OFUSG03300.1
AENJA_03381	OFUSG03301.1
AENJA_03383	OFUSG10565.1
AENJA_03385	OFUSG17815.1
AENJA_03386	OFUSG06032.1
AENJA_03387	OFUSG10296.1
AENJA_03390	OFUSG12528.1
AENJA_03392	OFUSG23822.1
AENJA_03401	OFUSG06813.1
AENJA_03406	OFUSG05822.1
AENJA_03407	OFUSG21322.1
AENJA_03415	OFUSG19358.1
AENJA_03416	OFUSG19143.1
AENJA_03420	OFUSG10005.1
AENJA_03423	OFUSG10576.1
AENJA_03425	OFUSG09988.1
AENJA_03427	OFUSG10248.1
AENJA_03430	OFUSG14909.1
AENJA_03431	OFUSG14906.1
AENJA_03435	OFUSG24001.1
AENJA_03436	OFUSG01693.1
AENJA_03437	OFUSG24099.1
AENJA_03438	OFUSG15272.1
AENJA_03446	OFUSG07216.1
AENJA_03446	OFUSG09774.1
AENJA_03446	OFUSG18314.1
AENJA_03446	OFUSG18750.1
AENJA_03446	OFUSG20706.1
AENJA_03446	OFUSG21793.1
AENJA_03446	OFUSG21795.1
AENJA_03446	OFUSG21830.1
AENJA_03446	OFUSG26037.1
AENJA_03450	OFUSG21561.1
AENJA_03454	OFUSG01251.1
AENJA_03458	OFUSG23825.1
AENJA_03467	OFUSG00522.1
AENJA_03475	OFUSG02407.1
AENJA_03483	OFUSG14008.1
AENJA_03489	OFUSG02824.1
AENJA_03490	OFUSG18573.1
AENJA_03492	OFUSG03363.1
AENJA_03493	OFUSG03362.1
AENJA_03495	OFUSG02988.1
AENJA_03495	OFUSG22739.1
AENJA_03495	OFUSG23747.1
AENJA_03496	OFUSG07954.1
AENJA_03505	OFUSG07188.1
AENJA_03514	OFUSG19095.1
AENJA_03515	OFUSG07216.1
AENJA_03515	OFUSG09774.1
AENJA_03515	OFUSG18314.1
AENJA_03515	OFUSG18750.1
AENJA_03515	OFUSG20706.1
AENJA_03515	OFUSG21793.1
AENJA_03515	OFUSG21795.1
AENJA_03515	OFUSG21830.1
AENJA_03515	OFUSG26037.1
AENJA_03520	OFUSG08593.1
AENJA_03521	OFUSG12808.1
AENJA_03523	OFUSG16893.1
AENJA_03526	OFUSG08987.1
AENJA_03537	OFUSG22780.1
AENJA_03538	OFUSG20468.1
AENJA_03555	OFUSG23437.1
AENJA_03568	OFUSG03466.1
AENJA_03577	OFUSG13407.1
AENJA_03584	OFUSG12731.1
