GENE.OFUSG00006.1~~OFUSG00006.1	OFUSG00006.1.p1
GENE.OFUSG00120.1~~OFUSG00120.1	OFUSG00120.1.p1
GENE.OFUSG00127.1~~OFUSG00127.1	OFUSG00127.1.p1
GENE.OFUSG00128.2~~OFUSG00128.2	OFUSG00128.2.p1
GENE.OFUSG00129.1~~OFUSG00129.1	OFUSG00129.1.p1
GENE.OFUSG00130.1~~OFUSG00130.1	OFUSG00130.1.p1
GENE.OFUSG00131.1~~OFUSG00131.1	OFUSG00131.1.p1
GENE.OFUSG00132.1~~OFUSG00132.1	OFUSG00132.1.p1
GENE.OFUSG00142.1~~OFUSG00142.1	OFUSG00142.1.p1
GENE.OFUSG00150.1~~OFUSG00150.1	OFUSG00150.1.p1
GENE.OFUSG00154.1~~OFUSG00154.1	OFUSG00154.1.p1
GENE.OFUSG00157.1~~OFUSG00157.1	OFUSG00157.1.p1
GENE.OFUSG00160.1~~OFUSG00160.1	OFUSG00160.1.p1
GENE.OFUSG00163.1~~OFUSG00163.1	OFUSG00163.1.p1
GENE.OFUSG00164.1~~OFUSG00164.1	OFUSG00164.1.p1
GENE.OFUSG00165.1~~OFUSG00165.1	OFUSG00165.1.p1
GENE.OFUSG00174.1~~OFUSG00174.1	OFUSG00174.1.p1
GENE.OFUSG00177.1~~OFUSG00177.1	OFUSG00177.1.p1
GENE.OFUSG00181.1~~OFUSG00181.1	OFUSG00181.1.p1
GENE.OFUSG00182.1~~OFUSG00182.1	OFUSG00182.1.p1
GENE.OFUSG00190.1~~OFUSG00190.1	OFUSG00190.1.p1
GENE.OFUSG00192.1~~OFUSG00192.1	OFUSG00192.1.p1
GENE.OFUSG00199.1~~OFUSG00199.1	OFUSG00199.1.p1
GENE.OFUSG00208.1~~OFUSG00208.1	OFUSG00208.1.p1
GENE.OFUSG00208.1~~OFUSG00208.1	OFUSG00208.1.p1
GENE.OFUSG00208.1~~OFUSG00208.1	OFUSG00208.1.p1
GENE.OFUSG00208.1~~OFUSG00208.1	OFUSG00208.1.p1
GENE.OFUSG00208.1~~OFUSG00208.1	OFUSG00208.1.p1
GENE.OFUSG00210.1~~OFUSG00210.1	OFUSG00210.1.p1
GENE.OFUSG00212.1~~OFUSG00212.1	OFUSG00212.1.p1
GENE.OFUSG00217.1~~OFUSG00217.1	OFUSG00217.1.p1
GENE.OFUSG00218.1~~OFUSG00218.1	OFUSG00218.1.p1
GENE.OFUSG00219.1~~OFUSG00219.1	OFUSG00219.1.p1
GENE.OFUSG00221.1~~OFUSG00221.1	OFUSG00221.1.p1
GENE.OFUSG00225.1~~OFUSG00225.1	OFUSG00225.1.p1
GENE.OFUSG00231.1~~OFUSG00231.1	OFUSG00231.1.p1
GENE.OFUSG00232.1~~OFUSG00232.1	OFUSG00232.1.p1
GENE.OFUSG00234.2~~OFUSG00234.2	OFUSG00234.2.p1
GENE.OFUSG00243.1~~OFUSG00243.1	OFUSG00243.1.p1
GENE.OFUSG00245.1~~OFUSG00245.1	OFUSG00245.1.p1
GENE.OFUSG00253.1~~OFUSG00253.1	OFUSG00253.1.p2
GENE.OFUSG00254.1~~OFUSG00254.1	OFUSG00254.1.p1
GENE.OFUSG00259.1~~OFUSG00259.1	OFUSG00259.1.p1
GENE.OFUSG00263.1~~OFUSG00263.1	OFUSG00263.1.p1
GENE.OFUSG00268.1~~OFUSG00268.1	OFUSG00268.1.p1
GENE.OFUSG00269.1~~OFUSG00269.1	OFUSG00269.1.p1
GENE.OFUSG00271.1~~OFUSG00271.1	OFUSG00271.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00272.1~~OFUSG00272.1	OFUSG00272.1.p1
GENE.OFUSG00278.1~~OFUSG00278.1	OFUSG00278.1.p1
GENE.OFUSG00281.1~~OFUSG00281.1	OFUSG00281.1.p1
GENE.OFUSG00282.1~~OFUSG00282.1	OFUSG00282.1.p1
GENE.OFUSG00290.1~~OFUSG00290.1	OFUSG00290.1.p1
GENE.OFUSG00290.1~~OFUSG00290.1	OFUSG00290.1.p1
GENE.OFUSG00295.1~~OFUSG00295.1	OFUSG00295.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00298.1~~OFUSG00298.1	OFUSG00298.1.p1
GENE.OFUSG00301.1~~OFUSG00301.1	OFUSG00301.1.p1
GENE.OFUSG00304.1~~OFUSG00304.1	OFUSG00304.1.p1
GENE.OFUSG00311.1~~OFUSG00311.1	OFUSG00311.1.p1
GENE.OFUSG00311.1~~OFUSG00311.1	OFUSG00311.1.p1
GENE.OFUSG00312.1~~OFUSG00312.1	OFUSG00312.1.p1
GENE.OFUSG00323.1~~OFUSG00323.1	OFUSG00323.1.p1
GENE.OFUSG00324.1~~OFUSG00324.1	OFUSG00324.1.p1
GENE.OFUSG00333.1~~OFUSG00333.1	OFUSG00333.1.p1
GENE.OFUSG00335.1~~OFUSG00335.1	OFUSG00335.1.p1
GENE.OFUSG00336.1~~OFUSG00336.1	OFUSG00336.1.p1
GENE.OFUSG00337.1~~OFUSG00337.1	OFUSG00337.1.p1
GENE.OFUSG00339.1~~OFUSG00339.1	OFUSG00339.1.p1
GENE.OFUSG00341.1~~OFUSG00341.1	OFUSG00341.1.p1
GENE.OFUSG00342.1~~OFUSG00342.1	OFUSG00342.1.p1
GENE.OFUSG00343.1~~OFUSG00343.1	OFUSG00343.1.p1
GENE.OFUSG00348.1~~OFUSG00348.1	OFUSG00348.1.p1
GENE.OFUSG00348.1~~OFUSG00348.1	OFUSG00348.1.p1
GENE.OFUSG00349.1~~OFUSG00349.1	OFUSG00349.1.p1
GENE.OFUSG00349.1~~OFUSG00349.1	OFUSG00349.1.p1
GENE.OFUSG00350.1~~OFUSG00350.1	OFUSG00350.1.p1
GENE.OFUSG00358.1~~OFUSG00358.1	OFUSG00358.1.p1
GENE.OFUSG00362.1~~OFUSG00362.1	OFUSG00362.1.p1
GENE.OFUSG00363.1~~OFUSG00363.1	OFUSG00363.1.p1
GENE.OFUSG00364.1~~OFUSG00364.1	OFUSG00364.1.p1
GENE.OFUSG00366.1~~OFUSG00366.1	OFUSG00366.1.p1
GENE.OFUSG00367.1~~OFUSG00367.1	OFUSG00367.1.p1
GENE.OFUSG00369.1~~OFUSG00369.1	OFUSG00369.1.p1
GENE.OFUSG00372.1~~OFUSG00372.1	OFUSG00372.1.p1
GENE.OFUSG00381.1~~OFUSG00381.1	OFUSG00381.1.p1
GENE.OFUSG00383.1~~OFUSG00383.1	OFUSG00383.1.p1
GENE.OFUSG00387.1~~OFUSG00387.1	OFUSG00387.1.p1
GENE.OFUSG00387.1~~OFUSG00387.1	OFUSG00387.1.p1
GENE.OFUSG00387.1~~OFUSG00387.1	OFUSG00387.1.p1
GENE.OFUSG00398.1~~OFUSG00398.1	OFUSG00398.1.p1
GENE.OFUSG00400.1~~OFUSG00400.1	OFUSG00400.1.p1
GENE.OFUSG00404.1~~OFUSG00404.1	OFUSG00404.1.p1
GENE.OFUSG00408.1~~OFUSG00408.1	OFUSG00408.1.p1
GENE.OFUSG00409.1~~OFUSG00409.1	OFUSG00409.1.p1
GENE.OFUSG00411.1~~OFUSG00411.1	OFUSG00411.1.p1
GENE.OFUSG00413.1~~OFUSG00413.1	OFUSG00413.1.p1
GENE.OFUSG00418.1~~OFUSG00418.1	OFUSG00418.1.p1
GENE.OFUSG00419.1~~OFUSG00419.1	OFUSG00419.1.p1
GENE.OFUSG00420.1~~OFUSG00420.1	OFUSG00420.1.p1
GENE.OFUSG00422.1~~OFUSG00422.1	OFUSG00422.1.p1
GENE.OFUSG00423.1~~OFUSG00423.1	OFUSG00423.1.p1
GENE.OFUSG00424.1~~OFUSG00424.1	OFUSG00424.1.p1
GENE.OFUSG00424.1~~OFUSG00424.1	OFUSG00424.1.p1
GENE.OFUSG00424.1~~OFUSG00424.1	OFUSG00424.1.p1
GENE.OFUSG00424.1~~OFUSG00424.1	OFUSG00424.1.p1
GENE.OFUSG00426.1~~OFUSG00426.1	OFUSG00426.1.p1
GENE.OFUSG00426.1~~OFUSG00426.1	OFUSG00426.1.p1
GENE.OFUSG00428.1~~OFUSG00428.1	OFUSG00428.1.p1
GENE.OFUSG00429.1~~OFUSG00429.1	OFUSG00429.1.p1
GENE.OFUSG00434.1~~OFUSG00434.1	OFUSG00434.1.p1
GENE.OFUSG00436.1~~OFUSG00436.1	OFUSG00436.1.p1
GENE.OFUSG00440.1~~OFUSG00440.1	OFUSG00440.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00441.1~~OFUSG00441.1	OFUSG00441.1.p1
GENE.OFUSG00445.1~~OFUSG00445.1	OFUSG00445.1.p1
GENE.OFUSG00446.1~~OFUSG00446.1	OFUSG00446.1.p1
GENE.OFUSG00447.1~~OFUSG00447.1	OFUSG00447.1.p1
GENE.OFUSG00450.1~~OFUSG00450.1	OFUSG00450.1.p1
GENE.OFUSG00452.1~~OFUSG00452.1	OFUSG00452.1.p1
GENE.OFUSG00454.1~~OFUSG00454.1	OFUSG00454.1.p1
GENE.OFUSG00455.1~~OFUSG00455.1	OFUSG00455.1.p1
GENE.OFUSG00456.1~~OFUSG00456.1	OFUSG00456.1.p1
GENE.OFUSG00457.1~~OFUSG00457.1	OFUSG00457.1.p1
GENE.OFUSG00461.1~~OFUSG00461.1	OFUSG00461.1.p1
GENE.OFUSG00464.1~~OFUSG00464.1	OFUSG00464.1.p1
GENE.OFUSG00466.1~~OFUSG00466.1	OFUSG00466.1.p1
GENE.OFUSG00467.1~~OFUSG00467.1	OFUSG00467.1.p1
GENE.OFUSG00468.1~~OFUSG00468.1	OFUSG00468.1.p1
GENE.OFUSG00472.1~~OFUSG00472.1	OFUSG00472.1.p1
GENE.OFUSG00473.1~~OFUSG00473.1	OFUSG00473.1.p1
GENE.OFUSG00474.1~~OFUSG00474.1	OFUSG00474.1.p1
GENE.OFUSG00503.1~~OFUSG00503.1	OFUSG00503.1.p1
GENE.OFUSG00507.1~~OFUSG00507.1	OFUSG00507.1.p1
GENE.OFUSG00508.1~~OFUSG00508.1	OFUSG00508.1.p1
GENE.OFUSG00512.1~~OFUSG00512.1	OFUSG00512.1.p1
GENE.OFUSG00513.1~~OFUSG00513.1	OFUSG00513.1.p1
GENE.OFUSG00516.1~~OFUSG00516.1	OFUSG00516.1.p1
GENE.OFUSG00519.1~~OFUSG00519.1	OFUSG00519.1.p1
GENE.OFUSG00522.1~~OFUSG00522.1	OFUSG00522.1.p1
GENE.OFUSG00528.2~~OFUSG00528.2	OFUSG00528.2.p1
GENE.OFUSG00534.1~~OFUSG00534.1	OFUSG00534.1.p1
GENE.OFUSG00537.1~~OFUSG00537.1	OFUSG00537.1.p1
GENE.OFUSG00539.1~~OFUSG00539.1	OFUSG00539.1.p1
GENE.OFUSG00540.1~~OFUSG00540.1	OFUSG00540.1.p1
GENE.OFUSG00544.1~~OFUSG00544.1	OFUSG00544.1.p1
GENE.OFUSG00559.2~~OFUSG00559.2	OFUSG00559.2.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00560.1~~OFUSG00560.1	OFUSG00560.1.p1
GENE.OFUSG00564.1~~OFUSG00564.1	OFUSG00564.1.p1
GENE.OFUSG00565.1~~OFUSG00565.1	OFUSG00565.1.p1
GENE.OFUSG00570.1~~OFUSG00570.1	OFUSG00570.1.p1
GENE.OFUSG00577.1~~OFUSG00577.1	OFUSG00577.1.p1
GENE.OFUSG00579.1~~OFUSG00579.1	OFUSG00579.1.p1
GENE.OFUSG00588.1~~OFUSG00588.1	OFUSG00588.1.p1
GENE.OFUSG00599.1~~OFUSG00599.1	OFUSG00599.1.p1
GENE.OFUSG00605.1~~OFUSG00605.1	OFUSG00605.1.p1
GENE.OFUSG00611.1~~OFUSG00611.1	OFUSG00611.1.p1
GENE.OFUSG00619.1~~OFUSG00619.1	OFUSG00619.1.p1
GENE.OFUSG00620.1~~OFUSG00620.1	OFUSG00620.1.p1
GENE.OFUSG00624.1~~OFUSG00624.1	OFUSG00624.1.p1
GENE.OFUSG00630.2~~OFUSG00630.2	OFUSG00630.2.p1
GENE.OFUSG00655.1~~OFUSG00655.1	OFUSG00655.1.p1
GENE.OFUSG00657.1~~OFUSG00657.1	OFUSG00657.1.p1
GENE.OFUSG00660.1~~OFUSG00660.1	OFUSG00660.1.p1
GENE.OFUSG00662.1~~OFUSG00662.1	OFUSG00662.1.p1
GENE.OFUSG00673.1~~OFUSG00673.1	OFUSG00673.1.p1
GENE.OFUSG00677.1~~OFUSG00677.1	OFUSG00677.1.p1
GENE.OFUSG00684.1~~OFUSG00684.1	OFUSG00684.1.p1
GENE.OFUSG00689.1~~OFUSG00689.1	OFUSG00689.1.p1
GENE.OFUSG00689.1~~OFUSG00689.1	OFUSG00689.1.p1
GENE.OFUSG00692.1~~OFUSG00692.1	OFUSG00692.1.p1
GENE.OFUSG00699.1~~OFUSG00699.1	OFUSG00699.1.p1
GENE.OFUSG00701.1~~OFUSG00701.1	OFUSG00701.1.p1
GENE.OFUSG00709.1~~OFUSG00709.1	OFUSG00709.1.p1
GENE.OFUSG00714.1~~OFUSG00714.1	OFUSG00714.1.p1
GENE.OFUSG00718.1~~OFUSG00718.1	OFUSG00718.1.p1
GENE.OFUSG00723.1~~OFUSG00723.1	OFUSG00723.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00727.1~~OFUSG00727.1	OFUSG00727.1.p1
GENE.OFUSG00728.1~~OFUSG00728.1	OFUSG00728.1.p1
GENE.OFUSG00730.1~~OFUSG00730.1	OFUSG00730.1.p1
GENE.OFUSG00730.1~~OFUSG00730.1	OFUSG00730.1.p1
GENE.OFUSG00730.1~~OFUSG00730.1	OFUSG00730.1.p1
GENE.OFUSG00730.1~~OFUSG00730.1	OFUSG00730.1.p1
GENE.OFUSG00731.1~~OFUSG00731.1	OFUSG00731.1.p1
GENE.OFUSG00733.1~~OFUSG00733.1	OFUSG00733.1.p1
GENE.OFUSG00734.1~~OFUSG00734.1	OFUSG00734.1.p1
GENE.OFUSG00739.1~~OFUSG00739.1	OFUSG00739.1.p1
GENE.OFUSG00740.1~~OFUSG00740.1	OFUSG00740.1.p1
GENE.OFUSG00744.1~~OFUSG00744.1	OFUSG00744.1.p1
GENE.OFUSG00750.1~~OFUSG00750.1	OFUSG00750.1.p1
GENE.OFUSG00751.1~~OFUSG00751.1	OFUSG00751.1.p1
GENE.OFUSG00751.1~~OFUSG00751.1	OFUSG00751.1.p1
GENE.OFUSG00752.1~~OFUSG00752.1	OFUSG00752.1.p1
GENE.OFUSG00759.1~~OFUSG00759.1	OFUSG00759.1.p1
GENE.OFUSG00760.1~~OFUSG00760.1	OFUSG00760.1.p1
GENE.OFUSG00771.1~~OFUSG00771.1	OFUSG00771.1.p1
GENE.OFUSG00772.1~~OFUSG00772.1	OFUSG00772.1.p1
GENE.OFUSG00773.1~~OFUSG00773.1	OFUSG00773.1.p1
GENE.OFUSG00774.1~~OFUSG00774.1	OFUSG00774.1.p1
GENE.OFUSG00776.1~~OFUSG00776.1	OFUSG00776.1.p1
GENE.OFUSG00777.1~~OFUSG00777.1	OFUSG00777.1.p1
GENE.OFUSG00778.1~~OFUSG00778.1	OFUSG00778.1.p1
GENE.OFUSG00792.1~~OFUSG00792.1	OFUSG00792.1.p1
GENE.OFUSG00792.1~~OFUSG00792.1	OFUSG00792.1.p1
GENE.OFUSG00792.1~~OFUSG00792.1	OFUSG00792.1.p1
GENE.OFUSG00792.1~~OFUSG00792.1	OFUSG00792.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00801.1~~OFUSG00801.1	OFUSG00801.1.p1
GENE.OFUSG00805.1~~OFUSG00805.1	OFUSG00805.1.p1
GENE.OFUSG00806.1~~OFUSG00806.1	OFUSG00806.1.p1
GENE.OFUSG00809.1~~OFUSG00809.1	OFUSG00809.1.p1
GENE.OFUSG00819.1~~OFUSG00819.1	OFUSG00819.1.p1
GENE.OFUSG00819.1~~OFUSG00819.1	OFUSG00819.1.p1
GENE.OFUSG00824.1~~OFUSG00824.1	OFUSG00824.1.p1
GENE.OFUSG00831.1~~OFUSG00831.1	OFUSG00831.1.p1
GENE.OFUSG00833.1~~OFUSG00833.1	OFUSG00833.1.p1
GENE.OFUSG00837.1~~OFUSG00837.1	OFUSG00837.1.p1
GENE.OFUSG00839.1~~OFUSG00839.1	OFUSG00839.1.p1
GENE.OFUSG00840.1~~OFUSG00840.1	OFUSG00840.1.p1
GENE.OFUSG00841.1~~OFUSG00841.1	OFUSG00841.1.p1
GENE.OFUSG00845.1~~OFUSG00845.1	OFUSG00845.1.p1
GENE.OFUSG00845.1~~OFUSG00845.1	OFUSG00845.1.p1
GENE.OFUSG00845.1~~OFUSG00845.1	OFUSG00845.1.p1
GENE.OFUSG00847.1~~OFUSG00847.1	OFUSG00847.1.p1
GENE.OFUSG00864.1~~OFUSG00864.1	OFUSG00864.1.p1
GENE.OFUSG00864.1~~OFUSG00864.1	OFUSG00864.1.p1
GENE.OFUSG00864.1~~OFUSG00864.1	OFUSG00864.1.p1
GENE.OFUSG00866.1~~OFUSG00866.1	OFUSG00866.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00868.1~~OFUSG00868.1	OFUSG00868.1.p1
GENE.OFUSG00869.1~~OFUSG00869.1	OFUSG00869.1.p1
GENE.OFUSG00869.1~~OFUSG00869.1	OFUSG00869.1.p1
GENE.OFUSG00878.1~~OFUSG00878.1	OFUSG00878.1.p1
GENE.OFUSG00882.1~~OFUSG00882.1	OFUSG00882.1.p1
GENE.OFUSG00884.1~~OFUSG00884.1	OFUSG00884.1.p1
GENE.OFUSG00887.1~~OFUSG00887.1	OFUSG00887.1.p1
GENE.OFUSG00888.1~~OFUSG00888.1	OFUSG00888.1.p1
GENE.OFUSG00890.1~~OFUSG00890.1	OFUSG00890.1.p1
GENE.OFUSG00895.1~~OFUSG00895.1	OFUSG00895.1.p1
GENE.OFUSG00897.1~~OFUSG00897.1	OFUSG00897.1.p1
GENE.OFUSG00900.1~~OFUSG00900.1	OFUSG00900.1.p1
GENE.OFUSG00900.1~~OFUSG00900.1	OFUSG00900.1.p1
GENE.OFUSG00901.1~~OFUSG00901.1	OFUSG00901.1.p1
GENE.OFUSG00902.1~~OFUSG00902.1	OFUSG00902.1.p1
