AENJA_00004	bflo_12581
AENJA_01382	bflo_18537
AENJA_01405	bflo_00245
AENJA_01409	bflo_08720
AENJA_01410	bflo_05822
AENJA_01422	bflo_07420
AENJA_01428	bflo_06486
AENJA_01432	bflo_06843
AENJA_01439	bflo_08313
AENJA_01447	bflo_08217
AENJA_01448	bflo_23453
AENJA_01449	bflo_23476
AENJA_01456	bflo_17556
AENJA_01457	bflo_02484
AENJA_01458	bflo_11079
AENJA_01473	bflo_04828
AENJA_01487	bflo_02644
AENJA_01495	bflo_11098
AENJA_01501	bflo_11097
AENJA_01506	bflo_01727
AENJA_01507	bflo_17933
AENJA_01512	bflo_09064
AENJA_01514	bflo_09215
AENJA_01516	bflo_09804
AENJA_01517	bflo_09238
AENJA_01523	bflo_23774
AENJA_01532	bflo_15599
AENJA_01547	bflo_09896
AENJA_01549	bflo_03074
AENJA_01566	bflo_15440
AENJA_01569	bflo_14398
AENJA_01582	bflo_09329
AENJA_01583	bflo_02531
AENJA_01586	bflo_07907
AENJA_01591	bflo_26062
AENJA_01594	bflo_25631
AENJA_01596	bflo_23252
AENJA_01597	bflo_14458
AENJA_01611	bflo_18002
AENJA_01615	bflo_17766
AENJA_01616	bflo_06724
AENJA_01627	bflo_07353
AENJA_01635	bflo_12388
AENJA_01638	bflo_11540
AENJA_01642	bflo_01473
AENJA_01643	bflo_11203
AENJA_01646	bflo_00646
AENJA_01649	bflo_10467
AENJA_01650	bflo_08893
AENJA_01654	bflo_16413
AENJA_01679	bflo_19130
AENJA_01681	bflo_19131
AENJA_01685	bflo_18549
AENJA_01698	bflo_20205
AENJA_01705	bflo_25102
AENJA_01706	bflo_24354
AENJA_01724	bflo_25025
AENJA_01726	bflo_14696
AENJA_01728	bflo_01507
AENJA_01729	bflo_01224
AENJA_01730	bflo_07139
AENJA_01731	bflo_01228
AENJA_01738	bflo_14181
AENJA_01745	bflo_24561
AENJA_01759	bflo_21653
AENJA_01782	bflo_09294
AENJA_01797	bflo_23327
AENJA_01827	bflo_22051
AENJA_01831	bflo_22448
AENJA_01835	bflo_21887
AENJA_01840	bflo_08709
AENJA_01848	bflo_03911
AENJA_01852	bflo_12074
AENJA_01867	bflo_18816
AENJA_01868	bflo_24906
AENJA_01869	bflo_24909
AENJA_01871	bflo_24338
AENJA_01879	bflo_22515
AENJA_01884	bflo_21574
AENJA_01886	bflo_22101
AENJA_01887	bflo_21478
AENJA_01889	bflo_13279
AENJA_01947	bflo_06076
AENJA_01948	bflo_05922
AENJA_01954	bflo_02393
AENJA_01955	bflo_18105
AENJA_01958	bflo_06106
AENJA_01960	bflo_18269
AENJA_01961	bflo_02596
AENJA_01963	bflo_03695
AENJA_01964	bflo_03289
AENJA_01966	bflo_03693
AENJA_01995	bflo_02071
AENJA_01996	bflo_15334
AENJA_01997	bflo_08409
AENJA_01998	bflo_08398
AENJA_02005	bflo_21367
AENJA_02009	bflo_08265
AENJA_02010	bflo_22461
AENJA_02021	bflo_06959
AENJA_02022	bflo_07045
AENJA_02051	bflo_03110
AENJA_02053	bflo_08536
AENJA_02054	bflo_22835
AENJA_02063	bflo_13183
AENJA_02064	bflo_07812
AENJA_02077	bflo_07288
AENJA_02079	bflo_02641
AENJA_02088	bflo_03950
AENJA_02093	bflo_18753
AENJA_02095	bflo_01649
AENJA_02107	bflo_22306
AENJA_02120	bflo_01744
AENJA_02142	bflo_15113
AENJA_02161	bflo_25494
AENJA_02165	bflo_25731
AENJA_02167	bflo_04326
AENJA_02168	bflo_10373
AENJA_02170	bflo_18585
AENJA_02171	bflo_10404
AENJA_02172	bflo_18600
AENJA_02173	bflo_18607
AENJA_02177	bflo_03798
AENJA_02178	bflo_09189
AENJA_02179	bflo_09171
AENJA_02180	bflo_08182
AENJA_02181	bflo_20937
AENJA_02197	bflo_00876
AENJA_02198	bflo_10447
AENJA_02199	bflo_00423
AENJA_02204	bflo_12691
AENJA_02205	bflo_12579
AENJA_02206	bflo_13215
AENJA_02208	bflo_13831
AENJA_02210	bflo_12759
AENJA_02216	bflo_07229
AENJA_02219	bflo_05296
AENJA_02224	bflo_23316
AENJA_02248	bflo_07560
AENJA_02249	bflo_07715
AENJA_02252	bflo_07481
AENJA_02264	bflo_02645
AENJA_02267	bflo_13109
AENJA_02274	bflo_07773
AENJA_02278	bflo_05384
AENJA_02279	bflo_02956
AENJA_02280	bflo_03036
AENJA_02281	bflo_25696
AENJA_02284	bflo_25645
AENJA_02286	bflo_25659
AENJA_02289	bflo_25612
AENJA_02297	bflo_09137
AENJA_02300	bflo_10107
AENJA_02302	bflo_10173
AENJA_02312	bflo_08503
AENJA_02315	bflo_22692
AENJA_02317	bflo_20961
AENJA_02322	bflo_04906
AENJA_02330	bflo_02199
AENJA_02331	bflo_24263
AENJA_02334	bflo_11800
AENJA_02335	bflo_00382
AENJA_02338	bflo_00524
AENJA_02340	bflo_26479
AENJA_02343	bflo_00666
AENJA_02347	bflo_17660
AENJA_02350	bflo_23786
AENJA_02368	bflo_24972
AENJA_02369	bflo_10738
AENJA_02372	bflo_24469
AENJA_02374	bflo_24143
AENJA_02375	bflo_24462
AENJA_02377	bflo_24153
AENJA_02378	bflo_24039
AENJA_02385	bflo_08938
AENJA_02386	bflo_00678
AENJA_02390	bflo_20052
AENJA_02393	bflo_13307
AENJA_02397	bflo_08117
AENJA_02398	bflo_16520
AENJA_02400	bflo_10656
AENJA_02402	bflo_06049
AENJA_02403	bflo_18236
AENJA_02412	bflo_09370
AENJA_02418	bflo_23367
AENJA_02419	bflo_23443
AENJA_02420	bflo_05653
AENJA_02425	bflo_23719
AENJA_02429	bflo_07373
AENJA_02430	bflo_21925
AENJA_02432	bflo_21784
AENJA_02445	bflo_14326
AENJA_02447	bflo_14734
AENJA_02450	bflo_14474
AENJA_02455	bflo_13774
AENJA_02461	bflo_21777
AENJA_02462	bflo_21778
AENJA_02470	bflo_07506
AENJA_02481	bflo_07374
AENJA_02486	bflo_07436
AENJA_02493	bflo_20797
AENJA_02540	bflo_20886
AENJA_02542	bflo_21021
AENJA_02560	bflo_01688
AENJA_02563	bflo_01013
AENJA_02569	bflo_11589
AENJA_02591	bflo_01078
AENJA_02592	bflo_01253
AENJA_02598	bflo_15921
AENJA_02605	bflo_08337
AENJA_02614	bflo_26825
AENJA_02617	bflo_14259
AENJA_02618	bflo_14257
AENJA_02627	bflo_20031
AENJA_02632	bflo_15222
AENJA_02633	bflo_01074
AENJA_02642	bflo_22057
AENJA_02643	bflo_24967
AENJA_02647	bflo_24974
AENJA_02653	bflo_09888
AENJA_02657	bflo_07700
AENJA_02668	bflo_16055
AENJA_02675	bflo_00872
AENJA_02684	bflo_00906
AENJA_02685	bflo_25667
AENJA_02686	bflo_21795
AENJA_02689	bflo_21985
AENJA_02696	bflo_21789
AENJA_02697	bflo_21362
AENJA_02706	bflo_08872
AENJA_02709	bflo_16067
AENJA_02714	bflo_13401
AENJA_02715	bflo_15753
AENJA_02720	bflo_12929
AENJA_02725	bflo_10995
AENJA_02731	bflo_11518
AENJA_02740	bflo_23418
AENJA_02750	bflo_23930
AENJA_02755	bflo_24869
AENJA_02756	bflo_24548
AENJA_02759	bflo_10876
AENJA_02762	bflo_18123
AENJA_02769	bflo_05909
AENJA_02771	bflo_16003
AENJA_02773	bflo_09470
AENJA_02775	bflo_14027
AENJA_02777	bflo_17074
AENJA_02781	bflo_12769
AENJA_02782	bflo_12064
AENJA_02784	bflo_14531
AENJA_02792	bflo_03291
AENJA_02794	bflo_03534
AENJA_02797	bflo_03429
AENJA_02799	bflo_03754
AENJA_02809	bflo_19487
AENJA_02816	bflo_16336
AENJA_02817	bflo_12438
AENJA_02827	bflo_06214
AENJA_02860	bflo_11579
AENJA_02868	bflo_11072
AENJA_02870	bflo_03485
AENJA_02871	bflo_05993
AENJA_02889	bflo_23416
AENJA_02896	bflo_14036
AENJA_02907	bflo_16668
AENJA_02908	bflo_16729
AENJA_02911	bflo_11241
AENJA_02912	bflo_12467
AENJA_02918	bflo_11416
AENJA_02927	bflo_06192
AENJA_02931	bflo_02810
AENJA_02933	bflo_06309
AENJA_02938	bflo_19572
AENJA_02940	bflo_00968
AENJA_02941	bflo_01181
AENJA_02943	bflo_05387
AENJA_02946	bflo_01062
AENJA_02954	bflo_11432
AENJA_02955	bflo_11397
AENJA_02956	bflo_11592
AENJA_02964	bflo_24463
AENJA_02975	bflo_01655
AENJA_02976	bflo_01476
AENJA_02978	bflo_06827
AENJA_02979	bflo_24093
AENJA_02982	bflo_06191
AENJA_02986	bflo_22312
AENJA_02992	bflo_13460
AENJA_03001	bflo_15013
AENJA_03017	bflo_22672
AENJA_03019	bflo_23110
AENJA_03020	bflo_23434
AENJA_03029	bflo_23816
AENJA_03031	bflo_23179
AENJA_03036	bflo_23680
AENJA_03043	bflo_13228
AENJA_03045	bflo_13024
AENJA_03049	bflo_13709
AENJA_03050	bflo_05233
AENJA_03055	bflo_08319
AENJA_03061	bflo_08972
AENJA_03064	bflo_19816
AENJA_03071	bflo_11647
AENJA_03072	bflo_13532
AENJA_03089	bflo_11412
AENJA_03106	bflo_06345
AENJA_03107	bflo_05928
AENJA_03117	bflo_02498
AENJA_03118	bflo_22009
AENJA_03121	bflo_14756
AENJA_03123	bflo_15785
AENJA_03124	bflo_07612
AENJA_03126	bflo_18623
AENJA_03128	bflo_18637
AENJA_03130	bflo_24591
AENJA_03131	bflo_20813
AENJA_03147	bflo_04799
AENJA_03149	bflo_03626
AENJA_03151	bflo_03026
AENJA_03152	bflo_06140
AENJA_03154	bflo_20978
AENJA_03161	bflo_02603
AENJA_03163	bflo_02949
AENJA_03167	bflo_11617
AENJA_03174	bflo_13623
AENJA_03175	bflo_03903
AENJA_03180	bflo_21776
AENJA_03181	bflo_21960
AENJA_03209	bflo_14356
AENJA_03211	bflo_14162
AENJA_03212	bflo_14687
AENJA_03215	bflo_05874
AENJA_03220	bflo_06124
AENJA_03256	bflo_21535
AENJA_03258	bflo_02792
AENJA_03263	bflo_20317
AENJA_03264	bflo_20550
AENJA_03266	bflo_22153
AENJA_03268	bflo_20602
AENJA_03271	bflo_25894
AENJA_03276	bflo_01475
AENJA_03277	bflo_26004
AENJA_03286	bflo_22183
AENJA_03292	bflo_21650
AENJA_03297	bflo_02341
AENJA_03320	bflo_01498
AENJA_03321	bflo_13939
AENJA_03323	bflo_21612
AENJA_03324	bflo_09328
AENJA_03328	bflo_05359
AENJA_03336	bflo_20793
AENJA_03339	bflo_20332
AENJA_03367	bflo_17475
AENJA_03372	bflo_17529
AENJA_03376	bflo_23158
AENJA_03378	bflo_10883
AENJA_03379	bflo_11658
AENJA_03383	bflo_23101
AENJA_03384	bflo_06717
AENJA_03385	bflo_23037
AENJA_03386	bflo_11806
AENJA_03387	bflo_23152
AENJA_03390	bflo_24959
AENJA_03392	bflo_20448
AENJA_03395	bflo_20773
AENJA_03396	bflo_20583
AENJA_03399	bflo_04943
AENJA_03401	bflo_08762
AENJA_03406	bflo_16431
AENJA_03407	bflo_01423
AENJA_03409	bflo_05802
AENJA_03415	bflo_10172
AENJA_03416	bflo_10377
AENJA_03419	bflo_02048
AENJA_03420	bflo_23827
AENJA_03421	bflo_23826
AENJA_03423	bflo_23672
AENJA_03425	bflo_23024
AENJA_03427	bflo_22629
AENJA_03430	bflo_19853
AENJA_03431	bflo_20472
AENJA_03432	bflo_21175
AENJA_03434	bflo_20056
AENJA_03437	bflo_20429
AENJA_03450	bflo_13933
AENJA_03462	bflo_04526
AENJA_03467	bflo_17585
AENJA_03468	bflo_06381
AENJA_03470	bflo_17677
AENJA_03475	bflo_17673
AENJA_03483	bflo_15105
AENJA_03489	bflo_10829
AENJA_03491	bflo_26094
AENJA_03492	bflo_14626
AENJA_03493	bflo_14348
AENJA_03514	bflo_11753
AENJA_03520	bflo_06974
AENJA_03523	bflo_16261
AENJA_03524	bflo_20256
AENJA_03526	bflo_10178
AENJA_03537	bflo_13306
AENJA_03555	bflo_25216
AENJA_03563	bflo_04380
AENJA_03566	bflo_08312
AENJA_03569	bflo_14103
AENJA_03570	bflo_25321
AENJA_03576	bflo_24551
AENJA_03577	bflo_24420
AENJA_03584	bflo_03937
AENJA_03586	bflo_24265
AENJA_03589	bflo_07632
AENJA_03606	bflo_08272
AENJA_03620	bflo_06429
AENJA_03621	bflo_06125
AENJA_03622	bflo_23995
AENJA_03632	bflo_15286
AENJA_03639	bflo_25320
AENJA_03642	bflo_25288
AENJA_03646	bflo_25700
AENJA_03660	bflo_03363
AENJA_03696	bflo_25335
AENJA_03697	bflo_15865
AENJA_03698	bflo_16784
AENJA_03701	bflo_16580
AENJA_03702	bflo_17077
AENJA_03703	bflo_07579
AENJA_03710	bflo_05914
AENJA_03712	bflo_06467
AENJA_03733	bflo_05128
AENJA_03754	bflo_23045
AENJA_03755	bflo_23876
AENJA_03758	bflo_24973
AENJA_03759	bflo_05777
AENJA_03761	bflo_24794
AENJA_03762	bflo_24408
AENJA_03763	bflo_24543
AENJA_03765	bflo_04758
AENJA_03776	bflo_18874
AENJA_03784	bflo_11619
AENJA_03792	bflo_16298
AENJA_03794	bflo_13385
AENJA_03797	bflo_16412
AENJA_03798	bflo_15959
AENJA_03799	bflo_15563
AENJA_03801	bflo_16266
AENJA_03802	bflo_09188
AENJA_03822	bflo_05869
AENJA_03824	bflo_10868
AENJA_03832	bflo_10287
AENJA_03833	bflo_25877
AENJA_03846	bflo_06408
AENJA_03852	bflo_07655
AENJA_03856	bflo_06651
AENJA_03877	bflo_23159
AENJA_03879	bflo_23398
AENJA_03881	bflo_14760
AENJA_03886	bflo_15015
AENJA_03888	bflo_14267
AENJA_03889	bflo_14315
AENJA_03890	bflo_04405
AENJA_03895	bflo_22812
AENJA_03902	bflo_11645
AENJA_03903	bflo_11633
AENJA_03925	bflo_21532
AENJA_03926	bflo_15741
AENJA_03927	bflo_22152
AENJA_03931	bflo_16534
AENJA_03934	bflo_14710
AENJA_03939	bflo_14276
AENJA_03944	bflo_11562
AENJA_03947	bflo_11561
AENJA_03948	bflo_11879
AENJA_03952	bflo_12975
AENJA_03954	bflo_13377
AENJA_03955	bflo_13176
AENJA_03958	bflo_13104
AENJA_03974	bflo_09168
AENJA_03976	bflo_12550
AENJA_03978	bflo_13790
AENJA_03979	bflo_13791
AENJA_03995	bflo_17443
AENJA_03996	bflo_03905
AENJA_03997	bflo_17332
AENJA_04000	bflo_17563
AENJA_04002	bflo_17331
AENJA_04004	bflo_17130
AENJA_04014	bflo_20438
AENJA_04015	bflo_18386
AENJA_04019	bflo_15999
AENJA_04020	bflo_04459
AENJA_04021	bflo_01786
AENJA_04024	bflo_22179
AENJA_04030	bflo_22127
AENJA_04031	bflo_09410
AENJA_04034	bflo_13173
AENJA_04035	bflo_13174
AENJA_04038	bflo_13876
AENJA_04040	bflo_13885
AENJA_04057	bflo_03055
AENJA_04061	bflo_21584
AENJA_04073	bflo_06623
AENJA_04083	bflo_24576
AENJA_04085	bflo_03365
AENJA_04086	bflo_21731
AENJA_04092	bflo_22321
AENJA_04105	bflo_16155
AENJA_04107	bflo_11828
AENJA_04153	bflo_05798
AENJA_04167	bflo_11750
AENJA_04172	bflo_23253
AENJA_04180	bflo_19605
AENJA_04181	bflo_06102
AENJA_04195	bflo_05868
AENJA_04201	bflo_22962
AENJA_04207	bflo_23277
AENJA_04208	bflo_23365
AENJA_04209	bflo_17569
AENJA_04212	bflo_05787
AENJA_04216	bflo_08257
AENJA_04223	bflo_22807
AENJA_04224	bflo_01373
AENJA_04228	bflo_22634
AENJA_04230	bflo_22898
AENJA_04242	bflo_20273
AENJA_04245	bflo_23123
AENJA_04246	bflo_23347
AENJA_04248	bflo_02390
AENJA_04250	bflo_12713
AENJA_04252	bflo_22401
AENJA_04258	bflo_13945
AENJA_04269	bflo_14312
AENJA_04274	bflo_17341
AENJA_04275	bflo_11902
AENJA_04283	bflo_17553
AENJA_04285	bflo_17722
AENJA_04298	bflo_03906
AENJA_04300	bflo_22998
AENJA_04312	bflo_10768
AENJA_04315	bflo_14075
AENJA_04321	bflo_21064
AENJA_04332	bflo_21118
AENJA_04333	bflo_20579
AENJA_04336	bflo_04329
AENJA_04367	bflo_00403
AENJA_04368	bflo_10985
AENJA_04370	bflo_07528
AENJA_04371	bflo_13285
AENJA_04397	bflo_22071
AENJA_04398	bflo_21277
AENJA_04417	bflo_17869
AENJA_04431	bflo_23691
AENJA_04433	bflo_00984
AENJA_04438	bflo_20663
AENJA_04445	bflo_22396
AENJA_04449	bflo_22105
AENJA_04451	bflo_19380
AENJA_04455	bflo_21809
AENJA_04456	bflo_01169
AENJA_04457	bflo_25510
AENJA_04461	bflo_16995
AENJA_04474	bflo_19314
AENJA_04476	bflo_19259
AENJA_04483	bflo_15240
AENJA_04490	bflo_08106
AENJA_04494	bflo_23790
AENJA_04499	bflo_22864
AENJA_04504	bflo_23070
AENJA_04510	bflo_03812
AENJA_04513	bflo_14533
AENJA_04525	bflo_14800
AENJA_04544	bflo_00919
AENJA_04545	bflo_06634
AENJA_04546	bflo_03358
AENJA_04551	bflo_14464
AENJA_04553	bflo_02847
AENJA_04554	bflo_01732
AENJA_04555	bflo_25003
AENJA_04571	bflo_09671
AENJA_04572	bflo_26295
AENJA_04574	bflo_10653
AENJA_04576	bflo_10167
AENJA_04578	bflo_09208
AENJA_04592	bflo_09284
AENJA_04594	bflo_01868
AENJA_04603	bflo_26087
AENJA_04604	bflo_05066
AENJA_04611	bflo_24119
AENJA_04612	bflo_24337
AENJA_04615	bflo_24872
AENJA_04616	bflo_24711
AENJA_04617	bflo_16393
AENJA_04619	bflo_24098
AENJA_04623	bflo_25364
AENJA_04636	bflo_14682
AENJA_04638	bflo_14105
AENJA_04653	bflo_18619
AENJA_04655	bflo_07342
AENJA_04660	bflo_20531
AENJA_04663	bflo_01259
AENJA_04665	bflo_17208
AENJA_04666	bflo_18027
AENJA_04667	bflo_13079
AENJA_04668	bflo_18205
AENJA_04682	bflo_19220
AENJA_04683	bflo_03391
AENJA_04694	bflo_18407
AENJA_04695	bflo_20145
AENJA_04698	bflo_20952
AENJA_04699	bflo_20297
AENJA_04703	bflo_06998
AENJA_04710	bflo_22268
AENJA_04716	bflo_20618
AENJA_04717	bflo_20459
AENJA_04721	bflo_17969
AENJA_04725	bflo_25240
AENJA_04727	bflo_14118
AENJA_04728	bflo_14133
AENJA_04731	bflo_15018
AENJA_04732	bflo_14613
AENJA_04736	bflo_19210
AENJA_04745	bflo_05485
AENJA_04762	bflo_24822
AENJA_04780	bflo_22548
AENJA_04786	bflo_03664
AENJA_04787	bflo_11530
AENJA_04788	bflo_11054
AENJA_04789	bflo_12004
AENJA_04791	bflo_12403
AENJA_04817	bflo_13736
AENJA_04818	bflo_13301
AENJA_04820	bflo_21620
AENJA_04823	bflo_12702
AENJA_04832	bflo_02620
AENJA_04835	bflo_22710
AENJA_04836	bflo_02145
AENJA_04842	bflo_23062
AENJA_04847	bflo_23771
AENJA_04848	bflo_22610
AENJA_04852	bflo_23370
AENJA_04854	bflo_23788
AENJA_04862	bflo_05648
AENJA_04865	bflo_06594
AENJA_04866	bflo_06655
AENJA_04871	bflo_17821
AENJA_04890	bflo_20085
AENJA_04891	bflo_20088
AENJA_04924	bflo_08880
AENJA_04936	bflo_14958
AENJA_04939	bflo_00434
AENJA_04941	bflo_09170
AENJA_04962	bflo_14113
AENJA_04963	bflo_14759
AENJA_04967	bflo_14249
AENJA_04991	bflo_03409
AENJA_04994	bflo_13854
AENJA_04996	bflo_13982
AENJA_05001	bflo_13916
AENJA_05016	bflo_16480
AENJA_05019	bflo_09494
AENJA_05025	bflo_23189
AENJA_05029	bflo_20424
AENJA_05077	bflo_24467
AENJA_05091	bflo_03895
AENJA_05104	bflo_13169
AENJA_05123	bflo_01506
AENJA_05140	bflo_22563
AENJA_05148	bflo_03293
AENJA_05149	bflo_08895
AENJA_05150	bflo_09147
AENJA_05151	bflo_10345
AENJA_05152	bflo_09180
AENJA_05158	bflo_02437
AENJA_05178	bflo_20143
AENJA_05189	bflo_16581
AENJA_05192	bflo_22236
AENJA_05195	bflo_22233
AENJA_05224	bflo_06745
AENJA_05231	bflo_16424
AENJA_05237	bflo_00310
AENJA_05238	bflo_02558
AENJA_05241	bflo_22443
AENJA_05242	bflo_17522
AENJA_05247	bflo_25789
AENJA_05248	bflo_11586
AENJA_05250	bflo_07855
AENJA_05255	bflo_13272
AENJA_05267	bflo_09984
AENJA_05269	bflo_10128
