Orthogroup	ORYLA	CAEEL
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	CAEEL08422
OG0000062	ORYLA10585, ORYLA11804	CAEEL02955
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	CAEEL05773
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	CAEEL04400
OG0000065	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	ORYLA06398	CAEEL20109
OG0000068	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852	CAEEL09504
OG0000070	ORYLA16519, ORYLA20376	CAEEL06499
OG0000071	ORYLA02280, ORYLA18954	CAEEL07848, CAEEL20562, CAEEL18107
OG0000072	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070	CAEEL07368
OG0000073	ORYLA20002	CAEEL07620
OG0000075	ORYLA05870, ORYLA14226	CAEEL03008
OG0000075	ORYLA11054, ORYLA15824	CAEEL11367
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926, ORYLA19688	CAEEL11291
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	CAEEL01559
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	CAEEL18883
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	CAEEL06904
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	CAEEL18822
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726, ORYLA17895	CAEEL07248
OG0000082	ORYLA02580	CAEEL18954, CAEEL04897
OG0000082	ORYLA01470	CAEEL13927
OG0000082	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560	CAEEL12687
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	CAEEL10610, CAEEL18185
OG0000084	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505	CAEEL08514, CAEEL10452
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	CAEEL06909
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	CAEEL07542
OG0000085	ORYLA06168	CAEEL03085
OG0000085	ORYLA17935	CAEEL08077
OG0000090	ORYLA02080, ORYLA06082	CAEEL18451
OG0000090	ORYLA01746, ORYLA06194	CAEEL10114
OG0000091	ORYLA02531	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359
OG0000094	ORYLA14179, ORYLA15729, ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	CAEEL10719
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	CAEEL18425
OG0000095	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687	CAEEL03536
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	CAEEL16555
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	CAEEL11088
OG0000096	ORYLA13747, ORYLA08870	CAEEL08533
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	CAEEL11776
OG0000096	ORYLA12353, ORYLA17186	CAEEL06051
OG0000096	ORYLA10017	CAEEL07422
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	ORYLA20429, ORYLA04253, ORYLA01278, ORYLA03578, ORYLA04559, ORYLA01343	CAEEL07999, CAEEL08340
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	CAEEL05000, CAEEL01295
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	CAEEL01469, CAEEL18445
OG0000104	ORYLA03680, ORYLA06072	CAEEL04070
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226, ORYLA06071, ORYLA03679, ORYLA09408, ORYLA14236, ORYLA14756, ORYLA10856, ORYLA20094	CAEEL18800
OG0000106	ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914	CAEEL19130, CAEEL20701
OG0000111	ORYLA16810, ORYLA16333, ORYLA00657, ORYLA18197, ORYLA16684, ORYLA01366, ORYLA07106, ORYLA09236, ORYLA01992, ORYLA04883, ORYLA16219	CAEEL20845
OG0000113	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	CAEEL18136
OG0000116	ORYLA19541	CAEEL14875
OG0000117	ORYLA13153	CAEEL20521
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	CAEEL08480
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	CAEEL08396
OG0000120	ORYLA14915	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000122	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	CAEEL01544
OG0000124	ORYLA04499, ORYLA01264	CAEEL19897
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	CAEEL04963
OG0000124	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516	CAEEL15384, CAEEL15382
OG0000126	ORYLA10750, ORYLA01228, ORYLA13510	CAEEL08841, CAEEL04611
OG0000126	ORYLA09118	CAEEL09101
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	CAEEL10194
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298	CAEEL19207
OG0000127	ORYLA18247, ORYLA09922	CAEEL20452
OG0000127	ORYLA05476, ORYLA10382	CAEEL00838
OG0000128	ORYLA17289, ORYLA03587	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	CAEEL12325
OG0000129	ORYLA06890	CAEEL08188
OG0000131	ORYLA02651, ORYLA17218	CAEEL08663
OG0000132	ORYLA08009	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	ORYLA20491	CAEEL18416, CAEEL11601
OG0000137	ORYLA11370, ORYLA08706	CAEEL10559
OG0000142	ORYLA08857	CAEEL19259
OG0000142	ORYLA13949	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	ORYLA06944, ORYLA12833, ORYLA15636	CAEEL04811
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	CAEEL18488
OG0000148	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171	CAEEL09804
OG0000149	ORYLA17290, ORYLA17651, ORYLA17652	CAEEL02847
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	ORYLA04056, ORYLA00974	CAEEL02932
OG0000155	ORYLA11669, ORYLA10177, ORYLA11879, ORYLA01962, ORYLA20370	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319	CAEEL00241
OG0000157	ORYLA12434	CAEEL01390
OG0000158	ORYLA13317, ORYLA13316, ORYLA00712, ORYLA06676, ORYLA13319, ORYLA13320, ORYLA06673, ORYLA13322, ORYLA13321, ORYLA02577, ORYLA02576, ORYLA02575, ORYLA13315, ORYLA13314, ORYLA06675, ORYLA06677, ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104	CAEEL20117, CAEEL08684
OG0000159	ORYLA09075	CAEEL19486
OG0000159	ORYLA02062, ORYLA11501, ORYLA06048	CAEEL02031
OG0000159	ORYLA02590, ORYLA18122, ORYLA08188	CAEEL05281
OG0000160	ORYLA15840, ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	ORYLA00631, ORYLA16749, ORYLA00152, ORYLA08374, ORYLA16276	CAEEL08313
OG0000163	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820, ORYLA17166, ORYLA15777	CAEEL20194, CAEEL08850
OG0000165	ORYLA15304, ORYLA11153, ORYLA12054, ORYLA19673, ORYLA18161, ORYLA12055, ORYLA12173, ORYLA02716, ORYLA17333, ORYLA17334, ORYLA12984, ORYLA01002, ORYLA01003, ORYLA03945, ORYLA07278, ORYLA04321, ORYLA06919, ORYLA09488, ORYLA08771	CAEEL07846
OG0000167	ORYLA11938	CAEEL00196
OG0000168	ORYLA13628, ORYLA02944, ORYLA17507, ORYLA06652, ORYLA13431, ORYLA12906, ORYLA10223, ORYLA07700, ORYLA20030, ORYLA20029, ORYLA03403	CAEEL19018
OG0000169	ORYLA18751	CAEEL15798
OG0000171	ORYLA00507	CAEEL11480
OG0000173	ORYLA05837, ORYLA04181, ORYLA13115, ORYLA06590, ORYLA06914, ORYLA13267, ORYLA20247, ORYLA14500, ORYLA03510, ORYLA06836, ORYLA06833, ORYLA02812, ORYLA09725, ORYLA09722, ORYLA12289, ORYLA14240, ORYLA13837, ORYLA19372, ORYLA02059, ORYLA11932	CAEEL04156
OG0000174	ORYLA18569, ORYLA09218	CAEEL12711
OG0000174	ORYLA19814, ORYLA10779	CAEEL09479
OG0000175	ORYLA13694, ORYLA09065, ORYLA06318	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117	CAEEL13640
OG0000179	ORYLA18062, ORYLA18061, ORYLA14649	CAEEL02965, CAEEL06713
OG0000179	ORYLA20422, ORYLA09852, ORYLA09146	CAEEL19466, CAEEL07193
OG0000180	ORYLA17830	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335	CAEEL07684
OG0000181	ORYLA19060, ORYLA03346	CAEEL10772
OG0000181	ORYLA11594	CAEEL12632
OG0000183	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	ORYLA03426, ORYLA09404, ORYLA03815	CAEEL18435
OG0000184	ORYLA13442, ORYLA13444, ORYLA13443	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	ORYLA12658, ORYLA02266, ORYLA07574	CAEEL14200
OG0000188	ORYLA02679, ORYLA17741, ORYLA00508	CAEEL20699
OG0000193	ORYLA02650, ORYLA17280, ORYLA18753, ORYLA17279, ORYLA04135, ORYLA19839	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000194	ORYLA03335, ORYLA10209, ORYLA09317	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000197	ORYLA01697, ORYLA05763, ORYLA14664, ORYLA12127	CAEEL04387
OG0000197	ORYLA02119, ORYLA10283, ORYLA11398, ORYLA10168, ORYLA05652	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	ORYLA19780, ORYLA16521	CAEEL03057, CAEEL05629, CAEEL09718
OG0000201	ORYLA17554, ORYLA04556, ORYLA03543	CAEEL07587
OG0000202	ORYLA08109, ORYLA18114, ORYLA17987, ORYLA05097, ORYLA08265, ORYLA07710, ORYLA01328, ORYLA04936, ORYLA08130, ORYLA06184	CAEEL20283
OG0000203	ORYLA03787, ORYLA06336, ORYLA13132, ORYLA15645, ORYLA15587, ORYLA01442, ORYLA01434, ORYLA01433, ORYLA06100, ORYLA15574, ORYLA15575	CAEEL09812
OG0000205	ORYLA10735, ORYLA11823, ORYLA04847, ORYLA00096	CAEEL13029
OG0000205	ORYLA08887, ORYLA07906, ORYLA16386, ORYLA08645, ORYLA09823	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	ORYLA12926, ORYLA15852, ORYLA20450, ORYLA04172, ORYLA06174, ORYLA15820	CAEEL05874, CAEEL00203
OG0000211	ORYLA04972	CAEEL15290
OG0000211	ORYLA14089	CAEEL01111, CAEEL01112
OG0000211	ORYLA15118, ORYLA12450	CAEEL02311
OG0000215	ORYLA04441, ORYLA17376	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289
OG0000218	ORYLA15885	CAEEL07824, CAEEL20213
OG0000220	ORYLA00491, ORYLA02670, ORYLA08075, ORYLA04983, ORYLA02915	CAEEL07565, CAEEL08758
OG0000221	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056	CAEEL10747
OG0000221	ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468	CAEEL06648
OG0000225	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	ORYLA08515	CAEEL12318
OG0000227	ORYLA01974, ORYLA09705, ORYLA16473, ORYLA07142, ORYLA14920, ORYLA14919, ORYLA08058, ORYLA16479, ORYLA19592, ORYLA07005, ORYLA07006, ORYLA13332	CAEEL19645
OG0000229	ORYLA09298, ORYLA09346	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	ORYLA10690	CAEEL14845, CAEEL19792
OG0000231	ORYLA01387, ORYLA04281, ORYLA19832, ORYLA13508, ORYLA19448, ORYLA09456	CAEEL08481
OG0000231	ORYLA08962	CAEEL01724
OG0000232	ORYLA20493	CAEEL18532, CAEEL19887
OG0000234	ORYLA13000, ORYLA14105, ORYLA12637, ORYLA05772, ORYLA01693	CAEEL02295
OG0000234	ORYLA11249, ORYLA14751	CAEEL03013, CAEEL03014
OG0000235	ORYLA14889, ORYLA01167, ORYLA04027, ORYLA10002, ORYLA07335	CAEEL10795, CAEEL07012
OG0000236	ORYLA12896, ORYLA06350	CAEEL19835
OG0000238	ORYLA07768	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	ORYLA11432, ORYLA10759	CAEEL14926
OG0000239	ORYLA19462, ORYLA07829, ORYLA05627, ORYLA01800	CAEEL00570
OG0000242	ORYLA11284, ORYLA20306, ORYLA07965	CAEEL05302
OG0000242	ORYLA20204, ORYLA11050	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	ORYLA15688, ORYLA14426, ORYLA14594, ORYLA19522, ORYLA15434, ORYLA12391, ORYLA01756, ORYLA15173, ORYLA19456, ORYLA08925, ORYLA08923, ORYLA08924	CAEEL11789, CAEEL12688
OG0000248	ORYLA10227	CAEEL17077
OG0000249	ORYLA12187, ORYLA13559, ORYLA06845, ORYLA17407, ORYLA06062, ORYLA01610	CAEEL02928
OG0000250	ORYLA14962	CAEEL11963
OG0000250	ORYLA16891	CAEEL07261
OG0000250	ORYLA11002	CAEEL06732
OG0000251	ORYLA09347, ORYLA13883, ORYLA03324	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	ORYLA04331	CAEEL05168
OG0000255	ORYLA12113	CAEEL05715
OG0000256	ORYLA02742, ORYLA16602, ORYLA00877	CAEEL11937, CAEEL19468
OG0000257	ORYLA07342, ORYLA19508, ORYLA14895	CAEEL01910, CAEEL15386
OG0000258	ORYLA05816, ORYLA16736, ORYLA00803, ORYLA19450, ORYLA00543	CAEEL19537
OG0000258	ORYLA13731, ORYLA14055, ORYLA11238	CAEEL09342
