Orthogroup	ORYLA	LYTVA_ok
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000101	ORYLA12058	LYTVA_13163
OG0000101	ORYLA09166, ORYLA09165	LYTVA_03793
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	LYTVA_25292, LYTVA_25291
OG0000102	ORYLA19358, ORYLA00094	LYTVA_23145
OG0000102	ORYLA12106	LYTVA_08951
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	LYTVA_05784
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	LYTVA_08412
OG0000104	ORYLA03680, ORYLA06072	LYTVA_24486
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	LYTVA_21210
OG0000104	ORYLA06071	LYTVA_17807
OG0000104	ORYLA03679	LYTVA_17806
OG0000104	ORYLA09408	LYTVA_12502
OG0000104	ORYLA14236, ORYLA14756, ORYLA10856	LYTVA_12996
OG0000106	ORYLA06794	LYTVA_01037
OG0000106	ORYLA05764, ORYLA14913, ORYLA14914	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000113	ORYLA17645, ORYLA13433	LYTVA_11625
OG0000113	ORYLA15283	LYTVA_11752, LYTVA_11754
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	LYTVA_18980, LYTVA_05208, LYTVA_13458
OG0000115	ORYLA10019, ORYLA12386	LYTVA_15799, LYTVA_02089
OG0000116	ORYLA19541	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	LYTVA_11474
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	LYTVA_08592, LYTVA_07119, LYTVA_19356
OG0000119	ORYLA09477, ORYLA05169	LYTVA_04285, LYTVA_11467
OG0000121	ORYLA00510, ORYLA01379, ORYLA07858	LYTVA_23606, LYTVA_10086
OG0000121	ORYLA06690, ORYLA06688	LYTVA_03587
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	LYTVA_10750
OG0000122	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	LYTVA_18458
OG0000123	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364	LYTVA_03404
OG0000123	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949	LYTVA_12956
OG0000123	ORYLA04317, ORYLA01144	LYTVA_28852, LYTVA_16769
OG0000124	ORYLA04499, ORYLA01264	LYTVA_14993
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	LYTVA_27850
OG0000124	ORYLA04689	LYTVA_05622
OG0000124	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516	LYTVA_20699
OG0000125	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368	LYTVA_16406
OG0000125	ORYLA01977, ORYLA08228, ORYLA17147	LYTVA_25487
OG0000125	ORYLA12115	LYTVA_01832
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	LYTVA_19767
OG0000126	ORYLA02839	LYTVA_16967
OG0000126	ORYLA09118	LYTVA_03902
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	LYTVA_29180
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298	LYTVA_27169
OG0000127	ORYLA18247, ORYLA09922	LYTVA_12856
OG0000127	ORYLA05476, ORYLA10382	LYTVA_21563
OG0000127	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240	LYTVA_12830
OG0000127	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683	LYTVA_20093
OG0000128	ORYLA17289	LYTVA_01369, LYTVA_05348, LYTVA_25678
OG0000128	ORYLA03587	LYTVA_25569, LYTVA_25568
OG0000128	ORYLA06619, ORYLA09314	LYTVA_25168
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	LYTVA_24420, LYTVA_06816
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	LYTVA_27162
OG0000130	ORYLA06999, ORYLA11637, ORYLA11367	LYTVA_15064
OG0000130	ORYLA18984, ORYLA14309, ORYLA14308, ORYLA20195, ORYLA20194, ORYLA20193, ORYLA20192, ORYLA15914, ORYLA15896	LYTVA_05651
OG0000130	ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772	LYTVA_15765, LYTVA_27521
OG0000131	ORYLA02651, ORYLA17218	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090
OG0000132	ORYLA13789	LYTVA_01373
OG0000132	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043	LYTVA_12161, LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402
OG0000137	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560	LYTVA_14649
OG0000137	ORYLA06196, ORYLA16275	LYTVA_14169, LYTVA_05475
OG0000137	ORYLA11370, ORYLA08706	LYTVA_25469, LYTVA_15627
OG0000140	ORYLA08885	LYTVA_30020
OG0000140	ORYLA14990	LYTVA_19546
OG0000141	ORYLA15273	LYTVA_04353, LYTVA_16633, LYTVA_23463, LYTVA_05955, LYTVA_05956, LYTVA_05957, LYTVA_05958, LYTVA_17141, LYTVA_11297, LYTVA_29166, LYTVA_09438, LYTVA_09439, LYTVA_25402
OG0000142	ORYLA18004, ORYLA10671, ORYLA16620, ORYLA01917, ORYLA05889	LYTVA_01494
OG0000147	ORYLA06944, ORYLA12833, ORYLA15636	LYTVA_06334
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	LYTVA_24464
OG0000147	ORYLA13100, ORYLA13101	LYTVA_06610, LYTVA_07302
OG0000147	ORYLA18182	LYTVA_18928
OG0000147	ORYLA10192	LYTVA_03351
OG0000148	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171	LYTVA_19008
OG0000149	ORYLA17290, ORYLA17651, ORYLA17652	LYTVA_27288
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082
OG0000149	ORYLA19729	LYTVA_24788
OG0000151	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949	LYTVA_06631
OG0000151	ORYLA02467, ORYLA17249, ORYLA13261	LYTVA_13428, LYTVA_13427
OG0000154	ORYLA18264	LYTVA_22149
OG0000154	ORYLA15514, ORYLA15513, ORYLA15515, ORYLA15516	LYTVA_08370
OG0000155	ORYLA01962, ORYLA20370	LYTVA_12158
OG0000155	ORYLA01931, ORYLA05131	LYTVA_22929
OG0000157	ORYLA16681, ORYLA00723	LYTVA_24947
