Orthogroup	ORYLA	BRALA
OG0000004	ORYLA04400, ORYLA08919	BRALA02003, BRALA02015
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	ORYLA11550	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234
OG0000006	ORYLA04794	BRALA03676
OG0000006	ORYLA13568, ORYLA06565	BRALA06686
OG0000006	ORYLA20407, ORYLA03595	BRALA19242
OG0000006	ORYLA03421, ORYLA09483	BRALA06109
OG0000006	ORYLA09038	BRALA23800
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	BRALA07568, BRALA29276
OG0000006	ORYLA10511, ORYLA11827	BRALA22280
OG0000006	ORYLA16517	BRALA06185
OG0000006	ORYLA16515	BRALA06182
OG0000006	ORYLA17394	BRALA17603
OG0000006	ORYLA05082	BRALA03602
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	BRALA17591
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	BRALA24372
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	BRALA24994
OG0000006	ORYLA04691	BRALA22628
OG0000007	ORYLA13334	BRALA03259
OG0000007	ORYLA14937, ORYLA17526	BRALA13447, BRALA13448
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	BRALA20872, BRALA20870
OG0000007	ORYLA13596	BRALA01304
OG0000007	ORYLA10719	BRALA31416
OG0000007	ORYLA18472	BRALA11149
OG0000007	ORYLA15197	BRALA03260
OG0000007	ORYLA09030	BRALA20579
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	BRALA03282
OG0000007	ORYLA13010	BRALA25787
OG0000007	ORYLA03471, ORYLA17615	BRALA26097
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	BRALA22487
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	BRALA06491
OG0000007	ORYLA16317	BRALA18647
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	BRALA05625
OG0000007	ORYLA10158, ORYLA04736	BRALA30788
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	BRALA05591
OG0000008	ORYLA02437, ORYLA18129	BRALA27340
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	BRALA20539
OG0000008	ORYLA18857	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014
OG0000008	ORYLA13726	BRALA28057
OG0000008	ORYLA15397	BRALA20418
OG0000008	ORYLA01552, ORYLA11813	BRALA19645
OG0000010	ORYLA12063, ORYLA05561	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	BRALA24210, BRALA03886
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414	BRALA01026, BRALA09806
OG0000010	ORYLA16137, ORYLA14434, ORYLA05941, ORYLA05550, ORYLA20398, ORYLA05923, ORYLA05924, ORYLA14435, ORYLA16136	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000010	ORYLA18230	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969
OG0000011	ORYLA04501	BRALA26291
OG0000012	ORYLA07628	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	ORYLA15199	BRALA22947
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	ORYLA07442, ORYLA17297, ORYLA15314	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456
OG0000014	ORYLA04835, ORYLA19923	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196
OG0000014	ORYLA15682	BRALA14079
OG0000014	ORYLA11600, ORYLA01088	BRALA28626, BRALA28625, BRALA28624
OG0000014	ORYLA07812, ORYLA17200	BRALA09953, BRALA20835, BRALA21213, BRALA14270
OG0000015	ORYLA04638	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858
OG0000015	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	BRALA22448
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	BRALA22447
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	ORYLA12720, ORYLA00945	BRALA00485
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	BRALA32113, BRALA10406
OG0000016	ORYLA09921	BRALA12120, BRALA09688
OG0000016	ORYLA00030	BRALA24127
OG0000016	ORYLA11245, ORYLA15380	BRALA22170
OG0000018	ORYLA02836, ORYLA14501	BRALA27097, BRALA20530, BRALA30320, BRALA33187, BRALA27247, BRALA32183, BRALA17258, BRALA32989, BRALA30091, BRALA20808, BRALA24748, BRALA18020, BRALA23577, BRALA11468, BRALA26056, BRALA02824, BRALA06189, BRALA32094, BRALA32688, BRALA07025, BRALA20941, BRALA31799
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	BRALA26026, BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	ORYLA16405, ORYLA07040	BRALA00002
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	BRALA00404, BRALA00405
OG0000020	ORYLA09327	BRALA12010
OG0000020	ORYLA12531	BRALA09135
OG0000020	ORYLA15493	BRALA27241
OG0000020	ORYLA10559	BRALA28848
OG0000020	ORYLA06663	BRALA05608
OG0000020	ORYLA16080	BRALA18984
OG0000020	ORYLA11359	BRALA21902, BRALA16840
OG0000020	ORYLA19795	BRALA05743, BRALA25854, BRALA14414
OG0000020	ORYLA09855	BRALA16287
OG0000020	ORYLA06900	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869
OG0000020	ORYLA09950	BRALA14062
OG0000020	ORYLA16727	BRALA11167
OG0000020	ORYLA06780	BRALA27392
OG0000020	ORYLA01097, ORYLA00349	BRALA11912
OG0000020	ORYLA02546	BRALA12599
OG0000020	ORYLA06519	BRALA10628
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	BRALA18963
OG0000021	ORYLA15878, ORYLA14141, ORYLA20191, ORYLA19977, ORYLA13759, ORYLA13761, ORYLA08737, ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905	BRALA18043
OG0000021	ORYLA12641, ORYLA05479	BRALA22428
OG0000021	ORYLA03698, ORYLA17601	BRALA30352
OG0000021	ORYLA04373	BRALA34639, BRALA31905
OG0000021	ORYLA12092	BRALA06012
OG0000021	ORYLA06753	BRALA20360, BRALA20164
OG0000021	ORYLA04245	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000023	ORYLA08126	BRALA34393, BRALA34449, BRALA33273
OG0000023	ORYLA02861, ORYLA18687	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062
OG0000023	ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	BRALA25437
OG0000023	ORYLA14352, ORYLA16095	BRALA29841, BRALA06984, BRALA06983
OG0000024	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747, ORYLA12762, ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498, ORYLA08413, ORYLA19485, ORYLA02911, ORYLA10288	BRALA13162, BRALA17266
OG0000026	ORYLA06726	BRALA01049
OG0000026	ORYLA09539	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000027	ORYLA04739	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	ORYLA01165	BRALA26965
OG0000028	ORYLA03205, ORYLA04463	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542
OG0000028	ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414	BRALA08547, BRALA15654
OG0000028	ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	BRALA01199, BRALA17029, BRALA17030
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	BRALA08523
OG0000029	ORYLA15906	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	ORYLA18077	BRALA13442
OG0000030	ORYLA07170	BRALA32573
OG0000030	ORYLA20234	BRALA10449
OG0000031	ORYLA09861, ORYLA15740	BRALA04543
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	BRALA04547
OG0000031	ORYLA01770	BRALA04610
OG0000031	ORYLA06561	BRALA13458
OG0000031	ORYLA14932	BRALA05046
OG0000031	ORYLA10394, ORYLA11971	BRALA16640
OG0000031	ORYLA14237, ORYLA15433	BRALA09408
OG0000031	ORYLA04591, ORYLA04917	BRALA28311
OG0000031	ORYLA06240	BRALA15572
OG0000032	ORYLA09076, ORYLA06417	BRALA10240
OG0000032	ORYLA15502	BRALA11179, BRALA11177, BRALA09647
OG0000033	ORYLA01373	BRALA02126, BRALA10869, BRALA21237, BRALA19989, BRALA30335, BRALA15631, BRALA30896, BRALA03164, BRALA20948, BRALA16265, BRALA26467, BRALA30133, BRALA27954, BRALA26545, BRALA09893, BRALA08428, BRALA32889, BRALA32814, BRALA17887, BRALA29128, BRALA31215, BRALA32952, BRALA32013, BRALA31320, BRALA22662, BRALA32689, BRALA12445, BRALA24903, BRALA28184, BRALA24591, BRALA03863, BRALA29419, BRALA17987, BRALA31131, BRALA12002, BRALA31883, BRALA11190, BRALA28120, BRALA30008, BRALA33243, BRALA07269, BRALA32916, BRALA30826, BRALA27795, BRALA10774, BRALA00010, BRALA20279, BRALA10423, BRALA34048, BRALA34732, BRALA33801, BRALA32426, BRALA32153, BRALA20280, BRALA29143, BRALA29939, BRALA09522, BRALA32831, BRALA19307, BRALA23155, BRALA27594, BRALA22615, BRALA32032, BRALA32815, BRALA33133, BRALA19402, BRALA00758, BRALA22567, BRALA31294, BRALA28294
OG0000034	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781	BRALA27570
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	BRALA08751
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	BRALA08901, BRALA03079
OG0000034	ORYLA07312	BRALA17580
OG0000034	ORYLA12339, ORYLA14860	BRALA08885
OG0000034	ORYLA19697	BRALA23966, BRALA06594
OG0000034	ORYLA14655	BRALA02412
OG0000035	ORYLA16101	BRALA21367, BRALA35402
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	BRALA13921
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	BRALA29588
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	BRALA13915, BRALA22877
OG0000035	ORYLA17117, ORYLA14783	BRALA13917
OG0000036	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184	BRALA03126, BRALA19967
OG0000036	ORYLA15615, ORYLA15153	BRALA22400
OG0000036	ORYLA07495, ORYLA20280, ORYLA12724	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	ORYLA20440, ORYLA11184	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	ORYLA12571	BRALA22402, BRALA22404
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	BRALA22282
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	BRALA22275
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	BRALA16015
OG0000037	ORYLA04725	BRALA16388
OG0000038	ORYLA16180	BRALA07451
OG0000038	ORYLA16179	BRALA32346
OG0000038	ORYLA08393, ORYLA09754	BRALA27417
OG0000039	ORYLA07496	BRALA01170, BRALA17648, BRALA19632, BRALA19635
OG0000039	ORYLA16124	BRALA02916, BRALA20258, BRALA27882, BRALA01626, BRALA01628, BRALA23751, BRALA01619, BRALA01617, BRALA01627, BRALA01624, BRALA01620, BRALA01618, BRALA04466, BRALA04471, BRALA01927, BRALA16092
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	BRALA19542
OG0000040	ORYLA04846, ORYLA04844	BRALA35825, BRALA27751
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	BRALA27215
OG0000042	ORYLA12797, ORYLA10877, ORYLA10878	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652
OG0000043	ORYLA03388	BRALA09159
OG0000044	ORYLA05288	BRALA27747
OG0000044	ORYLA05174	BRALA34838
OG0000045	ORYLA09208, ORYLA09207	BRALA29043, BRALA32667
OG0000045	ORYLA02913	BRALA19490, BRALA19482
OG0000046	ORYLA00520	BRALA28946
OG0000046	ORYLA18815, ORYLA05911	BRALA00828, BRALA17402, BRALA17400
OG0000048	ORYLA19472	BRALA08224
OG0000048	ORYLA14101	BRALA06772
OG0000048	ORYLA19631	BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407
OG0000048	ORYLA08002	BRALA17809
OG0000048	ORYLA11420	BRALA10830
OG0000048	ORYLA15054	BRALA03524
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	BRALA08950, BRALA08951
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	BRALA15334
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	BRALA15336, BRALA15335
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	BRALA16919, BRALA35874, BRALA15337
OG0000051	ORYLA05117	BRALA22978, BRALA25416
OG0000052	ORYLA03847, ORYLA07122	BRALA31597, BRALA31990, BRALA23098, BRALA32359, BRALA01546, BRALA12749, BRALA03474, BRALA26667, BRALA27854, BRALA32884, BRALA17972, BRALA09204, BRALA19103, BRALA16841, BRALA01500, BRALA27314, BRALA07522, BRALA11636, BRALA13254, BRALA17955, BRALA23616, BRALA18886, BRALA12690, BRALA12254, BRALA10985, BRALA26548, BRALA15676, BRALA26833, BRALA21382, BRALA22722, BRALA22656, BRALA07767, BRALA20131, BRALA29503, BRALA17971, BRALA30145, BRALA21483, BRALA32358
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	BRALA32354, BRALA33745, BRALA29046, BRALA22655, BRALA21383, BRALA13065, BRALA12991, BRALA11152, BRALA07766, BRALA07479, BRALA01433, BRALA01406, BRALA12590, BRALA24634, BRALA02553, BRALA25928, BRALA33391, BRALA10645, BRALA26537, BRALA17284, BRALA18010, BRALA07472, BRALA28158, BRALA14154, BRALA03903, BRALA35146, BRALA04107, BRALA33473, BRALA20142, BRALA23347, BRALA14114, BRALA26653, BRALA01780, BRALA19636, BRALA03448, BRALA25177, BRALA34774, BRALA19340, BRALA19337, BRALA13175, BRALA29756, BRALA21907, BRALA29760, BRALA26550, BRALA11628, BRALA30906, BRALA27793, BRALA29469, BRALA18478, BRALA20881, BRALA32444, BRALA27554, BRALA22559, BRALA28706, BRALA23403, BRALA12582, BRALA24313, BRALA03336, BRALA01309, BRALA00341, BRALA01921, BRALA17134, BRALA09402, BRALA13022, BRALA11458, BRALA26226, BRALA32281, BRALA31303, BRALA31150, BRALA08315, BRALA02042, BRALA32550, BRALA14048, BRALA33106, BRALA15526
OG0000053	ORYLA12857	BRALA16213, BRALA07330
OG0000054	ORYLA00519	BRALA02118
OG0000054	ORYLA05953	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	BRALA13087
OG0000056	ORYLA07324, ORYLA00315	BRALA00682
OG0000056	ORYLA00874	BRALA22096
OG0000056	ORYLA17860	BRALA21309
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236
OG0000058	ORYLA18104	BRALA06324
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	ORYLA00576, ORYLA16972	BRALA11173, BRALA06327
OG0000058	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068	BRALA06325
OG0000059	ORYLA07253, ORYLA03181, ORYLA04042	BRALA13206
OG0000059	ORYLA09176	BRALA11568
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	BRALA19963, BRALA20366
OG0000060	ORYLA01946, ORYLA04743	BRALA01718
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	BRALA07400
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844
OG0000061	ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	ORYLA07060, ORYLA08273	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	BRALA21141, BRALA30349, BRALA21142
OG0000062	ORYLA10585, ORYLA11804	BRALA31607
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	ORYLA06398	BRALA25733
OG0000067	ORYLA02381	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	BRALA35634, BRALA09451
OG0000068	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852	BRALA17343
OG0000069	ORYLA03855	BRALA06442
OG0000069	ORYLA00227, ORYLA00099, ORYLA00041	BRALA27559
OG0000069	ORYLA08015	BRALA06255, BRALA22501
OG0000069	ORYLA00084, ORYLA03826	BRALA11725
OG0000070	ORYLA11329, ORYLA09412	BRALA19019, BRALA19027, BRALA19020
OG0000070	ORYLA07085, ORYLA17312	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254
OG0000071	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716	BRALA05660
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	BRALA12631
OG0000072	ORYLA20464	BRALA33639, BRALA31916
OG0000074	ORYLA15428	BRALA15329
OG0000075	ORYLA08229, ORYLA07050	BRALA11316
OG0000075	ORYLA15750	BRALA07062
OG0000075	ORYLA05870, ORYLA14226	BRALA18754
OG0000075	ORYLA04438	BRALA16174
OG0000075	ORYLA10049, ORYLA15751	BRALA11318
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	BRALA17353, BRALA17352
OG0000075	ORYLA11054, ORYLA15824	BRALA20309
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	BRALA25719
OG0000075	ORYLA19688	BRALA17324
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	BRALA11472
OG0000077	ORYLA09130, ORYLA06009, ORYLA03431	BRALA02324
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	BRALA35746, BRALA06424
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	BRALA00097, BRALA00109
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	BRALA18105
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	BRALA22809
OG0000079	ORYLA13165	BRALA13477
OG0000080	ORYLA09642, ORYLA12801	BRALA29553, BRALA02745, BRALA15989, BRALA02542
OG0000081	ORYLA17325, ORYLA13622, ORYLA13621, ORYLA13623, ORYLA12409, ORYLA04160, ORYLA09392	BRALA05164, BRALA21995, BRALA12438, BRALA12435
OG0000082	ORYLA02580	BRALA23665
OG0000082	ORYLA01470	BRALA23991
OG0000082	ORYLA09330	BRALA10738
OG0000082	ORYLA19108	BRALA12024
OG0000083	ORYLA04024, ORYLA20424	BRALA11838, BRALA11834
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676	BRALA16357
