Orthogroup	ORYLA	ASTMX
OG0000015	ORYLA11923	ASTMX09926, ASTMX15220
OG0000015	ORYLA11921	ASTMX09927
OG0000015	ORYLA10367	ASTMX01377
OG0000015	ORYLA04154	ASTMX13993
OG0000015	ORYLA03899	ASTMX18335
OG0000015	ORYLA10757	ASTMX18098
OG0000015	ORYLA01414	ASTMX18099, ASTMX04658
OG0000015	ORYLA19970	ASTMX18334
OG0000015	ORYLA04333	ASTMX04125
OG0000015	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513	ASTMX06038
OG0000015	ORYLA01230	ASTMX08008
OG0000015	ORYLA01413	ASTMX04657
OG0000015	ORYLA19971	ASTMX18333
OG0000015	ORYLA09940, ORYLA09941	ASTMX00011
OG0000015	ORYLA04300	ASTMX10695
OG0000015	ORYLA18852	ASTMX18288
OG0000015	ORYLA01514	ASTMX04727
OG0000016	ORYLA12720	ASTMX03544
OG0000016	ORYLA00945	ASTMX11482
OG0000016	ORYLA17171	ASTMX17817
OG0000016	ORYLA00784	ASTMX17818, ASTMX05407
OG0000016	ORYLA19764	ASTMX11675
OG0000016	ORYLA05054	ASTMX17393
OG0000016	ORYLA09921	ASTMX00540
OG0000016	ORYLA00030	ASTMX02874
OG0000016	ORYLA08665	ASTMX17395
OG0000016	ORYLA11245	ASTMX13275
OG0000016	ORYLA15380	ASTMX20114
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	ORYLA16405	ASTMX14084
OG0000019	ORYLA07040	ASTMX03976, ASTMX18923
OG0000019	ORYLA07041	ASTMX19662
OG0000019	ORYLA15975	ASTMX20251
OG0000019	ORYLA16411	ASTMX21241, ASTMX14833
OG0000019	ORYLA20088	ASTMX15190
OG0000020	ORYLA09327	ASTMX12654
OG0000020	ORYLA12531	ASTMX04834
OG0000020	ORYLA15493	ASTMX22432
OG0000020	ORYLA10559	ASTMX12285
OG0000020	ORYLA06663	ASTMX15062
OG0000020	ORYLA16080	ASTMX14060
OG0000020	ORYLA02155	ASTMX00875
OG0000020	ORYLA05512	ASTMX06734
OG0000020	ORYLA11359	ASTMX14107, ASTMX08186
OG0000020	ORYLA19795	ASTMX17613
OG0000020	ORYLA09855	ASTMX00490, ASTMX12696
OG0000020	ORYLA06900	ASTMX03725, ASTMX07958, ASTMX18318
OG0000020	ORYLA09950	ASTMX16689
OG0000020	ORYLA16727	ASTMX16030, ASTMX16028
OG0000020	ORYLA06780	ASTMX17320
OG0000020	ORYLA01097	ASTMX04750
OG0000020	ORYLA00349	ASTMX21042
OG0000020	ORYLA15647	ASTMX05243
OG0000020	ORYLA00902	ASTMX04710
OG0000020	ORYLA02546	ASTMX07754
OG0000020	ORYLA06519	ASTMX13875
OG0000021	ORYLA13904	ASTMX05285
OG0000021	ORYLA15936	ASTMX16996
OG0000021	ORYLA11094	ASTMX01998
OG0000021	ORYLA20207	ASTMX04046
OG0000021	ORYLA15834	ASTMX15305
OG0000021	ORYLA15878	ASTMX00802, ASTMX04036
OG0000021	ORYLA20191	ASTMX09468, ASTMX09467
OG0000021	ORYLA19977, ORYLA13759, ORYLA13761	ASTMX09435
OG0000021	ORYLA08737	ASTMX07052, ASTMX07051, ASTMX06325
OG0000021	ORYLA10930, ORYLA14683	ASTMX15788
OG0000021	ORYLA13905	ASTMX05284
OG0000021	ORYLA12641	ASTMX00201
OG0000021	ORYLA05479	ASTMX09085
OG0000021	ORYLA03698	ASTMX02310
OG0000021	ORYLA17601	ASTMX16342
OG0000021	ORYLA04373	ASTMX09645
OG0000021	ORYLA12092	ASTMX21461
OG0000021	ORYLA14389	ASTMX05545
OG0000021	ORYLA06753	ASTMX13864
OG0000021	ORYLA04245	ASTMX09336
OG0000023	ORYLA08126	ASTMX18896
OG0000023	ORYLA02861	ASTMX07788
OG0000023	ORYLA06733	ASTMX10048
OG0000023	ORYLA07486	ASTMX07031
OG0000023	ORYLA12741	ASTMX08985
OG0000023	ORYLA13800	ASTMX18700
OG0000023	ORYLA07073	ASTMX14127
OG0000023	ORYLA08963	ASTMX07394
OG0000023	ORYLA07951	ASTMX07336, ASTMX04478
OG0000023	ORYLA02776	ASTMX03414
OG0000023	ORYLA03601	ASTMX11687
OG0000023	ORYLA14352	ASTMX14286
OG0000023	ORYLA16095	ASTMX19623
OG0000023	ORYLA03721	ASTMX04385, ASTMX04386
OG0000023	ORYLA03720	ASTMX11217
OG0000023	ORYLA12643	ASTMX00199
OG0000023	ORYLA15685	ASTMX01795
OG0000023	ORYLA18660	ASTMX02984, ASTMX02983
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426, ASTMX21974
OG0000026	ORYLA09539	ASTMX12978
OG0000027	ORYLA12309	ASTMX01705
OG0000027	ORYLA08306	ASTMX01846, ASTMX01847, ASTMX11673
OG0000027	ORYLA07922	ASTMX17505
OG0000027	ORYLA15904, ORYLA15903	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000027	ORYLA04739	ASTMX01680
OG0000028	ORYLA00361	ASTMX01628
OG0000028	ORYLA03205	ASTMX11297
OG0000028	ORYLA04463	ASTMX12202
OG0000028	ORYLA01107	ASTMX14889
OG0000028	ORYLA00838	ASTMX21200
OG0000028	ORYLA05731	ASTMX09164
OG0000028	ORYLA12623	ASTMX21506
OG0000028	ORYLA12624	ASTMX21505
OG0000028	ORYLA00837, ORYLA01106	ASTMX21832
OG0000028	ORYLA11312	ASTMX08169, ASTMX10814
OG0000028	ORYLA15414	ASTMX02886
OG0000028	ORYLA01105	ASTMX14890
OG0000028	ORYLA00835	ASTMX22400
OG0000028	ORYLA09887, ORYLA09886	ASTMX17696
OG0000028	ORYLA04684	ASTMX05417
OG0000028	ORYLA20303, ORYLA20302	ASTMX01721, ASTMX15155
OG0000028	ORYLA05749, ORYLA01547	ASTMX14212
OG0000029	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293	ASTMX02055
OG0000029	ORYLA15257	ASTMX06262
OG0000029	ORYLA13110	ASTMX11166
OG0000029	ORYLA04764	ASTMX03267
OG0000029	ORYLA00213	ASTMX11576
OG0000029	ORYLA03112	ASTMX22545
OG0000029	ORYLA15906	ASTMX19971
OG0000029	ORYLA08651, ORYLA09837	ASTMX12065
OG0000030	ORYLA18077	ASTMX06934
OG0000030	ORYLA01628	ASTMX13784
OG0000030	ORYLA19626	ASTMX06816
OG0000030	ORYLA02922	ASTMX18369
OG0000030	ORYLA07170	ASTMX02378, ASTMX18821
OG0000030	ORYLA04224	ASTMX11357
OG0000030	ORYLA03718	ASTMX13717
OG0000030	ORYLA07582	ASTMX04112, ASTMX02697
OG0000030	ORYLA07744	ASTMX07740
OG0000030	ORYLA16997	ASTMX14326
OG0000030	ORYLA20234	ASTMX22293
OG0000030	ORYLA08220	ASTMX01510
OG0000031	ORYLA04590	ASTMX03913
OG0000031	ORYLA09861	ASTMX08659
OG0000031	ORYLA15740	ASTMX04771
OG0000031	ORYLA13928	ASTMX01055
OG0000031	ORYLA09882	ASTMX17701
OG0000031	ORYLA05598	ASTMX18426, ASTMX12571
OG0000031	ORYLA18563	ASTMX22712
OG0000031	ORYLA01770	ASTMX12572
OG0000031	ORYLA06561	ASTMX06525
OG0000031	ORYLA14932	ASTMX05128
OG0000031	ORYLA17720	ASTMX18163
OG0000031	ORYLA00795	ASTMX11402
OG0000031	ORYLA10394	ASTMX09693
OG0000031	ORYLA11971	ASTMX17541
OG0000031	ORYLA14237	ASTMX00710
OG0000031	ORYLA15433	ASTMX00969, ASTMX17640
OG0000031	ORYLA04591	ASTMX03912
OG0000031	ORYLA04917	ASTMX00105
OG0000031	ORYLA06754	ASTMX13865
OG0000031	ORYLA07156	ASTMX02854, ASTMX20534
OG0000031	ORYLA02513	ASTMX14725
OG0000031	ORYLA09501	ASTMX00107
OG0000031	ORYLA09459	ASTMX13001, ASTMX20334
OG0000031	ORYLA06390	ASTMX13774, ASTMX02637
OG0000031	ORYLA06240	ASTMX03166
OG0000032	ORYLA09076	ASTMX08687
OG0000032	ORYLA06417	ASTMX18764
OG0000032	ORYLA14771, ORYLA03482	ASTMX19317
OG0000032	ORYLA10827	ASTMX01990
OG0000032	ORYLA12826	ASTMX08768
OG0000032	ORYLA04475, ORYLA04474	ASTMX12211
OG0000032	ORYLA14976	ASTMX09018
OG0000032	ORYLA15502	ASTMX06705
OG0000034	ORYLA07927	ASTMX19482
OG0000034	ORYLA16241	ASTMX22636
OG0000034	ORYLA04579	ASTMX03521
OG0000034	ORYLA02286	ASTMX05967
OG0000034	ORYLA17781	ASTMX21201
OG0000034	ORYLA16358	ASTMX17020
OG0000034	ORYLA12476	ASTMX02547
OG0000034	ORYLA15138	ASTMX01081
OG0000034	ORYLA11195	ASTMX20715
OG0000034	ORYLA16147	ASTMX17446
OG0000034	ORYLA17140	ASTMX07364
OG0000034	ORYLA07963	ASTMX20522
OG0000034	ORYLA14023, ORYLA15996	ASTMX22336, ASTMX07448
OG0000034	ORYLA11192	ASTMX16123
OG0000034	ORYLA14993	ASTMX02622
OG0000034	ORYLA14558	ASTMX00372
OG0000034	ORYLA07312	ASTMX07013
OG0000034	ORYLA12339	ASTMX12428
OG0000034	ORYLA14860	ASTMX02190
OG0000034	ORYLA19697	ASTMX01548
OG0000034	ORYLA14655	ASTMX02136
OG0000035	ORYLA16101	ASTMX17732
OG0000035	ORYLA17474	ASTMX22713
OG0000035	ORYLA12588, ORYLA14952	ASTMX21245
OG0000035	ORYLA11104	ASTMX07147
OG0000035	ORYLA14870	ASTMX00613
OG0000035	ORYLA12119	ASTMX06338
OG0000035	ORYLA17191	ASTMX07340
OG0000035	ORYLA15336	ASTMX07227
OG0000035	ORYLA11216	ASTMX07114
OG0000035	ORYLA13992	ASTMX00989
OG0000035	ORYLA12754	ASTMX00242
OG0000035	ORYLA14991, ORYLA14992	ASTMX02614
OG0000035	ORYLA11268	ASTMX08545
OG0000035	ORYLA14782, ORYLA12073, ORYLA12074	ASTMX15322
OG0000035	ORYLA14783	ASTMX15321, ASTMX20966
OG0000036	ORYLA07477	ASTMX05584
OG0000036	ORYLA02184	ASTMX00843
OG0000036	ORYLA15153	ASTMX18592
OG0000036	ORYLA07495	ASTMX10059, ASTMX16974
OG0000036	ORYLA20280	ASTMX00596
OG0000036	ORYLA12724	ASTMX03566
OG0000036	ORYLA20440	ASTMX18312
OG0000036	ORYLA11184	ASTMX10284
OG0000036	ORYLA12571	ASTMX03570
OG0000037	ORYLA10680	ASTMX04826
OG0000037	ORYLA05584	ASTMX08066
OG0000037	ORYLA10681	ASTMX04828
OG0000037	ORYLA11814	ASTMX18303
OG0000037	ORYLA11609	ASTMX08083
OG0000037	ORYLA10251	ASTMX01399
OG0000037	ORYLA04338	ASTMX03952
OG0000037	ORYLA01058	ASTMX04639
OG0000037	ORYLA05151	ASTMX01500, ASTMX15266
OG0000037	ORYLA08136	ASTMX10464
OG0000037	ORYLA03090	ASTMX06313
OG0000037	ORYLA15954	ASTMX15913
OG0000037	ORYLA02209	ASTMX19727
OG0000037	ORYLA10771	ASTMX16533
OG0000037	ORYLA04725	ASTMX03275
OG0000038	ORYLA09756	ASTMX12687
OG0000038	ORYLA06128	ASTMX14059
OG0000038	ORYLA04511	ASTMX17623
OG0000038	ORYLA08393, ORYLA09754	ASTMX12685, ASTMX17002
OG0000039	ORYLA13584	ASTMX03851
OG0000039	ORYLA07496	ASTMX16971
OG0000039	ORYLA15984	ASTMX01965
OG0000039	ORYLA18454, ORYLA16125	ASTMX01011, ASTMX19591, ASTMX19593
OG0000039	ORYLA05812	ASTMX10108
OG0000039	ORYLA00801, ORYLA00802	ASTMX07819
OG0000040	ORYLA15343	ASTMX07215
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841	ASTMX04964, ASTMX04965
OG0000040	ORYLA18544, ORYLA18406	ASTMX19241, ASTMX19242
OG0000041	ORYLA07969	ASTMX07372, ASTMX15974
OG0000041	ORYLA14839	ASTMX00243, ASTMX02219
OG0000041	ORYLA15678, ORYLA15677	ASTMX15919
OG0000041	ORYLA16345	ASTMX19739
OG0000041	ORYLA07970	ASTMX18949
OG0000041	ORYLA13989	ASTMX00985
OG0000041	ORYLA15806	ASTMX20382
OG0000041	ORYLA13990	ASTMX00986
OG0000041	ORYLA15807	ASTMX20384
OG0000041	ORYLA14735	ASTMX19436
OG0000041	ORYLA15808	ASTMX00987
OG0000041	ORYLA19536	ASTMX18639
OG0000041	ORYLA12118	ASTMX00232
OG0000041	ORYLA13695	ASTMX00945, ASTMX01024
OG0000041	ORYLA09068	ASTMX08027, ASTMX12746
OG0000041	ORYLA11484	ASTMX04559
OG0000041	ORYLA11472	ASTMX04569
OG0000041	ORYLA05357	ASTMX22600
OG0000041	ORYLA19350	ASTMX18276
OG0000042	ORYLA12797, ORYLA10877, ORYLA10878	ASTMX00117
OG0000043	ORYLA04209	ASTMX12801
OG0000043	ORYLA03388	ASTMX09533
OG0000044	ORYLA04503	ASTMX03900
OG0000044	ORYLA10718	ASTMX14800
OG0000044	ORYLA17868	ASTMX17272
OG0000044	ORYLA05261	ASTMX12948
OG0000044	ORYLA01028	ASTMX08796
OG0000044	ORYLA01286	ASTMX20812
OG0000044	ORYLA09105, ORYLA12800	ASTMX11109
OG0000044	ORYLA05288	ASTMX07618
OG0000044	ORYLA05174	ASTMX17555
OG0000045	ORYLA09208, ORYLA09207	ASTMX14022
OG0000045	ORYLA02935	ASTMX15522, ASTMX03419
OG0000045	ORYLA02913	ASTMX10022, ASTMX03368
OG0000046	ORYLA00520	ASTMX22281
OG0000046	ORYLA07200, ORYLA07202, ORYLA07201	ASTMX12308
OG0000046	ORYLA01168	ASTMX11629
OG0000046	ORYLA06050	ASTMX06852
OG0000046	ORYLA18815	ASTMX11904, ASTMX11903, ASTMX12229
OG0000046	ORYLA05911	ASTMX06773
OG0000048	ORYLA19472	ASTMX04189
OG0000048	ORYLA03737	ASTMX18058
OG0000048	ORYLA03687	ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416
OG0000048	ORYLA17217	ASTMX13714
OG0000048	ORYLA14101	ASTMX03384
OG0000048	ORYLA09010	ASTMX08678
OG0000048	ORYLA09283	ASTMX11739, ASTMX08677, ASTMX05741
OG0000048	ORYLA10119	ASTMX04556
OG0000048	ORYLA19631	ASTMX04258, ASTMX18409
OG0000048	ORYLA08002	ASTMX15600
OG0000048	ORYLA11420	ASTMX04570
OG0000048	ORYLA15054	ASTMX00590
OG0000049	ORYLA11559	ASTMX10248
OG0000049	ORYLA19044	ASTMX08138
OG0000049	ORYLA04067	ASTMX03713
OG0000049	ORYLA03584	ASTMX05857
OG0000049	ORYLA13704	ASTMX00928
OG0000049	ORYLA13828	ASTMX08370
OG0000049	ORYLA15018	ASTMX07196
OG0000049	ORYLA20256	ASTMX04011
OG0000049	ORYLA14320	ASTMX18609
OG0000049	ORYLA15992, ORYLA14028	ASTMX01014, ASTMX00951
OG0000049	ORYLA14561	ASTMX05170
OG0000049	ORYLA15871	ASTMX00786
OG0000051	ORYLA05117	ASTMX02511
OG0000053	ORYLA12857	ASTMX12784
OG0000054	ORYLA00519	ASTMX04679
OG0000054	ORYLA05953	ASTMX05759
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	ASTMX11170, ASTMX19413, ASTMX22616
OG0000056	ORYLA07324	ASTMX01590
OG0000056	ORYLA00315	ASTMX01617
OG0000056	ORYLA13076	ASTMX02364
OG0000056	ORYLA07014	ASTMX08903
OG0000056	ORYLA16605	ASTMX17902
OG0000056	ORYLA16604	ASTMX14177
OG0000056	ORYLA13077	ASTMX02363
OG0000056	ORYLA17860	ASTMX18310
OG0000057	ORYLA17686	ASTMX16761
OG0000057	ORYLA14639	ASTMX17228
OG0000057	ORYLA12170	ASTMX14491
OG0000057	ORYLA13554	ASTMX18685
OG0000057	ORYLA12219	ASTMX11838
