Orthogroup	ORYLA	PFLAV
OG0000020	ORYLA06663	TCONS_00054537.p1
OG0000020	ORYLA16080	TCONS_00047850.p1
OG0000020	ORYLA09855	TCONS_00045845.p1
OG0000020	ORYLA06900, ORYLA09950	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	ORYLA16727	TCONS_00013032.p1, TCONS_00019497.p1, TCONS_00020535.p1
OG0000020	ORYLA06780	TCONS_00016378.p1
OG0000020	ORYLA15647	TCONS_00051401.p1
OG0000020	ORYLA00902	TCONS_00031077.p1
OG0000020	ORYLA02546	TCONS_00042754.p1
OG0000020	ORYLA06519	TCONS_00019367.p1
OG0000021	ORYLA20207, ORYLA15834	TCONS_00048454.p1
OG0000021	ORYLA12641, ORYLA05479	TCONS_00007765.p1
OG0000021	ORYLA03698, ORYLA17601	TCONS_00006555.p1
OG0000021	ORYLA04373	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	ORYLA12092, ORYLA14389	TCONS_00016243.p1
OG0000021	ORYLA06753	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000023	ORYLA08126	TCONS_00026137.p1
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	TCONS_00004930.p1
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	TCONS_00012484.p1, TCONS_00027765.p1, TCONS_00038533.p1, TCONS_00021650.p1, TCONS_00048791.p1, TCONS_00009471.p1, TCONS_00032712.p1, TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1, TCONS_00030268.p1, TCONS_00004208.p1, TCONS_00032509.p1, TCONS_00010300.p1, TCONS_00047059.p1, TCONS_00035457.p1, TCONS_00038640.p1, TCONS_00023412.p1, TCONS_00001559.p1, TCONS_00034182.p2, TCONS_00025224.p1, TCONS_00044140.p1
OG0000024	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747	TCONS_00053773.p1, TCONS_00015293.p1
OG0000024	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498	TCONS_00024402.p1, TCONS_00052142.p1, TCONS_00005657.p1, TCONS_00018571.p1, TCONS_00050704.p1, TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1, TCONS_00009651.p1, TCONS_00024337.p1
OG0000026	ORYLA09539	TCONS_00017322.p1
OG0000027	ORYLA07922, ORYLA15904, ORYLA15903	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1
OG0000027	ORYLA04739	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	TCONS_00029777.p1, TCONS_00029776.p1
OG0000029	ORYLA15906	TCONS_00020525.p1
OG0000029	ORYLA08651, ORYLA09837	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	TCONS_00019673.p1
OG0000030	ORYLA07170	TCONS_00054176.p1, TCONS_00054136.p1
OG0000030	ORYLA08220	TCONS_00042392.p1
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	TCONS_00003900.p1
OG0000031	ORYLA01770	TCONS_00002937.p1
OG0000031	ORYLA06561	TCONS_00028162.p1
OG0000031	ORYLA10394, ORYLA11971	TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	ORYLA04591, ORYLA04917	TCONS_00041599.p1
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	TCONS_00054588.p1
OG0000031	ORYLA09501, ORYLA00346	TCONS_00042947.p1
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	TCONS_00003964.p1
OG0000032	ORYLA09076, ORYLA06417	TCONS_00018159.p1
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1
OG0000032	ORYLA15502	TCONS_00045890.p1, TCONS_00018770.p1
OG0000033	ORYLA01373	TCONS_00036759.p1, TCONS_00047220.p1, TCONS_00023095.p1, TCONS_00038290.p1, TCONS_00009749.p1, TCONS_00036215.p1, TCONS_00015661.p1, TCONS_00045647.p1
OG0000034	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781	TCONS_00005924.p1
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	ORYLA07312	TCONS_00029638.p1
OG0000034	ORYLA12339, ORYLA14860	TCONS_00037982.p1
OG0000034	ORYLA19697	TCONS_00030311.p1, TCONS_00029930.p1
OG0000034	ORYLA14655	TCONS_00037412.p1
OG0000035	ORYLA16101	TCONS_00003567.p1
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	TCONS_00041944.p1, TCONS_00028232.p1
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	TCONS_00023673.p1
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	TCONS_00024074.p1
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	TCONS_00023006.p1, TCONS_00025465.p1
OG0000035	ORYLA17117, ORYLA14783	TCONS_00025514.p1
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	TCONS_00008906.p1
OG0000036	ORYLA20440, ORYLA11184	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1
OG0000036	ORYLA12571	TCONS_00007681.p1
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	TCONS_00011439.p1, TCONS_00011440.p1
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	TCONS_00011218.p1
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	TCONS_00017535.p1
OG0000037	ORYLA04725	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1
OG0000038	ORYLA16179	TCONS_00000411.p1
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	TCONS_00052764.p1, TCONS_00012328.p1
OG0000039	ORYLA07496	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1
OG0000039	ORYLA16124	TCONS_00003433.p1
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	TCONS_00014910.p1
OG0000040	ORYLA18356	TCONS_00045511.p1
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1
OG0000041	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677	TCONS_00025634.p1
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	TCONS_00024462.p1
OG0000041	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	TCONS_00046856.p1
OG0000043	ORYLA03388	TCONS_00023271.p1
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	TCONS_00027232.p1
OG0000044	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800	TCONS_00043770.p1
OG0000044	ORYLA05288	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1
OG0000044	ORYLA05174	TCONS_00038566.p1
OG0000045	ORYLA09208, ORYLA09207	TCONS_00055807.p1
OG0000045	ORYLA02935	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1
OG0000046	ORYLA00520	TCONS_00014287.p1, TCONS_00014285.p1
OG0000046	ORYLA18815, ORYLA05911	TCONS_00027669.p1, TCONS_00041564.p1, TCONS_00019393.p1, TCONS_00036848.p1, TCONS_00041566.p1, TCONS_00041547.p1, TCONS_00041551.p1, TCONS_00019398.p1, TCONS_00034626.p1, TCONS_00034652.p1, TCONS_00034627.p1, TCONS_00020404.p1, TCONS_00034650.p1, TCONS_00020405.p1, TCONS_00019397.p1, TCONS_00019394.p1, TCONS_00019441.p1, TCONS_00020450.p1, TCONS_00019439.p1, TCONS_00036850.p1, TCONS_00019438.p1, TCONS_00020476.p1, TCONS_00020471.p1, TCONS_00020469.p1, TCONS_00020462.p1, TCONS_00041541.p1, TCONS_00041549.p1, TCONS_00026735.p1, TCONS_00026736.p1, TCONS_00041548.p1, TCONS_00041561.p1, TCONS_00027670.p1, TCONS_00041565.p1, TCONS_00041563.p1, TCONS_00041573.p1, TCONS_00041569.p1, TCONS_00041550.p1, TCONS_00041567.p1, TCONS_00026737.p1, TCONS_00019396.p1, TCONS_00020480.p1, TCONS_00020463.p1, TCONS_00041538.p1, TCONS_00026733.p2, TCONS_00020477.p1, TCONS_00020481.p1, TCONS_00041571.p1, TCONS_00046483.p1, TCONS_00046484.p1, TCONS_00030577.p1, TCONS_00056618.p1, TCONS_00056619.p1, TCONS_00007210.p1, TCONS_00015680.p1, TCONS_00055452.p1, TCONS_00048069.p1, TCONS_00048074.p1, TCONS_00048072.p1, TCONS_00048076.p1, TCONS_00024708.p1
OG0000048	ORYLA17217	TCONS_00006570.p1
OG0000048	ORYLA14101	TCONS_00026749.p1
OG0000048	ORYLA09010, ORYLA09283, ORYLA10119	TCONS_00010205.p1, TCONS_00010206.p1, TCONS_00011599.p1
OG0000048	ORYLA14965	TCONS_00009509.p1
OG0000048	ORYLA08002	TCONS_00011079.p1
OG0000048	ORYLA11420	TCONS_00011575.p1
OG0000048	ORYLA15054	TCONS_00007155.p1
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	TCONS_00002242.p1
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	TCONS_00047284.p1
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	TCONS_00047286.p1
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	TCONS_00050078.p1, TCONS_00051670.p1, TCONS_00047285.p1
OG0000051	ORYLA05117	TCONS_00006560.p1, TCONS_00006558.p1, TCONS_00006561.p1, TCONS_00003099.p1, TCONS_00003102.p1, TCONS_00003101.p1
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	TCONS_00051727.p1, TCONS_00016749.p1, TCONS_00000064.p1, TCONS_00033913.p1, TCONS_00032198.p1, TCONS_00002802.p1, TCONS_00050497.p1, TCONS_00009543.p1, TCONS_00023891.p1, TCONS_00015315.p1, TCONS_00003518.p1, TCONS_00038388.p1, TCONS_00037453.p1, TCONS_00041491.p1, TCONS_00015026.p1, TCONS_00031240.p1, TCONS_00038347.p1, TCONS_00010083.p1, TCONS_00001838.p1, TCONS_00020617.p1, TCONS_00024520.p1
OG0000053	ORYLA12857	TCONS_00057047.p1
OG0000054	ORYLA00519	TCONS_00030209.p1
