Orthogroup	ORYLA	OWEFU
OG0000006	ORYLA13382	OFUSG25514.1.p1
OG0000006	ORYLA09038	OFUSG14428.1.p1
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	OFUSG07929.1.p1
OG0000006	ORYLA10511, ORYLA11827	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	ORYLA16517	OFUSG10782.1.p1
OG0000006	ORYLA17394	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	ORYLA05082	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	OFUSG08659.1.p1
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	ORYLA04691	OFUSG11470.1.p1
OG0000007	ORYLA14937, ORYLA17526	OFUSG09476.1.p1
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	OFUSG21527.1.p1
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	OFUSG13716.1.p1
OG0000007	ORYLA18472	OFUSG23682.1.p1
OG0000007	ORYLA15197	OFUSG05364.1.p1
OG0000007	ORYLA09030	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	OFUSG04768.1.p1
OG0000007	ORYLA13010	OFUSG08948.1.p1
OG0000007	ORYLA03471, ORYLA17615	OFUSG25429.1.p1
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	ORYLA16317	OFUSG10613.1.p1
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	ORYLA10158, ORYLA04736	OFUSG25241.1.p1
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	OFUSG01560.1.p1
OG0000008	ORYLA02437, ORYLA18129	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000008	ORYLA18857	OFUSG18646.1.p1
OG0000008	ORYLA13726, ORYLA15066, ORYLA11025	OFUSG05918.1.p1
OG0000008	ORYLA01552, ORYLA11813	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1
OG0000010	ORYLA12063, ORYLA05561	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	OFUSG09248.1.p1
OG0000010	ORYLA18252	OFUSG10271.1.p1
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	ORYLA18230	OFUSG10415.1.p1, OFUSG10415.2.p1
OG0000012	ORYLA07628	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	ORYLA15199	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	ORYLA07442, ORYLA17297, ORYLA15314, ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263, ORYLA04835, ORYLA19923, ORYLA15682	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	ORYLA11600, ORYLA01088	OFUSG00805.1.p1
OG0000015	ORYLA00867, ORYLA20430, ORYLA00866	OFUSG02249.1.p1
OG0000015	ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	ORYLA12720, ORYLA00945	OFUSG16773.1.p1
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	OFUSG10402.1.p1
OG0000016	ORYLA05054	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1
OG0000016	ORYLA09921	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	ORYLA00030	OFUSG11848.1.p1
OG0000016	ORYLA08665	OFUSG06227.1.p1
OG0000016	ORYLA11245, ORYLA15380	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000020	ORYLA09327	OFUSG17234.1.p1
OG0000020	ORYLA12531	OFUSG19131.1.p1
OG0000020	ORYLA02155, ORYLA05512, ORYLA11359, ORYLA19795, ORYLA09855, ORYLA06900, ORYLA09950	OFUSG13406.1.p1
OG0000020	ORYLA16727	OFUSG14744.1.p1, OFUSG12274.1.p1, OFUSG12274.2.p1
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	OFUSG18643.1.p1
OG0000021	ORYLA20207, ORYLA15834	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	ORYLA15878, ORYLA14141, ORYLA20191, ORYLA19977, ORYLA13759, ORYLA13761, ORYLA08737, ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905	OFUSG03663.1.p1
OG0000021	ORYLA12641, ORYLA05479	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	ORYLA03698, ORYLA17601	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	ORYLA12092, ORYLA14389	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	ORYLA06753	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	ORYLA08126	OFUSG06069.1.p1
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	ORYLA03601, ORYLA14352, ORYLA16095	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	ORYLA06726	OFUSG24983.1.p1, OFUSG24982.1.p1, OFUSG22806.1.p1, OFUSG15814.1.p1, OFUSG04509.1.p1, OFUSG25030.1.p1, OFUSG08716.1.p1, OFUSG23811.1.p1, OFUSG07410.1.p1, OFUSG07411.1.p1, OFUSG02117.1.p1, OFUSG04992.1.p1, OFUSG04993.1.p1, OFUSG22113.1.p1, OFUSG23954.1.p1, OFUSG23953.1.p1, OFUSG15116.1.p1, OFUSG02635.1.p1, OFUSG07188.1.p1, OFUSG14518.1.p1, OFUSG06741.1.p1, OFUSG04994.1.p1, OFUSG10925.1.p1
OG0000026	ORYLA19214	OFUSG02974.1.p1
OG0000026	ORYLA09539	OFUSG26427.1.p1
OG0000027	ORYLA07922, ORYLA15904, ORYLA15903	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1
OG0000027	ORYLA04739	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	ORYLA00361, ORYLA01165, ORYLA03205, ORYLA04463	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000029	ORYLA15906	OFUSG16858.1.p1
OG0000030	ORYLA18077	OFUSG16143.1.p1
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	OFUSG04213.1.p1
OG0000030	ORYLA07170	OFUSG21119.1.p1
OG0000030	ORYLA20234	OFUSG12869.1.p1
OG0000030	ORYLA08220	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	ORYLA09861, ORYLA15740	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	ORYLA01770	OFUSG03938.1.p1
OG0000031	ORYLA06561, ORYLA14932	OFUSG09754.1.p1
OG0000031	ORYLA10394, ORYLA11971	OFUSG12627.1.p1
OG0000031	ORYLA04591, ORYLA04917	OFUSG02210.1.p1
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	OFUSG17671.1.p1
OG0000031	ORYLA06390	OFUSG16797.1.p1
OG0000032	ORYLA09076, ORYLA06417	OFUSG07861.1.p1
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	ORYLA15502	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	ORYLA07312	OFUSG08780.1.p1
OG0000034	ORYLA12339, ORYLA14860	OFUSG00313.1.p1
OG0000034	ORYLA19697	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	ORYLA14655	OFUSG09735.1.p1
OG0000035	ORYLA16101	OFUSG16461.1.p1
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	OFUSG09470.1.p1
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	OFUSG07851.1.p1
OG0000035	ORYLA11278, ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	ORYLA14782, ORYLA12073, ORYLA12074	OFUSG23601.1.p1
OG0000035	ORYLA17117, ORYLA14783	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184	OFUSG05112.1.p1
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	ORYLA20440, ORYLA11184	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	ORYLA12571	OFUSG05272.1.p1
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	OFUSG13518.1.p1
OG0000037	ORYLA04725	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	ORYLA16079	OFUSG06853.1.p1
OG0000038	ORYLA16179	OFUSG15211.1.p1
OG0000038	ORYLA08393, ORYLA09754	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	ORYLA07496	OFUSG13129.1.p1, OFUSG05314.1.p1
OG0000039	ORYLA16124	OFUSG11857.1.p1
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000040	ORYLA18356	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1
OG0000041	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	OFUSG07896.1.p1
OG0000041	ORYLA13695, ORYLA09068	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000044	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800	OFUSG03166.1.p1
OG0000045	ORYLA09209	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
OG0000046	ORYLA00520	OFUSG14160.1.p1
OG0000046	ORYLA18815, ORYLA05911	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
OG0000048	ORYLA19472	OFUSG03456.1.p1
OG0000048	ORYLA17217	OFUSG15705.1.p1
OG0000048	ORYLA14101	OFUSG19541.1.p1
OG0000048	ORYLA14965, ORYLA19631	OFUSG11584.1.p1
OG0000048	ORYLA08002	OFUSG11587.1.p1
OG0000048	ORYLA11420	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	ORYLA15054	OFUSG04756.1.p1
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	OFUSG00390.1.p1
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	OFUSG06038.1.p1
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1
OG0000054	ORYLA00519	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	ORYLA05953	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	OFUSG17281.1.p1
OG0000056	ORYLA17860	OFUSG00880.1.p1, OFUSG00880.2.p1
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	OFUSG18495.1.p1
OG0000057	ORYLA13554, ORYLA12219	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	OFUSG18325.1.p1
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000059	ORYLA04242	OFUSG21274.1.p1
OG0000060	ORYLA01946, ORYLA04743	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1
OG0000061	ORYLA07060, ORYLA08273	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000062	ORYLA03553	OFUSG19725.1.p1, OFUSG05205.1.p1
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	ORYLA10585, ORYLA11804	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000065	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1, OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1
OG0000066	ORYLA06398	OFUSG23527.1.p1
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1
OG0000068	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852	OFUSG19455.1.p1
OG0000070	ORYLA11329, ORYLA09412	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1
OG0000070	ORYLA16519, ORYLA20376	OFUSG12713.1.p1
OG0000071	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716	OFUSG13633.1.p1, OFUSG18328.1.p1
OG0000071	ORYLA02280, ORYLA18954	OFUSG08108.1.p1
OG0000072	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	OFUSG02679.1.p1, OFUSG02679.2.p1
OG0000072	ORYLA20464	OFUSG03079.1.p1
OG0000073	ORYLA06148, ORYLA06147	OFUSG09086.1.p1, OFUSG00356.1.p1, OFUSG20720.1.p1
