Orthogroup	ORYLA	AMPFI_ok
OG0000018	ORYLA02836, ORYLA14501	AMPFI_04983, AMPFI_11059, AMPFI_23717, AMPFI_12063, AMPFI_02180, AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	AMPFI_12214, AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	AMPFI_01264, AMPFI_06523
OG0000020	ORYLA12531	AMPFI_07852
OG0000020	ORYLA15493	AMPFI_03773
OG0000020	ORYLA10559	AMPFI_19334
OG0000020	ORYLA06663	AMPFI_23773
OG0000020	ORYLA16080	AMPFI_11019
OG0000020	ORYLA09855	AMPFI_06907
OG0000020	ORYLA06900, ORYLA09950	AMPFI_24792
OG0000020	ORYLA06780	AMPFI_07932
OG0000020	ORYLA01097, ORYLA00349	AMPFI_12343
OG0000020	ORYLA15647	AMPFI_25813
OG0000020	ORYLA00902	AMPFI_21494
OG0000020	ORYLA02546	AMPFI_07388
OG0000020	ORYLA06519	AMPFI_13969
OG0000021	ORYLA15878, ORYLA14141, ORYLA20191, ORYLA19977, ORYLA13759, ORYLA13761, ORYLA08737, ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905	AMPFI_08825
OG0000021	ORYLA12092, ORYLA14389	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	ORYLA06753	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	ORYLA08126	AMPFI_05477
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	AMPFI_23545, AMPFI_16144, AMPFI_01273, AMPFI_25554, AMPFI_08066, AMPFI_11543, AMPFI_01250, AMPFI_09417, AMPFI_01930, AMPFI_21703, AMPFI_25509, AMPFI_16691, AMPFI_22586, AMPFI_22782, AMPFI_13034, AMPFI_08529, AMPFI_11032, AMPFI_09766, AMPFI_20328, AMPFI_11488, AMPFI_14597, AMPFI_06959, AMPFI_07236, AMPFI_06755, AMPFI_03338, AMPFI_12963, AMPFI_15605, AMPFI_06015, AMPFI_05885, AMPFI_01680, AMPFI_19467, AMPFI_08281, AMPFI_06875, AMPFI_14904, AMPFI_08222, AMPFI_10693, AMPFI_13114, AMPFI_24998, AMPFI_12201, AMPFI_14926, AMPFI_12067, AMPFI_16824, AMPFI_25046, AMPFI_12131, AMPFI_11822, AMPFI_24855, AMPFI_01019, AMPFI_14888, AMPFI_01380, AMPFI_07327, AMPFI_03050, AMPFI_12003, AMPFI_04946, AMPFI_17149, AMPFI_06930, AMPFI_01987, AMPFI_25530, AMPFI_19893, AMPFI_18607, AMPFI_04889, AMPFI_22182, AMPFI_24167, AMPFI_19324, AMPFI_19493, AMPFI_23479, AMPFI_06754, AMPFI_02116
OG0000024	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747	AMPFI_22635, AMPFI_19020, AMPFI_24666
OG0000024	ORYLA12762	AMPFI_12622, AMPFI_08274, AMPFI_13320, AMPFI_18394, AMPFI_01428
OG0000024	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498	AMPFI_08187, AMPFI_00910, AMPFI_05089, AMPFI_22388, AMPFI_12431, AMPFI_12438, AMPFI_03520, AMPFI_24082, AMPFI_14110, AMPFI_07368, AMPFI_00973, AMPFI_07770, AMPFI_22507, AMPFI_01046, AMPFI_13085
OG0000026	ORYLA19214	AMPFI_09960, AMPFI_03858, AMPFI_13122
OG0000026	ORYLA09539	AMPFI_01077, AMPFI_16904
OG0000028	ORYLA00361, ORYLA01165, ORYLA03205, ORYLA04463	AMPFI_19162
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	ORYLA18077	AMPFI_02183
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	AMPFI_03176
OG0000031	ORYLA09861, ORYLA15740	AMPFI_06256
OG0000031	ORYLA01770	AMPFI_14304
OG0000031	ORYLA06561	AMPFI_10484
OG0000031	ORYLA10394, ORYLA11971	AMPFI_01333
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	AMPFI_05075
OG0000031	ORYLA09501, ORYLA00346	AMPFI_10833
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	AMPFI_02985
OG0000031	ORYLA06240	AMPFI_03768
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	ORYLA15502	AMPFI_03594
OG0000032	ORYLA06416	AMPFI_22327
OG0000033	ORYLA01373	AMPFI_23484, AMPFI_05216, AMPFI_19595, AMPFI_18759, AMPFI_23966, AMPFI_19067, AMPFI_17279
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	AMPFI_00398
OG0000035	ORYLA16101	AMPFI_17275
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	AMPFI_20705
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	AMPFI_13261
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	AMPFI_12878
OG0000035	ORYLA17117, ORYLA14783	AMPFI_11303
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	AMPFI_11948
OG0000036	ORYLA20440, ORYLA11184	AMPFI_14775, AMPFI_19912
OG0000036	ORYLA12571	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	AMPFI_11581
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	AMPFI_25668
OG0000038	ORYLA16179	AMPFI_07219, AMPFI_22293
OG0000039	ORYLA07496	AMPFI_15658
OG0000039	ORYLA16124	AMPFI_17373
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	ORYLA04846, ORYLA04844	AMPFI_24657
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	AMPFI_02741
OG0000043	ORYLA03388	AMPFI_04816
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	AMPFI_13059
OG0000044	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800	AMPFI_10491
OG0000044	ORYLA05174	AMPFI_03703, AMPFI_04838
OG0000045	ORYLA09209	AMPFI_25297
OG0000046	ORYLA00520	AMPFI_02275, AMPFI_17068
OG0000048	ORYLA17217	AMPFI_06745
OG0000048	ORYLA14101	AMPFI_01185
OG0000048	ORYLA08002	AMPFI_22758
OG0000048	ORYLA11420	AMPFI_10591, AMPFI_13556
OG0000048	ORYLA15054	AMPFI_08767
OG0000051	ORYLA05117	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000052	ORYLA03847, ORYLA07122	AMPFI_19325, AMPFI_18674, AMPFI_10009, AMPFI_13726, AMPFI_09858
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	AMPFI_21466, AMPFI_03992, AMPFI_08051, AMPFI_08453, AMPFI_20482, AMPFI_04772, AMPFI_23811, AMPFI_23812, AMPFI_06573, AMPFI_21766, AMPFI_02333, AMPFI_17383, AMPFI_21399, AMPFI_24133, AMPFI_17342, AMPFI_21992, AMPFI_16769, AMPFI_22231, AMPFI_00841, AMPFI_00866, AMPFI_17846, AMPFI_14084, AMPFI_00993, AMPFI_18023, AMPFI_01543, AMPFI_03740, AMPFI_11225, AMPFI_22096, AMPFI_23207, AMPFI_10690, AMPFI_17523, AMPFI_09055, AMPFI_22969, AMPFI_16643, AMPFI_18443, AMPFI_21368, AMPFI_24630, AMPFI_04652, AMPFI_10912, AMPFI_12754, AMPFI_13833, AMPFI_12690, AMPFI_19427, AMPFI_04582, AMPFI_02325, AMPFI_23491, AMPFI_05841, AMPFI_24118, AMPFI_20511, AMPFI_08366, AMPFI_13707, AMPFI_14605, AMPFI_11434, AMPFI_03965, AMPFI_20512, AMPFI_13505, AMPFI_14163, AMPFI_22708, AMPFI_14350, AMPFI_13327, AMPFI_07170, AMPFI_10973, AMPFI_20869, AMPFI_16702, AMPFI_09892, AMPFI_19128, AMPFI_20552, AMPFI_11422, AMPFI_14308, AMPFI_23326, AMPFI_26035, AMPFI_26036, AMPFI_25837, AMPFI_15131, AMPFI_22887, AMPFI_01500, AMPFI_15808, AMPFI_17260, AMPFI_19129, AMPFI_08539, AMPFI_05522, AMPFI_07759, AMPFI_08299, AMPFI_14894, AMPFI_15691, AMPFI_21569, AMPFI_07204, AMPFI_13487, AMPFI_15398, AMPFI_17200, AMPFI_01100, AMPFI_22535, AMPFI_20388, AMPFI_08105, AMPFI_19421, AMPFI_18413, AMPFI_04515, AMPFI_12378, AMPFI_13504, AMPFI_11435, AMPFI_04528, AMPFI_18268, AMPFI_20266, AMPFI_10566, AMPFI_08584, AMPFI_10936, AMPFI_03061
OG0000054	ORYLA00519	AMPFI_10274
OG0000054	ORYLA05953	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	AMPFI_10015
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	AMPFI_01580, AMPFI_02256
OG0000057	ORYLA13554, ORYLA12219	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000060	ORYLA01946, ORYLA04743	AMPFI_23758
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	ORYLA10585, ORYLA11804	AMPFI_05434
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	AMPFI_21664
OG0000066	ORYLA06398	AMPFI_09400
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	ORYLA16122	AMPFI_11929
OG0000068	ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852	AMPFI_04870
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	AMPFI_26076
OG0000072	ORYLA20464	AMPFI_21820
OG0000073	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725	AMPFI_10119
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000074	ORYLA15428	AMPFI_19564
OG0000075	ORYLA08229, ORYLA07050	AMPFI_17345, AMPFI_17344
OG0000075	ORYLA10050	AMPFI_12462
OG0000075	ORYLA15750	AMPFI_03839
OG0000075	ORYLA05870, ORYLA14226	AMPFI_10510
OG0000075	ORYLA10049, ORYLA15751	AMPFI_15829
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	AMPFI_15139
OG0000075	ORYLA11054, ORYLA15824	AMPFI_15917
OG0000075	ORYLA19688	AMPFI_17574
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	AMPFI_09380
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	AMPFI_24805
OG0000079	ORYLA13165	AMPFI_06359, AMPFI_07521
OG0000082	ORYLA02580	AMPFI_21007
OG0000082	ORYLA01470	AMPFI_06890
OG0000082	ORYLA09330	AMPFI_15952, AMPFI_11015
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	AMPFI_20771
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	AMPFI_09379
OG0000085	ORYLA06168	AMPFI_25819
OG0000085	ORYLA02243, ORYLA05178	AMPFI_04349
OG0000086	ORYLA18822	AMPFI_06308
OG0000087	ORYLA07293	AMPFI_20352
OG0000087	ORYLA15867	AMPFI_08649
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459
OG0000091	ORYLA02531	AMPFI_04685, AMPFI_24623, AMPFI_10622
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	AMPFI_18905, AMPFI_06525
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	AMPFI_12180
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	AMPFI_22693
OG0000096	ORYLA13747, ORYLA08870	AMPFI_24766
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	AMPFI_11230
OG0000096	ORYLA10017	AMPFI_25309
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	AMPFI_13259, AMPFI_24967
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	AMPFI_07962, AMPFI_03629
OG0000100	ORYLA10317	AMPFI_19874, AMPFI_01211
OG0000101	ORYLA12058	AMPFI_17596, AMPFI_21293
OG0000101	ORYLA08387	AMPFI_24234, AMPFI_14741, AMPFI_20349
OG0000101	ORYLA09166, ORYLA09165	AMPFI_14310, AMPFI_02729
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	AMPFI_08160
OG0000102	ORYLA19358, ORYLA00094	AMPFI_04172, AMPFI_16803
OG0000102	ORYLA12106	AMPFI_17450, AMPFI_01439
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	AMPFI_21097
OG0000104	ORYLA03680, ORYLA06072	AMPFI_14148
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	AMPFI_11040
OG0000104	ORYLA03679	AMPFI_02710
OG0000104	ORYLA09408	AMPFI_20370
OG0000104	ORYLA14236, ORYLA14756, ORYLA10856	AMPFI_08614
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282	AMPFI_02407, AMPFI_14321
OG0000106	ORYLA05764, ORYLA14913, ORYLA14914	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000108	ORYLA11649, ORYLA11648, ORYLA16478, ORYLA16477	AMPFI_14479, AMPFI_07737
OG0000108	ORYLA09100, ORYLA03443, ORYLA03444	AMPFI_15531
OG0000108	ORYLA20108, ORYLA16484, ORYLA08061, ORYLA07077, ORYLA15731, ORYLA13754	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071
OG0000113	ORYLA17645, ORYLA13433	AMPFI_03282
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	AMPFI_03529
OG0000116	ORYLA19541	AMPFI_12986
OG0000117	ORYLA15132	AMPFI_05731, AMPFI_15869, AMPFI_04658
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	AMPFI_25431
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	AMPFI_07345, AMPFI_07307
OG0000119	ORYLA09477, ORYLA05169	AMPFI_24152
OG0000120	ORYLA02744, ORYLA02745, ORYLA18396, ORYLA14915	AMPFI_15831
OG0000121	ORYLA19087, ORYLA18511	AMPFI_02289, AMPFI_15541
OG0000121	ORYLA06690, ORYLA06688	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	AMPFI_13850, AMPFI_04566, AMPFI_20620
OG0000122	ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	AMPFI_09948
OG0000123	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949	AMPFI_23454
OG0000123	ORYLA04317, ORYLA01144	AMPFI_03553
OG0000124	ORYLA04499, ORYLA01264	AMPFI_24111
OG0000124	ORYLA16732	AMPFI_07499, AMPFI_07500
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	AMPFI_02885
OG0000124	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516	AMPFI_01689
OG0000125	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368	AMPFI_03211
OG0000125	ORYLA01977, ORYLA08228, ORYLA17147	AMPFI_16776
OG0000125	ORYLA12115	AMPFI_12865
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	AMPFI_13551
OG0000126	ORYLA02839	AMPFI_19122
OG0000126	ORYLA09118	AMPFI_06519
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	AMPFI_19042
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298	AMPFI_23284
OG0000127	ORYLA18247, ORYLA09922	AMPFI_11705
OG0000127	ORYLA05476, ORYLA10382	AMPFI_13476
OG0000127	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240	AMPFI_18794
OG0000128	ORYLA03587	AMPFI_00795
OG0000128	ORYLA06619, ORYLA09314	AMPFI_16622, AMPFI_18803, AMPFI_04850
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	AMPFI_15379
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	AMPFI_05870
OG0000130	ORYLA18984, ORYLA14309, ORYLA14308, ORYLA20195, ORYLA20194, ORYLA20193, ORYLA20192, ORYLA15914, ORYLA15896	AMPFI_19363
OG0000131	ORYLA02651, ORYLA17218	AMPFI_01527, AMPFI_14039, AMPFI_21381
OG0000132	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003
OG0000132	ORYLA08009	AMPFI_25895
OG0000133	ORYLA00265	AMPFI_00173
OG0000133	ORYLA00686, ORYLA17015, ORYLA10172, ORYLA10173, ORYLA00363, ORYLA00362, ORYLA18060, ORYLA18105, ORYLA18069, ORYLA18695, ORYLA09247	AMPFI_13361
OG0000137	ORYLA06196, ORYLA16275	AMPFI_02989
OG0000137	ORYLA11370, ORYLA08706	AMPFI_12246
OG0000138	ORYLA07654	AMPFI_19008, AMPFI_24504, AMPFI_22568
OG0000139	ORYLA03997	AMPFI_23602, AMPFI_03549
OG0000141	ORYLA15273	AMPFI_07634, AMPFI_00765, AMPFI_18896
OG0000145	ORYLA19796	AMPFI_23097
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	AMPFI_01784, AMPFI_00036, AMPFI_00137
OG0000147	ORYLA13100, ORYLA13101	AMPFI_25058
OG0000147	ORYLA18182	AMPFI_22384
OG0000147	ORYLA10192	AMPFI_01359, AMPFI_18115
OG0000148	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171	AMPFI_23558
OG0000148	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722	AMPFI_06814
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	AMPFI_19578, AMPFI_11805
OG0000151	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949	AMPFI_12292
OG0000151	ORYLA01789, ORYLA08191, ORYLA17153, ORYLA15978, ORYLA13920, ORYLA08402, ORYLA09669	AMPFI_07369, AMPFI_13120
OG0000153	ORYLA07634, ORYLA07633, ORYLA07635, ORYLA07636, ORYLA05578, ORYLA05577, ORYLA07896, ORYLA07897, ORYLA07844, ORYLA07894	AMPFI_16848, AMPFI_17135
OG0000155	ORYLA01931, ORYLA05131	AMPFI_11674
OG0000157	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319	AMPFI_07870
OG0000157	ORYLA16681, ORYLA00723	AMPFI_25988
