Orthogroup	ORYLA	BRAFL
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	bflo_15412
OG0000006	ORYLA04691	bflo_10980
OG0000007	ORYLA13334	bflo_13266
OG0000007	ORYLA14937, ORYLA17526	bflo_05651
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	bflo_16444, bflo_15598
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	bflo_25603
OG0000007	ORYLA13596	bflo_25903
OG0000007	ORYLA10719	bflo_10207
OG0000007	ORYLA18472	bflo_23632
OG0000007	ORYLA15197	bflo_13761
OG0000007	ORYLA09030	bflo_13742
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	bflo_13084
OG0000007	ORYLA13010	bflo_16800
OG0000007	ORYLA03471, ORYLA17615	bflo_12369
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	bflo_23309
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	bflo_23091
OG0000007	ORYLA16317	bflo_23283
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	bflo_24497
OG0000007	ORYLA10158, ORYLA04736	bflo_11392
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	bflo_24920
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	bflo_12140
OG0000008	ORYLA18857	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924
OG0000008	ORYLA13726	bflo_11080
OG0000008	ORYLA15397	bflo_20071
OG0000008	ORYLA01552, ORYLA11813	bflo_17599
OG0000010	ORYLA12063, ORYLA05561	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	bflo_00973
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414	bflo_25814, bflo_01084
OG0000010	ORYLA16137, ORYLA14434, ORYLA05941, ORYLA05550, ORYLA20398, ORYLA05923, ORYLA05924, ORYLA14435, ORYLA16136	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213
OG0000010	ORYLA18230	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136
OG0000012	ORYLA07628	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	ORYLA15199	bflo_14731, bflo_13607, bflo_24594
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	ORYLA07442, ORYLA17297, ORYLA15314	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941
OG0000014	ORYLA04835, ORYLA19923	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893
OG0000014	ORYLA15682	bflo_18525, bflo_05141
OG0000014	ORYLA11600, ORYLA01088	bflo_04326, bflo_04339, bflo_04331
OG0000014	ORYLA07812, ORYLA17200	bflo_06816
OG0000015	ORYLA04638	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473
OG0000015	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	bflo_14872
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	bflo_14874
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	ORYLA00030	bflo_12769
OG0000016	ORYLA11245, ORYLA15380	bflo_20387
OG0000018	ORYLA02836, ORYLA14501	bflo_08031
OG0000019	ORYLA16405, ORYLA07040	bflo_04871
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	bflo_26518, bflo_26519, bflo_04870
OG0000020	ORYLA09327	bflo_12668
OG0000020	ORYLA12531	bflo_19465
OG0000020	ORYLA15493	bflo_19726
OG0000020	ORYLA10559	bflo_17473, bflo_27211
OG0000020	ORYLA06663	bflo_24908
OG0000020	ORYLA16080	bflo_12267
OG0000020	ORYLA02155, ORYLA05512	bflo_11497
OG0000020	ORYLA11359	bflo_01316, bflo_26255, bflo_05601
OG0000020	ORYLA19795	bflo_24504, bflo_09206, bflo_24474
OG0000020	ORYLA06900	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	ORYLA16727	bflo_23109, bflo_01292
OG0000020	ORYLA06780	bflo_16368
OG0000020	ORYLA01097, ORYLA00349	bflo_14118
OG0000020	ORYLA00902	bflo_07448
OG0000020	ORYLA02546	bflo_14450
OG0000020	ORYLA06519	bflo_00687
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	bflo_11723
OG0000021	ORYLA15878, ORYLA14141, ORYLA20191, ORYLA19977, ORYLA13759, ORYLA13761, ORYLA08737, ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905	bflo_11166, bflo_11165, bflo_11164
OG0000021	ORYLA12641, ORYLA05479	bflo_12821
OG0000021	ORYLA03698, ORYLA17601	bflo_20935
OG0000021	ORYLA04373	bflo_20505, bflo_09681
OG0000021	ORYLA12092	bflo_27402, bflo_22537
OG0000021	ORYLA14389	bflo_22539, bflo_22305
OG0000021	ORYLA06753	bflo_14957, bflo_14617, bflo_14568
OG0000021	ORYLA04245	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000023	ORYLA08126	bflo_10816, bflo_10061
OG0000023	ORYLA02861, ORYLA18687	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512
OG0000023	ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	bflo_20456
OG0000023	ORYLA03601	bflo_20896
OG0000023	ORYLA14352, ORYLA16095	bflo_10033, bflo_02724, bflo_02807
OG0000026	ORYLA09539	bflo_26853, bflo_07376
OG0000027	ORYLA04739	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	ORYLA01165	bflo_15045
OG0000028	ORYLA03205, ORYLA04463	bflo_23186, bflo_23170, bflo_06699, bflo_04841
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959
OG0000028	ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414	bflo_06498, bflo_18107
OG0000028	ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	bflo_25761, bflo_19766, bflo_19099
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	bflo_06341
OG0000029	ORYLA15906	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	ORYLA18077	bflo_05230
OG0000030	ORYLA07170	bflo_25955
OG0000030	ORYLA20234	bflo_23730
OG0000031	ORYLA09861, ORYLA15740	bflo_02624
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	bflo_02501
OG0000031	ORYLA01770	bflo_02849
OG0000031	ORYLA06561	bflo_06021
OG0000031	ORYLA14932	bflo_25562
OG0000031	ORYLA10394, ORYLA11971	bflo_06369
OG0000031	ORYLA14237, ORYLA15433	bflo_11397
OG0000031	ORYLA04591, ORYLA04917	bflo_15458
OG0000031	ORYLA09501, ORYLA00346	bflo_15459
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	bflo_02405
OG0000032	ORYLA09076, ORYLA06417	bflo_12824, bflo_01429
OG0000032	ORYLA15502	bflo_23561, bflo_23038, bflo_01635
OG0000032	ORYLA06416	bflo_01430
OG0000033	ORYLA01373	bflo_26002, bflo_04544, bflo_00163, bflo_06741, bflo_17809, bflo_03709, bflo_11321, bflo_11329, bflo_03793, bflo_19957, bflo_22799, bflo_18950, bflo_24853, bflo_19052, bflo_18243, bflo_00552, bflo_07886, bflo_24852, bflo_17791
OG0000034	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781	bflo_20326
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	bflo_03308, bflo_13145
OG0000034	ORYLA07312	bflo_05871
OG0000034	ORYLA12339, ORYLA14860	bflo_03310
OG0000034	ORYLA19697	bflo_07712, bflo_08443
OG0000034	ORYLA14655	bflo_03379
OG0000035	ORYLA16101	bflo_02157
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	bflo_10385
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	bflo_09462
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	bflo_09767, bflo_09277
OG0000035	ORYLA17117, ORYLA14783	bflo_10386
OG0000036	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	ORYLA15615, ORYLA15153	bflo_13764, bflo_12886
OG0000036	ORYLA07495, ORYLA20280, ORYLA12724	bflo_13765, bflo_13767, bflo_03188
OG0000036	ORYLA20440, ORYLA11184	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	ORYLA12571	bflo_12806, bflo_12805
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	bflo_18550, bflo_02879
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	bflo_10999
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	bflo_01343, bflo_01342
OG0000037	ORYLA04725	bflo_10180
OG0000038	ORYLA16179	bflo_04809
OG0000038	ORYLA08393, ORYLA09754	bflo_18855
OG0000039	ORYLA07496	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	ORYLA16124	bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	bflo_15832
OG0000040	ORYLA04846, ORYLA04844	bflo_18133
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	bflo_05956
OG0000042	ORYLA12797, ORYLA10877, ORYLA10878	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903
OG0000043	ORYLA03388	bflo_19214
OG0000044	ORYLA05288	bflo_07748
OG0000044	ORYLA05174	bflo_21420, bflo_01236, bflo_12257
OG0000045	ORYLA09208, ORYLA09207	bflo_20899, bflo_17244
OG0000045	ORYLA09209	bflo_01071
OG0000045	ORYLA02913	bflo_03910
OG0000046	ORYLA00520	bflo_09128, bflo_05621
OG0000046	ORYLA18815, ORYLA05911	bflo_12973, bflo_25564, bflo_11116, bflo_21984
OG0000048	ORYLA19472	bflo_15152
OG0000048	ORYLA14101	bflo_07462
OG0000048	ORYLA19631	bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902
OG0000048	ORYLA08002	bflo_17669
OG0000048	ORYLA11420	bflo_20353
OG0000048	ORYLA15054	bflo_12849
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	bflo_17665
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	bflo_12099
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	bflo_12470, bflo_11081
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	bflo_17096, bflo_11847
OG0000051	ORYLA05117	bflo_18195, bflo_17371
OG0000052	ORYLA03847, ORYLA07122	bflo_27040
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	bflo_19802, bflo_01398, bflo_21080, bflo_05328, bflo_02741, bflo_00114, bflo_05170, bflo_09046, bflo_09710, bflo_00584, bflo_04449, bflo_01355
OG0000053	ORYLA12857	bflo_21932, bflo_21926, bflo_18879, bflo_19026
OG0000054	ORYLA00519	bflo_04388
OG0000054	ORYLA05953	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	bflo_23399
OG0000056	ORYLA07324, ORYLA00315	bflo_25516
OG0000056	ORYLA17860	bflo_15952
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000058	ORYLA11907	bflo_09144
OG0000058	ORYLA18104	bflo_23140
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000058	ORYLA00576, ORYLA16972	bflo_23048, bflo_23141
OG0000058	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068	bflo_23142, bflo_24605, bflo_23135, bflo_23136
OG0000059	ORYLA07253, ORYLA03181, ORYLA04042	bflo_15172
OG0000059	ORYLA09176	bflo_21855
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	bflo_13996, bflo_14747
OG0000060	ORYLA01946, ORYLA04743	bflo_01659, bflo_06661
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	bflo_01384
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	bflo_18545
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058	bflo_19266, bflo_18688, bflo_18686, bflo_18896
OG0000061	ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	bflo_18999, bflo_19344
OG0000061	ORYLA07060, ORYLA08273	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	bflo_17250, bflo_01624
OG0000062	ORYLA10585, ORYLA11804	bflo_13529
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	ORYLA06398	bflo_04761, bflo_11842
OG0000067	ORYLA02381	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936
OG0000068	ORYLA16122	bflo_12120
OG0000069	ORYLA03855	bflo_23212
OG0000069	ORYLA04394	bflo_01849
OG0000069	ORYLA00227, ORYLA00099, ORYLA00041	bflo_17459
OG0000069	ORYLA08015	bflo_05168, bflo_23210
OG0000069	ORYLA00084	bflo_26399, bflo_00093, bflo_25960, bflo_25962
OG0000069	ORYLA03826	bflo_07771
OG0000070	ORYLA11329, ORYLA09412	bflo_17097, bflo_18391, bflo_18274
OG0000070	ORYLA07085, ORYLA17312	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235
OG0000071	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716	bflo_24861
OG0000072	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070	bflo_14354
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	bflo_14484, bflo_04637
OG0000072	ORYLA20464	bflo_14474
OG0000073	ORYLA06148, ORYLA06147	bflo_23562
OG0000073	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725	bflo_15886
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431	bflo_10921
OG0000075	ORYLA08229, ORYLA07050	bflo_02192
OG0000075	ORYLA10050	bflo_02500
OG0000075	ORYLA15750	bflo_02607
OG0000075	ORYLA05870, ORYLA14226	bflo_24625
OG0000075	ORYLA04438	bflo_21844
OG0000075	ORYLA10049, ORYLA15751	bflo_02487
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	bflo_12189
OG0000075	ORYLA11054, ORYLA15824	bflo_11040
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	bflo_12166
OG0000075	ORYLA19688	bflo_11652
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	bflo_09725
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	bflo_18777, bflo_23174
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	bflo_00523
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	bflo_07371
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	bflo_20026
OG0000079	ORYLA13165	bflo_01658
OG0000080	ORYLA09642, ORYLA12801	bflo_20693, bflo_04566
OG0000081	ORYLA17325, ORYLA13622, ORYLA13621, ORYLA13623, ORYLA12409, ORYLA04160, ORYLA09392	bflo_25900, bflo_13564, bflo_13563
OG0000082	ORYLA02580	bflo_15900
OG0000082	ORYLA01470	bflo_04889
OG0000082	ORYLA09330	bflo_00187
OG0000083	ORYLA04024, ORYLA20424	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676	bflo_10754
OG0000084	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505	bflo_08430
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	bflo_00992
OG0000085	ORYLA06168	bflo_12569
OG0000085	ORYLA01458, ORYLA09387, ORYLA11376	bflo_17482
OG0000085	ORYLA02607, ORYLA17633, ORYLA03741	bflo_20149
OG0000085	ORYLA02243, ORYLA05178	bflo_18272, bflo_18210
OG0000087	ORYLA07293	bflo_21260
OG0000087	ORYLA15868, ORYLA15867	bflo_11911
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	bflo_17962, bflo_17832, bflo_01283, bflo_21188
OG0000090	ORYLA02080, ORYLA06082	bflo_16621
OG0000090	ORYLA01746, ORYLA06194	bflo_02393
OG0000091	ORYLA02531	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396
OG0000093	ORYLA18669	bflo_08402, bflo_20451
OG0000093	ORYLA15023, ORYLA11108, ORYLA13845	bflo_26066, bflo_22106, bflo_08411, bflo_26076
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	bflo_11484
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	bflo_21246, bflo_21213
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	bflo_11038
OG0000096	ORYLA13747, ORYLA08870	bflo_17838
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	bflo_24085, bflo_09131
OG0000096	ORYLA12353, ORYLA17186	bflo_03032
