Orthogroup	ORYLA	CAPO3
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922, ORYLA07170, ORYLA04224, ORYLA03718, ORYLA07582, ORYLA07744, ORYLA16997, ORYLA20234, ORYLA08220, ORYLA10728	CAPO305356, CAPO301638, CAPO307563
OG0000031	ORYLA10394, ORYLA11971	CAPO303729
OG0000031	ORYLA14237, ORYLA15433	CAPO302122
OG0000035	ORYLA16101, ORYLA17474, ORYLA12588, ORYLA14952, ORYLA11104, ORYLA14870, ORYLA12119, ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216, ORYLA11278, ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268, ORYLA14782, ORYLA12073, ORYLA12074, ORYLA17117, ORYLA14783	CAPO307346, CAPO308354
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	CAPO306958, CAPO306959
OG0000041	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677, ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118, ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	CAPO308025, CAPO306861
OG0000043	ORYLA04209, ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854	CAPO308256
OG0000048	ORYLA19472	CAPO305301
OG0000048	ORYLA15054	CAPO304823
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584, ORYLA13704, ORYLA13828, ORYLA15018, ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871, ORYLA14190, ORYLA14191, ORYLA11029	CAPO304018
OG0000051	ORYLA05117	CAPO307809, CAPO301249
OG0000054	ORYLA00519	CAPO302015
OG0000054	ORYLA05953, ORYLA08804	CAPO303797
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077, ORYLA17860	CAPO305974, CAPO306012, CAPO306941
OG0000058	ORYLA18104	CAPO307225
OG0000060	ORYLA01946, ORYLA04743, ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	CAPO305373
OG0000062	ORYLA03553, ORYLA18121, ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500, ORYLA19830, ORYLA18157, ORYLA05590, ORYLA05591, ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546, ORYLA10585, ORYLA11804, ORYLA18499	CAPO300910
OG0000063	ORYLA07168, ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933, ORYLA19987, ORYLA10868, ORYLA20199, ORYLA14082, ORYLA04940, ORYLA08134	CAPO300270
OG0000066	ORYLA06398	CAPO308057
OG0000069	ORYLA08015	CAPO301523, CAPO305173
OG0000082	ORYLA02580	CAPO304738
OG0000082	ORYLA01470	CAPO306626
OG0000082	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560	CAPO300843
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	CAPO303061
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606, ORYLA17874, ORYLA07935, ORYLA06168, ORYLA01458, ORYLA09387, ORYLA11376, ORYLA17935, ORYLA02607, ORYLA17633, ORYLA03741, ORYLA08526, ORYLA02243, ORYLA05178	CAPO303047
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	CAPO300386, CAPO300810, CAPO302098
OG0000091	ORYLA02531	CAPO301134
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	CAPO301431
OG0000096	ORYLA13747, ORYLA08870	CAPO307955
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	CAPO300294
OG0000096	ORYLA12353, ORYLA17186, ORYLA10017	CAPO307017
OG0000101	ORYLA12058, ORYLA08387, ORYLA09166, ORYLA09165, ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	CAPO306858
OG0000103	ORYLA18349, ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966, ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	CAPO302453
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282, ORYLA06794, ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914	CAPO300017
OG0000107	ORYLA18785	CAPO301524
OG0000110	ORYLA04051, ORYLA04053, ORYLA04052, ORYLA03470	CAPO300387
OG0000116	ORYLA19541	CAPO305622
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823, ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654, ORYLA09477, ORYLA05169	CAPO304642
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471, ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	CAPO307824
OG0000124	ORYLA16732	CAPO304324
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	CAPO302553
OG0000126	ORYLA10750, ORYLA01228, ORYLA13510	CAPO301836
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	CAPO302484
OG0000126	ORYLA02839	CAPO306676
OG0000126	ORYLA09118, ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	CAPO300572
OG0000128	ORYLA17289, ORYLA03587	CAPO306991, CAPO304956
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766, ORYLA18999, ORYLA18998, ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452, ORYLA03371, ORYLA06890	CAPO303361
OG0000132	ORYLA13789	CAPO305174
OG0000137	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560, ORYLA20491, ORYLA06196, ORYLA16275, ORYLA11370, ORYLA08706	CAPO305369
OG0000142	ORYLA08857, ORYLA18004, ORYLA10671, ORYLA16620, ORYLA01917, ORYLA05889, ORYLA06988, ORYLA13949	CAPO302031, CAPO302030
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	CAPO308132
OG0000147	ORYLA05214, ORYLA18182, ORYLA10192	CAPO304230
OG0000149	ORYLA17290, ORYLA17651, ORYLA17652, ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319, ORYLA19729	CAPO305206, CAPO306214
OG0000157	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319, ORYLA02473, ORYLA17522, ORYLA02474	CAPO305956
OG0000157	ORYLA16681, ORYLA00723	CAPO302981
OG0000157	ORYLA15668, ORYLA19374, ORYLA02711, ORYLA13713, ORYLA15077, ORYLA11173, ORYLA15669, ORYLA13712, ORYLA15189, ORYLA12434	CAPO305824
OG0000158	ORYLA13317, ORYLA13316, ORYLA00712	CAPO302924
OG0000160	ORYLA15840	CAPO301680
OG0000167	ORYLA20275, ORYLA20276, ORYLA15498, ORYLA06766, ORYLA11713, ORYLA10617, ORYLA10277, ORYLA11948, ORYLA02111, ORYLA16156, ORYLA14005, ORYLA07114, ORYLA09226, ORYLA11938	CAPO301364, CAPO303476
OG0000171	ORYLA17814, ORYLA02334, ORYLA08117, ORYLA10775, ORYLA01499, ORYLA17815, ORYLA03475, ORYLA11273, ORYLA07855, ORYLA00842, ORYLA07412, ORYLA00507	CAPO304813
OG0000174	ORYLA18569, ORYLA09218, ORYLA19814, ORYLA10779, ORYLA06450, ORYLA09402	CAPO304629
OG0000175	ORYLA06318	CAPO303513
OG0000175	ORYLA14503, ORYLA14504	CAPO303920
OG0000179	ORYLA02338, ORYLA18117	CAPO300694
OG0000179	ORYLA18062, ORYLA18061, ORYLA14649	CAPO303342
OG0000181	ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335	CAPO301108
OG0000181	ORYLA19060, ORYLA03346	CAPO307692
OG0000181	ORYLA11594	CAPO300374
OG0000183	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092	CAPO305638
OG0000183	ORYLA03426, ORYLA09404, ORYLA03815	CAPO305829
OG0000184	ORYLA13442, ORYLA13444, ORYLA13443	CAPO304928
OG0000192	ORYLA16694	CAPO301980
OG0000193	ORYLA02650, ORYLA17280, ORYLA18753, ORYLA17279, ORYLA04135, ORYLA19839	CAPO302628
OG0000194	ORYLA03335, ORYLA10209, ORYLA09317	CAPO305195
OG0000195	ORYLA09172, ORYLA07416	CAPO305454
OG0000201	ORYLA16516, ORYLA00614, ORYLA00794, ORYLA17010	CAPO307729
OG0000203	ORYLA19611, ORYLA02186, ORYLA05651, ORYLA02226, ORYLA03787, ORYLA06336, ORYLA13132, ORYLA15645, ORYLA15587, ORYLA01442, ORYLA01434, ORYLA01433, ORYLA06100, ORYLA15574, ORYLA15575	CAPO302139
OG0000204	ORYLA19568, ORYLA14989, ORYLA12052, ORYLA10864, ORYLA14833, ORYLA12329, ORYLA11040, ORYLA14829, ORYLA10865, ORYLA12759, ORYLA14834	CAPO303090
OG0000207	ORYLA12926, ORYLA15852, ORYLA20450, ORYLA04172, ORYLA06174, ORYLA15820	CAPO304105, CAPO304106, CAPO304714
OG0000211	ORYLA03809, ORYLA03810, ORYLA05322, ORYLA04972, ORYLA14089, ORYLA02476, ORYLA17530, ORYLA18617, ORYLA15118, ORYLA12450	CAPO306209
OG0000218	ORYLA15885	CAPO300559
OG0000220	ORYLA06609, ORYLA09295, ORYLA00491, ORYLA02670, ORYLA08075, ORYLA04983, ORYLA02915	CAPO306780, CAPO307695
OG0000221	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056, ORYLA03306, ORYLA16226, ORYLA13864, ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468	CAPO300247
OG0000221	ORYLA14776	CAPO308272, CAPO301991, CAPO300059
OG0000222	ORYLA03527, ORYLA14496, ORYLA13104, ORYLA13105	CAPO304211
OG0000223	ORYLA10038, ORYLA11518, ORYLA07266, ORYLA07818, ORYLA05006	CAPO308126
OG0000225	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507	CAPO305347
OG0000226	ORYLA08515	CAPO306934
OG0000234	ORYLA13000, ORYLA14105, ORYLA12637, ORYLA05772, ORYLA01693, ORYLA11249, ORYLA14751	CAPO301359
OG0000238	ORYLA07768	CAPO305428
OG0000239	ORYLA16412, ORYLA07887, ORYLA08904, ORYLA06616, ORYLA09375, ORYLA08385, ORYLA11432, ORYLA10759, ORYLA19462, ORYLA07829, ORYLA05627, ORYLA01800	CAPO302089
OG0000240	ORYLA18684	CAPO303214
OG0000242	ORYLA20204, ORYLA11050	CAPO304847
OG0000244	ORYLA15688, ORYLA14426, ORYLA14594, ORYLA19522, ORYLA15434, ORYLA12391, ORYLA01756, ORYLA15173, ORYLA19456, ORYLA08925, ORYLA08923, ORYLA08924	CAPO301556
OG0000246	ORYLA16344, ORYLA17250	CAPO303496
OG0000248	ORYLA10227, ORYLA19716, ORYLA01732, ORYLA06052, ORYLA06051	CAPO307635, CAPO302481, CAPO302487
OG0000250	ORYLA16891	CAPO305827
OG0000255	ORYLA04331	CAPO301531
OG0000255	ORYLA12113	CAPO300499
OG0000256	ORYLA02742, ORYLA16602, ORYLA00877	CAPO307884
OG0000256	ORYLA19550, ORYLA12202, ORYLA14805, ORYLA12201	CAPO306483
OG0000257	ORYLA07342, ORYLA19508, ORYLA14895, ORYLA12185, ORYLA11428, ORYLA00194, ORYLA04615, ORYLA01083, ORYLA04202	CAPO300414
OG0000258	ORYLA13731, ORYLA14055, ORYLA11238, ORYLA10418, ORYLA04818, ORYLA08148	CAPO301746
OG0000260	ORYLA10907, ORYLA18428, ORYLA15874	CAPO300399
OG0000265	ORYLA12872, ORYLA06630, ORYLA16609, ORYLA00871, ORYLA18135, ORYLA02583	CAPO306126
OG0000265	ORYLA17739, ORYLA10912, ORYLA14726	CAPO306540
OG0000271	ORYLA19394, ORYLA07853, ORYLA07854, ORYLA16440, ORYLA12237, ORYLA01772, ORYLA18841, ORYLA19666, ORYLA08907, ORYLA06205	CAPO304641
OG0000273	ORYLA13171	CAPO305109
OG0000273	ORYLA17595	CAPO300804
OG0000273	ORYLA11307	CAPO306869
OG0000277	ORYLA07913, ORYLA13592, ORYLA17906	CAPO303621
OG0000277	ORYLA04770, ORYLA02631, ORYLA17515, ORYLA01293	CAPO301295
OG0000278	ORYLA02326	CAPO300620
OG0000278	ORYLA13179	CAPO305822
OG0000278	ORYLA04766	CAPO302023
OG0000278	ORYLA17596	CAPO305864
OG0000282	ORYLA00210, ORYLA09022, ORYLA18951, ORYLA04706, ORYLA01496, ORYLA04826	CAPO308183
OG0000284	ORYLA20455, ORYLA00383	CAPO305695
OG0000285	ORYLA18449, ORYLA08261	CAPO303377
OG0000288	ORYLA16173, ORYLA06317, ORYLA14637, ORYLA12168, ORYLA08853	CAPO305142
OG0000289	ORYLA05120, ORYLA13565, ORYLA06948, ORYLA17464, ORYLA12957, ORYLA11776	CAPO307835
OG0000295	ORYLA03631, ORYLA16746, ORYLA00613	CAPO302113, CAPO302799
OG0000299	ORYLA14209, ORYLA06308, ORYLA15623, ORYLA02095, ORYLA02094, ORYLA05585, ORYLA11794	CAPO306599
OG0000305	ORYLA05505	CAPO307183
OG0000306	ORYLA04450, ORYLA08161, ORYLA04852, ORYLA02312, ORYLA17215, ORYLA00329, ORYLA19413	CAPO308212
OG0000308	ORYLA08644, ORYLA03830, ORYLA03011	CAPO304037
OG0000310	ORYLA09618	CAPO305978
OG0000312	ORYLA20410, ORYLA04032	CAPO302691
OG0000313	ORYLA07713, ORYLA09993, ORYLA12846, ORYLA05854	CAPO307072
OG0000314	ORYLA17105, ORYLA17107, ORYLA07735, ORYLA16991, ORYLA16992, ORYLA16282, ORYLA05811	CAPO304303
OG0000315	ORYLA10390, ORYLA03355	CAPO307611
OG0000315	ORYLA14332, ORYLA10891	CAPO308167
OG0000319	ORYLA07102, ORYLA17421, ORYLA02486, ORYLA17422	CAPO303225
OG0000321	ORYLA04617	CAPO307156
OG0000322	ORYLA02330, ORYLA02329, ORYLA17228, ORYLA02554, ORYLA02714, ORYLA11174	CAPO306406
OG0000326	ORYLA13891, ORYLA06903, ORYLA03641, ORYLA04182	CAPO308358, CAPO307947
OG0000326	ORYLA13893	CAPO303322
OG0000327	ORYLA14175, ORYLA16012, ORYLA16011, ORYLA14173, ORYLA14174	CAPO308120
OG0000334	ORYLA17002	CAPO300337
OG0000335	ORYLA03866, ORYLA03867, ORYLA03868	CAPO307753
OG0000338	ORYLA03979, ORYLA03456, ORYLA02319, ORYLA17367, ORYLA06348, ORYLA01999, ORYLA20309, ORYLA06130	CAPO304735
OG0000339	ORYLA13968	CAPO305264
OG0000343	ORYLA11766, ORYLA05311, ORYLA03936, ORYLA03297	CAPO306429
OG0000345	ORYLA17736, ORYLA03893, ORYLA18632, ORYLA19612, ORYLA01382, ORYLA08221	CAPO300769
OG0000352	ORYLA02626, ORYLA13214, ORYLA13215, ORYLA16805, ORYLA00708, ORYLA00709, ORYLA19045, ORYLA15089	CAPO300356
OG0000357	ORYLA11167, ORYLA14261, ORYLA15724	CAPO301487
OG0000359	ORYLA12664, ORYLA16724	CAPO305417
OG0000359	ORYLA09391, ORYLA16382	CAPO301540
OG0000359	ORYLA01269	CAPO306866
OG0000360	ORYLA09367, ORYLA12791, ORYLA14415	CAPO300757
OG0000364	ORYLA19293	CAPO301330, CAPO300908
OG0000367	ORYLA11251, ORYLA13727, ORYLA14050, ORYLA14306, ORYLA15500, ORYLA07069, ORYLA11818	CAPO301272
OG0000371	ORYLA07825, ORYLA07827, ORYLA07826, ORYLA07824	CAPO307503
OG0000372	ORYLA11902, ORYLA14491, ORYLA16999, ORYLA12426, ORYLA15492, ORYLA11861	CAPO307553
OG0000373	ORYLA17975, ORYLA07919, ORYLA16362, ORYLA10269, ORYLA07659	CAPO301744
OG0000385	ORYLA09843, ORYLA08652, ORYLA05706	CAPO300182, CAPO305781, CAPO305517
OG0000392	ORYLA02414, ORYLA13216, ORYLA06665, ORYLA13229	CAPO300351
OG0000393	ORYLA17272, ORYLA18186	CAPO307627
OG0000397	ORYLA18921, ORYLA19892, ORYLA08378, ORYLA10415	CAPO304372
OG0000399	ORYLA11402, ORYLA10522, ORYLA11860, ORYLA14927, ORYLA05753, ORYLA19952, ORYLA07160, ORYLA13626	CAPO302781
OG0000402	ORYLA16038, ORYLA10903, ORYLA14672, ORYLA17762, ORYLA18643, ORYLA18833, ORYLA19928, ORYLA12469	CAPO300999
OG0000405	ORYLA06036, ORYLA14984, ORYLA12719, ORYLA17691	CAPO300636
OG0000412	ORYLA13397	CAPO306116
OG0000412	ORYLA08106, ORYLA05004, ORYLA17848, ORYLA01673	CAPO307159
OG0000413	ORYLA10551, ORYLA11652, ORYLA11343, ORYLA03076, ORYLA03075	CAPO302663
OG0000413	ORYLA10219, ORYLA12848, ORYLA03097, ORYLA04188	CAPO304678
OG0000419	ORYLA11288	CAPO304227
OG0000420	ORYLA03182, ORYLA20448	CAPO307162
OG0000422	ORYLA01866, ORYLA10570, ORYLA10569, ORYLA10571, ORYLA11363, ORYLA16053	CAPO301071
OG0000424	ORYLA19753	CAPO302770, CAPO306814
OG0000426	ORYLA01331, ORYLA03961	CAPO302714
OG0000426	ORYLA16632, ORYLA05829, ORYLA16908	CAPO306829
OG0000427	ORYLA19867, ORYLA12374	CAPO303813
OG0000431	ORYLA12780, ORYLA03106	CAPO306585
OG0000431	ORYLA06581, ORYLA12268, ORYLA09572	CAPO304684
OG0000433	ORYLA11555, ORYLA11554, ORYLA20072	CAPO304838, CAPO302573
OG0000434	ORYLA02067	CAPO304471
OG0000435	ORYLA07794, ORYLA09187, ORYLA06556, ORYLA01852, ORYLA10582, ORYLA11407, ORYLA15982, ORYLA14458	CAPO308080
OG0000436	ORYLA08530, ORYLA02125	CAPO305799
OG0000442	ORYLA09139, ORYLA02244	CAPO302753, CAPO302633
OG0000444	ORYLA10830, ORYLA14231, ORYLA14616	CAPO305423
OG0000444	ORYLA15046	CAPO301239
OG0000445	ORYLA10377, ORYLA11833	CAPO301584
OG0000447	ORYLA00469, ORYLA14196, ORYLA04123, ORYLA03133, ORYLA03913	CAPO300691
OG0000450	ORYLA09724, ORYLA18516, ORYLA11564, ORYLA02780, ORYLA02779, ORYLA08258, ORYLA00676, ORYLA01113, ORYLA17859, ORYLA18902, ORYLA03353	CAPO307586, CAPO307446
OG0000453	ORYLA14626	CAPO305025
OG0000454	ORYLA14943, ORYLA12583, ORYLA19101, ORYLA19102, ORYLA02884, ORYLA13625, ORYLA02103	CAPO301952
OG0000461	ORYLA16495	CAPO303645, CAPO304085, CAPO303531
OG0000461	ORYLA04397, ORYLA17538	CAPO307456
OG0000467	ORYLA16164, ORYLA20242, ORYLA14274, ORYLA13723, ORYLA15983, ORYLA14489, ORYLA10863	CAPO302214
OG0000468	ORYLA07498, ORYLA06150, ORYLA10188	CAPO302003, CAPO303185
OG0000469	ORYLA14324, ORYLA13835, ORYLA15812, ORYLA16158, ORYLA14163, ORYLA14420, ORYLA14753, ORYLA19640	CAPO306584, CAPO302277
OG0000470	ORYLA06621, ORYLA17202, ORYLA10519, ORYLA11404, ORYLA04902	CAPO307521
OG0000474	ORYLA15732, ORYLA07059, ORYLA02569, ORYLA18127, ORYLA08620, ORYLA09745	CAPO307766
OG0000475	ORYLA15741, ORYLA02269, ORYLA05492, ORYLA08543, ORYLA10034	CAPO303779
OG0000479	ORYLA05427, ORYLA02241, ORYLA00980, ORYLA10578	CAPO303549
OG0000479	ORYLA01123, ORYLA17925, ORYLA02622	CAPO304267
OG0000480	ORYLA13134, ORYLA06337, ORYLA15386	CAPO307201
OG0000481	ORYLA17197	CAPO300053
OG0000481	ORYLA02862, ORYLA19409	CAPO304800
OG0000481	ORYLA03884, ORYLA19808	CAPO304355
OG0000484	ORYLA00605, ORYLA16560, ORYLA06643, ORYLA13228, ORYLA17466, ORYLA13170	CAPO304750
OG0000485	ORYLA09796, ORYLA18526, ORYLA03726, ORYLA03727	CAPO303224, CAPO303026
OG0000486	ORYLA08269, ORYLA04783, ORYLA20474, ORYLA20475	CAPO306048, CAPO306972
OG0000488	ORYLA15556	CAPO305871
OG0000491	ORYLA18622, ORYLA19026, ORYLA04018, ORYLA03196	CAPO305506
OG0000494	ORYLA04408, ORYLA01116, ORYLA17618, ORYLA04392, ORYLA17962	CAPO300277
OG0000505	ORYLA18172	CAPO303790, CAPO306121
OG0000506	ORYLA18768, ORYLA06518, ORYLA06517, ORYLA04180, ORYLA13275, ORYLA04114, ORYLA01026	CAPO304587
OG0000508	ORYLA08233, ORYLA02029	CAPO303408, CAPO307945
OG0000508	ORYLA10053	CAPO302590
OG0000510	ORYLA16472, ORYLA08348, ORYLA17578, ORYLA02689, ORYLA01174	CAPO303128, CAPO305095
OG0000511	ORYLA01957	CAPO301322
OG0000514	ORYLA05801, ORYLA17040, ORYLA17041, ORYLA00294, ORYLA16274, ORYLA00293	CAPO307292
OG0000516	ORYLA06563, ORYLA07576, ORYLA04429, ORYLA03430, ORYLA07000	CAPO302072
OG0000519	ORYLA19812, ORYLA02303	CAPO300709
OG0000520	ORYLA05565, ORYLA01527, ORYLA03445	CAPO304720
OG0000522	ORYLA20412, ORYLA00500, ORYLA05061	CAPO306204
OG0000528	ORYLA10409, ORYLA03074, ORYLA07689, ORYLA04813	CAPO300417
OG0000530	ORYLA10196, ORYLA13418, ORYLA20102, ORYLA06799	CAPO306919
OG0000532	ORYLA10268	CAPO301913
OG0000538	ORYLA09396, ORYLA13935, ORYLA08202, ORYLA08895, ORYLA08896, ORYLA06216	CAPO300039
OG0000548	ORYLA01284, ORYLA02791, ORYLA17384, ORYLA00893, ORYLA11445, ORYLA04341, ORYLA13910, ORYLA20346, ORYLA15938	CAPO307253, CAPO307370
OG0000551	ORYLA15546	CAPO305700
OG0000552	ORYLA02316, ORYLA01268, ORYLA19748	CAPO302805
OG0000553	ORYLA11116, ORYLA04427, ORYLA04603, ORYLA05553, ORYLA05554, ORYLA16813, ORYLA16993, ORYLA16814, ORYLA19765	CAPO302261
OG0000554	ORYLA05333, ORYLA11866, ORYLA02853, ORYLA17786, ORYLA19758, ORYLA19976, ORYLA11865	CAPO300205
OG0000561	ORYLA10348, ORYLA11842, ORYLA11841, ORYLA01515	CAPO307817, CAPO304686, CAPO304296
OG0000563	ORYLA04101, ORYLA03246, ORYLA17360	CAPO305151
OG0000566	ORYLA13005, ORYLA20281, ORYLA14818, ORYLA12608, ORYLA14819, ORYLA04369	CAPO306820
OG0000567	ORYLA12167, ORYLA12905	CAPO300710, CAPO302895
OG0000572	ORYLA08145, ORYLA10185, ORYLA07690, ORYLA13763, ORYLA15650	CAPO302048
OG0000573	ORYLA01895, ORYLA05878, ORYLA13057, ORYLA13843, ORYLA04228	CAPO301573
OG0000573	ORYLA12607, ORYLA14820	CAPO300482
OG0000574	ORYLA08316, ORYLA16658, ORYLA16287, ORYLA08280, ORYLA00058	CAPO303025
OG0000578	ORYLA07686, ORYLA04727, ORYLA10429, ORYLA03394, ORYLA04274	CAPO305505
OG0000583	ORYLA00997, ORYLA00998, ORYLA03929, ORYLA09564, ORYLA08581, ORYLA10274, ORYLA02043, ORYLA05980	CAPO302594
OG0000585	ORYLA16046, ORYLA15895, ORYLA14066, ORYLA11170, ORYLA15076, ORYLA16126, ORYLA14043, ORYLA11172	CAPO302010
OG0000586	ORYLA12015, ORYLA11291, ORYLA15040, ORYLA08031, ORYLA16360	CAPO304818
OG0000587	ORYLA03518, ORYLA06908, ORYLA07631, ORYLA13556, ORYLA13555, ORYLA12215	CAPO304868
OG0000588	ORYLA04266	CAPO300701
OG0000590	ORYLA06142, ORYLA02148, ORYLA16465	CAPO302664
OG0000590	ORYLA06302, ORYLA06303, ORYLA14008	CAPO307990
OG0000591	ORYLA16935, ORYLA00569	CAPO300885
OG0000591	ORYLA04567, ORYLA03099, ORYLA06605, ORYLA13493	CAPO301508, CAPO306921
OG0000592	ORYLA17452, ORYLA11854, ORYLA14631, ORYLA12104, ORYLA04227	CAPO302552
OG0000593	ORYLA16513, ORYLA16679, ORYLA00726, ORYLA12884, ORYLA15051, ORYLA12474, ORYLA13360, ORYLA15847, ORYLA14301	CAPO303950
OG0000594	ORYLA04212, ORYLA03767, ORYLA08739, ORYLA03768, ORYLA08738, ORYLA14067, ORYLA14715	CAPO305185
OG0000597	ORYLA07402, ORYLA04005, ORYLA16364, ORYLA17588, ORYLA02653	CAPO305949
OG0000600	ORYLA11563, ORYLA19470, ORYLA00993	CAPO302133
