Orthogroup	ORYLA	HELIO_ok
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	HELIO_07978
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	HELIO_03118
OG0000007	ORYLA16317	HELIO_07991
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	HELIO_04275
OG0000007	ORYLA10158, ORYLA04736	HELIO_11721
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	HELIO_07073
OG0000010	ORYLA15708	HELIO_09797
OG0000012	ORYLA07628	HELIO_04072, HELIO_05750
OG0000012	ORYLA15199	HELIO_06831
OG0000014	ORYLA11600, ORYLA01088	HELIO_12068
OG0000014	ORYLA07812, ORYLA17200	HELIO_10724
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	HELIO_10798
OG0000016	ORYLA12720, ORYLA00945	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	HELIO_05456
OG0000016	ORYLA09921	HELIO_09779
OG0000016	ORYLA00030	HELIO_04647
OG0000016	ORYLA11245, ORYLA15380	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000018	ORYLA02836, ORYLA14501	HELIO_06631, HELIO_07465, HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	HELIO_11234
OG0000020	ORYLA10559	HELIO_01087
OG0000020	ORYLA06663	HELIO_03892
OG0000020	ORYLA16080	HELIO_08119
OG0000020	ORYLA09855	HELIO_10764
OG0000020	ORYLA06900, ORYLA09950	HELIO_10811
OG0000020	ORYLA06780	HELIO_12285
OG0000020	ORYLA01097, ORYLA00349	HELIO_05828
OG0000020	ORYLA15647	HELIO_10575
OG0000020	ORYLA00902	HELIO_05888
OG0000020	ORYLA02546	HELIO_08365
OG0000020	ORYLA06519	HELIO_01918
OG0000021	ORYLA20207, ORYLA15834	HELIO_02163
OG0000021	ORYLA04373	HELIO_09128
OG0000021	ORYLA12092, ORYLA14389	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	ORYLA06753	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000023	ORYLA08126	HELIO_07781
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	HELIO_07600, HELIO_09870
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	HELIO_06046, HELIO_05379, HELIO_07449, HELIO_07047, HELIO_00822, HELIO_05196, HELIO_10137, HELIO_05285, HELIO_06374, HELIO_10426, HELIO_03946, HELIO_07378, HELIO_06208, HELIO_06845, HELIO_06837, HELIO_05358, HELIO_03839, HELIO_05987
OG0000024	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747	HELIO_10427
OG0000024	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498	HELIO_04554, HELIO_07194, HELIO_07601, HELIO_04022
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	HELIO_06306
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	HELIO_10546, HELIO_00115
OG0000029	ORYLA15906	HELIO_11942
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	HELIO_04525, HELIO_09505
OG0000030	ORYLA07170	HELIO_06719
OG0000031	ORYLA09861, ORYLA15740	HELIO_00475
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	HELIO_11237
OG0000031	ORYLA01770	HELIO_10166
OG0000031	ORYLA06561	HELIO_00951
OG0000031	ORYLA10394, ORYLA11971	HELIO_11573
OG0000031	ORYLA04591, ORYLA04917	HELIO_00638
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	HELIO_00007
OG0000031	ORYLA09501, ORYLA00346	HELIO_08452
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	HELIO_02162
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	ORYLA15502	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000032	ORYLA06416	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198
OG0000033	ORYLA01373	HELIO_05274, HELIO_05169, HELIO_06635, HELIO_07393
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	HELIO_11045
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	HELIO_10910
OG0000034	ORYLA07312	HELIO_05981
OG0000034	ORYLA12339, ORYLA14860	HELIO_12487
OG0000034	ORYLA19697	HELIO_11629
OG0000035	ORYLA16101	HELIO_04621
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	HELIO_12501
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	HELIO_03534
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	HELIO_07811, HELIO_06366
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	HELIO_00732, HELIO_11539
OG0000035	ORYLA17117, ORYLA14783	HELIO_04984
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	ORYLA20440, ORYLA11184	HELIO_07711
OG0000036	ORYLA12571	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	HELIO_01421
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	HELIO_01377
OG0000037	ORYLA04725	HELIO_04770
OG0000039	ORYLA07496	HELIO_01180
OG0000039	ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124	HELIO_00133
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000043	ORYLA03388	HELIO_03541
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	HELIO_05461
OG0000046	ORYLA00520	HELIO_08475
OG0000048	ORYLA19472	HELIO_10223
OG0000048	ORYLA17217	HELIO_03643
OG0000048	ORYLA14101	HELIO_05568
OG0000048	ORYLA08002	HELIO_11655
OG0000048	ORYLA11420	HELIO_08708
OG0000048	ORYLA15054	HELIO_05605
OG0000051	ORYLA05117	HELIO_11965, HELIO_05090, HELIO_05789
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	HELIO_05569, HELIO_05693, HELIO_04521
OG0000054	ORYLA00519	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	HELIO_05303
OG0000056	ORYLA17860	HELIO_03513
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	HELIO_05858
OG0000059	ORYLA09176	HELIO_08348
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	HELIO_07693, HELIO_05488
OG0000060	ORYLA01946, ORYLA04743	HELIO_02035
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	HELIO_12113
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	HELIO_11204
OG0000061	ORYLA07060, ORYLA08273	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	HELIO_01760, HELIO_09809, HELIO_08709
OG0000062	ORYLA10585, ORYLA11804	HELIO_06316
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	HELIO_10147
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	HELIO_12629
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	HELIO_04155
OG0000066	ORYLA06398	HELIO_11387
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782
OG0000070	ORYLA07085, ORYLA17312	HELIO_00590, HELIO_05047, HELIO_00591
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	HELIO_09782
OG0000072	ORYLA20464	HELIO_10131
OG0000072	ORYLA05266	HELIO_05118, HELIO_10379
OG0000073	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725	HELIO_07437
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000075	ORYLA08229, ORYLA07050	HELIO_02705
OG0000075	ORYLA10050	HELIO_12175
OG0000075	ORYLA15750	HELIO_01007
OG0000075	ORYLA05870, ORYLA14226	HELIO_07086
OG0000075	ORYLA10049, ORYLA15751	HELIO_01193
OG0000075	ORYLA11054, ORYLA15824	HELIO_09567
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	HELIO_05177
OG0000075	ORYLA19688	HELIO_00684
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	HELIO_05657
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	HELIO_00295
OG0000077	ORYLA17911, ORYLA04823	HELIO_12145
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	HELIO_01794, HELIO_05740
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	HELIO_00549
OG0000079	ORYLA13165	HELIO_01744, HELIO_07509
OG0000082	ORYLA02580	HELIO_12249
OG0000082	ORYLA01470	HELIO_08556
OG0000082	ORYLA09330	HELIO_06503, HELIO_04026, HELIO_02219
OG0000082	ORYLA19108	HELIO_05158
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	HELIO_02405
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	HELIO_05344
OG0000085	ORYLA02243, ORYLA05178	HELIO_11582
OG0000087	ORYLA07293	HELIO_02848, HELIO_02847, HELIO_02846
OG0000087	ORYLA15867	HELIO_06633
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	HELIO_06684, HELIO_10658
OG0000090	ORYLA02080, ORYLA06082	HELIO_12415
OG0000090	ORYLA01746, ORYLA06194	HELIO_03859, HELIO_12616
OG0000091	ORYLA02531	HELIO_06609
OG0000093	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845	HELIO_04928, HELIO_06889
OG0000094	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	HELIO_07015
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	HELIO_03878
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	HELIO_07466
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	HELIO_03681
OG0000096	ORYLA13747, ORYLA08870	HELIO_03321
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	HELIO_03947
OG0000096	ORYLA10017	HELIO_09595
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	HELIO_07543
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	HELIO_00467, HELIO_11416
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	HELIO_00318, HELIO_06995
OG0000101	ORYLA12058	HELIO_03317
OG0000101	ORYLA09166, ORYLA09165	HELIO_11521
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	ORYLA19358, ORYLA00094	HELIO_08564
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	HELIO_03996
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	HELIO_12543
OG0000104	ORYLA03680, ORYLA06072	HELIO_04946
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	HELIO_03807
OG0000104	ORYLA03679	HELIO_05172
OG0000104	ORYLA09408	HELIO_02282
OG0000104	ORYLA14236, ORYLA14756, ORYLA10856	HELIO_00006
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282	HELIO_02364
OG0000106	ORYLA06794	HELIO_07474
OG0000106	ORYLA05764, ORYLA14913, ORYLA14914	HELIO_05614, HELIO_10877
OG0000113	ORYLA17645, ORYLA13433	HELIO_06754
OG0000113	ORYLA15283	HELIO_04446, HELIO_08405
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	HELIO_10462, HELIO_00027, HELIO_06292
OG0000115	ORYLA10019, ORYLA12386	HELIO_10283, HELIO_10284
OG0000116	ORYLA19541	HELIO_08217, HELIO_10553
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	HELIO_09291
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	ORYLA09477, ORYLA05169	HELIO_08423, HELIO_01329
OG0000121	ORYLA00510, ORYLA01379, ORYLA07858	HELIO_11384
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	HELIO_09221
OG0000122	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	HELIO_00601, HELIO_11330
OG0000123	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364	HELIO_08717
OG0000123	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949	HELIO_08884
OG0000123	ORYLA04317, ORYLA01144	HELIO_09001
OG0000124	ORYLA04499, ORYLA01264	HELIO_02264
OG0000124	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798	HELIO_07531
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	HELIO_08965
OG0000124	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516	HELIO_01505
OG0000125	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368	HELIO_11225
OG0000125	ORYLA01977, ORYLA08228, ORYLA17147	HELIO_03951
OG0000125	ORYLA12115	HELIO_08019
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	HELIO_05678
OG0000126	ORYLA02839	HELIO_07534
OG0000126	ORYLA09118	HELIO_02617
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	HELIO_12717
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298	HELIO_00274
OG0000127	ORYLA18247, ORYLA09922	HELIO_04203
OG0000127	ORYLA05476, ORYLA10382	HELIO_00760
OG0000127	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240	HELIO_10652
OG0000127	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683	HELIO_03723
OG0000128	ORYLA17289	HELIO_05183
OG0000128	ORYLA03587	HELIO_03924
OG0000128	ORYLA06619, ORYLA09314	HELIO_00789
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	HELIO_05477
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	HELIO_12045
OG0000131	ORYLA02651, ORYLA17218	HELIO_00530, HELIO_08397
OG0000132	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043	HELIO_02084, HELIO_02083, HELIO_03711
OG0000132	ORYLA08009	HELIO_04353
OG0000137	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560	HELIO_10563
OG0000137	ORYLA06196, ORYLA16275	HELIO_05850
OG0000137	ORYLA11370, ORYLA08706	HELIO_01589, HELIO_12262
OG0000138	ORYLA01485, ORYLA09635, ORYLA18456, ORYLA18666, ORYLA16939	HELIO_11407, HELIO_04557, HELIO_04817, HELIO_04440
OG0000138	ORYLA07654	HELIO_06895
OG0000141	ORYLA15273	HELIO_03491, HELIO_06248, HELIO_06291, HELIO_06766, HELIO_00102, HELIO_10597
OG0000147	ORYLA06944, ORYLA12833, ORYLA15636	HELIO_12780
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	HELIO_07856
OG0000147	ORYLA13100, ORYLA13101	HELIO_02877
OG0000147	ORYLA10192	HELIO_07688
OG0000148	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171	HELIO_12241
OG0000148	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722	HELIO_01322
OG0000149	ORYLA17290, ORYLA17651, ORYLA17652	HELIO_11224
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026
OG0000149	ORYLA19729	HELIO_08561
OG0000151	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949	HELIO_02909
OG0000151	ORYLA01789, ORYLA08191, ORYLA17153, ORYLA15978, ORYLA13920, ORYLA08402, ORYLA09669	HELIO_01067
OG0000151	ORYLA02467, ORYLA17249, ORYLA13261	HELIO_11427
OG0000154	ORYLA15514, ORYLA15513, ORYLA15515, ORYLA15516	HELIO_11108
OG0000154	ORYLA04056, ORYLA00974	HELIO_00470
OG0000155	ORYLA11669, ORYLA10177, ORYLA11879	HELIO_02785
OG0000155	ORYLA01962, ORYLA20370	HELIO_06336
OG0000155	ORYLA01931, ORYLA05131	HELIO_10305
OG0000157	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319	HELIO_02764
OG0000157	ORYLA16681, ORYLA00723	HELIO_10997
OG0000157	ORYLA13712, ORYLA15189, ORYLA12434	HELIO_02898
OG0000158	ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104	HELIO_05890
OG0000159	ORYLA09075	HELIO_11077
OG0000159	ORYLA02062, ORYLA11501, ORYLA06048	HELIO_07755
OG0000159	ORYLA08188	HELIO_07071, HELIO_00285, HELIO_10509
OG0000160	ORYLA15840	HELIO_11870
OG0000160	ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884	HELIO_09094
OG0000163	ORYLA08374, ORYLA16276	HELIO_05553
OG0000163	ORYLA16748, ORYLA00153, ORYLA16983, ORYLA16982	HELIO_02290
OG0000163	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820	HELIO_07317
OG0000164	ORYLA02097, ORYLA18775, ORYLA17709, ORYLA02317, ORYLA13180	HELIO_04867
OG0000165	ORYLA19750, ORYLA01240, ORYLA03912, ORYLA01443, ORYLA19505, ORYLA01245, ORYLA15304, ORYLA11153, ORYLA12054, ORYLA19673, ORYLA18161, ORYLA12055, ORYLA12173, ORYLA02716, ORYLA17333, ORYLA17334, ORYLA12984, ORYLA01002, ORYLA01003, ORYLA03945, ORYLA07278, ORYLA04321, ORYLA06919, ORYLA09488, ORYLA08771	HELIO_01649
OG0000166	ORYLA16752	HELIO_00134, HELIO_00135
OG0000166	ORYLA03503, ORYLA02712, ORYLA02713, ORYLA12775, ORYLA00549	HELIO_11547
OG0000167	ORYLA15498, ORYLA06766, ORYLA11713, ORYLA10617, ORYLA10277, ORYLA11948, ORYLA02111, ORYLA16156, ORYLA14005, ORYLA07114, ORYLA09226	HELIO_07346
OG0000168	ORYLA16346, ORYLA15128, ORYLA12100	HELIO_11699
OG0000168	ORYLA13628, ORYLA02944, ORYLA17507, ORYLA06652, ORYLA13431, ORYLA12906, ORYLA10223, ORYLA07700	HELIO_07708
OG0000169	ORYLA18597, ORYLA05027, ORYLA11561, ORYLA00432, ORYLA18067, ORYLA18044, ORYLA18072, ORYLA18070, ORYLA18612, ORYLA04492, ORYLA07625	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257
OG0000171	ORYLA03475	HELIO_09820
OG0000171	ORYLA07855, ORYLA00842, ORYLA07412	HELIO_01149
OG0000171	ORYLA00507	HELIO_03619
OG0000172	ORYLA14355, ORYLA08506, ORYLA09443, ORYLA09676, ORYLA12248	HELIO_09881
OG0000173	ORYLA05837, ORYLA04181, ORYLA13115, ORYLA06590, ORYLA06914, ORYLA13267, ORYLA20247, ORYLA14500, ORYLA03510, ORYLA06836, ORYLA06833, ORYLA02812, ORYLA09725, ORYLA09722, ORYLA12289, ORYLA14240, ORYLA13837, ORYLA19372, ORYLA02059, ORYLA11932	HELIO_09570, HELIO_09571
OG0000174	ORYLA18569, ORYLA09218	HELIO_09480, HELIO_04614, HELIO_10809
OG0000174	ORYLA19814, ORYLA10779	HELIO_01069
OG0000175	ORYLA13694, ORYLA09065, ORYLA06318	HELIO_11471
OG0000179	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117	HELIO_05015
OG0000179	ORYLA18062, ORYLA18061, ORYLA14649	HELIO_04929
OG0000179	ORYLA20422	HELIO_08122
OG0000180	ORYLA10201, ORYLA08835	HELIO_10517
OG0000180	ORYLA01448, ORYLA01304, ORYLA04174, ORYLA04081, ORYLA03160, ORYLA03933	HELIO_01389
OG0000181	ORYLA11594	HELIO_10771
OG0000181	ORYLA18853, ORYLA15035	HELIO_03461, HELIO_03460
OG0000182	ORYLA10990	HELIO_01767
OG0000183	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092	HELIO_03106, HELIO_07785
OG0000183	ORYLA03426	HELIO_12279
OG0000183	ORYLA03815	HELIO_02987
OG0000184	ORYLA13442, ORYLA13444, ORYLA13443	HELIO_04383
OG0000185	ORYLA15712, ORYLA15972, ORYLA09436	HELIO_02917
OG0000185	ORYLA12658, ORYLA02266, ORYLA07574	HELIO_08141
OG0000185	ORYLA11753, ORYLA05335	HELIO_12016
OG0000187	ORYLA18399	HELIO_07716
OG0000188	ORYLA02679, ORYLA17741, ORYLA00508	HELIO_10975
OG0000192	ORYLA09752	HELIO_08116
OG0000192	ORYLA08947, ORYLA19527, ORYLA20454, ORYLA00818, ORYLA13158	HELIO_04385
OG0000192	ORYLA18141	HELIO_03071
OG0000192	ORYLA16694	HELIO_03349
OG0000194	ORYLA03335, ORYLA10209, ORYLA09317	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417
OG0000195	ORYLA09172, ORYLA07416	HELIO_05982
OG0000197	ORYLA01697, ORYLA05763, ORYLA14664, ORYLA12127	HELIO_06777, HELIO_03671
OG0000197	ORYLA15638, ORYLA13839, ORYLA03794, ORYLA06819, ORYLA06817, ORYLA06818, ORYLA05867, ORYLA02119, ORYLA10283, ORYLA11398, ORYLA10168, ORYLA05652	HELIO_03884
