Orthogroup	ORYLA	MOUSE
OG0000002	ORYLA03052, ORYLA16692	MOUSE33129
OG0000002	ORYLA13467, ORYLA16691	MOUSE15413, MOUSE15412
OG0000003	ORYLA05141	MOUSE23701, MOUSE23700
OG0000004	ORYLA16672	MOUSE06318, MOUSE06317, MOUSE06316
OG0000004	ORYLA11724, ORYLA11723, ORYLA15657	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089	MOUSE18207
OG0000005	ORYLA04143	MOUSE20384, MOUSE20383
OG0000005	ORYLA04443	MOUSE20203
OG0000005	ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	MOUSE53215, MOUSE53214
OG0000005	ORYLA04733	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	ORYLA13568, ORYLA06565	MOUSE33561, MOUSE33562
OG0000006	ORYLA20407	MOUSE36359
OG0000006	ORYLA03595	MOUSE45321
OG0000006	ORYLA03421	MOUSE29952, MOUSE29953
OG0000006	ORYLA13382	MOUSE24072, MOUSE24070, MOUSE24071
OG0000006	ORYLA09038	MOUSE54497
OG0000006	ORYLA15680	MOUSE31158
OG0000006	ORYLA07217	MOUSE02096, MOUSE02095, MOUSE02097
OG0000006	ORYLA12345, ORYLA14784	MOUSE27112, MOUSE27111
OG0000006	ORYLA10511, ORYLA11827	MOUSE07632, MOUSE07631
OG0000006	ORYLA16517	MOUSE38532, MOUSE38531
OG0000006	ORYLA17394	MOUSE10280
OG0000006	ORYLA05082	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	MOUSE19675
OG0000006	ORYLA20473	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501
OG0000006	ORYLA04673	MOUSE21233, MOUSE21234
OG0000006	ORYLA03873	MOUSE09568, MOUSE09567
OG0000006	ORYLA10460	MOUSE11795, MOUSE11796
OG0000006	ORYLA00215, ORYLA04762	MOUSE02988, MOUSE02987
OG0000006	ORYLA04691	MOUSE03398
OG0000006	ORYLA03542	MOUSE04696
OG0000007	ORYLA13334	MOUSE09063
OG0000007	ORYLA14937	MOUSE51845
OG0000007	ORYLA17526	MOUSE20686
OG0000007	ORYLA03070	MOUSE42742
OG0000007	ORYLA10601	MOUSE28113, MOUSE28115, MOUSE28114
OG0000007	ORYLA19360	MOUSE07122
OG0000007	ORYLA13245	MOUSE33185
OG0000007	ORYLA02416, ORYLA13595	MOUSE10368, MOUSE33510
OG0000007	ORYLA00451	MOUSE32557
OG0000007	ORYLA10719	MOUSE40199, MOUSE40198
OG0000007	ORYLA18472	MOUSE52320
OG0000007	ORYLA15197	MOUSE49749
OG0000007	ORYLA07783	MOUSE38483
OG0000007	ORYLA09030	MOUSE13954
OG0000007	ORYLA13335	MOUSE09062
OG0000007	ORYLA12464	MOUSE49739
OG0000007	ORYLA03471	MOUSE04689
OG0000007	ORYLA17615	MOUSE37388
OG0000007	ORYLA11394	MOUSE07862, MOUSE07863, MOUSE07860
OG0000007	ORYLA05164	MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	ORYLA00561	MOUSE38586
OG0000007	ORYLA16283, ORYLA08278	MOUSE06525
OG0000007	ORYLA16317	MOUSE06204
OG0000007	ORYLA15605	MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793
OG0000007	ORYLA05828	MOUSE41340, MOUSE41339
OG0000007	ORYLA10158	MOUSE07031, MOUSE07030
OG0000008	ORYLA06372	MOUSE17513, MOUSE17514
OG0000008	ORYLA06647, ORYLA13248	MOUSE33182
OG0000008	ORYLA00582	MOUSE03822, MOUSE03823
OG0000008	ORYLA02437	MOUSE25728
OG0000008	ORYLA18857	MOUSE50311
OG0000008	ORYLA11025	MOUSE35409
OG0000008	ORYLA15397	MOUSE34799
OG0000008	ORYLA01388	MOUSE48084
OG0000010	ORYLA14018, ORYLA14016, ORYLA14015, ORYLA14017	MOUSE14749
OG0000010	ORYLA17718	MOUSE34626
OG0000010	ORYLA15599, ORYLA15600	MOUSE34625, MOUSE34624
OG0000010	ORYLA12063	MOUSE49605
OG0000010	ORYLA05561	MOUSE49413
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	MOUSE22876
OG0000010	ORYLA18252	MOUSE17060, MOUSE17058
OG0000010	ORYLA06010	MOUSE36610, MOUSE36609
OG0000010	ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000010	ORYLA15708	MOUSE14717
OG0000010	ORYLA20398	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000011	ORYLA04501	MOUSE08113
OG0000012	ORYLA15107, ORYLA15108	MOUSE49054, MOUSE49055, MOUSE49053, MOUSE49315, MOUSE49044, MOUSE49045, MOUSE49043, MOUSE49052, MOUSE49049, MOUSE49048, MOUSE49047, MOUSE49046, MOUSE49051, MOUSE49042
OG0000012	ORYLA15199	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000013	ORYLA00386	MOUSE31454
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946
OG0000013	ORYLA19175, ORYLA17235	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	ORYLA07442	MOUSE04189
OG0000014	ORYLA17297, ORYLA15314	MOUSE04186, MOUSE04184, MOUSE04187
OG0000014	ORYLA13996, ORYLA16200	MOUSE31054
OG0000014	ORYLA10845	MOUSE02337
OG0000014	ORYLA17181	MOUSE06495
OG0000014	ORYLA08263	MOUSE06101, MOUSE06102, MOUSE06100
OG0000014	ORYLA04835, ORYLA19923	MOUSE20912
OG0000014	ORYLA15682	MOUSE31149, MOUSE31150
OG0000014	ORYLA04907	MOUSE22789, MOUSE22790, MOUSE00987
OG0000014	ORYLA11600	MOUSE00504
OG0000014	ORYLA01088	MOUSE54686
OG0000014	ORYLA07812, ORYLA17200	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	ORYLA00867, ORYLA20430	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	ORYLA04638	MOUSE03176
OG0000015	ORYLA19973	MOUSE03220, MOUSE03221
OG0000015	ORYLA08714	MOUSE36411, MOUSE36410, MOUSE44503
OG0000015	ORYLA04332, ORYLA10753	MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	ORYLA11923, ORYLA10179	MOUSE32201, MOUSE32200
OG0000015	ORYLA11921	MOUSE32202
OG0000015	ORYLA08817, ORYLA04154	MOUSE16093
OG0000015	ORYLA03899	MOUSE03210, MOUSE03208, MOUSE03209
OG0000015	ORYLA10757	MOUSE36400, MOUSE36401
OG0000015	ORYLA01414	MOUSE36402
OG0000015	ORYLA19970	MOUSE03212, MOUSE03211
OG0000015	ORYLA04333	MOUSE54208, MOUSE54207
OG0000015	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513	MOUSE44499
OG0000015	ORYLA01413	MOUSE36407, MOUSE36406
OG0000015	ORYLA19971	MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	ORYLA09940, ORYLA09941	MOUSE55359
OG0000015	ORYLA00953	MOUSE54956
OG0000015	ORYLA18852	MOUSE48246
OG0000015	ORYLA01514	MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	ORYLA12720	MOUSE48959, MOUSE48960
OG0000016	ORYLA17171	MOUSE15161, MOUSE15160
OG0000016	ORYLA00784	MOUSE44326
OG0000016	ORYLA19764	MOUSE05122, MOUSE05123
OG0000016	ORYLA05054	MOUSE21130
OG0000016	ORYLA09921	MOUSE13078, MOUSE13077
OG0000016	ORYLA00030	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	ORYLA08665	MOUSE44334
OG0000016	ORYLA11245	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938
OG0000016	ORYLA15380	MOUSE44335
OG0000019	ORYLA16411	MOUSE04791
OG0000019	ORYLA20089, ORYLA20088	MOUSE22639, MOUSE22640
OG0000020	ORYLA09327	MOUSE39911
OG0000020	ORYLA12531	MOUSE05499, MOUSE05500
OG0000020	ORYLA15493	MOUSE53015
OG0000020	ORYLA10559	MOUSE07164
OG0000020	ORYLA06663	MOUSE33588
OG0000020	ORYLA16080	MOUSE23587, MOUSE23586
OG0000020	ORYLA02155, ORYLA05512	MOUSE13612
OG0000020	ORYLA11359	MOUSE06637, MOUSE06636
OG0000020	ORYLA19795	MOUSE34933
OG0000020	ORYLA09855	MOUSE26371
OG0000020	ORYLA06900	MOUSE45175, MOUSE15405
OG0000020	ORYLA09950	MOUSE15402
OG0000020	ORYLA06780	MOUSE24012
OG0000020	ORYLA01097	MOUSE54806, MOUSE54808, MOUSE54807
OG0000020	ORYLA00349	MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	ORYLA15647	MOUSE35162
OG0000020	ORYLA00902	MOUSE09601, MOUSE09602
OG0000020	ORYLA00505	MOUSE48313, MOUSE48314
OG0000020	ORYLA02546	MOUSE37001, MOUSE37002
OG0000020	ORYLA06519	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	ORYLA13904, ORYLA15936	MOUSE41024, MOUSE41023
OG0000021	ORYLA20207	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	ORYLA15878, ORYLA14141	MOUSE40749
OG0000021	ORYLA10930, ORYLA14683	MOUSE41281
OG0000021	ORYLA13905	MOUSE41022
OG0000021	ORYLA12641	MOUSE49041
OG0000021	ORYLA05479	MOUSE09998
OG0000021	ORYLA03698	MOUSE04592
OG0000021	ORYLA12092	MOUSE44445
OG0000021	ORYLA14389	MOUSE53773
OG0000021	ORYLA06753	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000021	ORYLA04245	MOUSE19587
OG0000023	ORYLA02861, ORYLA18687	MOUSE01124
OG0000023	ORYLA06733, ORYLA07486	MOUSE12258, MOUSE12260
OG0000023	ORYLA12741, ORYLA15296	MOUSE49191
OG0000023	ORYLA13800	MOUSE28391
OG0000023	ORYLA07073, ORYLA08963	MOUSE32112, MOUSE32114
OG0000023	ORYLA02776	MOUSE38000
OG0000023	ORYLA01476	MOUSE16835
OG0000023	ORYLA03601	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863
OG0000023	ORYLA14352, ORYLA16095	MOUSE02558, MOUSE02557
OG0000023	ORYLA03721	MOUSE50078
OG0000023	ORYLA03720	MOUSE50063
OG0000023	ORYLA12643	MOUSE49035
OG0000023	ORYLA15685	MOUSE28744
OG0000026	ORYLA09539	MOUSE12605
OG0000027	ORYLA12309	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836
OG0000027	ORYLA08306	MOUSE44283, MOUSE44284, MOUSE44285
OG0000027	ORYLA07922	MOUSE18379, MOUSE18380
OG0000027	ORYLA15904, ORYLA15903	MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000027	ORYLA04739	MOUSE18678, MOUSE18679
OG0000028	ORYLA00361	MOUSE36324, MOUSE36325
OG0000028	ORYLA03205, ORYLA04463	MOUSE45380
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731	MOUSE30414, MOUSE30413
OG0000028	ORYLA12623	MOUSE51349
OG0000028	ORYLA12624	MOUSE51347, MOUSE51348
OG0000028	ORYLA00837, ORYLA01106	MOUSE47957
OG0000028	ORYLA11312	MOUSE12712
OG0000028	ORYLA15414	MOUSE29157, MOUSE29159
OG0000028	ORYLA01105, ORYLA00835	MOUSE47956, MOUSE47954, MOUSE47955
OG0000028	ORYLA09887, ORYLA09886, ORYLA04684	MOUSE26458
OG0000028	ORYLA20303, ORYLA20302	MOUSE44525
OG0000029	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293	MOUSE45127, MOUSE48617
OG0000029	ORYLA15257	MOUSE49324, MOUSE49325
OG0000029	ORYLA13110	MOUSE22849, MOUSE22848
OG0000029	ORYLA04764, ORYLA00213	MOUSE02995
OG0000029	ORYLA15906	MOUSE17544
OG0000029	ORYLA08651, ORYLA09837	MOUSE26337
OG0000030	ORYLA18077	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	ORYLA01628, ORYLA19626	MOUSE30488
OG0000030	ORYLA02922	MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	ORYLA07582	MOUSE55035
OG0000030	ORYLA07744, ORYLA16997	MOUSE41811, MOUSE41812
OG0000030	ORYLA08220	MOUSE21340
OG0000031	ORYLA04590	MOUSE55187
OG0000031	ORYLA09861	MOUSE26385
OG0000031	ORYLA13928	MOUSE14840
OG0000031	ORYLA09882	MOUSE26448
OG0000031	ORYLA05598	MOUSE08530
OG0000031	ORYLA18563	MOUSE05256
OG0000031	ORYLA01770	MOUSE08528, MOUSE08527
OG0000031	ORYLA14932	MOUSE44529
OG0000031	ORYLA17720	MOUSE20731
OG0000031	ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971	MOUSE39309, MOUSE01505
OG0000031	ORYLA15433	MOUSE40720
OG0000031	ORYLA04917	MOUSE13006, MOUSE13005
OG0000031	ORYLA06754, ORYLA07156	MOUSE48656
OG0000031	ORYLA02513	MOUSE48889
OG0000031	ORYLA00346	MOUSE36274, MOUSE36271
OG0000031	ORYLA09459, ORYLA08614	MOUSE22339, MOUSE22337, MOUSE22338
OG0000031	ORYLA06390	MOUSE08579
OG0000031	ORYLA06240	MOUSE13008
OG0000032	ORYLA09076, ORYLA06417	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	ORYLA14771, ORYLA03482	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903
OG0000032	ORYLA12826	MOUSE52411, MOUSE52410
OG0000032	ORYLA04475, ORYLA04474	MOUSE45189, MOUSE45190, MOUSE45188
OG0000032	ORYLA14976, ORYLA12717	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	ORYLA15502	MOUSE29123
OG0000034	ORYLA07927, ORYLA16241	MOUSE46353, MOUSE46347
OG0000034	ORYLA04579	MOUSE04536
OG0000034	ORYLA02286, ORYLA17781	MOUSE37608
OG0000034	ORYLA16358	MOUSE43921
OG0000034	ORYLA12476, ORYLA15138	MOUSE45737
OG0000034	ORYLA11195	MOUSE14480
OG0000034	ORYLA16147	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	ORYLA14023, ORYLA15996	MOUSE23594
OG0000034	ORYLA11192, ORYLA14993	MOUSE02137
OG0000034	ORYLA14558	MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	ORYLA07312	MOUSE19105
OG0000034	ORYLA12339, ORYLA14860	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	ORYLA19697	MOUSE11491, MOUSE11490
OG0000034	ORYLA14655	MOUSE20059
OG0000035	ORYLA16101	MOUSE02570, MOUSE02571
OG0000035	ORYLA12588, ORYLA14952	MOUSE51376, MOUSE51375
OG0000035	ORYLA11104	MOUSE41545
OG0000035	ORYLA14870, ORYLA12119	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	ORYLA18031	MOUSE31138
OG0000035	ORYLA15336, ORYLA11216	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	ORYLA11278	MOUSE02196, MOUSE02197
OG0000035	ORYLA13992	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974
OG0000035	ORYLA14838, ORYLA12754	MOUSE47243, MOUSE47244, MOUSE47242
OG0000035	ORYLA14991, ORYLA14992, ORYLA11268	MOUSE41507
OG0000035	ORYLA14782, ORYLA12073, ORYLA12074	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108
OG0000035	ORYLA17117, ORYLA14783	MOUSE27104
OG0000036	ORYLA07477	MOUSE12248
OG0000036	ORYLA12738	MOUSE49436
OG0000036	ORYLA15615, ORYLA15153	MOUSE49768
OG0000036	ORYLA07495	MOUSE12301
OG0000036	ORYLA20280, ORYLA12724	MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	ORYLA20440	MOUSE29724, MOUSE29725
OG0000036	ORYLA12571	MOUSE43723
OG0000037	ORYLA10680	MOUSE10993, MOUSE10994
OG0000037	ORYLA05584, ORYLA10681	MOUSE10992
OG0000037	ORYLA11814	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745
OG0000037	ORYLA11609, ORYLA10251	MOUSE07837, MOUSE07836, MOUSE07835
OG0000037	ORYLA04338, ORYLA01058	MOUSE20306
OG0000037	ORYLA05151	MOUSE49952, MOUSE49951
OG0000037	ORYLA08136	MOUSE20178
OG0000037	ORYLA03090	MOUSE43378
OG0000037	ORYLA15954	MOUSE28645, MOUSE28646
OG0000037	ORYLA02209	MOUSE13720
OG0000037	ORYLA10771, ORYLA11448	MOUSE35631
OG0000037	ORYLA04725	MOUSE21441
OG0000038	ORYLA04512	MOUSE14647
OG0000038	ORYLA16141	MOUSE14644
OG0000038	ORYLA08393, ORYLA09754	MOUSE22591, MOUSE22592
OG0000039	ORYLA13584	MOUSE24093
OG0000039	ORYLA13588	MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091
OG0000039	ORYLA07496	MOUSE32704
OG0000039	ORYLA16124	MOUSE23387
OG0000040	ORYLA15343	MOUSE39434, MOUSE39435, MOUSE39433
OG0000040	ORYLA04846, ORYLA04844	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	ORYLA07969	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964
OG0000041	ORYLA14839	MOUSE44347, MOUSE44348
OG0000041	ORYLA15678, ORYLA15677	MOUSE31152
OG0000041	ORYLA16345, ORYLA07970	MOUSE44196
OG0000041	ORYLA13989, ORYLA15806	MOUSE31142
OG0000041	ORYLA13990, ORYLA15807	MOUSE31141
OG0000041	ORYLA14735, ORYLA19535	MOUSE41518
OG0000041	ORYLA15808	MOUSE31140
OG0000041	ORYLA14736, ORYLA19536	MOUSE41519
OG0000041	ORYLA12118	MOUSE27266
OG0000041	ORYLA13695	MOUSE28829
OG0000041	ORYLA09068	MOUSE21621
OG0000041	ORYLA11484	MOUSE06756
OG0000041	ORYLA11472	MOUSE06702
OG0000041	ORYLA05357	MOUSE13395
OG0000041	ORYLA19350	MOUSE28657
OG0000042	ORYLA12797, ORYLA10877, ORYLA10878	MOUSE15999
OG0000043	ORYLA04209	MOUSE50973
OG0000044	ORYLA04503	MOUSE09513
OG0000044	ORYLA10718	MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857
OG0000044	ORYLA02275, ORYLA17868	MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857
OG0000044	ORYLA05261	MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	ORYLA01286	MOUSE03349
OG0000044	ORYLA05288	MOUSE41161, MOUSE41162
OG0000045	ORYLA09207	MOUSE25074
OG0000045	ORYLA02935	MOUSE25340, MOUSE25339, MOUSE25341
OG0000045	ORYLA02913	MOUSE20735
OG0000046	ORYLA00520	MOUSE48114, MOUSE48113
OG0000046	ORYLA07200, ORYLA07202, ORYLA07201	MOUSE30090
OG0000046	ORYLA01168	MOUSE36275, MOUSE36276
OG0000046	ORYLA05911	MOUSE54722
OG0000048	ORYLA15052	MOUSE07450
OG0000048	ORYLA19472	MOUSE55730
OG0000048	ORYLA03737, ORYLA03687	MOUSE04650, MOUSE04652
OG0000048	ORYLA09010, ORYLA09283, ORYLA10119	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452
OG0000048	ORYLA08002	MOUSE42201, MOUSE42202
OG0000048	ORYLA11420	MOUSE06701
OG0000048	ORYLA15054	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	ORYLA11559, ORYLA19044	MOUSE00124, MOUSE00123
OG0000049	ORYLA04067, ORYLA03584	MOUSE44987, MOUSE44986
OG0000049	ORYLA13704, ORYLA13828	MOUSE52606, MOUSE52607, MOUSE52608
OG0000049	ORYLA15018	MOUSE35311
OG0000049	ORYLA20256, ORYLA14320	MOUSE03391
OG0000049	ORYLA15992, ORYLA14028	MOUSE17233, MOUSE17232
OG0000049	ORYLA14561	MOUSE39154, MOUSE39153
OG0000049	ORYLA15871	MOUSE40910, MOUSE40909
OG0000049	ORYLA14190, ORYLA14191	MOUSE40908
OG0000049	ORYLA11029	MOUSE39155
OG0000051	ORYLA05117	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000053	ORYLA12857	MOUSE33288
OG0000054	ORYLA00519	MOUSE48109
OG0000054	ORYLA05953	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534
OG0000054	ORYLA08804	MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	MOUSE08948, MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831
OG0000056	ORYLA07324	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581
OG0000056	ORYLA13076	MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838
OG0000056	ORYLA07014	MOUSE31839, MOUSE31840
OG0000056	ORYLA16605	MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804
OG0000056	ORYLA13077	MOUSE31842
OG0000056	ORYLA17860	MOUSE37995, MOUSE37994
OG0000057	ORYLA17686	MOUSE10186, MOUSE10187, MOUSE10188
OG0000057	ORYLA14639, ORYLA12170	MOUSE44717, MOUSE44718
OG0000057	ORYLA13554, ORYLA12219	MOUSE55281, MOUSE55280
OG0000058	ORYLA18104	MOUSE10546
OG0000058	ORYLA11895, ORYLA12524	MOUSE49898
