Orthogroup	ORYLA	DROME
OG0000040	ORYLA15343, ORYLA04846, ORYLA04844, ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	ORYLA13695, ORYLA09068	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	ORYLA05288	DROME03638
OG0000045	ORYLA09209	DROME00740, DROME05490, DROME00741, DROME00650
OG0000048	ORYLA19472	DROME07309
OG0000048	ORYLA14101	DROME15626, DROME15625
OG0000048	ORYLA09010, ORYLA09283, ORYLA10119, ORYLA14965, ORYLA19631, ORYLA08002	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	ORYLA15054	DROME01500
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	DROME18357, DROME18359, DROME18358
OG0000054	ORYLA00519	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	ORYLA05953, ORYLA08804	DROME21992
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	ORYLA11907	DROME06565
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	ORYLA07060, ORYLA08273	DROME05579, DROME05580, DROME06033
OG0000062	ORYLA10585, ORYLA11804	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000065	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272	DROME22058
OG0000068	ORYLA16122, ORYLA20259, ORYLA15438, ORYLA14153, ORYLA11242, ORYLA11243, ORYLA14701, ORYLA15913, ORYLA10852	DROME18366, DROME18368, DROME18367
OG0000069	ORYLA03855	DROME03778
OG0000069	ORYLA00227, ORYLA00099, ORYLA00041	DROME03680
OG0000069	ORYLA08015	DROME19859, DROME00928
OG0000070	ORYLA11329, ORYLA09412	DROME04028, DROME04029, DROME06783
OG0000071	ORYLA02280, ORYLA18954	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812
OG0000072	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070	DROME12247, DROME12248
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	DROME00154
OG0000072	ORYLA20464	DROME00750
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431	DROME03014
OG0000075	ORYLA10050	DROME01374
OG0000075	ORYLA15750	DROME01373
OG0000075	ORYLA10049, ORYLA15751	DROME01375
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	DROME04883, DROME04882
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	DROME15696, DROME15698, DROME15697
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	DROME07079, DROME07077, DROME07078
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	DROME14752
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	ORYLA13165	DROME01298
OG0000082	ORYLA02580	DROME20298
OG0000082	ORYLA01470	DROME05998
OG0000082	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560	DROME11174, DROME11173, DROME15008
OG0000083	ORYLA04024, ORYLA20424	DROME17112
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	ORYLA07935	DROME10293, DROME10294, DROME10289, DROME10292
OG0000085	ORYLA06168	DROME00999, DROME00998, DROME01000
OG0000085	ORYLA17935	DROME19740
OG0000085	ORYLA08526, ORYLA02243, ORYLA05178	DROME10832, DROME10831
OG0000086	ORYLA18822	DROME14954
OG0000087	ORYLA07293	DROME22088
OG0000087	ORYLA15868, ORYLA15867	DROME08842
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	DROME01198, DROME01197
OG0000090	ORYLA02080, ORYLA06082	DROME02752
OG0000090	ORYLA01746, ORYLA06194	DROME16241, DROME16240, DROME16239
OG0000091	ORYLA02531	DROME20804
OG0000094	ORYLA14179, ORYLA15729, ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	DROME08195, DROME08196
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	DROME08870
OG0000096	ORYLA13747, ORYLA08870	DROME13163
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	DROME13915
OG0000096	ORYLA12353, ORYLA17186	DROME09341
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	ORYLA20429, ORYLA04253, ORYLA01278, ORYLA03578, ORYLA04559, ORYLA01343	DROME10335, DROME10334, DROME09743
OG0000099	ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	ORYLA00999	DROME09951
OG0000100	ORYLA08449, ORYLA10317	DROME10813
OG0000101	ORYLA08387, ORYLA09166, ORYLA09165	DROME05458
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	ORYLA03680, ORYLA06072	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	DROME16895, DROME16894
OG0000104	ORYLA06071, ORYLA03679	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	ORYLA09408	DROME17321, DROME17322
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282	DROME02609
OG0000106	ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	ORYLA18785	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000111	ORYLA16810, ORYLA16333, ORYLA00657, ORYLA18197, ORYLA16684, ORYLA01366, ORYLA07106, ORYLA09236, ORYLA01992, ORYLA04883, ORYLA16219	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	DROME04013, DROME04512, DROME04513
OG0000116	ORYLA19541	DROME05231
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	DROME21220, DROME21219
OG0000119	ORYLA09477, ORYLA05169	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	ORYLA11085, ORYLA06191	DROME00677, DROME00672, DROME00674, DROME00673, DROME00671, DROME00670
OG0000121	ORYLA00510, ORYLA01379, ORYLA07858	DROME17781, DROME08015
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	ORYLA04499, ORYLA01264	DROME17463
OG0000124	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798	DROME08713, DROME09900
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	DROME21734
OG0000125	ORYLA06139, ORYLA15763, ORYLA14369	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000125	ORYLA12115	DROME04039, DROME04040, DROME04038
OG0000126	ORYLA10750, ORYLA01228, ORYLA13510	DROME01805, DROME01804
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	ORYLA09118	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	ORYLA18247, ORYLA09922	DROME11205, DROME11204
OG0000127	ORYLA05476, ORYLA10382	DROME08158
OG0000127	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240	DROME05986
OG0000127	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683	DROME18062
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055
OG0000130	ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	ORYLA02651, ORYLA17218	DROME18073, DROME18075, DROME18074
OG0000132	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	ORYLA08857	DROME08254, DROME08253
OG0000142	ORYLA06988	DROME07187
OG0000142	ORYLA13949	DROME17530, DROME17531
OG0000147	ORYLA06944, ORYLA12833, ORYLA15636	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	ORYLA13100, ORYLA13101	DROME03466
OG0000147	ORYLA05214, ORYLA18182, ORYLA10192	DROME17452, DROME17451
OG0000148	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171	DROME19762, DROME19761, DROME19763
OG0000148	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722	DROME12939
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	ORYLA19729	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000154	ORYLA04056, ORYLA00974	DROME12872, DROME12871
OG0000155	ORYLA01931, ORYLA05131	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319	DROME05618, DROME05617, DROME05616
OG0000157	ORYLA15668, ORYLA19374, ORYLA02711, ORYLA13713, ORYLA15077, ORYLA11173, ORYLA15669	DROME09786
OG0000157	ORYLA12434	DROME05150, DROME05149
OG0000158	ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104	DROME06825, DROME06824
OG0000159	ORYLA02062, ORYLA11501, ORYLA06048	DROME09571, DROME09570
OG0000160	ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	ORYLA08646	DROME21138, DROME21116
OG0000163	ORYLA00631, ORYLA16749, ORYLA00152, ORYLA08374, ORYLA16276	DROME12520
OG0000163	ORYLA16748, ORYLA00153, ORYLA16983, ORYLA16982	DROME07955
OG0000163	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820	DROME19834, DROME00819
OG0000163	ORYLA17166, ORYLA15777	DROME16444
OG0000164	ORYLA18109	DROME08486
OG0000167	ORYLA11938	DROME09457, DROME09458
OG0000168	ORYLA13628, ORYLA02944, ORYLA17507, ORYLA06652, ORYLA13431, ORYLA12906, ORYLA10223, ORYLA07700, ORYLA20030, ORYLA20029, ORYLA03403	DROME01783
OG0000171	ORYLA11273	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
OG0000171	ORYLA07855, ORYLA00842, ORYLA07412, ORYLA00507	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	ORYLA14905	DROME14415
OG0000173	ORYLA05837, ORYLA04181, ORYLA13115, ORYLA06590, ORYLA06914, ORYLA13267, ORYLA20247, ORYLA14500, ORYLA03510, ORYLA06836, ORYLA06833, ORYLA02812, ORYLA09725, ORYLA09722, ORYLA12289, ORYLA14240, ORYLA13837, ORYLA19372, ORYLA02059, ORYLA11932	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000175	ORYLA13694, ORYLA09065, ORYLA06318	DROME03593, DROME00840
OG0000179	ORYLA02338, ORYLA18117	DROME11221, DROME21050
OG0000179	ORYLA18062, ORYLA18061, ORYLA14649	DROME07796
OG0000179	ORYLA20422	DROME10428
OG0000180	ORYLA17830	DROME12336
OG0000180	ORYLA10201, ORYLA08835	DROME21739, DROME21740
OG0000180	ORYLA01448, ORYLA01304, ORYLA04174, ORYLA04081, ORYLA03160, ORYLA03933	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367
OG0000181	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335	DROME12775
OG0000181	ORYLA11594	DROME06226
