Orthogroup	ORYLA	STRPU_ok
OG0000002	ORYLA00438	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991
OG0000002	ORYLA12350	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083
OG0000002	ORYLA13467, ORYLA16691	STRPU_00361
OG0000003	ORYLA18464	STRPU_22956, STRPU_00065
OG0000004	ORYLA04400, ORYLA08919	STRPU_19329
OG0000005	ORYLA04733	STRPU_02665, STRPU_01699
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	STRPU_04777
OG0000006	ORYLA20407, ORYLA03595	STRPU_05111, STRPU_05037
OG0000006	ORYLA03421, ORYLA09483	STRPU_06684
OG0000006	ORYLA13382	STRPU_19989
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	STRPU_12594, STRPU_12593
OG0000006	ORYLA10511, ORYLA11827	STRPU_20521
OG0000006	ORYLA16517	STRPU_09165, STRPU_02127
OG0000006	ORYLA16515	STRPU_09164
OG0000006	ORYLA17394	STRPU_27184, STRPU_27203
OG0000006	ORYLA05082	STRPU_07314
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	STRPU_27126
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	STRPU_21071
OG0000006	ORYLA04691	STRPU_14340
OG0000007	ORYLA13334	STRPU_25459
OG0000007	ORYLA14937, ORYLA17526	STRPU_26581
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	STRPU_21427
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	STRPU_18763
OG0000007	ORYLA10719	STRPU_09815
OG0000007	ORYLA18472	STRPU_10770
OG0000007	ORYLA15197	STRPU_25460
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	STRPU_25458
OG0000007	ORYLA13010	STRPU_08156, STRPU_08157
OG0000007	ORYLA03471, ORYLA17615	STRPU_16477
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	STRPU_21790
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	STRPU_08442
OG0000007	ORYLA16317	STRPU_08417
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	STRPU_10590
OG0000007	ORYLA10158, ORYLA04736	STRPU_21559
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	STRPU_23377, STRPU_23376
OG0000012	ORYLA07628	STRPU_06380, STRPU_06825
OG0000012	ORYLA15199	STRPU_23513
OG0000014	ORYLA11600, ORYLA01088	STRPU_17754, STRPU_17755
OG0000014	ORYLA07812, ORYLA17200	STRPU_19509
OG0000015	ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	STRPU_05546, STRPU_05605
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	STRPU_05547, STRPU_05606
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	STRPU_21905
OG0000016	ORYLA12720, ORYLA00945	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	STRPU_09277
OG0000016	ORYLA09921	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484
OG0000016	ORYLA00030	STRPU_15361, STRPU_21110
OG0000016	ORYLA11245, ORYLA15380	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082
OG0000018	ORYLA02836, ORYLA14501	STRPU_21331
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	STRPU_23414, STRPU_01023
OG0000020	ORYLA12531	STRPU_13949
OG0000020	ORYLA10559	STRPU_20580
OG0000020	ORYLA06663	STRPU_19028, STRPU_00464
OG0000020	ORYLA16080	STRPU_22748, STRPU_01903
OG0000020	ORYLA09855	STRPU_07115
OG0000020	ORYLA06900, ORYLA09950	STRPU_26678
OG0000020	ORYLA16727	STRPU_22232
OG0000020	ORYLA06780	STRPU_19861, STRPU_19888
OG0000020	ORYLA01097, ORYLA00349	STRPU_05007
OG0000020	ORYLA15647	STRPU_11453
OG0000020	ORYLA00902	STRPU_04309, STRPU_04336
OG0000020	ORYLA02546	STRPU_05521
OG0000020	ORYLA06519	STRPU_21977
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	STRPU_23367
OG0000021	ORYLA12641, ORYLA05479	STRPU_25829
OG0000021	ORYLA03698, ORYLA17601	STRPU_02205, STRPU_15603
OG0000021	ORYLA04373	STRPU_02212, STRPU_15595
OG0000021	ORYLA12092, ORYLA14389	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213
OG0000021	ORYLA06753	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059
OG0000023	ORYLA08126	STRPU_09714, STRPU_09758
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358
OG0000023	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	STRPU_06195, STRPU_03150, STRPU_14183, STRPU_00265, STRPU_07747
OG0000024	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498	STRPU_01267, STRPU_16831
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	STRPU_27008
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	STRPU_09836, STRPU_17433, STRPU_17432
OG0000029	ORYLA15906	STRPU_14123
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	STRPU_23383
OG0000030	ORYLA07170	STRPU_18729, STRPU_18720
OG0000030	ORYLA20234	STRPU_10522
OG0000031	ORYLA09861, ORYLA15740	STRPU_24640
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	STRPU_24955
OG0000031	ORYLA01770	STRPU_24636
OG0000031	ORYLA06561	STRPU_27330
OG0000031	ORYLA10394, ORYLA11971	STRPU_08004
OG0000031	ORYLA04591, ORYLA04917	STRPU_05537, STRPU_05597
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	STRPU_18994
OG0000031	ORYLA09501, ORYLA00346	STRPU_05368
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	STRPU_24676
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458
OG0000032	ORYLA15502	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816
OG0000032	ORYLA06416	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343
OG0000033	ORYLA01373	STRPU_03796, STRPU_03613, STRPU_12671, STRPU_12047, STRPU_02311, STRPU_18113, STRPU_15158, STRPU_15977, STRPU_02826, STRPU_19630
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	STRPU_11798
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	STRPU_11930, STRPU_11885
OG0000034	ORYLA07312	STRPU_27315
OG0000034	ORYLA12339, ORYLA14860	STRPU_11793
OG0000034	ORYLA19697	STRPU_04070
OG0000034	ORYLA14655	STRPU_12141, STRPU_12106
OG0000035	ORYLA16101	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	STRPU_27002
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	STRPU_13051
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	STRPU_12705, STRPU_12704
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	STRPU_12998, STRPU_12553
OG0000035	ORYLA17117, ORYLA14783	STRPU_12700
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659
OG0000036	ORYLA12571	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	STRPU_20762
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	STRPU_24785
OG0000037	ORYLA04725	STRPU_10295, STRPU_10296, STRPU_10297
OG0000038	ORYLA16079	STRPU_17412, STRPU_17401
OG0000038	ORYLA08393, ORYLA09754	STRPU_18075, STRPU_01765
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	STRPU_13266
OG0000039	ORYLA07496	STRPU_05101, STRPU_05100, STRPU_05180
OG0000039	ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246
OG0000040	ORYLA04846, ORYLA04844	STRPU_00136
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	STRPU_13000
OG0000043	ORYLA03388	STRPU_10844, STRPU_10864
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	STRPU_09802
OG0000044	ORYLA05288	STRPU_00051
OG0000045	ORYLA09209	STRPU_00473
OG0000046	ORYLA00520	STRPU_24167, STRPU_08327, STRPU_08328
OG0000048	ORYLA19472	STRPU_05493
OG0000048	ORYLA17217	STRPU_15458
OG0000048	ORYLA14101	STRPU_09674
OG0000048	ORYLA08002	STRPU_20602
OG0000048	ORYLA11420	STRPU_20482
OG0000048	ORYLA15054	STRPU_26191
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	STRPU_17072
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	STRPU_23537
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	STRPU_23536
OG0000051	ORYLA05117	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	STRPU_04659, STRPU_16539, STRPU_16559, STRPU_16119, STRPU_13068, STRPU_00276, STRPU_03183, STRPU_16462, STRPU_09642, STRPU_12463, STRPU_09640, STRPU_09643, STRPU_15631, STRPU_23975, STRPU_23951, STRPU_09641, STRPU_12462, STRPU_10210, STRPU_06254, STRPU_06255, STRPU_05990, STRPU_18874
OG0000054	ORYLA00519	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	STRPU_19327
OG0000056	ORYLA17860	STRPU_12248, STRPU_11783
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382
OG0000057	ORYLA13554, ORYLA12219	STRPU_09580
OG0000058	ORYLA11907	STRPU_08551
OG0000058	ORYLA18104	STRPU_08934
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	STRPU_09783
OG0000058	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068	STRPU_07320, STRPU_07322, STRPU_07323, STRPU_07321
OG0000059	ORYLA09176	STRPU_05220
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005
OG0000060	ORYLA01946, ORYLA04743	STRPU_24855
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	STRPU_12994
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	STRPU_13962
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	STRPU_02428, STRPU_13635
OG0000061	ORYLA07060, ORYLA08273	STRPU_13960, STRPU_13959, STRPU_13958
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408
OG0000062	ORYLA10585, ORYLA11804	STRPU_08191
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	STRPU_18989
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	STRPU_23711
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	STRPU_18657
OG0000066	ORYLA06398	STRPU_19100
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385
OG0000069	ORYLA00084	STRPU_00005
OG0000070	ORYLA11329, ORYLA09412	STRPU_17447, STRPU_05505
OG0000070	ORYLA07085, ORYLA17312	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932
OG0000072	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070	STRPU_05231
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	STRPU_05349
OG0000072	ORYLA20464	STRPU_05343
OG0000072	ORYLA05266	STRPU_04704, STRPU_04707
OG0000073	ORYLA06148, ORYLA06147	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420
OG0000073	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725	STRPU_14789
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186
OG0000074	ORYLA15428	STRPU_01960
OG0000075	ORYLA08229, ORYLA07050	STRPU_25005
OG0000075	ORYLA10050	STRPU_25123
OG0000075	ORYLA15750	STRPU_25122
OG0000075	ORYLA05870, ORYLA14226	STRPU_10595
OG0000075	ORYLA10049, ORYLA15751	STRPU_25157
OG0000075	ORYLA11054, ORYLA15824	STRPU_01897, STRPU_22743
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	STRPU_23530
OG0000075	ORYLA19688	STRPU_23991
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	STRPU_09555
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	STRPU_10408
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	STRPU_07855
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	STRPU_23093, STRPU_23381, STRPU_23773
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	STRPU_04091
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	STRPU_02493, STRPU_15115
OG0000079	ORYLA17895	STRPU_15116, STRPU_02495
OG0000079	ORYLA13165	STRPU_26495, STRPU_19060
OG0000082	ORYLA02580	STRPU_19842
OG0000082	ORYLA01470	STRPU_09694, STRPU_09737
OG0000082	ORYLA09330	STRPU_22564, STRPU_22563, STRPU_20087
OG0000082	ORYLA19108	STRPU_18951
OG0000083	ORYLA04024, ORYLA20424	STRPU_05477, STRPU_05480, STRPU_05479
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	STRPU_10120, STRPU_10047
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	STRPU_24977
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	STRPU_15094
OG0000085	ORYLA06168	STRPU_25637
OG0000085	ORYLA17935	STRPU_14802
OG0000085	ORYLA02243, ORYLA05178	STRPU_17832
OG0000087	ORYLA07293	STRPU_06300, STRPU_06346
OG0000087	ORYLA15867	STRPU_23330
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	STRPU_17838, STRPU_22395
OG0000090	ORYLA02080, ORYLA06082	STRPU_20024, STRPU_20023
OG0000090	ORYLA01746, ORYLA06194	STRPU_15706
OG0000091	ORYLA02531	STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652
OG0000093	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252
OG0000094	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	STRPU_22767, STRPU_01923
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	STRPU_19407
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	STRPU_06019
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	STRPU_23963, STRPU_23937
OG0000096	ORYLA13747, ORYLA08870	STRPU_22229
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	STRPU_15853, STRPU_15805
OG0000096	ORYLA12353, ORYLA17186	STRPU_11677
OG0000096	ORYLA10017	STRPU_13124, STRPU_02569
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	STRPU_22565, STRPU_22567, STRPU_16696
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	STRPU_26921, STRPU_27157
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	STRPU_16997, STRPU_16998
OG0000100	ORYLA00999	STRPU_03239
OG0000100	ORYLA08449	STRPU_01996
OG0000101	ORYLA12058	STRPU_12617
OG0000101	ORYLA09166, ORYLA09165	STRPU_17399, STRPU_17409
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047
OG0000102	ORYLA19358, ORYLA00094	STRPU_21344
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	STRPU_08665
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	STRPU_08161
OG0000104	ORYLA03680, ORYLA06072	STRPU_03670, STRPU_03681
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	STRPU_22118
OG0000104	ORYLA03679	STRPU_03688, STRPU_03686
OG0000104	ORYLA09408	STRPU_02772
OG0000104	ORYLA14236, ORYLA14756, ORYLA10856	STRPU_23716
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282	STRPU_25282
OG0000106	ORYLA06794	STRPU_25442
OG0000106	ORYLA05764, ORYLA14913, ORYLA14914	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307
OG0000113	ORYLA17645, ORYLA13433	STRPU_10396, STRPU_18172
OG0000113	ORYLA15283	STRPU_25041, STRPU_04494, STRPU_04495
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210
OG0000115	ORYLA10019, ORYLA12386	STRPU_25508, STRPU_12373, STRPU_23313
OG0000116	ORYLA19541	STRPU_21801, STRPU_21802
OG0000117	ORYLA13253	STRPU_18287
OG0000117	ORYLA15132	STRPU_16027
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	STRPU_13902
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951
OG0000119	ORYLA09477, ORYLA05169	STRPU_13805, STRPU_13905
OG0000121	ORYLA00510, ORYLA01379, ORYLA07858	STRPU_17646, STRPU_02277
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	STRPU_24150
OG0000122	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	STRPU_24593, STRPU_24582
OG0000123	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364	STRPU_09939
OG0000123	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949	STRPU_01514, STRPU_09445
