Orthogroup	ORYLA	APOSC_ok
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	APOSC_07574, APOSC_20436
OG0000029	ORYLA08651, ORYLA09837	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971
OG0000030	ORYLA18077	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	ORYLA07170	APOSC_00359
OG0000030	ORYLA20234	APOSC_12149
OG0000031	ORYLA09861, ORYLA15740	APOSC_14687
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	APOSC_14535
OG0000031	ORYLA06561	APOSC_00328
OG0000031	ORYLA05367	APOSC_22115
OG0000031	ORYLA00795, ORYLA10394, ORYLA11971	APOSC_01319
OG0000031	ORYLA04591, ORYLA04917	APOSC_17680
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	APOSC_02579
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	APOSC_22997
OG0000031	ORYLA06240	APOSC_06756, APOSC_06755
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	ORYLA15502	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000032	ORYLA06416	APOSC_11250, APOSC_11249, APOSC_24933
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	APOSC_01056
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	APOSC_00389
OG0000034	ORYLA07312	APOSC_10138
OG0000034	ORYLA12339, ORYLA14860	APOSC_10830
OG0000034	ORYLA19697	APOSC_23397
OG0000034	ORYLA14655	APOSC_15909
OG0000035	ORYLA16101	APOSC_27035
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	APOSC_25872
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	APOSC_04998
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	APOSC_25573
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	APOSC_08656, APOSC_21135, APOSC_21136
OG0000035	ORYLA17117, ORYLA14783	APOSC_27270
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667
OG0000036	ORYLA20440, ORYLA11184	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	ORYLA12571	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	APOSC_01516
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	APOSC_24133
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	APOSC_28740
OG0000037	ORYLA04725	APOSC_09580, APOSC_09579
OG0000038	ORYLA16079	APOSC_27834
OG0000038	ORYLA16179	APOSC_06537, APOSC_16047, APOSC_06107, APOSC_14280, APOSC_05817, APOSC_20988, APOSC_17092
OG0000038	ORYLA08393, ORYLA09754	APOSC_25222, APOSC_10656
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	APOSC_12842, APOSC_27514
OG0000039	ORYLA07496	APOSC_00666
OG0000039	ORYLA16124	APOSC_22387
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255
OG0000040	ORYLA18356	APOSC_11722
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234
OG0000041	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677	APOSC_19034
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	APOSC_26184
OG0000041	ORYLA13695, ORYLA09068	APOSC_00445
OG0000043	ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854	APOSC_12898
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	APOSC_25765
OG0000044	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800	APOSC_03195
OG0000045	ORYLA09208, ORYLA09207	APOSC_22122, APOSC_09364, APOSC_16917
OG0000046	ORYLA00520	APOSC_27956
OG0000048	ORYLA17217	APOSC_06436
OG0000048	ORYLA08002	APOSC_05588
OG0000048	ORYLA11420	APOSC_11695
OG0000048	ORYLA15054	APOSC_03220
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	APOSC_16875
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	APOSC_03799
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	APOSC_10378
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	APOSC_13440
OG0000051	ORYLA05117	APOSC_17477, APOSC_05458, APOSC_29038
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	APOSC_24676, APOSC_06083, APOSC_25118, APOSC_15608, APOSC_21574, APOSC_12782, APOSC_22044
OG0000054	ORYLA00519	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	APOSC_00208, APOSC_00207, APOSC_00209
OG0000057	ORYLA13554, ORYLA12219	APOSC_23236, APOSC_24402, APOSC_06368
OG0000058	ORYLA18104	APOSC_06035
OG0000058	ORYLA18102	APOSC_22832, APOSC_21555
OG0000059	ORYLA09176	APOSC_10184
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	APOSC_00480
OG0000060	ORYLA01946, ORYLA04743	APOSC_15645
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	APOSC_08992
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	APOSC_14996
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	APOSC_00292
OG0000061	ORYLA07060, ORYLA08273	APOSC_26114, APOSC_02472
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763
OG0000062	ORYLA10585, ORYLA11804	APOSC_18486, APOSC_01084
OG0000063	ORYLA07168	APOSC_16969
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	APOSC_25041
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	APOSC_17949
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	APOSC_13886, APOSC_04832
OG0000066	ORYLA06398	APOSC_20821
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846
OG0000069	ORYLA08015	APOSC_27459
OG0000069	ORYLA00084, ORYLA03826	APOSC_07708
OG0000070	ORYLA07085, ORYLA17312	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	APOSC_26208
OG0000072	ORYLA20464	APOSC_12820
OG0000073	ORYLA20002	APOSC_07375
OG0000073	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725	APOSC_27321
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	APOSC_10399, APOSC_08687, APOSC_25382
OG0000075	ORYLA08229, ORYLA07050	APOSC_14489
OG0000075	ORYLA10050	APOSC_10923
OG0000075	ORYLA05870, ORYLA14226	APOSC_12033
OG0000075	ORYLA10049, ORYLA15751	APOSC_07538
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	APOSC_06620
OG0000075	ORYLA11054, ORYLA15824	APOSC_08706
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	APOSC_20859
OG0000075	ORYLA19688	APOSC_19754
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	APOSC_15032
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	APOSC_19689
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	APOSC_14696
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	APOSC_10552, APOSC_10551
OG0000079	ORYLA13165	APOSC_06744
OG0000080	ORYLA09642, ORYLA12801	APOSC_15378
OG0000082	ORYLA02580	APOSC_14161
OG0000082	ORYLA01470	APOSC_20096
OG0000082	ORYLA09330	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423
OG0000082	ORYLA03293, ORYLA05560	APOSC_11149
OG0000082	ORYLA19108	APOSC_17996
OG0000083	ORYLA04024, ORYLA20424	APOSC_20881
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	APOSC_25447
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	APOSC_13201
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	APOSC_00722
OG0000085	ORYLA06168	APOSC_00825
OG0000085	ORYLA17935	APOSC_21002
OG0000085	ORYLA02243, ORYLA05178	APOSC_25216
OG0000086	ORYLA18822	APOSC_09013
OG0000087	ORYLA07293	APOSC_06838, APOSC_06839, APOSC_06840
OG0000087	ORYLA15867	APOSC_26553, APOSC_26554
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	APOSC_18760
OG0000090	ORYLA02080, ORYLA06082	APOSC_26110
OG0000090	ORYLA01746, ORYLA06194	APOSC_03937
OG0000094	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	APOSC_02606, APOSC_02607
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	APOSC_21896, APOSC_21895
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	APOSC_05085
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	APOSC_03162
OG0000096	ORYLA13747, ORYLA08870	APOSC_25015
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	APOSC_16859
OG0000096	ORYLA12353, ORYLA17186	APOSC_21738
OG0000096	ORYLA10017	APOSC_21519
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	APOSC_13176, APOSC_13174, APOSC_13175
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	APOSC_27629, APOSC_10815
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	APOSC_01352, APOSC_23267
OG0000101	ORYLA12058	APOSC_08305
OG0000101	ORYLA09166, ORYLA09165	APOSC_23688
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	APOSC_25079, APOSC_09250
OG0000102	ORYLA19358, ORYLA00094	APOSC_11388
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	APOSC_08194
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	APOSC_19265
OG0000104	ORYLA03680, ORYLA06072	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	APOSC_11443, APOSC_11444, APOSC_11442
OG0000104	ORYLA03679	APOSC_16135
OG0000104	ORYLA09408	APOSC_04087, APOSC_04088
OG0000104	ORYLA14236, ORYLA14756, ORYLA10856	APOSC_13374
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282	APOSC_22868
OG0000106	ORYLA06794	APOSC_21078
OG0000106	ORYLA05764, ORYLA14913, ORYLA14914	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000108	ORYLA11649, ORYLA11648, ORYLA16478, ORYLA16477	APOSC_10956
OG0000113	ORYLA17645, ORYLA13433	APOSC_22087, APOSC_26451
OG0000113	ORYLA15283	APOSC_05289, APOSC_24456, APOSC_21846, APOSC_16966, APOSC_27198, APOSC_04616, APOSC_09550, APOSC_06453, APOSC_14352
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000115	ORYLA10019, ORYLA12386	APOSC_04786
OG0000116	ORYLA19541	APOSC_28097, APOSC_09224
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	APOSC_11483
OG0000119	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102
OG0000119	ORYLA09477, ORYLA05169	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000120	ORYLA02744, ORYLA02745, ORYLA18396, ORYLA14915	APOSC_04315
OG0000120	ORYLA18874	APOSC_18873
OG0000120	ORYLA01786, ORYLA01787	APOSC_13215
OG0000120	ORYLA09667	APOSC_05045
OG0000121	ORYLA19087, ORYLA18511	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	APOSC_25177
OG0000122	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	APOSC_11178
OG0000123	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364	APOSC_03443
OG0000123	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949	APOSC_20465
OG0000123	ORYLA04317, ORYLA01144	APOSC_23180
OG0000124	ORYLA04499, ORYLA01264	APOSC_29022
OG0000124	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798	APOSC_26551
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	APOSC_03695
OG0000124	ORYLA04689	APOSC_13919
OG0000124	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516	APOSC_09834
OG0000125	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368	APOSC_10519, APOSC_10520, APOSC_10518
OG0000125	ORYLA01977, ORYLA08228, ORYLA17147	APOSC_27450
OG0000125	ORYLA12115	APOSC_26262, APOSC_07039, APOSC_19200
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	APOSC_16760
OG0000126	ORYLA02839	APOSC_16759
OG0000126	ORYLA09118	APOSC_21117
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	APOSC_28093
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298	APOSC_24103
OG0000127	ORYLA18247, ORYLA09922	APOSC_09690
OG0000127	ORYLA05476, ORYLA10382	APOSC_02788
OG0000127	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240	APOSC_16052, APOSC_16050, APOSC_16051
OG0000127	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683	APOSC_04103
OG0000128	ORYLA17289	APOSC_22700, APOSC_06337
OG0000128	ORYLA03587	APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	APOSC_12123, APOSC_24173
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	APOSC_21068
OG0000130	ORYLA06999, ORYLA11637, ORYLA11367	APOSC_11111
OG0000130	ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772	APOSC_28750
OG0000131	ORYLA02651, ORYLA17218	APOSC_21472, APOSC_03272, APOSC_06150
OG0000132	ORYLA13789	APOSC_20151, APOSC_15845, APOSC_15846
OG0000132	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689
OG0000132	ORYLA08009	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776
