Orthogroup	ORYLA	APOSJ_ok
OG0000020	ORYLA06780	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	ORYLA01097, ORYLA00349	APOSJ_51246, APOSJ_35639
OG0000020	ORYLA15647	APOSJ_08125, APOSJ_51104
OG0000020	ORYLA00902	APOSJ_16758
OG0000020	ORYLA02546	APOSJ_64610, APOSJ_31490
OG0000020	ORYLA06519	APOSJ_45120
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	APOSJ_47375, APOSJ_47376
OG0000021	ORYLA20207, ORYLA15834	APOSJ_00267, APOSJ_00268, APOSJ_01716
OG0000021	ORYLA04373	APOSJ_56015, APOSJ_08859
OG0000021	ORYLA12092, ORYLA14389	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	ORYLA06753	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	ORYLA08126	APOSJ_12541
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	APOSJ_41943, APOSJ_55810, APOSJ_12803, APOSJ_61540, APOSJ_61541, APOSJ_41584, APOSJ_02508, APOSJ_02509, APOSJ_01723, APOSJ_49604, APOSJ_49606, APOSJ_49600, APOSJ_49609, APOSJ_01726, APOSJ_10812, APOSJ_01728, APOSJ_49603, APOSJ_01724, APOSJ_01725, APOSJ_49605, APOSJ_49608, APOSJ_49607, APOSJ_49602, APOSJ_01727, APOSJ_64694, APOSJ_36208, APOSJ_60045, APOSJ_60046, APOSJ_60043, APOSJ_60042, APOSJ_60044, APOSJ_60041, APOSJ_50597, APOSJ_50596, APOSJ_59030, APOSJ_52499, APOSJ_21171, APOSJ_52500, APOSJ_52498, APOSJ_22830, APOSJ_21196, APOSJ_44116, APOSJ_44115, APOSJ_38982, APOSJ_48566, APOSJ_03380, APOSJ_03379, APOSJ_18300, APOSJ_25967, APOSJ_38975, APOSJ_43890, APOSJ_11904
OG0000024	ORYLA12762	APOSJ_00017, APOSJ_53177, APOSJ_53178, APOSJ_04339, APOSJ_61804, APOSJ_31223, APOSJ_29329
OG0000024	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498	APOSJ_60754
OG0000024	ORYLA08413, ORYLA19485, ORYLA02911, ORYLA10288	APOSJ_47192, APOSJ_09230, APOSJ_62494, APOSJ_62492
OG0000026	ORYLA09539	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	APOSJ_13359, APOSJ_13358
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	ORYLA08651, ORYLA09837	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	ORYLA07170	APOSJ_46611, APOSJ_46610
OG0000030	ORYLA20234	APOSJ_24666, APOSJ_08058
OG0000031	ORYLA09861, ORYLA15740	APOSJ_56428
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	APOSJ_58452
OG0000031	ORYLA06561	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	ORYLA05367	APOSJ_20577, APOSJ_26215, APOSJ_20578, APOSJ_62690, APOSJ_62709, APOSJ_00509
OG0000031	ORYLA00795, ORYLA10394, ORYLA11971	APOSJ_07842, APOSJ_07841
OG0000031	ORYLA04591, ORYLA04917	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	APOSJ_01762
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	APOSJ_03114, APOSJ_03115
OG0000031	ORYLA06240	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	ORYLA15502	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000032	ORYLA06416	APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	APOSJ_17818, APOSJ_17819
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	ORYLA07312	APOSJ_60565, APOSJ_21305
OG0000034	ORYLA12339, ORYLA14860	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	ORYLA19697	APOSJ_63084, APOSJ_59127
OG0000034	ORYLA14655	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	ORYLA16101	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	APOSJ_13857
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	APOSJ_11969, APOSJ_09937
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	ORYLA17117, ORYLA14783	APOSJ_14503
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	ORYLA20440, ORYLA11184	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	ORYLA12571	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	APOSJ_40888, APOSJ_40889
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	APOSJ_41930, APOSJ_41929
OG0000037	ORYLA04725	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	ORYLA16079	APOSJ_54438
OG0000038	ORYLA16179	APOSJ_11403, APOSJ_11402, APOSJ_06808, APOSJ_11405, APOSJ_10464
OG0000038	ORYLA08393, ORYLA09754	APOSJ_30481
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	ORYLA07496	APOSJ_23948
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	APOSJ_07883
OG0000041	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	APOSJ_00247
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	APOSJ_20279, APOSJ_20278
OG0000044	ORYLA05174	APOSJ_55841
OG0000045	ORYLA09208, ORYLA09207	APOSJ_29368, APOSJ_29369
OG0000046	ORYLA00520	APOSJ_42127, APOSJ_64323, APOSJ_42125
OG0000048	ORYLA17217	APOSJ_59658
OG0000048	ORYLA08002	APOSJ_03221, APOSJ_10764
OG0000048	ORYLA11420	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779
OG0000048	ORYLA15054	APOSJ_12442
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	APOSJ_51843
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	APOSJ_36502
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	APOSJ_36462
OG0000051	ORYLA05117	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	APOSJ_26687, APOSJ_34045, APOSJ_63388, APOSJ_36954, APOSJ_61278, APOSJ_42243, APOSJ_55765, APOSJ_32702, APOSJ_63454, APOSJ_63427, APOSJ_63368, APOSJ_61255, APOSJ_26688, APOSJ_34044, APOSJ_26689, APOSJ_39929, APOSJ_26526, APOSJ_61561
OG0000054	ORYLA00519	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665
OG0000057	ORYLA13554, ORYLA12219	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000058	ORYLA18102	APOSJ_62158, APOSJ_62153, APOSJ_01987, APOSJ_01985, APOSJ_19125, APOSJ_01993, APOSJ_19124, APOSJ_01989, APOSJ_62159, APOSJ_01992, APOSJ_62160
OG0000059	ORYLA09176	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	APOSJ_00361, APOSJ_32459
OG0000060	ORYLA01946, ORYLA04743	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	APOSJ_24727, APOSJ_46788
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	APOSJ_04549, APOSJ_04550
OG0000061	ORYLA07060, ORYLA08273	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442
OG0000062	ORYLA10585, ORYLA11804	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000062	ORYLA18499	APOSJ_07799
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	APOSJ_62799, APOSJ_60703
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272	APOSJ_35430, APOSJ_06253
OG0000066	ORYLA06398	APOSJ_56697, APOSJ_30328
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299
OG0000069	ORYLA00084, ORYLA03826	APOSJ_04756
OG0000070	ORYLA11329, ORYLA09412	APOSJ_54993
OG0000070	ORYLA07085, ORYLA17312	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	APOSJ_38815, APOSJ_48482
OG0000072	ORYLA20464	APOSJ_48834, APOSJ_48835, APOSJ_48833
OG0000073	ORYLA20002	APOSJ_38490, APOSJ_38489
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	APOSJ_13143
OG0000075	ORYLA08229, ORYLA07050	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256
OG0000075	ORYLA10050	APOSJ_40363, APOSJ_40364, APOSJ_40365, APOSJ_40366, APOSJ_40367, APOSJ_40368
OG0000075	ORYLA15750	APOSJ_54695, APOSJ_54693
OG0000075	ORYLA05870, ORYLA14226	APOSJ_58877, APOSJ_16929, APOSJ_58880
OG0000075	ORYLA10049, ORYLA15751	APOSJ_41648
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	APOSJ_33309, APOSJ_33308
OG0000075	ORYLA11054, ORYLA15824	APOSJ_16193, APOSJ_16195
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	APOSJ_55514, APOSJ_55515
OG0000075	ORYLA19688	APOSJ_22770
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	APOSJ_09078, APOSJ_48664, APOSJ_48665, APOSJ_28712, APOSJ_28714, APOSJ_20960, APOSJ_02350, APOSJ_61846
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	APOSJ_18254
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	APOSJ_28991, APOSJ_28990
OG0000079	ORYLA13165	APOSJ_06559, APOSJ_06558
OG0000080	ORYLA09642, ORYLA12801	APOSJ_51754, APOSJ_53757, APOSJ_01450
OG0000082	ORYLA02580	APOSJ_25535
OG0000082	ORYLA01470	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287
OG0000082	ORYLA09330	APOSJ_21613, APOSJ_16506, APOSJ_10644, APOSJ_56248, APOSJ_56249, APOSJ_37517, APOSJ_37516, APOSJ_02572, APOSJ_34950, APOSJ_35579, APOSJ_10643, APOSJ_37511, APOSJ_37512, APOSJ_13539, APOSJ_10647, APOSJ_13536, APOSJ_37518, APOSJ_37514, APOSJ_35568, APOSJ_25153, APOSJ_13541, APOSJ_10646, APOSJ_10645, APOSJ_10640
OG0000082	ORYLA19108	APOSJ_10612
