Orthogroup	ORYLA	YEAST
OG0000343	ORYLA11766, ORYLA05311, ORYLA03936, ORYLA03297	YEAST03024, YEAST02736
OG0000345	ORYLA17736, ORYLA03893, ORYLA18632, ORYLA19612, ORYLA01382, ORYLA08221	YEAST01884
OG0000352	ORYLA02626, ORYLA13214, ORYLA13215, ORYLA16805, ORYLA00708, ORYLA00709, ORYLA19045, ORYLA15089	YEAST04069
OG0000357	ORYLA01112, ORYLA00674, ORYLA02665, ORYLA17822, ORYLA11167, ORYLA14261, ORYLA15724	YEAST01925
OG0000359	ORYLA12664, ORYLA16724, ORYLA09391, ORYLA16382, ORYLA01269	YEAST02489
OG0000363	ORYLA12525, ORYLA06099, ORYLA19085, ORYLA08262, ORYLA01904	YEAST04081, YEAST05870
OG0000365	ORYLA03808, ORYLA04263, ORYLA09099, ORYLA06385, ORYLA08881, ORYLA17112	YEAST05831
OG0000367	ORYLA11251, ORYLA13727, ORYLA14050, ORYLA14306, ORYLA15500, ORYLA07069, ORYLA11818	YEAST02141, YEAST03746, YEAST03210
OG0000372	ORYLA11902, ORYLA14491, ORYLA16999, ORYLA12426, ORYLA15492, ORYLA11861	YEAST05988
OG0000373	ORYLA17975, ORYLA07919, ORYLA16362, ORYLA10269, ORYLA07659	YEAST02023
OG0000385	ORYLA09843, ORYLA08652, ORYLA05706	YEAST03496
OG0000393	ORYLA17272	YEAST04072, YEAST04071
OG0000393	ORYLA18186	YEAST01302
OG0000397	ORYLA18921, ORYLA19892, ORYLA08378, ORYLA10415	YEAST05080
OG0000399	ORYLA11402, ORYLA10522, ORYLA11860, ORYLA14927, ORYLA05753, ORYLA19952, ORYLA07160, ORYLA13626	YEAST02160
OG0000400	ORYLA05314, ORYLA06502, ORYLA02904, ORYLA01626	YEAST05911
OG0000402	ORYLA16038, ORYLA10903, ORYLA14672, ORYLA17762, ORYLA18643, ORYLA18833, ORYLA19928, ORYLA12469	YEAST01657, YEAST01929
OG0000405	ORYLA06036, ORYLA14984, ORYLA12719, ORYLA17691	YEAST06055, YEAST00411
OG0000412	ORYLA08106, ORYLA05004, ORYLA17848, ORYLA01673	YEAST04469
OG0000413	ORYLA10551, ORYLA11652, ORYLA11343, ORYLA03076, ORYLA03075	YEAST04905, YEAST05340
OG0000413	ORYLA10219, ORYLA12848, ORYLA03097, ORYLA04188	YEAST02838
OG0000419	ORYLA12033, ORYLA16958, ORYLA15894, ORYLA11288	YEAST05989
OG0000420	ORYLA03182, ORYLA20448	YEAST03886
OG0000424	ORYLA19753	YEAST03563
OG0000426	ORYLA01331, ORYLA03961	YEAST03440
OG0000427	ORYLA19867, ORYLA12374, ORYLA14494, ORYLA06953, ORYLA03526	YEAST02655, YEAST02439
OG0000429	ORYLA00070	YEAST02285
OG0000431	ORYLA08041, ORYLA12780, ORYLA03106, ORYLA06581, ORYLA12268, ORYLA09572	YEAST04014
OG0000433	ORYLA20053, ORYLA16936, ORYLA11555, ORYLA11554, ORYLA20072	YEAST06177, YEAST00117
OG0000437	ORYLA08615, ORYLA10009	YEAST03074, YEAST02073
OG0000442	ORYLA03345, ORYLA09542, ORYLA09139, ORYLA02244, ORYLA19506, ORYLA00798, ORYLA17054	YEAST05012
OG0000444	ORYLA10830, ORYLA14231, ORYLA14616, ORYLA15046	YEAST01115, YEAST04019
OG0000445	ORYLA10377, ORYLA11833	YEAST03068
OG0000450	ORYLA09724, ORYLA18516, ORYLA11564, ORYLA02780, ORYLA02779, ORYLA08258, ORYLA00676, ORYLA01113, ORYLA17859, ORYLA18902, ORYLA03353	YEAST04709, YEAST05909
OG0000461	ORYLA04397, ORYLA17538	YEAST00120
OG0000467	ORYLA16164, ORYLA20242, ORYLA14274, ORYLA13723, ORYLA15983, ORYLA14489, ORYLA10863	YEAST03162
OG0000468	ORYLA07498, ORYLA06150, ORYLA10188	YEAST04372
OG0000469	ORYLA14324, ORYLA13835, ORYLA15812, ORYLA16158, ORYLA14163, ORYLA14420, ORYLA14753, ORYLA19640	YEAST02179, YEAST05440
OG0000469	ORYLA13413	YEAST00863
OG0000474	ORYLA15732, ORYLA07059, ORYLA02569, ORYLA18127, ORYLA08620, ORYLA09745	YEAST02384
OG0000476	ORYLA19318	YEAST03038
OG0000479	ORYLA05427, ORYLA02241, ORYLA00980, ORYLA10578, ORYLA01123, ORYLA17925, ORYLA02622	YEAST04139
OG0000480	ORYLA13134, ORYLA06337, ORYLA15386	YEAST05750
OG0000481	ORYLA17197	YEAST01040
OG0000481	ORYLA02862, ORYLA19409	YEAST00916
OG0000481	ORYLA03884, ORYLA19808	YEAST00827, YEAST00774
OG0000484	ORYLA00605, ORYLA16560, ORYLA06643, ORYLA13228, ORYLA17466, ORYLA13170	YEAST05824
OG0000486	ORYLA08269, ORYLA04783, ORYLA20474, ORYLA20475	YEAST03122, YEAST04270
OG0000487	ORYLA10548, ORYLA10468	YEAST04968
OG0000487	ORYLA00064, ORYLA16901	YEAST02728
OG0000488	ORYLA02034, ORYLA15556, ORYLA10093	YEAST01414
OG0000490	ORYLA02845, ORYLA13410, ORYLA00621, ORYLA16590, ORYLA01902, ORYLA06098, ORYLA18025	YEAST04297, YEAST00894
OG0000505	ORYLA13660, ORYLA07151, ORYLA02475, ORYLA17527, ORYLA14935, ORYLA01618, ORYLA14936, ORYLA18172	YEAST03067
OG0000508	ORYLA08233, ORYLA02029, ORYLA10053, ORYLA17614, ORYLA02652, ORYLA04256, ORYLA03536	YEAST04626
OG0000510	ORYLA16472, ORYLA08348, ORYLA17578, ORYLA02689, ORYLA01174	YEAST04569, YEAST05730
OG0000515	ORYLA07877	YEAST04784, YEAST05876
OG0000519	ORYLA19812, ORYLA02303	YEAST04594, YEAST03616
OG0000520	ORYLA17824, ORYLA02661, ORYLA16383, ORYLA05565, ORYLA01527, ORYLA03445	YEAST02979
OG0000523	ORYLA05415, ORYLA12411	YEAST01952, YEAST05838, YEAST06082
OG0000529	ORYLA12875, ORYLA05863, ORYLA01890, ORYLA04329, ORYLA19259	YEAST05790, YEAST00048
OG0000534	ORYLA19150, ORYLA15756, ORYLA09798, ORYLA08332, ORYLA16496	YEAST04932
OG0000538	ORYLA09396, ORYLA13935, ORYLA08202, ORYLA08895, ORYLA08896, ORYLA06216	YEAST00499
OG0000552	ORYLA02316, ORYLA01268, ORYLA19748	YEAST05717
OG0000561	ORYLA10348, ORYLA11842, ORYLA11841, ORYLA01515	YEAST06202, YEAST00331
OG0000562	ORYLA06574, ORYLA13197, ORYLA15135, ORYLA05394	YEAST00314
OG0000563	ORYLA04101, ORYLA03246, ORYLA17360	YEAST01406
OG0000566	ORYLA13005, ORYLA20281, ORYLA14818, ORYLA12608, ORYLA14819, ORYLA04369	YEAST05789, YEAST00049
OG0000573	ORYLA01895, ORYLA05878, ORYLA13057, ORYLA13843, ORYLA04228, ORYLA12607, ORYLA14820	YEAST05675
OG0000576	ORYLA13924, ORYLA15981, ORYLA08396, ORYLA05305, ORYLA13808, ORYLA15873	YEAST00470, YEAST00193
OG0000578	ORYLA07686, ORYLA04727, ORYLA10429, ORYLA03394, ORYLA04274	YEAST01208, YEAST00759
OG0000579	ORYLA11089, ORYLA20327, ORYLA19001, ORYLA13906, ORYLA15480	YEAST02484
OG0000582	ORYLA00146, ORYLA06509, ORYLA02435, ORYLA18131, ORYLA06109, ORYLA01735, ORYLA18132	YEAST03615
OG0000587	ORYLA03518, ORYLA06908, ORYLA07631, ORYLA13556, ORYLA13555, ORYLA12215	YEAST04063
OG0000587	ORYLA03397	YEAST03372
OG0000588	ORYLA16614, ORYLA00870, ORYLA06281, ORYLA02480, ORYLA17646, ORYLA04266	YEAST05197
OG0000590	ORYLA06142, ORYLA02148, ORYLA16465, ORYLA06302, ORYLA06303, ORYLA14008	YEAST05110, YEAST05552, YEAST03727
OG0000592	ORYLA17452, ORYLA11854, ORYLA14631, ORYLA12104, ORYLA04227	YEAST00388
OG0000597	ORYLA07402, ORYLA04005, ORYLA16364, ORYLA17588, ORYLA02653, ORYLA12151, ORYLA19873, ORYLA00446	YEAST04330
OG0000609	ORYLA10455, ORYLA12278, ORYLA12277, ORYLA08612, ORYLA08611, ORYLA14376	YEAST05180
OG0000612	ORYLA07338, ORYLA04935, ORYLA08129, ORYLA02945, ORYLA18740, ORYLA19604	YEAST02370
OG0000612	ORYLA15846	YEAST03629
OG0000613	ORYLA11623, ORYLA14150, ORYLA19742, ORYLA01989, ORYLA17655, ORYLA18374	YEAST01072
OG0000623	ORYLA04745	YEAST02411
OG0000623	ORYLA00079, ORYLA17052, ORYLA00793, ORYLA17008	YEAST05090
OG0000627	ORYLA12142, ORYLA12141, ORYLA03674, ORYLA06171, ORYLA09126, ORYLA20443	YEAST02116, YEAST03957
OG0000639	ORYLA02529, ORYLA15265, ORYLA08926, ORYLA13977, ORYLA15421	YEAST02015
OG0000642	ORYLA07221, ORYLA00442, ORYLA00566, ORYLA04869	YEAST00618
OG0000645	ORYLA12725, ORYLA15007	YEAST05140
OG0000645	ORYLA00407, ORYLA14925	YEAST04743
OG0000647	ORYLA00414, ORYLA05088, ORYLA05089	YEAST04534
OG0000648	ORYLA08869, ORYLA06524, ORYLA12473, ORYLA12472	YEAST04178, YEAST05641
OG0000657	ORYLA17525, ORYLA17523, ORYLA17524, ORYLA12065	YEAST03846
OG0000660	ORYLA09622, ORYLA19737, ORYLA06492, ORYLA17770, ORYLA03243, ORYLA06455	YEAST05150, YEAST01587
OG0000662	ORYLA20494, ORYLA17182, ORYLA07752, ORYLA17006	YEAST05937
OG0000663	ORYLA02202, ORYLA18943	YEAST02675, YEAST03294
OG0000672	ORYLA06583, ORYLA07641	YEAST03771
OG0000672	ORYLA19020	YEAST00984
OG0000676	ORYLA19352, ORYLA18665	YEAST01503
OG0000676	ORYLA06347, ORYLA07256, ORYLA08627, ORYLA09910	YEAST02962
OG0000683	ORYLA19477, ORYLA16618, ORYLA00863, ORYLA07013, ORYLA13074	YEAST03152, YEAST03537, YEAST05938
OG0000690	ORYLA02247, ORYLA10616, ORYLA11941	YEAST04874
OG0000690	ORYLA07589	YEAST02296
OG0000692	ORYLA04625	YEAST01969
OG0000694	ORYLA12542, ORYLA12528, ORYLA11581, ORYLA01504, ORYLA17428	YEAST05978
OG0000699	ORYLA04436, ORYLA04234, ORYLA04435	YEAST05706
OG0000701	ORYLA19420, ORYLA12504, ORYLA00020, ORYLA12503, ORYLA17945, ORYLA17338	YEAST02239, YEAST02223
OG0000703	ORYLA18919, ORYLA10647, ORYLA20496, ORYLA20497	YEAST05314
OG0000708	ORYLA08879, ORYLA10826, ORYLA20261, ORYLA20260	YEAST05997
OG0000709	ORYLA00220, ORYLA07658, ORYLA12732, ORYLA04881, ORYLA05189, ORYLA05188	YEAST00057
OG0000724	ORYLA00225, ORYLA11470, ORYLA10190	YEAST02013
OG0000732	ORYLA12890, ORYLA12891, ORYLA17078, ORYLA17079, ORYLA00276, ORYLA13246	YEAST04978
OG0000733	ORYLA10736, ORYLA07377, ORYLA11454, ORYLA04800, ORYLA10355, ORYLA11839	YEAST05474
OG0000735	ORYLA11819, ORYLA05525, ORYLA05523, ORYLA05524, ORYLA05373, ORYLA10363	YEAST05945
OG0000737	ORYLA05282, ORYLA02387, ORYLA17956	YEAST05188
OG0000744	ORYLA06262, ORYLA06263, ORYLA07597, ORYLA09281, ORYLA07131	YEAST05951
OG0000745	ORYLA04864	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	ORYLA05301, ORYLA04164, ORYLA06659, ORYLA00849	YEAST01432, YEAST04483
OG0000753	ORYLA12199, ORYLA15815, ORYLA03548, ORYLA04553, ORYLA18630, ORYLA12198	YEAST01034, YEAST02037
OG0000757	ORYLA00237, ORYLA16792, ORYLA10286, ORYLA18438, ORYLA08503	YEAST01489
OG0000758	ORYLA18255, ORYLA10334, ORYLA11982, ORYLA10388	YEAST01504
OG0000759	ORYLA09820, ORYLA08624, ORYLA09344, ORYLA06968, ORYLA16111, ORYLA09359, ORYLA08392, ORYLA09358	YEAST02878, YEAST05681
OG0000768	ORYLA10953, ORYLA14746, ORYLA14526, ORYLA15814	YEAST02560, YEAST04269
OG0000772	ORYLA01171, ORYLA00334, ORYLA10027, ORYLA01723	YEAST04929
OG0000776	ORYLA01033, ORYLA19610, ORYLA04178	YEAST04571, YEAST00195, YEAST00312
OG0000777	ORYLA16329, ORYLA00551, ORYLA16907, ORYLA17057	YEAST06297, YEAST02627
OG0000779	ORYLA15552, ORYLA14213, ORYLA11734, ORYLA09089	YEAST03812
OG0000782	ORYLA13009, ORYLA18096, ORYLA14883, ORYLA12161	YEAST01393, YEAST05616
OG0000791	ORYLA06970, ORYLA08877, ORYLA13748, ORYLA08756, ORYLA10037	YEAST02375
OG0000794	ORYLA03967, ORYLA03748, ORYLA17611, ORYLA17196	YEAST04627
OG0000800	ORYLA20293, ORYLA15170, ORYLA20297, ORYLA04833	YEAST03636
OG0000809	ORYLA12960, ORYLA12961, ORYLA10307, ORYLA13020, ORYLA17678	YEAST01998
OG0000817	ORYLA14347, ORYLA19483	YEAST00389
OG0000817	ORYLA07042	YEAST06112
OG0000824	ORYLA03257, ORYLA03256, ORYLA04106, ORYLA00161, ORYLA03258	YEAST01319, YEAST02883
OG0000828	ORYLA12597, ORYLA17485, ORYLA17486	YEAST00945, YEAST05476, YEAST00075
OG0000828	ORYLA02288	YEAST02290
OG0000837	ORYLA19078, ORYLA01945, ORYLA01944, ORYLA04744	YEAST06222
OG0000841	ORYLA01641, ORYLA15191, ORYLA11622	YEAST02416
OG0000847	ORYLA07949	YEAST02881, YEAST03544, YEAST06198
OG0000847	ORYLA16880	YEAST02530, YEAST00209
OG0000849	ORYLA15667, ORYLA13688, ORYLA15402, ORYLA12370, ORYLA14601	YEAST04475
OG0000850	ORYLA10312, ORYLA12941, ORYLA04650, ORYLA04651	YEAST04287
OG0000852	ORYLA01694, ORYLA05767, ORYLA05768, ORYLA15572, ORYLA02133, ORYLA02134	YEAST01266
OG0000855	ORYLA04372, ORYLA03234	YEAST04755
OG0000857	ORYLA13985, ORYLA15799, ORYLA14692, ORYLA12378	YEAST00309
OG0000868	ORYLA11338, ORYLA10412, ORYLA16598, ORYLA08444, ORYLA08443	YEAST06157
OG0000871	ORYLA00978, ORYLA00890	YEAST03857
OG0000872	ORYLA20287, ORYLA15006, ORYLA10961	YEAST03222, YEAST03741
OG0000875	ORYLA13326, ORYLA07093, ORYLA03514, ORYLA19061	YEAST00077
