Orthogroup	ORYLA	AENJA_ok
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	AENJA_15934, AENJA_26738
OG0000008	ORYLA02437, ORYLA18129	AENJA_24404, AENJA_14450
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	AENJA_00959
OG0000010	ORYLA15708	AENJA_00347
OG0000010	ORYLA18230	AENJA_04234
OG0000011	ORYLA04501	AENJA_03543, AENJA_24193
OG0000012	ORYLA07628	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	ORYLA15199	AENJA_02869
OG0000014	ORYLA11600, ORYLA01088	AENJA_25536
OG0000015	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	AENJA_19636
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	AENJA_18653
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	AENJA_17614, AENJA_19630
OG0000016	ORYLA12720, ORYLA00945	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	AENJA_11513
OG0000016	ORYLA09921	AENJA_26671, AENJA_26677
OG0000016	ORYLA00030	AENJA_02781
OG0000016	ORYLA11245, ORYLA15380	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000017	ORYLA04686	AENJA_21386
OG0000018	ORYLA02836, ORYLA14501	AENJA_07360, AENJA_25137
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	AENJA_24818, AENJA_20016
OG0000020	ORYLA12531	AENJA_21688, AENJA_05309
OG0000020	ORYLA15493	AENJA_02593, AENJA_02596
OG0000020	ORYLA10559	AENJA_15791
OG0000020	ORYLA06663	AENJA_12903
OG0000020	ORYLA16080	AENJA_09502
OG0000020	ORYLA09855	AENJA_18052
OG0000020	ORYLA06900, ORYLA09950	AENJA_23718, AENJA_02408
OG0000020	ORYLA16727	AENJA_17847, AENJA_15954
OG0000020	ORYLA06780	AENJA_16929
OG0000020	ORYLA01097, ORYLA00349	AENJA_04727
OG0000020	ORYLA15647	AENJA_10912
OG0000020	ORYLA00902	AENJA_11444
OG0000020	ORYLA02546	AENJA_14659
OG0000020	ORYLA06519	AENJA_12495
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	AENJA_14639
OG0000021	ORYLA12641, ORYLA05479	AENJA_16593
OG0000021	ORYLA03698, ORYLA17601	AENJA_24950
OG0000021	ORYLA04373	AENJA_19175
OG0000021	ORYLA12092, ORYLA14389	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	ORYLA06753	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	ORYLA08126	AENJA_06341
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	ORYLA14352, ORYLA16095	AENJA_19909
OG0000023	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	AENJA_03895
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	AENJA_16978, AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429, AENJA_07417, AENJA_16810, AENJA_26384, AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891, AENJA_18079, AENJA_19870, AENJA_09423
OG0000024	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747	AENJA_04068
OG0000024	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498	AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712
OG0000026	ORYLA06726	AENJA_09725, AENJA_09726, AENJA_07548
OG0000026	ORYLA09539	AENJA_21657
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	AENJA_17283
OG0000030	ORYLA07170	AENJA_12274
OG0000031	ORYLA09861, ORYLA15740	AENJA_09856
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	AENJA_09858
OG0000031	ORYLA01770	AENJA_20966
OG0000031	ORYLA06561, ORYLA14932	AENJA_08759
OG0000031	ORYLA10394, ORYLA11971	AENJA_10722
OG0000031	ORYLA14237, ORYLA15433	AENJA_02955
OG0000031	ORYLA04591, ORYLA04917	AENJA_05740
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	AENJA_15028
OG0000032	ORYLA09076, ORYLA06417	AENJA_06514
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	ORYLA15502	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	ORYLA06416	AENJA_06513
OG0000033	ORYLA01373	AENJA_10094, AENJA_19957, AENJA_21447, AENJA_04314, AENJA_02993
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	AENJA_26717
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	AENJA_02791
OG0000034	ORYLA07312	AENJA_23686
OG0000034	ORYLA12339, ORYLA14860	AENJA_13785
OG0000034	ORYLA19697	AENJA_15701
OG0000034	ORYLA14655	AENJA_16616
OG0000035	ORYLA16101	AENJA_01174
OG0000035	ORYLA17474, ORYLA12588, ORYLA14952	AENJA_22033
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	AENJA_08825
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	AENJA_12732
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	AENJA_12364, AENJA_26037
OG0000035	ORYLA17117, ORYLA14783	AENJA_21683
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	ORYLA20440, ORYLA11184	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	ORYLA12571	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058	AENJA_20944
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	AENJA_05483, AENJA_06274
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	AENJA_13632
OG0000037	ORYLA04725	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	ORYLA06128	AENJA_00416
OG0000039	ORYLA07496	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	ORYLA16124	AENJA_20163
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	AENJA_07277
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	AENJA_07541, AENJA_11361
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	AENJA_24560
OG0000041	ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	AENJA_03404, AENJA_03405
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	AENJA_12079
OG0000044	ORYLA05288	AENJA_24602
OG0000044	ORYLA05174	AENJA_03123
OG0000045	ORYLA09208, ORYLA09207	AENJA_09277
OG0000045	ORYLA09209	AENJA_24504
OG0000046	ORYLA00520	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	ORYLA18815, ORYLA05911	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000048	ORYLA17217	AENJA_11619
OG0000048	ORYLA14101	AENJA_23226
OG0000048	ORYLA08002	AENJA_09360
OG0000048	ORYLA11420	AENJA_16735, AENJA_16736
OG0000048	ORYLA15054	AENJA_25506
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	AENJA_20702
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	AENJA_25756
OG0000051	ORYLA05117	AENJA_24250
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	AENJA_07437, AENJA_03439, AENJA_08145, AENJA_20254, AENJA_03531, AENJA_00839, AENJA_20468, AENJA_18067, AENJA_09495, AENJA_02638, AENJA_11489, AENJA_25939, AENJA_25043, AENJA_26054, AENJA_00223, AENJA_03349, AENJA_13979
OG0000054	ORYLA00519	AENJA_06676, AENJA_23371
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	AENJA_20268
OG0000056	ORYLA17860	AENJA_05228
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	ORYLA13554, ORYLA12219	AENJA_11025
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	AENJA_12354
OG0000059	ORYLA09176	AENJA_13132
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	ORYLA01946, ORYLA04743	AENJA_17233
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	AENJA_23597
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	AENJA_07301
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	AENJA_07183
OG0000061	ORYLA07060, ORYLA08273	AENJA_26614, AENJA_08766
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	ORYLA10585, ORYLA11804	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	AENJA_20321
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	AENJA_03789
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	AENJA_26394
OG0000066	ORYLA06398	AENJA_12655, AENJA_09505
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000070	ORYLA11329, ORYLA09412	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	ORYLA07085, ORYLA17312	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	AENJA_13128
OG0000072	ORYLA20464	AENJA_02450
OG0000072	ORYLA05266	AENJA_25944, AENJA_05445
OG0000073	ORYLA20002	AENJA_08518, AENJA_08515
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	AENJA_05555, AENJA_12312, AENJA_06058
OG0000075	ORYLA08229, ORYLA07050	AENJA_23745
OG0000075	ORYLA05870, ORYLA14226	AENJA_05831
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	AENJA_21406
OG0000075	ORYLA11054, ORYLA15824	AENJA_12918
OG0000075	ORYLA19688	AENJA_12839
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	AENJA_13107
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	AENJA_07475
OG0000077	ORYLA17911, ORYLA04823	AENJA_04661
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	AENJA_06551
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	AENJA_16186
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	AENJA_02482
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	AENJA_17442
OG0000079	ORYLA17895	AENJA_11789
OG0000079	ORYLA13165	AENJA_10507
OG0000082	ORYLA01470	AENJA_25747
OG0000083	ORYLA04024, ORYLA20424	AENJA_21795
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	AENJA_24814
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	AENJA_05556
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	AENJA_06487
OG0000085	ORYLA06168	AENJA_24493
OG0000085	ORYLA17935	AENJA_20539
OG0000085	ORYLA02243, ORYLA05178	AENJA_08917
OG0000086	ORYLA18822	AENJA_16711
OG0000087	ORYLA07293	AENJA_23251
OG0000087	ORYLA15867	AENJA_19935
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500
OG0000090	ORYLA02080, ORYLA06082	AENJA_10145
OG0000090	ORYLA01746, ORYLA06194	AENJA_01954
OG0000091	ORYLA02531	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299
OG0000094	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	AENJA_14582
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	AENJA_26553
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	AENJA_25727
OG0000096	ORYLA10017	AENJA_14053
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	AENJA_10136, AENJA_10137
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	AENJA_22563, AENJA_15215
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	AENJA_07638, AENJA_14869
OG0000100	ORYLA00999	AENJA_12266, AENJA_21578
OG0000100	ORYLA10317	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620
OG0000101	ORYLA12058	AENJA_26592
OG0000101	ORYLA08387	AENJA_00251
OG0000101	ORYLA09166, ORYLA09165	AENJA_06142
OG0000101	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654	AENJA_14914, AENJA_21479, AENJA_11421
OG0000102	ORYLA19358, ORYLA00094	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164
OG0000102	ORYLA12106	AENJA_22391
OG0000102	ORYLA18027, ORYLA02390, ORYLA02592	AENJA_06075
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	AENJA_10812
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	AENJA_14367
OG0000104	ORYLA03680, ORYLA06072	AENJA_04107
OG0000104	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226	AENJA_02684
OG0000104	ORYLA03679	AENJA_26666
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282	AENJA_21591
OG0000106	ORYLA06794	AENJA_13743
OG0000106	ORYLA05764, ORYLA14913, ORYLA14914	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000108	ORYLA09100, ORYLA03443, ORYLA03444	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894
OG0000113	ORYLA15283	AENJA_14458
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000116	ORYLA19541	AENJA_23563, AENJA_23564
OG0000117	ORYLA15132	AENJA_02548
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823	AENJA_18357, AENJA_20512
OG0000119	ORYLA09477, ORYLA05169	AENJA_08115, AENJA_08491
OG0000120	ORYLA14915	AENJA_04133
OG0000121	ORYLA00510, ORYLA01379, ORYLA07858	AENJA_09065
OG0000121	ORYLA06690, ORYLA06688	AENJA_07109, AENJA_25145
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471	AENJA_09263
OG0000122	ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	AENJA_14198
OG0000123	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364	AENJA_11261
OG0000123	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949	AENJA_22182
OG0000123	ORYLA18505, ORYLA02793, ORYLA01508	AENJA_08161
OG0000123	ORYLA04317, ORYLA01144	AENJA_11939, AENJA_11934, AENJA_04063
OG0000124	ORYLA04499, ORYLA01264	AENJA_03116, AENJA_25792
OG0000124	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798	AENJA_04495
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	AENJA_09769, AENJA_03187
OG0000124	ORYLA04689	AENJA_26736
OG0000124	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516	AENJA_05859
OG0000125	ORYLA06139, ORYLA15763, ORYLA14369	AENJA_09264
OG0000125	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368	AENJA_18946
OG0000125	ORYLA01977, ORYLA08228, ORYLA17147	AENJA_04836
OG0000125	ORYLA12115	AENJA_07272
OG0000126	ORYLA08773, ORYLA09545, ORYLA01000	AENJA_24273
OG0000126	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802	AENJA_07507
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298	AENJA_11132
OG0000127	ORYLA18247, ORYLA09922	AENJA_20308
OG0000127	ORYLA05476, ORYLA10382	AENJA_04153
OG0000127	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240	AENJA_17569
OG0000127	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683	AENJA_00497
OG0000128	ORYLA17289	AENJA_22594, AENJA_22595
OG0000128	ORYLA03587	AENJA_07850, AENJA_17413, AENJA_26743
OG0000128	ORYLA06619, ORYLA09314	AENJA_21735
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	AENJA_11469
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	AENJA_21737
OG0000129	ORYLA06890	AENJA_12119, AENJA_20942, AENJA_12123
OG0000131	ORYLA02651, ORYLA17218	AENJA_13807, AENJA_21097
OG0000131	ORYLA07842, ORYLA07843, ORYLA07841, ORYLA07898, ORYLA12828	AENJA_26204, AENJA_02558, AENJA_02442, AENJA_02441
OG0000132	ORYLA13789	AENJA_18042
OG0000133	ORYLA00265	AENJA_22212
OG0000137	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560	AENJA_26083
OG0000137	ORYLA06196, ORYLA16275	AENJA_25528, AENJA_11173
OG0000137	ORYLA11370, ORYLA08706	AENJA_09533
OG0000138	ORYLA01485, ORYLA09635, ORYLA18456, ORYLA18666, ORYLA16939	AENJA_24347, AENJA_08482, AENJA_03330
OG0000138	ORYLA07654	AENJA_16432
OG0000139	ORYLA03997	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830
OG0000140	ORYLA08885	AENJA_01263
OG0000141	ORYLA15273	AENJA_11870, AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407
OG0000145	ORYLA19796	AENJA_05166
OG0000145	ORYLA08429	AENJA_06072
OG0000147	ORYLA06944, ORYLA12833, ORYLA15636	AENJA_03761
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	AENJA_12275
OG0000147	ORYLA13100, ORYLA13101	AENJA_03922
OG0000147	ORYLA18182	AENJA_10787
OG0000147	ORYLA10192	AENJA_03843
OG0000148	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722	AENJA_21220
OG0000149	ORYLA17290, ORYLA17651, ORYLA17652	AENJA_12114
OG0000149	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319	AENJA_12111, AENJA_03471, AENJA_12512
OG0000149	ORYLA19729	AENJA_18447
OG0000151	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949	AENJA_13408
OG0000151	ORYLA02467, ORYLA17249, ORYLA13261	AENJA_03698
OG0000153	ORYLA07634, ORYLA07633, ORYLA07635, ORYLA07636, ORYLA05578, ORYLA05577, ORYLA07896, ORYLA07897, ORYLA07844, ORYLA07894	AENJA_14215
OG0000154	ORYLA15514, ORYLA15513, ORYLA15515, ORYLA15516	AENJA_20462
OG0000154	ORYLA04056, ORYLA00974	AENJA_18738
