Orthogroup	ORYLA	HUMAN
OG0000015	ORYLA19971	HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	ORYLA09940, ORYLA09941	HUMAN29611
OG0000015	ORYLA00953	HUMAN30168
OG0000015	ORYLA18852	HUMAN23062
OG0000015	ORYLA01514	HUMAN24113
OG0000016	ORYLA12720	HUMAN11007, HUMAN11006
OG0000016	ORYLA17171	HUMAN10581
OG0000016	ORYLA00784	HUMAN10583
OG0000016	ORYLA19764	HUMAN12987
OG0000016	ORYLA05054	HUMAN03528
OG0000016	ORYLA09921	HUMAN07767
OG0000016	ORYLA00030	HUMAN25103
OG0000016	ORYLA08665	HUMAN25104
OG0000016	ORYLA11245	HUMAN06120
OG0000016	ORYLA15380	HUMAN04223
OG0000019	ORYLA07040	HUMAN06384
OG0000019	ORYLA16411	HUMAN12385
OG0000019	ORYLA20089, ORYLA20088	HUMAN18277
OG0000020	ORYLA09327	HUMAN26158
OG0000020	ORYLA12531	HUMAN12659
OG0000020	ORYLA15493	HUMAN26061
OG0000020	ORYLA10559	HUMAN08344
OG0000020	ORYLA06663	HUMAN00926
OG0000020	ORYLA16080	HUMAN02350, HUMAN02349
OG0000020	ORYLA02155, ORYLA05512	HUMAN28205
OG0000020	ORYLA11359	HUMAN16669
OG0000020	ORYLA19795	HUMAN00163
OG0000020	ORYLA09855	HUMAN17840
OG0000020	ORYLA06900	HUMAN05209, HUMAN21854
OG0000020	ORYLA09950	HUMAN21853
OG0000020	ORYLA06780	HUMAN02145
OG0000020	ORYLA01097	HUMAN30100
OG0000020	ORYLA00349	HUMAN07717, HUMAN22328
OG0000020	ORYLA15647	HUMAN00010
OG0000020	ORYLA00902	HUMAN23847
OG0000020	ORYLA00505	HUMAN23024
OG0000020	ORYLA02546	HUMAN22639
OG0000020	ORYLA06519	HUMAN20816
OG0000021	ORYLA13904, ORYLA15936	HUMAN20500
OG0000021	ORYLA20207	HUMAN30680, HUMAN30504
OG0000021	ORYLA15878, ORYLA14141	HUMAN20539
OG0000021	ORYLA10930, ORYLA14683	HUMAN05766
OG0000021	ORYLA13905	HUMAN20499
OG0000021	ORYLA12641	HUMAN11054
OG0000021	ORYLA05479	HUMAN23166
OG0000021	ORYLA03698	HUMAN12331
OG0000021	ORYLA12092	HUMAN04273
OG0000021	ORYLA14389	HUMAN30251
OG0000021	ORYLA06753	HUMAN00882, HUMAN00880, HUMAN00881
OG0000021	ORYLA04245	HUMAN24068
OG0000023	ORYLA02861, ORYLA18687	HUMAN19878, HUMAN19879
OG0000023	ORYLA06733, ORYLA07486	HUMAN08127, HUMAN08129
OG0000023	ORYLA12741, ORYLA15296	HUMAN11129
OG0000023	ORYLA13800	HUMAN18897
OG0000023	ORYLA07073, ORYLA08963	HUMAN27999
OG0000023	ORYLA02776	HUMAN07398
OG0000023	ORYLA01476	HUMAN10368, HUMAN10367
OG0000023	ORYLA03601	HUMAN12427
OG0000023	ORYLA14352, ORYLA16095	HUMAN06585, HUMAN06584
OG0000023	ORYLA03721	HUMAN05394
OG0000023	ORYLA03720	HUMAN05404
OG0000023	ORYLA12643	HUMAN11050
OG0000023	ORYLA15685	HUMAN19103
OG0000026	ORYLA09539	HUMAN07669
OG0000027	ORYLA08306	HUMAN15899, HUMAN15933
OG0000027	ORYLA07922	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463
OG0000027	ORYLA15904, ORYLA15903	HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	ORYLA04739	HUMAN16847
OG0000028	ORYLA00361	HUMAN22344
OG0000028	ORYLA03205, ORYLA04463	HUMAN03982
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731	HUMAN01776
OG0000028	ORYLA12623	HUMAN09895
OG0000028	ORYLA12624	HUMAN09894
OG0000028	ORYLA00837, ORYLA01106	HUMAN27765
OG0000028	ORYLA11312	HUMAN27611
OG0000028	ORYLA15414	HUMAN19281
OG0000028	ORYLA01105, ORYLA00835	HUMAN27764
OG0000028	ORYLA09887, ORYLA09886, ORYLA04684	HUMAN17889
OG0000028	ORYLA20303, ORYLA20302	HUMAN09193, HUMAN09206
OG0000029	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293	HUMAN05232, HUMAN14995
OG0000029	ORYLA15257	HUMAN11203
OG0000029	ORYLA13110	HUMAN18356
OG0000029	ORYLA04764, ORYLA00213	HUMAN17029
OG0000029	ORYLA15906	HUMAN24898
OG0000029	ORYLA08651, ORYLA09837	HUMAN17820
OG0000030	ORYLA18077	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	ORYLA01628, ORYLA19626	HUMAN01740
OG0000030	ORYLA02922	HUMAN28679
OG0000030	ORYLA07582	HUMAN30219
OG0000030	ORYLA07744, ORYLA16997	HUMAN06064
OG0000031	ORYLA04590	HUMAN29956
OG0000031	ORYLA09861	HUMAN17850
OG0000031	ORYLA13928	HUMAN06489
OG0000031	ORYLA09882	HUMAN17883
OG0000031	ORYLA05598	HUMAN26042
OG0000031	ORYLA18563	HUMAN12874
OG0000031	ORYLA01770	HUMAN26043
OG0000031	ORYLA14932	HUMAN09203
OG0000031	ORYLA17720	HUMAN28770
OG0000031	ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971	HUMAN26979, HUMAN14235
OG0000031	ORYLA04917	HUMAN07725
OG0000031	ORYLA06754, ORYLA07156	HUMAN14922
OG0000031	ORYLA02513	HUMAN14786
OG0000031	ORYLA00346	HUMAN22322
OG0000031	ORYLA09459, ORYLA08614	HUMAN18121
OG0000031	ORYLA06390	HUMAN02818, HUMAN02819
OG0000032	ORYLA09076, ORYLA06417	HUMAN27902
OG0000032	ORYLA14771, ORYLA03482	HUMAN06100
OG0000032	ORYLA12826	HUMAN21527
OG0000032	ORYLA04475, ORYLA04474	HUMAN05202
OG0000032	ORYLA14976, ORYLA12717	HUMAN10072
OG0000032	ORYLA15502	HUMAN19258
OG0000034	ORYLA07927, ORYLA16241	HUMAN10850
OG0000034	ORYLA04579	HUMAN11671
OG0000034	ORYLA02286, ORYLA17781	HUMAN07186
OG0000034	ORYLA16358	HUMAN16090
OG0000034	ORYLA12476, ORYLA15138	HUMAN04116
OG0000034	ORYLA11195	HUMAN06217
OG0000034	ORYLA16147	HUMAN01449
OG0000034	ORYLA14023, ORYLA15996	HUMAN02345
OG0000034	ORYLA11192, ORYLA14993	HUMAN06854
OG0000034	ORYLA14558	HUMAN03933
OG0000034	ORYLA07312	HUMAN13891
OG0000034	ORYLA12339, ORYLA14860	HUMAN04678
OG0000034	ORYLA19697	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	ORYLA14655	HUMAN04988
OG0000035	ORYLA16101	HUMAN06576
OG0000035	ORYLA12588, ORYLA14952	HUMAN09866
OG0000035	ORYLA11104	HUMAN06191
OG0000035	ORYLA14870, ORYLA12119	HUMAN03898
OG0000035	ORYLA18031	HUMAN01402
OG0000035	ORYLA15336, ORYLA11216	HUMAN05812, HUMAN05810
OG0000035	ORYLA11278	HUMAN06812
OG0000035	ORYLA13992	HUMAN01460
OG0000035	ORYLA14838, ORYLA12754	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953
OG0000035	ORYLA14991, ORYLA14992, ORYLA11268	HUMAN05843, HUMAN05844
OG0000035	ORYLA14782, ORYLA12073, ORYLA12074	HUMAN04381, HUMAN04382
OG0000035	ORYLA17117, ORYLA14783	HUMAN04383
OG0000036	ORYLA07477	HUMAN08124
OG0000036	ORYLA12738	HUMAN11288
OG0000036	ORYLA15615, ORYLA15153	HUMAN11555
OG0000036	ORYLA07495	HUMAN08152, HUMAN08151
OG0000036	ORYLA20280, ORYLA12724	HUMAN15233
OG0000036	ORYLA20440	HUMAN22872
OG0000036	ORYLA12571	HUMAN15223
OG0000037	ORYLA10680	HUMAN25010, HUMAN25009
OG0000037	ORYLA05584, ORYLA10681	HUMAN25006
OG0000037	ORYLA11814	HUMAN02504
OG0000037	ORYLA11609, ORYLA10251	HUMAN08759
OG0000037	ORYLA04338, ORYLA01058	HUMAN04817
OG0000037	ORYLA05151	HUMAN02659, HUMAN02660
OG0000037	ORYLA08136	HUMAN04897
OG0000037	ORYLA03090	HUMAN15443
OG0000037	ORYLA15954	HUMAN19040
OG0000037	ORYLA02209	HUMAN28273
OG0000037	ORYLA10771, ORYLA11448	HUMAN16721
OG0000037	ORYLA04725	HUMAN03689
OG0000038	ORYLA04512	HUMAN06348
OG0000038	ORYLA16141	HUMAN06344
OG0000038	ORYLA08393, ORYLA09754	HUMAN18257
OG0000039	ORYLA13584	HUMAN02107
OG0000039	ORYLA13588	HUMAN02110
OG0000039	ORYLA07496	HUMAN29023
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	HUMAN13199
OG0000040	ORYLA15343	HUMAN27040, HUMAN27041
OG0000040	ORYLA04846, ORYLA04844	HUMAN26646, HUMAN26642
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	ORYLA07969	HUMAN16072
OG0000041	ORYLA14839	HUMAN04227
OG0000041	ORYLA15678, ORYLA15677	HUMAN01391
OG0000041	ORYLA16345, ORYLA07970	HUMAN15981
OG0000041	ORYLA13989, ORYLA15806	HUMAN01398
OG0000041	ORYLA13990, ORYLA15807	HUMAN01399
OG0000041	ORYLA14735, ORYLA19535	HUMAN05837
OG0000041	ORYLA15808	HUMAN01401
OG0000041	ORYLA14736, ORYLA19536	HUMAN05836
OG0000041	ORYLA12118	HUMAN04298
OG0000041	ORYLA13695	HUMAN19139
OG0000041	ORYLA09068	HUMAN27913
OG0000041	ORYLA11484	HUMAN16617
OG0000041	ORYLA11472	HUMAN16643
OG0000041	ORYLA05357	HUMAN28077
OG0000041	ORYLA19350	HUMAN19052
OG0000042	ORYLA12797, ORYLA10877, ORYLA10878	HUMAN21251
OG0000043	ORYLA04209	HUMAN05606
OG0000044	ORYLA04503	HUMAN24292
OG0000044	ORYLA10718	HUMAN22106
OG0000044	ORYLA02275, ORYLA17868	HUMAN27711
OG0000044	ORYLA05261	HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	ORYLA01286	HUMAN24391
OG0000044	ORYLA05288	HUMAN03043
OG0000045	ORYLA09207	HUMAN02932
OG0000045	ORYLA02935	HUMAN29444
OG0000045	ORYLA02913	HUMAN28768
OG0000046	ORYLA00520	HUMAN23116
OG0000046	ORYLA07200, ORYLA07202, ORYLA07201	HUMAN22960
OG0000046	ORYLA01168	HUMAN22324, HUMAN22325, HUMAN22323
OG0000048	ORYLA15052	HUMAN29551
OG0000048	ORYLA19472	HUMAN29550
OG0000048	ORYLA03737, ORYLA03687	HUMAN12292
OG0000048	ORYLA09010, ORYLA09283, ORYLA10119	HUMAN08560, HUMAN08561
OG0000048	ORYLA08002	HUMAN16328
OG0000048	ORYLA11420	HUMAN16644
OG0000048	ORYLA15054	HUMAN11449
OG0000049	ORYLA11559, ORYLA19044	HUMAN25699
OG0000049	ORYLA04067, ORYLA03584	HUMAN05316
OG0000049	ORYLA13704, ORYLA13828	HUMAN20965
OG0000049	ORYLA15018	HUMAN26499
OG0000049	ORYLA20256, ORYLA14320	HUMAN24353
OG0000049	ORYLA15992, ORYLA14028	HUMAN24922, HUMAN24921
OG0000049	ORYLA14561	HUMAN26912
OG0000049	ORYLA15871	HUMAN20433
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	HUMAN26500
OG0000051	ORYLA05117	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	ORYLA12857	HUMAN01064
OG0000054	ORYLA00519	HUMAN23119
OG0000054	ORYLA05953	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000054	ORYLA08804	HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	HUMAN24594, HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000056	ORYLA07324	HUMAN22445
OG0000056	ORYLA13076	HUMAN01195
OG0000056	ORYLA16605	HUMAN14849
OG0000056	ORYLA13077	HUMAN01194
OG0000056	ORYLA17860	HUMAN07396, HUMAN07395
OG0000057	ORYLA17686	HUMAN23569
OG0000057	ORYLA14639, ORYLA12170	HUMAN10014
OG0000057	ORYLA13554, ORYLA12219	HUMAN29650
OG0000058	ORYLA18104	HUMAN23378
OG0000058	ORYLA11895, ORYLA12524	HUMAN02623
OG0000058	ORYLA19070	HUMAN17157, HUMAN03406
OG0000058	ORYLA00576	HUMAN13532
OG0000058	ORYLA16972	HUMAN25949
OG0000059	ORYLA07253	HUMAN30238
OG0000059	ORYLA03181, ORYLA04042	HUMAN07577
OG0000059	ORYLA09176	HUMAN21611
OG0000059	ORYLA01146	HUMAN23845
OG0000060	ORYLA01946, ORYLA04743	HUMAN25284
OG0000060	ORYLA16841, ORYLA08032	HUMAN16007, HUMAN16006
OG0000060	ORYLA14832	HUMAN04276
OG0000060	ORYLA15092	HUMAN06988
OG0000061	ORYLA09666, ORYLA08403	HUMAN17964
OG0000061	ORYLA01785	HUMAN26554
OG0000061	ORYLA10018	HUMAN18142
OG0000061	ORYLA07904, ORYLA07058	HUMAN20809
OG0000061	ORYLA16623	HUMAN13555
OG0000061	ORYLA08288	HUMAN12027
OG0000061	ORYLA09144, ORYLA06720	HUMAN20727
OG0000061	ORYLA07094, ORYLA13357, ORYLA13574	HUMAN26146, HUMAN26147
OG0000061	ORYLA07095, ORYLA13356	HUMAN26149
OG0000061	ORYLA19115	HUMAN27338, HUMAN27337
OG0000061	ORYLA07060	HUMAN26138, HUMAN26137
OG0000061	ORYLA08273	HUMAN12821
OG0000062	ORYLA18121	HUMAN29104
OG0000062	ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500	HUMAN14474
OG0000062	ORYLA05590, ORYLA05591	HUMAN24841, HUMAN24843
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	ORYLA10585, ORYLA11804	HUMAN25285
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092	HUMAN14398
OG0000063	ORYLA07328, ORYLA00312	HUMAN28499
OG0000063	ORYLA12933	HUMAN00858
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	HUMAN21099
OG0000063	ORYLA14082	HUMAN18628
OG0000063	ORYLA04940, ORYLA08134	HUMAN03783, HUMAN03782
OG0000065	ORYLA02755	HUMAN29458
OG0000065	ORYLA03358	HUMAN05357
OG0000065	ORYLA10271	HUMAN25383
OG0000066	ORYLA06398	HUMAN29798
OG0000067	ORYLA02381	HUMAN23532
OG0000067	ORYLA01183, ORYLA06203	HUMAN24070
OG0000067	ORYLA19414	HUMAN22809
OG0000068	ORYLA11081	HUMAN26982
OG0000068	ORYLA20205	HUMAN30562
OG0000068	ORYLA14465, ORYLA15429	HUMAN21443
OG0000068	ORYLA14046	HUMAN02454
OG0000068	ORYLA20259	HUMAN30510, HUMAN30509
OG0000068	ORYLA11242, ORYLA11243, ORYLA14701	HUMAN20380
OG0000068	ORYLA15913	HUMAN21486
OG0000068	ORYLA10852	HUMAN06933
OG0000069	ORYLA08015	HUMAN13360, HUMAN02573
OG0000069	ORYLA03826	HUMAN13361, HUMAN02574
OG0000070	ORYLA11329	HUMAN25671
OG0000070	ORYLA09412	HUMAN29634
OG0000070	ORYLA20376	HUMAN14097
OG0000070	ORYLA17312	HUMAN14161
OG0000071	ORYLA12049, ORYLA12050, ORYLA20329, ORYLA09791, ORYLA09793, ORYLA09792, ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716	HUMAN17352
OG0000072	ORYLA01510	HUMAN24108
OG0000072	ORYLA00516	HUMAN23125
OG0000072	ORYLA03563	HUMAN05334
OG0000072	ORYLA00527	HUMAN22965, HUMAN22964
OG0000072	ORYLA04050, ORYLA03176	HUMAN04101
OG0000072	ORYLA20464	HUMAN22852
OG0000072	ORYLA05266	HUMAN03255, HUMAN03252
OG0000073	ORYLA20002	HUMAN24982
OG0000073	ORYLA06148, ORYLA06147	HUMAN25174, HUMAN25175
OG0000073	ORYLA09058, ORYLA06772	HUMAN27930
OG0000073	ORYLA12397	HUMAN11516
OG0000073	ORYLA18725	HUMAN27929
OG0000074	ORYLA15431	HUMAN21437
OG0000075	ORYLA08229	HUMAN12839
OG0000075	ORYLA07050	HUMAN02593
OG0000075	ORYLA10050	HUMAN18233
OG0000075	ORYLA15750	HUMAN06329
OG0000075	ORYLA05870, ORYLA14226	HUMAN00444
OG0000075	ORYLA04438	HUMAN05218
OG0000075	ORYLA10049	HUMAN18234
OG0000075	ORYLA15751	HUMAN06328
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786	HUMAN01424, HUMAN01425
OG0000075	ORYLA20334	HUMAN26867
OG0000075	ORYLA11054	HUMAN05783
OG0000075	ORYLA15824	HUMAN21047
OG0000075	ORYLA14687, ORYLA10924	HUMAN20335
OG0000075	ORYLA15926	HUMAN20336
OG0000075	ORYLA19688	HUMAN26884
OG0000077	ORYLA00390	HUMAN18656
OG0000077	ORYLA03856, ORYLA01218	HUMAN24161
OG0000077	ORYLA02852, ORYLA17787	HUMAN27605, HUMAN27606
OG0000077	ORYLA09130	HUMAN21328
OG0000077	ORYLA06009, ORYLA03431	HUMAN05501
OG0000077	ORYLA17383	HUMAN17351
OG0000077	ORYLA00897	HUMAN03646
OG0000077	ORYLA00844, ORYLA07409	HUMAN22147, HUMAN22146
OG0000077	ORYLA10378, ORYLA11807	HUMAN25299
OG0000077	ORYLA10356	HUMAN00457
OG0000077	ORYLA09729	HUMAN21175
OG0000077	ORYLA17450	HUMAN23402
OG0000077	ORYLA17911, ORYLA04823	HUMAN03419
OG0000078	ORYLA13083	HUMAN15000
OG0000078	ORYLA13994, ORYLA10833	HUMAN06996
