PFL	SPU	BFL	ALG
XLOC_007542	LOC577806	LOC118423864	A1
XLOC_007942	LOC580638	LOC118426559	A1
XLOC_008493	LOC580281	LOC118412160	A1
XLOC_008215	LOC753239	LOC118417896	A1
XLOC_007691	LOC577346	LOC118411853	A1
XLOC_007406	LOC591564	LOC118428847	A1
XLOC_008483	LOC582769	LOC118406899	A1
XLOC_008218	LOC575177	LOC118413114	A1
XLOC_007189	LOC576932	LOC118427657	A1
XLOC_008093	LOC580854	LOC118403309	A1
XLOC_007061	LOC575138	LOC118424169	A1
XLOC_006894	LOC575899	LOC118418584	A1
XLOC_007642	LOC581769	LOC118414320	A1
XLOC_007307	LOC589392	LOC118427645	A1
XLOC_007425	LOC580015	LOC118409307	A1
XLOC_007903	LOC593727	LOC118418547	A1
XLOC_006929	LOC115918109	LOC118417819	A1
XLOC_007827	LOC579722	LOC118410271	A1
XLOC_007251	LOC577837	LOC118416253	A1
XLOC_008326	LOC115929736	LOC118414535	A1
XLOC_008325	LOC580591	LOC118414558	A1
XLOC_007254	LOC755486	LOC118428244	A1
XLOC_007759	LOC105445791	LOC118409667	A1
XLOC_006823	LOC582192	LOC118412491	A1
XLOC_008292	LOC589933	LOC118416985	A1
XLOC_007941	LOC578597	LOC118421544	A1
XLOC_007884	LOC752843	LOC118411251	A1
XLOC_007450	LOC578593	LOC118415059	A1
XLOC_008121	LOC582833	LOC118422194	A1
XLOC_007035	LOC575741	LOC118424942	A1
XLOC_007939	LOC100892953	LOC118421100	A1
XLOC_007633	LOC578424	LOC118411497	A1
XLOC_007971	LOC575227	LOC118411734	A1
XLOC_007892	LOC756096	LOC118415089	A1
XLOC_007435	LOC574821	LOC118409079	A1
XLOC_006949	LOC587121	LOC118429647	A1
XLOC_007970	LOC583679	LOC118423362	A1
XLOC_006860	LOC578979	LOC118414915	A1
XLOC_007048	LOC577476	LOC118430468	A1
XLOC_008458	LOC588692	LOC118411663	A1
XLOC_007935	LOC100890421	LOC118428254	A1
XLOC_008137	LOC582440	LOC118428981	A1
XLOC_007400	LOC580992	LOC118420519	A1
XLOC_006824	LOC576914	LOC118412464	A1
XLOC_006814	LOC585672	LOC118407098	A1
XLOC_007158	LOC578370	LOC118427130	A1
XLOC_008371	LOC574732	LOC118421393	A1
XLOC_007338	LOC579126	LOC118427016	A1
XLOC_008377	LOC752216	LOC118412076	A1
XLOC_008206	LOC763081	LOC118423064	A1
XLOC_008273	LOC579469	LOC118425893	A1
XLOC_007665	LOC579153	LOC118409635	A1
XLOC_007692	LOC575603	LOC118423269	A1
XLOC_008196	LOC577619	LOC118418846	A1
XLOC_008334	LOC100891430	LOC118410551	A1
XLOC_006884	LOC593505	LOC118408897	A1
XLOC_007730	LOC590369	LOC118411812	A1
XLOC_007567	LOC100893281	LOC118430767	A1
XLOC_007452	LOC594755	LOC118425103	A1
XLOC_008305	LOC577801	LOC118417153	A1
XLOC_006953	LOC580266	LOC118423850	A1
XLOC_007200	LOC594190	LOC118412969	A1
XLOC_006878	LOC100889564	LOC118424211	A1
XLOC_008471	LOC583691	LOC118418564	A1
XLOC_007867	LOC586665	LOC118413831	A1
XLOC_007033	LOC582927	LOC118430204	A1
XLOC_007049	LOC580077	LOC118419834	A1
XLOC_008099	LOC585260	LOC118422635	A1
XLOC_007593	LOC574069	LOC118420511	A1
XLOC_008446	LOC579528	LOC118430996	A1
XLOC_008274	LOC105437259	LOC118429383	A1
XLOC_008498	LOC581719	LOC118420436	A1
XLOC_008198	LOC577851	LOC118418359	A1
XLOC_006948	LOC592762	LOC118417778	A1
XLOC_007324	LOC575642	LOC118422003	A1
XLOC_008494	LOC115929485	LOC118409594	A1
XLOC_006862	LOC100891485	LOC118411977	A1
XLOC_007047	LOC577414	LOC118424447	A1
XLOC_007861	LOC578066	LOC118418980	A1
XLOC_007614	LOC583728	LOC118409090	A1
XLOC_007463	LOC100889329	LOC118426905	A1
XLOC_008028	LOC587003	LOC118421724	A1
XLOC_007069	LOC592989	LOC118425115	A1
XLOC_008029	LOC100889415	LOC118424708	A1
XLOC_006947	LOC576995	LOC118410281	A1
XLOC_008067	eef1G	LOC118409492	A1
XLOC_007186	LOC584583	LOC118430029	A1
XLOC_008283	LOC580928	LOC118420584	A1
XLOC_008482	LOC592919	LOC118415073	A1
XLOC_006890	LOC100890340	LOC118417006	A1
XLOC_007342	LOC100889845	LOC118410836	A1
XLOC_006964	LOC582279	LOC118427306	A1
XLOC_006914	FoxG	LOC118415699	A1
XLOC_007347	LOC579056	LOC118412543	A1
XLOC_007765	LOC579736	LOC118425435	A1
XLOC_007059	LOC115919082	LOC118423459	A1
XLOC_008508	LOC579713	LOC118410010	A1
XLOC_007415	LOC593983	LOC118429789	A1
XLOC_007258	LOC587412	LOC118413239	A1
XLOC_007602	LOC579756	LOC118417019	A1
XLOC_007778	LOC763320	LOC118427708	A1
XLOC_007615	LOC765087	LOC118414473	A1
XLOC_007178	LOC594179	LOC118423198	A1
XLOC_007896	LOC578873	LOC118410344	A1
XLOC_008340	LOC753975	LOC118421887	A1
XLOC_008166	LOC100889473	LOC118420821	A1
XLOC_007092	LOC592434	LOC118414291	A1
XLOC_007246	LOC115919096	LOC118424190	A1
XLOC_007785	LOC574576	LOC118421263	A1
XLOC_008381	LOC105437711	LOC118409254	A1
XLOC_007863	LOC373418	LOC118419172	A1
XLOC_007727	LOC754828	LOC118411795	A1
XLOC_007684	LOC591635	LOC118417865	A1
XLOC_006913	LOC591774	LOC118427787	A1
XLOC_007601	LOC580652	LOC118417011	A1
XLOC_007904	LOC589807	LOC118430193	A1
XLOC_008304	LOC575237	LOC118417227	A1
XLOC_007605	LOC575025	LOC118421975	A1
XLOC_007631	LOC115919073	LOC118415674	A1
XLOC_007206	LOC578700	LOC118414057	A1
XLOC_007894	LOC580960	LOC118413249	A1
XLOC_007719	LOC589538	LOC118414916	A1
XLOC_007261	LOC577999	LOC118426471	A1
XLOC_008157	LOC591599	LOC118425667	A1
XLOC_008235	LOC586259	LOC118420529	A1
XLOC_007834	LOC100893219	LOC118414872	A1
XLOC_007079	LOC754911	LOC118420955	A1
XLOC_006921	LOC577190	LOC118413074	A1
XLOC_007782	LOC574738	LOC118418495	A1
XLOC_008242	LOC580408	LOC118413213	A1
XLOC_006885	LOC762801	LOC118413407	A1
XLOC_008081	LOC578197	LOC118412413	A1
XLOC_007945	LOC592987	LOC118426575	A1
XLOC_006938	LOC575976	LOC118417969	A1
XLOC_006861	LOC578485	LOC118410127	A1
XLOC_006869	LOC577791	LOC118429720	A1
XLOC_008221	LOC592633	LOC118412586	A1
XLOC_007249	LOC574753	LOC118415856	A1
XLOC_007023	LOC589393	LOC118410357	A1
XLOC_006896	LOC752590	LOC118412199	A1
XLOC_008188	LOC587831	LOC118419510	A1
XLOC_007445	LOC583862	LOC118427739	A1
XLOC_008332	LOC592160	LOC118415142	A1
XLOC_007210	LOC576430	LOC118420192	A1
XLOC_007598	LOC594381	LOC118424739	A1
XLOC_008053	LOC576184	LOC118420459	A1
XLOC_007465	LOC578356	LOC118421852	A1
XLOC_008043	LOC587373	LOC118425907	A1
XLOC_007707	LOC577268	LOC118418478	A1
XLOC_006868	FoxA	LOC118420467	A1
XLOC_007168	LOC576281	LOC118423021	A1
XLOC_007155	LOC579023	LOC118409812	A1
XLOC_008344	LOC574748	LOC118422535	A1
XLOC_007728	LOC105446450	LOC118429711	A1
XLOC_007677	LOC754687	LOC118410462	A1
XLOC_006892	LOC100889956	LOC118418618	A1
XLOC_008079	LOC585110	LOC118427810	A1
XLOC_007308	LOC763304	LOC118421224	A1
XLOC_007716	LOC586368	LOC118430104	A1
XLOC_008253	LOC580502	LOC118412119	A1
XLOC_007887	LOC576323	LOC118419062	A1
XLOC_008156	TBP	LOC118416287	A1
XLOC_007444	LOC576024	LOC118414575	A1
XLOC_007569	LOC582476	LOC118429528	A1
XLOC_006915	LOC578782	LOC118415800	A1
XLOC_008130	LOC576084	LOC118425082	A1
XLOC_006877	NK2.1	LOC118423635	A1
XLOC_007183	LOC590811	LOC118423208	A1
XLOC_007253	LOC115929523	LOC118431069	A1
XLOC_008295	LOC591068	LOC118430589	A1
XLOC_007436	LOC574879	LOC118415941	A1
XLOC_008051	LOC575435	LOC118416743	A1
XLOC_007777	LOC578840	LOC118415665	A1
XLOC_006900	LOC581267	LOC118420051	A1
XLOC_008126	LOC592155	LOC118425200	A1
XLOC_007103	LOC591103	LOC118426216	A1
XLOC_006893	LOC586833	LOC118418640	A1
XLOC_008503	LOC100892488	LOC118410452	A1
XLOC_006954	LOC589490	LOC118414859	A1
XLOC_008442	LOC764088	LOC118412360	A1
XLOC_007624	LOC582819	LOC118416429	A1
XLOC_007366	LOC589887	LOC118413089	A1
XLOC_007055	LOC579719	LOC118420446	A1
XLOC_008452	LOC588712	LOC118424586	A1
XLOC_006933	LOC578830	LOC118415900	A1
XLOC_007806	LOC583203	LOC118426954	A1
XLOC_007576	LOC577667	LOC118411483	A1
XLOC_007420	LOC581149	LOC118422721	A1
XLOC_006887	LOC756451	LOC118426299	A1
XLOC_007250	LOC587577	LOC118415828	A1
XLOC_007162	LOC581289	LOC118429075	A1
XLOC_008462	LOC585086	LOC118422021	A1
XLOC_007428	LOC756179	LOC118431259	A1
XLOC_008447	LOC100890528	LOC118431005	A1
XLOC_007057	LOC115929502	LOC118414372	A1
XLOC_007807	LOC576455	LOC118427104	A1
XLOC_006901	LOC582881	LOC118420043	A1
XLOC_007340	LOC752151	LOC118425399	A1
XLOC_006924	LOC763340	LOC118415808	A1
XLOC_007016	LOC579019	LOC118411343	A1
XLOC_007908	LOC586685	LOC118409603	A1
XLOC_008303	LOC576577	LOC118427886	A1
XLOC_007487	LOC582962	LOC118414641	A1
XLOC_007433	LOC580354	LOC118422572	A1
XLOC_006895	LOC100891454	LOC118417739	A1
XLOC_007201	LOC587717	LOC118425877	A1
XLOC_006934	LOC587370	LOC118415759	A1
XLOC_006876	NK2.2	LOC118418007	A1
XLOC_008083	LOC589774	LOC118423945	A1
XLOC_008296	LOC593988	LOC118429817	A1
XLOC_007167	Six1	LOC118417965	A1
XLOC_007818	LOC584715	LOC118414989	A1
XLOC_007192	LOC587575	LOC118422349	A1
XLOC_007740	LOC585866	LOC118409736	A1
XLOC_008252	LOC586627	LOC118420595	A1
XLOC_007742	LOC100893681	LOC118430986	A1
XLOC_008042	LOC752836	LOC118425012	A1
XLOC_006941	LOC577047	LOC118410851	A1
XLOC_008311	LOC594183	LOC118422359	A1
XLOC_007857	LOC589863	LOC118429486	A1
XLOC_008453	LOC579405	LOC118412761	A1
XLOC_008209	LOC575699	LOC118409362	A1
XLOC_007040	LOC586176	LOC118409391	A1
XLOC_008379	LOC575293	LOC118424161	A1
XLOC_006983	LOC100892531	LOC118422173	A1
XLOC_008127	SNAP-25	LOC118422991	A1
XLOC_007214	LOC578357	LOC118425660	A1
XLOC_007462	LOC115918094	LOC118427151	A1
XLOC_006967	LOC580574	LOC118414936	A1
XLOC_008220	LOC764911	LOC118428336	A1
XLOC_008216	LOC115929773	LOC118413439	A1
XLOC_007685	LOC575698	LOC118427350	A1
XLOC_007690	LOC593766	LOC118415238	A1
XLOC_007579	LOC577302	LOC118431018	A1
XLOC_007182	LOC100892111	LOC118429263	A1
XLOC_006979	LOC580804	LOC118429467	A1
XLOC_007185	LOC757224	LOC118417067	A1
XLOC_008403	LOC586399	LOC118422917	A1
XLOC_007695	LOC581052	LOC118409534	A1
XLOC_007944	LOC578402	LOC118426619	A1
XLOC_007721	LOC578423	LOC118410104	A1
XLOC_008041	LOC762678	LOC118417754	A1
XLOC_006994	LOC582991	LOC118419088	A1
XLOC_007595	LOC100892440	LOC118412143	A1
XLOC_008109	Gsc	LOC118428316	A1
XLOC_008510	LOC754354	LOC118410034	A1
XLOC_007743	LOC100893598	LOC118430975	A1
XLOC_006875	LOC100893580	LOC118430145	A1
XLOC_007346	LOC581399	LOC118411235	A1
XLOC_006848	LOC753286	LOC118422086	A1
XLOC_008219	LOC588169	LOC118413293	A1
XLOC_008176	LOC577167	LOC118414284	A1
XLOC_008113	LOC576366	LOC118420113	A1
XLOC_008049	LOC579042	LOC118429141	A1
XLOC_006916	LOC586297	LOC118415596	A1
XLOC_007749	LOC575766	LOC118417728	A1
XLOC_008002	LOC580395	LOC118429338	A1
XLOC_007384	LOC583058	LOC118426364	A1
XLOC_008061	LOC100892187	LOC118429285	A1
XLOC_007262	LOC100889646	LOC118413780	A1
XLOC_008124	LOC577678	LOC118425234	A1
XLOC_007288	LOC575638	LOC118422329	A1
XLOC_007437	LOC580289	LOC118423646	A1
XLOC_006966	BMP2/4	LOC118427296	A1
XLOC_008230	LOC578532	LOC118416857	A1
XLOC_007506	LOC580221	LOC118430362	A1
XLOC_007064	LOC580926	LOC118426626	A1
XLOC_006943	LOC115918196	LOC118418090	A1
XLOC_007272	LOC580876	LOC118421475	A1
XLOC_007367	LOC577630	LOC118418784	A1
XLOC_008464	LOC578887	LOC118412783	A1
XLOC_006842	LOC580986	LOC118409526	A1
XLOC_007372	LOC579392	LOC118418766	A1
XLOC_007988	LOC762995	LOC118416103	A1
XLOC_008428	LOC756261	LOC118415270	A1
XLOC_007783	LOC578771	LOC118421353	A1
XLOC_008387	LOC580203	LOC118428409	A1
XLOC_007758	LOC582858	LOC118419998	A1
XLOC_007196	LOC581055	LOC118403773	A1
XLOC_006899	LOC577352	LOC118418629	A1
XLOC_007019	LOC100890399	LOC118412791	A1
XLOC_007673	LOC585652	LOC118416521	A1
XLOC_008254	LOC581961	LOC118413018	A1
XLOC_008459	LOC100892604	LOC118419657	A1
XLOC_007325	LOC579838	LOC118415324	A1
XLOC_007218	LOC592174	LOC118425250	A1
XLOC_006996	LOC100893283	LOC118416125	A1
XLOC_008217	LOC100891842	LOC118427141	A1
XLOC_007429	LOC100892685	LOC118421626	A1
XLOC_007412	LOC105444027	LOC118419426	A1
XLOC_007764	LOC593220	LOC118413257	A1
XLOC_007160	LOC582904	LOC118416419	A1
XLOC_007888	LOC100891701	LOC118409878	A1
XLOC_008455	LOC100891944	LOC118420313	A1
XLOC_008288	LOC592172	LOC118415344	A1
XLOC_028504	LOC764665	LOC118424073	A2
XLOC_029893	LOC587715	LOC118413634	A2
XLOC_029324	LOC752732	LOC118419552	A2
XLOC_029894	LOC115918118	LOC118413398	A2
XLOC_024760	LOC583227	LOC118413730	A2
XLOC_024364	LOC105444504	LOC118418901	A2
XLOC_029841	LOC100889886	LOC118414295	A2
XLOC_025179	LOC585613	LOC118421055	A2
XLOC_029730	LOC578417	LOC118414265	A2
XLOC_028946	LOC587814	LOC118424815	A2
XLOC_024758	LOC592339	LOC118412065	A2
XLOC_029672	LOC115918428	LOC118422589	A2
XLOC_029154	LOC100890711	LOC118411764	A2
XLOC_029437	LOC581848	LOC118424374	A2
XLOC_028944	LOC580773	LOC118413455	A2
XLOC_023791	ets1	LOC118413343	A2
XLOC_029431	LOC585040	LOC118417315	A2
XLOC_024298	LOC590273	LOC118421487	A2
XLOC_024757	LOC575187	LOC118419627	A2
XLOC_024584	LOC100890602	LOC118411907	A2
XLOC_024307	LOC583019	LOC118419559	A2
XLOC_029952	LOC591744	LOC118412010	A2
XLOC_024959	usf1	LOC118413859	A2
XLOC_024888	LOC579728	LOC118411046	A2
XLOC_024137	LOC100891032	LOC118413926	A2
XLOC_029314	LOC574891	LOC118421216	A2
XLOC_024991	LOC585934	LOC118414836	A2
XLOC_024946	BACE	LOC118417244	A2
XLOC_029051	LOC100889471	LOC118414846	A2
XLOC_028808	LOC591797	LOC118422651	A2
XLOC_024750	LOC591370	LOC118420069	A2
XLOC_029261	LOC577009	LOC118414441	A2
XLOC_024518	LOC577428	LOC118409458	A2
XLOC_024089	LOC115917879	LOC118416188	A2
XLOC_029761	LOC580647	LOC118423675	A2
XLOC_024968	LOC593381	LOC118417448	A2
XLOC_029057	LOC587364	LOC118413389	A2
XLOC_024517	LOC576303	LOC118428324	A2
XLOC_025110	LOC577981	LOC118424599	A2
XLOC_024114	LOC100890854	LOC118427504	A2
XLOC_028434	LOC574962	LOC118409315	A2
XLOC_041188	LOC584028	LOC118425101	B1
XLOC_041534	REJ7	LOC118424005	B1
XLOC_040470	LOC100890248	LOC118424992	B1
XLOC_040700	LOC105443595	LOC118424959	B1
XLOC_040579	LOC593178	LOC118423788	B1
XLOC_040382	LOC585674	LOC118425036	B1
XLOC_039888	LOC373178	LOC118424538	B1
XLOC_039935	LOC373228	LOC118424587	B1
XLOC_040414	LOC590531	LOC118424524	B1
XLOC_040240	LOC100890302	LOC118424772	B1
XLOC_039902	LOC583034	LOC118424364	B1
XLOC_041042	LOC577202	LOC118424016	B1
XLOC_040190	LOC592385	LOC118424721	B1
XLOC_041224	LOC587782	LOC118424019	B1
XLOC_040955	LOC591247	LOC118424285	B1
XLOC_040752	LOC115917988	LOC118425040	B1
XLOC_041497	LOC757031	LOC118424164	B1
XLOC_040399	LOC594103	LOC118423807	B1
XLOC_041385	LOC592292	LOC118424165	B1
XLOC_041271	LOC373223	LOC118424114	B1
XLOC_041228	LOC548622	LOC118424375	B1
XLOC_040817	LOC583333	LOC118424451	B1
XLOC_040159	LOC373367	LOC118423986	B1
XLOC_040241	LOC100893392	LOC118424948	B1
XLOC_040958	LOC115926082	LOC118424149	B1
XLOC_040945	LOC578936	LOC118424021	B1
XLOC_039915	LOC579050	LOC118424000	B1
XLOC_041383	LOC580057	LOC118424509	B1
XLOC_040231	LOC575949	LOC118424702	B1
XLOC_040319	LOC578984	LOC118425104	B1
XLOC_041223	LOC581859	LOC118424030	B1
XLOC_041199	LOC576458	LOC118423874	B1
XLOC_040984	LOC100887936	LOC118423951	B1
XLOC_041197	LOC373238	LOC118424248	B1
XLOC_040317	LOC586525	LOC118424588	B1
XLOC_040534	LOC100890484	LOC118424409	B1
XLOC_040175	LOC115926055	LOC118423884	B1
XLOC_041127	LOC576440	LOC118424398	B1
XLOC_039914	LOC577969	LOC118424445	B1
XLOC_041468	LOC582259	LOC118424640	B1
XLOC_040874	LOC582353	LOC118424356	B1
XLOC_041064	LOC577797	LOC118424824	B1
XLOC_040465	LOC591526	LOC118424814	B1
XLOC_041140	LOC584384	LOC118423988	B1
XLOC_040632	LOC590272	LOC118423728	B1
XLOC_040881	LOC115925974	LOC118423853	B1
XLOC_040400	LOC583383	LOC118423764	B1
XLOC_041426	LOC100893805	LOC118423769	B1
XLOC_040494	LOC588167	LOC118423946	B1
XLOC_040336	LOC583684	LOC118423877	B1
XLOC_039934	LOC576835	LOC118424725	B1
XLOC_041142	LOC583222	LOC118423944	B1
XLOC_040330	LOC754554	LOC118424020	B1
XLOC_039891	LOC592651	LOC118423876	B1
XLOC_040957	LOC580595	LOC118424126	B1
XLOC_041107	LOC581028	LOC118424258	B1
XLOC_040603	LOC105436916	LOC118424628	B1
XLOC_040413	LOC590510	LOC118424526	B1
XLOC_040547	LOC588685	LOC118423968	B1
XLOC_039933	LOC577573	LOC118424995	B1
XLOC_040093	LOC593812	LOC118424972	B1
XLOC_040412	LOC590444	LOC118424482	B1
XLOC_041494	LOC577253	LOC118424027	B1
XLOC_040646	LOC100890755	LOC118424727	B1
XLOC_040502	LOC589811	LOC118424004	B1
XLOC_040238	LOC579804	LOC118424050	B1
XLOC_040733	LOC100888499	LOC118424554	B1
XLOC_040086	LOC585943	LOC118424740	B1
XLOC_041168	LOC582776	LOC118425098	B1
XLOC_040643	LOC590295	LOC118424436	B1
XLOC_040411	LOC589977	LOC118424924	B1
XLOC_041113	LOC115926237	LOC118424816	B1
XLOC_040469	LOC100891263	LOC118423783	B1
XLOC_040420	LOC764303	LOC118424898	B1
XLOC_040602	LOC585453	LOC118424481	B1
XLOC_041464	LOC583194	LOC118424040	B1
XLOC_041109	LOC593167	LOC118424202	B1
XLOC_041496	LOC589679	LOC118424065	B1
XLOC_041467	LOC591009	LOC118424622	B1
XLOC_040493	LOC586151	LOC118423893	B1
XLOC_041122	LOC585921	LOC118423891	B1
XLOC_040433	LOC579775	LOC118424060	B1
XLOC_041045	LOC586184	LOC118424200	B1
XLOC_040641	LOC763581	LOC118423976	B1
XLOC_040735	LOC582756	LOC118424573	B1
XLOC_041139	LOC584178	LOC118423791	B1
XLOC_041372	LOC115917923	LOC118424692	B1
XLOC_040421	LOC115925824	LOC118423875	B1
XLOC_040232	LOC592390	LOC118424079	B1
XLOC_041373	LOC577126	LOC118424366	B1
XLOC_041171	LOC575804	LOC118424309	B1
XLOC_040753	LOC578132	LOC118424437	B1
XLOC_040818	LOC100889761	LOC118425129	B1
XLOC_040983	LOC580734	LOC118424722	B1
XLOC_040471	LOC100892519	LOC118424983	B1
XLOC_041233	LOC373206	LOC118424962	B1
XLOC_041306	LOC588913	LOC118424794	B1
XLOC_040522	LOC579975	LOC118424069	B1
XLOC_041193	LOC586556	LOC118424527	B1
XLOC_040712	LOC580957	LOC118424578	B1
XLOC_040695	LOC105439058	LOC118424074	B1
XLOC_040002	LOC593876	LOC118424503	B1
XLOC_041198	LOC584560	LOC118425147	B1
XLOC_040679	LOC587142	LOC118424002	B1
XLOC_040147	LOC575347	LOC118424390	B1
XLOC_039958	LOC590632	LOC118424629	B1
XLOC_040925	LOC115918785	LOC118424378	B1
XLOC_040212	LOC752502	LOC118424051	B1
XLOC_040698	LOC757335	LOC118423927	B1
XLOC_041453	LOC100891563	LOC118424767	B1
XLOC_041192	LOC762428	LOC118424530	B1
XLOC_041375	LOC579043	LOC118423872	B1
XLOC_041377	LOC577010	LOC118424819	B1
XLOC_040878	LOC762422	LOC118424162	B1
XLOC_014346	LOC591417	LOC118403086	B2
XLOC_013596	LOC594811	LOC118403919	B2
XLOC_013505	LOC579123	LOC118403034	B2
XLOC_022831	LOC589630	LOC118403913	B2
XLOC_013389	LOC115919156	LOC118403719	B2
XLOC_013219	LOC575215	LOC118432761	B2
XLOC_013521	LOC577868	LOC118403146	B2
XLOC_013386	COLP1alpha	LOC118432715	B2
XLOC_013207	LOC582717	LOC118403189	B2
XLOC_013818	LOC115919281	LOC118403259	B2
XLOC_013134	LOC591084	LOC118403621	B2
XLOC_022457	LOC115918282	LOC118432841	B2
XLOC_023078	LOC588665	LOC118403748	B2
XLOC_014248	LOC586095	LOC118403893	B2
XLOC_014223	LOC590877	LOC118403390	B2
XLOC_022843	LOC576717	LOC118403860	B2
XLOC_014209	LOC576276	LOC118403095	B2
XLOC_013993	LOC576136	LOC118403816	B2
XLOC_013204	LOC575126	LOC118403316	B2
XLOC_013595	LOC581837	LOC118403183	B2
XLOC_022622	LOC580371	LOC118432747	B2
XLOC_013221	LOC115917948	LOC118403149	B2
XLOC_023266	LOC586102	LOC118403063	B2
XLOC_013330	LOC578762	LOC118403923	B2
XLOC_013577	LOC580494	LOC118403912	B2
XLOC_013670	LOC580798	LOC118403581	B2
XLOC_013841	LOC594820	LOC118403090	B2
XLOC_013992	LOC580797	LOC118403015	B2
XLOC_013995	LOC585499	LOC118403566	B2
XLOC_014367	LOC588558	LOC118403861	B2
XLOC_013441	LOC578471	LOC118403647	B2
XLOC_014286	LOC580653	LOC118432703	B2
XLOC_022901	LOC582354	LOC118403722	B2
XLOC_013884	LOC582039	LOC118403075	B2
XLOC_013860	LOC115919390	LOC118403191	B2
XLOC_013978	LOC576433	LOC118403966	B2
XLOC_013852	LOC752864	LOC118403583	B2
XLOC_021889	LOC589304	LOC118403862	B2
XLOC_013507	LOC578330	LOC118403274	B2
XLOC_023536	LOC582523	LOC118403291	B2
XLOC_013187	LOC580713	LOC118403207	B2
XLOC_013977	LOC100891619	LOC118403922	B2
XLOC_013382	LOC588960	LOC118403379	B2
XLOC_014231	LOC588140	LOC118403595	B2
XLOC_014295	LOC581936	LOC118403646	B2
XLOC_023395	LOC587933	LOC118403139	B2
XLOC_013477	LOC578163	LOC118403240	B2
XLOC_014391	LOC100889554	LOC118403084	B2
XLOC_013379	LOC585950	LOC118403845	B2
XLOC_013506	LOC578201	LOC118403281	B2
XLOC_014044	LOC585512	LOC118403550	B2
XLOC_014313	LOC574640	LOC118403495	B2
XLOC_014075	LOC576167	LOC118403358	B2
XLOC_014417	Dlx	LOC118432737	B2
XLOC_022739	LOC587818	LOC118403318	B2
XLOC_013409	LOC586939	LOC118432754	B2
XLOC_014160	LOC577956	LOC118403496	B2
XLOC_013611	LOC753088	LOC118403337	B2
XLOC_013316	LOC756525	LOC118403877	B2
XLOC_013395	LOC590017	LOC118403195	B2
XLOC_013434	LOC105437221	LOC118403311	B2
XLOC_013435	LOC581813	LOC118403326	B2
XLOC_014334	LOC100892223	LOC118403253	B2
XLOC_013380	LOC579111	LOC118403528	B2
XLOC_023389	LOC588193	LOC118403181	B2
XLOC_014414	LOC115929925	LOC118432708	B2
XLOC_013188	LOC588533	LOC118403119	B2
XLOC_013288	LOC581750	LOC118403863	B2
XLOC_013223	LOC582121	LOC118403202	B2
XLOC_022943	LOC580554	LOC118403899	B2
XLOC_014292	LOC588186	LOC118403563	B2
