Orthogroup	AMPFI_ok	CAPO3
OG0000030	AMPFI_04928, AMPFI_02183	CAPO300110
OG0000030	AMPFI_03176	CAPO305356, CAPO301638, CAPO307563
OG0000031	AMPFI_01333	CAPO303729
OG0000035	AMPFI_17275, AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566, AMPFI_20705, AMPFI_13261, AMPFI_07620, AMPFI_08859, AMPFI_16822, AMPFI_12878, AMPFI_13349, AMPFI_11303, AMPFI_15071, AMPFI_24961	CAPO307346, CAPO308354
OG0000043	AMPFI_07177, AMPFI_13817	CAPO308256
OG0000048	AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763	CAPO306877
OG0000048	AMPFI_08767	CAPO304823
OG0000049	AMPFI_09959, AMPFI_25468, AMPFI_22815, AMPFI_21732, AMPFI_05869, AMPFI_21057, AMPFI_18773, AMPFI_18737	CAPO304018
OG0000051	AMPFI_06837, AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032, AMPFI_18977, AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599	CAPO307809, CAPO301249
OG0000054	AMPFI_10274	CAPO302015
OG0000054	AMPFI_00513, AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	CAPO303797
OG0000056	AMPFI_10015, AMPFI_06567, AMPFI_06885, AMPFI_21387, AMPFI_13951, AMPFI_13952, AMPFI_00302	CAPO305974, CAPO306012, CAPO306941
OG0000058	AMPFI_18481	CAPO305595
OG0000060	AMPFI_23758, AMPFI_20631, AMPFI_19643, AMPFI_25991, AMPFI_02716, AMPFI_19058	CAPO305373
OG0000062	AMPFI_15564, AMPFI_21603, AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193, AMPFI_05434, AMPFI_22139, AMPFI_19597, AMPFI_22135, AMPFI_05111, AMPFI_02667, AMPFI_10391	CAPO300910
OG0000063	AMPFI_19149, AMPFI_21664, AMPFI_03875, AMPFI_25718, AMPFI_20407, AMPFI_07613, AMPFI_14740, AMPFI_00674, AMPFI_24629, AMPFI_16608, AMPFI_24341, AMPFI_23675, AMPFI_24747, AMPFI_13584, AMPFI_25335	CAPO300270
OG0000066	AMPFI_16063, AMPFI_02908, AMPFI_19169, AMPFI_13029, AMPFI_09400, AMPFI_25704, AMPFI_24273	CAPO308057
OG0000069	AMPFI_08415	CAPO302182
OG0000069	AMPFI_07519	CAPO301523, CAPO305173
OG0000082	AMPFI_21007	CAPO304738
OG0000082	AMPFI_06890	CAPO306626
OG0000082	AMPFI_15952, AMPFI_11015	CAPO300843
OG0000085	AMPFI_20771, AMPFI_25543	CAPO303061
OG0000085	AMPFI_09379, AMPFI_25819, AMPFI_25579, AMPFI_04349	CAPO303047
OG0000089	AMPFI_22175, AMPFI_17226, AMPFI_21389, AMPFI_16243, AMPFI_21827, AMPFI_22710, AMPFI_16100, AMPFI_10395, AMPFI_03220, AMPFI_22774, AMPFI_22571, AMPFI_24059, AMPFI_03609, AMPFI_00096	CAPO300386, CAPO300810, CAPO302098
OG0000090	AMPFI_21032	CAPO304460, CAPO304458, CAPO303991
OG0000091	AMPFI_09146, AMPFI_00356, AMPFI_09607, AMPFI_02060, AMPFI_17703, AMPFI_05929, AMPFI_04685, AMPFI_24623, AMPFI_10622, AMPFI_23875, AMPFI_17001, AMPFI_16503	CAPO301134
OG0000095	AMPFI_22619, AMPFI_12414, AMPFI_21103, AMPFI_25777	CAPO301288, CAPO306046
OG0000096	AMPFI_22693	CAPO301431
OG0000096	AMPFI_24766	CAPO307955
OG0000096	AMPFI_09837	CAPO307522
OG0000096	AMPFI_11230	CAPO300294
OG0000096	AMPFI_25309	CAPO307017
OG0000101	AMPFI_17596, AMPFI_21293, AMPFI_22964, AMPFI_22686, AMPFI_04246, AMPFI_24234, AMPFI_14741, AMPFI_20349, AMPFI_14310, AMPFI_02729, AMPFI_08160	CAPO306858
OG0000103	AMPFI_21097	CAPO302453
OG0000106	AMPFI_02407, AMPFI_14321, AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	CAPO300017
OG0000110	AMPFI_17055, AMPFI_21701, AMPFI_03800, AMPFI_04584, AMPFI_16212, AMPFI_03550, AMPFI_18622, AMPFI_10052	CAPO300387
OG0000114	AMPFI_01965, AMPFI_00254	CAPO302440
OG0000116	AMPFI_12986	CAPO305622
OG0000119	AMPFI_25431, AMPFI_07345, AMPFI_07307, AMPFI_24152, AMPFI_09636, AMPFI_09635	CAPO304642
OG0000122	AMPFI_15603, AMPFI_13850, AMPFI_04566, AMPFI_20620, AMPFI_04266, AMPFI_05019, AMPFI_03816, AMPFI_08856, AMPFI_09948, AMPFI_21733	CAPO307824
OG0000124	AMPFI_07499, AMPFI_07500	CAPO304324
OG0000124	AMPFI_02885	CAPO302553
OG0000126	AMPFI_13551	CAPO302484
OG0000126	AMPFI_19122	CAPO306676
OG0000126	AMPFI_06519, AMPFI_19042	CAPO300572
OG0000128	AMPFI_23687, AMPFI_01859, AMPFI_00795, AMPFI_13540, AMPFI_16784	CAPO306991, CAPO304956
OG0000129	AMPFI_25119, AMPFI_15379, AMPFI_05870	CAPO303361
OG0000137	AMPFI_02989, AMPFI_12246	CAPO305369
OG0000142	AMPFI_12268, AMPFI_25838, AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305	CAPO302031, CAPO302030
OG0000147	AMPFI_24113	CAPO305863
OG0000147	AMPFI_01784, AMPFI_00036, AMPFI_00137	CAPO308132
OG0000147	AMPFI_22384, AMPFI_01359, AMPFI_18115	CAPO304230
OG0000149	AMPFI_19578, AMPFI_11805	CAPO305206, CAPO306214
OG0000157	AMPFI_07870	CAPO305956
OG0000157	AMPFI_25988	CAPO302981
OG0000157	AMPFI_18508	CAPO305824
OG0000160	AMPFI_10740	CAPO301680
OG0000167	AMPFI_07356, AMPFI_14278, AMPFI_04280, AMPFI_06385, AMPFI_02849, AMPFI_21928, AMPFI_19727	CAPO301364, CAPO303476
OG0000171	AMPFI_21216, AMPFI_04662, AMPFI_21332, AMPFI_03812, AMPFI_02526, AMPFI_16514	CAPO304813
OG0000174	AMPFI_12146, AMPFI_25103, AMPFI_14045, AMPFI_12675	CAPO304629
OG0000175	AMPFI_13786	CAPO303513
OG0000179	AMPFI_12504	CAPO300694
OG0000179	AMPFI_16964	CAPO303342
OG0000181	AMPFI_16526	CAPO307692
OG0000181	AMPFI_12882	CAPO300374
OG0000183	AMPFI_14083	CAPO305638
OG0000183	AMPFI_23760	CAPO302591
OG0000183	AMPFI_03468	CAPO305829
OG0000184	AMPFI_03874, AMPFI_09399, AMPFI_14819	CAPO304928
OG0000186	AMPFI_23623	CAPO301875
OG0000192	AMPFI_19784	CAPO304141
OG0000192	AMPFI_05198	CAPO300533
OG0000192	AMPFI_22080, AMPFI_03281	CAPO301980
OG0000193	AMPFI_04703, AMPFI_20306	CAPO302628
OG0000194	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028	CAPO305195
OG0000195	AMPFI_05326, AMPFI_12345, AMPFI_10206, AMPFI_05107	CAPO305454
OG0000201	AMPFI_03122, AMPFI_19654	CAPO307729
OG0000203	AMPFI_10377, AMPFI_15263, AMPFI_20814, AMPFI_06550, AMPFI_18282	CAPO302139
OG0000204	AMPFI_16667, AMPFI_18110, AMPFI_16653, AMPFI_14128, AMPFI_06859, AMPFI_19770	CAPO303090
OG0000207	AMPFI_08635, AMPFI_15520	CAPO304105, CAPO304106, CAPO304714
OG0000211	AMPFI_10849, AMPFI_05941, AMPFI_12814, AMPFI_16753, AMPFI_21968	CAPO306209
OG0000218	AMPFI_08238, AMPFI_04727, AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956, AMPFI_17247, AMPFI_03024, AMPFI_13048	CAPO300559
OG0000220	AMPFI_11145, AMPFI_09063, AMPFI_16751, AMPFI_20109, AMPFI_11272, AMPFI_05814, AMPFI_12253	CAPO306780, CAPO307695
OG0000221	AMPFI_07550, AMPFI_18146, AMPFI_19059	CAPO300247
OG0000222	AMPFI_16387, AMPFI_05918, AMPFI_03073	CAPO304211
OG0000223	AMPFI_12761, AMPFI_09693	CAPO308126
OG0000225	AMPFI_24201, AMPFI_00311	CAPO305347
OG0000226	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354	CAPO303463
OG0000234	AMPFI_09748, AMPFI_05768	CAPO301359
OG0000239	AMPFI_07816, AMPFI_07246, AMPFI_08248, AMPFI_20472	CAPO302089
OG0000240	AMPFI_05219, AMPFI_05218	CAPO303214
OG0000242	AMPFI_05850	CAPO304847
OG0000244	AMPFI_12077, AMPFI_18742	CAPO301556
OG0000246	AMPFI_12737, AMPFI_20200, AMPFI_25049, AMPFI_20225	CAPO303496
OG0000248	AMPFI_08134, AMPFI_21352	CAPO307635, CAPO302481, CAPO302487
OG0000250	AMPFI_05967	CAPO305827
OG0000255	AMPFI_01606	CAPO306632
OG0000255	AMPFI_21142	CAPO301531
OG0000255	AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948	CAPO300499
OG0000256	AMPFI_08473	CAPO307884
OG0000256	AMPFI_07025, AMPFI_16869	CAPO306483
OG0000257	AMPFI_24622, AMPFI_01061, AMPFI_17884	CAPO300414
OG0000258	AMPFI_21660	CAPO301106
OG0000258	AMPFI_11627	CAPO301746
OG0000260	AMPFI_00537	CAPO303219
OG0000260	AMPFI_24181	CAPO300399
OG0000265	AMPFI_11224	CAPO306540
OG0000271	AMPFI_00334, AMPFI_02538, AMPFI_02338, AMPFI_17791, AMPFI_22718, AMPFI_16033, AMPFI_22428, AMPFI_00241, AMPFI_16165, AMPFI_13367, AMPFI_21553	CAPO304641
OG0000273	AMPFI_11471	CAPO305109
OG0000273	AMPFI_06629	CAPO300804
OG0000273	AMPFI_05763	CAPO306869
OG0000277	AMPFI_09153	CAPO303621
OG0000277	AMPFI_19405	CAPO301295
OG0000277	AMPFI_04428	CAPO307814, CAPO307752
OG0000278	AMPFI_20031	CAPO300620
OG0000278	AMPFI_23155	CAPO305822
OG0000278	AMPFI_11370	CAPO302023
OG0000278	AMPFI_14249	CAPO307140
OG0000278	AMPFI_25739, AMPFI_15284	CAPO305746, CAPO303638, CAPO306850, CAPO305864
OG0000282	AMPFI_11943, AMPFI_24461, AMPFI_16635, AMPFI_18258, AMPFI_00662, AMPFI_13665	CAPO308183
OG0000284	AMPFI_25872, AMPFI_11998	CAPO305695
OG0000285	AMPFI_21903, AMPFI_16083, AMPFI_21667, AMPFI_04957, AMPFI_19148	CAPO303377
OG0000288	AMPFI_04129	CAPO305142
OG0000289	AMPFI_17606, AMPFI_02929, AMPFI_19548, AMPFI_16478	CAPO307835
OG0000295	AMPFI_21638, AMPFI_25336, AMPFI_07689, AMPFI_07690	CAPO302113, CAPO302799
OG0000299	AMPFI_23716	CAPO306599
OG0000305	AMPFI_02684	CAPO307183
OG0000306	AMPFI_01092, AMPFI_20442	CAPO308212
OG0000308	AMPFI_19983	CAPO304037
OG0000308	AMPFI_01977	CAPO303083
OG0000310	AMPFI_04405, AMPFI_23833, AMPFI_19988, AMPFI_23309, AMPFI_01493, AMPFI_07855, AMPFI_05017	CAPO305978
OG0000312	AMPFI_21427	CAPO304557
OG0000312	AMPFI_21121	CAPO302691
OG0000313	AMPFI_05659, AMPFI_25204	CAPO307072
OG0000313	AMPFI_19009, AMPFI_16147, AMPFI_11114, AMPFI_16761, AMPFI_20279, AMPFI_24408	CAPO301348
OG0000314	AMPFI_01491, AMPFI_21098, AMPFI_21539, AMPFI_12771, AMPFI_19303	CAPO304303
OG0000315	AMPFI_02270	CAPO308167
OG0000316	AMPFI_12328	CAPO307924, CAPO300321
OG0000317	AMPFI_13838	CAPO306620
OG0000319	AMPFI_18016, AMPFI_24803, AMPFI_03261, AMPFI_21510, AMPFI_20972, AMPFI_12866, AMPFI_03298, AMPFI_20408, AMPFI_22898, AMPFI_08728, AMPFI_08933, AMPFI_05900	CAPO303225
OG0000320	AMPFI_22513	CAPO304008
OG0000322	AMPFI_16430, AMPFI_01114, AMPFI_11536, AMPFI_16438, AMPFI_14537, AMPFI_01378, AMPFI_07075, AMPFI_22995, AMPFI_10175, AMPFI_10174, AMPFI_04030, AMPFI_12395	CAPO306406
OG0000326	AMPFI_07142, AMPFI_15155	CAPO303322
OG0000327	AMPFI_02810, AMPFI_10968, AMPFI_07053, AMPFI_01699	CAPO308120
OG0000335	AMPFI_21396, AMPFI_23036, AMPFI_21319, AMPFI_08057, AMPFI_24569, AMPFI_20092	CAPO307753
OG0000338	AMPFI_12428, AMPFI_12247	CAPO304735
OG0000339	AMPFI_15009	CAPO305264
OG0000343	AMPFI_06155, AMPFI_14007	CAPO306429
OG0000345	AMPFI_07208, AMPFI_03618	CAPO300769
OG0000352	AMPFI_09521, AMPFI_09522, AMPFI_24369, AMPFI_20917, AMPFI_16994	CAPO300356
OG0000357	AMPFI_08530	CAPO301487
OG0000359	AMPFI_13496	CAPO305417
OG0000359	AMPFI_18442, AMPFI_25444	CAPO301540
OG0000359	AMPFI_16065	CAPO306866
OG0000360	AMPFI_10587, AMPFI_20755, AMPFI_22680, AMPFI_06174	CAPO300757
OG0000363	AMPFI_12319	CAPO300237
OG0000363	AMPFI_04121	CAPO305594
OG0000364	AMPFI_18353, AMPFI_21188, AMPFI_18689, AMPFI_01368, AMPFI_19431	CAPO301330, CAPO300908
OG0000367	AMPFI_07904, AMPFI_24584, AMPFI_10053	CAPO301272
OG0000371	AMPFI_14641, AMPFI_06561, AMPFI_21182, AMPFI_22207	CAPO307503
OG0000372	AMPFI_17037, AMPFI_10224, AMPFI_09792, AMPFI_13417	CAPO307553
OG0000373	AMPFI_05437, AMPFI_02134	CAPO301744
OG0000385	AMPFI_19226, AMPFI_24194, AMPFI_23534, AMPFI_25679	CAPO300182, CAPO305781, CAPO305517
OG0000390	AMPFI_17236, AMPFI_18392, AMPFI_00983	CAPO301433, CAPO301477
OG0000390	AMPFI_22410, AMPFI_05166, AMPFI_00446, AMPFI_16032	CAPO307000
OG0000392	AMPFI_19824, AMPFI_16078	CAPO300351
OG0000393	AMPFI_11122, AMPFI_20681, AMPFI_17577	CAPO307627
OG0000397	AMPFI_12772	CAPO304372
OG0000399	AMPFI_16098, AMPFI_14231, AMPFI_13302, AMPFI_12451, AMPFI_24563, AMPFI_10126	CAPO302781
OG0000402	AMPFI_10865, AMPFI_21549	CAPO300999
OG0000405	AMPFI_10725	CAPO300636
OG0000412	AMPFI_05733	CAPO306116
OG0000412	AMPFI_20072, AMPFI_23320, AMPFI_24223	CAPO307159
OG0000413	AMPFI_09027, AMPFI_05195	CAPO302663
OG0000413	AMPFI_15394	CAPO304678
OG0000416	AMPFI_14943	CAPO300647, CAPO303519, CAPO305980
OG0000419	AMPFI_16286	CAPO304227
OG0000420	AMPFI_23871	CAPO307162
OG0000424	AMPFI_18786, AMPFI_06727, AMPFI_03735, AMPFI_21433, AMPFI_02103, AMPFI_06728	CAPO302770, CAPO306814
OG0000426	AMPFI_05934	CAPO302714
OG0000426	AMPFI_04676	CAPO306829
OG0000427	AMPFI_05181, AMPFI_05182	CAPO303813
OG0000429	AMPFI_14088	CAPO300725
OG0000431	AMPFI_05479	CAPO306585
OG0000431	AMPFI_02567	CAPO304684
OG0000433	AMPFI_00102, AMPFI_00584	CAPO304838, CAPO302573
OG0000434	AMPFI_19330, AMPFI_12778, AMPFI_07772	CAPO304471
OG0000435	AMPFI_08747, AMPFI_21181	CAPO308080
OG0000436	AMPFI_15525	CAPO305799
OG0000437	AMPFI_19846	CAPO300952
OG0000442	AMPFI_07999	CAPO302753, CAPO302633
OG0000444	AMPFI_10516	CAPO305423
OG0000444	AMPFI_14412	CAPO301239
OG0000445	AMPFI_20874, AMPFI_15224, AMPFI_10421, AMPFI_03557, AMPFI_10139, AMPFI_21234, AMPFI_16884, AMPFI_09913	CAPO301584
OG0000447	AMPFI_12502	CAPO300691
OG0000450	AMPFI_01260	CAPO307586, CAPO307446
OG0000453	AMPFI_04316	CAPO305025
OG0000454	AMPFI_16132	CAPO301952
OG0000461	AMPFI_12796	CAPO303645, CAPO304085, CAPO303531
OG0000461	AMPFI_10757, AMPFI_12933	CAPO307456
OG0000467	AMPFI_12782	CAPO302815
OG0000468	AMPFI_06635, AMPFI_17864, AMPFI_19454	CAPO302003, CAPO303185
OG0000469	AMPFI_03128	CAPO306584, CAPO302277
OG0000469	AMPFI_08317	CAPO302982
OG0000474	AMPFI_11625	CAPO307766
OG0000475	AMPFI_23837, AMPFI_25135, AMPFI_16236, AMPFI_14069, AMPFI_15746	CAPO303779
OG0000476	AMPFI_07783	CAPO306104
OG0000479	AMPFI_03342	CAPO303549
OG0000479	AMPFI_09996	CAPO304267
OG0000480	AMPFI_18780, AMPFI_14622	CAPO307201
OG0000481	AMPFI_04631	CAPO300053
OG0000481	AMPFI_14700	CAPO304800
OG0000481	AMPFI_12417	CAPO304355
OG0000485	AMPFI_08282, AMPFI_08284, AMPFI_22121, AMPFI_08283	CAPO303224, CAPO303026
OG0000486	AMPFI_16665, AMPFI_16285, AMPFI_12958, AMPFI_19185, AMPFI_24869	CAPO306048, CAPO306972
OG0000494	AMPFI_14510	CAPO300277
OG0000505	AMPFI_01675	CAPO303790, CAPO306121
OG0000506	AMPFI_10562	CAPO304587
OG0000508	AMPFI_11279	CAPO302590
OG0000510	AMPFI_12605, AMPFI_15688, AMPFI_02887	CAPO303128, CAPO305095
OG0000511	AMPFI_15642, AMPFI_07565, AMPFI_23457, AMPFI_23137, AMPFI_20450, AMPFI_22040, AMPFI_21585, AMPFI_17645, AMPFI_13653, AMPFI_03100, AMPFI_12562, AMPFI_15007, AMPFI_17557, AMPFI_16096, AMPFI_20749, AMPFI_12352	CAPO301322
OG0000514	AMPFI_19314	CAPO307292
OG0000516	AMPFI_14909, AMPFI_11391	CAPO302072
OG0000519	AMPFI_09807, AMPFI_19851, AMPFI_12315, AMPFI_05130	CAPO300709
OG0000520	AMPFI_14296, AMPFI_19094	CAPO304720
OG0000522	AMPFI_07135, AMPFI_14072, AMPFI_15408, AMPFI_24817, AMPFI_18956	CAPO306204
OG0000528	AMPFI_18972, AMPFI_18973	CAPO300417
OG0000530	AMPFI_05279	CAPO306919
OG0000532	AMPFI_09523	CAPO300259
OG0000538	AMPFI_24088	CAPO300039
OG0000548	AMPFI_03107, AMPFI_12447, AMPFI_06878	CAPO307253, CAPO307370
OG0000549	AMPFI_06020, AMPFI_06765	CAPO305341
OG0000551	AMPFI_12523, AMPFI_16839, AMPFI_19651, AMPFI_24965	CAPO305700
OG0000552	AMPFI_25709, AMPFI_07948	CAPO302805
OG0000553	AMPFI_03292, AMPFI_14139, AMPFI_07441	CAPO302261
OG0000554	AMPFI_16623, AMPFI_06109, AMPFI_24115, AMPFI_06108, AMPFI_04502	CAPO300205
OG0000556	AMPFI_13590, AMPFI_15040, AMPFI_13516, AMPFI_09067, AMPFI_02813, AMPFI_24449, AMPFI_13084, AMPFI_19864, AMPFI_10656, AMPFI_16800	CAPO305079
OG0000561	AMPFI_19041, AMPFI_00758	CAPO307817, CAPO304686, CAPO304296
OG0000563	AMPFI_08659, AMPFI_10297	CAPO305151
OG0000566	AMPFI_03624, AMPFI_03781, AMPFI_20076, AMPFI_24184, AMPFI_05548	CAPO306820
OG0000567	AMPFI_08270, AMPFI_24073, AMPFI_20193	CAPO300710, CAPO302895
OG0000569	AMPFI_16404, AMPFI_20879, AMPFI_03593, AMPFI_00348	CAPO302672
OG0000572	AMPFI_18964, AMPFI_18965, AMPFI_09351	CAPO302048
OG0000573	AMPFI_08544	CAPO301573
OG0000573	AMPFI_03633, AMPFI_21790	CAPO300482
OG0000574	AMPFI_07593, AMPFI_07534, AMPFI_22284	CAPO303025
OG0000578	AMPFI_11337, AMPFI_11336	CAPO305505
OG0000583	AMPFI_03049	CAPO302594
OG0000585	AMPFI_10321, AMPFI_07822	CAPO302010
OG0000586	AMPFI_10379, AMPFI_16028	CAPO304818
OG0000587	AMPFI_16977, AMPFI_16976	CAPO304868
OG0000588	AMPFI_11701	CAPO300701
OG0000590	AMPFI_19054, AMPFI_08431	CAPO302664
OG0000590	AMPFI_13729	CAPO307990
OG0000591	AMPFI_24421	CAPO301508, CAPO306921
OG0000592	AMPFI_12250, AMPFI_00808	CAPO302552
OG0000593	AMPFI_00762, AMPFI_17892	CAPO303950
OG0000594	AMPFI_08265	CAPO305185
OG0000595	AMPFI_14807, AMPFI_25860	CAPO303068, CAPO304997
OG0000597	AMPFI_09305	CAPO305949
OG0000600	AMPFI_05589, AMPFI_23266, AMPFI_09999	CAPO302133
OG0000604	AMPFI_00175, AMPFI_21956, AMPFI_24342	CAPO304248
OG0000611	AMPFI_17154, AMPFI_20669, AMPFI_24211	CAPO305139
OG0000611	AMPFI_03941	CAPO302505
OG0000612	AMPFI_15477, AMPFI_05475	CAPO308174
OG0000613	AMPFI_20696, AMPFI_01961, AMPFI_04751	CAPO306741, CAPO303985
OG0000614	AMPFI_10965	CAPO308097
OG0000614	AMPFI_11504, AMPFI_07199	CAPO306138, CAPO304207
OG0000616	AMPFI_09981	CAPO301011
OG0000617	AMPFI_08449	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167
OG0000619	AMPFI_07065	CAPO303580
OG0000620	AMPFI_23274, AMPFI_25337, AMPFI_20298, AMPFI_09259, AMPFI_22189	CAPO300569
OG0000623	AMPFI_18053	CAPO306891
OG0000623	AMPFI_05939, AMPFI_14561	CAPO306678
OG0000624	AMPFI_19095, AMPFI_09306, AMPFI_13318	CAPO304034, CAPO304035
OG0000627	AMPFI_24110, AMPFI_23481, AMPFI_25325	CAPO301912
OG0000628	AMPFI_18712, AMPFI_02816, AMPFI_06881	CAPO306878
OG0000629	AMPFI_02582, AMPFI_03723, AMPFI_05119, AMPFI_09946	CAPO304632
OG0000634	AMPFI_17488, AMPFI_15841, AMPFI_04896, AMPFI_09245, AMPFI_00141, AMPFI_20252	CAPO305866
OG0000637	AMPFI_22000, AMPFI_25950	CAPO306492
OG0000639	AMPFI_02143	CAPO300322
OG0000639	AMPFI_19096, AMPFI_19422	CAPO305269
OG0000642	AMPFI_20481, AMPFI_17464, AMPFI_21969, AMPFI_03291, AMPFI_09020, AMPFI_24910	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430
OG0000642	AMPFI_15462, AMPFI_15774	CAPO302938, CAPO302939, CAPO304769, CAPO302566
OG0000643	AMPFI_13527	CAPO301316
OG0000645	AMPFI_07390	CAPO306925
OG0000645	AMPFI_07346	CAPO307784, CAPO304648
OG0000648	AMPFI_15343	CAPO306715
OG0000648	AMPFI_13232	CAPO307568
OG0000650	AMPFI_07337	CAPO302429
OG0000651	AMPFI_13783, AMPFI_00457	CAPO301045
OG0000652	AMPFI_06940, AMPFI_22582	CAPO307163
OG0000653	AMPFI_07129	CAPO304384
OG0000657	AMPFI_23960	CAPO304462
OG0000662	AMPFI_12334, AMPFI_02313, AMPFI_13450	CAPO308235
OG0000663	AMPFI_11999, AMPFI_12107	CAPO303713
