Orthogroup	AMPFI_ok	YEAST
OG0000043	AMPFI_07177, AMPFI_13817, AMPFI_04816	YEAST00224, YEAST01200
OG0000048	AMPFI_07263, AMPFI_20694, AMPFI_25134, AMPFI_17225, AMPFI_06745, AMPFI_01185, AMPFI_17027, AMPFI_21987, AMPFI_06139, AMPFI_22758, AMPFI_10591, AMPFI_13556, AMPFI_16815, AMPFI_20083, AMPFI_23857, AMPFI_18512, AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763, AMPFI_08767	YEAST05707
OG0000054	AMPFI_10274, AMPFI_00513, AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	YEAST01385
OG0000055	AMPFI_18462, AMPFI_10980	YEAST01199, YEAST00225
OG0000058	AMPFI_18481	YEAST02989
OG0000058	AMPFI_11588, AMPFI_03991, AMPFI_22601, AMPFI_13098, AMPFI_05634	YEAST02120
OG0000069	AMPFI_08415	YEAST03661
OG0000069	AMPFI_07519	YEAST05172
OG0000079	AMPFI_09380, AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442, AMPFI_24805, AMPFI_06359, AMPFI_07521	YEAST05330
OG0000082	AMPFI_21007	YEAST03287
OG0000082	AMPFI_06890	YEAST04267, YEAST01834, YEAST03359
OG0000082	AMPFI_15952, AMPFI_11015	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	AMPFI_13856, AMPFI_12634	YEAST04992, YEAST00735
OG0000095	AMPFI_22619, AMPFI_12414, AMPFI_21103, AMPFI_25777	YEAST02993
OG0000096	AMPFI_12180, AMPFI_22693	YEAST02643
OG0000096	AMPFI_24766	YEAST00638
OG0000096	AMPFI_09837, AMPFI_11230, AMPFI_25309	YEAST05104, YEAST05564
OG0000103	AMPFI_21097	YEAST02873
OG0000107	AMPFI_13094	YEAST05173
OG0000113	AMPFI_03282, AMPFI_01561	YEAST00378, YEAST01351, YEAST05581
OG0000114	AMPFI_01965, AMPFI_00254	YEAST00703
OG0000116	AMPFI_12986, AMPFI_10925, AMPFI_16440, AMPFI_03353	YEAST04456
OG0000122	AMPFI_15603, AMPFI_13850, AMPFI_04566, AMPFI_20620, AMPFI_04266, AMPFI_05019, AMPFI_03816, AMPFI_08856, AMPFI_09948, AMPFI_21733	YEAST04928
OG0000124	AMPFI_24111	YEAST05021
OG0000124	AMPFI_02885	YEAST04122
OG0000127	AMPFI_23284, AMPFI_11705, AMPFI_13476, AMPFI_18794	YEAST06208
OG0000128	AMPFI_04850	YEAST01398, YEAST05967, YEAST05716
OG0000132	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003, AMPFI_25895	YEAST06016
OG0000137	AMPFI_02989, AMPFI_12246, AMPFI_14905, AMPFI_17220, AMPFI_19842, AMPFI_12126	YEAST01851, YEAST00637
OG0000142	AMPFI_12268, AMPFI_25838, AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305	YEAST02122
OG0000158	AMPFI_04624	YEAST05568
OG0000160	AMPFI_04603, AMPFI_23627, AMPFI_10740	YEAST04194
OG0000175	AMPFI_12806, AMPFI_01453, AMPFI_04963, AMPFI_13786	YEAST00850, YEAST04327
OG0000179	AMPFI_12504	YEAST01123, YEAST04430
OG0000179	AMPFI_16964, AMPFI_09111, AMPFI_11913	YEAST02911, YEAST01281
OG0000179	AMPFI_00481	YEAST04108, YEAST03346
OG0000181	AMPFI_08987, AMPFI_15077, AMPFI_13877, AMPFI_16526, AMPFI_12882, AMPFI_04959	YEAST00824, YEAST00771
OG0000186	AMPFI_20239, AMPFI_18026, AMPFI_23623, AMPFI_01786	YEAST00336
OG0000194	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028	YEAST01410
OG0000195	AMPFI_05326, AMPFI_12345, AMPFI_10206, AMPFI_05107	YEAST03414
OG0000211	AMPFI_10849, AMPFI_05941, AMPFI_12814, AMPFI_16753, AMPFI_21968	YEAST04964
OG0000221	AMPFI_07550, AMPFI_18146, AMPFI_19059	YEAST05872
OG0000222	AMPFI_16387, AMPFI_05918, AMPFI_03073	YEAST01460
OG0000225	AMPFI_24201, AMPFI_00311	YEAST06146
OG0000227	AMPFI_16595, AMPFI_17484, AMPFI_00331, AMPFI_23018, AMPFI_12350, AMPFI_07507	YEAST05815
OG0000228	AMPFI_21741, AMPFI_10848, AMPFI_23893, AMPFI_01572, AMPFI_16459, AMPFI_17620	YEAST04750
OG0000233	AMPFI_17589, AMPFI_06911	YEAST03726, YEAST03241, YEAST03242
OG0000238	AMPFI_08132	YEAST06340, YEAST03834
OG0000240	AMPFI_05219, AMPFI_05218, AMPFI_05883, AMPFI_25725	YEAST03827
OG0000242	AMPFI_10835, AMPFI_24613, AMPFI_05850, AMPFI_21292, AMPFI_16757, AMPFI_04815	YEAST00734
OG0000246	AMPFI_12737, AMPFI_20200, AMPFI_25049, AMPFI_20225	YEAST01746, YEAST01747
OG0000250	AMPFI_07242, AMPFI_16594, AMPFI_05967, AMPFI_18668, AMPFI_20205, AMPFI_19063, AMPFI_12386	YEAST04716
OG0000255	AMPFI_03611, AMPFI_01606, AMPFI_21142, AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948	YEAST02822
OG0000256	AMPFI_08473, AMPFI_07025, AMPFI_16869	YEAST00266
OG0000258	AMPFI_15710, AMPFI_24588, AMPFI_21660, AMPFI_11627	YEAST00118
OG0000260	AMPFI_00537, AMPFI_17984, AMPFI_01564, AMPFI_24181, AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181, AMPFI_19738, AMPFI_03062	YEAST04323
OG0000265	AMPFI_11224	YEAST03885, YEAST03714
OG0000272	AMPFI_17127, AMPFI_21855, AMPFI_20114, AMPFI_25529	YEAST02076, YEAST01066
OG0000274	AMPFI_21223, AMPFI_18340, AMPFI_01746, AMPFI_23522, AMPFI_21347, AMPFI_20748, AMPFI_13226, AMPFI_25307, AMPFI_08632, AMPFI_14922, AMPFI_21923, AMPFI_03556, AMPFI_23789	YEAST02118, YEAST04573, YEAST01485
OG0000278	AMPFI_20031	YEAST03847
OG0000278	AMPFI_23155	YEAST03806
OG0000278	AMPFI_11370	YEAST04060
OG0000278	AMPFI_25739, AMPFI_15284	YEAST01107
OG0000284	AMPFI_12259, AMPFI_25463, AMPFI_25872, AMPFI_11998	YEAST05621
OG0000289	AMPFI_17606, AMPFI_02929, AMPFI_19548, AMPFI_16478	YEAST00645
OG0000305	AMPFI_03870, AMPFI_02684	YEAST04899
OG0000308	AMPFI_19983, AMPFI_01977, AMPFI_20295, AMPFI_18028	YEAST02548
OG0000310	AMPFI_04405, AMPFI_23833, AMPFI_19988, AMPFI_23309, AMPFI_01493, AMPFI_07855, AMPFI_05017	YEAST02635
OG0000312	AMPFI_07712, AMPFI_21427, AMPFI_20772, AMPFI_21121	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	AMPFI_05659, AMPFI_25204	YEAST05106
OG0000313	AMPFI_19009, AMPFI_16147, AMPFI_11114, AMPFI_16761, AMPFI_20279	YEAST05526
OG0000315	AMPFI_07728	YEAST03248
OG0000315	AMPFI_02270	YEAST04684
OG0000316	AMPFI_19051, AMPFI_17678, AMPFI_12328	YEAST01673
OG0000317	AMPFI_08048, AMPFI_13838, AMPFI_14578	YEAST01356
OG0000321	AMPFI_01151, AMPFI_13886	YEAST03264
OG0000323	AMPFI_13708, AMPFI_18244, AMPFI_16959, AMPFI_12290	YEAST02249
OG0000326	AMPFI_07142	YEAST06056
OG0000326	AMPFI_15155	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	AMPFI_02810, AMPFI_10968, AMPFI_07053, AMPFI_01699	YEAST01354
OG0000338	AMPFI_12428	YEAST02967
OG0000338	AMPFI_12247	YEAST04211
OG0000343	AMPFI_06155, AMPFI_14007	YEAST03024, YEAST02736
OG0000345	AMPFI_25637, AMPFI_25636, AMPFI_10260, AMPFI_07208, AMPFI_03618	YEAST01884
OG0000352	AMPFI_09521, AMPFI_09522, AMPFI_24369, AMPFI_20917, AMPFI_16994	YEAST04069
OG0000357	AMPFI_13175, AMPFI_23961, AMPFI_08530, AMPFI_15776	YEAST01925
OG0000359	AMPFI_13496, AMPFI_18442, AMPFI_25444, AMPFI_16065	YEAST02489
OG0000363	AMPFI_12319, AMPFI_19121, AMPFI_04121, AMPFI_00444	YEAST04081, YEAST05870
OG0000365	AMPFI_08145	YEAST05831
OG0000367	AMPFI_07904, AMPFI_24584, AMPFI_10053	YEAST02141, YEAST03746, YEAST03210
OG0000372	AMPFI_17037, AMPFI_10224, AMPFI_09792, AMPFI_13417, AMPFI_06343	YEAST05988
OG0000373	AMPFI_05437, AMPFI_02134	YEAST02023
OG0000373	AMPFI_16084	YEAST04495, YEAST01417, YEAST05964
OG0000380	AMPFI_06071, AMPFI_14191, AMPFI_08876, AMPFI_25598, AMPFI_04763	YEAST01047
OG0000385	AMPFI_19226, AMPFI_24194, AMPFI_23534, AMPFI_25679	YEAST03496
OG0000393	AMPFI_11122, AMPFI_20681	YEAST04072, YEAST04071
OG0000393	AMPFI_17577	YEAST01302
OG0000397	AMPFI_12772	YEAST05080
OG0000399	AMPFI_16098, AMPFI_14231, AMPFI_13302, AMPFI_12451, AMPFI_24563, AMPFI_10126	YEAST02160
OG0000400	AMPFI_25080, AMPFI_04865, AMPFI_16843, AMPFI_21265, AMPFI_04286, AMPFI_24621, AMPFI_00717, AMPFI_19225, AMPFI_26038, AMPFI_09891, AMPFI_07504, AMPFI_03889	YEAST05911
OG0000402	AMPFI_10865, AMPFI_21549	YEAST01657, YEAST01929
OG0000405	AMPFI_10725	YEAST06055, YEAST00411
OG0000412	AMPFI_20072, AMPFI_23320, AMPFI_24223	YEAST04469
OG0000413	AMPFI_09027, AMPFI_05195	YEAST04905, YEAST05340
OG0000413	AMPFI_15394, AMPFI_15092	YEAST02838
OG0000419	AMPFI_09172, AMPFI_06797, AMPFI_16286	YEAST05989
OG0000420	AMPFI_23871	YEAST03886
OG0000424	AMPFI_18786, AMPFI_06727, AMPFI_03735, AMPFI_21433, AMPFI_02103, AMPFI_06728	YEAST03563
OG0000426	AMPFI_05934	YEAST03440
OG0000427	AMPFI_05181, AMPFI_05182, AMPFI_08931, AMPFI_06083	YEAST02655, YEAST02439
OG0000429	AMPFI_13425, AMPFI_14088	YEAST02285
OG0000431	AMPFI_00618, AMPFI_05479, AMPFI_02567	YEAST04014
OG0000433	AMPFI_09657, AMPFI_25590, AMPFI_00102, AMPFI_00584	YEAST06177, YEAST00117
OG0000437	AMPFI_18281, AMPFI_17925, AMPFI_24914, AMPFI_11612, AMPFI_19846	YEAST03074, YEAST02073
OG0000442	AMPFI_18182, AMPFI_07999, AMPFI_04228	YEAST05012
OG0000444	AMPFI_10516, AMPFI_14412	YEAST01115, YEAST04019
OG0000445	AMPFI_20874, AMPFI_15224, AMPFI_10421, AMPFI_03557, AMPFI_10139, AMPFI_21234, AMPFI_16884, AMPFI_09913	YEAST03068
OG0000450	AMPFI_01260	YEAST04709, YEAST05909
OG0000461	AMPFI_10757, AMPFI_12933	YEAST00120
OG0000467	AMPFI_12782	YEAST05317
OG0000468	AMPFI_06635, AMPFI_17864, AMPFI_19454	YEAST04372
OG0000469	AMPFI_03128	YEAST02179, YEAST05440
OG0000469	AMPFI_08317	YEAST02333, YEAST00863
OG0000474	AMPFI_08225, AMPFI_11625	YEAST02384
OG0000476	AMPFI_11326, AMPFI_07783, AMPFI_24903, AMPFI_08866	YEAST03038
OG0000479	AMPFI_03342, AMPFI_09996	YEAST04139
OG0000480	AMPFI_18780, AMPFI_14622	YEAST05750
OG0000481	AMPFI_04631	YEAST01040
OG0000481	AMPFI_14700	YEAST00916
OG0000481	AMPFI_12417	YEAST00827, YEAST00774
OG0000486	AMPFI_16665, AMPFI_16285, AMPFI_12958, AMPFI_19185, AMPFI_24869	YEAST03122, YEAST04270
OG0000488	AMPFI_07218	YEAST01414
OG0000490	AMPFI_13859, AMPFI_02409	YEAST04297, YEAST00894
OG0000505	AMPFI_13142, AMPFI_01675	YEAST03067
OG0000508	AMPFI_11279	YEAST04626
OG0000510	AMPFI_12605, AMPFI_15688, AMPFI_02887	YEAST04569, YEAST05730
OG0000515	AMPFI_04197	YEAST04784, YEAST05876
OG0000519	AMPFI_09807, AMPFI_19851, AMPFI_12315, AMPFI_05130	YEAST04594, YEAST03616
OG0000520	AMPFI_25750, AMPFI_23972, AMPFI_14296, AMPFI_19094	YEAST02979
OG0000523	AMPFI_22404, AMPFI_10423, AMPFI_13116	YEAST01952, YEAST05838, YEAST06082
OG0000529	AMPFI_19152, AMPFI_14588, AMPFI_10225	YEAST05790, YEAST00048
OG0000534	AMPFI_12308, AMPFI_12548, AMPFI_09373	YEAST04932
OG0000538	AMPFI_24088	YEAST00499
OG0000549	AMPFI_06020, AMPFI_06765	YEAST06280, YEAST02610, YEAST05060
OG0000552	AMPFI_25709, AMPFI_07948	YEAST05717
OG0000556	AMPFI_13590, AMPFI_15040, AMPFI_13516, AMPFI_09067, AMPFI_02813, AMPFI_24449, AMPFI_13084, AMPFI_19864, AMPFI_10656, AMPFI_16800	YEAST04616
OG0000561	AMPFI_19041, AMPFI_00758	YEAST06202, YEAST00331
OG0000562	AMPFI_16966, AMPFI_21582, AMPFI_20719, AMPFI_04543, AMPFI_23033	YEAST00314
OG0000563	AMPFI_08659, AMPFI_10297	YEAST01406
OG0000566	AMPFI_03624, AMPFI_03781, AMPFI_20076, AMPFI_24184, AMPFI_05548	YEAST05789, YEAST00049
OG0000573	AMPFI_08544, AMPFI_03633, AMPFI_21790	YEAST05675
OG0000576	AMPFI_11215	YEAST00470, YEAST00193
OG0000578	AMPFI_11337, AMPFI_11336	YEAST01208, YEAST00759
OG0000579	AMPFI_10586	YEAST02484
OG0000582	AMPFI_14842, AMPFI_03684	YEAST03615
OG0000587	AMPFI_16977, AMPFI_16976	YEAST04063
OG0000587	AMPFI_14490	YEAST03372
OG0000588	AMPFI_25131, AMPFI_02951, AMPFI_04054, AMPFI_03394, AMPFI_11701	YEAST05197
OG0000590	AMPFI_19054, AMPFI_08431, AMPFI_13729	YEAST05110, YEAST05552, YEAST03727
OG0000592	AMPFI_12250, AMPFI_00808	YEAST00388
OG0000597	AMPFI_09305	YEAST04330
OG0000612	AMPFI_15477, AMPFI_05475	YEAST02370
OG0000613	AMPFI_20696, AMPFI_01961, AMPFI_04751	YEAST01072
OG0000623	AMPFI_18053	YEAST02411
OG0000623	AMPFI_05939, AMPFI_14561	YEAST05090
OG0000627	AMPFI_24110, AMPFI_23481, AMPFI_25325	YEAST02116, YEAST03957
OG0000639	AMPFI_02143, AMPFI_19096, AMPFI_19422	YEAST02015
OG0000642	AMPFI_20481, AMPFI_17464, AMPFI_21969, AMPFI_03291, AMPFI_09020, AMPFI_24910, AMPFI_15462, AMPFI_15774	YEAST00618
OG0000645	AMPFI_07390	YEAST05140
OG0000645	AMPFI_07346	YEAST04743
OG0000647	AMPFI_23188, AMPFI_23840	YEAST04534
OG0000648	AMPFI_15343, AMPFI_13232	YEAST04178, YEAST05641
OG0000657	AMPFI_16174, AMPFI_04003, AMPFI_15120, AMPFI_23960, AMPFI_23025	YEAST03846
OG0000660	AMPFI_17445	YEAST05150, YEAST01587
OG0000662	AMPFI_12334, AMPFI_02313, AMPFI_13450	YEAST05937
OG0000663	AMPFI_11999, AMPFI_12107	YEAST02675, YEAST03294
OG0000672	AMPFI_11096	YEAST03771
OG0000672	AMPFI_17614	YEAST00984
OG0000676	AMPFI_07198	YEAST01503
OG0000676	AMPFI_01951	YEAST02962
OG0000683	AMPFI_06165, AMPFI_15593	YEAST03152, YEAST03537, YEAST05938
OG0000690	AMPFI_12474	YEAST02296
OG0000692	AMPFI_22914	YEAST01969
OG0000692	AMPFI_19220	YEAST03487
OG0000694	AMPFI_12037, AMPFI_23496, AMPFI_20821	YEAST05978
OG0000699	AMPFI_02899, AMPFI_25818, AMPFI_10547	YEAST05706
OG0000701	AMPFI_06365	YEAST02239, YEAST02223
OG0000703	AMPFI_09469	YEAST05314
OG0000708	AMPFI_18363, AMPFI_17855, AMPFI_19554	YEAST05997
OG0000709	AMPFI_23883, AMPFI_17426	YEAST00057
OG0000724	AMPFI_16071	YEAST02013
OG0000732	AMPFI_21125, AMPFI_19798, AMPFI_22564	YEAST04978
OG0000733	AMPFI_00092, AMPFI_07683	YEAST05474
OG0000735	AMPFI_12763	YEAST05945
OG0000737	AMPFI_09668	YEAST05188
OG0000744	AMPFI_16516, AMPFI_06604	YEAST05951
OG0000745	AMPFI_10083	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	AMPFI_17019, AMPFI_09329, AMPFI_04939	YEAST01432, YEAST04483
OG0000753	AMPFI_15523, AMPFI_14109, AMPFI_09896	YEAST01034, YEAST02037
OG0000757	AMPFI_01364, AMPFI_13831	YEAST01489
OG0000758	AMPFI_24693, AMPFI_03569, AMPFI_00957	YEAST01504
OG0000759	AMPFI_20273, AMPFI_04195	YEAST02878, YEAST05681
OG0000768	AMPFI_08442	YEAST02560, YEAST04269
OG0000772	AMPFI_02894, AMPFI_19971	YEAST04929
OG0000776	AMPFI_23341	YEAST04571, YEAST00195, YEAST00312
OG0000777	AMPFI_17157, AMPFI_20421, AMPFI_13791, AMPFI_22290	YEAST06297, YEAST02627
OG0000779	AMPFI_25294, AMPFI_06428	YEAST03812
OG0000782	AMPFI_18834	YEAST01393, YEAST05616
OG0000791	AMPFI_01769	YEAST02375
OG0000794	AMPFI_12203	YEAST04627
OG0000800	AMPFI_07209, AMPFI_10431	YEAST03636
OG0000809	AMPFI_12034	YEAST01998
OG0000817	AMPFI_08254, AMPFI_07996	YEAST00389
OG0000817	AMPFI_11242, AMPFI_25982	YEAST06112
OG0000824	AMPFI_10634	YEAST01319, YEAST02883
OG0000828	AMPFI_06751	YEAST00945, YEAST05476, YEAST00075
OG0000828	AMPFI_18122	YEAST02290
OG0000837	AMPFI_18684, AMPFI_23242	YEAST06222
OG0000841	AMPFI_11477	YEAST02416
OG0000847	AMPFI_17341, AMPFI_13534	YEAST02881, YEAST03544, YEAST06198
OG0000847	AMPFI_06619	YEAST02530, YEAST00209
OG0000849	AMPFI_24685	YEAST04475
OG0000850	AMPFI_19396, AMPFI_03228	YEAST04287
OG0000852	AMPFI_08444, AMPFI_13668	YEAST01266
OG0000855	AMPFI_17874, AMPFI_17347, AMPFI_08376, AMPFI_08377	YEAST04755
OG0000857	AMPFI_00242	YEAST00309
OG0000868	AMPFI_09990, AMPFI_02557, AMPFI_16551, AMPFI_07891, AMPFI_22647, AMPFI_13621, AMPFI_09212	YEAST06157
OG0000871	AMPFI_06057, AMPFI_13424	YEAST03857
OG0000872	AMPFI_14533	YEAST03222, YEAST03741
OG0000875	AMPFI_16915, AMPFI_14018	YEAST00077
OG0000876	AMPFI_07974, AMPFI_21327	YEAST05556
OG0000879	AMPFI_24002, AMPFI_08219	YEAST06123
OG0000888	AMPFI_15204, AMPFI_11657, AMPFI_07926, AMPFI_07927	YEAST00288
OG0000889	AMPFI_16359, AMPFI_08502	YEAST00175
OG0000894	AMPFI_03215, AMPFI_21192	YEAST03763
OG0000896	AMPFI_18659	YEAST02476
OG0000896	AMPFI_22491, AMPFI_12466, AMPFI_26067	YEAST04923
OG0000898	AMPFI_22530	YEAST06255, YEAST03431
OG0000905	AMPFI_23249, AMPFI_23770, AMPFI_06111, AMPFI_02008	YEAST00599
OG0000907	AMPFI_11759	YEAST02193
OG0000913	AMPFI_01293, AMPFI_01711	YEAST03557, YEAST05101
OG0000914	AMPFI_07132	YEAST04745
OG0000921	AMPFI_16444	YEAST02526
OG0000925	AMPFI_22605, AMPFI_08869	YEAST05667, YEAST06025
OG0000932	AMPFI_09005, AMPFI_10461	YEAST03525
OG0000933	AMPFI_11078	YEAST06306
OG0000934	AMPFI_09923	YEAST02582, YEAST06252
OG0000934	AMPFI_21983	YEAST05040
OG0000935	AMPFI_08255	YEAST02843
OG0000943	AMPFI_03474, AMPFI_25624, AMPFI_01279	YEAST03805
OG0000944	AMPFI_08499	YEAST04878
OG0000954	AMPFI_20580, AMPFI_25977, AMPFI_05682	YEAST05503, YEAST01249
OG0000955	AMPFI_06758	YEAST00837
OG0000955	AMPFI_06876	YEAST04295
OG0000963	AMPFI_18238, AMPFI_05536	YEAST03685, YEAST00482, YEAST01749
OG0000964	AMPFI_17923, AMPFI_15487, AMPFI_19681	YEAST04606
OG0000965	AMPFI_19565, AMPFI_15550	YEAST02552
OG0000965	AMPFI_04099	YEAST02050
OG0000967	AMPFI_25346, AMPFI_07326	YEAST05075
OG0000970	AMPFI_08215	YEAST04028
OG0000982	AMPFI_14398	YEAST01182
OG0000984	AMPFI_10960, AMPFI_15775	YEAST01493, YEAST00575
OG0000986	AMPFI_07828	YEAST01481, YEAST04073
OG0000987	AMPFI_23099, AMPFI_17518, AMPFI_24141	YEAST04734, YEAST02734
OG0000994	AMPFI_00747, AMPFI_08034, AMPFI_10949	YEAST02360
OG0000996	AMPFI_14642	YEAST00033
OG0001001	AMPFI_06409	YEAST00341
OG0001003	AMPFI_04602	YEAST00644
OG0001006	AMPFI_04557, AMPFI_14604, AMPFI_23083	YEAST04513
OG0001016	AMPFI_10130, AMPFI_08991	YEAST00830
OG0001018	AMPFI_03134, AMPFI_05980	YEAST01172
OG0001024	AMPFI_23405, AMPFI_04961	YEAST01024, YEAST00308
OG0001033	AMPFI_08349	YEAST02124
OG0001064	AMPFI_18491, AMPFI_13276, AMPFI_11404	YEAST00458
OG0001066	AMPFI_04798, AMPFI_04799, AMPFI_05155	YEAST06311
OG0001075	AMPFI_00014	YEAST05636
OG0001076	AMPFI_25701, AMPFI_03111, AMPFI_09505, AMPFI_03148, AMPFI_21677	YEAST01570
OG0001081	AMPFI_07991	YEAST04460
OG0001082	AMPFI_11474, AMPFI_11475, AMPFI_03241	YEAST03919, YEAST02905, YEAST05331
OG0001094	AMPFI_07987, AMPFI_17757	YEAST03837
OG0001095	AMPFI_00281, AMPFI_21259	YEAST00773
OG0001096	AMPFI_10982, AMPFI_10807, AMPFI_10808, AMPFI_22875	YEAST01384
OG0001101	AMPFI_12698	YEAST03434
OG0001108	AMPFI_13440, AMPFI_13784, AMPFI_13358	YEAST06309
OG0001111	AMPFI_04458	YEAST06003
OG0001113	AMPFI_16641	YEAST05320
OG0001114	AMPFI_25604	YEAST00036, YEAST05811
OG0001124	AMPFI_15848	YEAST02719
OG0001132	AMPFI_18757	YEAST05421
OG0001133	AMPFI_24426, AMPFI_16747	YEAST04296
OG0001133	AMPFI_21275	YEAST03271
OG0001134	AMPFI_07585	YEAST05015
OG0001135	AMPFI_25799	YEAST03641
OG0001136	AMPFI_07457	YEAST05047, YEAST02997
OG0001140	AMPFI_12273, AMPFI_22519	YEAST03519
OG0001142	AMPFI_01354	YEAST04001
OG0001164	AMPFI_02597, AMPFI_21888, AMPFI_23885, AMPFI_00138, AMPFI_24570, AMPFI_17125, AMPFI_17209, AMPFI_09821, AMPFI_17052, AMPFI_25062, AMPFI_20378	YEAST03454
OG0001171	AMPFI_04677, AMPFI_21141	YEAST04620, YEAST03578
OG0001175	AMPFI_01688, AMPFI_11579, AMPFI_01291	YEAST00534
OG0001177	AMPFI_08044	YEAST06137
OG0001179	AMPFI_11537, AMPFI_25942, AMPFI_06700	YEAST00368, YEAST04831, YEAST02287
OG0001181	AMPFI_13623, AMPFI_10170	YEAST02051
OG0001184	AMPFI_20865, AMPFI_08874	YEAST01681
OG0001185	AMPFI_07596	YEAST04969
OG0001186	AMPFI_07934, AMPFI_10517	YEAST04605, YEAST01886
OG0001191	AMPFI_02622, AMPFI_06865	YEAST04707
OG0001192	AMPFI_09680	YEAST01898
OG0001197	AMPFI_13739, AMPFI_25096	YEAST01499
OG0001201	AMPFI_02387	YEAST05452
