Orthogroup	AMPFI_ok	APOSJ_ok
OG0000003	AMPFI_17434	APOSJ_22272, APOSJ_03630
OG0000003	AMPFI_10369	APOSJ_07887, APOSJ_06613
OG0000003	AMPFI_18906	APOSJ_27925, APOSJ_44929
OG0000003	AMPFI_11277	APOSJ_58026
OG0000003	AMPFI_13080	APOSJ_24559
OG0000003	AMPFI_14508	APOSJ_33006
OG0000003	AMPFI_22992	APOSJ_45754
OG0000003	AMPFI_13081, AMPFI_01108, AMPFI_17831	APOSJ_41535, APOSJ_46680, APOSJ_41536
OG0000003	AMPFI_11730	APOSJ_47753
OG0000003	AMPFI_16587, AMPFI_13138	APOSJ_37328, APOSJ_40157
OG0000003	AMPFI_17593, AMPFI_10595	APOSJ_07258
OG0000003	AMPFI_15011	APOSJ_36444
OG0000003	AMPFI_16139	APOSJ_43600
OG0000003	AMPFI_17117	APOSJ_22527
OG0000003	AMPFI_14808	APOSJ_04924
OG0000003	AMPFI_19265	APOSJ_02529
OG0000003	AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846	APOSJ_22529, APOSJ_10268
OG0000003	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596	APOSJ_41438
OG0000003	AMPFI_01423, AMPFI_22677	APOSJ_57640
OG0000003	AMPFI_23718	APOSJ_59054
OG0000003	AMPFI_14216	APOSJ_11759
OG0000003	AMPFI_11534	APOSJ_19882
OG0000003	AMPFI_18391, AMPFI_13137	APOSJ_10992, APOSJ_60978
OG0000003	AMPFI_15510	APOSJ_36445
OG0000003	AMPFI_04899	APOSJ_12157, APOSJ_25443
OG0000004	AMPFI_23148, AMPFI_09184, AMPFI_25238	APOSJ_50666, APOSJ_27471
OG0000004	AMPFI_12413	APOSJ_60995
OG0000004	AMPFI_07977	APOSJ_28748, APOSJ_28747
OG0000004	AMPFI_21283	APOSJ_07413, APOSJ_07417, APOSJ_07420, APOSJ_07421, APOSJ_07415, APOSJ_28552, APOSJ_43344
OG0000004	AMPFI_11893	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114
OG0000004	AMPFI_11374, AMPFI_01179	APOSJ_61234, APOSJ_40238, APOSJ_49811, APOSJ_28826, APOSJ_08124, APOSJ_12667
OG0000004	AMPFI_03079	APOSJ_51632, APOSJ_51634, APOSJ_51633, APOSJ_51631
OG0000004	AMPFI_11065, AMPFI_20979	APOSJ_30278
OG0000004	AMPFI_08501	APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171
OG0000004	AMPFI_16756, AMPFI_00472, AMPFI_20231	APOSJ_42139
OG0000004	AMPFI_03336, AMPFI_12435	APOSJ_12788, APOSJ_26915, APOSJ_39029, APOSJ_33861, APOSJ_60118, APOSJ_23229
OG0000005	AMPFI_18504	APOSJ_31537
OG0000005	AMPFI_17853	APOSJ_58392, APOSJ_58393
OG0000005	AMPFI_25233	APOSJ_14167, APOSJ_17139
OG0000005	AMPFI_11815, AMPFI_06236	APOSJ_45803, APOSJ_63383, APOSJ_63384, APOSJ_63382, APOSJ_23014, APOSJ_23018, APOSJ_05617, APOSJ_03732, APOSJ_33244, APOSJ_33245, APOSJ_07837, APOSJ_59467, APOSJ_30391, APOSJ_04718, APOSJ_02944, APOSJ_47042, APOSJ_10773, APOSJ_10774, APOSJ_10772, APOSJ_10771, APOSJ_10770, APOSJ_10769, APOSJ_40266, APOSJ_54876, APOSJ_61747, APOSJ_59821, APOSJ_03245, APOSJ_31790
OG0000005	AMPFI_18823	APOSJ_02028, APOSJ_23808, APOSJ_02027, APOSJ_42948, APOSJ_54441, APOSJ_42029, APOSJ_12417, APOSJ_20058, APOSJ_20056, APOSJ_19603, APOSJ_07516, APOSJ_11151, APOSJ_11154, APOSJ_11157, APOSJ_63887, APOSJ_11156, APOSJ_11155, APOSJ_11153, APOSJ_11152, APOSJ_50934, APOSJ_48695
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	APOSJ_43564, APOSJ_43561
OG0000006	AMPFI_22262	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	AMPFI_00206	APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	AMPFI_18507	APOSJ_38154
OG0000006	AMPFI_17130	APOSJ_46492
OG0000007	AMPFI_02812	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	AMPFI_07094	APOSJ_59909
OG0000007	AMPFI_26059	APOSJ_45510, APOSJ_50337
OG0000007	AMPFI_15806	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	AMPFI_22204	APOSJ_06582, APOSJ_20594
OG0000007	AMPFI_08786	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	AMPFI_17089	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121
OG0000007	AMPFI_21281	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	AMPFI_23280	APOSJ_55940, APOSJ_55941
OG0000008	AMPFI_24346	APOSJ_08880
OG0000008	AMPFI_18464	APOSJ_61175
OG0000008	AMPFI_10761	APOSJ_06622, APOSJ_23604
OG0000008	AMPFI_22833	APOSJ_42337, APOSJ_52394, APOSJ_22900, APOSJ_49999, APOSJ_52396, APOSJ_52392, APOSJ_08921, APOSJ_58249, APOSJ_58247, APOSJ_08951, APOSJ_58246
OG0000008	AMPFI_13893	APOSJ_50496
OG0000009	AMPFI_18552, AMPFI_07288	APOSJ_03326, APOSJ_29156, APOSJ_63159, APOSJ_30497, APOSJ_12474, APOSJ_60875, APOSJ_60877
OG0000009	AMPFI_05115	APOSJ_61304, APOSJ_61303
OG0000009	AMPFI_20093	APOSJ_56664
OG0000009	AMPFI_19615	APOSJ_09416, APOSJ_58001, APOSJ_01900, APOSJ_01898
OG0000009	AMPFI_03747	APOSJ_18180, APOSJ_18179
OG0000009	AMPFI_22442	APOSJ_10781, APOSJ_49262, APOSJ_11404, APOSJ_10780, APOSJ_10776, APOSJ_00998, APOSJ_00997, APOSJ_00994, APOSJ_00992, APOSJ_00989
OG0000009	AMPFI_02892, AMPFI_01981, AMPFI_16576	APOSJ_58002
OG0000009	AMPFI_21195	APOSJ_16692, APOSJ_38775, APOSJ_07096, APOSJ_07094, APOSJ_16686, APOSJ_16687, APOSJ_16684, APOSJ_16683, APOSJ_07098, APOSJ_07097, APOSJ_07092, APOSJ_07089, APOSJ_16688, APOSJ_07095, APOSJ_07090, APOSJ_07093, APOSJ_07091
OG0000009	AMPFI_02292, AMPFI_07211, AMPFI_22078	APOSJ_59244, APOSJ_59242, APOSJ_53515, APOSJ_34367, APOSJ_61174, APOSJ_31715, APOSJ_13125, APOSJ_50535, APOSJ_31719, APOSJ_17359, APOSJ_50547, APOSJ_60011, APOSJ_17353, APOSJ_13127, APOSJ_13126, APOSJ_48325, APOSJ_48328, APOSJ_59469, APOSJ_48329, APOSJ_58890, APOSJ_48326, APOSJ_49841, APOSJ_49842, APOSJ_49840, APOSJ_49839, APOSJ_49838, APOSJ_42589, APOSJ_39562
OG0000009	AMPFI_01799	APOSJ_24430
OG0000009	AMPFI_18638, AMPFI_23313	APOSJ_49147, APOSJ_49146, APOSJ_49148
OG0000009	AMPFI_20474	APOSJ_08607, APOSJ_33774, APOSJ_21638
OG0000009	AMPFI_16179	APOSJ_59241, APOSJ_38923
OG0000009	AMPFI_00566, AMPFI_18142, AMPFI_18445, AMPFI_06909	APOSJ_07511, APOSJ_07512, APOSJ_44793, APOSJ_07510
OG0000010	AMPFI_20654	APOSJ_03628
OG0000011	AMPFI_23867, AMPFI_22257	APOSJ_29863
OG0000011	AMPFI_09904	APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379, APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820
OG0000011	AMPFI_16294	APOSJ_42157, APOSJ_42159, APOSJ_64504
OG0000011	AMPFI_10527	APOSJ_35621, APOSJ_35622
OG0000011	AMPFI_25098, AMPFI_09859, AMPFI_12932, AMPFI_15261	APOSJ_09852, APOSJ_09853, APOSJ_09854, APOSJ_18476, APOSJ_34765, APOSJ_34766, APOSJ_34767, APOSJ_34768, APOSJ_34769, APOSJ_34770, APOSJ_34771, APOSJ_34772, APOSJ_63639, APOSJ_09851
OG0000011	AMPFI_20107	APOSJ_09282
OG0000011	AMPFI_21384, AMPFI_25809, AMPFI_15812	APOSJ_13252, APOSJ_13251, APOSJ_13253, APOSJ_13008
OG0000011	AMPFI_06803, AMPFI_16457, AMPFI_24860	APOSJ_16660, APOSJ_51166, APOSJ_16663, APOSJ_51108, APOSJ_60394, APOSJ_60398, APOSJ_60769, APOSJ_28585, APOSJ_60768, APOSJ_02928, APOSJ_61879, APOSJ_15677
OG0000011	AMPFI_20201	APOSJ_37350
OG0000011	AMPFI_07082	APOSJ_09521
OG0000011	AMPFI_23991, AMPFI_06537, AMPFI_05996, AMPFI_05995, AMPFI_07569	APOSJ_64652, APOSJ_38837
OG0000011	AMPFI_25424	APOSJ_06721
OG0000011	AMPFI_17952, AMPFI_21604	APOSJ_60676
OG0000011	AMPFI_09932, AMPFI_21651, AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672, AMPFI_20419	APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526
OG0000011	AMPFI_21616	APOSJ_01874, APOSJ_41471
OG0000011	AMPFI_12525, AMPFI_04893	APOSJ_25283, APOSJ_25285
OG0000011	AMPFI_09690	APOSJ_21982
OG0000011	AMPFI_05936, AMPFI_19795	APOSJ_58988
OG0000011	AMPFI_03008, AMPFI_02519	APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509
OG0000011	AMPFI_21646, AMPFI_02603	APOSJ_52847
OG0000012	AMPFI_05035, AMPFI_18913	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902
OG0000012	AMPFI_06478	APOSJ_29241, APOSJ_29242, APOSJ_18379, APOSJ_27901, APOSJ_19235, APOSJ_27908, APOSJ_19236, APOSJ_27902, APOSJ_43527, APOSJ_27907, APOSJ_02479
OG0000013	AMPFI_18951	APOSJ_62947, APOSJ_26006, APOSJ_16913, APOSJ_41894, APOSJ_41895, APOSJ_61052, APOSJ_61056, APOSJ_61059, APOSJ_39191, APOSJ_41889, APOSJ_62706, APOSJ_61060, APOSJ_41763, APOSJ_41760, APOSJ_41759, APOSJ_61058, APOSJ_41893, APOSJ_41766, APOSJ_61057, APOSJ_41892, APOSJ_41887, APOSJ_41762, APOSJ_31949, APOSJ_41761, APOSJ_41764, APOSJ_47969, APOSJ_47968, APOSJ_41891, APOSJ_41758, APOSJ_62088, APOSJ_44152, APOSJ_09998
OG0000013	AMPFI_13640	APOSJ_50056, APOSJ_01943
OG0000013	AMPFI_15921, AMPFI_25074, AMPFI_24928, AMPFI_06132	APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982, APOSJ_21044, APOSJ_58255, APOSJ_02917, APOSJ_49601, APOSJ_48986, APOSJ_43911, APOSJ_02919, APOSJ_03365, APOSJ_03366, APOSJ_26214, APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812
OG0000014	AMPFI_10576, AMPFI_00293	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105
OG0000014	AMPFI_21375, AMPFI_08000, AMPFI_07725	APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117
OG0000014	AMPFI_16339	APOSJ_28331, APOSJ_28332
OG0000015	AMPFI_03480	APOSJ_62317, APOSJ_51506, APOSJ_06725
OG0000016	AMPFI_14639	APOSJ_43457
OG0000016	AMPFI_10903	APOSJ_38951
OG0000016	AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919	APOSJ_06716, APOSJ_06717
OG0000016	AMPFI_20923	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441
OG0000016	AMPFI_06248	APOSJ_31207
OG0000016	AMPFI_15536, AMPFI_18220, AMPFI_13190	APOSJ_03790
OG0000016	AMPFI_08754	APOSJ_21975
OG0000016	AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144	APOSJ_58384
OG0000017	AMPFI_26001	APOSJ_49266, APOSJ_49264
OG0000017	AMPFI_10075, AMPFI_09589, AMPFI_13357	APOSJ_52652, APOSJ_52651
OG0000017	AMPFI_03555, AMPFI_02100, AMPFI_22933, AMPFI_20010, AMPFI_04573, AMPFI_04127	APOSJ_26995
OG0000017	AMPFI_01137	APOSJ_61685
OG0000017	AMPFI_04581	APOSJ_22123
OG0000017	AMPFI_00417	APOSJ_22488, APOSJ_51045, APOSJ_60423, APOSJ_44747, APOSJ_44744, APOSJ_23056, APOSJ_23055, APOSJ_44745, APOSJ_53147, APOSJ_53142, APOSJ_44746, APOSJ_14598, APOSJ_13335, APOSJ_55839, APOSJ_55837, APOSJ_29917, APOSJ_29916, APOSJ_52476, APOSJ_39857, APOSJ_39853, APOSJ_39852, APOSJ_05386, APOSJ_05387, APOSJ_05389, APOSJ_58711, APOSJ_65196, APOSJ_65197, APOSJ_65193, APOSJ_65192, APOSJ_65178, APOSJ_42099, APOSJ_33478, APOSJ_05390, APOSJ_65198, APOSJ_65190, APOSJ_65189, APOSJ_58712, APOSJ_45809, APOSJ_06985
OG0000017	AMPFI_20305, AMPFI_03931	APOSJ_32437
OG0000017	AMPFI_20464	APOSJ_32436
OG0000018	AMPFI_21544, AMPFI_08183, AMPFI_15245	APOSJ_19512, APOSJ_19514, APOSJ_19516, APOSJ_57743
OG0000018	AMPFI_21772, AMPFI_22259, AMPFI_05295, AMPFI_18911	APOSJ_53955
OG0000018	AMPFI_12397, AMPFI_06555, AMPFI_21165	APOSJ_54280, APOSJ_54282, APOSJ_54279, APOSJ_54277, APOSJ_38665, APOSJ_54283, APOSJ_54281, APOSJ_54278, APOSJ_01881, APOSJ_01883, APOSJ_01884, APOSJ_01885, APOSJ_11544, APOSJ_11543, APOSJ_01882, APOSJ_01880, APOSJ_31485, APOSJ_31935, APOSJ_04724, APOSJ_60628, APOSJ_60629, APOSJ_02343, APOSJ_02342
OG0000018	AMPFI_15215, AMPFI_16636	APOSJ_03375
OG0000018	AMPFI_04983	APOSJ_25320
OG0000018	AMPFI_11059	APOSJ_51121
OG0000018	AMPFI_23717, AMPFI_12063	APOSJ_05958
OG0000018	AMPFI_01244	APOSJ_64894
OG0000018	AMPFI_19834	APOSJ_19513, APOSJ_19515
OG0000018	AMPFI_08463	APOSJ_04828
OG0000018	AMPFI_12214	APOSJ_32266, APOSJ_22620
OG0000018	AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008	APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	AMPFI_10151	APOSJ_25021
OG0000019	AMPFI_16723	APOSJ_63124
OG0000019	AMPFI_01636	APOSJ_58483
OG0000019	AMPFI_06523	APOSJ_49365
OG0000019	AMPFI_24258	APOSJ_01085, APOSJ_65350, APOSJ_05565, APOSJ_64003, APOSJ_65353, APOSJ_05564, APOSJ_34752, APOSJ_65005, APOSJ_65352, APOSJ_65351, APOSJ_05568, APOSJ_64006, APOSJ_64005, APOSJ_07876, APOSJ_64004, APOSJ_48618, APOSJ_48619, APOSJ_48616, APOSJ_16280, APOSJ_48620, APOSJ_48621, APOSJ_30953
OG0000020	AMPFI_01847	APOSJ_38031
OG0000020	AMPFI_07852	APOSJ_03215
OG0000020	AMPFI_19334	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	AMPFI_20737	APOSJ_44342, APOSJ_44340, APOSJ_44341
OG0000020	AMPFI_23773	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	AMPFI_07932	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	AMPFI_12343	APOSJ_51246, APOSJ_35639
OG0000020	AMPFI_25813	APOSJ_08125, APOSJ_51104
OG0000020	AMPFI_21494	APOSJ_16758
OG0000020	AMPFI_06129	APOSJ_38030, APOSJ_38032
OG0000020	AMPFI_07388	APOSJ_64610, APOSJ_31490
OG0000020	AMPFI_13969	APOSJ_45120
OG0000021	AMPFI_23043, AMPFI_10198	APOSJ_50915
OG0000021	AMPFI_04441	APOSJ_16738, APOSJ_16737, APOSJ_16740, APOSJ_16736
OG0000021	AMPFI_24454	APOSJ_16640, APOSJ_16638
OG0000021	AMPFI_16391	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284
OG0000021	AMPFI_19616, AMPFI_08794, AMPFI_23196	APOSJ_00001
OG0000021	AMPFI_19941	APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	AMPFI_05477	APOSJ_12541
OG0000023	AMPFI_12912	APOSJ_58633
OG0000023	AMPFI_20581	APOSJ_48375, APOSJ_27694, APOSJ_27692
OG0000023	AMPFI_14885	APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674
OG0000023	AMPFI_23006	APOSJ_01239
OG0000023	AMPFI_08877, AMPFI_08668	APOSJ_05915, APOSJ_05916
OG0000023	AMPFI_05765, AMPFI_01138, AMPFI_10312	APOSJ_01093, APOSJ_01092, APOSJ_01091
OG0000023	AMPFI_05031	APOSJ_42179
OG0000024	AMPFI_01930, AMPFI_21703	APOSJ_55810
OG0000024	AMPFI_25509	APOSJ_12803
OG0000024	AMPFI_20328, AMPFI_11488, AMPFI_14597, AMPFI_06959, AMPFI_07236, AMPFI_06755, AMPFI_03338, AMPFI_12963, AMPFI_15605, AMPFI_06015, AMPFI_05885, AMPFI_01680, AMPFI_19467, AMPFI_08281, AMPFI_06875, AMPFI_14904, AMPFI_08222	APOSJ_61540, APOSJ_61541, APOSJ_41584
OG0000024	AMPFI_10693	APOSJ_02508, APOSJ_02509
OG0000024	AMPFI_13114	APOSJ_64694, APOSJ_36208, APOSJ_60045, APOSJ_60046, APOSJ_60043, APOSJ_60042, APOSJ_60044, APOSJ_60041
OG0000024	AMPFI_24998	APOSJ_50597, APOSJ_50596
OG0000024	AMPFI_12131	APOSJ_44116, APOSJ_44115, APOSJ_38982, APOSJ_48566
OG0000024	AMPFI_19893	APOSJ_03380, APOSJ_03379
OG0000024	AMPFI_06754, AMPFI_02116	APOSJ_11904
OG0000024	AMPFI_11381, AMPFI_02352, AMPFI_22670, AMPFI_08428, AMPFI_09931, AMPFI_03114, AMPFI_10533, AMPFI_24308, AMPFI_17116	APOSJ_22298
OG0000024	AMPFI_17497, AMPFI_13212, AMPFI_23039	APOSJ_42203
OG0000024	AMPFI_02301	APOSJ_62780
OG0000024	AMPFI_18926, AMPFI_10659, AMPFI_09830	APOSJ_61037, APOSJ_54994
OG0000024	AMPFI_12622, AMPFI_08274, AMPFI_13320	APOSJ_00017, APOSJ_53177, APOSJ_53178, APOSJ_04339, APOSJ_61804
OG0000024	AMPFI_18394	APOSJ_31223
OG0000024	AMPFI_01428	APOSJ_29329
OG0000024	AMPFI_24702, AMPFI_24934, AMPFI_10763, AMPFI_23064, AMPFI_16191, AMPFI_11358, AMPFI_15816, AMPFI_08187, AMPFI_00910, AMPFI_05089, AMPFI_22388, AMPFI_12431, AMPFI_12438, AMPFI_03520, AMPFI_24082, AMPFI_14110, AMPFI_07368, AMPFI_00973, AMPFI_07770, AMPFI_22507, AMPFI_01046, AMPFI_13085, AMPFI_15762, AMPFI_01069, AMPFI_22054	APOSJ_60754
OG0000025	AMPFI_11202	APOSJ_62497
OG0000025	AMPFI_02396, AMPFI_25559	APOSJ_37446
OG0000025	AMPFI_14786	APOSJ_52769, APOSJ_59374
OG0000025	AMPFI_18559	APOSJ_00453
OG0000025	AMPFI_02471, AMPFI_23714, AMPFI_19965, AMPFI_22886, AMPFI_01749	APOSJ_36461, APOSJ_25081, APOSJ_35501, APOSJ_50150, APOSJ_50148, APOSJ_22934, APOSJ_22936, APOSJ_22935, APOSJ_62923
OG0000025	AMPFI_20213, AMPFI_20597, AMPFI_02104, AMPFI_17203, AMPFI_19993	APOSJ_51354, APOSJ_30130, APOSJ_36422, APOSJ_24265, APOSJ_24263, APOSJ_24261, APOSJ_62496
OG0000025	AMPFI_26068	APOSJ_36900, APOSJ_46981, APOSJ_46982
OG0000025	AMPFI_14460, AMPFI_00775, AMPFI_15832	APOSJ_60332, APOSJ_29178
OG0000025	AMPFI_13916, AMPFI_08944, AMPFI_10285, AMPFI_14793, AMPFI_16797, AMPFI_18161, AMPFI_05200, AMPFI_07652, AMPFI_13290, AMPFI_19524, AMPFI_20440, AMPFI_23451, AMPFI_18570, AMPFI_06556, AMPFI_26017, AMPFI_00622, AMPFI_04387	APOSJ_21544, APOSJ_21546, APOSJ_21547, APOSJ_05694, APOSJ_39166, APOSJ_21545, APOSJ_21543
OG0000025	AMPFI_23676, AMPFI_15176, AMPFI_09409, AMPFI_16846, AMPFI_09357, AMPFI_15300, AMPFI_10444, AMPFI_09920, AMPFI_09073	APOSJ_02655, APOSJ_02652
OG0000025	AMPFI_04900, AMPFI_07607, AMPFI_18572, AMPFI_12331, AMPFI_12110, AMPFI_04240	APOSJ_06201
OG0000025	AMPFI_12673	APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771
OG0000026	AMPFI_12171	APOSJ_59563
OG0000026	AMPFI_24667	APOSJ_39679, APOSJ_39682
OG0000026	AMPFI_01077, AMPFI_16904	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000026	AMPFI_12169, AMPFI_25654, AMPFI_23954, AMPFI_09282	APOSJ_58273, APOSJ_64303
OG0000026	AMPFI_17661	APOSJ_20027
OG0000026	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	APOSJ_00259, APOSJ_43475
OG0000027	AMPFI_15327	APOSJ_23299, APOSJ_23300
OG0000027	AMPFI_23434	APOSJ_44006, APOSJ_46288, APOSJ_53652, APOSJ_41604, APOSJ_51651, APOSJ_51649, APOSJ_51653, APOSJ_19117, APOSJ_19116, APOSJ_41617, APOSJ_64839, APOSJ_09102, APOSJ_31251, APOSJ_15397, APOSJ_53968, APOSJ_63686, APOSJ_42018, APOSJ_42017
OG0000027	AMPFI_03819	APOSJ_61281, APOSJ_17811, APOSJ_17810, APOSJ_62251, APOSJ_62252, APOSJ_62253, APOSJ_62250, APOSJ_61176, APOSJ_57015, APOSJ_57014
OG0000028	AMPFI_15765	APOSJ_39269
OG0000028	AMPFI_04239	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820
OG0000028	AMPFI_04248	APOSJ_13110
OG0000028	AMPFI_21505	APOSJ_00353
OG0000029	AMPFI_10300	APOSJ_26876, APOSJ_26877
OG0000029	AMPFI_01562, AMPFI_19753	APOSJ_64430
OG0000029	AMPFI_05500	APOSJ_13377
OG0000029	AMPFI_18884	APOSJ_45558
