Orthogroup	AMPFI_ok	MOUSE
OG0000031	AMPFI_10833	MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	AMPFI_02985	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000031	AMPFI_03768	MOUSE13008
OG0000032	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	AMPFI_03594	MOUSE29123
OG0000032	AMPFI_03370	MOUSE23164
OG0000034	AMPFI_19171	MOUSE23593
OG0000034	AMPFI_04753	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	AMPFI_00398	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000035	AMPFI_17275	MOUSE02570, MOUSE02571
OG0000035	AMPFI_20705	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	AMPFI_13261	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	AMPFI_12878	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	AMPFI_11303	MOUSE27104
OG0000035	AMPFI_24961	MOUSE41551
OG0000036	AMPFI_11948	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	AMPFI_06932	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	AMPFI_14775, AMPFI_19912	MOUSE29724, MOUSE29725
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000036	AMPFI_18710	MOUSE49438
OG0000037	AMPFI_11581	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306
OG0000037	AMPFI_25668	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000039	AMPFI_15658	MOUSE32704
OG0000039	AMPFI_14066	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868
OG0000039	AMPFI_17373	MOUSE23387
OG0000040	AMPFI_24657	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
OG0000040	AMPFI_02741	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000042	AMPFI_03947, AMPFI_21934	MOUSE51171
OG0000044	AMPFI_13059	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	AMPFI_10491	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809
OG0000044	AMPFI_12455	MOUSE38798
OG0000046	AMPFI_02275, AMPFI_17068	MOUSE48114, MOUSE48113
OG0000046	AMPFI_00292	MOUSE32874
OG0000048	AMPFI_22758	MOUSE42201, MOUSE42202
OG0000048	AMPFI_10591, AMPFI_13556	MOUSE06701
OG0000048	AMPFI_20083, AMPFI_23857, AMPFI_18512	MOUSE42203
OG0000048	AMPFI_08767	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	AMPFI_18737	MOUSE39156
OG0000051	AMPFI_25569	MOUSE40003
OG0000051	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	AMPFI_10274	MOUSE48109
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534
OG0000056	AMPFI_10015	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000057	AMPFI_01580, AMPFI_02256	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	MOUSE55281, MOUSE55280
OG0000058	AMPFI_18481	MOUSE21857, MOUSE21254
OG0000058	AMPFI_03991	MOUSE40446, MOUSE40445
OG0000058	AMPFI_22601	MOUSE16601
OG0000060	AMPFI_23758	MOUSE52080, MOUSE52079
OG0000060	AMPFI_20631	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943
OG0000062	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	AMPFI_05434	MOUSE52081
OG0000063	AMPFI_21664	MOUSE10885, MOUSE10881
OG0000063	AMPFI_25718, AMPFI_20407, AMPFI_07613	MOUSE33697
OG0000066	AMPFI_09400	MOUSE53763
OG0000067	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999	MOUSE19580, MOUSE31455
OG0000068	AMPFI_04870	MOUSE54270, MOUSE52919, MOUSE52920, MOUSE52921, MOUSE14430, MOUSE41087, MOUSE41088, MOUSE02009
OG0000068	AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888	MOUSE02010
OG0000069	AMPFI_08415	MOUSE30824
OG0000069	AMPFI_07519	MOUSE24596
OG0000069	AMPFI_12140, AMPFI_20704, AMPFI_07178	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000072	AMPFI_26076	MOUSE30088, MOUSE45691
OG0000072	AMPFI_21820	MOUSE29660
OG0000073	AMPFI_17720, AMPFI_09678	MOUSE18062
OG0000073	AMPFI_10119	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	MOUSE01754, MOUSE40707
OG0000074	AMPFI_19576	MOUSE27442, MOUSE27441
OG0000074	AMPFI_19564	MOUSE43700
OG0000074	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296	MOUSE43699, MOUSE19006
OG0000075	AMPFI_17345, AMPFI_17344	MOUSE05779, MOUSE03707
OG0000075	AMPFI_12462	MOUSE22546
OG0000075	AMPFI_03839	MOUSE14633
OG0000075	AMPFI_10510	MOUSE34423
OG0000075	AMPFI_15829	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630
OG0000075	AMPFI_15139	MOUSE31075, MOUSE39073
OG0000075	AMPFI_15917	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000075	AMPFI_17574	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109
OG0000078	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	AMPFI_09380	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419
OG0000079	AMPFI_24805	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	AMPFI_06359, AMPFI_07521	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453
OG0000082	AMPFI_21007	MOUSE25920
OG0000082	AMPFI_06890	MOUSE19184
OG0000085	AMPFI_20771	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	AMPFI_25543	MOUSE54745
OG0000085	AMPFI_09379	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	AMPFI_25819	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	AMPFI_04349	MOUSE16592, MOUSE16590
OG0000087	AMPFI_24870	MOUSE24630
OG0000087	AMPFI_08050	MOUSE04046
OG0000087	AMPFI_01947	MOUSE24629, MOUSE24631
OG0000087	AMPFI_07196	MOUSE11362
OG0000087	AMPFI_09489, AMPFI_05588, AMPFI_13769	MOUSE22119, MOUSE22054, MOUSE22052
OG0000087	AMPFI_08649	MOUSE11213
OG0000087	AMPFI_11171	MOUSE46080, MOUSE46081
OG0000087	AMPFI_18536, AMPFI_19662, AMPFI_19663	MOUSE46082
OG0000088	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530
OG0000089	AMPFI_21827	MOUSE16032
OG0000089	AMPFI_22710, AMPFI_16100, AMPFI_10395, AMPFI_03220, AMPFI_22774, AMPFI_22571, AMPFI_24059, AMPFI_03609, AMPFI_00096	MOUSE55271
OG0000090	AMPFI_21032	MOUSE17968
OG0000091	AMPFI_04685, AMPFI_24623, AMPFI_10622	MOUSE19668, MOUSE19669
OG0000094	AMPFI_02587	MOUSE53507, MOUSE53505, MOUSE11261
OG0000094	AMPFI_02648	MOUSE53509, MOUSE53510
OG0000094	AMPFI_18905, AMPFI_06525	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850
OG0000096	AMPFI_12180	MOUSE54033, MOUSE13094, MOUSE29900
OG0000096	AMPFI_22693	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	AMPFI_24766	MOUSE35516
OG0000096	AMPFI_09837	MOUSE19103, MOUSE30286, MOUSE30282
OG0000096	AMPFI_11230	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996
OG0000096	AMPFI_25309	MOUSE52337, MOUSE52338
OG0000098	AMPFI_13259, AMPFI_24967	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240
OG0000098	AMPFI_07962, AMPFI_03629	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729
OG0000101	AMPFI_17596, AMPFI_21293	MOUSE49370, MOUSE49670
OG0000101	AMPFI_22964	MOUSE02576, MOUSE49671
OG0000101	AMPFI_14310, AMPFI_02729	MOUSE15611, MOUSE15612
OG0000101	AMPFI_08160	MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355
OG0000102	AMPFI_04172, AMPFI_16803	MOUSE08156, MOUSE08155, MOUSE24799, MOUSE24798
OG0000103	AMPFI_21097	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000104	AMPFI_14148	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436
OG0000104	AMPFI_11040	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642
OG0000104	AMPFI_02710	MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576
OG0000104	AMPFI_20370	MOUSE16174
OG0000104	AMPFI_08614	MOUSE23464, MOUSE23465, MOUSE23463, MOUSE01968, MOUSE01967, MOUSE01969, MOUSE53764
OG0000106	AMPFI_02407, AMPFI_14321	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355
OG0000106	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788
OG0000107	AMPFI_13094	MOUSE41813
OG0000108	AMPFI_14479, AMPFI_07737	MOUSE50933
OG0000108	AMPFI_15531	MOUSE15530, MOUSE15531, MOUSE12588, MOUSE50934, MOUSE50931, MOUSE50935, MOUSE50932
OG0000108	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071	MOUSE05737, MOUSE25036, MOUSE14651, MOUSE23310
OG0000109	AMPFI_01861, AMPFI_17889, AMPFI_14928, AMPFI_17985	MOUSE33717
OG0000113	AMPFI_03282	MOUSE33596, MOUSE33595
OG0000114	AMPFI_10608, AMPFI_15203	MOUSE33748, MOUSE33747, MOUSE33749, MOUSE33750
OG0000114	AMPFI_03529	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888
OG0000114	AMPFI_01965, AMPFI_00254	MOUSE04136
OG0000116	AMPFI_12986	MOUSE27994
OG0000117	AMPFI_04775, AMPFI_00066	MOUSE02430
OG0000117	AMPFI_05731, AMPFI_15869, AMPFI_04658	MOUSE27159, MOUSE27158, MOUSE26358
OG0000117	AMPFI_16640	MOUSE17523, MOUSE17524
OG0000117	AMPFI_07374, AMPFI_07375, AMPFI_10042, AMPFI_04796, AMPFI_21047, AMPFI_17321, AMPFI_18095, AMPFI_04466	MOUSE26103, MOUSE26102
OG0000119	AMPFI_25431	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167
OG0000119	AMPFI_07345, AMPFI_07307	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713
OG0000119	AMPFI_24152	MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194
OG0000120	AMPFI_15831	MOUSE43385, MOUSE32832, MOUSE32833
OG0000121	AMPFI_02289, AMPFI_15541	MOUSE31533
OG0000121	AMPFI_04429	MOUSE01294
OG0000121	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340	MOUSE22218, MOUSE22217
OG0000122	AMPFI_13850, AMPFI_04566, AMPFI_20620	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654
