Orthogroup	AMPFI_ok	SCHMD
OG0000043	AMPFI_07177, AMPFI_13817	SCHMD11455
OG0000043	AMPFI_04816	SCHMD29206, SCHMD09758
OG0000044	AMPFI_22687, AMPFI_10992, AMPFI_03970	SCHMD00319
OG0000044	AMPFI_03703, AMPFI_04838	SCHMD06706
OG0000044	AMPFI_22026, AMPFI_08823, AMPFI_04139	SCHMD06550
OG0000044	AMPFI_21628, AMPFI_17647	SCHMD21748
OG0000046	AMPFI_19034	SCHMD07994
OG0000048	AMPFI_17027, AMPFI_21987, AMPFI_06139	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000048	AMPFI_20083, AMPFI_23857, AMPFI_18512	SCHMD19708, SCHMD13779
OG0000051	AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000057	AMPFI_23737	SCHMD08094
OG0000058	AMPFI_18481	SCHMD04270
OG0000058	AMPFI_13098	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000059	AMPFI_17417, AMPFI_04404, AMPFI_21031, AMPFI_04726, AMPFI_09318	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210
OG0000059	AMPFI_10609	SCHMD05186, SCHMD20166
OG0000060	AMPFI_19643	SCHMD17528
OG0000060	AMPFI_25991, AMPFI_02716	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061
OG0000060	AMPFI_19058	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000062	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193, AMPFI_05434	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	AMPFI_19149, AMPFI_21664	SCHMD09653
OG0000063	AMPFI_03875	SCHMD16488
OG0000063	AMPFI_25718, AMPFI_20407, AMPFI_07613	SCHMD24452
OG0000066	AMPFI_16063	SCHMD02363
OG0000066	AMPFI_02908	SCHMD06601
OG0000066	AMPFI_09400	SCHMD06030
OG0000066	AMPFI_25704, AMPFI_24273	SCHMD01829, SCHMD17583, SCHMD06603, SCHMD09194
OG0000068	AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166	SCHMD05762, SCHMD05760, SCHMD05763
OG0000072	AMPFI_03803	SCHMD19677, SCHMD17046, SCHMD17002
OG0000072	AMPFI_19767, AMPFI_21803	SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751
OG0000073	AMPFI_09678	SCHMD07291, SCHMD22957
OG0000073	AMPFI_14948	SCHMD07917, SCHMD02585, SCHMD02588
OG0000075	AMPFI_15139	SCHMD03704
OG0000075	AMPFI_15917	SCHMD21424
OG0000077	AMPFI_08518	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000078	AMPFI_00030	SCHMD04824, SCHMD04525
OG0000079	AMPFI_09380	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	AMPFI_06359, AMPFI_07521	SCHMD06941, SCHMD04736
OG0000080	AMPFI_13421, AMPFI_11000, AMPFI_10999, AMPFI_01449, AMPFI_21570, AMPFI_20970, AMPFI_01296, AMPFI_18772, AMPFI_23056, AMPFI_01218, AMPFI_21483, AMPFI_06835, AMPFI_17142, AMPFI_20172, AMPFI_21408, AMPFI_04795, AMPFI_00475, AMPFI_09001, AMPFI_04897, AMPFI_22599, AMPFI_23079	SCHMD10387, SCHMD06434
OG0000082	AMPFI_21007	SCHMD03263, SCHMD10119
OG0000082	AMPFI_13856	SCHMD23210
OG0000083	AMPFI_25070, AMPFI_02950, AMPFI_03183, AMPFI_17026, AMPFI_02353, AMPFI_06007, AMPFI_06006, AMPFI_09389, AMPFI_12969, AMPFI_20938, AMPFI_06531, AMPFI_19967, AMPFI_19634, AMPFI_12970, AMPFI_07180, AMPFI_16886, AMPFI_05215, AMPFI_19858, AMPFI_09445, AMPFI_16696, AMPFI_22106, AMPFI_21518, AMPFI_02555, AMPFI_04299, AMPFI_21565, AMPFI_18422, AMPFI_09390, AMPFI_04259, AMPFI_17422, AMPFI_12422, AMPFI_18573	SCHMD16633
OG0000085	AMPFI_25543	SCHMD12837
OG0000085	AMPFI_09379	SCHMD12836
OG0000085	AMPFI_25819	SCHMD12466
OG0000087	AMPFI_20352	SCHMD09399
OG0000087	AMPFI_24870	SCHMD03794
OG0000087	AMPFI_08050	SCHMD09408
OG0000087	AMPFI_01947	SCHMD25358
OG0000087	AMPFI_09489	SCHMD03393
OG0000087	AMPFI_05588	SCHMD23919
OG0000087	AMPFI_13389	SCHMD21804, SCHMD25814
OG0000087	AMPFI_18536	SCHMD25289
OG0000087	AMPFI_19662, AMPFI_19663	SCHMD17003, SCHMD07336
OG0000090	AMPFI_21032	SCHMD10805, SCHMD21388
OG0000090	AMPFI_03458	SCHMD15560
OG0000090	AMPFI_02125	SCHMD17599, SCHMD20160
OG0000093	AMPFI_21887	SCHMD04238
OG0000093	AMPFI_20385	SCHMD14744, SCHMD00352, SCHMD04239
OG0000093	AMPFI_22503	SCHMD02917
OG0000094	AMPFI_02587	SCHMD23746
OG0000094	AMPFI_25694	SCHMD18376, SCHMD14753
OG0000094	AMPFI_02648	SCHMD26804, SCHMD21133, SCHMD07079
OG0000094	AMPFI_06525	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	AMPFI_12414, AMPFI_21103	SCHMD21858
OG0000096	AMPFI_22693	SCHMD07753
OG0000096	AMPFI_25309	SCHMD10033
OG0000097	AMPFI_06245, AMPFI_18511	SCHMD22037, SCHMD20326
OG0000098	AMPFI_18294, AMPFI_22016	SCHMD20591, SCHMD11947, SCHMD19086, SCHMD11199, SCHMD08311, SCHMD06391, SCHMD10501, SCHMD12931, SCHMD12930, SCHMD10500, SCHMD12324, SCHMD12327, SCHMD15356, SCHMD11201, SCHMD17663, SCHMD28032, SCHMD08310
OG0000098	AMPFI_07962, AMPFI_03629	SCHMD29644, SCHMD22119
OG0000098	AMPFI_10843	SCHMD06392, SCHMD12932, SCHMD10502
OG0000101	AMPFI_22686, AMPFI_04246	SCHMD06502, SCHMD06505, SCHMD06506
OG0000102	AMPFI_17450, AMPFI_01439	SCHMD29532
OG0000103	AMPFI_21097	SCHMD08147
OG0000106	AMPFI_02407, AMPFI_14321, AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	AMPFI_18622, AMPFI_10052	SCHMD11887
OG0000113	AMPFI_03282	SCHMD06629, SCHMD02664
OG0000114	AMPFI_10608, AMPFI_15203	SCHMD19276
OG0000114	AMPFI_03529	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000114	AMPFI_01965, AMPFI_00254	SCHMD28859
OG0000116	AMPFI_10925	SCHMD19106
OG0000116	AMPFI_03353	SCHMD19105
OG0000117	AMPFI_18184	SCHMD02895
OG0000117	AMPFI_02142	SCHMD02591
OG0000117	AMPFI_21139, AMPFI_03902	SCHMD11493
OG0000117	AMPFI_16311	SCHMD14102
OG0000119	AMPFI_25431, AMPFI_07345, AMPFI_07307, AMPFI_24152	SCHMD02911
OG0000119	AMPFI_09636, AMPFI_09635	SCHMD07212
OG0000120	AMPFI_15831	SCHMD07084
OG0000120	AMPFI_16828, AMPFI_02660, AMPFI_04611	SCHMD23689, SCHMD27697, SCHMD28733, SCHMD27017, SCHMD27126, SCHMD26530, SCHMD23012, SCHMD27124, SCHMD23690, SCHMD27316, SCHMD27128, SCHMD24437, SCHMD28934, SCHMD26823, SCHMD27125, SCHMD24781, SCHMD24780, SCHMD27988
OG0000120	AMPFI_01268	SCHMD11870
OG0000121	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340	SCHMD07020
OG0000122	AMPFI_09948	SCHMD16641, SCHMD09849
OG0000123	AMPFI_11014	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000124	AMPFI_24111, AMPFI_07499, AMPFI_07500	SCHMD10270, SCHMD10271
OG0000124	AMPFI_02885	SCHMD08774
OG0000126	AMPFI_13551	SCHMD24144
OG0000126	AMPFI_19122	SCHMD06494
OG0000126	AMPFI_06519	SCHMD01813, SCHMD04253
OG0000127	AMPFI_11705	SCHMD03781
OG0000128	AMPFI_23687, AMPFI_01859, AMPFI_00795, AMPFI_13540, AMPFI_16784	SCHMD25789, SCHMD19594
OG0000128	AMPFI_04850	SCHMD29825
OG0000129	AMPFI_25119	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	AMPFI_15379	SCHMD05405
OG0000129	AMPFI_05870	SCHMD03224
OG0000130	AMPFI_19706	SCHMD02824, SCHMD13205
OG0000130	AMPFI_19363	SCHMD17609
OG0000132	AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	AMPFI_12246	SCHMD09558
OG0000137	AMPFI_14905, AMPFI_17220, AMPFI_19842, AMPFI_12126	SCHMD29744
OG0000139	AMPFI_23602, AMPFI_03549	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000142	AMPFI_12268	SCHMD14394
OG0000142	AMPFI_25838	SCHMD01440, SCHMD00718
OG0000142	AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000147	AMPFI_24113	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025
OG0000147	AMPFI_00036	SCHMD11968
OG0000148	AMPFI_06814	SCHMD08056
OG0000148	AMPFI_00060	SCHMD08055
OG0000149	AMPFI_11805	SCHMD06205, SCHMD05440
OG0000151	AMPFI_07369, AMPFI_13120, AMPFI_05320	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000153	AMPFI_24594, AMPFI_03572	SCHMD18559
OG0000155	AMPFI_11674	SCHMD13125
OG0000157	AMPFI_07870	SCHMD03548, SCHMD06363
OG0000159	AMPFI_14640	SCHMD26601, SCHMD09606
OG0000159	AMPFI_14271, AMPFI_09235, AMPFI_13474, AMPFI_11148	SCHMD14942
OG0000160	AMPFI_04603	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000162	AMPFI_02629	SCHMD01637
OG0000163	AMPFI_08892, AMPFI_22798, AMPFI_03655, AMPFI_02815, AMPFI_05576, AMPFI_01484	SCHMD23090
OG0000163	AMPFI_15100	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	AMPFI_20566	SCHMD15704, SCHMD08401
OG0000166	AMPFI_14589	SCHMD28623, SCHMD22442
OG0000167	AMPFI_21928	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000168	AMPFI_22221	SCHMD19556
OG0000168	AMPFI_17991	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401
OG0000169	AMPFI_19002, AMPFI_21738, AMPFI_24339, AMPFI_04219, AMPFI_20809, AMPFI_17546	SCHMD00386
OG0000171	AMPFI_21332	SCHMD26790, SCHMD13950, SCHMD07239
OG0000173	AMPFI_24760	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000174	AMPFI_25103	SCHMD09838
OG0000174	AMPFI_14045, AMPFI_12675	SCHMD08354, SCHMD22729
OG0000175	AMPFI_12806, AMPFI_01453	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	AMPFI_04963, AMPFI_13786	SCHMD18439, SCHMD17544
OG0000179	AMPFI_12504	SCHMD11075
OG0000179	AMPFI_16964	SCHMD01320
OG0000179	AMPFI_11913	SCHMD00307
OG0000180	AMPFI_03804	SCHMD20813
OG0000180	AMPFI_15615	SCHMD26243
OG0000181	AMPFI_08987, AMPFI_15077, AMPFI_13877	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	AMPFI_16526	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000182	AMPFI_15057	SCHMD06161
OG0000182	AMPFI_21714	SCHMD24741
OG0000182	AMPFI_18814, AMPFI_16704	SCHMD07603
OG0000183	AMPFI_14083	SCHMD21103, SCHMD28756
OG0000183	AMPFI_23760, AMPFI_03468	SCHMD12130, SCHMD10333
OG0000186	AMPFI_18026	SCHMD11605
OG0000186	AMPFI_23623	SCHMD01519, SCHMD14176, SCHMD06313, SCHMD24594
OG0000188	AMPFI_01200, AMPFI_17264	SCHMD07283
OG0000191	AMPFI_16167	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922
OG0000192	AMPFI_10868, AMPFI_23753	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000192	AMPFI_19784	SCHMD03934
OG0000194	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028	SCHMD11912, SCHMD12565
OG0000195	AMPFI_05326	SCHMD06851
OG0000195	AMPFI_12345, AMPFI_10206, AMPFI_05107	SCHMD06771
OG0000197	AMPFI_14260	SCHMD10696, SCHMD17861, SCHMD23209
OG0000198	AMPFI_22960	SCHMD19721, SCHMD14674, SCHMD25939
OG0000201	AMPFI_03122, AMPFI_19654	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	AMPFI_01733	SCHMD10520
OG0000204	AMPFI_16667	SCHMD05946, SCHMD11236, SCHMD20783
OG0000204	AMPFI_18110	SCHMD19671, SCHMD20793, SCHMD11234
OG0000204	AMPFI_19770	SCHMD00861
OG0000207	AMPFI_08635, AMPFI_15520	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	AMPFI_04187	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998
OG0000209	AMPFI_01240	SCHMD02092
OG0000210	AMPFI_16256, AMPFI_10745, AMPFI_24350, AMPFI_08289, AMPFI_11493	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	AMPFI_22972	SCHMD26754
OG0000210	AMPFI_21005	SCHMD24015
OG0000211	AMPFI_21968	SCHMD10115
OG0000214	AMPFI_13170	SCHMD24110, SCHMD27341
OG0000215	AMPFI_03565	SCHMD15383
OG0000215	AMPFI_23213	SCHMD27729, SCHMD15945
OG0000218	AMPFI_08238, AMPFI_04727, AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956	SCHMD01527
OG0000220	AMPFI_09063, AMPFI_16751, AMPFI_20109, AMPFI_11272	SCHMD07645
OG0000221	AMPFI_07550, AMPFI_18146, AMPFI_19059	SCHMD10720
OG0000222	AMPFI_16387, AMPFI_05918, AMPFI_03073	SCHMD11897, SCHMD07455, SCHMD07456, SCHMD08503, SCHMD08501, SCHMD21613, SCHMD21612, SCHMD08502
OG0000223	AMPFI_12761	SCHMD02890, SCHMD03920
OG0000223	AMPFI_09693	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493
OG0000225	AMPFI_24201, AMPFI_00311	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000226	AMPFI_16446	SCHMD28582
OG0000226	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354	SCHMD28293
OG0000227	AMPFI_16595	SCHMD05742, SCHMD06927
OG0000227	AMPFI_23018	SCHMD05353
OG0000227	AMPFI_07507	SCHMD04380
OG0000230	AMPFI_09954	SCHMD23835, SCHMD14315
OG0000230	AMPFI_12942, AMPFI_01408, AMPFI_23078, AMPFI_19504	SCHMD27521, SCHMD14316
OG0000231	AMPFI_03284	SCHMD23026
OG0000231	AMPFI_01759	SCHMD24769, SCHMD25604
OG0000232	AMPFI_12303	SCHMD14178, SCHMD02027
OG0000233	AMPFI_06911	SCHMD01146, SCHMD07435, SCHMD22145
OG0000236	AMPFI_19570	SCHMD00730
OG0000239	AMPFI_07816	SCHMD18522
OG0000239	AMPFI_07246, AMPFI_08248	SCHMD03432
OG0000239	AMPFI_20472	SCHMD06547
OG0000240	AMPFI_05219, AMPFI_05218	SCHMD06226, SCHMD00582
OG0000241	AMPFI_20927, AMPFI_21075	SCHMD13993
OG0000242	AMPFI_05850	SCHMD20260
OG0000243	AMPFI_02124	SCHMD12372
OG0000243	AMPFI_15285	SCHMD17682, SCHMD15912, SCHMD11668
OG0000246	AMPFI_20200	SCHMD16891, SCHMD17961, SCHMD12289
OG0000246	AMPFI_25049	SCHMD12291, SCHMD13657, SCHMD12290
OG0000248	AMPFI_08134, AMPFI_21352	SCHMD01134, SCHMD07579, SCHMD25860, SCHMD09553, SCHMD07301, SCHMD15578, SCHMD28870, SCHMD28143, SCHMD26766, SCHMD07305, SCHMD23142, SCHMD07304, SCHMD09549, SCHMD06759, SCHMD00071
OG0000250	AMPFI_07242	SCHMD07715, SCHMD11126
OG0000250	AMPFI_16594	SCHMD11127
OG0000250	AMPFI_05967	SCHMD00165
OG0000251	AMPFI_00617	SCHMD06065, SCHMD13275, SCHMD14691
OG0000254	AMPFI_22443	SCHMD11206
OG0000255	AMPFI_21142	SCHMD14618, SCHMD25034
OG0000256	AMPFI_08473	SCHMD06220
OG0000257	AMPFI_01061	SCHMD15360
OG0000258	AMPFI_21660	SCHMD00959
OG0000260	AMPFI_00537	SCHMD09054, SCHMD09053
OG0000260	AMPFI_17984, AMPFI_01564, AMPFI_24181, AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181, AMPFI_19738, AMPFI_03062	SCHMD00231
