Orthogroup	AMPFI_ok	ASTMX
OG0000007	AMPFI_07094	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	AMPFI_15871	ASTMX20070
OG0000007	AMPFI_26059	ASTMX18062, ASTMX21262
OG0000007	AMPFI_15806	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	AMPFI_22204	ASTMX04966, ASTMX11650
OG0000007	AMPFI_08786	ASTMX18779, ASTMX07711
OG0000007	AMPFI_21281	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	AMPFI_23280	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	AMPFI_03619	ASTMX21956, ASTMX05481
OG0000008	AMPFI_18464	ASTMX13345, ASTMX11364
OG0000008	AMPFI_13893	ASTMX13129
OG0000010	AMPFI_14170	ASTMX18922, ASTMX18921, ASTMX15088, ASTMX10678, ASTMX08865, ASTMX08864, ASTMX01945, ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981
OG0000010	AMPFI_04353	ASTMX21265
OG0000011	AMPFI_20825	ASTMX02959
OG0000011	AMPFI_09904, AMPFI_16294	ASTMX22966, ASTMX22692
OG0000011	AMPFI_10527	ASTMX07900
OG0000011	AMPFI_20107	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000011	AMPFI_19772, AMPFI_15721, AMPFI_18664, AMPFI_20201, AMPFI_15511	ASTMX20794
OG0000011	AMPFI_19936	ASTMX21233
OG0000011	AMPFI_10672	ASTMX01926
OG0000011	AMPFI_12525, AMPFI_04893	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	AMPFI_09690	ASTMX22970
OG0000012	AMPFI_05035, AMPFI_18913	ASTMX22063, ASTMX16492
OG0000013	AMPFI_13640	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	AMPFI_05504, AMPFI_16319	ASTMX02678, ASTMX08608, ASTMX07233, ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557, ASTMX03213, ASTMX07656, ASTMX01801
OG0000014	AMPFI_18330	ASTMX03251, ASTMX15832
OG0000014	AMPFI_16339	ASTMX12908, ASTMX11632
OG0000015	AMPFI_23995	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	AMPFI_14639	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939	ASTMX00540
OG0000016	AMPFI_06248	ASTMX02874
OG0000016	AMPFI_18220	ASTMX17395
OG0000018	AMPFI_22035	ASTMX23058
OG0000018	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463, AMPFI_12214, AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	AMPFI_01264, AMPFI_06523	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	AMPFI_07852	ASTMX04834
OG0000020	AMPFI_03773	ASTMX22432
OG0000020	AMPFI_19334	ASTMX12285
OG0000020	AMPFI_23773	ASTMX15062
OG0000020	AMPFI_11019	ASTMX14060
OG0000020	AMPFI_06907	ASTMX00490, ASTMX12696
OG0000020	AMPFI_24792	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689
OG0000020	AMPFI_07932	ASTMX17320
OG0000020	AMPFI_12343	ASTMX04750, ASTMX21042
OG0000020	AMPFI_25813	ASTMX05243
OG0000020	AMPFI_21494	ASTMX04710
OG0000020	AMPFI_07388	ASTMX07754
OG0000020	AMPFI_13969	ASTMX13875
OG0000021	AMPFI_08825	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	ASTMX21461, ASTMX05545
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	ASTMX13864
OG0000023	AMPFI_05477	ASTMX18896
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000024	AMPFI_20328, AMPFI_11488, AMPFI_14597, AMPFI_06959, AMPFI_07236, AMPFI_06755, AMPFI_03338, AMPFI_12963, AMPFI_15605, AMPFI_06015, AMPFI_05885, AMPFI_01680, AMPFI_19467, AMPFI_08281, AMPFI_06875, AMPFI_14904, AMPFI_08222, AMPFI_10693, AMPFI_13114, AMPFI_24998, AMPFI_12201, AMPFI_14926, AMPFI_12067, AMPFI_16824, AMPFI_25046	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426
OG0000024	AMPFI_11822, AMPFI_24855, AMPFI_01019, AMPFI_14888, AMPFI_01380, AMPFI_07327, AMPFI_03050, AMPFI_12003, AMPFI_04946	ASTMX21974
OG0000026	AMPFI_08394, AMPFI_03099, AMPFI_18185, AMPFI_25697, AMPFI_04674, AMPFI_24667, AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391	ASTMX06810
OG0000026	AMPFI_01077, AMPFI_16904	ASTMX12978
OG0000028	AMPFI_19162	ASTMX01628, ASTMX11626, ASTMX11297, ASTMX12202, ASTMX18482, ASTMX18778
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000030	AMPFI_02183	ASTMX06934
OG0000030	AMPFI_03176	ASTMX13784, ASTMX06816, ASTMX18369
OG0000031	AMPFI_14371, AMPFI_13166	ASTMX05563
OG0000031	AMPFI_13279, AMPFI_01755, AMPFI_10718, AMPFI_14435, AMPFI_16606	ASTMX22504
OG0000031	AMPFI_06256	ASTMX08659, ASTMX04771
OG0000031	AMPFI_14304	ASTMX12572
OG0000031	AMPFI_10484	ASTMX06525
OG0000031	AMPFI_01333	ASTMX09693, ASTMX17541
OG0000031	AMPFI_05075	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	AMPFI_10833	ASTMX00107, ASTMX04176
OG0000031	AMPFI_02985	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000031	AMPFI_03768	ASTMX03166
OG0000032	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	AMPFI_03594	ASTMX06705
OG0000034	AMPFI_04753	ASTMX03519
OG0000034	AMPFI_00398	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000035	AMPFI_17275	ASTMX17732
OG0000035	AMPFI_20705	ASTMX22713, ASTMX21245
OG0000035	AMPFI_13261	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	AMPFI_12878	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	AMPFI_11303	ASTMX15321, ASTMX20966
OG0000036	AMPFI_11948	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	AMPFI_06932	ASTMX19120
OG0000036	AMPFI_14775, AMPFI_19912	ASTMX18312, ASTMX10284
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	ASTMX01338, ASTMX03570
OG0000037	AMPFI_11581	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	AMPFI_25668	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000038	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880	ASTMX05291
OG0000039	AMPFI_15658	ASTMX16971
OG0000039	AMPFI_14066	ASTMX14711
OG0000039	AMPFI_20335, AMPFI_20685, AMPFI_03724	ASTMX10108, ASTMX07819
OG0000040	AMPFI_02741	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000043	AMPFI_04816	ASTMX09533
OG0000044	AMPFI_13059	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	AMPFI_10491	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109
OG0000044	AMPFI_12455	ASTMX06176
OG0000044	AMPFI_03703, AMPFI_04838	ASTMX17555
OG0000044	AMPFI_22026, AMPFI_08823, AMPFI_04139	ASTMX11110
OG0000046	AMPFI_02275, AMPFI_17068	ASTMX22281
OG0000048	AMPFI_06745	ASTMX13714
OG0000048	AMPFI_01185	ASTMX03384
OG0000048	AMPFI_22758	ASTMX15600
OG0000048	AMPFI_10591, AMPFI_13556	ASTMX04570
OG0000048	AMPFI_08767	ASTMX00590
OG0000049	AMPFI_21057	ASTMX20103
OG0000050	AMPFI_09852, AMPFI_09851, AMPFI_22369, AMPFI_19942, AMPFI_15208, AMPFI_23876, AMPFI_19742, AMPFI_12802	ASTMX16561
OG0000051	AMPFI_06837	ASTMX08001
OG0000051	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599	ASTMX02511
OG0000054	AMPFI_10274	ASTMX04679
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	ASTMX05759
OG0000056	AMPFI_10015	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000057	AMPFI_01580, AMPFI_02256	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	ASTMX18685, ASTMX11838
OG0000058	AMPFI_18481	ASTMX10002
OG0000058	AMPFI_03991	ASTMX07660
OG0000060	AMPFI_23758	ASTMX04292, ASTMX07603
OG0000062	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	AMPFI_05434	ASTMX01260
OG0000063	AMPFI_21664	ASTMX11259, ASTMX01032
OG0000063	AMPFI_25718, AMPFI_20407, AMPFI_07613	ASTMX13777
OG0000066	AMPFI_09400	ASTMX01776
OG0000067	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	AMPFI_02504	ASTMX15456
OG0000068	AMPFI_11929	ASTMX20702
OG0000068	AMPFI_04870	ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044
OG0000068	AMPFI_23184	ASTMX03045
OG0000068	AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888	ASTMX22587
OG0000068	AMPFI_12166	ASTMX22308
OG0000072	AMPFI_26076	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	AMPFI_21820	ASTMX11250, ASTMX11618
OG0000073	AMPFI_17720, AMPFI_09678	ASTMX22931
OG0000073	AMPFI_10119	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	AMPFI_19576	ASTMX12476
OG0000074	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296	ASTMX07079, ASTMX08304
OG0000075	AMPFI_17345, AMPFI_17344	ASTMX13833, ASTMX15058
OG0000075	AMPFI_12462	ASTMX17154
OG0000075	AMPFI_03839	ASTMX04760
OG0000075	AMPFI_10510	ASTMX10641, ASTMX00718
OG0000075	AMPFI_15829	ASTMX16716, ASTMX04759
OG0000075	AMPFI_15139	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	AMPFI_15917	ASTMX12953, ASTMX02098
OG0000075	AMPFI_17574	ASTMX07134
OG0000078	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	AMPFI_09380	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	AMPFI_24805	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	AMPFI_06359, AMPFI_07521	ASTMX02943
OG0000080	AMPFI_13421	ASTMX22762
OG0000080	AMPFI_21483, AMPFI_06835	ASTMX03885
OG0000080	AMPFI_23079	ASTMX23043, ASTMX23016
OG0000082	AMPFI_21007	ASTMX06917
OG0000082	AMPFI_06890	ASTMX17888
OG0000082	AMPFI_15952, AMPFI_11015	ASTMX17248
OG0000085	AMPFI_20771	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	AMPFI_09379	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	AMPFI_25819	ASTMX19538
OG0000085	AMPFI_04349	ASTMX08704, ASTMX02521
OG0000086	AMPFI_08733	ASTMX23077
OG0000086	AMPFI_16129, AMPFI_08667	ASTMX05962
OG0000086	AMPFI_20576, AMPFI_05842	ASTMX09811
OG0000087	AMPFI_05588	ASTMX17718
OG0000087	AMPFI_13769	ASTMX17717
OG0000087	AMPFI_08649	ASTMX06381
OG0000087	AMPFI_11171	ASTMX19474
OG0000087	AMPFI_19662, AMPFI_19663	ASTMX17716
OG0000088	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	AMPFI_21827	ASTMX10521
OG0000091	AMPFI_04685, AMPFI_24623, AMPFI_10622	ASTMX03395
OG0000094	AMPFI_02587	ASTMX03425
OG0000094	AMPFI_25694, AMPFI_04666	ASTMX08393
OG0000094	AMPFI_02648	ASTMX08391, ASTMX19353
OG0000094	AMPFI_18905, AMPFI_06525	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671
OG0000096	AMPFI_12180	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	AMPFI_22693	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	AMPFI_24766	ASTMX18278, ASTMX15892
OG0000096	AMPFI_09837	ASTMX09859
OG0000096	AMPFI_11230	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	AMPFI_25309	ASTMX10423, ASTMX12959
OG0000098	AMPFI_13259, AMPFI_24967	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764
OG0000098	AMPFI_07962, AMPFI_03629	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000100	AMPFI_19874, AMPFI_01211	ASTMX18651
OG0000101	AMPFI_17596, AMPFI_21293	ASTMX00206, ASTMX00424
OG0000101	AMPFI_24234, AMPFI_14741, AMPFI_20349	ASTMX01330
OG0000101	AMPFI_14310, AMPFI_02729	ASTMX08413
OG0000101	AMPFI_08160	ASTMX14248, ASTMX12706, ASTMX02894
OG0000102	AMPFI_04172, AMPFI_16803	ASTMX10991, ASTMX16111
OG0000103	AMPFI_21097	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	AMPFI_14148	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	AMPFI_11040	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	AMPFI_02710	ASTMX03728, ASTMX07045
OG0000104	AMPFI_20370	ASTMX00149
OG0000104	AMPFI_08614	ASTMX00709, ASTMX16073
OG0000106	AMPFI_02407, AMPFI_14321	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	ASTMX10570, ASTMX00462
OG0000108	AMPFI_14479, AMPFI_07737	ASTMX16847, ASTMX07881, ASTMX08427, ASTMX08437, ASTMX04339, ASTMX03583
OG0000108	AMPFI_15531	ASTMX06170, ASTMX09882
OG0000108	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071	ASTMX11080, ASTMX08888, ASTMX15990, ASTMX22414, ASTMX14128, ASTMX04779, ASTMX13605
OG0000110	AMPFI_17055, AMPFI_21701, AMPFI_03800, AMPFI_04584, AMPFI_16212, AMPFI_03550, AMPFI_18622, AMPFI_10052	ASTMX08508
OG0000113	AMPFI_03282	ASTMX19383, ASTMX05472
OG0000114	AMPFI_10608, AMPFI_15203	ASTMX06800
OG0000114	AMPFI_03529	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000114	AMPFI_01965, AMPFI_00254	ASTMX20865
OG0000116	AMPFI_12986	ASTMX01410
OG0000117	AMPFI_04775, AMPFI_00066	ASTMX17355
OG0000117	AMPFI_05731, AMPFI_15869, AMPFI_04658	ASTMX00401, ASTMX12703
OG0000117	AMPFI_16640	ASTMX21002, ASTMX14024
OG0000117	AMPFI_16638	ASTMX17606
OG0000117	AMPFI_15296	ASTMX10401
OG0000117	AMPFI_24556, AMPFI_06191, AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845, AMPFI_00125	ASTMX14023
OG0000118	AMPFI_15089, AMPFI_19015, AMPFI_23643, AMPFI_14024, AMPFI_18501, AMPFI_00149, AMPFI_22684, AMPFI_18419, AMPFI_02829, AMPFI_12978, AMPFI_02484, AMPFI_11678, AMPFI_22935, AMPFI_14761, AMPFI_15653, AMPFI_15926, AMPFI_07542, AMPFI_17479, AMPFI_04304, AMPFI_21687	ASTMX10091, ASTMX22719
OG0000119	AMPFI_25431	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636
OG0000119	AMPFI_07345, AMPFI_07307	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905
OG0000119	AMPFI_24152	ASTMX00656, ASTMX18233
OG0000120	AMPFI_15831	ASTMX21836, ASTMX22567, ASTMX00463
OG0000121	AMPFI_02289, AMPFI_15541	ASTMX13884, ASTMX13883, ASTMX13882, ASTMX20607
OG0000122	AMPFI_13850, AMPFI_04566, AMPFI_20620	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832
OG0000122	AMPFI_09948	ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000123	AMPFI_23454	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212
OG0000123	AMPFI_03553	ASTMX14814, ASTMX00304
OG0000124	AMPFI_24111	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	AMPFI_02885	ASTMX10640, ASTMX14745, ASTMX06441
OG0000124	AMPFI_01689	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824
OG0000125	AMPFI_03211	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329
OG0000125	AMPFI_16776	ASTMX19681, ASTMX13832
OG0000125	AMPFI_12865	ASTMX00267
OG0000126	AMPFI_13551	ASTMX08551, ASTMX08784, ASTMX11157
OG0000126	AMPFI_19122	ASTMX09154
OG0000126	AMPFI_06519	ASTMX06187, ASTMX17244
OG0000126	AMPFI_19042	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000127	AMPFI_23284	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500
OG0000127	AMPFI_11705	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000127	AMPFI_13476	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478
OG0000127	AMPFI_18794	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260
OG0000128	AMPFI_00795	ASTMX05854
OG0000128	AMPFI_16622, AMPFI_18803, AMPFI_04850	ASTMX15563, ASTMX07961
OG0000129	AMPFI_15379	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539
OG0000129	AMPFI_05870	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614
OG0000130	AMPFI_19363	ASTMX07135, ASTMX08389, ASTMX02101, ASTMX18603, ASTMX21728, ASTMX10754, ASTMX19065, ASTMX02114
OG0000131	AMPFI_01527, AMPFI_14039, AMPFI_21381	ASTMX16327
OG0000132	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003	ASTMX15628
OG0000132	AMPFI_25895	ASTMX09702
OG0000133	AMPFI_19656, AMPFI_12857, AMPFI_11696	ASTMX21190
OG0000133	AMPFI_00173	ASTMX21064, ASTMX18077
OG0000133	AMPFI_13361	ASTMX22246, ASTMX14992, ASTMX14993, ASTMX14996, ASTMX14990, ASTMX01609, ASTMX13181, ASTMX20897, ASTMX19606, ASTMX08507, ASTMX13886, ASTMX13885, ASTMX22857, ASTMX13138, ASTMX13136, ASTMX22464, ASTMX20563, ASTMX21441, ASTMX13135, ASTMX13134, ASTMX13137, ASTMX22484, ASTMX20559, ASTMX20561, ASTMX13217, ASTMX21568, ASTMX15040, ASTMX21948, ASTMX20560, ASTMX19892, ASTMX02156, ASTMX02949, ASTMX07356, ASTMX07357, ASTMX07358, ASTMX15965, ASTMX15966, ASTMX19613, ASTMX22548, ASTMX22646
OG0000133	AMPFI_19958	ASTMX19611, ASTMX19612
OG0000137	AMPFI_02989	ASTMX08942, ASTMX01570, ASTMX22671
OG0000137	AMPFI_12246	ASTMX10792, ASTMX08181
OG0000139	AMPFI_23602, AMPFI_03549	ASTMX09356
OG0000142	AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305	ASTMX22061
OG0000145	AMPFI_23149, AMPFI_15127, AMPFI_02414, AMPFI_09656	ASTMX20083
OG0000146	AMPFI_23164, AMPFI_04825	ASTMX15531
OG0000147	AMPFI_24113	ASTMX22882, ASTMX19061
OG0000147	AMPFI_01784, AMPFI_00036, AMPFI_00137	ASTMX01265, ASTMX04843
OG0000147	AMPFI_25058	ASTMX02385
OG0000147	AMPFI_22384	ASTMX18633
OG0000147	AMPFI_01359, AMPFI_18115	ASTMX08515
OG0000148	AMPFI_23558	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929
