Orthogroup	AMPFI_ok	XENTR
OG0000007	AMPFI_26059	XENTR09461, XENTR01137
OG0000007	AMPFI_15806	XENTR03031, XENTR06562
OG0000007	AMPFI_22204	XENTR16583
OG0000007	AMPFI_08786	XENTR07405, XENTR01816
OG0000007	AMPFI_21281	XENTR09232, XENTR15271
OG0000008	AMPFI_03619	XENTR11531, XENTR11530, XENTR00356
OG0000008	AMPFI_18464	XENTR07747
OG0000008	AMPFI_13893	XENTR00105
OG0000009	AMPFI_02892, AMPFI_01981	XENTR08209
OG0000009	AMPFI_05893	XENTR07693
OG0000010	AMPFI_14170	XENTR03796, XENTR03794, XENTR03795, XENTR03797, XENTR17402, XENTR17403, XENTR17056, XENTR19172, XENTR17234, XENTR17233, XENTR17232, XENTR17230, XENTR17231, XENTR19048, XENTR06633, XENTR06635, XENTR06634, XENTR14832, XENTR09844, XENTR05875
OG0000012	AMPFI_05035, AMPFI_18913	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000013	AMPFI_13640	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000014	AMPFI_05504, AMPFI_16319	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521
OG0000014	AMPFI_18330	XENTR18803, XENTR09297
OG0000014	AMPFI_16339	XENTR09147, XENTR00681
OG0000015	AMPFI_23995	XENTR13566, XENTR03288, XENTR15069
OG0000016	AMPFI_14639	XENTR10586, XENTR06233
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939	XENTR12717
OG0000016	AMPFI_06248	XENTR17802
OG0000018	AMPFI_04983, AMPFI_11059, AMPFI_23717, AMPFI_12063, AMPFI_02180, AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000018	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463	XENTR19110
OG0000018	AMPFI_12214, AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008	XENTR19228, XENTR16288, XENTR15347, XENTR15469
OG0000019	AMPFI_01264, AMPFI_06523	XENTR07225, XENTR02749, XENTR04194
OG0000019	AMPFI_03780	XENTR03535
OG0000020	AMPFI_07852	XENTR18565
OG0000020	AMPFI_19334	XENTR14576
OG0000020	AMPFI_23773	XENTR00311
OG0000020	AMPFI_11019	XENTR13299
OG0000020	AMPFI_06907	XENTR05411
OG0000020	AMPFI_24792	XENTR15461, XENTR03248, XENTR03249
OG0000020	AMPFI_07932	XENTR04697
OG0000020	AMPFI_12343	XENTR07864, XENTR11783
OG0000020	AMPFI_25813	XENTR08063
OG0000020	AMPFI_07388	XENTR15846
OG0000020	AMPFI_13969	XENTR15636
OG0000021	AMPFI_08825	XENTR11123, XENTR16378
OG0000021	AMPFI_12629	XENTR16121
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	XENTR13705, XENTR13394, XENTR13393
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	XENTR00007
OG0000023	AMPFI_05477	XENTR02017, XENTR13173, XENTR18800, XENTR18648
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784
OG0000023	AMPFI_05031	XENTR13097
OG0000024	AMPFI_01273	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488
OG0000026	AMPFI_01077, AMPFI_16904	XENTR07244, XENTR03079
OG0000028	AMPFI_19162	XENTR03481, XENTR17263
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335
OG0000030	AMPFI_02183	XENTR08639
OG0000030	AMPFI_03176	XENTR18375, XENTR18219
OG0000031	AMPFI_14371, AMPFI_13166	XENTR15116
OG0000031	AMPFI_06256	XENTR05405, XENTR03766
OG0000031	AMPFI_14304	XENTR03163
OG0000031	AMPFI_01333	XENTR00229
OG0000031	AMPFI_05075	XENTR00006, XENTR16792, XENTR04300
OG0000031	AMPFI_10833	XENTR00917, XENTR11778
OG0000031	AMPFI_02985	XENTR09425
OG0000032	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	AMPFI_03594	XENTR17016
OG0000032	AMPFI_03370	XENTR03433
OG0000034	AMPFI_04753	XENTR04943
OG0000034	AMPFI_00398	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000035	AMPFI_17275	XENTR05239
OG0000035	AMPFI_20705	XENTR05079, XENTR05317, XENTR05866, XENTR05867
OG0000035	AMPFI_13261	XENTR07648
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	AMPFI_12878	XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	AMPFI_11303	XENTR13293, XENTR09857
OG0000036	AMPFI_11948	XENTR07761, XENTR12415, XENTR07272
OG0000036	AMPFI_14775, AMPFI_19912	XENTR01038, XENTR15969
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	AMPFI_11581	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
OG0000037	AMPFI_25668	XENTR16580, XENTR14770, XENTR03861
OG0000038	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880	XENTR04197, XENTR04200
OG0000039	AMPFI_15658	XENTR17227
OG0000039	AMPFI_14066	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000039	AMPFI_20335, AMPFI_20685, AMPFI_03724	XENTR17697
OG0000040	AMPFI_02741	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000043	AMPFI_04816	XENTR13561, XENTR13559
OG0000044	AMPFI_13059	XENTR08740, XENTR08871, XENTR02238, XENTR13100
OG0000044	AMPFI_10491	XENTR05498, XENTR01628, XENTR04385, XENTR00688
OG0000044	AMPFI_12455	XENTR04387, XENTR17931
OG0000046	AMPFI_02275, AMPFI_17068	XENTR04959
OG0000047	AMPFI_15690	XENTR07962
OG0000048	AMPFI_06745	XENTR01169
OG0000048	AMPFI_01185	XENTR18412
OG0000048	AMPFI_22758	XENTR04117
OG0000048	AMPFI_10591, AMPFI_13556	XENTR05160
OG0000049	AMPFI_21057	XENTR13015
OG0000051	AMPFI_25569	XENTR08842
OG0000052	AMPFI_06573, AMPFI_21766, AMPFI_02333, AMPFI_17383, AMPFI_21399, AMPFI_24133	XENTR09745, XENTR16766, XENTR16795
OG0000054	AMPFI_10274	XENTR04962, XENTR04961
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000056	AMPFI_10015	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000057	AMPFI_01580, AMPFI_02256	XENTR04236, XENTR01413, XENTR01414
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	XENTR03679
OG0000058	AMPFI_18481	XENTR11839
OG0000058	AMPFI_11588, AMPFI_03991, AMPFI_22601, AMPFI_13098	XENTR16220
OG0000060	AMPFI_23758	XENTR09513
OG0000062	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	AMPFI_05434	XENTR09512
OG0000063	AMPFI_21664	XENTR11311
OG0000063	AMPFI_25718, AMPFI_20407, AMPFI_07613	XENTR04708
OG0000063	AMPFI_25335	XENTR15638
OG0000066	AMPFI_09400	XENTR18882
OG0000067	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999	XENTR13783, XENTR04874
OG0000068	AMPFI_04870	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611
OG0000069	AMPFI_08415	XENTR15529
OG0000072	AMPFI_26076	XENTR03548, XENTR18546
OG0000072	AMPFI_21820	XENTR01057
OG0000073	AMPFI_10119	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343, XENTR13665
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	XENTR10798, XENTR10797, XENTR11114
OG0000074	AMPFI_19576	XENTR14396
OG0000074	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296	XENTR07269, XENTR06689
OG0000075	AMPFI_17345, AMPFI_17344	XENTR02757, XENTR11353, XENTR12610
OG0000075	AMPFI_03839	XENTR06215
OG0000075	AMPFI_10510	XENTR09250
OG0000075	AMPFI_15829	XENTR04179, XENTR06216
OG0000075	AMPFI_15139	XENTR01223, XENTR05975
OG0000075	AMPFI_15917	XENTR10723
OG0000075	AMPFI_17574	XENTR05986, XENTR05987
OG0000078	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000078	AMPFI_20079	XENTR19100
OG0000079	AMPFI_09380	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	XENTR08294, XENTR08293, XENTR03649
OG0000079	AMPFI_24805	XENTR01194
OG0000079	AMPFI_06359, AMPFI_07521	XENTR15371
OG0000082	AMPFI_21007	XENTR16096
OG0000082	AMPFI_06890	XENTR01624, XENTR01625
OG0000085	AMPFI_20771	XENTR01729, XENTR03138
OG0000085	AMPFI_09379	XENTR04052, XENTR12507
OG0000085	AMPFI_25819	XENTR15005
OG0000085	AMPFI_04349	XENTR12352, XENTR12351
OG0000086	AMPFI_08733	XENTR14579
OG0000087	AMPFI_20352	XENTR17246
OG0000087	AMPFI_01947	XENTR13447, XENTR13446
OG0000087	AMPFI_25175	XENTR06736
OG0000087	AMPFI_07196	XENTR07023
OG0000087	AMPFI_09489, AMPFI_05588, AMPFI_13769	XENTR10385
OG0000087	AMPFI_08649	XENTR06016
OG0000087	AMPFI_11171	XENTR00988
OG0000087	AMPFI_18536, AMPFI_19662, AMPFI_19663	XENTR18799
OG0000088	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000091	AMPFI_04685, AMPFI_24623, AMPFI_10622	XENTR08624
OG0000094	AMPFI_02587	XENTR18065
OG0000094	AMPFI_25694, AMPFI_04666	XENTR15146
OG0000094	AMPFI_02648	XENTR18157
OG0000094	AMPFI_18905, AMPFI_06525	XENTR09915, XENTR14788, XENTR17591
OG0000096	AMPFI_12180	XENTR02028, XENTR07076, XENTR03113
OG0000096	AMPFI_22693	XENTR02339, XENTR11518
OG0000096	AMPFI_24766	XENTR01880
OG0000096	AMPFI_09837	XENTR18613
OG0000096	AMPFI_11230	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	AMPFI_25309	XENTR17893
OG0000098	AMPFI_13259, AMPFI_24967	XENTR05433, XENTR18578, XENTR17176
OG0000098	AMPFI_07962, AMPFI_03629	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000101	AMPFI_17596, AMPFI_21293	XENTR09885, XENTR05951
OG0000101	AMPFI_14310, AMPFI_02729	XENTR10544, XENTR10545
OG0000101	AMPFI_08160	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000102	AMPFI_04172, AMPFI_16803	XENTR10759, XENTR05530
OG0000103	AMPFI_21097	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000104	AMPFI_14148	XENTR05699, XENTR11871
OG0000104	AMPFI_11040	XENTR03188, XENTR10251
OG0000104	AMPFI_02710	XENTR11872, XENTR05698
OG0000104	AMPFI_20370	XENTR07142
OG0000104	AMPFI_08614	XENTR02594, XENTR10789, XENTR16122
OG0000106	AMPFI_02407, AMPFI_14321	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555
OG0000106	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	XENTR05910, XENTR12158, XENTR05297
OG0000108	AMPFI_15531	XENTR03238, XENTR11663, XENTR11664, XENTR06039
OG0000108	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071	XENTR06931, XENTR12385, XENTR06227
OG0000113	AMPFI_03282	XENTR00307
OG0000114	AMPFI_03529	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055
OG0000116	AMPFI_12986	XENTR12530
OG0000117	AMPFI_05731, AMPFI_15869, AMPFI_04658	XENTR09867
OG0000119	AMPFI_25431	XENTR05393, XENTR05242, XENTR06871
OG0000119	AMPFI_07345, AMPFI_07307	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933
OG0000119	AMPFI_24152	XENTR01125, XENTR14071
OG0000120	AMPFI_15831	XENTR17173
OG0000121	AMPFI_02289, AMPFI_15541	XENTR04864
OG0000121	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340	XENTR08396, XENTR08397
OG0000122	AMPFI_13850, AMPFI_04566, AMPFI_20620	XENTR06907, XENTR17281
OG0000122	AMPFI_09948	XENTR01730, XENTR03137, XENTR03802
OG0000123	AMPFI_23454	XENTR02182
OG0000123	AMPFI_03553	XENTR10906
OG0000124	AMPFI_24111	XENTR05926
OG0000124	AMPFI_02885	XENTR09248, XENTR09249
OG0000124	AMPFI_01689	XENTR13084, XENTR11997
OG0000125	AMPFI_03211	XENTR01735, XENTR14091, XENTR08560
OG0000125	AMPFI_16776	XENTR01738, XENTR14098
OG0000125	AMPFI_12865	XENTR05425
OG0000126	AMPFI_13551	XENTR02718, XENTR02062, XENTR09023
OG0000126	AMPFI_06519	XENTR14632, XENTR03466
OG0000126	AMPFI_19042	XENTR05061, XENTR11942, XENTR13975, XENTR08532
OG0000127	AMPFI_23284	XENTR02720, XENTR03441, XENTR09025
OG0000127	AMPFI_11705	XENTR10923, XENTR12718
OG0000127	AMPFI_13476	XENTR18212
OG0000127	AMPFI_18794	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893
OG0000128	AMPFI_00795	XENTR08486, XENTR08487
OG0000128	AMPFI_16622, AMPFI_18803, AMPFI_04850	XENTR04418
OG0000129	AMPFI_25119	XENTR14286
OG0000129	AMPFI_15379	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673
OG0000129	AMPFI_05870	XENTR14278, XENTR11921, XENTR18992, XENTR15519
OG0000130	AMPFI_19363	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979
OG0000131	AMPFI_01527, AMPFI_14039, AMPFI_21381	XENTR10944
OG0000132	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255
OG0000132	AMPFI_25895	XENTR04795
OG0000137	AMPFI_02989	XENTR11062, XENTR17418
OG0000137	AMPFI_12246	XENTR10667
OG0000139	AMPFI_23602, AMPFI_03549	XENTR06324
OG0000141	AMPFI_07634, AMPFI_00765, AMPFI_18896	XENTR13160
OG0000147	AMPFI_24113	XENTR12286
OG0000147	AMPFI_01784, AMPFI_00036, AMPFI_00137	XENTR02156, XENTR12287
OG0000147	AMPFI_25058	XENTR01301, XENTR12003
OG0000147	AMPFI_22384	XENTR00602
OG0000147	AMPFI_01359, AMPFI_18115	XENTR15311
OG0000148	AMPFI_23558	XENTR10464, XENTR17112, XENTR02369, XENTR07951
OG0000148	AMPFI_06814	XENTR11222, XENTR06966, XENTR07952, XENTR02368
OG0000149	AMPFI_19578, AMPFI_11805	XENTR01442, XENTR00579
OG0000151	AMPFI_12292	XENTR04929, XENTR06165, XENTR12078, XENTR11745
OG0000151	AMPFI_07369, AMPFI_13120	XENTR14804, XENTR06918, XENTR07090, XENTR00143, XENTR00142
OG0000153	AMPFI_16848, AMPFI_17135	XENTR04393, XENTR14583, XENTR14584, XENTR14230
OG0000155	AMPFI_11674	XENTR13673, XENTR05745, XENTR13672
OG0000157	AMPFI_07870	XENTR09579, XENTR08086
OG0000159	AMPFI_14640	XENTR09320, XENTR09321
OG0000159	AMPFI_09235	XENTR09386
OG0000160	AMPFI_10740	XENTR02472
OG0000162	AMPFI_02629	XENTR19069
OG0000163	AMPFI_03655	XENTR03897, XENTR06574
OG0000163	AMPFI_02815	XENTR17419
OG0000163	AMPFI_01484	XENTR06573, XENTR03895
OG0000163	AMPFI_15100	XENTR10844, XENTR07114, XENTR03341
OG0000165	AMPFI_20099	XENTR15301, XENTR13043, XENTR16873, XENTR11658, XENTR00720, XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345
OG0000166	AMPFI_20566	XENTR01839
OG0000167	AMPFI_21928	XENTR13141
OG0000168	AMPFI_17580, AMPFI_14464	XENTR11485, XENTR09871
OG0000168	AMPFI_03245, AMPFI_18586, AMPFI_18585	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725
OG0000171	AMPFI_21332	XENTR10513, XENTR07909
OG0000171	AMPFI_16514	XENTR05662
OG0000172	AMPFI_14014	XENTR03780, XENTR04175, XENTR04174, XENTR04177, XENTR16551
OG0000173	AMPFI_14468	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902
OG0000174	AMPFI_12146	XENTR18562, XENTR12376
OG0000174	AMPFI_25103	XENTR02208, XENTR05576
OG0000175	AMPFI_13786	XENTR03000, XENTR09335, XENTR04649
OG0000179	AMPFI_12504	XENTR01942
OG0000179	AMPFI_16964	XENTR00560, XENTR12119
OG0000179	AMPFI_00481	XENTR05649, XENTR05414, XENTR12627
OG0000181	AMPFI_16526	XENTR17190, XENTR17189, XENTR03816
OG0000181	AMPFI_12882	XENTR09033, XENTR12669
OG0000183	AMPFI_14083	XENTR02086, XENTR13524, XENTR16217
OG0000183	AMPFI_03468	XENTR02630
OG0000184	AMPFI_03874, AMPFI_09399, AMPFI_14819	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929
OG0000186	AMPFI_23623	XENTR01631, XENTR03039
OG0000188	AMPFI_08253	XENTR02204, XENTR07576, XENTR05663
OG0000190	AMPFI_22113	XENTR07782, XENTR06828, XENTR06827, XENTR07781, XENTR06829
OG0000192	AMPFI_10868	XENTR03994, XENTR04308
OG0000192	AMPFI_03281	XENTR01771
OG0000194	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028	XENTR14824, XENTR18660, XENTR00280, XENTR10034
OG0000195	AMPFI_05326	XENTR11322, XENTR09909, XENTR17326
OG0000195	AMPFI_05107	XENTR19159
OG0000197	AMPFI_00635, AMPFI_18783, AMPFI_00480	XENTR05307, XENTR15908
OG0000197	AMPFI_14260	XENTR03218, XENTR03217, XENTR15281, XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201
OG0000198	AMPFI_24261	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054
OG0000201	AMPFI_03122	XENTR16600, XENTR16601, XENTR04781
OG0000201	AMPFI_01733	XENTR12187, XENTR00868
OG0000202	AMPFI_02277	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556
OG0000203	AMPFI_10377, AMPFI_15263	XENTR09015, XENTR08065
OG0000203	AMPFI_06550	XENTR04067
OG0000204	AMPFI_16653, AMPFI_14128, AMPFI_06859	XENTR04113, XENTR02352
OG0000205	AMPFI_19091	XENTR16886, XENTR01752, XENTR14923
OG0000206	AMPFI_22039	XENTR10501, XENTR13106, XENTR12355
OG0000207	AMPFI_08635, AMPFI_15520	XENTR04496, XENTR02974
OG0000208	AMPFI_19368, AMPFI_25316, AMPFI_25934, AMPFI_04187	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993
OG0000210	AMPFI_16256	XENTR12375
OG0000210	AMPFI_24350	XENTR19252
OG0000210	AMPFI_21005	XENTR04415
OG0000211	AMPFI_10849	XENTR02626
OG0000211	AMPFI_12814	XENTR12567, XENTR17201, XENTR17202
OG0000211	AMPFI_16753	XENTR15376, XENTR01456
OG0000213	AMPFI_07663	XENTR03518, XENTR08248
OG0000214	AMPFI_13169	XENTR12264
OG0000215	AMPFI_03565	XENTR01627, XENTR06477
OG0000215	AMPFI_23213	XENTR04188
OG0000216	AMPFI_00473	XENTR15525
OG0000218	AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956	XENTR06015
OG0000220	AMPFI_11145	XENTR07581
OG0000220	AMPFI_09063, AMPFI_16751, AMPFI_20109, AMPFI_11272	XENTR15742
OG0000221	AMPFI_07550	XENTR04171, XENTR10605, XENTR06942
OG0000221	AMPFI_18146, AMPFI_19059	XENTR10392, XENTR01755, XENTR16885
OG0000222	AMPFI_16387, AMPFI_05918, AMPFI_03073	XENTR18094, XENTR09636, XENTR09635
OG0000223	AMPFI_09693	XENTR15744, XENTR02504, XENTR10692
OG0000225	AMPFI_24201, AMPFI_00311	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844
OG0000227	AMPFI_16595	XENTR12301, XENTR12302
OG0000227	AMPFI_00331	XENTR13632
OG0000227	AMPFI_23018	XENTR15725, XENTR05302, XENTR05301
OG0000227	AMPFI_12350	XENTR06938
OG0000227	AMPFI_07507	XENTR00522, XENTR04987
OG0000228	AMPFI_21741	XENTR07707, XENTR15692
OG0000229	AMPFI_05764, AMPFI_10072, AMPFI_24212, AMPFI_15142, AMPFI_19973, AMPFI_16169, AMPFI_17069, AMPFI_03077	XENTR07694
OG0000230	AMPFI_09954	XENTR08030, XENTR08029
OG0000231	AMPFI_01759	XENTR00474, XENTR12545
OG0000233	AMPFI_06911	XENTR14531
OG0000234	AMPFI_09748	XENTR08092, XENTR06076, XENTR18346
OG0000234	AMPFI_05768	XENTR00774, XENTR10873
OG0000235	AMPFI_22306	XENTR08759
OG0000236	AMPFI_19570	XENTR04703
OG0000236	AMPFI_14068	XENTR08003
OG0000239	AMPFI_07816	XENTR02896, XENTR08392
