Orthogroup	AMPFI_ok	AENJA_ok
OG0000024	AMPFI_01930, AMPFI_21703, AMPFI_25509	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891
OG0000024	AMPFI_17149, AMPFI_06930, AMPFI_01987	AENJA_18079, AENJA_19870, AENJA_09423
OG0000024	AMPFI_19400, AMPFI_02782, AMPFI_01292	AENJA_25408
OG0000024	AMPFI_23401	AENJA_13035, AENJA_24703
OG0000024	AMPFI_00675	AENJA_05751
OG0000024	AMPFI_06398, AMPFI_02047, AMPFI_13010, AMPFI_05170, AMPFI_24489	AENJA_14854
OG0000024	AMPFI_14422	AENJA_14951
OG0000024	AMPFI_18926, AMPFI_10659	AENJA_03136
OG0000024	AMPFI_09830	AENJA_18708
OG0000024	AMPFI_03811	AENJA_02356
OG0000024	AMPFI_22635, AMPFI_19020, AMPFI_24666	AENJA_04068
OG0000024	AMPFI_24702, AMPFI_24934, AMPFI_10763, AMPFI_23064, AMPFI_16191, AMPFI_11358, AMPFI_15816	AENJA_18080
OG0000024	AMPFI_22507	AENJA_24502, AENJA_10348
OG0000024	AMPFI_13085	AENJA_02712
OG0000025	AMPFI_19073	AENJA_16194, AENJA_12427, AENJA_26584
OG0000025	AMPFI_18567, AMPFI_11662, AMPFI_06326, AMPFI_02796, AMPFI_22451, AMPFI_01773, AMPFI_15894, AMPFI_18568, AMPFI_07912, AMPFI_20624, AMPFI_08523, AMPFI_09101, AMPFI_18571, AMPFI_06549, AMPFI_02396, AMPFI_25559	AENJA_11195
OG0000025	AMPFI_06809	AENJA_03985
OG0000025	AMPFI_11412	AENJA_17256
OG0000025	AMPFI_06743	AENJA_07928
OG0000025	AMPFI_26068	AENJA_21079
OG0000025	AMPFI_20652	AENJA_14413
OG0000025	AMPFI_02288	AENJA_05976
OG0000025	AMPFI_04900, AMPFI_07607, AMPFI_18572, AMPFI_12331, AMPFI_12110, AMPFI_04240, AMPFI_22001, AMPFI_12673	AENJA_09551
OG0000026	AMPFI_24667	AENJA_07099, AENJA_18950
OG0000026	AMPFI_01077, AMPFI_16904	AENJA_21657
OG0000026	AMPFI_12169, AMPFI_25654, AMPFI_23954, AMPFI_09282	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651
OG0000026	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	AENJA_10129, AENJA_23516
OG0000026	AMPFI_09720, AMPFI_00659	AENJA_04353, AENJA_08594, AENJA_10003
OG0000027	AMPFI_15327	AENJA_24558, AENJA_14831, AENJA_19912
OG0000027	AMPFI_19869, AMPFI_04301	AENJA_03490
OG0000027	AMPFI_14462, AMPFI_23172	AENJA_19914, AENJA_19915
OG0000027	AMPFI_03819	AENJA_05706, AENJA_05707
OG0000028	AMPFI_13515, AMPFI_15765, AMPFI_17182	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181
OG0000028	AMPFI_19162	AENJA_21123, AENJA_04861, AENJA_01184
OG0000028	AMPFI_04239	AENJA_02274
OG0000028	AMPFI_04248	AENJA_15999
OG0000028	AMPFI_21505	AENJA_25121
OG0000029	AMPFI_24572, AMPFI_17682, AMPFI_23832	AENJA_03155, AENJA_26378, AENJA_10650
OG0000029	AMPFI_05500	AENJA_26395
OG0000029	AMPFI_18884	AENJA_05610
OG0000029	AMPFI_24440	AENJA_05280
OG0000030	AMPFI_03176	AENJA_17283
OG0000031	AMPFI_06256	AENJA_09856
OG0000031	AMPFI_14304	AENJA_20966
OG0000031	AMPFI_10484	AENJA_08759
OG0000031	AMPFI_01333	AENJA_10722
OG0000031	AMPFI_05075	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	AMPFI_02985	AENJA_15028
OG0000032	AMPFI_06764, AMPFI_00055, AMPFI_06973, AMPFI_09679, AMPFI_00934	AENJA_15565
OG0000032	AMPFI_10091	AENJA_15445, AENJA_10949
OG0000032	AMPFI_08698	AENJA_16462, AENJA_19113, AENJA_19112
OG0000032	AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	AENJA_01972
OG0000032	AMPFI_03594	AENJA_12718
OG0000032	AMPFI_03370	AENJA_12283
OG0000032	AMPFI_22327	AENJA_06513
OG0000033	AMPFI_20487, AMPFI_01727, AMPFI_12232	AENJA_25005
OG0000033	AMPFI_12725	AENJA_22775
OG0000033	AMPFI_17526, AMPFI_16483, AMPFI_06102, AMPFI_06688	AENJA_04460, AENJA_10095
OG0000033	AMPFI_22418	AENJA_15145
OG0000033	AMPFI_22407, AMPFI_09240	AENJA_18564
OG0000033	AMPFI_24844	AENJA_02327
OG0000033	AMPFI_22100, AMPFI_08482	AENJA_13273, AENJA_09980, AENJA_09621, AENJA_14944
OG0000033	AMPFI_04418	AENJA_06853
OG0000033	AMPFI_22533	AENJA_04465, AENJA_02683, AENJA_23779, AENJA_21243
OG0000033	AMPFI_19944	AENJA_14246
OG0000033	AMPFI_04854	AENJA_17955
OG0000033	AMPFI_23484	AENJA_10094
OG0000033	AMPFI_05216	AENJA_19957
OG0000033	AMPFI_19595, AMPFI_18759	AENJA_02993
OG0000033	AMPFI_01844, AMPFI_20234	AENJA_13995, AENJA_12723, AENJA_12540
OG0000033	AMPFI_01742, AMPFI_17317	AENJA_25355
OG0000033	AMPFI_01780	AENJA_13459
OG0000034	AMPFI_19171	AENJA_02790
OG0000034	AMPFI_04753	AENJA_21749
OG0000034	AMPFI_00398	AENJA_02791
OG0000035	AMPFI_17275	AENJA_01174
OG0000035	AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566	AENJA_26793
OG0000035	AMPFI_20705	AENJA_22033
OG0000035	AMPFI_13261	AENJA_08825
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	AENJA_12732
OG0000035	AMPFI_12878	AENJA_26037
OG0000035	AMPFI_13349	AENJA_21682
OG0000035	AMPFI_11303	AENJA_21683
OG0000035	AMPFI_15071	AENJA_03202, AENJA_17649, AENJA_15904
OG0000035	AMPFI_24961	AENJA_02191
OG0000036	AMPFI_06932	AENJA_26206, AENJA_19267, AENJA_16633
OG0000036	AMPFI_06864	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986
OG0000036	AMPFI_14775, AMPFI_19912	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	AMPFI_15407	AENJA_21302
OG0000036	AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	AENJA_21301
OG0000036	AMPFI_18710	AENJA_09983
OG0000037	AMPFI_10819, AMPFI_10818, AMPFI_01966	AENJA_21842, AENJA_00885
OG0000037	AMPFI_00972	AENJA_06908, AENJA_02989
OG0000037	AMPFI_11581	AENJA_20944
OG0000037	AMPFI_25668	AENJA_05483, AENJA_06274
OG0000038	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880	AENJA_26313
OG0000038	AMPFI_11821, AMPFI_12065, AMPFI_11482, AMPFI_17061	AENJA_16130
OG0000039	AMPFI_15658	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	AMPFI_14066	AENJA_07945
OG0000039	AMPFI_16323	AENJA_26803, AENJA_05351
OG0000039	AMPFI_01199	AENJA_26786
OG0000039	AMPFI_17373	AENJA_20163
OG0000039	AMPFI_17767	AENJA_02471
OG0000039	AMPFI_03724	AENJA_07277
OG0000040	AMPFI_02741	AENJA_11361
OG0000042	AMPFI_02915, AMPFI_12175, AMPFI_02664, AMPFI_15276	AENJA_12267, AENJA_02614, AENJA_01891
OG0000042	AMPFI_24137	AENJA_24534, AENJA_24240, AENJA_05524, AENJA_01976, AENJA_07525, AENJA_11740
OG0000042	AMPFI_01541	AENJA_20216
OG0000042	AMPFI_05668	AENJA_13144, AENJA_17558
OG0000042	AMPFI_19821	AENJA_20398, AENJA_12656, AENJA_20397, AENJA_17012, AENJA_14068, AENJA_14062, AENJA_24879, AENJA_08407, AENJA_08404, AENJA_04593, AENJA_21349
OG0000044	AMPFI_13059	AENJA_12079
OG0000044	AMPFI_02748	AENJA_26664
OG0000044	AMPFI_25440	AENJA_23969
OG0000044	AMPFI_22687, AMPFI_10992, AMPFI_03970, AMPFI_03703, AMPFI_04838	AENJA_03123
OG0000044	AMPFI_22026, AMPFI_08823, AMPFI_04139, AMPFI_21628, AMPFI_17647	AENJA_25117
OG0000044	AMPFI_18408	AENJA_06141
OG0000044	AMPFI_05987, AMPFI_21776	AENJA_06789
OG0000045	AMPFI_20949	AENJA_04220, AENJA_24299
OG0000045	AMPFI_25297	AENJA_24504
OG0000046	AMPFI_02275, AMPFI_17068	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	AMPFI_00292	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000046	AMPFI_06092, AMPFI_02299	AENJA_18191
OG0000047	AMPFI_21621, AMPFI_03846	AENJA_20068
OG0000047	AMPFI_23515, AMPFI_25894	AENJA_18097
OG0000047	AMPFI_20140, AMPFI_20456	AENJA_25256
OG0000047	AMPFI_00531, AMPFI_17064	AENJA_10394, AENJA_14985, AENJA_05397
OG0000047	AMPFI_10945, AMPFI_22321	AENJA_06693
OG0000047	AMPFI_23759, AMPFI_01041	AENJA_04006, AENJA_04734
OG0000047	AMPFI_18136, AMPFI_01167	AENJA_02359, AENJA_22101
OG0000047	AMPFI_20742, AMPFI_00834, AMPFI_06583	AENJA_17689
OG0000047	AMPFI_10585, AMPFI_21811, AMPFI_24116, AMPFI_18776, AMPFI_21554, AMPFI_14155, AMPFI_00428, AMPFI_20724, AMPFI_10770, AMPFI_19448, AMPFI_02362, AMPFI_02423, AMPFI_25745, AMPFI_13185, AMPFI_23152, AMPFI_02140, AMPFI_04461, AMPFI_01089	AENJA_04944
OG0000047	AMPFI_22869, AMPFI_17407	AENJA_15285
OG0000047	AMPFI_15701, AMPFI_15786, AMPFI_14921	AENJA_14228, AENJA_15629
OG0000047	AMPFI_05600, AMPFI_04402, AMPFI_10874, AMPFI_23910	AENJA_01851
OG0000047	AMPFI_24933, AMPFI_04403, AMPFI_01040	AENJA_19353
OG0000047	AMPFI_23686	AENJA_09237
OG0000048	AMPFI_06745	AENJA_11619
OG0000048	AMPFI_01185	AENJA_23226
OG0000048	AMPFI_17027, AMPFI_21987, AMPFI_06139	AENJA_21270
OG0000048	AMPFI_22758	AENJA_09360
OG0000048	AMPFI_10591	AENJA_16735
OG0000048	AMPFI_13556	AENJA_16736
OG0000048	AMPFI_08767	AENJA_25506
OG0000049	AMPFI_09959	AENJA_24580
OG0000049	AMPFI_25468, AMPFI_22815	AENJA_11158
OG0000049	AMPFI_21732	AENJA_02953, AENJA_07586
OG0000049	AMPFI_05869	AENJA_17680
OG0000050	AMPFI_09852, AMPFI_09851, AMPFI_22369, AMPFI_19942	AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961
OG0000050	AMPFI_15208	AENJA_09597, AENJA_17561
OG0000050	AMPFI_12802	AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097
OG0000051	AMPFI_06837	AENJA_15112
OG0000051	AMPFI_12251, AMPFI_06956	AENJA_18491
OG0000051	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599	AENJA_24250
OG0000052	AMPFI_06573, AMPFI_21766, AMPFI_02333, AMPFI_17383, AMPFI_21399, AMPFI_24133	AENJA_07437
OG0000052	AMPFI_03740	AENJA_20254
OG0000052	AMPFI_09055, AMPFI_22969, AMPFI_16643, AMPFI_18443, AMPFI_21368	AENJA_03531, AENJA_00839, AENJA_20468, AENJA_18067
OG0000052	AMPFI_24630	AENJA_02638
OG0000052	AMPFI_12754	AENJA_11489, AENJA_25939
OG0000052	AMPFI_13833, AMPFI_12690, AMPFI_19427	AENJA_25043
OG0000052	AMPFI_04582, AMPFI_02325	AENJA_26054, AENJA_00223
OG0000052	AMPFI_13707, AMPFI_14605, AMPFI_11434	AENJA_03349, AENJA_13979
OG0000053	AMPFI_17492	AENJA_09568
OG0000053	AMPFI_03971, AMPFI_14513	AENJA_04227, AENJA_07517
OG0000053	AMPFI_05985	AENJA_07516
OG0000053	AMPFI_01417, AMPFI_13891	AENJA_06824, AENJA_02299, AENJA_15417
OG0000053	AMPFI_18591	AENJA_26082
OG0000053	AMPFI_24389, AMPFI_03879	AENJA_25816, AENJA_09489
OG0000054	AMPFI_10274	AENJA_06676, AENJA_23371
OG0000056	AMPFI_10015	AENJA_20268
OG0000056	AMPFI_21387	AENJA_14653
OG0000056	AMPFI_13952, AMPFI_00302	AENJA_19769, AENJA_19772, AENJA_25728
OG0000057	AMPFI_01580, AMPFI_02256	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	AENJA_11025
OG0000057	AMPFI_23737	AENJA_13773
OG0000058	AMPFI_18481	AENJA_23345
OG0000058	AMPFI_05634	AENJA_10634
OG0000059	AMPFI_05376, AMPFI_04204, AMPFI_22805	AENJA_20505, AENJA_00656
OG0000059	AMPFI_10609	AENJA_09821, AENJA_10475
OG0000060	AMPFI_23758	AENJA_17233
OG0000060	AMPFI_20631	AENJA_00816
OG0000060	AMPFI_19643	AENJA_19748
OG0000060	AMPFI_25991, AMPFI_02716	AENJA_06413
OG0000062	AMPFI_15564, AMPFI_21603	AENJA_11363
OG0000062	AMPFI_06193	AENJA_09642
OG0000062	AMPFI_05434	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000062	AMPFI_22135	AENJA_11364
OG0000062	AMPFI_05111, AMPFI_02667	AENJA_03699
OG0000063	AMPFI_21664	AENJA_03789
