Orthogroup	AMPFI_ok	DROME
OG0000023	AMPFI_05765, AMPFI_01138, AMPFI_10312	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000026	AMPFI_09960, AMPFI_03858, AMPFI_13122	DROME19866, DROME19867
OG0000028	AMPFI_19162	DROME00133, DROME09421
OG0000028	AMPFI_04239	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	DROME19091
OG0000030	AMPFI_04928, AMPFI_02183	DROME12966
OG0000030	AMPFI_03176	DROME07429, DROME07428, DROME15149
OG0000031	AMPFI_06256	DROME19945
OG0000031	AMPFI_05075, AMPFI_10833	DROME05246
OG0000031	AMPFI_03768	DROME16481
OG0000032	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	DROME02386
OG0000032	AMPFI_03594	DROME01213
OG0000034	AMPFI_25310, AMPFI_04753	DROME20092, DROME20090, DROME20091
OG0000034	AMPFI_00398	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000035	AMPFI_17275	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	DROME19358, DROME19359
OG0000035	AMPFI_12878	DROME17164, DROME17163
OG0000035	AMPFI_24961	DROME18635
OG0000036	AMPFI_11948	DROME02324, DROME17378, DROME11305
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	DROME20717, DROME20716, DROME20719, DROME20718
OG0000039	AMPFI_20335, AMPFI_20685, AMPFI_03724	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	AMPFI_24657, AMPFI_06575, AMPFI_02741	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000044	AMPFI_10491, AMPFI_12455, AMPFI_02748	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	AMPFI_05987, AMPFI_21776, AMPFI_15551	DROME17013
OG0000045	AMPFI_25297	DROME00740, DROME05490, DROME00741, DROME00650
OG0000046	AMPFI_25804, AMPFI_24317	DROME12318, DROME12319
OG0000048	AMPFI_01185	DROME15626, DROME15625
OG0000048	AMPFI_17027, AMPFI_21987, AMPFI_06139, AMPFI_22758	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	AMPFI_08767	DROME01500
OG0000051	AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032	DROME06654, DROME06655
OG0000054	AMPFI_10274	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	AMPFI_00513, AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	DROME21992
OG0000055	AMPFI_18462, AMPFI_10980	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	AMPFI_18481	DROME14598
OG0000060	AMPFI_19643	DROME18201
OG0000060	AMPFI_19058	DROME02317, DROME02583, DROME02316
OG0000062	AMPFI_05434	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	AMPFI_21664	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000067	AMPFI_04770	DROME11908, DROME11924, DROME11927, DROME05633
OG0000068	AMPFI_11929, AMPFI_04870	DROME18366, DROME18368, DROME18367
OG0000068	AMPFI_11524, AMPFI_11523, AMPFI_24985, AMPFI_16312, AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166	DROME18209
OG0000069	AMPFI_08415	DROME03713
OG0000069	AMPFI_12140, AMPFI_20704, AMPFI_07178	DROME03718
OG0000072	AMPFI_20479	DROME12247, DROME12248
OG0000072	AMPFI_26076	DROME00154
OG0000072	AMPFI_21820	DROME00750
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	DROME03014
OG0000075	AMPFI_12462	DROME01374
OG0000075	AMPFI_03839	DROME01373
OG0000075	AMPFI_15829	DROME01375
OG0000077	AMPFI_08518	DROME18051
OG0000078	AMPFI_24840, AMPFI_23657, AMPFI_13938, AMPFI_22390	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000078	AMPFI_13696	DROME15695
OG0000079	AMPFI_09380	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	AMPFI_24805	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	AMPFI_06359, AMPFI_07521	DROME01298
OG0000082	AMPFI_21007	DROME20298
OG0000082	AMPFI_06890	DROME05998
OG0000082	AMPFI_15952, AMPFI_11015	DROME11174, DROME11173, DROME15008
OG0000085	AMPFI_09379	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	AMPFI_25819	DROME00999, DROME00998, DROME01000
OG0000085	AMPFI_04349	DROME10832, DROME10831
OG0000086	AMPFI_11751, AMPFI_07935, AMPFI_06308, AMPFI_21419	DROME14954
OG0000087	AMPFI_20352	DROME22088
OG0000087	AMPFI_08050	DROME06460
OG0000087	AMPFI_25175	DROME21450
OG0000087	AMPFI_09489, AMPFI_05588, AMPFI_13769	DROME03097
OG0000087	AMPFI_13389, AMPFI_05864, AMPFI_13768, AMPFI_08649	DROME08842
OG0000087	AMPFI_11171, AMPFI_18536, AMPFI_19662, AMPFI_19663	DROME09495
OG0000088	AMPFI_19709, AMPFI_17224, AMPFI_20465	DROME01198, DROME01197
OG0000089	AMPFI_00096	DROME18066, DROME18069, DROME12817
OG0000091	AMPFI_23875, AMPFI_17001, AMPFI_16503	DROME18437, DROME18438, DROME20481
OG0000094	AMPFI_02587, AMPFI_25694, AMPFI_04666	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	AMPFI_18905, AMPFI_06525	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000096	AMPFI_12180	DROME08195, DROME08196
OG0000096	AMPFI_22693	DROME08870
OG0000096	AMPFI_24766	DROME13163
OG0000096	AMPFI_09837	DROME06400
OG0000096	AMPFI_11230	DROME13915
OG0000098	AMPFI_07962, AMPFI_03629	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000100	AMPFI_17446, AMPFI_19874, AMPFI_01211, AMPFI_00447, AMPFI_04306	DROME10813
OG0000101	AMPFI_22686, AMPFI_04246	DROME17779
OG0000101	AMPFI_24234, AMPFI_14741, AMPFI_20349, AMPFI_14310, AMPFI_02729	DROME05458
OG0000103	AMPFI_21097	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	AMPFI_14148	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	AMPFI_11040	DROME16895, DROME16894
OG0000104	AMPFI_02710	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	AMPFI_20370	DROME17321, DROME17322
OG0000106	AMPFI_02407, AMPFI_14321	DROME02609
OG0000106	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000113	AMPFI_03282	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000113	AMPFI_01561	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	AMPFI_03529	DROME04013, DROME04512, DROME04513
OG0000116	AMPFI_12986	DROME05231
OG0000117	AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845	DROME17123
OG0000119	AMPFI_25431	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	AMPFI_07345, AMPFI_07307	DROME21220, DROME21219
OG0000119	AMPFI_24152	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	AMPFI_15831	DROME00669, DROME11520, DROME01716, DROME13340, DROME11519, DROME11518, DROME00703, DROME01785
OG0000120	AMPFI_16828, AMPFI_02660, AMPFI_04611	DROME00660
OG0000120	AMPFI_01268	DROME04710
OG0000121	AMPFI_05928	DROME10532
OG0000122	AMPFI_13850, AMPFI_04566, AMPFI_20620	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	AMPFI_09948, AMPFI_21733	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000123	AMPFI_11014	DROME17732, DROME17730, DROME17731
OG0000124	AMPFI_24111	DROME17463
OG0000124	AMPFI_07499, AMPFI_07500	DROME08713, DROME09900
OG0000124	AMPFI_02885	DROME21734
OG0000125	AMPFI_12865	DROME04039, DROME04040, DROME04038
OG0000126	AMPFI_13551	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	AMPFI_06519	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	AMPFI_19042	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	AMPFI_11705	DROME11205, DROME11204
OG0000127	AMPFI_13476	DROME08158
OG0000127	AMPFI_18794	DROME05986
OG0000131	AMPFI_01527, AMPFI_14039, AMPFI_21381	DROME18073, DROME18075, DROME18074
OG0000132	AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305	DROME07188
OG0000144	AMPFI_25240, AMPFI_18617, AMPFI_12964, AMPFI_03511, AMPFI_04193	DROME21183
OG0000147	AMPFI_00036, AMPFI_00137	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	AMPFI_25058	DROME03466
OG0000147	AMPFI_22384, AMPFI_01359, AMPFI_18115	DROME17452, DROME17451
OG0000148	AMPFI_23558	DROME19762, DROME19761, DROME19763
OG0000148	AMPFI_06814	DROME12939
OG0000149	AMPFI_19578, AMPFI_11805	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000155	AMPFI_11674	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	AMPFI_07870	DROME05618, DROME05617, DROME05616
OG0000157	AMPFI_18508	DROME09786
OG0000159	AMPFI_09235	DROME09571, DROME09570
OG0000163	AMPFI_08892	DROME02805
OG0000163	AMPFI_22798	DROME21614
OG0000163	AMPFI_03655, AMPFI_02815, AMPFI_05576	DROME12520
OG0000163	AMPFI_01484	DROME07955
OG0000163	AMPFI_15100	DROME00819
OG0000164	AMPFI_18140	DROME13554, DROME13556, DROME13557, DROME13558, DROME13555, DROME13562, DROME13560, DROME14237, DROME13430, DROME13559, DROME14238, DROME13561
OG0000165	AMPFI_20099	DROME15840, DROME15841
OG0000167	AMPFI_07356	DROME04018, DROME04019
OG0000168	AMPFI_22221	DROME00156, DROME00157
OG0000168	AMPFI_03245, AMPFI_18586, AMPFI_18585, AMPFI_17991	DROME01783
OG0000170	AMPFI_24769	DROME01350
OG0000171	AMPFI_16514	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	AMPFI_03980, AMPFI_17322	DROME05153, DROME05152, DROME05600, DROME14157, DROME11999, DROME15739, DROME15740, DROME07019, DROME09308
OG0000173	AMPFI_14468	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000175	AMPFI_13786	DROME03593, DROME00840
OG0000179	AMPFI_12504	DROME11221, DROME21050
OG0000179	AMPFI_16964	DROME07796
OG0000179	AMPFI_00481	DROME10428
OG0000181	AMPFI_12882	DROME06226
OG0000182	AMPFI_15057	DROME05590
OG0000183	AMPFI_14083	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	AMPFI_23760	DROME07197
OG0000183	AMPFI_03468	DROME07008
OG0000185	AMPFI_20184	DROME11667, DROME11668
OG0000186	AMPFI_18026	DROME04472
OG0000186	AMPFI_23623	DROME05503, DROME05502
OG0000188	AMPFI_08253	DROME16886, DROME16887
OG0000192	AMPFI_22080	DROME21955, DROME21954, DROME21953, DROME11894
OG0000193	AMPFI_04703, AMPFI_20306	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981
OG0000195	AMPFI_05326	DROME10558, DROME10557, DROME10559, DROME09087
OG0000197	AMPFI_14260	DROME14335, DROME14334, DROME14336
OG0000198	AMPFI_24261	DROME17687
OG0000200	AMPFI_21951, AMPFI_14281, AMPFI_19553	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	AMPFI_03122, AMPFI_19654	DROME11047
OG0000201	AMPFI_01733	DROME18513, DROME18512, DROME18511, DROME18514
OG0000202	AMPFI_02277	DROME14920, DROME14921
OG0000203	AMPFI_20814	DROME03275
OG0000204	AMPFI_18110	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808
OG0000204	AMPFI_16653, AMPFI_14128, AMPFI_06859	DROME10849, DROME10848
OG0000205	AMPFI_19091	DROME06842, DROME06843
OG0000207	AMPFI_08635, AMPFI_15520	DROME06000
OG0000208	AMPFI_04187	DROME02132
OG0000210	AMPFI_21005	DROME14047, DROME11376
OG0000211	AMPFI_21968	DROME21074, DROME21072, DROME21073, DROME21071
OG0000222	AMPFI_16387, AMPFI_05918, AMPFI_03073	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
OG0000223	AMPFI_09693	DROME10256
OG0000225	AMPFI_24201, AMPFI_00311	DROME11929
OG0000226	AMPFI_19055, AMPFI_20488, AMPFI_21777, AMPFI_11732, AMPFI_11731	DROME14660
OG0000226	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354	DROME15107, DROME15108, DROME15106, DROME15105
OG0000227	AMPFI_00331	DROME20242
OG0000227	AMPFI_12350	DROME06362, DROME06368, DROME06369, DROME06365
OG0000227	AMPFI_07507	DROME04927, DROME04926
OG0000229	AMPFI_00048, AMPFI_01094, AMPFI_20318, AMPFI_25621, AMPFI_04986, AMPFI_25120, AMPFI_24951, AMPFI_03165, AMPFI_19975, AMPFI_05764, AMPFI_10072, AMPFI_24212, AMPFI_15142, AMPFI_19973, AMPFI_16169, AMPFI_17069, AMPFI_03077	DROME04047
OG0000230	AMPFI_14811	DROME03186
OG0000230	AMPFI_12942, AMPFI_01408, AMPFI_23078, AMPFI_19504	DROME09028, DROME09029
OG0000231	AMPFI_03284	DROME20855, DROME20857, DROME20856, DROME20854
OG0000231	AMPFI_01759	DROME07628, DROME07629
OG0000231	AMPFI_02162	DROME20858
OG0000232	AMPFI_11808, AMPFI_10141	DROME10139
OG0000234	AMPFI_09748	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143
OG0000234	AMPFI_05768	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365
OG0000235	AMPFI_22306	DROME11735
OG0000236	AMPFI_19570	DROME03355
OG0000236	AMPFI_25372, AMPFI_15559, AMPFI_23568, AMPFI_05672	DROME12102, DROME12101, DROME12103, DROME12096, DROME12097, DROME12095, DROME12094, DROME12092, DROME12100, DROME12099, DROME12098, DROME12093
OG0000238	AMPFI_08132	DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033
OG0000239	AMPFI_07816	DROME05270, DROME05269, DROME05271, DROME05268
OG0000239	AMPFI_20472	DROME03549, DROME03548, DROME03550, DROME03551
OG0000240	AMPFI_05219, AMPFI_05218	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862
OG0000242	AMPFI_10835, AMPFI_24613	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265
OG0000243	AMPFI_02124	DROME04743, DROME04742, DROME04744
OG0000245	AMPFI_10648	DROME16573, DROME16572, DROME16571, DROME16570, DROME16517, DROME16515, DROME16518, DROME16516, DROME16514
OG0000246	AMPFI_20200	DROME13185, DROME13186, DROME13188, DROME13187
OG0000248	AMPFI_08134, AMPFI_21352	DROME01997, DROME05927, DROME05926, DROME05929, DROME05928
OG0000249	AMPFI_14226, AMPFI_11149	DROME06506, DROME06505, DROME06488, DROME06489, DROME06490
OG0000250	AMPFI_07242	DROME14382
OG0000250	AMPFI_05967	DROME11256, DROME11255, DROME11257
OG0000251	AMPFI_03175	DROME21783
OG0000251	AMPFI_14822	DROME19364, DROME15998, DROME15997
OG0000255	AMPFI_21142	DROME15943
OG0000255	AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948	DROME20722, DROME05791, DROME18596
OG0000256	AMPFI_08473	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058
OG0000257	AMPFI_01061	DROME12936
OG0000258	AMPFI_24588, AMPFI_21660	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594
OG0000258	AMPFI_11627	DROME20383
OG0000260	AMPFI_24181	DROME17607, DROME17608, DROME17606
OG0000260	AMPFI_02009, AMPFI_19737, AMPFI_00148, AMPFI_22181	DROME16635, DROME16636
OG0000265	AMPFI_11224	DROME00452
OG0000268	AMPFI_23943	DROME00943, DROME00944
OG0000270	AMPFI_19866	DROME17877, DROME17878, DROME17879
OG0000270	AMPFI_18262	DROME14671, DROME14672, DROME14673, DROME14674
OG0000271	AMPFI_22718, AMPFI_16033, AMPFI_22428, AMPFI_00241, AMPFI_16165, AMPFI_13367	DROME19668, DROME19667
OG0000271	AMPFI_21553	DROME03592
OG0000272	AMPFI_21855	DROME15587, DROME15589, DROME15586, DROME15588
OG0000272	AMPFI_20114	DROME05031, DROME05029, DROME05030
OG0000273	AMPFI_11471	DROME09248, DROME09247, DROME10822, DROME20533
OG0000273	AMPFI_01958	DROME11374, DROME11373
OG0000273	AMPFI_06629	DROME08809, DROME08810
OG0000273	AMPFI_05763	DROME18369
OG0000274	AMPFI_01746, AMPFI_23522, AMPFI_21347	DROME03975, DROME03976, DROME03972, DROME03974, DROME03973, DROME17174, DROME21409
OG0000274	AMPFI_20748	DROME01792
OG0000277	AMPFI_09153	DROME03338, DROME03337, DROME03339, DROME03340, DROME03341, DROME03342
OG0000277	AMPFI_19405, AMPFI_04428	DROME03640, DROME03639, DROME21210, DROME21209, DROME08160
OG0000278	AMPFI_20031	DROME19394, DROME09269, DROME19393
OG0000278	AMPFI_23155	DROME00752
OG0000278	AMPFI_11370	DROME02023
OG0000278	AMPFI_25739, AMPFI_15284	DROME03254
OG0000280	AMPFI_17296	DROME18032
OG0000282	AMPFI_11943, AMPFI_24461	DROME05714
OG0000282	AMPFI_00662	DROME11686
OG0000284	AMPFI_12259, AMPFI_25463	DROME17657
OG0000284	AMPFI_25872, AMPFI_11998	DROME09381, DROME09382
OG0000285	AMPFI_21903, AMPFI_16083, AMPFI_21667, AMPFI_04957, AMPFI_19148	DROME00993
OG0000289	AMPFI_17606	DROME14029, DROME14030, DROME14032, DROME14033, DROME16652, DROME14031, DROME07017, DROME07018, DROME16470, DROME04966, DROME16392, DROME16393, DROME16389, DROME16394, DROME13607, DROME12960, DROME12961, DROME12959, DROME12962
OG0000289	AMPFI_16478	DROME10658, DROME10659
OG0000296	AMPFI_07491	DROME17565, DROME17564, DROME17562, DROME17563
OG0000296	AMPFI_21136, AMPFI_23948	DROME19290, DROME19291
OG0000299	AMPFI_23716	DROME07127, DROME07124, DROME07123
OG0000301	AMPFI_01248	DROME01100, DROME01102, DROME01101
OG0000301	AMPFI_07549	DROME18912, DROME14231, DROME14230
OG0000302	AMPFI_16244, AMPFI_21244	DROME10773, DROME10774, DROME10775, DROME06441
OG0000305	AMPFI_02684	DROME05696, DROME05695, DROME05694, DROME14843, DROME05690, DROME05691, DROME05692
OG0000306	AMPFI_01092, AMPFI_20442	DROME18377, DROME18374, DROME18379, DROME18378, DROME18380, DROME18375, DROME18381, DROME18376
OG0000308	AMPFI_01977, AMPFI_20295	DROME05159
OG0000308	AMPFI_18028	DROME12865
OG0000310	AMPFI_04405, AMPFI_23833, AMPFI_19988, AMPFI_23309, AMPFI_01493, AMPFI_07855, AMPFI_05017	DROME16770
OG0000312	AMPFI_07712	DROME07843, DROME07844, DROME07846, DROME07845
OG0000312	AMPFI_20772	DROME16932
OG0000312	AMPFI_21121	DROME10814, DROME10815
OG0000313	AMPFI_05659	DROME15510
OG0000313	AMPFI_25204	DROME02549, DROME02550
OG0000313	AMPFI_24408	DROME21546
OG0000314	AMPFI_01491	DROME06444
OG0000314	AMPFI_19303	DROME09997, DROME09992, DROME09995, DROME09999, DROME09991, DROME09996, DROME09998, DROME10001, DROME09993, DROME10000, DROME09994
OG0000315	AMPFI_07490	DROME06438, DROME06439, DROME06437
OG0000316	AMPFI_19051	DROME10369
OG0000316	AMPFI_17678	DROME07384
OG0000316	AMPFI_12328	DROME19451, DROME19452
OG0000317	AMPFI_14578	DROME12241
OG0000321	AMPFI_01151	DROME05701, DROME05702
OG0000321	AMPFI_13886	DROME13031
OG0000322	AMPFI_07075	DROME08429
OG0000323	AMPFI_16959, AMPFI_12290	DROME18717, DROME18722, DROME18719, DROME18716, DROME18712, DROME18721, DROME18718, DROME18714, DROME18715, DROME18723, DROME18720, DROME18713
