Orthogroup	AMPFI_ok	HUMAN
OG0000008	AMPFI_03619	HUMAN14538, HUMAN01095
OG0000008	AMPFI_18464	HUMAN29311, HUMAN29312
OG0000010	AMPFI_14170	HUMAN06424, HUMAN00318, HUMAN00317, HUMAN00316, HUMAN00439, HUMAN00440, HUMAN00441, HUMAN11412, HUMAN11410, HUMAN11411, HUMAN11268
OG0000010	AMPFI_04353	HUMAN18382
OG0000011	AMPFI_20107	HUMAN08916
OG0000012	AMPFI_05035, AMPFI_18913	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	AMPFI_16130	HUMAN11191
OG0000013	AMPFI_13640	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	AMPFI_05504, AMPFI_16319	HUMAN11875, HUMAN11876, HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309, HUMAN03416, HUMAN01394
OG0000014	AMPFI_18330	HUMAN18336, HUMAN03159
OG0000014	AMPFI_16339	HUMAN25476, HUMAN30053
OG0000015	AMPFI_23995	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	AMPFI_14639	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939	HUMAN07767
OG0000016	AMPFI_06248	HUMAN25103
OG0000016	AMPFI_18220	HUMAN25104
OG0000019	AMPFI_01264, AMPFI_06523	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	AMPFI_03780	HUMAN22980
OG0000020	AMPFI_07852	HUMAN22329, HUMAN20815, HUMAN12659, HUMAN17841
OG0000020	AMPFI_03773	HUMAN26061
OG0000020	AMPFI_19334	HUMAN08344
OG0000020	AMPFI_23773	HUMAN00926
OG0000020	AMPFI_11019	HUMAN02350, HUMAN02349
OG0000020	AMPFI_06907	HUMAN17840
OG0000020	AMPFI_24792	HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	AMPFI_07932	HUMAN02145
OG0000020	AMPFI_12343	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	AMPFI_25813	HUMAN00010
OG0000020	AMPFI_21494	HUMAN23847
OG0000020	AMPFI_07388	HUMAN22639
OG0000020	AMPFI_13969	HUMAN20816
OG0000021	AMPFI_08825	HUMAN20539, HUMAN05765, HUMAN05766, HUMAN20499
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	HUMAN04273, HUMAN30251
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	AMPFI_05477	HUMAN03767
OG0000023	AMPFI_11289, AMPFI_18034	HUMAN05402
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	AMPFI_11290	HUMAN11130
OG0000026	AMPFI_12171	HUMAN00402
OG0000026	AMPFI_08394, AMPFI_03099, AMPFI_18185, AMPFI_25697, AMPFI_04674, AMPFI_24667, AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391	HUMAN16545
OG0000026	AMPFI_01077, AMPFI_16904	HUMAN07669, HUMAN21745
OG0000026	AMPFI_17661, AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	HUMAN26724, HUMAN26725
OG0000028	AMPFI_19162	HUMAN22344, HUMAN03982, HUMAN09209
OG0000029	AMPFI_24572, AMPFI_17682, AMPFI_23832	HUMAN15611
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000030	AMPFI_02183	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	AMPFI_03176	HUMAN01740, HUMAN28679
OG0000031	AMPFI_06256	HUMAN17850
OG0000031	AMPFI_14304	HUMAN26043
OG0000031	AMPFI_01333	HUMAN26979, HUMAN14235
OG0000031	AMPFI_05075	HUMAN14922, HUMAN14786
OG0000031	AMPFI_10833	HUMAN07726, HUMAN22322
OG0000031	AMPFI_02985	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	AMPFI_03594	HUMAN19258
OG0000032	AMPFI_03370	HUMAN23633, HUMAN23632
OG0000034	AMPFI_19171	HUMAN07187
OG0000034	AMPFI_04753	HUMAN11672, HUMAN11673
OG0000034	AMPFI_00398	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000035	AMPFI_17275	HUMAN06576
OG0000035	AMPFI_20705	HUMAN09866
OG0000035	AMPFI_13261	HUMAN06191, HUMAN03898
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	AMPFI_12878	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	AMPFI_11303	HUMAN04383
OG0000035	AMPFI_24961	HUMAN06190
OG0000036	AMPFI_11948	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	AMPFI_06932	HUMAN11289
OG0000036	AMPFI_14775, AMPFI_19912	HUMAN22872
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	HUMAN27983, HUMAN15223
OG0000037	AMPFI_11581	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	AMPFI_25668	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000038	AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006	HUMAN18259
OG0000038	AMPFI_03880	HUMAN18258
OG0000038	AMPFI_11821, AMPFI_12065	HUMAN19701
OG0000039	AMPFI_15658	HUMAN29023
OG0000039	AMPFI_14066	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450, HUMAN02444
OG0000039	AMPFI_20335, AMPFI_20685, AMPFI_03724	HUMAN13199
OG0000040	AMPFI_24657	HUMAN26646, HUMAN26642
OG0000040	AMPFI_02741	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000044	AMPFI_13059	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	AMPFI_10491	HUMAN22417, HUMAN24391, HUMAN07519
OG0000044	AMPFI_12455	HUMAN07517
OG0000044	AMPFI_22026, AMPFI_08823, AMPFI_04139	HUMAN24293
OG0000046	AMPFI_02275, AMPFI_17068	HUMAN23116
OG0000046	AMPFI_00292	HUMAN29094
OG0000047	AMPFI_23686	HUMAN22761
OG0000048	AMPFI_22758	HUMAN16328
OG0000048	AMPFI_10591, AMPFI_13556	HUMAN16644
OG0000048	AMPFI_08767	HUMAN11449
OG0000049	AMPFI_21057	HUMAN26913
OG0000051	AMPFI_25569	HUMAN22678
OG0000051	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	AMPFI_10274	HUMAN23119
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000056	AMPFI_10015	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	AMPFI_13952, AMPFI_00302	HUMAN14865
OG0000057	AMPFI_01580, AMPFI_02256	HUMAN23569, HUMAN10014
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	HUMAN29650
OG0000058	AMPFI_18481	HUMAN17378, HUMAN03592
OG0000060	AMPFI_23758	HUMAN25284
OG0000060	AMPFI_20631	HUMAN24595, HUMAN24596, HUMAN24599, HUMAN24598, HUMAN24597
OG0000062	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	AMPFI_05434	HUMAN25285
OG0000063	AMPFI_21664	HUMAN21099
OG0000063	AMPFI_25718, AMPFI_20407, AMPFI_07613	HUMAN00859, HUMAN28501
OG0000066	AMPFI_09400	HUMAN29798
OG0000067	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999	HUMAN24070, HUMAN22809
OG0000068	AMPFI_02504	HUMAN26983
OG0000068	AMPFI_04870	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933
OG0000068	AMPFI_25645	HUMAN20381
OG0000069	AMPFI_12140, AMPFI_20704, AMPFI_07178	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000072	AMPFI_26076	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	AMPFI_21820	HUMAN22852
OG0000073	AMPFI_10119	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	AMPFI_19576	HUMAN09283
OG0000074	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296	HUMAN15238, HUMAN13822
OG0000075	AMPFI_17345, AMPFI_17344	HUMAN12839, HUMAN02593
OG0000075	AMPFI_12462	HUMAN18233
OG0000075	AMPFI_03839	HUMAN06329
OG0000075	AMPFI_10510	HUMAN00444
OG0000075	AMPFI_15829	HUMAN18234, HUMAN06328
OG0000075	AMPFI_15139	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	AMPFI_15917	HUMAN05783, HUMAN21047
OG0000075	AMPFI_17574	HUMAN26884
OG0000078	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	AMPFI_09380	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	AMPFI_24805	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	AMPFI_06359, AMPFI_07521	HUMAN14208
OG0000082	AMPFI_21007	HUMAN29167
OG0000082	AMPFI_06890	HUMAN23869
OG0000082	AMPFI_13856	HUMAN23871
OG0000085	AMPFI_20771	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	AMPFI_09379	HUMAN13119, HUMAN07215
OG0000085	AMPFI_25819	HUMAN26172
OG0000085	AMPFI_04349	HUMAN25832
OG0000087	AMPFI_08050	HUMAN11957
OG0000087	AMPFI_01947	HUMAN02557
OG0000087	AMPFI_07196	HUMAN21001
OG0000087	AMPFI_09489, AMPFI_05588, AMPFI_13769	HUMAN18010
OG0000087	AMPFI_08649	HUMAN21063
OG0000087	AMPFI_11171	HUMAN10659
OG0000088	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	AMPFI_21827	HUMAN21235
OG0000089	AMPFI_00096	HUMAN25675
OG0000094	AMPFI_02587	HUMAN14813
OG0000094	AMPFI_04666	HUMAN21040
OG0000094	AMPFI_18905, AMPFI_06525	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	AMPFI_12180	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	AMPFI_22693	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	AMPFI_24766	HUMAN27289
OG0000096	AMPFI_09837	HUMAN13889, HUMAN01832
OG0000096	AMPFI_11230	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	AMPFI_25309	HUMAN21561
OG0000098	AMPFI_13259, AMPFI_24967	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	AMPFI_07962, AMPFI_03629	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000101	AMPFI_17596, AMPFI_21293	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	AMPFI_14310, AMPFI_02729	HUMAN22036, HUMAN22037
OG0000101	AMPFI_08160	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	AMPFI_04172, AMPFI_16803	HUMAN08946, HUMAN02473
OG0000103	AMPFI_21097	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	AMPFI_14148	HUMAN05724, HUMAN19523
OG0000104	AMPFI_11040	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	AMPFI_02710	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	AMPFI_20370	HUMAN19373
OG0000104	AMPFI_08614	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	AMPFI_02407, AMPFI_14321	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	HUMAN01589, HUMAN09602
OG0000107	AMPFI_13094	HUMAN24661
OG0000108	AMPFI_15531	HUMAN21927, HUMAN07479, HUMAN07482, HUMAN05619, HUMAN00450
OG0000108	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071	HUMAN12801, HUMAN02912, HUMAN06356, HUMAN17551
OG0000113	AMPFI_03282	HUMAN00919
OG0000114	AMPFI_03529	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000116	AMPFI_12986	HUMAN18678
OG0000117	AMPFI_05731, AMPFI_15869, AMPFI_04658	HUMAN04356, HUMAN04357
OG0000117	AMPFI_16640	HUMAN14532
OG0000117	AMPFI_18184	HUMAN14531
OG0000119	AMPFI_25431	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	AMPFI_07345, AMPFI_07307	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	AMPFI_24152	HUMAN17940, HUMAN20669
OG0000119	AMPFI_09636, AMPFI_09635	HUMAN06569
OG0000120	AMPFI_15831	HUMAN29071, HUMAN29070
OG0000121	AMPFI_02289, AMPFI_15541	HUMAN22782
OG0000121	AMPFI_04429	HUMAN14877
OG0000121	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340	HUMAN18067
OG0000122	AMPFI_13850, AMPFI_04566, AMPFI_20620	HUMAN12772, HUMAN27264, HUMAN18288
OG0000122	AMPFI_09948	HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000123	AMPFI_23454	HUMAN03664, HUMAN27696, HUMAN24043
OG0000123	AMPFI_03553	HUMAN24256
OG0000124	AMPFI_24111	HUMAN03991
OG0000124	AMPFI_02885	HUMAN00442, HUMAN00443
OG0000124	AMPFI_01689	HUMAN09305, HUMAN02618
OG0000125	AMPFI_03211	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480
OG0000125	AMPFI_16776	HUMAN20598, HUMAN20599, HUMAN12556
OG0000125	AMPFI_12865	HUMAN04438, HUMAN04439, HUMAN16073
OG0000126	AMPFI_13551	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	AMPFI_06519	HUMAN07493, HUMAN22359
OG0000126	AMPFI_19042	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	AMPFI_23284	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	AMPFI_11705	HUMAN21549, HUMAN07766
OG0000127	AMPFI_13476	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	AMPFI_18794	HUMAN27422, HUMAN19318
OG0000128	AMPFI_00795	HUMAN04482, HUMAN05330, HUMAN05329
OG0000128	AMPFI_16622, AMPFI_18803, AMPFI_04850	HUMAN21997
OG0000129	AMPFI_15379	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	AMPFI_05870	HUMAN05233, HUMAN30228
OG0000130	AMPFI_19363	HUMAN26940, HUMAN21484
OG0000131	AMPFI_01527, AMPFI_14039, AMPFI_21381	HUMAN19899
OG0000132	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601
OG0000132	AMPFI_25895	HUMAN20126
OG0000133	AMPFI_00173	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244
OG0000137	AMPFI_02989	HUMAN13481
OG0000137	AMPFI_12246	HUMAN25150, HUMAN25149
OG0000139	AMPFI_23602, AMPFI_03549	HUMAN26414
OG0000141	AMPFI_07634, AMPFI_00765, AMPFI_18896	HUMAN27964, HUMAN30567
OG0000145	AMPFI_23097	HUMAN15368
OG0000147	AMPFI_01784, AMPFI_00036, AMPFI_00137	HUMAN24559, HUMAN27635
OG0000147	AMPFI_25058	HUMAN02299
OG0000147	AMPFI_22384	HUMAN18714, HUMAN18712
OG0000148	AMPFI_23558	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389
OG0000148	AMPFI_06814	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229
OG0000148	AMPFI_00060	HUMAN06230
OG0000149	AMPFI_19578, AMPFI_11805	HUMAN10034, HUMAN23690
OG0000151	AMPFI_12292	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320
OG0000151	AMPFI_07369, AMPFI_13120	HUMAN26562, HUMAN12958, HUMAN06281, HUMAN17972, HUMAN17973
OG0000153	AMPFI_16848, AMPFI_17135	HUMAN26709, HUMAN15537
OG0000155	AMPFI_11674	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771
OG0000157	AMPFI_07870	HUMAN28808, HUMAN14307
OG0000159	AMPFI_14640	HUMAN27903
OG0000159	AMPFI_09235	HUMAN25418
OG0000159	AMPFI_11148	HUMAN04389, HUMAN23217, HUMAN11668
OG0000160	AMPFI_10740	HUMAN18884, HUMAN18883
OG0000163	AMPFI_03655	HUMAN20181, HUMAN13484
OG0000163	AMPFI_02815	HUMAN13482, HUMAN13483
OG0000163	AMPFI_01484	HUMAN13485, HUMAN13486, HUMAN20190
OG0000163	AMPFI_15100	HUMAN12888, HUMAN06524, HUMAN26092
OG0000165	AMPFI_20099	HUMAN22846, HUMAN23999, HUMAN27465, HUMAN07472, HUMAN30066, HUMAN05822, HUMAN05073, HUMAN22589, HUMAN05074, HUMAN09475, HUMAN23325, HUMAN14142, HUMAN30404, HUMAN30403, HUMAN30402, HUMAN11922, HUMAN21957, HUMAN07815, HUMAN07814
OG0000166	AMPFI_20566	HUMAN10732
OG0000167	AMPFI_21928	HUMAN00657, HUMAN00658
OG0000168	AMPFI_17580, AMPFI_14464	HUMAN04351
OG0000168	AMPFI_03245, AMPFI_18586, AMPFI_18585	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467
OG0000168	AMPFI_17991	HUMAN04352
OG0000171	AMPFI_21332	HUMAN26251, HUMAN03748, HUMAN18622, HUMAN03747
OG0000171	AMPFI_03812, AMPFI_02526	HUMAN26252
OG0000171	AMPFI_16514	HUMAN23027
OG0000172	AMPFI_14014	HUMAN06695, HUMAN06696, HUMAN18231, HUMAN17598
OG0000173	AMPFI_14468	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381
OG0000174	AMPFI_12146	HUMAN28400, HUMAN02927
OG0000174	AMPFI_25103	HUMAN27541, HUMAN27540, HUMAN22731
OG0000175	AMPFI_13786	HUMAN27918, HUMAN27828, HUMAN27827
OG0000179	AMPFI_12504	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338
OG0000179	AMPFI_16964	HUMAN23712, HUMAN09621
OG0000179	AMPFI_00481	HUMAN22996, HUMAN17836
OG0000181	AMPFI_08987, AMPFI_15077, AMPFI_13877	HUMAN06326
OG0000181	AMPFI_12882	HUMAN08369
OG0000182	AMPFI_21714	HUMAN03114
OG0000183	AMPFI_14083	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522
OG0000183	AMPFI_03468	HUMAN05532
OG0000184	AMPFI_03874, AMPFI_09399, AMPFI_14819	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543
OG0000186	AMPFI_23623	HUMAN15852, HUMAN16941, HUMAN08784, HUMAN16942
OG0000188	AMPFI_08253	HUMAN27535, HUMAN03482, HUMAN23029
OG0000190	AMPFI_22113	HUMAN01178, HUMAN29208, HUMAN01179, HUMAN29207
OG0000191	AMPFI_16167	HUMAN28068
OG0000192	AMPFI_10868	HUMAN01281, HUMAN28989, HUMAN14173
OG0000192	AMPFI_03281	HUMAN10321
OG0000193	AMPFI_04703, AMPFI_20306	HUMAN05474
OG0000194	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276
OG0000195	AMPFI_05326	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624
OG0000197	AMPFI_00635, AMPFI_18783, AMPFI_00480	HUMAN09888, HUMAN01887, HUMAN09887
