Orthogroup	AMPFI_ok	OWEFU
OG0000013	AMPFI_13640	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	AMPFI_10576, AMPFI_00293, AMPFI_03918, AMPFI_12155, AMPFI_04680, AMPFI_21375, AMPFI_08000, AMPFI_07725, AMPFI_05504, AMPFI_16319	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	AMPFI_25378	OFUSG01558.1.p1
OG0000014	AMPFI_16339	OFUSG00805.1.p1
OG0000014	AMPFI_21256, AMPFI_03968	OFUSG25832.1.p1
OG0000015	AMPFI_23995	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000016	AMPFI_14639	OFUSG16773.1.p1
OG0000016	AMPFI_25432	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	AMPFI_20923	OFUSG13895.1.p1
OG0000016	AMPFI_06248	OFUSG11848.1.p1
OG0000016	AMPFI_18220	OFUSG06227.1.p1
OG0000016	AMPFI_11532, AMPFI_08754, AMPFI_20588, AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144, AMPFI_11545	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463	OFUSG14111.1.p3
OG0000019	AMPFI_10151	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	AMPFI_16723	OFUSG08823.1.p1
OG0000019	AMPFI_01636	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	AMPFI_01264, AMPFI_06523	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	AMPFI_03780	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	AMPFI_01847	OFUSG13197.1.p1
OG0000020	AMPFI_07852	OFUSG19131.1.p1
OG0000020	AMPFI_11933, AMPFI_06907, AMPFI_24792	OFUSG13406.1.p1
OG0000021	AMPFI_08825	OFUSG03663.1.p1
OG0000021	AMPFI_12629	OFUSG13532.1.p1, OFUSG13532.2.p1
OG0000021	AMPFI_24454	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	AMPFI_05477	OFUSG06069.1.p1
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	AMPFI_05765, AMPFI_01138, AMPFI_10312, AMPFI_05031	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	AMPFI_12171	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1
OG0000026	AMPFI_01870, AMPFI_14564, AMPFI_11288, AMPFI_23391	OFUSG10470.1.p1, OFUSG09501.1.p1
OG0000026	AMPFI_09960, AMPFI_03858, AMPFI_13122	OFUSG02601.1.p1, OFUSG19536.1.p1, OFUSG02974.1.p1
OG0000026	AMPFI_18636, AMPFI_08031	OFUSG24598.1.p1
OG0000026	AMPFI_01077, AMPFI_16904	OFUSG26427.1.p1
OG0000026	AMPFI_00850	OFUSG12516.1.p1, OFUSG26867.1.p1
OG0000026	AMPFI_12169, AMPFI_25654, AMPFI_23954, AMPFI_09282	OFUSG00817.1.p1
OG0000026	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957	OFUSG24229.1.p1, OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000028	AMPFI_13515, AMPFI_15765, AMPFI_17182	OFUSG08406.1.p1, OFUSG07639.1.p1
OG0000028	AMPFI_19162	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	AMPFI_06024	OFUSG10528.2.p1, OFUSG10528.1.p1
OG0000028	AMPFI_04239	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000029	AMPFI_24572, AMPFI_17682, AMPFI_23832	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1
OG0000029	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000029	AMPFI_05500	OFUSG21155.1.p1
OG0000029	AMPFI_24440	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1
OG0000030	AMPFI_02183	OFUSG16143.1.p1
OG0000030	AMPFI_03176	OFUSG05961.1.p1, OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1, OFUSG07789.1.p1, OFUSG07787.1.p1, OFUSG04213.1.p1
OG0000031	AMPFI_14371, AMPFI_13166	OFUSG02441.1.p1
OG0000031	AMPFI_13279, AMPFI_01755, AMPFI_10718, AMPFI_14435, AMPFI_16606	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	AMPFI_06256	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	AMPFI_14304	OFUSG03938.1.p1
OG0000031	AMPFI_10484	OFUSG09754.1.p1
OG0000031	AMPFI_01333	OFUSG12627.1.p1
OG0000031	AMPFI_05075	OFUSG17671.1.p1
OG0000031	AMPFI_02985	OFUSG16797.1.p1
OG0000032	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	AMPFI_03594	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000032	AMPFI_03370	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	AMPFI_04753	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	AMPFI_00398	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000035	AMPFI_17275	OFUSG16461.1.p1
OG0000035	AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566	OFUSG07703.1.p1
OG0000035	AMPFI_20705	OFUSG09470.1.p1
OG0000035	AMPFI_13261	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	AMPFI_07620, AMPFI_08859, AMPFI_16822	OFUSG07851.1.p1
OG0000035	AMPFI_12878	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	AMPFI_13349, AMPFI_11303	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	AMPFI_11948	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	AMPFI_06932, AMPFI_06864, AMPFI_10500, AMPFI_14775, AMPFI_19912	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411	OFUSG05272.1.p1
OG0000037	AMPFI_11581	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	AMPFI_25668	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000038	AMPFI_07219	OFUSG15211.1.p1
OG0000038	AMPFI_03880	OFUSG04771.1.p1
OG0000039	AMPFI_23863	OFUSG02549.1.p1, OFUSG13134.1.p1
OG0000039	AMPFI_15658	OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1
OG0000039	AMPFI_25847, AMPFI_16323	OFUSG04852.1.p1, OFUSG04321.1.p1
OG0000039	AMPFI_01199	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1
OG0000039	AMPFI_17373	OFUSG11857.1.p1
OG0000039	AMPFI_20335, AMPFI_20685, AMPFI_03724	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000043	AMPFI_13817	OFUSG22688.1.p1
OG0000044	AMPFI_10491, AMPFI_12455, AMPFI_02748	OFUSG03166.1.p1
OG0000044	AMPFI_18408	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000044	AMPFI_11648, AMPFI_01511	OFUSG10029.1.p1
OG0000044	AMPFI_15551	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1
OG0000045	AMPFI_24368	OFUSG07521.1.p1
OG0000045	AMPFI_25297	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
OG0000046	AMPFI_25804, AMPFI_24317	OFUSG01015.1.p1, OFUSG26772.1.p1, OFUSG12279.1.p1
OG0000046	AMPFI_00292	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
OG0000048	AMPFI_07263	OFUSG15815.1.p1
OG0000048	AMPFI_06745	OFUSG15705.1.p1
OG0000048	AMPFI_01185	OFUSG19541.1.p1
OG0000048	AMPFI_17027, AMPFI_21987, AMPFI_06139	OFUSG11584.1.p1
OG0000048	AMPFI_22758	OFUSG11587.1.p1
OG0000048	AMPFI_10591	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1
OG0000048	AMPFI_08767	OFUSG04756.1.p1
OG0000049	AMPFI_21732	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1
OG0000049	AMPFI_05869	OFUSG19056.1.p1, OFUSG22443.1.p1
OG0000050	AMPFI_15208	OFUSG09384.1.p1
OG0000051	AMPFI_25569	OFUSG14314.1.p1
OG0000051	AMPFI_12251, AMPFI_06956, AMPFI_18032	OFUSG17623.1.p1, OFUSG24736.1.p1
OG0000053	AMPFI_03971, AMPFI_14513	OFUSG05561.1.p1
OG0000054	AMPFI_10274	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1
OG0000054	AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000056	AMPFI_10015	OFUSG17281.1.p1
OG0000056	AMPFI_06567, AMPFI_06885	OFUSG09997.1.p1, OFUSG11656.1.p1
OG0000056	AMPFI_13951	OFUSG01275.1.p1
OG0000056	AMPFI_13952, AMPFI_00302	OFUSG00148.1.p1
OG0000057	AMPFI_01580, AMPFI_02256	OFUSG18495.1.p1
OG0000057	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
OG0000057	AMPFI_23737	OFUSG08336.1.p1
OG0000058	AMPFI_18481	OFUSG06504.1.p1
OG0000058	AMPFI_05634	OFUSG25338.1.p1
OG0000060	AMPFI_23758	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000060	AMPFI_19643	OFUSG21371.2.p1, OFUSG21371.1.p1
OG0000062	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	AMPFI_05434	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	AMPFI_21664	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000063	AMPFI_20407, AMPFI_07613	OFUSG20081.1.p1
OG0000063	AMPFI_16608, AMPFI_24341, AMPFI_23675	OFUSG17598.1.p1, OFUSG17396.1.p1
OG0000063	AMPFI_24747, AMPFI_13584, AMPFI_25335	OFUSG23292.1.p1
OG0000064	AMPFI_23500, AMPFI_19990	OFUSG18700.1.p1, OFUSG11503.1.p1, OFUSG24568.1.p1, OFUSG14688.1.p1, OFUSG24348.1.p1, OFUSG04845.1.p1, OFUSG24050.1.p1
OG0000066	AMPFI_16063	OFUSG25801.1.p1
OG0000066	AMPFI_02908	OFUSG16714.1.p1
OG0000066	AMPFI_13029	OFUSG25914.1.p1
OG0000066	AMPFI_25704, AMPFI_24273	OFUSG21693.1.p1, OFUSG14092.1.p1
OG0000067	AMPFI_04770	OFUSG01517.1.p1, OFUSG21774.1.p1
OG0000067	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1
OG0000068	AMPFI_11929, AMPFI_04870	OFUSG19455.1.p1
OG0000068	AMPFI_11524, AMPFI_11523, AMPFI_24985, AMPFI_16312, AMPFI_23414, AMPFI_23547, AMPFI_24987, AMPFI_02102, AMPFI_23184, AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888, AMPFI_25645, AMPFI_12166	OFUSG06649.2.p1, OFUSG06649.1.p1
OG0000069	AMPFI_08415	OFUSG26968.1.p1
OG0000071	AMPFI_07275	OFUSG17876.1.p1, OFUSG17876.2.p1, OFUSG10287.1.p1
OG0000072	AMPFI_20479	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1
OG0000072	AMPFI_26076	OFUSG02679.1.p1, OFUSG02679.2.p1
OG0000072	AMPFI_21820	OFUSG03079.1.p1
OG0000072	AMPFI_17873	OFUSG09807.1.p1, OFUSG09809.1.p1, OFUSG09812.1.p1, OFUSG09810.1.p1, OFUSG09813.1.p1, OFUSG09811.1.p1
OG0000073	AMPFI_15154	OFUSG22954.1.p1
OG0000073	AMPFI_14948	OFUSG20747.2.p1, OFUSG20747.1.p1, OFUSG03929.1.p1, OFUSG03929.2.p1
OG0000074	AMPFI_22998, AMPFI_09812, AMPFI_05452	OFUSG24829.1.p1, OFUSG06062.1.p1
OG0000075	AMPFI_12462	OFUSG16172.1.p1
OG0000075	AMPFI_03839	OFUSG16504.1.p1
OG0000075	AMPFI_10510	OFUSG13755.2.p1, OFUSG13755.1.p1
OG0000075	AMPFI_15829	OFUSG16171.1.p1, OFUSG16171.2.p1
OG0000075	AMPFI_15139	OFUSG06373.1.p1
OG0000075	AMPFI_15917	OFUSG05709.1.p1
OG0000075	AMPFI_17574	OFUSG19094.1.p1
OG0000077	AMPFI_08518	OFUSG05776.1.p1, OFUSG24718.1.p1
OG0000078	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986	OFUSG04718.1.p1
OG0000078	AMPFI_13696	OFUSG16348.1.p1, OFUSG16350.1.p1, OFUSG04342.1.p1, OFUSG04340.1.p1, OFUSG04336.1.p1, OFUSG16350.2.p1, OFUSG16350.3.p1, OFUSG14729.1.p1, OFUSG25407.3.p1, OFUSG25407.2.p1, OFUSG25408.1.p1, OFUSG25407.1.p1, OFUSG06117.1.p1, OFUSG13932.1.p1, OFUSG09478.1.p1, OFUSG04630.1.p1, OFUSG00727.1.p1
OG0000079	AMPFI_09380	OFUSG21029.1.p1
OG0000079	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442	OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1, OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1
OG0000079	AMPFI_24805	OFUSG24101.1.p1
OG0000079	AMPFI_06359, AMPFI_07521	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1
OG0000081	AMPFI_00581	OFUSG16424.1.p1, OFUSG09104.3.p1, OFUSG09104.1.p1, OFUSG09104.2.p1, OFUSG05420.1.p1, OFUSG05002.1.p1, OFUSG24784.1.p1, OFUSG21093.1.p1
OG0000082	AMPFI_21007	OFUSG08036.1.p1
OG0000082	AMPFI_06890	OFUSG05603.1.p1
OG0000082	AMPFI_15952, AMPFI_11015	OFUSG21176.1.p1
OG0000083	AMPFI_25070, AMPFI_02950, AMPFI_03183, AMPFI_17026, AMPFI_02353, AMPFI_06007, AMPFI_06006, AMPFI_09389, AMPFI_12969, AMPFI_20938, AMPFI_06531, AMPFI_19967, AMPFI_19634, AMPFI_12970, AMPFI_07180, AMPFI_16886, AMPFI_05215, AMPFI_19858, AMPFI_09445, AMPFI_16696, AMPFI_22106, AMPFI_21518, AMPFI_02555, AMPFI_04299, AMPFI_21565, AMPFI_18422, AMPFI_09390, AMPFI_04259, AMPFI_17422, AMPFI_12422, AMPFI_18573	OFUSG03973.1.p1
OG0000085	AMPFI_20771	OFUSG23228.1.p1, OFUSG17240.1.p1
OG0000085	AMPFI_25543	OFUSG17241.1.p1
OG0000085	AMPFI_09379	OFUSG24119.1.p1
OG0000085	AMPFI_25819	OFUSG04918.1.p1
OG0000085	AMPFI_25579	OFUSG23884.1.p1
OG0000085	AMPFI_04349	OFUSG00479.1.p1
OG0000086	AMPFI_00738	OFUSG19605.1.p1
OG0000086	AMPFI_19036, AMPFI_25553	OFUSG21368.1.p1
OG0000086	AMPFI_11751	OFUSG04354.1.p1
OG0000086	AMPFI_21419	OFUSG19606.1.p1
OG0000087	AMPFI_20352	OFUSG13953.1.p1
OG0000087	AMPFI_08050	OFUSG13948.1.p1
OG0000087	AMPFI_01947	OFUSG12025.1.p1
