peak54432	promoter-TSS 
peak64133	Intergenic
peak4228	intron 
peak12189	Intergenic
peak54733	Intergenic
peak29850	Intergenic
peak72402	promoter-TSS 
peak81973	intron 
peak2843	Intergenic
peak32005	Intergenic
peak2231	intron 
peak24153	promoter-TSS 
peak23136	exon 
peak1271	intron 
peak44835	intron 
peak53827	Intergenic
peak74104	Intergenic
peak52541	intron 
peak46774	intron 
peak61380	intron 
peak32479	intron 
peak81474	Intergenic
peak9187	exon 
peak9793	intron 
peak38402	intron 
peak62432	Intergenic
peak28832	Intergenic
peak58293	Intergenic
peak35715	intron 
peak23436	intron 
peak8988	Intergenic
peak77459	Intergenic
peak66874	intron 
peak17590	intron 
peak18257	Intergenic
peak75893	Intergenic
peak55407	promoter-TSS 
peak54414	Intergenic
peak21351	intron 
peak3350	Intergenic
peak59389	Intergenic
peak35078	promoter-TSS 
peak21008	exon 
peak11776	exon 
peak31838	intron 
peak49690	Intergenic
peak35869	Intergenic
peak3750	intron 
peak77444	Intergenic
peak81906	Intergenic
peak64601	exon 
peak62167	intron 
peak8614	Intergenic
peak71662	promoter-TSS 
peak48568	intron 
peak38925	promoter-TSS 
peak18306	promoter-TSS 
peak48963	Intergenic
peak81294	promoter-TSS 
peak59316	Intergenic
peak73319	promoter-TSS 
peak16207	exon 
peak67434	Intergenic
peak40577	intron 
peak23615	Intergenic
peak45652	Intergenic
peak44306	intron 
peak17340	Intergenic
peak74270	Intergenic
peak27374	intron 
peak11320	exon 
peak78958	promoter-TSS 
peak62110	intron 
peak9846	intron 
peak3557	intron 
peak75653	Intergenic
peak48724	Intergenic
peak49763	Intergenic
peak51888	exon 
peak51672	Intergenic
peak16414	promoter-TSS 
peak11311	intron 
peak46756	Intergenic
peak40058	Intergenic
peak57187	Intergenic
peak32542	Intergenic
peak52070	Intergenic
peak40491	Intergenic
peak17640	promoter-TSS 
peak5317	intron 
peak68194	intron 
peak34421	TTS 
peak56295	promoter-TSS 
peak13925	Intergenic
peak82364	intron 
peak74274	intron 
peak32302	Intergenic
peak20859	TTS 
peak49528	intron 
peak63644	intron 
peak10759	intron 
peak68210	intron 
peak75145	Intergenic
peak25095	intron 
peak51473	Intergenic
peak81927	intron 
peak9316	intron 
peak73845	exon 
peak21573	intron 
peak27331	intron 
peak48912	intron 
peak57147	intron 
peak11676	Intergenic
peak16617	Intergenic
peak63965	intron 
peak54946	intron 
peak53931	intron 
peak47145	intron 
peak30859	intron 
peak42598	Intergenic
peak13121	Intergenic
peak72920	intron 
peak46638	intron 
peak44257	Intergenic
peak58885	Intergenic
peak75598	Intergenic
peak51404	intron 
peak40075	intron 
peak79169	TTS 
peak69266	intron 
peak69947	promoter-TSS 
peak59898	promoter-TSS 
peak43169	intron 
peak74142	Intergenic
peak28297	exon 
peak77730	intron 
peak57883	Intergenic
peak54031	Intergenic
peak57000	Intergenic
peak38691	exon 
peak46798	Intergenic
peak57953	exon 
peak34229	exon 
peak56232	promoter-TSS 
peak43061	Intergenic
peak34099	exon 
peak14153	Intergenic
peak79249	intron 
peak17525	intron 
peak49449	exon 
peak25324	intron 
peak77509	Intergenic
peak29905	Intergenic
peak65608	exon 
peak65734	intron 
peak52744	intron 
peak4549	TTS 
peak35956	promoter-TSS 
peak234	exon 
peak25196	Intergenic
peak5869	intron 
peak47741	Intergenic
peak40472	intron 
peak75334	intron 
peak56831	promoter-TSS 
peak52226	intron 
peak67350	Intergenic
peak76136	Intergenic
peak26920	Intergenic
peak46631	Intergenic
peak49812	TTS 
peak82069	intron 
peak39262	Intergenic
peak24507	intron 
peak73910	promoter-TSS 
peak72447	intron 
peak63827	promoter-TSS 
peak46378	promoter-TSS 
peak49442	promoter-TSS 
peak37890	intron 
peak10908	intron 
peak81597	Intergenic
peak8284	intron 
peak62460	TTS 
peak40851	intron 
peak16153	exon 
peak46268	intron 
peak51758	Intergenic
peak29981	exon 
peak62909	exon 
peak47684	intron 
peak73046	intron 
peak80730	Intergenic
peak10685	intron 
peak43662	intron 
peak8090	Intergenic
peak52763	Intergenic
peak26841	exon 
peak37216	intron 
peak19498	Intergenic
peak31799	intron 
peak22269	intron 
peak17216	Intergenic
peak29636	Intergenic
peak17173	intron 
peak8426	exon 
peak45207	intron 
peak10626	Intergenic
peak8718	intron 
peak65149	Intergenic
peak66138	promoter-TSS 
peak39989	TTS 
peak6065	Intergenic
peak43937	exon 
peak63012	Intergenic
peak73534	intron 
peak10480	promoter-TSS 
peak77356	promoter-TSS 
peak56483	promoter-TSS 
peak31509	TTS 
peak19219	intron 
peak54007	Intergenic
peak6945	promoter-TSS 
peak19765	promoter-TSS 
peak54807	promoter-TSS 
peak22567	intron 
peak11047	intron 
peak61446	Intergenic
peak28244	promoter-TSS 
peak17494	intron 
peak3212	exon 
peak32806	exon 
peak30269	intron 
peak35268	Intergenic
peak12783	exon 
peak41613	Intergenic
peak40337	intron 
peak76645	Intergenic
peak26982	intron 
peak33536	Intergenic
peak41792	exon 
peak35757	Intergenic
peak16212	Intergenic
peak1852	promoter-TSS 
peak69379	exon 
peak45233	Intergenic
peak37551	Intergenic
peak37482	Intergenic
peak58454	intron 
peak58461	intron 
peak26943	Intergenic
peak44977	exon 
peak845	exon 
peak79099	Intergenic
peak689	intron 
peak32702	intron 
peak70821	intron 
peak21729	Intergenic
peak81917	intron 
peak16779	intron 
peak5038	Intergenic
peak49938	intron 
peak50922	intron 
peak78186	exon 
peak46529	Intergenic
peak82055	Intergenic
peak34848	promoter-TSS 
peak81762	Intergenic
peak29016	Intergenic
peak42785	Intergenic
peak41605	intron 
peak58607	Intergenic
peak23036	exon 
peak25657	Intergenic
peak41822	TTS 
peak43143	promoter-TSS 
peak38614	Intergenic
peak74778	Intergenic
peak52876	Intergenic
peak55880	TTS 
peak29122	Intergenic
peak72666	exon 
peak66616	Intergenic
peak59124	intron 
peak25977	intron 
peak13361	Intergenic
peak40000	Intergenic
peak71088	promoter-TSS 
peak69775	promoter-TSS 
peak15206	promoter-TSS 
peak58441	intron 
peak25516	promoter-TSS 
peak17721	Intergenic
peak63511	intron 
peak55131	intron 
peak45181	Intergenic
peak12652	intron 
peak36318	Intergenic
peak29912	Intergenic
peak31887	exon 
peak7528	intron 
peak16834	Intergenic
peak37128	Intergenic
peak63065	exon 
peak42809	exon 
peak35224	Intergenic
peak42475	intron 
peak31759	Intergenic
peak2870	Intergenic
peak60877	intron 
peak57520	intron 
peak34817	promoter-TSS 
peak10452	TTS 
peak66643	Intergenic
peak9807	promoter-TSS 
peak40119	Intergenic
peak25955	promoter-TSS 
peak72659	Intergenic
peak53879	Intergenic
peak36639	intron 
peak35334	Intergenic
peak78597	intron 
peak24769	Intergenic
peak36081	Intergenic
peak59404	intron 
peak2550	Intergenic
peak49887	Intergenic
peak48675	intron 
peak43365	promoter-TSS 
peak33249	Intergenic
peak29040	Intergenic
peak23872	exon 
peak12918	intron 
peak27185	Intergenic
peak21021	exon 
peak43524	exon 
peak9495	Intergenic
peak51436	intron 
peak18053	intron 
peak20925	promoter-TSS 
peak39939	intron 
peak16549	intron 
peak82470	TTS 
peak46061	Intergenic
peak30116	Intergenic
peak26255	promoter-TSS 
peak33557	Intergenic
peak37929	exon 
peak66720	intron 
peak60904	exon 
peak57774	Intergenic
peak7761	exon 
peak62750	exon 
peak20319	Intergenic
peak10114	exon 
peak76663	exon 
peak20269	exon 
peak68050	intron 
peak55280	intron 
peak12153	intron 
peak3235	exon 
peak15657	exon 
peak53320	intron 
peak40455	intron 
peak36845	Intergenic
peak64737	intron 
peak10388	intron 
peak82519	exon 
peak40479	Intergenic
peak35315	intron 
peak80347	promoter-TSS 
peak19340	Intergenic
peak74035	Intergenic
peak18168	intron 
peak13558	promoter-TSS 
peak5988	intron 
peak40793	Intergenic
peak62030	promoter-TSS 
peak21896	promoter-TSS 
peak81879	intron 
peak37707	exon 
peak29925	promoter-TSS 
peak82628	TTS 
peak65954	Intergenic
peak57819	Intergenic
peak48146	promoter-TSS 
peak77567	intron 
peak33519	exon 
peak28781	promoter-TSS 
peak63907	promoter-TSS 
peak74471	Intergenic
peak79776	promoter-TSS 
peak3254	intron 
peak1481	intron 
peak68129	Intergenic
peak60090	Intergenic
peak79954	exon 
peak32726	Intergenic
peak19551	exon 
peak5758	Intergenic
peak52507	promoter-TSS 
peak43549	Intergenic
peak35914	intron 
peak55660	promoter-TSS 
peak53515	intron 
peak45317	promoter-TSS 
peak71505	intron 
peak60288	intron 
peak70273	intron 
peak81554	exon 
peak45814	exon 
peak12612	intron 
peak937	promoter-TSS 
peak59353	intron 
peak52582	Intergenic
peak29120	promoter-TSS 
peak80280	intron 
peak70568	Intergenic
peak36651	intron 
peak19565	exon 
peak48280	intron 
peak60842	Intergenic
peak60914	intron 
peak55496	promoter-TSS 
peak664	exon 
peak21448	promoter-TSS 
peak77418	Intergenic
peak76077	Intergenic
peak74793	Intergenic
peak60376	Intergenic
peak14565	intron 
peak46495	Intergenic
peak52691	Intergenic
peak6605	Intergenic
peak7650	intron 
peak7319	Intergenic
peak27862	intron 
peak17688	TTS 
peak15229	exon 
peak8031	intron 
peak27841	promoter-TSS 
peak69811	Intergenic
peak76945	Intergenic
peak34850	intron 
peak78064	Intergenic
peak69211	intron 
peak59732	intron 
peak64409	intron 
peak61515	intron 
peak38040	exon 
peak67542	Intergenic
peak76998	Intergenic
peak80531	intron 
peak47082	exon 
peak16489	intron 
peak58185	Intergenic
peak53211	intron 
peak54696	Intergenic
peak47829	Intergenic
peak82740	intron 
peak70798	TTS 
peak42735	Intergenic
peak76849	intron 
peak51572	Intergenic
peak41380	Intergenic
peak13668	Intergenic
peak71378	intron 
peak74563	Intergenic
peak31306	Intergenic
peak5324	intron 
peak3151	Intergenic
peak38189	Intergenic
peak78190	Intergenic
peak73821	promoter-TSS 
peak42707	Intergenic
peak72181	intron 
peak17033	intron 
peak81131	promoter-TSS 
peak68994	Intergenic
peak71926	exon 
peak61481	intron 
peak35154	Intergenic
peak6279	promoter-TSS 
peak21664	Intergenic
peak78905	intron 
peak70574	exon 
peak19997	intron 
peak77253	Intergenic
peak59794	intron 
peak37505	intron 
peak2565	intron 
peak59268	promoter-TSS 
peak48138	promoter-TSS 
peak82600	Intergenic
peak41287	intron 
peak80331	Intergenic
peak38530	Intergenic
peak63303	intron 
peak45756	intron 
peak38445	promoter-TSS 
peak20940	Intergenic
peak46859	intron 
peak70429	Intergenic
peak62974	Intergenic
peak21295	intron 
peak70223	Intergenic
peak58212	intron 
peak71730	promoter-TSS 
peak5899	Intergenic
peak61090	intron 
peak71289	Intergenic
peak15745	Intergenic
peak76860	Intergenic
peak40745	intron 
peak52576	intron 
peak30070	Intergenic
peak10967	intron 
peak11156	intron 
peak74723	promoter-TSS 
peak22312	Intergenic
peak16646	intron 
peak9881	Intergenic
peak60829	intron 
peak50445	Intergenic
peak42988	intron 
peak78680	Intergenic
peak63152	intron 
peak24398	Intergenic
peak58242	Intergenic
peak57104	Intergenic
peak7960	promoter-TSS 
peak82677	Intergenic
peak56103	Intergenic
peak517	Intergenic
peak47128	promoter-TSS 
peak16329	promoter-TSS 
peak71675	intron 
peak212	intron 
peak66013	Intergenic
peak77465	Intergenic
peak71542	Intergenic
peak81655	Intergenic
peak45475	promoter-TSS 
peak22846	intron 
peak65012	Intergenic
peak64577	Intergenic
peak59968	exon 
peak20087	promoter-TSS 
peak11111	promoter-TSS 
peak9211	intron 
peak53384	Intergenic
peak11301	intron 
peak77477	intron 
peak17623	intron 
peak33868	promoter-TSS 
peak8906	Intergenic
peak38234	TTS 
peak26111	Intergenic
peak29349	intron 
peak70337	promoter-TSS 
peak53398	Intergenic
peak42439	intron 
peak44002	promoter-TSS 
peak73240	intron 
peak48198	Intergenic
peak42193	intron 
peak38825	promoter-TSS 
peak25630	promoter-TSS 
peak20465	Intergenic
peak37626	intron 
peak19501	Intergenic
peak72071	Intergenic
peak75888	Intergenic
peak65529	promoter-TSS 
peak50512	Intergenic
peak48180	Intergenic
peak47224	Intergenic
peak80087	Intergenic
peak16335	Intergenic
peak37528	exon 
peak79	intron 
peak32082	Intergenic
peak71643	intron 
peak68159	Intergenic
peak38942	intron 
peak59559	Intergenic
peak13475	intron 
peak48262	exon 
peak12019	intron 
peak41484	Intergenic
peak3705	promoter-TSS 
peak73469	Intergenic
peak49296	exon 
peak38548	Intergenic
peak81828	Intergenic
peak45752	TTS 
peak35403	Intergenic
peak31061	intron 
peak10778	exon 
peak59513	intron 
peak24778	Intergenic
peak19798	Intergenic
peak75471	intron 
peak2931	intron 
peak52116	intron 
peak34614	Intergenic
peak51227	intron 
peak62912	Intergenic
peak61273	TTS 
peak40598	promoter-TSS 
peak39648	Intergenic
peak33263	intron 
peak25184	intron 
peak14827	Intergenic
peak131	Intergenic
peak69140	Intergenic
peak40114	promoter-TSS 
peak44724	exon 
peak11853	Intergenic
peak7782	Intergenic
peak73216	exon 
peak16609	exon 
peak4154	intron 
peak66743	promoter-TSS 
peak57365	intron 
peak71908	intron 
peak53265	Intergenic
peak33079	Intergenic
peak13059	Intergenic
peak57299	intron 
peak30477	Intergenic
peak16490	intron 
peak63619	exon 
peak36566	intron 
peak11732	intron 
peak68065	intron 
peak51234	promoter-TSS 
peak21947	Intergenic
peak7013	Intergenic
peak78278	intron 
peak7302	intron 
peak34918	Intergenic
peak17817	intron 
peak5516	promoter-TSS 
peak43969	intron 
peak30002	intron 
peak68897	promoter-TSS 
peak57374	intron 
peak37264	promoter-TSS 
peak10271	promoter-TSS 
peak28360	Intergenic
peak41017	exon 
peak24268	intron 
peak40273	Intergenic
peak15571	intron 
peak20424	intron 
peak50950	intron 
peak21227	intron 
peak46597	Intergenic
peak19575	TTS 
peak42875	intron 
peak71636	exon 
peak60265	promoter-TSS 
peak43633	Intergenic
peak1878	intron 
peak15887	intron 
peak67641	exon 
peak46408	Intergenic
peak74236	intron 
peak47183	Intergenic
peak39497	intron 
peak33610	promoter-TSS 
peak23684	Intergenic
peak74620	Intergenic
peak7684	intron 
peak1416	Intergenic
peak50749	promoter-TSS 
peak31933	Intergenic
peak4706	exon 
peak2996	Intergenic
peak44311	promoter-TSS 
peak18901	promoter-TSS 
peak622	exon 
peak53622	Intergenic
peak39924	intron 
peak9725	intron 
peak2620	Intergenic
peak63331	exon 
peak48211	exon 
peak35200	intron 
peak72006	promoter-TSS 
peak46641	intron 
peak38818	Intergenic
peak75117	Intergenic
peak3741	exon 
peak47098	Intergenic
peak78837	intron 
peak48788	promoter-TSS 
peak55596	Intergenic
peak51011	intron 
peak51573	Intergenic
peak16821	Intergenic
peak32649	Intergenic
peak13839	promoter-TSS 
peak1694	intron 
peak65079	intron 
peak43475	intron 
peak2173	intron 
peak38922	promoter-TSS 
peak22349	promoter-TSS 
peak34404	intron 
peak71452	promoter-TSS 
peak28699	intron 
peak2638	exon 
peak65918	intron 
peak51428	intron 
peak54233	Intergenic
peak1048	Intergenic
peak77045	Intergenic
peak58198	intron 
peak7823	intron 
peak43617	Intergenic
peak51458	promoter-TSS 
peak45572	Intergenic
peak64685	Intergenic
peak77153	promoter-TSS 
peak62655	promoter-TSS 
peak69861	intron 
peak19901	intron 
peak79571	promoter-TSS 
peak8118	Intergenic
peak3497	Intergenic
peak47801	intron 
peak22524	intron 
peak40947	exon 
peak16754	promoter-TSS 
peak73491	promoter-TSS 
peak62291	TTS 
peak13545	intron 
peak17148	exon 
peak63728	Intergenic
peak11895	Intergenic
peak80440	intron 
peak10289	Intergenic
peak59092	intron 
peak55788	Intergenic
peak71148	Intergenic
peak10261	intron 
peak45628	intron 
peak72970	Intergenic
peak58626	Intergenic
peak69414	Intergenic
peak37397	intron 
peak30944	intron 
peak80080	intron 
peak34725	exon 
peak62663	Intergenic
peak56638	TTS 
peak35945	promoter-TSS 
peak1496	intron 
peak30951	intron 
peak58828	Intergenic
peak59934	promoter-TSS 
peak51065	promoter-TSS 
peak10876	Intergenic
peak121	promoter-TSS 
peak77609	Intergenic
peak46234	Intergenic
peak64787	promoter-TSS 
peak3248	Intergenic
peak44561	Intergenic
peak79969	promoter-TSS 
peak69837	promoter-TSS 
peak41550	Intergenic
peak74324	Intergenic
peak25986	intron 
peak67932	intron 
peak39580	TTS 
peak24613	promoter-TSS 
peak26017	Intergenic
peak82290	promoter-TSS 
peak16720	TTS 
peak79941	intron 
peak79316	intron 
peak41894	exon 
peak68940	promoter-TSS 
peak54205	intron 
peak16626	intron 
peak4712	Intergenic
peak74228	Intergenic
peak26726	promoter-TSS 
peak2271	intron 
peak24219	intron 
peak20511	Intergenic
peak76902	Intergenic
peak52016	TTS 
peak10671	exon 
peak25842	promoter-TSS 
peak69281	Intergenic
peak64199	Intergenic
peak63691	exon 
peak63008	promoter-TSS 
peak46740	intron 
peak42397	Intergenic
peak10810	intron 
peak69966	intron 
peak16950	intron 
peak54376	intron 
peak41532	Intergenic
peak2018	Intergenic
peak69368	promoter-TSS 
peak7440	intron 
peak15971	promoter-TSS 
peak2892	intron 
peak45178	Intergenic
peak20018	exon 
peak44057	promoter-TSS 
peak62961	intron 
peak68005	Intergenic
peak66216	Intergenic
peak57063	Intergenic
peak63210	Intergenic
peak71371	Intergenic
peak49895	Intergenic
peak1024	promoter-TSS 
peak68856	intron 
peak12942	intron 
peak29669	Intergenic
peak21799	promoter-TSS 
peak49546	Intergenic
peak81169	intron 
peak42919	intron 
peak53796	Intergenic
peak44511	Intergenic
peak752	intron 
peak38126	Intergenic
peak32683	intron 
peak31682	Intergenic
peak25200	Intergenic
peak62280	exon 
peak56606	Intergenic
peak78485	intron 
peak42904	intron 
peak67423	exon 
peak17317	promoter-TSS 
peak63405	intron 
peak66830	Intergenic
peak19803	Intergenic
peak9269	intron 
peak871	Intergenic
peak53335	intron 
peak39488	promoter-TSS 
peak6908	Intergenic
peak75431	Intergenic
peak11273	exon 
peak59722	intron 
peak50426	Intergenic
peak6936	intron 
peak17538	intron 
peak15178	intron 
peak32850	intron 
peak59604	intron 
peak51273	intron 
peak49669	Intergenic
peak60934	Intergenic
peak73337	promoter-TSS 
peak42317	Intergenic
peak49015	Intergenic
peak68104	exon 
peak49736	intron 
peak49201	Intergenic
peak17089	TTS 
peak25199	promoter-TSS 
peak36871	Intergenic
peak888	intron 
peak44095	Intergenic
peak22782	Intergenic
peak24958	TTS 
peak74320	Intergenic
peak2690	Intergenic
peak36099	exon 
peak10467	promoter-TSS 
peak28875	promoter-TSS 
peak67039	Intergenic
peak43021	intron 
peak30226	exon 
peak30365	Intergenic
peak4628	promoter-TSS 
peak64236	exon 
peak5000	exon 
peak61902	Intergenic
peak48370	exon 
peak31767	intron 
peak5930	Intergenic
peak51647	Intergenic
peak47072	Intergenic
peak57282	Intergenic
peak23321	intron 
peak18137	intron 
peak35472	Intergenic
peak81505	intron 
peak81468	intron 
peak74861	intron 
peak17047	intron 
peak56909	Intergenic
peak53310	intron 
peak59186	intron 
peak35088	Intergenic
peak43243	promoter-TSS 
peak76516	Intergenic
peak36493	intron 
peak45563	Intergenic
peak27885	Intergenic
peak6754	promoter-TSS 
peak34784	exon 
peak65686	Intergenic
peak60752	exon 
peak804	intron 
peak46193	promoter-TSS 
peak1142	Intergenic
peak41123	exon 
peak80454	promoter-TSS 
peak24272	intron 
peak23268	Intergenic
peak36274	intron 
peak10368	intron 
peak69331	Intergenic
peak40302	promoter-TSS 
peak59203	Intergenic
peak24798	promoter-TSS 
peak37727	promoter-TSS 
peak24871	Intergenic
peak40507	intron 
peak37332	Intergenic
peak34971	exon 
peak48143	intron 
peak32928	intron 
peak67673	Intergenic
peak26378	intron 
peak1837	Intergenic
peak46418	Intergenic
peak59286	intron 
peak35527	exon 
peak47815	exon 
peak37695	intron 
peak62940	intron 
peak19344	promoter-TSS 
peak39727	Intergenic
peak13128	intron 
peak82765	Intergenic
peak64695	Intergenic
peak64750	Intergenic
peak27455	intron 
peak3662	promoter-TSS 
peak45267	intron 
peak4982	Intergenic
peak47266	intron 
peak70558	promoter-TSS 
peak74883	intron 
peak76354	intron 
peak35463	Intergenic
peak62490	intron 
peak59158	Intergenic
peak3273	exon 
peak35048	promoter-TSS 
peak2405	intron 
peak57516	promoter-TSS 
peak7274	Intergenic
peak9988	Intergenic
peak77221	exon 
peak50376	intron 
peak37840	Intergenic
peak52807	Intergenic
peak21254	intron 
peak49493	intron 
peak35170	intron 
peak33507	intron 
peak34142	Intergenic
peak19636	intron 
peak38641	promoter-TSS 
peak29064	Intergenic
peak59064	Intergenic
peak55148	Intergenic
peak23528	intron 
peak73447	intron 
peak6593	Intergenic
peak34560	intron 
peak43347	promoter-TSS 
peak16656	intron 
peak7610	Intergenic
peak57763	intron 
peak31052	exon 
peak4114	Intergenic
peak43481	Intergenic
peak36377	Intergenic
peak82135	exon 
peak60942	intron 
peak5396	promoter-TSS 
peak77630	Intergenic
peak73768	Intergenic
peak54614	intron 
peak26021	Intergenic
peak20761	exon 
peak24668	promoter-TSS 
peak26812	Intergenic
peak70077	intron 
peak40581	intron 
peak35832	intron 
peak44254	Intergenic
peak7391	promoter-TSS 
peak34394	intron 
peak10536	exon 
peak63253	promoter-TSS 
peak48479	exon 
peak70188	Intergenic
peak48129	intron 
peak80420	intron 
peak75937	promoter-TSS 
peak52092	intron 
peak35439	Intergenic
peak15380	Intergenic
peak5700	Intergenic
peak71095	exon 
peak20070	intron 
peak17420	Intergenic
peak54667	intron 
peak73194	intron 
peak41662	exon 
peak13164	promoter-TSS 
peak31863	intron 
peak59805	TTS 
peak73809	intron 
peak37066	Intergenic
peak47257	intron 
peak79555	Intergenic
peak8322	Intergenic
peak45590	intron 
peak13973	Intergenic
peak58937	exon 
peak47114	promoter-TSS 
peak8188	Intergenic
peak82150	promoter-TSS 
peak74703	Intergenic
peak66293	Intergenic
peak24030	Intergenic
peak70197	Intergenic
peak39657	intron 
peak39571	intron 
peak59779	intron 
peak36343	intron 
peak78037	intron 
peak47970	exon 
peak77819	intron 
peak32486	intron 
peak26968	exon 
peak5914	intron 
peak48272	Intergenic
peak14287	Intergenic
peak58074	exon 
peak47738	promoter-TSS 
peak16378	TTS 
peak12792	intron 
peak28988	Intergenic
peak40136	Intergenic
peak11975	intron 
peak4565	Intergenic
peak17632	intron 
peak26338	intron 
peak3057	exon 
peak11042	Intergenic
peak43649	TTS 
peak23474	intron 
peak2746	exon 
peak77295	Intergenic
peak67348	Intergenic
peak50724	exon 
peak60818	Intergenic
peak23594	promoter-TSS 
peak4156	intron 
peak1574	promoter-TSS 
peak45355	promoter-TSS 
peak35432	Intergenic
peak51197	Intergenic
peak51304	Intergenic
peak1286	Intergenic
peak36615	intron 
peak891	Intergenic
peak71850	intron 
peak21153	exon 
peak54513	Intergenic
peak72938	intron 
peak3639	Intergenic
peak50256	promoter-TSS 
peak40836	exon 
peak46012	intron 
peak24342	exon 
peak79269	intron 
peak14033	Intergenic
peak70598	intron 
peak5197	intron 
peak43675	Intergenic
peak74150	promoter-TSS 
peak76982	Intergenic
peak45152	exon 
peak67899	intron 
peak1242	intron 
peak79838	intron 
peak72723	Intergenic
peak6714	intron 
peak52435	Intergenic
peak40943	intron 
peak37409	exon 
peak45383	Intergenic
peak69495	exon 
peak40424	promoter-TSS 
peak72169	promoter-TSS 
peak68250	Intergenic
peak71617	intron 
peak43174	Intergenic
peak66249	exon 
peak80875	intron 
peak43533	TTS 
peak26858	promoter-TSS 
peak63244	Intergenic
peak56786	promoter-TSS 
peak42887	Intergenic
peak56872	exon 
peak30435	Intergenic
peak73636	exon 
peak70759	intron 
peak67441	promoter-TSS 
peak44355	Intergenic
peak45677	Intergenic
peak14176	Intergenic
