Orthogroup	STRPU_ok	ORYLA
OG0000074	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397
OG0000074	STRPU_01960	ORYLA15428
OG0000075	STRPU_25005	ORYLA08229, ORYLA07050
OG0000075	STRPU_25123	ORYLA10050
OG0000075	STRPU_25122	ORYLA15750
OG0000075	STRPU_10595	ORYLA05870, ORYLA14226
OG0000075	STRPU_25157	ORYLA10049, ORYLA15751
OG0000075	STRPU_01897, STRPU_22743	ORYLA11054, ORYLA15824
OG0000075	STRPU_23530	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	STRPU_23991	ORYLA19688
OG0000077	STRPU_09555	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	STRPU_10408	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409
OG0000077	STRPU_07855	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000078	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	STRPU_04091	ORYLA02351, ORYLA01210, ORYLA04604
OG0000079	STRPU_02493, STRPU_15115	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	STRPU_15116, STRPU_02495	ORYLA17895
OG0000079	STRPU_26495, STRPU_19060	ORYLA13165
OG0000082	STRPU_19842	ORYLA02580
OG0000082	STRPU_09694, STRPU_09737	ORYLA01470
OG0000082	STRPU_22564, STRPU_22563, STRPU_20087	ORYLA09330
OG0000082	STRPU_18951	ORYLA19108
OG0000083	STRPU_05477, STRPU_05480, STRPU_05479	ORYLA04024, ORYLA20424
OG0000084	STRPU_10120, STRPU_10047	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287
OG0000085	STRPU_24977	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	STRPU_15094	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	STRPU_25637	ORYLA06168
OG0000085	STRPU_14802	ORYLA17935
OG0000085	STRPU_17832	ORYLA02243, ORYLA05178
OG0000087	STRPU_06300, STRPU_06346	ORYLA07293
OG0000087	STRPU_23330	ORYLA15867
OG0000088	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	STRPU_17838, STRPU_22395	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	STRPU_20024, STRPU_20023	ORYLA02080, ORYLA06082
OG0000090	STRPU_15706	ORYLA01746, ORYLA06194
OG0000091	STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652	ORYLA02531
OG0000093	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845
OG0000094	STRPU_22767, STRPU_01923	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	STRPU_19407	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	STRPU_06019	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	STRPU_23963, STRPU_23937	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	STRPU_22229	ORYLA13747, ORYLA08870
OG0000096	STRPU_15853, STRPU_15805	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	STRPU_11677	ORYLA12353, ORYLA17186
OG0000096	STRPU_13124, STRPU_02569	ORYLA10017
OG0000098	STRPU_22565, STRPU_22567, STRPU_16696	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	STRPU_26921, STRPU_27157	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	STRPU_16997, STRPU_16998	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000100	STRPU_03239	ORYLA00999
OG0000100	STRPU_01996	ORYLA08449
OG0000101	STRPU_12617	ORYLA12058
OG0000101	STRPU_17399, STRPU_17409	ORYLA09166, ORYLA09165
OG0000101	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	STRPU_21344	ORYLA19358, ORYLA00094
OG0000103	STRPU_08665	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	STRPU_08161	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	STRPU_03670, STRPU_03681	ORYLA03680, ORYLA06072
OG0000104	STRPU_22118	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	STRPU_03688, STRPU_03686	ORYLA03679
OG0000104	STRPU_02772	ORYLA09408
OG0000104	STRPU_23716	ORYLA14236, ORYLA14756, ORYLA10856
OG0000106	STRPU_25282	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282
OG0000106	STRPU_25442	ORYLA06794
OG0000106	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307	ORYLA05764, ORYLA14913, ORYLA14914
OG0000113	STRPU_10396, STRPU_18172	ORYLA17645, ORYLA13433
OG0000113	STRPU_25041, STRPU_04494, STRPU_04495	ORYLA15283
OG0000114	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000115	STRPU_25508, STRPU_12373, STRPU_23313	ORYLA10019, ORYLA12386
OG0000116	STRPU_21801, STRPU_21802	ORYLA19541
OG0000117	STRPU_18287	ORYLA13253
OG0000117	STRPU_16027	ORYLA15132
OG0000119	STRPU_13902	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654
OG0000119	STRPU_13805, STRPU_13905	ORYLA09477, ORYLA05169
OG0000121	STRPU_17646, STRPU_02277	ORYLA00510, ORYLA01379, ORYLA07858
OG0000122	STRPU_24150	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000122	STRPU_24593, STRPU_24582	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000123	STRPU_09939	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364
OG0000123	STRPU_01514, STRPU_09445	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949
