Orthogroup	STRPU_ok	MOUSE
OG0000002	STRPU_00361	MOUSE15413, MOUSE15412
OG0000003	STRPU_09130	MOUSE36184
OG0000004	STRPU_02122, STRPU_15691	MOUSE21111
OG0000004	STRPU_19329	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144
OG0000004	STRPU_07212, STRPU_07214, STRPU_07213, STRPU_18646, STRPU_18644, STRPU_05673, STRPU_18587, STRPU_18596, STRPU_18643, STRPU_18598, STRPU_02836, STRPU_18641, STRPU_18592, STRPU_18603, STRPU_18636, STRPU_18639, STRPU_18645, STRPU_18591, STRPU_18600, STRPU_18604, STRPU_18595, STRPU_05674, STRPU_02831, STRPU_18647, STRPU_18588, STRPU_18648, STRPU_18590	MOUSE46694, MOUSE46695, MOUSE46693, MOUSE46689, MOUSE46690, MOUSE46688
OG0000005	STRPU_02665, STRPU_01699	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	STRPU_12837	MOUSE48684, MOUSE48683
OG0000006	STRPU_04777	MOUSE33561, MOUSE33562
OG0000006	STRPU_05111, STRPU_05037	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	STRPU_06684	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	STRPU_19989	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	STRPU_12594, STRPU_12593	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	STRPU_20521	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	STRPU_09165, STRPU_02127	MOUSE38532, MOUSE38531
OG0000006	STRPU_27184, STRPU_27203	MOUSE10280
OG0000006	STRPU_07314	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	STRPU_27126	MOUSE19675
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	STRPU_21069	MOUSE08011, MOUSE15296
OG0000006	STRPU_21071	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	STRPU_14340	MOUSE03398
OG0000007	STRPU_25459	MOUSE09063, MOUSE49748
OG0000007	STRPU_26581	MOUSE51845, MOUSE20686
OG0000007	STRPU_21427	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	STRPU_18763	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	STRPU_09815	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	STRPU_10770	MOUSE52320
OG0000007	STRPU_25460	MOUSE49749
OG0000007	STRPU_25304	MOUSE09061
OG0000007	STRPU_25458	MOUSE09062, MOUSE49739
OG0000007	STRPU_16477	MOUSE04689, MOUSE37388
OG0000007	STRPU_21790	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	STRPU_08442	MOUSE38586, MOUSE06525
OG0000007	STRPU_08417	MOUSE06204
OG0000007	STRPU_10590	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	STRPU_21559	MOUSE07031, MOUSE07030
OG0000008	STRPU_10510	MOUSE25499, MOUSE25498, MOUSE25349
OG0000010	STRPU_04522	MOUSE46557
OG0000010	STRPU_08974, STRPU_08975	MOUSE09529
OG0000012	STRPU_06380, STRPU_06825	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	STRPU_23513	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000014	STRPU_17754, STRPU_17755	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	STRPU_19509	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	STRPU_05546, STRPU_05605	MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	STRPU_05547, STRPU_05606	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	STRPU_21905	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	STRPU_09277	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484	MOUSE13078, MOUSE13077
OG0000016	STRPU_15361, STRPU_21110	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	STRPU_23414, STRPU_01023	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000020	STRPU_13949	MOUSE05499, MOUSE05500
OG0000020	STRPU_20580	MOUSE07164
OG0000020	STRPU_19028, STRPU_00464	MOUSE33588
OG0000020	STRPU_22748, STRPU_01903	MOUSE23587, MOUSE23586
OG0000020	STRPU_07115	MOUSE26371
OG0000020	STRPU_26678	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	STRPU_19861, STRPU_19888	MOUSE24012
OG0000020	STRPU_05007	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	STRPU_11453	MOUSE35162
OG0000020	STRPU_04309, STRPU_04336	MOUSE09601, MOUSE09602
OG0000020	STRPU_05521	MOUSE37001, MOUSE37002
OG0000020	STRPU_21977	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	STRPU_23367	MOUSE41024, MOUSE41023
OG0000021	STRPU_25829	MOUSE49041, MOUSE09998
OG0000021	STRPU_02205, STRPU_15603	MOUSE04592
OG0000021	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213	MOUSE44445, MOUSE53773
OG0000021	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	STRPU_09714, STRPU_09758	MOUSE46773, MOUSE46772
OG0000023	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	STRPU_13435, STRPU_25665, STRPU_06675, STRPU_06676, STRPU_21822, STRPU_10195	MOUSE38308, MOUSE38309
OG0000027	STRPU_02455	MOUSE18680
OG0000028	STRPU_27008	MOUSE44525
OG0000029	STRPU_25978	MOUSE43115, MOUSE43116
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000029	STRPU_14123	MOUSE17544, MOUSE15400
OG0000030	STRPU_23383	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	STRPU_24640	MOUSE26385
OG0000031	STRPU_24955	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	STRPU_24636	MOUSE08528, MOUSE08527
OG0000031	STRPU_08004, STRPU_23584	MOUSE39309, MOUSE01505
OG0000031	STRPU_05537, STRPU_05597	MOUSE13006, MOUSE13005
OG0000031	STRPU_18994	MOUSE48656, MOUSE48889
OG0000031	STRPU_05368	MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	STRPU_24676	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000032	STRPU_07046	MOUSE41899
OG0000032	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816	MOUSE29123
OG0000034	STRPU_15245, STRPU_15189	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	STRPU_11798	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	STRPU_11930, STRPU_11885	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	STRPU_27315	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	STRPU_11793	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	STRPU_04070	MOUSE11491, MOUSE11490
OG0000034	STRPU_12141, STRPU_12106	MOUSE20059
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	MOUSE02570, MOUSE02571
OG0000035	STRPU_27002	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	STRPU_13051	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	STRPU_12705, STRPU_12704	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	STRPU_12998, STRPU_12553	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	STRPU_12700	MOUSE27104
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	STRPU_09907	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000037	STRPU_20762	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	STRPU_24785	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	MOUSE21441
OG0000038	STRPU_18076, STRPU_01766	MOUSE08557
OG0000038	STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770, STRPU_18086	MOUSE41992, MOUSE41494
OG0000038	STRPU_18075, STRPU_01765	MOUSE22591, MOUSE22592
OG0000039	STRPU_13266	MOUSE24093, MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091, MOUSE24088
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	MOUSE32704
OG0000039	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246	MOUSE23387
OG0000040	STRPU_00136	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	STRPU_13000	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000044	STRPU_09802	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	STRPU_13229, STRPU_13213	MOUSE38798
OG0000044	STRPU_00051	MOUSE41161, MOUSE41162
OG0000045	STRPU_26903	MOUSE17353, MOUSE07193
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	MOUSE48114, MOUSE48113
OG0000048	STRPU_05493	MOUSE55730
OG0000048	STRPU_20602	MOUSE42201, MOUSE42202
OG0000048	STRPU_20482	MOUSE06701
OG0000048	STRPU_26191	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	STRPU_17072	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	STRPU_23537	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	STRPU_23536	MOUSE40908, MOUSE39155
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	MOUSE48109
OG0000056	STRPU_26180	MOUSE52879
OG0000056	STRPU_19327	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000056	STRPU_12248, STRPU_11783	MOUSE37995, MOUSE37994
OG0000056	STRPU_06434	MOUSE36570
OG0000057	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000057	STRPU_09580	MOUSE55281, MOUSE55280
OG0000058	STRPU_10155, STRPU_10092	MOUSE21857, MOUSE21254
OG0000058	STRPU_08934	MOUSE10546
OG0000058	STRPU_09783	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000058	STRPU_08638	MOUSE38609, MOUSE40444
OG0000059	STRPU_05220	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	STRPU_24855	MOUSE52080, MOUSE52079
OG0000060	STRPU_12994	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	STRPU_13962	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	STRPU_02428, STRPU_13635	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	STRPU_08191	MOUSE52081
OG0000063	STRPU_18989	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	STRPU_23711	MOUSE10885, MOUSE10881
OG0000063	STRPU_18990, STRPU_18981, STRPU_07188	MOUSE33697
OG0000063	STRPU_18657	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	STRPU_19100	MOUSE53763
OG0000067	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385	MOUSE19580, MOUSE31455
OG0000068	STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939	MOUSE02010
OG0000069	STRPU_24462, STRPU_06026	MOUSE30824
OG0000069	STRPU_08964, STRPU_21393	MOUSE24596
OG0000069	STRPU_26328, STRPU_04107, STRPU_05473, STRPU_05020, STRPU_25384, STRPU_24249, STRPU_09003, STRPU_01056, STRPU_05927, STRPU_06003, STRPU_05936, STRPU_05932, STRPU_06000	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000070	STRPU_17447, STRPU_05505	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000070	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932	MOUSE01400, MOUSE01399
OG0000072	STRPU_05231	MOUSE03587, MOUSE48101, MOUSE48102, MOUSE48100, MOUSE50200, MOUSE50201
OG0000072	STRPU_05349	MOUSE30088, MOUSE45691
OG0000072	STRPU_05343	MOUSE29660
OG0000072	STRPU_04704, STRPU_04707	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772
OG0000073	STRPU_08362	MOUSE18062
OG0000073	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420	MOUSE18061, MOUSE18060, MOUSE18059, MOUSE18051, MOUSE18052
OG0000073	STRPU_14789	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163
OG0000074	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186	MOUSE01754, MOUSE40707
OG0000074	STRPU_05573, STRPU_05632	MOUSE27442, MOUSE27441
OG0000074	STRPU_01960	MOUSE43700, MOUSE19007
OG0000074	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961	MOUSE43699, MOUSE19006
OG0000075	STRPU_25005	MOUSE05779, MOUSE03707
OG0000075	STRPU_25123	MOUSE22546
OG0000075	STRPU_25122	MOUSE14633
OG0000075	STRPU_10595	MOUSE34423
OG0000075	STRPU_25157	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630
OG0000075	STRPU_01897, STRPU_22743	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000075	STRPU_23530	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742
OG0000075	STRPU_23991	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109
OG0000077	STRPU_09555	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	STRPU_10408	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000077	STRPU_07855	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502
OG0000078	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	STRPU_04091	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419
OG0000079	STRPU_02493, STRPU_15115	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	STRPU_15116, STRPU_02495	MOUSE05042
OG0000079	STRPU_26495, STRPU_19060	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929
OG0000081	STRPU_10387, STRPU_19245, STRPU_19246	MOUSE21429, MOUSE21428, MOUSE21430
OG0000082	STRPU_19842	MOUSE25920
OG0000082	STRPU_09694, STRPU_09737	MOUSE19184
OG0000082	STRPU_18951	MOUSE50879
OG0000083	STRPU_05477, STRPU_05480, STRPU_05479	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042
OG0000084	STRPU_10120, STRPU_10047	MOUSE21451, MOUSE30075, MOUSE30074
OG0000084	STRPU_09358	MOUSE54561, MOUSE54560, MOUSE50161, MOUSE50162
OG0000085	STRPU_24977	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	STRPU_15094	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	STRPU_25637	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	STRPU_14802	MOUSE15351, MOUSE19993
