Orthogroup	STRPU_ok	DANRE
OG0000015	STRPU_05547, STRPU_05606	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	STRPU_21905	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	STRPU_09277	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484	DANRE35611
OG0000016	STRPU_15361, STRPU_21110	DANRE02012
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	STRPU_21331	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000019	STRPU_23414, STRPU_01023	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	STRPU_13949	DANRE10827, DANRE10826, DANRE10743
OG0000020	STRPU_20580	DANRE10670
OG0000020	STRPU_22748, STRPU_01903	DANRE40536
OG0000020	STRPU_07115	DANRE42755
OG0000020	STRPU_26678	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625
OG0000020	STRPU_22232	DANRE30414
OG0000020	STRPU_19861, STRPU_19888	DANRE27431, DANRE27432, DANRE27433
OG0000020	STRPU_05007	DANRE06741, DANRE06740, DANRE15747
OG0000020	STRPU_11453	DANRE22958, DANRE22959
OG0000020	STRPU_04309, STRPU_04336	DANRE06663, DANRE06664
OG0000020	STRPU_05521	DANRE18984
OG0000020	STRPU_21977	DANRE27379
OG0000021	STRPU_23367	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	STRPU_25829	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	STRPU_02205, STRPU_15603	DANRE08348, DANRE33679
OG0000021	STRPU_02212, STRPU_15595	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213	DANRE37717, DANRE02277
OG0000021	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059	DANRE27401, DANRE27403, DANRE27400
OG0000023	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000026	STRPU_24999	DANRE09875
OG0000028	STRPU_27008	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	STRPU_25978	DANRE22154
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000029	STRPU_14123	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000030	STRPU_23383	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	STRPU_10522	DANRE41079, DANRE41078
OG0000031	STRPU_24640	DANRE41496, DANRE35535, DANRE23155
OG0000031	STRPU_24955	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	STRPU_24636	DANRE13622, DANRE13623
OG0000031	STRPU_27330	DANRE26516
OG0000031	STRPU_08004	DANRE11621
OG0000031	STRPU_05537, STRPU_05597	DANRE20276, DANRE16190, DANRE42316
OG0000031	STRPU_18994	DANRE27399, DANRE21472, DANRE14252
OG0000031	STRPU_05368	DANRE16189, DANRE42315, DANRE15746
OG0000031	STRPU_24676	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000032	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343	DANRE24197
OG0000034	STRPU_15245, STRPU_15189	DANRE35041
OG0000034	STRPU_11798	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	STRPU_11930, STRPU_11885	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	STRPU_27315	DANRE14484, DANRE09880, DANRE38036
OG0000034	STRPU_11793	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	STRPU_04070	DANRE04100
OG0000034	STRPU_12141, STRPU_12106	DANRE25182
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	DANRE23313
OG0000035	STRPU_27002	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	STRPU_13051	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	STRPU_12705, STRPU_12704	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	STRPU_12998, STRPU_12553	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	STRPU_12700	DANRE38222, DANRE38223, DANRE12948
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	DANRE11991, DANRE38630
OG0000037	STRPU_20762	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	STRPU_24785	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	DANRE11315
OG0000038	STRPU_23732, STRPU_23731	DANRE01550, DANRE01549
OG0000038	STRPU_17414, STRPU_17415	DANRE23401
OG0000038	STRPU_18075, STRPU_01765	DANRE15348
OG0000039	STRPU_13266	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	DANRE38069, DANRE38070
OG0000039	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246	DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063
OG0000040	STRPU_00136	DANRE30036
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	STRPU_12828	DANRE24726
OG0000041	STRPU_13000	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000043	STRPU_10844, STRPU_10864	DANRE43265
OG0000044	STRPU_09802	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000044	STRPU_13229, STRPU_13213	DANRE24280
OG0000044	STRPU_00051	DANRE05244, DANRE05245
OG0000045	STRPU_16861, STRPU_16872	DANRE28069, DANRE28068
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	DANRE15742
OG0000048	STRPU_05493	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	STRPU_15458	DANRE33718
OG0000048	STRPU_09674	DANRE19398
OG0000048	STRPU_20482	DANRE17556, DANRE05472
OG0000048	STRPU_26191	DANRE26183
OG0000049	STRPU_17072	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	STRPU_23537	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	STRPU_22320	DANRE13089, DANRE13098, DANRE13083
OG0000049	STRPU_17073	DANRE10820
OG0000049	STRPU_23536	DANRE30744
OG0000050	STRPU_16312	DANRE32914
OG0000050	STRPU_07810, STRPU_07823, STRPU_11057, STRPU_09032, STRPU_09040, STRPU_20428, STRPU_00461	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	DANRE06791, DANRE15743
OG0000055	STRPU_20957	DANRE24633
OG0000056	STRPU_26180	DANRE40469
OG0000056	STRPU_19327	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	STRPU_12248, STRPU_11783	DANRE40924, DANRE40923
OG0000056	STRPU_06434	DANRE30239
OG0000057	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000057	STRPU_09580	DANRE02560, DANRE02558, DANRE02559
OG0000058	STRPU_08551	DANRE17254
OG0000058	STRPU_10155, STRPU_10092	DANRE01466, DANRE01467
OG0000058	STRPU_08934	DANRE03528
OG0000058	STRPU_09783	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
OG0000059	STRPU_05220	DANRE23878, DANRE23877, DANRE23876
OG0000059	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	STRPU_24855	DANRE15035, DANRE15034, DANRE05268
OG0000060	STRPU_12994	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	STRPU_13962	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	STRPU_02428, STRPU_13635	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	DANRE26341, DANRE29170
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	STRPU_08191	DANRE18807, DANRE18806
OG0000063	STRPU_18989	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	STRPU_23711	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	STRPU_18990, STRPU_18981, STRPU_07188	DANRE15770
OG0000063	STRPU_18657	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000066	STRPU_19100	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	STRPU_07504, STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939	DANRE22551
OG0000069	STRPU_24462, STRPU_06026	DANRE26091
OG0000069	STRPU_04107, STRPU_05473, STRPU_05020, STRPU_25384, STRPU_24249, STRPU_09003, STRPU_01056, STRPU_05927, STRPU_06003, STRPU_05936, STRPU_05932, STRPU_06000	DANRE37416
OG0000070	STRPU_17447, STRPU_05505	DANRE18387, DANRE02540
OG0000070	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330
OG0000072	STRPU_05231	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815
OG0000072	STRPU_05349	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000072	STRPU_05343	DANRE08498, DANRE08497, DANRE06006
OG0000072	STRPU_04704, STRPU_04707	DANRE05807
OG0000073	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420	DANRE10520
OG0000073	STRPU_14789	DANRE23044, DANRE24104, DANRE24103, DANRE27229, DANRE39355, DANRE27228, DANRE27227, DANRE24102, DANRE30709, DANRE30708, DANRE12382
OG0000074	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590
OG0000074	STRPU_05573, STRPU_05632	DANRE17935
OG0000074	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961	DANRE25680
OG0000075	STRPU_25005	DANRE03709, DANRE26359, DANRE26360
OG0000075	STRPU_25123	DANRE41686, DANRE41687, DANRE35873, DANRE35872
OG0000075	STRPU_25122	DANRE23134, DANRE23133
OG0000075	STRPU_10595	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	STRPU_25157	DANRE41688, DANRE23132
OG0000075	STRPU_01897, STRPU_22743	DANRE30937, DANRE41300
OG0000075	STRPU_23530	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483
OG0000075	STRPU_23991	DANRE31021, DANRE31022
OG0000077	STRPU_09555	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	STRPU_10408	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358
OG0000077	STRPU_07855	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657
OG0000078	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	STRPU_04091	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229
OG0000079	STRPU_02493, STRPU_15115	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813
OG0000079	STRPU_15116, STRPU_02495	DANRE33383
OG0000079	STRPU_26495, STRPU_19060	DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	STRPU_19842	DANRE33308
OG0000082	STRPU_09694, STRPU_09737	DANRE06377
OG0000082	STRPU_22564, STRPU_22563, STRPU_20087	DANRE00971
OG0000082	STRPU_18951	DANRE00970
