Orthogroup	STRPU_ok	SCHMD
OG0000017	STRPU_00117, STRPU_22860, STRPU_02715, STRPU_12424, STRPU_24604, STRPU_14085, STRPU_02089, STRPU_14020, STRPU_04049, STRPU_14783, STRPU_03128, STRPU_05415, STRPU_00068, STRPU_06377, STRPU_22862, STRPU_06733, STRPU_03412, STRPU_00906, STRPU_16710, STRPU_08383, STRPU_26123, STRPU_08138, STRPU_14019, STRPU_04048, STRPU_14782, STRPU_07242, STRPU_06186, STRPU_17566, STRPU_08979, STRPU_00926, STRPU_00092, STRPU_08117, STRPU_09345, STRPU_15645, STRPU_16606, STRPU_07365, STRPU_21602, STRPU_02591, STRPU_21499, STRPU_05279, STRPU_11947, STRPU_09821, STRPU_09502, STRPU_04559, STRPU_12605, STRPU_18356, STRPU_06474, STRPU_10720, STRPU_15670, STRPU_16836, STRPU_10719, STRPU_16681, STRPU_03647, STRPU_16727, STRPU_02546, STRPU_25300, STRPU_26746, STRPU_14779, STRPU_14777, STRPU_04020, STRPU_04133, STRPU_04866, STRPU_07910, STRPU_10671, STRPU_24355, STRPU_24357, STRPU_13097, STRPU_00563, STRPU_22919, STRPU_24356, STRPU_00673, STRPU_23089, STRPU_16822, STRPU_04116, STRPU_07241, STRPU_24605, STRPU_26042, STRPU_04021, STRPU_03902, STRPU_16459, STRPU_03570, STRPU_12313, STRPU_03243, STRPU_08248, STRPU_00491, STRPU_10677, STRPU_20978, STRPU_15661, STRPU_23626, STRPU_03877, STRPU_15842, STRPU_03876, STRPU_03569, STRPU_11160, STRPU_00513, STRPU_20404, STRPU_11779, STRPU_02604, STRPU_14263, STRPU_23627, STRPU_03875, STRPU_15841, STRPU_00925, STRPU_12810, STRPU_06315, STRPU_01747, STRPU_12439, STRPU_14084, STRPU_22904, STRPU_09791, STRPU_16605, STRPU_08988, STRPU_08586, STRPU_11525, STRPU_25736, STRPU_21215, STRPU_25572, STRPU_19535, STRPU_25735, STRPU_25480, STRPU_20188, STRPU_11306, STRPU_06657, STRPU_04461, STRPU_08845, STRPU_10173, STRPU_07097, STRPU_13942, STRPU_19534, STRPU_13943, STRPU_06082, STRPU_08065, STRPU_15979, STRPU_18493, STRPU_13122, STRPU_20859, STRPU_13649, STRPU_03568	SCHMD13346
OG0000020	STRPU_13949	SCHMD00005
OG0000020	STRPU_22748, STRPU_01903	SCHMD09886
OG0000020	STRPU_19861, STRPU_19888	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	STRPU_25829	SCHMD09794
OG0000021	STRPU_05427	SCHMD10526, SCHMD19498
OG0000021	STRPU_19932, STRPU_02595	SCHMD09793, SCHMD07893
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	SCHMD05376
OG0000026	STRPU_10195	SCHMD22460
OG0000028	STRPU_27006	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	STRPU_14468, STRPU_14467	SCHMD22912, SCHMD03422
OG0000028	STRPU_27008	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	STRPU_25978	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	STRPU_23383	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	STRPU_18729, STRPU_18720	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	STRPU_10522, STRPU_06146, STRPU_06148	SCHMD25391
OG0000031	STRPU_24640, STRPU_24955	SCHMD16950
OG0000031	STRPU_24636	SCHMD11094
OG0000031	STRPU_08004, STRPU_23584	SCHMD00185
OG0000031	STRPU_05537, STRPU_05597, STRPU_18994, STRPU_05368	SCHMD17865
OG0000032	STRPU_07046	SCHMD24540, SCHMD22975, SCHMD09223
OG0000032	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343	SCHMD05709, SCHMD01866
OG0000034	STRPU_15245, STRPU_15189	SCHMD13190, SCHMD26745
OG0000034	STRPU_11930, STRPU_11885	SCHMD11160, SCHMD18247
OG0000034	STRPU_27315	SCHMD04875
OG0000034	STRPU_12141, STRPU_12106	SCHMD07081
OG0000034	STRPU_11792	SCHMD15143, SCHMD18175
OG0000035	STRPU_02368, STRPU_12778	SCHMD06303
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	STRPU_12998, STRPU_12553	SCHMD15627, SCHMD19701
OG0000036	STRPU_09907	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	STRPU_21189, STRPU_21188, STRPU_20688, STRPU_21621, STRPU_21620, STRPU_20762	SCHMD19933
OG0000037	STRPU_24785	SCHMD00542, SCHMD17538
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000037	STRPU_10122, STRPU_10049, STRPU_21007, STRPU_10050, STRPU_10123	SCHMD26619
OG0000038	STRPU_17751	SCHMD04793, SCHMD13832
OG0000038	STRPU_17416	SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443
OG0000038	STRPU_23732, STRPU_23731	SCHMD06293
OG0000038	STRPU_17414, STRPU_17415	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000038	STRPU_18083, STRPU_01772, STRPU_18683, STRPU_01771	SCHMD14596, SCHMD16257, SCHMD14597
OG0000038	STRPU_17312	SCHMD04461, SCHMD04816, SCHMD04460
OG0000039	STRPU_13266, STRPU_05101, STRPU_05100, STRPU_05180, STRPU_18219, STRPU_01274, STRPU_21027, STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246, STRPU_16658, STRPU_15546, STRPU_15547, STRPU_20012, STRPU_20010	SCHMD12270
OG0000040	STRPU_00136	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
OG0000041	STRPU_12828	SCHMD08254
OG0000041	STRPU_13000	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000043	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002, STRPU_20956, STRPU_23749, STRPU_07332, STRPU_01391, STRPU_12193, STRPU_08767, STRPU_03522, STRPU_03585	SCHMD11455
OG0000043	STRPU_10844, STRPU_10864	SCHMD29206, SCHMD09758
OG0000048	STRPU_06729, STRPU_06730, STRPU_06385	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	STRPU_17072	SCHMD02961, SCHMD14840
OG0000049	STRPU_23534	SCHMD26352
OG0000049	STRPU_10893	SCHMD17006
OG0000049	STRPU_17073	SCHMD16048
OG0000049	STRPU_23536	SCHMD22370
OG0000051	STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000056	STRPU_06434	SCHMD18401, SCHMD20469
OG0000057	STRPU_10530, STRPU_02305, STRPU_18108, STRPU_09940	SCHMD08094
OG0000058	STRPU_10155, STRPU_10092	SCHMD04270
OG0000058	STRPU_08934	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122
OG0000059	STRPU_13764, STRPU_01483	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210
OG0000060	STRPU_18179	SCHMD17528
OG0000060	STRPU_17613	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061
OG0000060	STRPU_25136, STRPU_17605, STRPU_17612, STRPU_17606, STRPU_17085, STRPU_24483, STRPU_24484, STRPU_21861, STRPU_10974, STRPU_10973, STRPU_22645, STRPU_20391, STRPU_24081, STRPU_24740, STRPU_24199, STRPU_24413	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	STRPU_12994	SCHMD03062
OG0000061	STRPU_13962	SCHMD24930
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	SCHMD11039
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408, STRPU_08191	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	STRPU_18989	SCHMD04855
OG0000063	STRPU_23711	SCHMD09653
OG0000063	STRPU_18990, STRPU_18981, STRPU_07188	SCHMD24452
OG0000066	STRPU_23705	SCHMD02363
OG0000066	STRPU_19100	SCHMD06030
OG0000066	STRPU_10561, STRPU_10560, STRPU_10760	SCHMD17583
OG0000068	STRPU_07504, STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939	SCHMD05762, SCHMD05760, SCHMD05763
OG0000070	STRPU_17447, STRPU_05505	SCHMD06745
OG0000070	STRPU_08130	SCHMD23038
OG0000071	STRPU_18392, STRPU_12567, STRPU_20613, STRPU_20615, STRPU_25995, STRPU_26372, STRPU_26374, STRPU_26373, STRPU_26371, STRPU_26370, STRPU_25994, STRPU_20810, STRPU_05831	SCHMD08674, SCHMD04226
OG0000072	STRPU_05231	SCHMD10090
OG0000072	STRPU_04709	SCHMD14858, SCHMD08261, SCHMD24480, SCHMD08262
OG0000073	STRPU_08362	SCHMD13212, SCHMD07291, SCHMD22957
OG0000073	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	STRPU_01897, STRPU_22743	SCHMD21424
OG0000077	STRPU_09555	SCHMD17571
OG0000077	STRPU_10408	SCHMD23576
OG0000077	STRPU_07855	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	STRPU_09553	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	STRPU_04091	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	STRPU_26495, STRPU_19060	SCHMD06941, SCHMD04736
OG0000080	STRPU_04387, STRPU_15801, STRPU_17234, STRPU_16347, STRPU_07754, STRPU_19126, STRPU_12219, STRPU_07841, STRPU_16971, STRPU_16830, STRPU_00556, STRPU_09960, STRPU_06340, STRPU_16071, STRPU_16545, STRPU_17857, STRPU_07970	SCHMD10387, SCHMD06434
OG0000082	STRPU_19842	SCHMD03263, SCHMD10119
OG0000082	STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825	SCHMD03363
OG0000082	STRPU_18951	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210
OG0000084	STRPU_10120, STRPU_10047	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	STRPU_04407, STRPU_04408	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000084	STRPU_04404	SCHMD28182, SCHMD25065
OG0000085	STRPU_15094	SCHMD12836
OG0000085	STRPU_25637	SCHMD12466
OG0000085	STRPU_14802	SCHMD18327
OG0000087	STRPU_06300, STRPU_06346	SCHMD09405, SCHMD09406
OG0000087	STRPU_22865	SCHMD05855
OG0000090	STRPU_02923	SCHMD06769
OG0000093	STRPU_08252	SCHMD04238
OG0000093	STRPU_07636, STRPU_15195	SCHMD02917
OG0000093	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	STRPU_22767, STRPU_01923	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	STRPU_19407	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	STRPU_23963, STRPU_23937	SCHMD07753
OG0000096	STRPU_11677, STRPU_13124, STRPU_02569	SCHMD10033
OG0000097	STRPU_11799, STRPU_23889, STRPU_08172, STRPU_08173, STRPU_08168, STRPU_25275, STRPU_25272, STRPU_25274, STRPU_25269, STRPU_25271, STRPU_04100, STRPU_26789, STRPU_17863, STRPU_17869, STRPU_17870, STRPU_17871, STRPU_17862, STRPU_26790, STRPU_26792, STRPU_17868, STRPU_26791, STRPU_26793	SCHMD22037, SCHMD20326
OG0000098	STRPU_26921, STRPU_27157	SCHMD29644, SCHMD22119
OG0000099	STRPU_15397	SCHMD03930, SCHMD15019
OG0000099	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	STRPU_16997, STRPU_16998	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000103	STRPU_08665	SCHMD29081, SCHMD19673
OG0000103	STRPU_08161	SCHMD08147
OG0000106	STRPU_25282, STRPU_25442, STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	STRPU_20491, STRPU_21462, STRPU_21461, STRPU_24363	SCHMD11887
OG0000113	STRPU_10396, STRPU_18172	SCHMD06629, SCHMD02664
OG0000114	STRPU_06367	SCHMD19276
OG0000114	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	STRPU_08853, STRPU_00969	SCHMD28271, SCHMD15320
OG0000116	STRPU_09077, STRPU_09080	SCHMD19106
OG0000116	STRPU_14625	SCHMD19105
OG0000117	STRPU_25061	SCHMD11493
OG0000119	STRPU_13902, STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951, STRPU_13805, STRPU_13905	SCHMD02911
OG0000120	STRPU_25147	SCHMD11870
OG0000122	STRPU_24593, STRPU_24582	SCHMD00543, SCHMD16641, SCHMD09849
OG0000123	STRPU_09375, STRPU_09613	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000123	STRPU_09807	SCHMD07646
OG0000123	STRPU_04928, STRPU_04927, STRPU_09938	SCHMD22122, SCHMD14008
OG0000124	STRPU_06709, STRPU_09291, STRPU_09293	SCHMD10270, SCHMD10271
OG0000124	STRPU_10604	SCHMD08774
OG0000126	STRPU_06870	SCHMD24144
OG0000126	STRPU_04964	SCHMD01813, SCHMD04253
OG0000127	STRPU_06619	SCHMD03781
OG0000128	STRPU_10852, STRPU_10834, STRPU_17766, STRPU_17387, STRPU_17765, STRPU_17386, STRPU_24545, STRPU_20813, STRPU_00080, STRPU_21124, STRPU_21123, STRPU_21127, STRPU_21125	SCHMD25789, SCHMD19594
OG0000128	STRPU_05989	SCHMD29825
OG0000129	STRPU_15503	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	STRPU_21106, STRPU_21101	SCHMD05405
OG0000129	STRPU_06625	SCHMD03224
OG0000130	STRPU_26036, STRPU_26037	SCHMD02824, SCHMD13205
OG0000130	STRPU_21543, STRPU_04390, STRPU_04374	SCHMD17609
OG0000132	STRPU_25473, STRPU_27007, STRPU_05998, STRPU_06025, STRPU_05930, STRPU_06005	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	STRPU_17715, STRPU_18673, STRPU_18678	SCHMD09558
OG0000140	STRPU_13447	SCHMD02421, SCHMD05316, SCHMD01679
OG0000142	STRPU_25556	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000142	STRPU_10885, STRPU_10877, STRPU_10878, STRPU_10884, STRPU_10889, STRPU_10890, STRPU_10874	SCHMD29515, SCHMD28730
OG0000142	STRPU_10945, STRPU_10943	SCHMD18761, SCHMD19018, SCHMD17308
OG0000148	STRPU_00698, STRPU_22716, STRPU_00697, STRPU_22715	SCHMD08056
OG0000151	STRPU_23185	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	STRPU_20407	SCHMD02747, SCHMD12342
OG0000155	STRPU_07135	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	STRPU_07137	SCHMD13125
OG0000157	STRPU_22147	SCHMD03548, SCHMD06363
OG0000157	STRPU_25761	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418
OG0000158	STRPU_07153	SCHMD18936
OG0000158	STRPU_20283	SCHMD09898, SCHMD12271, SCHMD07912
OG0000158	STRPU_01554	SCHMD15100, SCHMD15049
OG0000159	STRPU_24070	SCHMD26601, SCHMD09606
OG0000159	STRPU_03795, STRPU_03792, STRPU_03793, STRPU_03789, STRPU_03791, STRPU_03790, STRPU_03788, STRPU_03786, STRPU_01680, STRPU_02685, STRPU_03923, STRPU_03889, STRPU_03918, STRPU_17842, STRPU_20008, STRPU_16418, STRPU_16719, STRPU_16429, STRPU_16426, STRPU_03276, STRPU_03235, STRPU_16278, STRPU_16427, STRPU_16430	SCHMD14942
OG0000160	STRPU_26893, STRPU_26892	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000162	STRPU_26981	SCHMD01637
OG0000163	STRPU_08825, STRPU_08826	SCHMD23090
OG0000163	STRPU_22081	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	STRPU_18023, STRPU_18089, STRPU_01777	SCHMD08400
OG0000166	STRPU_24488, STRPU_17844	SCHMD15704, SCHMD08401
OG0000169	STRPU_11063, STRPU_20288, STRPU_27127, STRPU_11174, STRPU_11175, STRPU_19750, STRPU_11169, STRPU_11168, STRPU_11173, STRPU_07592, STRPU_11424, STRPU_10438, STRPU_14116	SCHMD00387
OG0000173	STRPU_11148	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000174	STRPU_00043, STRPU_16005	SCHMD09838
OG0000174	STRPU_23493	SCHMD08354, SCHMD22729
OG0000175	STRPU_24379	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	STRPU_24411, STRPU_24412, STRPU_02319, STRPU_12738, STRPU_24563	SCHMD18439, SCHMD17544
OG0000179	STRPU_04627, STRPU_04649	SCHMD11075
OG0000179	STRPU_00166, STRPU_27037, STRPU_27036	SCHMD01320
OG0000180	STRPU_00336	SCHMD14947, SCHMD20813
OG0000181	STRPU_21403, STRPU_21400, STRPU_21401	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000181	STRPU_02398, STRPU_13672, STRPU_13671, STRPU_02399	SCHMD11453
OG0000182	STRPU_24839	SCHMD24741
OG0000182	STRPU_05812, STRPU_01509, STRPU_09058, STRPU_24830, STRPU_07977, STRPU_24762, STRPU_18360, STRPU_24761, STRPU_00923	SCHMD07603
OG0000183	STRPU_21811	SCHMD21103, SCHMD28756
OG0000183	STRPU_03432, STRPU_03075	SCHMD12130, SCHMD10333
OG0000186	STRPU_17963	SCHMD07850, SCHMD22114, SCHMD12081
OG0000186	STRPU_21692, STRPU_21757	SCHMD11605
OG0000186	STRPU_21070	SCHMD01519, SCHMD14176, SCHMD06313
OG0000186	STRPU_20741	SCHMD24594
OG0000192	STRPU_07493, STRPU_18443, STRPU_18409	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000194	STRPU_00024, STRPU_00025, STRPU_06136, STRPU_06137, STRPU_05974, STRPU_06736, STRPU_06599, STRPU_06600, STRPU_06597, STRPU_06598, STRPU_05970, STRPU_05971, STRPU_05972, STRPU_05973, STRPU_06442	SCHMD11912, SCHMD12565
OG0000195	STRPU_06815, STRPU_06128	SCHMD06851
OG0000195	STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458	SCHMD06771
OG0000195	STRPU_13259	SCHMD25501
OG0000197	STRPU_14405	SCHMD10696, SCHMD17861, SCHMD23209
OG0000199	STRPU_05348	SCHMD04798, SCHMD03517, SCHMD15299, SCHMD22901, SCHMD15092, SCHMD10817, SCHMD13703, SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974
OG0000201	STRPU_08330	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	STRPU_14222	SCHMD00317, SCHMD09035
OG0000201	STRPU_14748	SCHMD10520
