Orthogroup	STRPU_ok	ASTMX
OG0000001	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262	ASTMX14986, ASTMX22661, ASTMX20102, ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227	ASTMX07323
OG0000001	STRPU_12910, STRPU_12667, STRPU_13102	ASTMX16759, ASTMX18180
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	ASTMX13878
OG0000002	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083	ASTMX19248
OG0000003	STRPU_07634	ASTMX16763
OG0000003	STRPU_09153, STRPU_02119, STRPU_09154	ASTMX08462
OG0000004	STRPU_26215, STRPU_26214	ASTMX13606
OG0000004	STRPU_27014	ASTMX17274
OG0000004	STRPU_19329	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000005	STRPU_02665, STRPU_01699	ASTMX03244
OG0000006	STRPU_12837	ASTMX20216
OG0000006	STRPU_04777	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	STRPU_05111, STRPU_05037	ASTMX16363, ASTMX04345
OG0000006	STRPU_06684	ASTMX11700, ASTMX00138
OG0000006	STRPU_19989	ASTMX03791, ASTMX03123
OG0000006	STRPU_12594, STRPU_12593	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	STRPU_20521	ASTMX03256, ASTMX09680
OG0000006	STRPU_09165, STRPU_02127	ASTMX14682, ASTMX19702
OG0000006	STRPU_27184, STRPU_27203	ASTMX21126, ASTMX03352
OG0000006	STRPU_07314	ASTMX06644
OG0000006	STRPU_27126	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	STRPU_21069	ASTMX14827
OG0000006	STRPU_21071	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	STRPU_14340	ASTMX10604
OG0000007	STRPU_25459	ASTMX14980
OG0000007	STRPU_26581	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	STRPU_21427	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	STRPU_18763	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	STRPU_09815	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	STRPU_10770	ASTMX21073, ASTMX16179
OG0000007	STRPU_25304	ASTMX22376, ASTMX11119
OG0000007	STRPU_25458	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	STRPU_16477	ASTMX18062, ASTMX21262
OG0000007	STRPU_21790	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	STRPU_08442	ASTMX04966, ASTMX11650
OG0000007	STRPU_08417	ASTMX18779, ASTMX07711
OG0000007	STRPU_10590	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	STRPU_21559	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	STRPU_23377, STRPU_23376	ASTMX13129
OG0000011	STRPU_14781, STRPU_12222, STRPU_15041	ASTMX07900
OG0000011	STRPU_01277, STRPU_02577	ASTMX01926
OG0000011	STRPU_20280, STRPU_12367	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	STRPU_03079	ASTMX22970
OG0000012	STRPU_06380, STRPU_06825	ASTMX22063, ASTMX16492
OG0000012	STRPU_23513	ASTMX06265
OG0000014	STRPU_17754, STRPU_17755	ASTMX12908, ASTMX11632
OG0000014	STRPU_19509	ASTMX01423, ASTMX16397
OG0000015	STRPU_05546, STRPU_05605	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097
OG0000015	STRPU_05547, STRPU_05606	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	STRPU_21905	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	STRPU_06909	ASTMX09206
OG0000016	STRPU_09277	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484	ASTMX00540
OG0000016	STRPU_15361, STRPU_21110	ASTMX02874
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000019	STRPU_23414, STRPU_01023	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	STRPU_13949	ASTMX04834
OG0000020	STRPU_20580	ASTMX12285
OG0000020	STRPU_19028, STRPU_00464	ASTMX15062
OG0000020	STRPU_22748, STRPU_01903	ASTMX14060
OG0000020	STRPU_07115	ASTMX00490, ASTMX12696
OG0000020	STRPU_26678	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689
OG0000020	STRPU_22232	ASTMX16028
OG0000020	STRPU_19861, STRPU_19888	ASTMX17320
OG0000020	STRPU_05007	ASTMX04750, ASTMX21042
OG0000020	STRPU_11453	ASTMX05243
OG0000020	STRPU_04309, STRPU_04336	ASTMX04710
OG0000020	STRPU_05521	ASTMX07754
OG0000020	STRPU_21977	ASTMX13875
OG0000021	STRPU_23367	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	STRPU_25829	ASTMX00201, ASTMX09085
OG0000021	STRPU_02205, STRPU_15603	ASTMX02310, ASTMX16342
OG0000021	STRPU_02212, STRPU_15595	ASTMX09645
OG0000021	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213	ASTMX21461, ASTMX05545
OG0000021	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059	ASTMX13864
OG0000023	STRPU_09714, STRPU_09758	ASTMX18896
OG0000023	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000024	STRPU_14183, STRPU_00265	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426
OG0000026	STRPU_24999	ASTMX06810
OG0000028	STRPU_27008	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000029	STRPU_14123	ASTMX19971, ASTMX06514, ASTMX07156
OG0000030	STRPU_00450, STRPU_03952	ASTMX22473
OG0000030	STRPU_23383	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	STRPU_18729, STRPU_18720	ASTMX02378, ASTMX18821
OG0000030	STRPU_10522	ASTMX22293
OG0000031	STRPU_24640	ASTMX08659, ASTMX04771
OG0000031	STRPU_24955	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	STRPU_24636	ASTMX12572
OG0000031	STRPU_27330	ASTMX06525
OG0000031	STRPU_08004	ASTMX09693, ASTMX17541
OG0000031	STRPU_05537, STRPU_05597	ASTMX03912, ASTMX00105
OG0000031	STRPU_18994	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	STRPU_05368	ASTMX00107, ASTMX04176
OG0000031	STRPU_24676	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000032	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816	ASTMX06705
OG0000034	STRPU_15245, STRPU_15189	ASTMX03519
OG0000034	STRPU_11798	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	STRPU_11930, STRPU_11885	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	STRPU_27315	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	STRPU_11793	ASTMX12428, ASTMX02190
OG0000034	STRPU_04070	ASTMX01548
OG0000034	STRPU_12141, STRPU_12106	ASTMX02136
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	ASTMX17732
OG0000035	STRPU_27002	ASTMX22713, ASTMX21245
OG0000035	STRPU_13051	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	STRPU_12705, STRPU_12704	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	STRPU_12998, STRPU_12553	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	STRPU_12700	ASTMX15321, ASTMX20966
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	STRPU_09907	ASTMX19120
OG0000036	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	ASTMX01338, ASTMX03570
OG0000037	STRPU_20762	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	STRPU_24785	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	ASTMX03275
OG0000038	STRPU_17414, STRPU_17415	ASTMX05291
OG0000038	STRPU_18075, STRPU_01765	ASTMX12685, ASTMX17002
OG0000039	STRPU_13266	ASTMX03851
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	ASTMX16971
OG0000039	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246	ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	STRPU_13000	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000043	STRPU_10844, STRPU_10864	ASTMX09533
OG0000044	STRPU_09802	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	STRPU_13229, STRPU_13213	ASTMX06176
OG0000044	STRPU_00051	ASTMX07618
OG0000045	STRPU_26903	ASTMX16178
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	ASTMX22281
OG0000048	STRPU_05493	ASTMX04189
OG0000048	STRPU_15458	ASTMX13714
OG0000048	STRPU_09674	ASTMX03384
OG0000048	STRPU_20602	ASTMX15600
OG0000048	STRPU_20482	ASTMX04570
OG0000048	STRPU_26191	ASTMX00590
OG0000049	STRPU_17072	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	STRPU_23537	ASTMX00928, ASTMX08370, ASTMX07196
OG0000050	STRPU_06209, STRPU_11559, STRPU_20985, STRPU_20001, STRPU_23015, STRPU_00753, STRPU_03815, STRPU_10411, STRPU_16312, STRPU_07810, STRPU_07823, STRPU_11057, STRPU_09032, STRPU_09040, STRPU_20428, STRPU_00461	ASTMX16561
OG0000051	STRPU_27246	ASTMX08001
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	ASTMX02511
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	ASTMX04679
OG0000055	STRPU_20957	ASTMX17485
OG0000056	STRPU_26180	ASTMX17742
OG0000056	STRPU_19327	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000056	STRPU_12248, STRPU_11783	ASTMX18310
OG0000057	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000057	STRPU_09580	ASTMX18685, ASTMX11838
OG0000058	STRPU_10155, STRPU_10092	ASTMX10002
OG0000058	STRPU_08934	ASTMX01061
OG0000058	STRPU_09783	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000059	STRPU_05220	ASTMX20918
OG0000059	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	STRPU_24855	ASTMX04292, ASTMX07603
OG0000060	STRPU_12994	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	STRPU_13962	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	STRPU_02428, STRPU_13635	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	ASTMX18729, ASTMX15987
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	STRPU_08191	ASTMX01260
OG0000063	STRPU_18989	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	STRPU_23711	ASTMX11259, ASTMX01032
OG0000063	STRPU_18990, STRPU_18981, STRPU_07188	ASTMX13777
OG0000063	STRPU_18657	ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	STRPU_19100	ASTMX01776
OG0000067	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	STRPU_23284	ASTMX15456
OG0000068	STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939	ASTMX03045, ASTMX22587, ASTMX22308
OG0000070	STRPU_17447, STRPU_05505	ASTMX03868, ASTMX11850
OG0000070	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932	ASTMX17316, ASTMX02948
OG0000072	STRPU_05231	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521
OG0000072	STRPU_05349	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	STRPU_05343	ASTMX11250, ASTMX11618
OG0000072	STRPU_04704, STRPU_04707	ASTMX02462
OG0000073	STRPU_08362	ASTMX22931
OG0000073	STRPU_14789	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619
OG0000074	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	STRPU_05573, STRPU_05632	ASTMX12476
OG0000074	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961	ASTMX07079, ASTMX08304
OG0000075	STRPU_25005	ASTMX13833, ASTMX15058
OG0000075	STRPU_25123	ASTMX17154
OG0000075	STRPU_25122	ASTMX04760
OG0000075	STRPU_10595	ASTMX10641, ASTMX00718
OG0000075	STRPU_25157	ASTMX16716, ASTMX04759
OG0000075	STRPU_01897, STRPU_22743	ASTMX12953, ASTMX02098
OG0000075	STRPU_23530	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000075	STRPU_23991	ASTMX07134
OG0000077	STRPU_09555	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	STRPU_10408	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	STRPU_07855	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000078	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	STRPU_04091	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	STRPU_02493, STRPU_15115	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	STRPU_26495, STRPU_19060	ASTMX02943
OG0000080	STRPU_04387, STRPU_15801, STRPU_17234, STRPU_16347, STRPU_07754	ASTMX22762
OG0000080	STRPU_07841, STRPU_16971, STRPU_16830, STRPU_00556, STRPU_09960, STRPU_06340, STRPU_16071, STRPU_16545	ASTMX03885
OG0000081	STRPU_10387, STRPU_19245, STRPU_19246	ASTMX02774
OG0000082	STRPU_19842	ASTMX06917
OG0000082	STRPU_09694, STRPU_09737	ASTMX17888
OG0000082	STRPU_22564, STRPU_22563, STRPU_20087	ASTMX17248
OG0000083	STRPU_05477, STRPU_05480, STRPU_05479	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	STRPU_10120, STRPU_10047	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810
OG0000084	STRPU_09358	ASTMX08038
OG0000085	STRPU_24977	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	STRPU_15094	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	STRPU_25637	ASTMX19538
OG0000085	STRPU_14802	ASTMX21189, ASTMX20129
OG0000085	STRPU_17832	ASTMX08704, ASTMX02521
OG0000087	STRPU_06300, STRPU_06346	ASTMX06968
OG0000087	STRPU_23330	ASTMX06381
OG0000087	STRPU_08212	ASTMX19474
OG0000088	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	STRPU_10589	ASTMX10521
OG0000089	STRPU_17838, STRPU_22395	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992
OG0000090	STRPU_20024, STRPU_20023	ASTMX15822, ASTMX13800, ASTMX19765
OG0000090	STRPU_15706	ASTMX12258, ASTMX10648
OG0000091	STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652	ASTMX03395
OG0000093	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769
OG0000094	STRPU_22767, STRPU_01923	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	STRPU_19407	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671
OG0000096	STRPU_06019	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	STRPU_23963, STRPU_23937	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	STRPU_22229	ASTMX18278, ASTMX15892
OG0000096	STRPU_27319	ASTMX09859
OG0000096	STRPU_15853, STRPU_15805	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	STRPU_11677	ASTMX19590, ASTMX07352
OG0000096	STRPU_13124, STRPU_02569	ASTMX10423, ASTMX12959
OG0000098	STRPU_22565, STRPU_22567, STRPU_16696	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764
OG0000098	STRPU_26921, STRPU_27157	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	STRPU_05601, STRPU_05541, STRPU_05542, STRPU_05545, STRPU_05604	ASTMX21430
OG0000099	STRPU_16997, STRPU_16998	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000101	STRPU_12617	ASTMX00206, ASTMX00424
OG0000101	STRPU_17399, STRPU_17409	ASTMX08413
OG0000101	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047	ASTMX14248, ASTMX12706, ASTMX02894
OG0000102	STRPU_21344	ASTMX10991, ASTMX16111
OG0000103	STRPU_08665	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	STRPU_08161	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	STRPU_03670, STRPU_03681	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	STRPU_22118	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	STRPU_03688, STRPU_03686	ASTMX03728, ASTMX07045
OG0000104	STRPU_02772	ASTMX00149
OG0000104	STRPU_23716	ASTMX00709, ASTMX16073
OG0000106	STRPU_25282	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	STRPU_25442	ASTMX03154
OG0000106	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307	ASTMX10570, ASTMX00462
