protein_ID	transcript_ID	gene_ID
XP_030839176.1	rna-XM_030983316.1	LOC105438449
XP_030839483.1	rna-XM_030983623.1	LOC115923217
XP_011664560.2	rna-XM_011666258.2	LOC105438448
XP_030839630.1	rna-XM_030983770.1	LOC115923302
XP_030839750.1	rna-XM_030983890.1	LOC115923412
XP_030840050.1	rna-XM_030984190.1	LOC105438450
XP_030839837.1	rna-XM_030983977.1	LOC115923428
XP_030839971.1	rna-XM_030984111.1	LOC115923444
XP_030839924.1	rna-XM_030984064.1	LOC115923444
XP_030840134.1	rna-XM_030984274.1	LOC115923487
XP_030840298.1	rna-XM_030984438.1	LOC105440669
XP_030840377.1	rna-XM_030984517.1	LOC115923550
XP_030840460.1	rna-XM_030984600.1	LOC115923588
XP_030840663.1	rna-XM_030984803.1	LOC115923645
XP_030840816.1	rna-XM_030984956.1	LOC115923701
XP_030840893.1	rna-XM_030985033.1	LOC115923733
XP_030840972.1	rna-XM_030985112.1	LOC115923783
XP_030841134.1	rna-XM_030985274.1	LOC115923862
XP_030841193.1	rna-XM_030985333.1	LOC105440694
XP_030841155.1	rna-XM_030985295.1	LOC105440694
XP_030841394.1	rna-XM_030985534.1	LOC115923998
XP_030841345.1	rna-XM_030985485.1	LOC115923998
XP_030841692.1	rna-XM_030985832.1	LOC115924081
XP_030841767.1	rna-XM_030985907.1	LOC115924110
XP_030841848.1	rna-XM_030985988.1	LOC115924141
XP_030841989.1	rna-XM_030986129.1	LOC115924206
XP_030842075.1	rna-XM_030986215.1	LOC115924227
XP_030842152.1	rna-XM_030986292.1	LOC115924244
XP_030842219.1	rna-XM_030986359.1	LOC115924257
XP_030842339.1	rna-XM_030986479.1	LOC115924327
XP_030842371.1	rna-XM_030986511.1	LOC115924431
XP_030842438.1	rna-XM_030986578.1	LOC115924458
XP_030842538.1	rna-XM_030986678.1	LOC115924477
XP_030842630.1	rna-XM_030986770.1	LOC115924495
XP_030842800.1	rna-XM_030986940.1	LOC105445371
XP_030842995.1	rna-XM_030987135.1	LOC115924586
XP_030843164.1	rna-XM_030987304.1	LOC115924638
XP_030843242.1	rna-XM_030987382.1	LOC115924654
XP_030843475.1	rna-XM_030987615.1	LOC115924777
XP_030843602.1	rna-XM_030987742.1	LOC115924899
XP_030843698.1	rna-XM_030987838.1	LOC105441570
XP_030843785.1	rna-XM_030987925.1	LOC115924939
XP_030843869.1	rna-XM_030988009.1	LOC115924962
XP_030843957.1	rna-XM_030988097.1	LOC115924984
XP_030844034.1	rna-XM_030988174.1	LOC115925016
XP_030844110.1	rna-XM_030988250.1	LOC115925070
XP_030844287.1	rna-XM_030988427.1	LOC115925131
XP_030844378.1	rna-XM_030988518.1	LOC115925157
XP_030844466.1	rna-XM_030988606.1	LOC115925174
XP_030844556.1	rna-XM_030988696.1	LOC115925189
XP_030844740.1	rna-XM_030988880.1	LOC115925238
XP_030844868.1	rna-XM_030989008.1	LOC115925318
XP_030844952.1	rna-XM_030989092.1	LOC115925370
XP_011675183.2	rna-XM_011676881.2	LOC105443566
XP_030845289.1	rna-XM_030989429.1	LOC105442427
XP_030845435.1	rna-XM_030989575.1	LOC115925519
XP_030845513.1	rna-XM_030989653.1	LOC115925542
XP_030845798.1	rna-XM_030989938.1	LOC115925875
XP_030845860.1	rna-XM_030990000.1	LOC115925932
XP_030846021.1	rna-XM_030990161.1	LOC115925986
XP_030846130.1	rna-XM_030990270.1	LOC115926017
XP_030846210.1	rna-XM_030990350.1	LOC115926037
XP_030846304.1	rna-XM_030990444.1	LOC115926063
XP_030846397.1	rna-XM_030990537.1	LOC115926092
XP_030854286.1	rna-XM_030998426.1	LOC115929459
XP_030854458.1	rna-XM_030998598.1	LOC115929505
XP_030854538.1	rna-XM_030998678.1	LOC115929525
XP_030854601.1	rna-XM_030998741.1	LOC115929525
XP_030855388.1	rna-XM_030999528.1	LOC115929689
XP_030855581.1	rna-XM_030999721.1	LOC115929735
XP_030855683.1	rna-XM_030999823.1	LOC115929735
XP_030855634.1	rna-XM_030999774.1	LOC115929735
XP_030855709.1	rna-XM_030999849.1	LOC115929735
XP_030855736.1	rna-XM_030999876.1	LOC115929735
XP_030855542.1	rna-XM_030999682.1	LOC115929735
XP_030855820.1	rna-XM_030999960.1	LOC115917939
XP_030855897.1	rna-XM_031000037.1	LOC115929897
XP_030855985.1	rna-XM_031000125.1	LOC115929940
XP_030856266.1	rna-XM_031000406.1	LOC762437
XP_030827817.1	rna-XM_030971957.1	LOC115919123
XP_030828164.1	rna-XM_030972304.1	LOC115919175
XP_030828043.1	rna-XM_030972183.1	LOC115919157
XP_030828090.1	rna-XM_030972230.1	LOC115919157
XP_030828297.1	rna-XM_030972437.1	LOC115919209
XP_030828614.1	rna-XM_030972754.1	LOC105442637
XP_030828557.1	rna-XM_030972697.1	LOC105442637
XP_030828810.1	rna-XM_030972950.1	LOC105442637
XP_030828665.1	rna-XM_030972805.1	LOC105442637
XP_030828760.1	rna-XM_030972900.1	LOC105442637
XP_030828709.1	rna-XM_030972849.1	LOC105442637
XP_030829071.1	rna-XM_030973211.1	LOC115919429
XP_030829167.1	rna-XM_030973307.1	LOC590073
XP_030829253.1	rna-XM_030973393.1	LOC115919471
XP_030829338.1	rna-XM_030973478.1	LOC105438255
XP_787451.1	rna-XM_782358.4	LOC582406
XP_011670278.1	rna-XM_011671976.2	LOC105441119
XP_030829517.1	rna-XM_030973657.1	LOC100893769
XP_030829554.1	rna-XM_030973694.1	LOC105440506
XP_030829717.1	rna-XM_030973857.1	LOC100893710
XP_030829796.1	rna-XM_030973936.1	LOC577919
XP_011683404.1	rna-XM_011685102.2	LOC105447261
XP_030829953.1	rna-XM_030974093.1	LOC115919809
XP_011677646.1	rna-XM_011679344.2	LOC105444719
XP_030830112.1	rna-XM_030974252.1	LOC115919827
XP_030830182.1	rna-XM_030974322.1	LOC115919849
XP_030830269.1	rna-XM_030974409.1	LOC115919860
XP_030830383.1	rna-XM_030974523.1	LOC100893445
XP_011682730.2	rna-XM_011684428.2	LOC590065
XP_011682726.2	rna-XM_011684424.2	LOC590065
XP_030830653.1	rna-XM_030974793.1	LOC592123
XP_030830716.1	rna-XM_030974856.1	LOC115920010
XP_030830796.1	rna-XM_030974936.1	LOC764615
XP_030830876.1	rna-XM_030975016.1	LOC105442748
XP_030830902.1	rna-XM_030975042.1	LOC105442748
XP_030830936.1	rna-XM_030975076.1	LOC105442748
XP_030831000.1	rna-XM_030975140.1	LOC115920155
XP_030831176.1	rna-XM_030975316.1	LOC115920184
XP_030831095.1	rna-XM_030975235.1	LOC115920172
XP_798613.4	rna-XM_793520.5	LOC594069
XP_798631.3	rna-XM_793538.5	LOC594088
XP_030831417.1	rna-XM_030975557.1	LOC115920224
XP_030831496.1	rna-XM_030975636.1	LOC115920246
XP_030831905.1	rna-XM_030976045.1	LOC115920362
XP_030831836.1	rna-XM_030975976.1	LOC578987
XP_030831981.1	rna-XM_030976121.1	LOC575936
XP_030832118.1	rna-XM_030976258.1	LOC589241
XP_030832169.1	rna-XM_030976309.1	LOC115920495
XP_030832466.1	rna-XM_030976606.1	LOC115920579
XP_030832551.1	rna-XM_030976691.1	LOC574978
XP_030832637.1	rna-XM_030976777.1	LOC100888957
XP_030833168.1	rna-XM_030977308.1	LOC584759
XP_030832974.1	rna-XM_030977114.1	LOC584759
XP_030833216.1	rna-XM_030977356.1	LOC584759
XP_030833116.1	rna-XM_030977256.1	LOC584759
XP_030833319.1	rna-XM_030977459.1	LOC584759
XP_030832718.1	rna-XM_030976858.1	LOC584759
XP_030832801.1	rna-XM_030976941.1	LOC584759
XP_030832853.1	rna-XM_030976993.1	LOC584759
XP_030832915.1	rna-XM_030977055.1	LOC584759
XP_030832761.1	rna-XM_030976901.1	LOC584759
XP_030833340.1	rna-XM_030977480.1	LOC578739
XP_030833350.1	rna-XM_030977490.1	LOC578867
XP_030833355.1	rna-XM_030977495.1	LOC578867
XP_030833366.1	rna-XM_030977506.1	LOC578867
XP_030833360.1	rna-XM_030977500.1	LOC578867
XP_030833376.1	rna-XM_030977516.1	LOC582914
XP_030833385.1	rna-XM_030977525.1	LOC582914
XP_030833392.1	rna-XM_030977532.1	LOC591079
XP_030833399.1	rna-XM_030977539.1	LOC586284
XP_030833409.1	rna-XM_030977549.1	LOC752295
XP_030833421.1	rna-XM_030977561.1	LOC752295
XP_030833427.1	rna-XM_030977567.1	LOC752295
XP_030833434.1	rna-XM_030977574.1	LOC752295
XP_030833414.1	rna-XM_030977554.1	LOC752295
XP_030833442.1	rna-XM_030977582.1	LOC115920873
XP_011672537.1	rna-XM_011674235.1	LOC754881
XP_030833483.1	rna-XM_030977623.1	LOC105441519
XP_030833491.1	rna-XM_030977631.1	LOC115920894
XP_030833459.1	rna-XM_030977599.1	LOC115920886
XP_030833466.1	rna-XM_030977606.1	LOC115920886
XP_030833538.1	rna-XM_030977678.1	LOC100890101
XP_030833543.1	rna-XM_030977683.1	LOC105442155
XP_030833515.1	rna-XM_030977655.1	LOC752075
XP_781065.2	rna-XM_775972.4	LOC575580
XP_030833575.1	rna-XM_030977715.1	LOC115920926
XP_780031.1	rna-XM_774938.5	LOC574788
XP_030833607.1	rna-XM_030977747.1	LOC575780
XP_030833614.1	rna-XM_030977754.1	LOC575780
XP_030833619.1	rna-XM_030977759.1	LOC575780
XP_030833599.1	rna-XM_030977739.1	LOC575780
XP_030833594.1	rna-XM_030977734.1	LOC575780
XP_030833582.1	rna-XM_030977722.1	LOC575845
XP_030833627.1	rna-XM_030977767.1	LOC115920953
XP_030833643.1	rna-XM_030977783.1	LOC115920960
XP_030833635.1	rna-XM_030977775.1	LOC586707
XP_011667797.1	rna-XM_011669495.2	LOC105439926
XP_030833652.1	rna-XM_030977792.1	LOC115920964
XP_030833669.1	rna-XM_030977809.1	LOC577794
XP_030833680.1	rna-XM_030977820.1	LOC105439929
XP_030833677.1	rna-XM_030977817.1	LOC105439929
XP_030833718.1	rna-XM_030977858.1	LOC115918423
XP_030833712.1	rna-XM_030977852.1	LOC115918423
XP_030833687.1	rna-XM_030977827.1	LOC579102
XP_030833700.1	rna-XM_030977840.1	LOC579102
XP_030833694.1	rna-XM_030977834.1	LOC579102
XP_011661652.2	rna-XM_011663350.2	LOC100889470
XP_030833735.1	rna-XM_030977875.1	LOC100889391
XP_030833744.1	rna-XM_030977884.1	LOC579151
XP_781842.1	rna-XM_776749.5	LOC576441
XP_030833767.1	rna-XM_030977907.1	LOC580280
XP_030833771.1	rna-XM_030977911.1	LOC580280
XP_030833781.1	rna-XM_030977921.1	LOC115918425
XP_030833790.1	rna-XM_030977930.1	LOC115918425
XP_011665889.1	rna-XM_011667587.2	LOC115917952
XP_030833818.1	rna-XM_030977958.1	LOC100892326
XP_030833809.1	rna-XM_030977949.1	LOC100892326
XP_030833815.1	rna-XM_030977955.1	LOC100892326
XP_030833826.1	rna-XM_030977966.1	LOC100892326
XP_030833840.1	rna-XM_030977980.1	LOC115921023
XP_030833501.1	rna-XM_030977641.1	LOC115920898
XP_030833520.1	rna-XM_030977660.1	LOC115917943
XP_030833852.1	rna-XM_030977992.1	LOC115921025
XP_030833889.1	rna-XM_030978029.1	LOC585694
XP_030833870.1	rna-XM_030978010.1	LOC585694
XP_030833874.1	rna-XM_030978014.1	LOC585694
XP_030833880.1	rna-XM_030978020.1	LOC585694
XP_030833898.1	rna-XM_030978038.1	LOC115921035
XP_003728585.2	rna-XM_003728537.3	LOC100893020
XP_030833532.1	rna-XM_030977672.1	LOC115920909
XP_030833858.1	rna-XM_030977998.1	LOC115921026
XP_030833860.1	rna-XM_030978000.1	LOC115921026
XP_003728584.1	rna-XM_003728536.3	LOC592517
XP_030833923.1	rna-XM_030978063.1	LOC115921044
XP_030833927.1	rna-XM_030978067.1	LOC115921048
XP_030833934.1	rna-XM_030978074.1	LOC584338
XP_030834007.1	rna-XM_030978147.1	LOC115921077
XP_030833951.1	rna-XM_030978091.1	LOC115921056
XP_030833958.1	rna-XM_030978098.1	LOC115921056
XP_030833963.1	rna-XM_030978103.1	LOC590808
XP_030833974.1	rna-XM_030978114.1	LOC762929
XP_030834013.1	rna-XM_030978153.1	LOC583843
XP_030833985.1	rna-XM_030978125.1	LOC115918429
XP_030833989.1	rna-XM_030978129.1	LOC115918429
XP_030833998.1	rna-XM_030978138.1	LOC115921074
XP_030834083.1	rna-XM_030978223.1	LOC115921118
XP_030834092.1	rna-XM_030978232.1	LOC100888214
XP_030834101.1	rna-XM_030978241.1	LOC115918433
XP_030834108.1	rna-XM_030978248.1	LOC115921130
XP_003725020.2	rna-XM_003724972.3	LOC100890098
XP_030834219.1	rna-XM_030978359.1	LOC100889326
XP_030834214.1	rna-XM_030978354.1	LOC100889326
XP_030834210.1	rna-XM_030978350.1	LOC100889326
XP_030834226.1	rna-XM_030978366.1	LOC100889326
XP_030834245.1	rna-XM_030978385.1	LOC100889266
XP_030834253.1	rna-XM_030978393.1	LOC100889266
XP_030834119.1	rna-XM_030978259.1	LOC115921134
XP_030834263.1	rna-XM_030978403.1	LOC115921183
XP_011673484.2	rna-XM_011675182.2	LOC105442750
XP_030834286.1	rna-XM_030978426.1	LOC105447596
NP_001107668.1	rna-NM_001114196.1	LOC583541
XP_011661271.1	rna-XM_011662969.1	LOC105436917
XP_030834136.1	rna-XM_030978276.1	LOC115921144
XP_030834146.1	rna-XM_030978286.1	LOC115921145
XP_030834153.1	rna-XM_030978293.1	LOC115921148
XP_001175797.1	rna-XM_001175797.4	LOC752335
XP_011661269.1	rna-XM_011662967.2	LOC752335
XP_030834323.1	rna-XM_030978463.1	LOC581224
XP_030834316.1	rna-XM_030978456.1	LOC581224
XP_030834325.1	rna-XM_030978465.1	LOC100889255
XP_030834161.1	rna-XM_030978301.1	LOC764957
XP_030834167.1	rna-XM_030978307.1	LOC763910
XP_030834335.1	rna-XM_030978475.1	LOC105442816
XP_030834343.1	rna-XM_030978483.1	LOC105446333
XP_003724883.1	rna-XM_003724835.3	LOC100889147
XP_011681420.2	rna-XM_011683118.2	LOC100889642
XP_030834186.1	rna-XM_030978326.1	LOC115921156
XP_030834346.1	rna-XM_030978486.1	LOC765151
XP_011662418.1	rna-XM_011664116.2	LOC105437477
XP_030834376.1	rna-XM_030978516.1	LOC115921237
XP_030834403.1	rna-XM_030978543.1	LOC100888475
XP_030834411.1	rna-XM_030978551.1	LOC100888475
XP_011673600.1	rna-XM_011675298.2	LOC589731
XP_030834390.1	rna-XM_030978530.1	LOC115921243
XP_030834388.1	rna-XM_030978528.1	LOC115921243
XP_030834395.1	rna-XM_030978535.1	LOC115921243
XP_030834363.1	rna-XM_030978503.1	LOC115921234
XP_030834460.1	rna-XM_030978600.1	LOC581904
XP_030834452.1	rna-XM_030978592.1	LOC581904
XP_030834447.1	rna-XM_030978587.1	LOC581904
XP_030834440.1	rna-XM_030978580.1	LOC581904
XP_030834426.1	rna-XM_030978566.1	LOC581904
XP_030834429.1	rna-XM_030978569.1	LOC581904
XP_030834434.1	rna-XM_030978574.1	LOC581904
XP_030834468.1	rna-XM_030978608.1	LOC100890122
XP_030834472.1	rna-XM_030978612.1	LOC100890122
XP_030834480.1	rna-XM_030978620.1	LOC115921284
XP_030834369.1	rna-XM_030978509.1	LOC115921235
XP_030834497.1	rna-XM_030978637.1	LOC115921294
XP_030834488.1	rna-XM_030978628.1	LOC115921288
XP_030834519.1	rna-XM_030978659.1	LOC581433
XP_030834512.1	rna-XM_030978652.1	LOC115921304
XP_030834528.1	rna-XM_030978668.1	LOC115921310
XP_003726249.1	rna-XM_003726201.3	LOC100891717
XP_011675209.2	rna-XM_011676907.2	LOC581596
XP_011675208.2	rna-XM_011676906.2	LOC581596
XP_011675207.2	rna-XM_011676905.2	LOC581596
XP_011675206.2	rna-XM_011676904.2	LOC581596
XP_030834561.1	rna-XM_030978701.1	LOC588847
XP_030834567.1	rna-XM_030978707.1	LOC588847
XP_030834579.1	rna-XM_030978719.1	LOC764237
XP_030834589.1	rna-XM_030978729.1	LOC582372
XP_030834600.1	rna-XM_030978740.1	LOC586490
XP_030834619.1	rna-XM_030978759.1	LOC115921353
XP_030834610.1	rna-XM_030978750.1	LOC115921346
XP_030834814.1	rna-XM_030978954.1	LOC762434
XP_011678993.2	rna-XM_011680691.2	LOC589205
XP_030834826.1	rna-XM_030978966.1	LOC753954
XP_030834630.1	rna-XM_030978770.1	LOC105445309
XP_030834644.1	rna-XM_030978784.1	LOC115918206
XP_030834637.1	rna-XM_030978777.1	LOC115918206
XP_030834831.1	rna-XM_030978971.1	LOC115921468
XP_030834835.1	rna-XM_030978975.1	LOC105445305
XP_030834838.1	rna-XM_030978978.1	LOC115921474
XP_030834653.1	rna-XM_030978793.1	LOC105436718
XP_030834661.1	rna-XM_030978801.1	LOC115921375
XP_011670618.2	rna-XM_011672316.2	LOC594611
XP_030834675.1	rna-XM_030978815.1	LOC594611
XP_799139.3	rna-XM_794046.5	LOC594611
XP_011680973.2	rna-XM_011682671.2	LOC105446185
XP_030834703.1	rna-XM_030978843.1	LOC589177
XP_030834697.1	rna-XM_030978837.1	LOC589177
XP_030834714.1	rna-XM_030978854.1	LOC115921395
XP_030834744.1	rna-XM_030978884.1	LOC115921414
XP_030834752.1	rna-XM_030978892.1	LOC115921421
XP_030834763.1	rna-XM_030978903.1	LOC115921421
XP_030834757.1	rna-XM_030978897.1	LOC115921421
XP_030834770.1	rna-XM_030978910.1	LOC115918121
XP_780035.1	rna-XM_774942.4	LOC578813
XP_030834787.1	rna-XM_030978927.1	LOC578813
XP_030834801.1	rna-XM_030978941.1	LOC589921
XP_030834807.1	rna-XM_030978947.1	LOC115921451
XP_030835632.1	rna-XM_030979772.1	LOC105436953
XP_030834863.1	rna-XM_030979003.1	LOC115921507
XP_030834987.1	rna-XM_030979127.1	LOC105442115
XP_030834979.1	rna-XM_030979119.1	LOC105442115
XP_030834997.1	rna-XM_030979137.1	LOC105442116
XP_003729772.2	rna-XM_003729724.3	LOC100891071
XP_030835016.1	rna-XM_030979156.1	LOC579986
XP_030834870.1	rna-XM_030979010.1	LOC100891226
XP_030835022.1	rna-XM_030979162.1	LOC593931
XP_030835051.1	rna-XM_030979191.1	LOC593925
XP_030835057.1	rna-XM_030979197.1	LOC593925
XP_030835045.1	rna-XM_030979185.1	LOC593925
XP_030835038.1	rna-XM_030979178.1	LOC593925
XP_030835028.1	rna-XM_030979168.1	LOC756509
XP_030835068.1	rna-XM_030979208.1	LOC590177
XP_030835079.1	rna-XM_030979219.1	LOC115921605
XP_030835084.1	rna-XM_030979224.1	LOC115921605
XP_030835092.1	rna-XM_030979232.1	LOC115921616
XP_030835100.1	rna-XM_030979240.1	LOC115921620
XP_030834875.1	rna-XM_030979015.1	LOC115921518
XP_030835111.1	rna-XM_030979251.1	LOC581489
XP_030835121.1	rna-XM_030979261.1	LOC753069
XP_782171.3	rna-XM_777078.5	LOC576809
XP_003730531.1	rna-XM_003730483.3	LOC576809
XP_030835134.1	rna-XM_030979274.1	LOC754229
XP_003729246.2	rna-XM_003729198.2	LOC100888779
XP_030835139.1	rna-XM_030979279.1	LOC115918453
XP_030834878.1	rna-XM_030979018.1	LOC105444169
XP_011671814.1	rna-XM_011673512.2	LOC576239
XP_788488.3	rna-XM_783395.5	LOC583489
NP_001335957.1	rna-NM_001349028.1	VAMP
NP_001335958.1	rna-NM_001349029.1	VAMP
XP_030835163.1	rna-XM_030979303.1	LOC578488
XP_030835176.1	rna-XM_030979316.1	LOC752404
XP_030835184.1	rna-XM_030979324.1	LOC115917921
XP_030835191.1	rna-XM_030979331.1	LOC115917921
XP_783909.3	rna-XM_778816.5	LOC578659
XP_030835213.1	rna-XM_030979353.1	LOC756648
XP_001185644.1	rna-XM_001185644.3	LOC754443
XP_780284.4	rna-XM_775191.5	LOC574793
XP_780352.2	rna-XM_775259.5	LOC574857
XP_030835256.1	rna-XM_030979396.1	LOC115918455
XP_030835264.1	rna-XM_030979404.1	LOC575002
XP_003727232.1	rna-XM_003727184.3	LOC100889306
XP_011674103.1	rna-XM_011675801.2	LOC575062
XP_011674104.2	rna-XM_011675802.2	LOC105443016
XP_030835311.1	rna-XM_030979451.1	LOC100892128
XP_030835306.1	rna-XM_030979446.1	LOC100892128
XP_030835299.1	rna-XM_030979439.1	LOC100892128
XP_003726436.2	rna-XM_003726388.3	LOC100893798
XP_030834880.1	rna-XM_030979020.1	LOC115921531
XP_030835334.1	rna-XM_030979474.1	LOC115921668
XP_030835328.1	rna-XM_030979468.1	LOC115921668
XP_030835357.1	rna-XM_030979497.1	LOC115921668
XP_030835343.1	rna-XM_030979483.1	LOC115921668
XP_030835349.1	rna-XM_030979489.1	LOC115921668
XP_030835368.1	rna-XM_030979508.1	LOC115921677
XP_030835382.1	rna-XM_030979522.1	LOC100894105
XP_030834882.1	rna-XM_030979022.1	LOC115921538
XP_011676508.2	rna-XM_011678206.2	LOC105444240
XP_030835408.1	rna-XM_030979548.1	LOC115921679
XP_030835398.1	rna-XM_030979538.1	LOC115921679
XP_030835416.1	rna-XM_030979556.1	LOC586019
XP_030834887.1	rna-XM_030979027.1	LOC115921539
XP_030835424.1	rna-XM_030979564.1	LOC100887929
XP_003726435.1	rna-XM_003726387.3	LOC100893731
XP_030835439.1	rna-XM_030979579.1	LOC115921684
XP_030835452.1	rna-XM_030979592.1	LOC575530
XP_030835464.1	rna-XM_030979604.1	LOC105442113
XP_030835475.1	rna-XM_030979615.1	LOC105439574
XP_030835479.1	rna-XM_030979619.1	LOC105439574
XP_030835486.1	rna-XM_030979626.1	LOC105439574
XP_030835508.1	rna-XM_030979648.1	LOC590010
XP_001177494.1	rna-XM_001177494.4	LOC753784
XP_030835512.1	rna-XM_030979652.1	LOC115921698
XP_030835518.1	rna-XM_030979658.1	LOC115921698
XP_030835528.1	rna-XM_030979668.1	LOC754045
XP_030834893.1	rna-XM_030979033.1	LOC115918451
XP_030834902.1	rna-XM_030979042.1	LOC100894080
XP_030835548.1	rna-XM_030979688.1	LOC575944
XP_030835552.1	rna-XM_030979692.1	LOC575944
XP_030834912.1	rna-XM_030979052.1	LOC115921547
XP_030834922.1	rna-XM_030979062.1	LOC115921551
XP_030834926.1	rna-XM_030979066.1	LOC105436970
XP_790064.3	rna-XM_784971.5	LOC585134
XP_030834933.1	rna-XM_030979073.1	LOC580300
XP_003724747.1	rna-XM_003724699.3	LOC100893168
XP_030834939.1	rna-XM_030979079.1	LOC115918452
XP_030835580.1	rna-XM_030979720.1	LOC115918460
XP_030835586.1	rna-XM_030979726.1	LOC115921719
XP_030835596.1	rna-XM_030979736.1	LOC115917973
XP_030835617.1	rna-XM_030979757.1	LOC115917973
XP_030835625.1	rna-XM_030979765.1	LOC115917973
XP_030835610.1	rna-XM_030979750.1	LOC115917973
XP_030835605.1	rna-XM_030979745.1	LOC115917973
XP_030834949.1	rna-XM_030979089.1	LOC586121
XP_030834961.1	rna-XM_030979101.1	LOC115921557
XP_030834965.1	rna-XM_030979105.1	LOC115921560
XP_030834975.1	rna-XM_030979115.1	LOC115921561
XP_030835881.1	rna-XM_030980021.1	LOC100892661
XP_030835895.1	rna-XM_030980035.1	LOC115921813
XP_030835908.1	rna-XM_030980048.1	LOC115918469
