Orthogroup	HELIO_ok	CAEEL
OG0000031	HELIO_00475, HELIO_11237	CAEEL02023
OG0000031	HELIO_00951	CAEEL04718
OG0000031	HELIO_00638	CAEEL07076
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	CAEEL19615
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986, HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	HELIO_11044	CAEEL20539
OG0000034	HELIO_03041, HELIO_03040	CAEEL07900
OG0000034	HELIO_11045	CAEEL13037
OG0000034	HELIO_10910	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	HELIO_05981	CAEEL01132
OG0000034	HELIO_12487	CAEEL03140, CAEEL03141
OG0000035	HELIO_04621	CAEEL01943
OG0000035	HELIO_10164	CAEEL20458
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	CAEEL15057
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	HELIO_01421	CAEEL17629, CAEEL17628
OG0000037	HELIO_01377	CAEEL20275
OG0000037	HELIO_04770	CAEEL09012, CAEEL08645
OG0000039	HELIO_00133	CAEEL01773, CAEEL00466
OG0000044	HELIO_07264	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000048	HELIO_11103	CAEEL17799
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844	CAEEL18565
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	CAEEL09464
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000056	HELIO_05303	CAEEL05273
OG0000061	HELIO_11204	CAEEL08422
OG0000061	HELIO_00140	CAEEL07898
OG0000061	HELIO_07930	CAEEL20509
OG0000062	HELIO_06316	CAEEL02955
OG0000063	HELIO_10147	CAEEL05773
OG0000063	HELIO_04155	CAEEL04400
OG0000066	HELIO_11387	CAEEL20109
OG0000068	HELIO_09495, HELIO_11520, HELIO_04643, HELIO_09524, HELIO_08964	CAEEL06439
OG0000069	HELIO_11698	CAEEL14766
OG0000069	HELIO_03190	CAEEL19293
OG0000069	HELIO_05270	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699
OG0000071	HELIO_04987, HELIO_11295	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077
OG0000072	HELIO_10317	CAEEL07368
OG0000075	HELIO_07086	CAEEL03008
OG0000075	HELIO_09567	CAEEL11367
OG0000075	HELIO_05177, HELIO_00684	CAEEL11291
OG0000077	HELIO_05657	CAEEL01559
OG0000077	HELIO_00295	CAEEL06904
OG0000077	HELIO_11466	CAEEL18420
OG0000078	HELIO_07319, HELIO_06987	CAEEL18404, CAEEL11831
OG0000079	HELIO_01794, HELIO_05740	CAEEL18822, CAEEL09849
OG0000079	HELIO_00549	CAEEL07248
OG0000082	HELIO_12249	CAEEL18954, CAEEL04897
OG0000082	HELIO_08556	CAEEL13927
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	CAEEL12687
OG0000085	HELIO_02405	CAEEL06909
OG0000085	HELIO_05344	CAEEL07542
OG0000087	HELIO_02061	CAEEL16056
OG0000090	HELIO_12415	CAEEL18451
OG0000090	HELIO_09255, HELIO_00241, HELIO_05256, HELIO_03859, HELIO_12616	CAEEL10114
OG0000094	HELIO_07015	CAEEL10719
OG0000094	HELIO_03878	CAEEL18425
OG0000095	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	HELIO_07466	CAEEL16555
OG0000096	HELIO_03681	CAEEL11088
OG0000096	HELIO_03321	CAEEL08533
OG0000096	HELIO_03947	CAEEL11776
OG0000096	HELIO_09595	CAEEL07422
OG0000098	HELIO_00467, HELIO_11416	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	HELIO_00318, HELIO_06995	CAEEL05000, CAEEL01295
OG0000099	HELIO_00319	CAEEL19098, CAEEL14903
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	HELIO_03996	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	HELIO_12543	CAEEL01469, CAEEL18445
OG0000104	HELIO_04946	CAEEL04070
OG0000104	HELIO_03807, HELIO_05172, HELIO_02282, HELIO_00006	CAEEL18800
OG0000106	HELIO_05614, HELIO_10877	CAEEL19130, CAEEL20701
OG0000107	HELIO_04878	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175
OG0000110	HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452	CAEEL10319, CAEEL17689
OG0000113	HELIO_06754	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	HELIO_08152	CAEEL03306, CAEEL13040
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	CAEEL18136
OG0000116	HELIO_08217, HELIO_10553	CAEEL14875
OG0000117	HELIO_01494	CAEEL07433
OG0000119	HELIO_09291	CAEEL08480
OG0000119	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015	CAEEL08396
OG0000122	HELIO_00601, HELIO_11330, HELIO_07753	CAEEL01544
OG0000124	HELIO_02264	CAEEL19897
OG0000124	HELIO_08965	CAEEL04963
OG0000124	HELIO_01505	CAEEL15384, CAEEL15382
OG0000125	HELIO_09637, HELIO_09639, HELIO_08654	CAEEL19671
OG0000126	HELIO_02617	CAEEL09101
OG0000126	HELIO_12717	CAEEL10194
OG0000127	HELIO_00274	CAEEL19207
OG0000127	HELIO_04203	CAEEL20452
OG0000127	HELIO_00760	CAEEL00838
OG0000128	HELIO_09757, HELIO_05183, HELIO_03924, HELIO_07945, HELIO_04974	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	HELIO_12045	CAEEL12325
OG0000131	HELIO_00530, HELIO_08397	CAEEL08663
OG0000132	HELIO_04353	CAEEL16523, CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	HELIO_01589, HELIO_12262	CAEEL10559
OG0000147	HELIO_12780	CAEEL04811
OG0000147	HELIO_07856	CAEEL18488
OG0000148	HELIO_09000, HELIO_12241	CAEEL09804
OG0000149	HELIO_11224	CAEEL02847
OG0000154	HELIO_00470	CAEEL02932
OG0000155	HELIO_02785, HELIO_06336	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	HELIO_02764	CAEEL00241
OG0000157	HELIO_02898	CAEEL01390
OG0000158	HELIO_05890	CAEEL20117, CAEEL08684
OG0000159	HELIO_11077	CAEEL19486
OG0000159	HELIO_07755	CAEEL02031
OG0000159	HELIO_07071, HELIO_00285, HELIO_10509	CAEEL05281
OG0000160	HELIO_06133, HELIO_11300, HELIO_11870, HELIO_09094	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	HELIO_05553, HELIO_10661	CAEEL08313
OG0000163	HELIO_07317	CAEEL20194, CAEEL08850
OG0000164	HELIO_11223	CAEEL05391, CAEEL18768
OG0000164	HELIO_09272, HELIO_04214	CAEEL09304
OG0000165	HELIO_01649	CAEEL07846
OG0000167	HELIO_01889	CAEEL02846
OG0000168	HELIO_07708, HELIO_00592	CAEEL19018
OG0000171	HELIO_03619	CAEEL11480
OG0000172	HELIO_11555	CAEEL04412
OG0000173	HELIO_09570, HELIO_09571	CAEEL04156
OG0000174	HELIO_09480, HELIO_04614, HELIO_10809	CAEEL12711
OG0000174	HELIO_01069	CAEEL09479
OG0000175	HELIO_05633	CAEEL19241
OG0000175	HELIO_11471	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	HELIO_05015	CAEEL13640
OG0000179	HELIO_04929	CAEEL02965, CAEEL06713
OG0000179	HELIO_08122	CAEEL19466, CAEEL07193
OG0000181	HELIO_03744	CAEEL10858
OG0000181	HELIO_11084, HELIO_06953	CAEEL10772
OG0000181	HELIO_10771	CAEEL12632
OG0000183	HELIO_03106, HELIO_07785	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	HELIO_12279, HELIO_02987	CAEEL18435
OG0000184	HELIO_04383	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	HELIO_08141	CAEEL14200
OG0000186	HELIO_02314	CAEEL00795, CAEEL05654
OG0000188	HELIO_10975	CAEEL20699
OG0000195	HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	HELIO_03671	CAEEL04387
OG0000197	HELIO_03884	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	HELIO_07810	CAEEL03057, CAEEL05629, CAEEL09718
OG0000201	HELIO_11591, HELIO_07497	CAEEL07587
OG0000202	HELIO_09483, HELIO_08601	CAEEL20283
OG0000203	HELIO_01088, HELIO_02460	CAEEL09812
OG0000205	HELIO_00076	CAEEL13029
OG0000205	HELIO_00235, HELIO_07450	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091	CAEEL05874, CAEEL00203
OG0000210	HELIO_12121	CAEEL19469
OG0000211	HELIO_00554	CAEEL15290
OG0000211	HELIO_11035	CAEEL02311
OG0000215	HELIO_05873, HELIO_05161	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289
OG0000218	HELIO_12321, HELIO_05067	CAEEL07824, CAEEL20213
OG0000221	HELIO_06860	CAEEL10747
OG0000221	HELIO_06340	CAEEL06648
OG0000225	HELIO_03666, HELIO_05507, HELIO_12455	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	HELIO_05355, HELIO_07871, HELIO_09435	CAEEL12318
OG0000227	HELIO_02891, HELIO_06498, HELIO_04590	CAEEL19645
OG0000229	HELIO_12626, HELIO_08788, HELIO_08327	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	HELIO_01183	CAEEL14845, CAEEL19792
OG0000230	HELIO_01434, HELIO_10443	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825
OG0000231	HELIO_00476	CAEEL01724
OG0000233	HELIO_05580	CAEEL19660, CAEEL15634
OG0000234	HELIO_06356	CAEEL02295
OG0000234	HELIO_10361	CAEEL03013, CAEEL03014
OG0000235	HELIO_06198, HELIO_01611, HELIO_06097, HELIO_07273	CAEEL10795, CAEEL07012
OG0000236	HELIO_10807	CAEEL19835
OG0000238	HELIO_10889	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	HELIO_06585	CAEEL14926
OG0000239	HELIO_09876	CAEEL00570
OG0000242	HELIO_08165	CAEEL05302
OG0000242	HELIO_01488	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	HELIO_03531, HELIO_03532, HELIO_02491, HELIO_05724, HELIO_12702	CAEEL11789, CAEEL12688
OG0000245	HELIO_09311	CAEEL20391
OG0000249	HELIO_11329, HELIO_11328	CAEEL00206
OG0000250	HELIO_03230	CAEEL11963
OG0000250	HELIO_09216	CAEEL07261
OG0000250	HELIO_02167	CAEEL04698
OG0000250	HELIO_12457	CAEEL06732
OG0000251	HELIO_00192	CAEEL03667
OG0000251	HELIO_05418	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	HELIO_11786	CAEEL05168
OG0000255	HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573	CAEEL05715
OG0000256	HELIO_11169	CAEEL11937, CAEEL19468
OG0000257	HELIO_10210	CAEEL01910, CAEEL15386
OG0000258	HELIO_01832	CAEEL19537
OG0000258	HELIO_07834	CAEEL09342
OG0000258	HELIO_11938	CAEEL15770
OG0000260	HELIO_02123, HELIO_12046	CAEEL11482
OG0000261	HELIO_10678	CAEEL20767
OG0000265	HELIO_10981	CAEEL20581
OG0000265	HELIO_02949	CAEEL10364
OG0000268	HELIO_11907	CAEEL08164
OG0000269	HELIO_06264	CAEEL10894
OG0000271	HELIO_09338, HELIO_09337, HELIO_12202, HELIO_10271, HELIO_11250	CAEEL07236
OG0000272	HELIO_06926	CAEEL11804, CAEEL19905
OG0000273	HELIO_05150	CAEEL18644
OG0000273	HELIO_02819	CAEEL20077
OG0000275	HELIO_10629, HELIO_10630	CAEEL14783
OG0000275	HELIO_08804	CAEEL11381, CAEEL10050
OG0000277	HELIO_01369	CAEEL07730, CAEEL07729
OG0000277	HELIO_01920	CAEEL11066
OG0000282	HELIO_10802, HELIO_02090, HELIO_06080	CAEEL11864
OG0000284	HELIO_09271, HELIO_08507, HELIO_03356	CAEEL18846
OG0000285	HELIO_08936	CAEEL00191
OG0000285	HELIO_07805, HELIO_08935, HELIO_08587	CAEEL14297, CAEEL16730
OG0000287	HELIO_05533, HELIO_06539	CAEEL18837
OG0000295	HELIO_07292, HELIO_04234	CAEEL04248, CAEEL10950
OG0000296	HELIO_03893	CAEEL14675
OG0000301	HELIO_11537	CAEEL18767
OG0000302	HELIO_04163	CAEEL08099
OG0000305	HELIO_11091	CAEEL19499
OG0000305	HELIO_04494, HELIO_11371	CAEEL15162, CAEEL10872, CAEEL15163
OG0000306	HELIO_09402	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446
OG0000308	HELIO_09361, HELIO_07835, HELIO_01621, HELIO_08987, HELIO_05751	CAEEL00748
OG0000312	HELIO_09957	CAEEL16684
OG0000312	HELIO_10360	CAEEL08464
OG0000314	HELIO_00525	CAEEL14227, CAEEL02951
OG0000315	HELIO_08178	CAEEL07409
OG0000315	HELIO_09319	CAEEL07609
OG0000315	HELIO_06387	CAEEL07292
OG0000316	HELIO_01356	CAEEL01799
OG0000317	HELIO_04312	CAEEL18155
OG0000321	HELIO_08301	CAEEL19255
OG0000322	HELIO_05399, HELIO_04398, HELIO_03829, HELIO_10830, HELIO_06778	CAEEL18855, CAEEL09291, CAEEL09109
OG0000323	HELIO_02185, HELIO_02184, HELIO_07979, HELIO_09877	CAEEL08030
OG0000325	HELIO_11175, HELIO_05922, HELIO_12606, HELIO_12089	CAEEL01448, CAEEL10554
OG0000328	HELIO_12519	CAEEL02700, CAEEL20663
OG0000329	HELIO_07087, HELIO_09475	CAEEL05342
OG0000333	HELIO_00226	CAEEL20574
OG0000338	HELIO_11240, HELIO_09261	CAEEL02726
OG0000341	HELIO_08174, HELIO_08173	CAEEL02829
OG0000343	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075	CAEEL00542
OG0000345	HELIO_06324, HELIO_12314	CAEEL09288
OG0000346	HELIO_07117, HELIO_02859	CAEEL04767
OG0000350	HELIO_10069	CAEEL13904
OG0000352	HELIO_07849	CAEEL05587
OG0000353	HELIO_00605	CAEEL10431
OG0000356	HELIO_09257	CAEEL10812
OG0000357	HELIO_02302, HELIO_12008	CAEEL07861
OG0000357	HELIO_04303	CAEEL10151, CAEEL05953
OG0000358	HELIO_08162, HELIO_07934	CAEEL13826
OG0000358	HELIO_07992, HELIO_09698	CAEEL19072
OG0000359	HELIO_08095	CAEEL02740, CAEEL18786, CAEEL18785
OG0000363	HELIO_04531	CAEEL04898, CAEEL01034, CAEEL00066
OG0000364	HELIO_03949, HELIO_12735, HELIO_10136, HELIO_07364, HELIO_06168, HELIO_10958	CAEEL18153, CAEEL18154
OG0000365	HELIO_11146	CAEEL03052
OG0000367	HELIO_11366, HELIO_00864	CAEEL11241
OG0000371	HELIO_00894	CAEEL18802
OG0000372	HELIO_09904	CAEEL09938
OG0000372	HELIO_12662	CAEEL06634
OG0000372	HELIO_08215	CAEEL11042
OG0000373	HELIO_07356	CAEEL08053
OG0000374	HELIO_07571	CAEEL04637
OG0000375	HELIO_02630	CAEEL04597, CAEEL18446
OG0000378	HELIO_00664	CAEEL01589
OG0000378	HELIO_01804	CAEEL18606
OG0000382	HELIO_06591	CAEEL10275
OG0000385	HELIO_06965, HELIO_07014, HELIO_02136, HELIO_00841, HELIO_02137	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992
OG0000389	HELIO_05126, HELIO_04723, HELIO_01825	CAEEL08944, CAEEL11888
OG0000391	HELIO_00863	CAEEL03981, CAEEL10348, CAEEL18760
OG0000391	HELIO_10879, HELIO_09302	CAEEL07480, CAEEL01186
OG0000392	HELIO_05710, HELIO_07226	CAEEL03273
OG0000393	HELIO_07006	CAEEL00138
OG0000399	HELIO_09726	CAEEL12746
OG0000399	HELIO_07050	CAEEL18399
OG0000399	HELIO_04949	CAEEL01136
OG0000399	HELIO_03771	CAEEL00515
OG0000401	HELIO_07012, HELIO_09245	CAEEL07254
OG0000402	HELIO_08210	CAEEL20859
OG0000402	HELIO_08672, HELIO_08610	CAEEL09914, CAEEL09915
OG0000404	HELIO_12139	CAEEL04503
OG0000404	HELIO_05343	CAEEL20480
OG0000405	HELIO_10657	CAEEL01740
OG0000409	HELIO_03616	CAEEL09896
OG0000409	HELIO_10399	CAEEL15456, CAEEL10905, CAEEL20533, CAEEL10710
OG0000411	HELIO_00642	CAEEL02373
OG0000412	HELIO_12508	CAEEL11655
OG0000412	HELIO_09547	CAEEL20650
OG0000413	HELIO_08207, HELIO_08206	CAEEL15525
OG0000413	HELIO_10878	CAEEL18945
OG0000424	HELIO_07447, HELIO_02671	CAEEL14391, CAEEL12816, CAEEL12859, CAEEL15190, CAEEL16002, CAEEL14301, CAEEL11422, CAEEL16478
OG0000425	HELIO_02713, HELIO_11977	CAEEL13865, CAEEL13864
OG0000426	HELIO_00568	CAEEL19943
OG0000426	HELIO_10983	CAEEL20473
OG0000427	HELIO_11307, HELIO_03641, HELIO_07136	CAEEL05100
OG0000429	HELIO_04434, HELIO_07593	CAEEL02588, CAEEL02589, CAEEL02587, CAEEL02586, CAEEL08573, CAEEL20624
OG0000430	HELIO_08110	CAEEL14592, CAEEL00514
OG0000431	HELIO_02207, HELIO_05550, HELIO_04546	CAEEL07320
OG0000432	HELIO_04640	CAEEL05840, CAEEL08239
OG0000433	HELIO_10148	CAEEL18122
OG0000433	HELIO_09108	CAEEL00915, CAEEL00914
OG0000436	HELIO_08988, HELIO_08989	CAEEL08451, CAEEL08483, CAEEL08086
OG0000441	HELIO_10593	CAEEL04949
OG0000442	HELIO_01730	CAEEL10760
OG0000443	HELIO_07163	CAEEL07750
OG0000444	HELIO_00903	CAEEL18555
OG0000444	HELIO_04957	CAEEL11270, CAEEL13198, CAEEL07333, CAEEL07332, CAEEL07334, CAEEL18670
OG0000446	HELIO_08937	CAEEL08845
OG0000446	HELIO_01194	CAEEL11745
OG0000447	HELIO_10938, HELIO_10939	CAEEL07754, CAEEL07753
OG0000450	HELIO_01846	CAEEL09221
OG0000452	HELIO_12082, HELIO_08671, HELIO_05967	CAEEL18774, CAEEL01070, CAEEL01729, CAEEL00373
OG0000454	HELIO_01041	CAEEL02888, CAEEL02886
OG0000456	HELIO_12232	CAEEL11325
OG0000461	HELIO_02414	CAEEL06628
OG0000461	HELIO_03731, HELIO_03732	CAEEL08066
OG0000463	HELIO_09937, HELIO_06144, HELIO_06234, HELIO_08661	CAEEL00961
OG0000465	HELIO_11678	CAEEL08932
OG0000467	HELIO_10923	CAEEL10426, CAEEL00823
OG0000468	HELIO_00401, HELIO_10281, HELIO_03768, HELIO_09960	CAEEL05744
OG0000469	HELIO_06536	CAEEL09645
OG0000470	HELIO_04201	CAEEL15886
OG0000476	HELIO_11845, HELIO_05685	CAEEL20693, CAEEL00887
OG0000476	HELIO_05620	CAEEL13996, CAEEL04770
OG0000477	HELIO_12771	CAEEL19743
OG0000478	HELIO_07629	CAEEL11281
OG0000479	HELIO_08760	CAEEL02339
OG0000479	HELIO_02948	CAEEL09202
OG0000480	HELIO_05557, HELIO_08414, HELIO_08413	CAEEL10994, CAEEL19312, CAEEL11292
OG0000481	HELIO_12216	CAEEL09089, CAEEL09097
OG0000481	HELIO_11178	CAEEL07158
OG0000481	HELIO_09259	CAEEL11815
OG0000482	HELIO_06214, HELIO_10091	CAEEL12763
OG0000482	HELIO_06713, HELIO_11214	CAEEL16609
OG0000484	HELIO_05916	CAEEL04965, CAEEL04966
OG0000485	HELIO_02562	CAEEL19088, CAEEL15576
OG0000486	HELIO_10558, HELIO_11461	CAEEL06528, CAEEL08508, CAEEL10686, CAEEL10332, CAEEL10336, CAEEL11227, CAEEL11225, CAEEL12738
OG0000487	HELIO_07290	CAEEL16728, CAEEL12342
OG0000488	HELIO_02611	CAEEL05865, CAEEL05866
OG0000490	HELIO_06690	CAEEL00687, CAEEL19730
OG0000491	HELIO_02841, HELIO_11924	CAEEL07820
OG0000495	HELIO_03281, HELIO_12758	CAEEL07186
OG0000496	HELIO_09084	CAEEL01836
OG0000497	HELIO_03655	CAEEL11475, CAEEL02002
OG0000503	HELIO_03761, HELIO_01577	CAEEL18781, CAEEL18780
OG0000503	HELIO_01283	CAEEL01216
OG0000506	HELIO_11106	CAEEL18864
OG0000508	HELIO_04860	CAEEL07260
OG0000510	HELIO_05326, HELIO_00614, HELIO_06648	CAEEL10925, CAEEL11992, CAEEL05859, CAEEL08413
OG0000514	HELIO_07204	CAEEL07294, CAEEL18391
OG0000519	HELIO_03762, HELIO_07021, HELIO_05761, HELIO_00935	CAEEL01270
OG0000520	HELIO_02643, HELIO_02641, HELIO_10311	CAEEL07490
OG0000521	HELIO_11507	CAEEL11532
OG0000521	HELIO_07126	CAEEL14050
OG0000523	HELIO_12547, HELIO_01413	CAEEL07536, CAEEL13092
OG0000524	HELIO_03929	CAEEL17529
OG0000525	HELIO_03718	CAEEL19149
OG0000525	HELIO_00389	CAEEL19113
OG0000528	HELIO_07368	CAEEL17966
OG0000530	HELIO_07741, HELIO_07742	CAEEL05713, CAEEL05714
OG0000534	HELIO_09230, HELIO_00845, HELIO_05373	CAEEL06960
OG0000535	HELIO_10664	CAEEL18521
OG0000537	HELIO_02446	CAEEL20692
OG0000537	HELIO_01622	CAEEL08509
OG0000538	HELIO_11897, HELIO_11896	CAEEL07439
OG0000542	HELIO_02332	CAEEL09055
OG0000542	HELIO_03023	CAEEL15478
OG0000545	HELIO_00292	CAEEL15746
OG0000545	HELIO_03093	CAEEL14386
OG0000548	HELIO_10743, HELIO_10294, HELIO_01580	CAEEL10591, CAEEL10590
