Orthogroup	HELIO_ok	HUMAN
OG0000075	HELIO_05177	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	HELIO_00684	HUMAN26884
OG0000077	HELIO_05657	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	HELIO_00295	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000077	HELIO_12145	HUMAN03419
OG0000078	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	HELIO_01794, HELIO_05740	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	HELIO_00549	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	HELIO_01744, HELIO_07509	HUMAN14208, HUMAN14194, HUMAN14192
OG0000081	HELIO_00244	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000082	HELIO_12249	HUMAN29167
OG0000082	HELIO_08556	HUMAN23869
OG0000082	HELIO_05158	HUMAN23871
OG0000085	HELIO_02405	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	HELIO_05344	HUMAN13119, HUMAN07215
OG0000085	HELIO_11582	HUMAN25832
OG0000087	HELIO_02847, HELIO_02846	HUMAN11956
OG0000087	HELIO_09425	HUMAN02557
OG0000087	HELIO_00773	HUMAN21001
OG0000087	HELIO_06633	HUMAN21063
OG0000087	HELIO_01983	HUMAN10659
OG0000088	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	HELIO_06684, HELIO_10658	HUMAN29653, HUMAN25674
OG0000090	HELIO_12415	HUMAN24709
OG0000090	HELIO_03859, HELIO_12616	HUMAN28948
OG0000093	HELIO_04928, HELIO_06889	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914
OG0000094	HELIO_07015	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	HELIO_03878	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	HELIO_07466	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	HELIO_03681	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	HELIO_03321	HUMAN27289
OG0000096	HELIO_06897	HUMAN13889, HUMAN01832
OG0000096	HELIO_03947	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	HELIO_09595	HUMAN21561
OG0000098	HELIO_07543	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	HELIO_00467, HELIO_11416	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	HELIO_00318, HELIO_06995	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	HELIO_03317	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	HELIO_11521	HUMAN22036, HUMAN22037
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	HELIO_08564	HUMAN08946, HUMAN02473
OG0000103	HELIO_03996	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	HELIO_12543	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	HELIO_04946	HUMAN05724, HUMAN19523
OG0000104	HELIO_03807	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	HELIO_05172	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	HELIO_02282	HUMAN19373
OG0000104	HELIO_00006	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	HELIO_02364	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978
OG0000106	HELIO_07474	HUMAN27844
OG0000106	HELIO_05614, HELIO_10877	HUMAN01589, HUMAN09602
OG0000107	HELIO_04878	HUMAN24661
OG0000113	HELIO_06754	HUMAN00919
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000115	HELIO_10283, HELIO_10284	HUMAN11469, HUMAN11468
OG0000116	HELIO_08217, HELIO_10553	HUMAN18678
OG0000119	HELIO_09291	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	HELIO_08423, HELIO_01329	HUMAN17940, HUMAN20669
OG0000121	HELIO_11384	HUMAN23092, HUMAN03659
OG0000122	HELIO_09221	HUMAN12772, HUMAN27264, HUMAN18288
OG0000122	HELIO_00601, HELIO_11330	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000123	HELIO_08717	HUMAN22221, HUMAN24254
OG0000123	HELIO_08884	HUMAN03664, HUMAN27696, HUMAN24043
OG0000123	HELIO_09001	HUMAN24256
OG0000124	HELIO_02264	HUMAN03991
OG0000124	HELIO_07531	HUMAN13586, HUMAN25969, HUMAN20106
OG0000124	HELIO_08965	HUMAN00442, HUMAN00443
OG0000124	HELIO_01505	HUMAN09305, HUMAN02618
OG0000125	HELIO_11225	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480
OG0000125	HELIO_03951	HUMAN20598, HUMAN20599, HUMAN12556
OG0000125	HELIO_08019	HUMAN04438, HUMAN04439, HUMAN16073
OG0000126	HELIO_05678	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	HELIO_02617	HUMAN07493, HUMAN22359
OG0000126	HELIO_12717	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	HELIO_00274	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	HELIO_04203	HUMAN21549, HUMAN07766
OG0000127	HELIO_00760	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	HELIO_10652	HUMAN27422, HUMAN19318
OG0000127	HELIO_03723	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000128	HELIO_05183	HUMAN04854, HUMAN04855
OG0000128	HELIO_03924	HUMAN04482, HUMAN05330, HUMAN05329
OG0000128	HELIO_00789	HUMAN21997
OG0000129	HELIO_05477	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	HELIO_12045	HUMAN05233, HUMAN30228
OG0000130	HELIO_00229	HUMAN22786
OG0000131	HELIO_00530, HELIO_08397	HUMAN19899
OG0000132	HELIO_02084, HELIO_02083, HELIO_03711	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601
OG0000132	HELIO_04353	HUMAN20126
OG0000137	HELIO_10563	HUMAN28180, HUMAN25590, HUMAN25594
OG0000137	HELIO_05850	HUMAN13481
OG0000137	HELIO_01589, HELIO_12262	HUMAN25150, HUMAN25149
OG0000141	HELIO_03491, HELIO_06248, HELIO_06291, HELIO_06766, HELIO_00102, HELIO_10597	HUMAN27964, HUMAN30567
OG0000147	HELIO_12780	HUMAN18499, HUMAN00218
OG0000147	HELIO_07856	HUMAN24559, HUMAN27635
OG0000147	HELIO_02877	HUMAN02299
OG0000148	HELIO_12241	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389
OG0000148	HELIO_01322	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229
OG0000149	HELIO_11224	HUMAN23614, HUMAN23616, HUMAN23619
OG0000149	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026	HUMAN10034, HUMAN23690
OG0000149	HELIO_08561	HUMAN22790
OG0000151	HELIO_02909	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320
OG0000151	HELIO_01067	HUMAN26562, HUMAN12958, HUMAN06281, HUMAN17972, HUMAN17973
OG0000151	HELIO_11427	HUMAN29073, HUMAN01218, HUMAN01219
OG0000154	HELIO_00470	HUMAN19436
OG0000155	HELIO_06336	HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369
OG0000155	HELIO_10305	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771
OG0000157	HELIO_02764	HUMAN28808, HUMAN14307
OG0000157	HELIO_02898	HUMAN11058, HUMAN11059
OG0000158	HELIO_05890	HUMAN19321, HUMAN25759, HUMAN27804
OG0000159	HELIO_11077	HUMAN27903
OG0000159	HELIO_07755	HUMAN25418
OG0000159	HELIO_07071, HELIO_00285, HELIO_10509	HUMAN04389, HUMAN23217, HUMAN11668
OG0000160	HELIO_11870	HUMAN18884, HUMAN18883
OG0000160	HELIO_09094	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781
OG0000163	HELIO_05553	HUMAN13482, HUMAN13483
OG0000163	HELIO_02290	HUMAN13485, HUMAN13486, HUMAN20190
OG0000163	HELIO_07317	HUMAN12888, HUMAN06524, HUMAN26092
OG0000164	HELIO_04867	HUMAN10088, HUMAN01535, HUMAN23587, HUMAN15005, HUMAN15004, HUMAN15006
OG0000165	HELIO_01649	HUMAN22846, HUMAN23999, HUMAN27465, HUMAN07472, HUMAN30066, HUMAN05822, HUMAN05073, HUMAN22589, HUMAN05074, HUMAN09475, HUMAN23325, HUMAN14142, HUMAN30404, HUMAN30403, HUMAN30402, HUMAN11922, HUMAN21957, HUMAN07815, HUMAN07814
OG0000166	HELIO_00134, HELIO_00135	HUMAN10732
OG0000166	HELIO_11547	HUMAN10959, HUMAN20038, HUMAN20042, HUMAN00974, HUMAN12174
OG0000167	HELIO_07346	HUMAN18828, HUMAN27819, HUMAN27432, HUMAN00659, HUMAN00656, HUMAN25481, HUMAN00574, HUMAN18970, HUMAN13661
OG0000168	HELIO_11699	HUMAN04351
OG0000168	HELIO_07708	HUMAN14875, HUMAN23273, HUMAN01023, HUMAN28467
OG0000168	HELIO_00592	HUMAN04352
OG0000169	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257	HUMAN03065, HUMAN11979, HUMAN11981, HUMAN11980, HUMAN11869, HUMAN11789
OG0000171	HELIO_09820	HUMAN12335
OG0000171	HELIO_01149	HUMAN03531, HUMAN22193
OG0000171	HELIO_03619	HUMAN23027
OG0000172	HELIO_09881	HUMAN06695, HUMAN06696, HUMAN18231, HUMAN17598
OG0000173	HELIO_09570, HELIO_09571	HUMAN27146, HUMAN26710, HUMAN21895, HUMAN21533, HUMAN00452, HUMAN18290, HUMAN22447, HUMAN21180, HUMAN21189, HUMAN00447, HUMAN00448, HUMAN00343, HUMAN27169, HUMAN00752, HUMAN00751, HUMAN25381
OG0000174	HELIO_09480, HELIO_04614, HELIO_10809	HUMAN28400, HUMAN02927
OG0000174	HELIO_01069	HUMAN27541, HUMAN27540, HUMAN22731
OG0000175	HELIO_05633	HUMAN22641, HUMAN22640
OG0000175	HELIO_11471	HUMAN27918, HUMAN27828, HUMAN27827
OG0000179	HELIO_05015	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338
OG0000179	HELIO_04929	HUMAN23712, HUMAN09621
OG0000179	HELIO_08122	HUMAN22996
OG0000180	HELIO_10517	HUMAN21794
OG0000180	HELIO_01389	HUMAN27480, HUMAN07523, HUMAN30008
OG0000181	HELIO_03744	HUMAN26916, HUMAN21065
OG0000181	HELIO_10771	HUMAN08369
OG0000182	HELIO_06024	HUMAN09225
OG0000183	HELIO_03106, HELIO_07785	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522
OG0000183	HELIO_12279	HUMAN05463
OG0000183	HELIO_02987	HUMAN05532
OG0000184	HELIO_04383	HUMAN02122, HUMAN02125, HUMAN02123, HUMAN02124, HUMAN02120, HUMAN01543
OG0000185	HELIO_02917	HUMAN06309, HUMAN06308, HUMAN21401
OG0000185	HELIO_08141	HUMAN11020, HUMAN08224, HUMAN23184
OG0000185	HELIO_12016	HUMAN16695
OG0000186	HELIO_02314	HUMAN00084
OG0000188	HELIO_10975	HUMAN27535, HUMAN03482, HUMAN23029
OG0000192	HELIO_08116	HUMAN18173
OG0000192	HELIO_04385	HUMAN01281, HUMAN28989, HUMAN14173
OG0000192	HELIO_03071	HUMAN29457
OG0000192	HELIO_03349	HUMAN10321
OG0000194	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276
OG0000195	HELIO_05982	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624
OG0000197	HELIO_06777, HELIO_03671	HUMAN09888, HUMAN01887, HUMAN09887
OG0000197	HELIO_03884	HUMAN00214, HUMAN21576, HUMAN21577, HUMAN21578, HUMAN05914, HUMAN05913, HUMAN00631, HUMAN25533, HUMAN25532, HUMAN27956, HUMAN27958, HUMAN27961, HUMAN27960, HUMAN27957, HUMAN27959
OG0000198	HELIO_07810	HUMAN07259, HUMAN00404, HUMAN00406, HUMAN00407, HUMAN00405, HUMAN00408, HUMAN10546
OG0000201	HELIO_03794	HUMAN25906, HUMAN20134
OG0000201	HELIO_07497	HUMAN20007, HUMAN20008, HUMAN20009, HUMAN11788, HUMAN04555
OG0000201	HELIO_09400	HUMAN12206, HUMAN19902
OG0000202	HELIO_09483, HELIO_08601	HUMAN08594, HUMAN08593, HUMAN23063, HUMAN27722, HUMAN27584, HUMAN27582, HUMAN27587, HUMAN03812, HUMAN18643, HUMAN24147, HUMAN03775, HUMAN01794
OG0000203	HELIO_11397	HUMAN27942, HUMAN25548, HUMAN00779
OG0000203	HELIO_01088	HUMAN21966, HUMAN00014
OG0000203	HELIO_02460	HUMAN00153, HUMAN00154
OG0000204	HELIO_05116	HUMAN18516
OG0000204	HELIO_05845	HUMAN04275, HUMAN06256
OG0000205	HELIO_00076	HUMAN08496, HUMAN02469
OG0000205	HELIO_00236	HUMAN12678, HUMAN20579, HUMAN06361
OG0000205	HELIO_00235, HELIO_07450	HUMAN13147, HUMAN27255, HUMAN27254, HUMAN17799
OG0000206	HELIO_09072, HELIO_05036, HELIO_06863, HELIO_08368	HUMAN03735
OG0000207	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023	HUMAN13832, HUMAN19141
OG0000208	HELIO_06822, HELIO_08975	HUMAN19119, HUMAN11858, HUMAN12257, HUMAN12256, HUMAN27010, HUMAN26894
OG0000210	HELIO_02498	HUMAN01117
OG0000210	HELIO_12121	HUMAN22011, HUMAN22010
OG0000211	HELIO_11401	HUMAN05541
OG0000211	HELIO_00554	HUMAN18718
OG0000211	HELIO_04759	HUMAN10119, HUMAN10120, HUMAN28797
OG0000211	HELIO_11035	HUMAN14218, HUMAN10060
OG0000213	HELIO_04918, HELIO_01073, HELIO_04313, HELIO_04336, HELIO_06549	HUMAN11846, HUMAN07075
OG0000215	HELIO_05873, HELIO_05161, HELIO_03905	HUMAN23880, HUMAN18661
OG0000218	HELIO_12321	HUMAN21084, HUMAN05261
OG0000220	HELIO_04722	HUMAN03287
OG0000220	HELIO_04300, HELIO_10035, HELIO_12042	HUMAN28206
OG0000221	HELIO_06860	HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805
OG0000221	HELIO_10767	HUMAN21691, HUMAN00105, HUMAN00104
