Orthogroup	HELIO_ok	ORYLA
OG0000007	HELIO_03703	ORYLA03471, ORYLA17615
OG0000007	HELIO_07978	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	HELIO_03118	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	HELIO_07991	ORYLA16317
OG0000007	HELIO_04275	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	HELIO_11721	ORYLA10158, ORYLA04736
OG0000010	HELIO_07073	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	HELIO_09797	ORYLA15708
OG0000012	HELIO_04072, HELIO_05750	ORYLA07628
OG0000012	HELIO_06831	ORYLA15199
OG0000014	HELIO_12068	ORYLA11600, ORYLA01088
OG0000014	HELIO_10724	ORYLA07812, ORYLA17200
OG0000015	HELIO_10798	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	ORYLA12720, ORYLA00945
OG0000016	HELIO_05456	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	HELIO_09779	ORYLA09921
OG0000016	HELIO_04647	ORYLA00030
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	ORYLA11245, ORYLA15380
OG0000018	HELIO_06631, HELIO_07465, HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946	ORYLA02836, ORYLA14501
OG0000019	HELIO_11234	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	HELIO_01087	ORYLA10559
OG0000020	HELIO_03892	ORYLA06663
OG0000020	HELIO_08119	ORYLA16080
OG0000020	HELIO_10764	ORYLA09855
OG0000020	HELIO_10811	ORYLA06900, ORYLA09950
OG0000020	HELIO_12285	ORYLA06780
OG0000020	HELIO_05828	ORYLA01097, ORYLA00349
OG0000020	HELIO_10575	ORYLA15647
OG0000020	HELIO_05888	ORYLA00902
OG0000020	HELIO_08365	ORYLA02546
OG0000020	HELIO_01918	ORYLA06519
OG0000021	HELIO_02163	ORYLA20207, ORYLA15834
OG0000021	HELIO_09128	ORYLA04373
OG0000021	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	ORYLA12092, ORYLA14389
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	ORYLA06753
OG0000023	HELIO_07781	ORYLA08126
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000023	HELIO_07600, HELIO_09870	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660
OG0000024	HELIO_06046, HELIO_05379, HELIO_07449, HELIO_07047, HELIO_00822, HELIO_05196, HELIO_10137, HELIO_05285, HELIO_06374, HELIO_10426, HELIO_03946, HELIO_07378, HELIO_06208, HELIO_06845, HELIO_06837, HELIO_05358, HELIO_03839, HELIO_05987	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000024	HELIO_10427	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747
OG0000024	HELIO_04554, HELIO_07194, HELIO_07601, HELIO_04022	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498
OG0000028	HELIO_06306	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	HELIO_10546, HELIO_00115	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112
OG0000029	HELIO_11942	ORYLA15906
OG0000030	HELIO_04525, HELIO_09505	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	HELIO_06719	ORYLA07170
OG0000031	HELIO_00475	ORYLA09861, ORYLA15740
OG0000031	HELIO_11237	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	HELIO_10166	ORYLA01770
OG0000031	HELIO_00951	ORYLA06561
OG0000031	HELIO_11573	ORYLA10394, ORYLA11971
OG0000031	HELIO_00638	ORYLA04591, ORYLA04917
OG0000031	HELIO_00007	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	HELIO_08452	ORYLA09501, ORYLA00346
OG0000031	HELIO_02162	ORYLA09459, ORYLA08614, ORYLA06390
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	ORYLA15502
OG0000032	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	ORYLA06416
OG0000033	HELIO_05274, HELIO_05169, HELIO_06635, HELIO_07393	ORYLA01373
OG0000034	HELIO_11045	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	HELIO_10910	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	HELIO_05981	ORYLA07312
OG0000034	HELIO_12487	ORYLA12339, ORYLA14860
OG0000034	HELIO_11629	ORYLA19697
OG0000035	HELIO_04621	ORYLA16101
OG0000035	HELIO_12501	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	HELIO_03534	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	HELIO_07811, HELIO_06366	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	HELIO_00732, HELIO_11539	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	HELIO_04984	ORYLA17117, ORYLA14783
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	HELIO_07711	ORYLA20440, ORYLA11184
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	ORYLA12571
OG0000037	HELIO_01421	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	HELIO_01377	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	HELIO_04770	ORYLA04725
OG0000039	HELIO_01180	ORYLA07496
OG0000039	HELIO_00133	ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000043	HELIO_03541	ORYLA03388
OG0000044	HELIO_05461	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261
OG0000046	HELIO_08475	ORYLA00520
OG0000048	HELIO_10223	ORYLA19472
OG0000048	HELIO_03643	ORYLA17217
OG0000048	HELIO_05568	ORYLA14101
OG0000048	HELIO_11655	ORYLA08002
OG0000048	HELIO_08708	ORYLA11420
OG0000048	HELIO_05605	ORYLA15054
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	ORYLA05117
OG0000052	HELIO_05569, HELIO_05693, HELIO_04521	ORYLA18368, ORYLA18615, ORYLA19851
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	ORYLA00519
OG0000056	HELIO_05303	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000056	HELIO_03513	ORYLA17860
OG0000057	HELIO_05858	ORYLA17686, ORYLA14639, ORYLA12170
OG0000059	HELIO_08348	ORYLA09176
OG0000059	HELIO_07693, HELIO_05488	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	HELIO_02035	ORYLA01946, ORYLA04743
OG0000060	HELIO_12113	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	HELIO_11204	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	ORYLA07060, ORYLA08273
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	HELIO_06316	ORYLA10585, ORYLA11804
OG0000063	HELIO_10147	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	HELIO_12629	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	HELIO_04155	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	HELIO_11387	ORYLA06398
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000070	HELIO_00590, HELIO_05047, HELIO_00591	ORYLA07085, ORYLA17312
OG0000072	HELIO_09782	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	HELIO_10131	ORYLA20464
OG0000072	HELIO_05118, HELIO_10379	ORYLA05266
OG0000073	HELIO_07437	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397
OG0000075	HELIO_02705	ORYLA08229, ORYLA07050
OG0000075	HELIO_12175	ORYLA10050
OG0000075	HELIO_01007	ORYLA15750
OG0000075	HELIO_07086	ORYLA05870, ORYLA14226
OG0000075	HELIO_01193	ORYLA10049, ORYLA15751
OG0000075	HELIO_09567	ORYLA11054, ORYLA15824
OG0000075	HELIO_05177	ORYLA14687, ORYLA10924, ORYLA15926
OG0000075	HELIO_00684	ORYLA19688
OG0000077	HELIO_05657	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
OG0000077	HELIO_00295	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450
OG0000077	HELIO_12145	ORYLA17911, ORYLA04823
OG0000078	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570	ORYLA13083, ORYLA13994, ORYLA10833
OG0000079	HELIO_01794, HELIO_05740	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903
OG0000079	HELIO_00549	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726
OG0000079	HELIO_01744, HELIO_07509	ORYLA13165
OG0000082	HELIO_12249	ORYLA02580
OG0000082	HELIO_08556	ORYLA01470
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	ORYLA09330
OG0000082	HELIO_05158	ORYLA19108
OG0000085	HELIO_02405	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818
OG0000085	HELIO_05344	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	HELIO_11582	ORYLA02243, ORYLA05178
OG0000087	HELIO_02848, HELIO_02847, HELIO_02846	ORYLA07293
OG0000087	HELIO_06633	ORYLA15867
OG0000088	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	HELIO_06684, HELIO_10658	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	HELIO_12415	ORYLA02080, ORYLA06082
OG0000090	HELIO_03859, HELIO_12616	ORYLA01746, ORYLA06194
OG0000091	HELIO_06609	ORYLA02531
OG0000093	HELIO_04928, HELIO_06889	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845
OG0000094	HELIO_07015	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	HELIO_03878	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	HELIO_07466	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	HELIO_03681	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	HELIO_03321	ORYLA13747, ORYLA08870
OG0000096	HELIO_03947	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	HELIO_09595	ORYLA10017
OG0000098	HELIO_07543	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	HELIO_00467, HELIO_11416	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	HELIO_00318, HELIO_06995	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000101	HELIO_03317	ORYLA12058
OG0000101	HELIO_11521	ORYLA09166, ORYLA09165
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	HELIO_08564	ORYLA19358, ORYLA00094
OG0000103	HELIO_03996	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	HELIO_12543	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	HELIO_04946	ORYLA03680, ORYLA06072
OG0000104	HELIO_03807	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	HELIO_05172	ORYLA03679
OG0000104	HELIO_02282	ORYLA09408
OG0000104	HELIO_00006	ORYLA14236, ORYLA14756, ORYLA10856
OG0000106	HELIO_02364	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282
OG0000106	HELIO_07474	ORYLA06794
OG0000106	HELIO_05614, HELIO_10877	ORYLA05764, ORYLA14913, ORYLA14914
OG0000113	HELIO_06754	ORYLA17645, ORYLA13433
OG0000113	HELIO_04446, HELIO_08405	ORYLA15283
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000115	HELIO_10283, HELIO_10284	ORYLA10019, ORYLA12386
OG0000116	HELIO_08217, HELIO_10553	ORYLA19541
OG0000119	HELIO_09291	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654
OG0000119	HELIO_08423, HELIO_01329	ORYLA09477, ORYLA05169
OG0000121	HELIO_11384	ORYLA00510, ORYLA01379, ORYLA07858
OG0000122	HELIO_09221	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000122	HELIO_00601, HELIO_11330	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000123	HELIO_08717	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364
OG0000123	HELIO_08884	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949
OG0000123	HELIO_09001	ORYLA04317, ORYLA01144
OG0000124	HELIO_02264	ORYLA04499, ORYLA01264
OG0000124	HELIO_07531	ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798
OG0000124	HELIO_08965	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000124	HELIO_01505	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516
OG0000125	HELIO_11225	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368
OG0000125	HELIO_03951	ORYLA01977, ORYLA08228, ORYLA17147
OG0000125	HELIO_08019	ORYLA12115
OG0000126	HELIO_05678	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	HELIO_07534	ORYLA02839
OG0000126	HELIO_02617	ORYLA09118
OG0000126	HELIO_12717	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	HELIO_00274	ORYLA09546, ORYLA01017, ORYLA13298
OG0000127	HELIO_04203	ORYLA18247, ORYLA09922
OG0000127	HELIO_00760	ORYLA05476, ORYLA10382
OG0000127	HELIO_10652	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240
OG0000127	HELIO_03723	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000128	HELIO_05183	ORYLA17289
OG0000128	HELIO_03924	ORYLA03587
OG0000128	HELIO_00789	ORYLA06619, ORYLA09314
OG0000129	HELIO_05477	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	HELIO_12045	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000131	HELIO_00530, HELIO_08397	ORYLA02651, ORYLA17218
OG0000132	HELIO_02084, HELIO_02083, HELIO_03711	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043
OG0000132	HELIO_04353	ORYLA08009
OG0000137	HELIO_10563	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560
OG0000137	HELIO_05850	ORYLA06196, ORYLA16275
OG0000137	HELIO_01589, HELIO_12262	ORYLA11370, ORYLA08706
OG0000138	HELIO_11407, HELIO_04557, HELIO_04817, HELIO_04440	ORYLA01485, ORYLA09635, ORYLA18456, ORYLA18666, ORYLA16939
OG0000138	HELIO_06895	ORYLA07654
OG0000141	HELIO_03491, HELIO_06248, HELIO_06291, HELIO_06766, HELIO_00102, HELIO_10597	ORYLA15273
OG0000147	HELIO_12780	ORYLA06944, ORYLA12833, ORYLA15636
OG0000147	HELIO_07856	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000147	HELIO_02877	ORYLA13100, ORYLA13101
OG0000147	HELIO_07688	ORYLA10192
OG0000148	HELIO_12241	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171
OG0000148	HELIO_01322	ORYLA15624, ORYLA14208, ORYLA14207, ORYLA14204, ORYLA15626, ORYLA03132, ORYLA14172, ORYLA10887, ORYLA14722
OG0000149	HELIO_11224	ORYLA17290, ORYLA17651, ORYLA17652
OG0000149	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319
OG0000149	HELIO_08561	ORYLA19729
OG0000151	HELIO_02909	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949
OG0000151	HELIO_01067	ORYLA01789, ORYLA08191, ORYLA17153, ORYLA15978, ORYLA13920, ORYLA08402, ORYLA09669
OG0000151	HELIO_11427	ORYLA02467, ORYLA17249, ORYLA13261
OG0000154	HELIO_11108	ORYLA15514, ORYLA15513, ORYLA15515, ORYLA15516
OG0000154	HELIO_00470	ORYLA04056, ORYLA00974
OG0000155	HELIO_02785	ORYLA11669, ORYLA10177, ORYLA11879
OG0000155	HELIO_06336	ORYLA01962, ORYLA20370
OG0000155	HELIO_10305	ORYLA01931, ORYLA05131
OG0000157	HELIO_02764	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319
OG0000157	HELIO_10997	ORYLA16681, ORYLA00723
OG0000157	HELIO_02898	ORYLA13712, ORYLA15189, ORYLA12434
OG0000158	HELIO_05890	ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104
OG0000159	HELIO_11077	ORYLA09075
OG0000159	HELIO_07755	ORYLA02062, ORYLA11501, ORYLA06048
OG0000159	HELIO_07071, HELIO_00285, HELIO_10509	ORYLA08188
OG0000160	HELIO_11870	ORYLA15840
OG0000160	HELIO_09094	ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884
OG0000163	HELIO_05553	ORYLA08374, ORYLA16276
OG0000163	HELIO_02290	ORYLA16748, ORYLA00153, ORYLA16983, ORYLA16982
OG0000163	HELIO_07317	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820
OG0000164	HELIO_04867	ORYLA02097, ORYLA18775, ORYLA17709, ORYLA02317, ORYLA13180
OG0000165	HELIO_01649	ORYLA19750, ORYLA01240, ORYLA03912, ORYLA01443, ORYLA19505, ORYLA01245, ORYLA15304, ORYLA11153, ORYLA12054, ORYLA19673, ORYLA18161, ORYLA12055, ORYLA12173, ORYLA02716, ORYLA17333, ORYLA17334, ORYLA12984, ORYLA01002, ORYLA01003, ORYLA03945, ORYLA07278, ORYLA04321, ORYLA06919, ORYLA09488, ORYLA08771
OG0000166	HELIO_00134, HELIO_00135	ORYLA16752
OG0000166	HELIO_11547	ORYLA03503, ORYLA02712, ORYLA02713, ORYLA12775, ORYLA00549
OG0000167	HELIO_07346	ORYLA15498, ORYLA06766, ORYLA11713, ORYLA10617, ORYLA10277, ORYLA11948, ORYLA02111, ORYLA16156, ORYLA14005, ORYLA07114, ORYLA09226
OG0000168	HELIO_11699	ORYLA16346, ORYLA15128, ORYLA12100
OG0000168	HELIO_07708	ORYLA13628, ORYLA02944, ORYLA17507, ORYLA06652, ORYLA13431, ORYLA12906, ORYLA10223, ORYLA07700
OG0000169	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257	ORYLA18597, ORYLA05027, ORYLA11561, ORYLA00432, ORYLA18067, ORYLA18044, ORYLA18072, ORYLA18070, ORYLA18612, ORYLA04492, ORYLA07625
OG0000171	HELIO_09820	ORYLA03475
OG0000171	HELIO_01149	ORYLA07855, ORYLA00842, ORYLA07412
OG0000171	HELIO_03619	ORYLA00507
OG0000172	HELIO_09881	ORYLA14355, ORYLA08506, ORYLA09443, ORYLA09676, ORYLA12248
OG0000173	HELIO_09570, HELIO_09571	ORYLA05837, ORYLA04181, ORYLA13115, ORYLA06590, ORYLA06914, ORYLA13267, ORYLA20247, ORYLA14500, ORYLA03510, ORYLA06836, ORYLA06833, ORYLA02812, ORYLA09725, ORYLA09722, ORYLA12289, ORYLA14240, ORYLA13837, ORYLA19372, ORYLA02059, ORYLA11932
OG0000174	HELIO_09480, HELIO_04614, HELIO_10809	ORYLA18569, ORYLA09218
OG0000174	HELIO_01069	ORYLA19814, ORYLA10779
OG0000175	HELIO_11471	ORYLA13694, ORYLA09065, ORYLA06318
OG0000179	HELIO_05015	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117
OG0000179	HELIO_04929	ORYLA18062, ORYLA18061, ORYLA14649
OG0000179	HELIO_08122	ORYLA20422
OG0000180	HELIO_10517	ORYLA10201, ORYLA08835
OG0000180	HELIO_01389	ORYLA01448, ORYLA01304, ORYLA04174, ORYLA04081, ORYLA03160, ORYLA03933
OG0000181	HELIO_10771	ORYLA11594
OG0000181	HELIO_03461, HELIO_03460	ORYLA18853, ORYLA15035
OG0000182	HELIO_01767	ORYLA10990
OG0000183	HELIO_03106, HELIO_07785	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092
OG0000183	HELIO_12279	ORYLA03426
OG0000183	HELIO_02987	ORYLA03815
OG0000184	HELIO_04383	ORYLA13442, ORYLA13444, ORYLA13443
OG0000185	HELIO_02917	ORYLA15712, ORYLA15972, ORYLA09436
OG0000185	HELIO_08141	ORYLA12658, ORYLA02266, ORYLA07574
OG0000185	HELIO_12016	ORYLA11753, ORYLA05335
OG0000187	HELIO_07716	ORYLA18399
OG0000188	HELIO_10975	ORYLA02679, ORYLA17741, ORYLA00508
OG0000192	HELIO_08116	ORYLA09752
OG0000192	HELIO_04385	ORYLA08947, ORYLA19527, ORYLA20454, ORYLA00818, ORYLA13158
OG0000192	HELIO_03071	ORYLA18141
OG0000192	HELIO_03349	ORYLA16694
OG0000194	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417	ORYLA03335, ORYLA10209, ORYLA09317
OG0000195	HELIO_05982	ORYLA09172, ORYLA07416
OG0000197	HELIO_06777, HELIO_03671	ORYLA01697, ORYLA05763, ORYLA14664, ORYLA12127
OG0000197	HELIO_03884	ORYLA15638, ORYLA13839, ORYLA03794, ORYLA06819, ORYLA06817, ORYLA06818, ORYLA05867, ORYLA02119, ORYLA10283, ORYLA11398, ORYLA10168, ORYLA05652
