Orthogroup	HELIO_ok	MOUSE
OG0000007	HELIO_11362	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	HELIO_11129	MOUSE49749
OG0000007	HELIO_04873	MOUSE09062, MOUSE49739
OG0000007	HELIO_03703	MOUSE04689, MOUSE37388
OG0000007	HELIO_07978	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	HELIO_03118	MOUSE38586, MOUSE06525
OG0000007	HELIO_07991	MOUSE06204
OG0000007	HELIO_04275	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	HELIO_11721	MOUSE07031, MOUSE07030
OG0000010	HELIO_07073	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000010	HELIO_09797	MOUSE14717
OG0000012	HELIO_04072, HELIO_05750	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	HELIO_06831	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000014	HELIO_12068	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	HELIO_10724	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	HELIO_10798	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	HELIO_04641	MOUSE44325
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	HELIO_05456	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	HELIO_09779	MOUSE13078, MOUSE13077
OG0000016	HELIO_04647	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	HELIO_11234	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000020	HELIO_01087	MOUSE07164
OG0000020	HELIO_03892	MOUSE33588
OG0000020	HELIO_08119	MOUSE23587, MOUSE23586
OG0000020	HELIO_10764	MOUSE26371
OG0000020	HELIO_10811	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	HELIO_12285	MOUSE24012
OG0000020	HELIO_05828	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	HELIO_10575	MOUSE35162
OG0000020	HELIO_05888	MOUSE09601, MOUSE09602
OG0000020	HELIO_08365	MOUSE37001, MOUSE37002
OG0000020	HELIO_01918	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	HELIO_02163	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	MOUSE44445, MOUSE53773
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	HELIO_07781	MOUSE46773, MOUSE46772
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	HELIO_07600, HELIO_09870	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	HELIO_00695, HELIO_00694, HELIO_09541	MOUSE38308, MOUSE38309
OG0000028	HELIO_06306	MOUSE44525
OG0000029	HELIO_10546, HELIO_00115	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000029	HELIO_11942	MOUSE17544, MOUSE15400
OG0000030	HELIO_04525, HELIO_09505	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	HELIO_00637	MOUSE36273, MOUSE08529, MOUSE36272, MOUSE44530
OG0000031	HELIO_00475	MOUSE26385
OG0000031	HELIO_11237	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	HELIO_10166	MOUSE08528, MOUSE08527
OG0000031	HELIO_11573, HELIO_11428	MOUSE39309, MOUSE01505
OG0000031	HELIO_00638	MOUSE13006, MOUSE13005
OG0000031	HELIO_00007	MOUSE48656, MOUSE48889
OG0000031	HELIO_08452	MOUSE13007, MOUSE36274, MOUSE36271
OG0000031	HELIO_02162	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	MOUSE29123
OG0000034	HELIO_11044	MOUSE47179, MOUSE42232, MOUSE23593
OG0000034	HELIO_03040	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	HELIO_11045	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	HELIO_10910	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	HELIO_05981	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	HELIO_12487	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	HELIO_11629	MOUSE11491, MOUSE11490
OG0000035	HELIO_04621	MOUSE02570, MOUSE02571
OG0000035	HELIO_12501	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	HELIO_03534	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	HELIO_07811, HELIO_06366	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	HELIO_00732, HELIO_11539	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	HELIO_04984	MOUSE27104
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	HELIO_07711	MOUSE29724, MOUSE29725
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000037	HELIO_01421	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378
OG0000037	HELIO_01377	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	HELIO_04770	MOUSE21441
OG0000039	HELIO_01180	MOUSE32704
OG0000039	HELIO_00133	MOUSE23387
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000044	HELIO_05461	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	HELIO_08837	MOUSE38798
OG0000045	HELIO_01585	MOUSE17353, MOUSE07193
OG0000046	HELIO_08475	MOUSE48114, MOUSE48113
OG0000048	HELIO_10223	MOUSE55730
OG0000048	HELIO_11655	MOUSE42201, MOUSE42202
OG0000048	HELIO_08708	MOUSE06701
OG0000048	HELIO_11103	MOUSE42203
OG0000048	HELIO_05605	MOUSE49641, MOUSE49640, MOUSE49639
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	MOUSE48109
OG0000056	HELIO_02100	MOUSE52879
OG0000056	HELIO_05303	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000056	HELIO_03513	MOUSE37995, MOUSE37994
OG0000057	HELIO_05858	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000058	HELIO_04764	MOUSE40444
OG0000059	HELIO_08348	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	HELIO_07693, HELIO_05488	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	HELIO_02035	MOUSE52080, MOUSE52079
OG0000060	HELIO_12113	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	HELIO_11204	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	HELIO_06316	MOUSE52081
OG0000063	HELIO_10147	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	HELIO_12629	MOUSE10885, MOUSE10881
OG0000063	HELIO_04155	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	HELIO_11387	MOUSE53763
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782	MOUSE19580, MOUSE31455
OG0000068	HELIO_09524, HELIO_08964	MOUSE02010
OG0000069	HELIO_11698	MOUSE30824
OG0000069	HELIO_03190	MOUSE24596
OG0000069	HELIO_05270	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000070	HELIO_00590, HELIO_05047, HELIO_00591	MOUSE01400, MOUSE01399
OG0000072	HELIO_09782	MOUSE30088, MOUSE45691
OG0000072	HELIO_10131	MOUSE29660
OG0000072	HELIO_05118, HELIO_10379	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772
OG0000073	HELIO_07437	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	MOUSE01754, MOUSE40707
OG0000074	HELIO_06403	MOUSE27442, MOUSE27441
OG0000074	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885	MOUSE43699, MOUSE19006
OG0000075	HELIO_02705	MOUSE05779, MOUSE03707
OG0000075	HELIO_12175	MOUSE22546
OG0000075	HELIO_01007	MOUSE14633
OG0000075	HELIO_07086	MOUSE34423
OG0000075	HELIO_01193	MOUSE22547, MOUSE14629, MOUSE14632, MOUSE14631, MOUSE14630
OG0000075	HELIO_09567	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000075	HELIO_05177	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742
OG0000075	HELIO_00684	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109
OG0000077	HELIO_05657	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	HELIO_00295	MOUSE52108, MOUSE34401, MOUSE16118, MOUSE10502
OG0000077	HELIO_12145	MOUSE20922, MOUSE20923, MOUSE20925, MOUSE20926, MOUSE20924
OG0000078	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	HELIO_01794, HELIO_05740	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	HELIO_00549	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	HELIO_01744, HELIO_07509	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929
OG0000081	HELIO_00244	MOUSE21429, MOUSE21428, MOUSE21430
OG0000082	HELIO_12249	MOUSE25920
OG0000082	HELIO_08556	MOUSE19184
OG0000082	HELIO_05158	MOUSE50879
OG0000085	HELIO_02405	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	HELIO_05344	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	HELIO_11582	MOUSE16592, MOUSE16590
OG0000087	HELIO_02847, HELIO_02846	MOUSE04044, MOUSE04045
OG0000087	HELIO_09425	MOUSE24629, MOUSE24631
OG0000087	HELIO_00773	MOUSE11362
OG0000087	HELIO_06633	MOUSE11213
OG0000087	HELIO_01983	MOUSE46080, MOUSE46081
OG0000087	HELIO_04560, HELIO_06411, HELIO_07580	MOUSE46082
OG0000088	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530
OG0000089	HELIO_06684, HELIO_10658	MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169
OG0000089	HELIO_05968, HELIO_04877, HELIO_00224, HELIO_05928	MOUSE55271
OG0000090	HELIO_12415	MOUSE17971, MOUSE17970, MOUSE17967
OG0000090	HELIO_03859, HELIO_12616	MOUSE32571, MOUSE32572
OG0000091	HELIO_06609	MOUSE19668, MOUSE19669
OG0000093	HELIO_04928, HELIO_06889	MOUSE16619, MOUSE35368, MOUSE35369, MOUSE52764, MOUSE52765
OG0000094	HELIO_07015	MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508
OG0000094	HELIO_03878	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850
OG0000095	HELIO_07611	MOUSE21579
OG0000096	HELIO_07466	MOUSE54033, MOUSE13094, MOUSE29900
OG0000096	HELIO_03681	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	HELIO_03321	MOUSE35516
OG0000096	HELIO_06897	MOUSE19103, MOUSE30286, MOUSE30282
OG0000096	HELIO_03947	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996
OG0000096	HELIO_09595	MOUSE52337, MOUSE52338
OG0000098	HELIO_07543	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240
OG0000098	HELIO_00467, HELIO_11416	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729
OG0000099	HELIO_00318, HELIO_06995	MOUSE43058, MOUSE50899, MOUSE00625, MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207
OG0000101	HELIO_03317	MOUSE49370, MOUSE49670
OG0000101	HELIO_11521	MOUSE15611, MOUSE15612
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355
OG0000102	HELIO_08564	MOUSE08156, MOUSE08155, MOUSE24799, MOUSE24798
OG0000103	HELIO_03996	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384
OG0000103	HELIO_12543	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000104	HELIO_04946	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436
OG0000104	HELIO_03807	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642
OG0000104	HELIO_05172	MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576
OG0000104	HELIO_02282	MOUSE16174
OG0000104	HELIO_00006	MOUSE23464, MOUSE23465, MOUSE23463, MOUSE01968, MOUSE01967, MOUSE01969, MOUSE53764
OG0000106	HELIO_02364	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355
OG0000106	HELIO_07474	MOUSE32021
OG0000106	HELIO_05614, HELIO_10877	MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788
OG0000107	HELIO_04878	MOUSE41813
OG0000109	HELIO_04458, HELIO_03843, HELIO_03964, HELIO_08891, HELIO_04429, HELIO_05774, HELIO_07157, HELIO_04749	MOUSE33717
OG0000113	HELIO_06754	MOUSE33596, MOUSE33595
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888
OG0000115	HELIO_10283, HELIO_10284	MOUSE49659, MOUSE49660
OG0000116	HELIO_08217, HELIO_10553	MOUSE27994
OG0000119	HELIO_09291	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167
OG0000119	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713
OG0000119	HELIO_08423, HELIO_01329	MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194
OG0000121	HELIO_11384	MOUSE48188, MOUSE48187, MOUSE21383
OG0000122	HELIO_09221	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654
OG0000122	HELIO_00601, HELIO_11330	MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753
OG0000123	HELIO_08717	MOUSE36089, MOUSE09426, MOUSE09427
OG0000123	HELIO_08884	MOUSE21391, MOUSE47951, MOUSE47950, MOUSE19617
OG0000123	HELIO_09001	MOUSE09430, MOUSE09429, MOUSE09431
OG0000124	HELIO_02264	MOUSE45402
OG0000124	HELIO_07531	MOUSE06474, MOUSE06473, MOUSE38647, MOUSE38648, MOUSE14045
OG0000124	HELIO_08965	MOUSE34424, MOUSE34425
OG0000124	HELIO_01505	MOUSE27466, MOUSE49894
OG0000125	HELIO_11225	MOUSE10957, MOUSE10956, MOUSE10959, MOUSE14826, MOUSE05399, MOUSE05398, MOUSE14824, MOUSE14825
OG0000125	HELIO_03951	MOUSE10964, MOUSE10966, MOUSE05382, MOUSE05384, MOUSE05381, MOUSE10965
OG0000125	HELIO_08019	MOUSE27013, MOUSE27014, MOUSE43956, MOUSE43955, MOUSE43954
OG0000126	HELIO_05678	MOUSE47557, MOUSE47555, MOUSE47554, MOUSE54136, MOUSE54135, MOUSE54137, MOUSE29574, MOUSE29573, MOUSE29575, MOUSE47556
OG0000126	HELIO_07534	MOUSE30423, MOUSE01500
OG0000126	HELIO_02617	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380
OG0000126	HELIO_12717	MOUSE19645, MOUSE01498, MOUSE01499, MOUSE32380, MOUSE30420, MOUSE30422, MOUSE30421, MOUSE27727, MOUSE27726, MOUSE27725
OG0000127	HELIO_00274	MOUSE47545, MOUSE54139, MOUSE29572
OG0000127	HELIO_04203	MOUSE52357, MOUSE52358, MOUSE13075
OG0000127	HELIO_00760	MOUSE09031, MOUSE06835, MOUSE28216
OG0000127	HELIO_10652	MOUSE12652, MOUSE29242, MOUSE21486, MOUSE21487
OG0000127	HELIO_03723	MOUSE17076, MOUSE17077, MOUSE17078, MOUSE14094, MOUSE06008
OG0000128	HELIO_05183	MOUSE20235
OG0000128	HELIO_03924	MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208
OG0000128	HELIO_00789	MOUSE15660, MOUSE15661
OG0000129	HELIO_05477	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521
OG0000129	HELIO_12045	MOUSE45123, MOUSE55058
OG0000130	HELIO_00229	MOUSE31524, MOUSE31521, MOUSE31523, MOUSE31522
OG0000131	HELIO_00530, HELIO_08397	MOUSE01093, MOUSE01094
OG0000132	HELIO_02084, HELIO_02083, HELIO_03711	MOUSE08918, MOUSE08909, MOUSE21284, MOUSE08828, MOUSE08927, MOUSE08921, MOUSE08935
OG0000132	HELIO_04353	MOUSE14073
OG0000137	HELIO_10563	MOUSE13561, MOUSE13559, MOUSE13562, MOUSE13560, MOUSE00324, MOUSE00325, MOUSE00321, MOUSE00323
OG0000137	HELIO_05850	MOUSE06337, MOUSE06338
OG0000137	HELIO_01589, HELIO_12262	MOUSE18094, MOUSE18096
