Orthogroup	HELIO_ok	OWEFU
OG0000028	HELIO_06306	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	HELIO_06269	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000028	HELIO_12146	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1
OG0000029	HELIO_10546, HELIO_00115	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000029	HELIO_05447	OFUSG21155.1.p1
OG0000029	HELIO_11942	OFUSG16858.1.p1
OG0000029	HELIO_00268, HELIO_06866, HELIO_02296, HELIO_09944, HELIO_05648, HELIO_01633, HELIO_06816	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1
OG0000030	HELIO_11997	OFUSG07789.1.p1, OFUSG07787.1.p1
OG0000030	HELIO_04525, HELIO_09505	OFUSG04213.1.p1
OG0000030	HELIO_06719	OFUSG21119.1.p1
OG0000031	HELIO_00637	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	HELIO_00475	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	HELIO_11237	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	HELIO_10166	OFUSG03938.1.p1
OG0000031	HELIO_00951	OFUSG09754.1.p1
OG0000031	HELIO_11573	OFUSG12627.1.p1
OG0000031	HELIO_00638	OFUSG02210.1.p1
OG0000031	HELIO_00007	OFUSG17671.1.p1
OG0000031	HELIO_02162	OFUSG16797.1.p1
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000034	HELIO_03040	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	HELIO_10910	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	HELIO_05981	OFUSG08780.1.p1
OG0000034	HELIO_12487	OFUSG00313.1.p1
OG0000035	HELIO_06273	OFUSG08016.1.p1, OFUSG08016.2.p1
OG0000035	HELIO_04621	OFUSG16461.1.p1
OG0000035	HELIO_03945, HELIO_04376	OFUSG07703.1.p1
OG0000035	HELIO_12501	OFUSG09470.1.p1
OG0000035	HELIO_03534	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	HELIO_07811, HELIO_06366	OFUSG07851.1.p1
OG0000035	HELIO_00732, HELIO_11539	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	HELIO_10164, HELIO_04984	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	HELIO_10881, HELIO_00206, HELIO_04367, HELIO_07074, HELIO_04322, HELIO_07711	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	OFUSG05272.1.p1
OG0000037	HELIO_01421	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	HELIO_04770	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000039	HELIO_01180	OFUSG13129.1.p1, OFUSG05314.1.p1
OG0000039	HELIO_07214	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1
OG0000039	HELIO_00133	OFUSG11857.1.p1
OG0000043	HELIO_00563	OFUSG22688.1.p1
OG0000044	HELIO_08837, HELIO_02529	OFUSG03166.1.p1
OG0000044	HELIO_01656	OFUSG22654.1.p1, OFUSG22653.1.p1, OFUSG15735.1.p1, OFUSG15574.1.p1, OFUSG15256.2.p1, OFUSG15256.1.p1, OFUSG15731.1.p1, OFUSG15125.1.p1, OFUSG23742.1.p1, OFUSG15245.1.p1
OG0000045	HELIO_00381, HELIO_10516, HELIO_06348, HELIO_06793	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
OG0000045	HELIO_01585	OFUSG18977.1.p1
OG0000048	HELIO_10223	OFUSG03456.1.p1
OG0000048	HELIO_12500	OFUSG15815.1.p1
OG0000048	HELIO_03643	OFUSG15705.1.p1
OG0000048	HELIO_05568	OFUSG19541.1.p1
OG0000048	HELIO_05826, HELIO_06221	OFUSG11584.1.p1
OG0000048	HELIO_11655	OFUSG11587.1.p1
OG0000048	HELIO_08708	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	HELIO_00288, HELIO_00660, HELIO_12560, HELIO_10706	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1
OG0000048	HELIO_05605	OFUSG04756.1.p1
OG0000049	HELIO_10175	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1
OG0000049	HELIO_12356	OFUSG19056.1.p1, OFUSG22443.1.p1
OG0000050	HELIO_04507, HELIO_05305	OFUSG09384.1.p1
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844	OFUSG17623.1.p1, OFUSG24736.1.p1
OG0000054	HELIO_03625, HELIO_05561	OFUSG08102.2.p1, OFUSG08102.1.p1
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000055	HELIO_10362	OFUSG08892.1.p1
OG0000056	HELIO_05303	OFUSG17281.1.p1
OG0000056	HELIO_03513	OFUSG00880.1.p1, OFUSG00880.2.p1
OG0000056	HELIO_09232, HELIO_07150	OFUSG19663.1.p1
OG0000056	HELIO_00064	OFUSG01275.1.p1
OG0000056	HELIO_07637	OFUSG00148.1.p1
OG0000057	HELIO_05858	OFUSG18495.1.p1
OG0000057	HELIO_07020	OFUSG08336.1.p1
OG0000058	HELIO_04764, HELIO_06019	OFUSG25338.1.p1
OG0000059	HELIO_07693, HELIO_05488	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000060	HELIO_02035	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000060	HELIO_11213	OFUSG21371.2.p1, OFUSG21371.1.p1
OG0000061	HELIO_11204	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000061	HELIO_00140	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1
OG0000061	HELIO_07930	OFUSG16363.1.p1, OFUSG16363.2.p1
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	HELIO_06316	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	HELIO_10147	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	HELIO_12629	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000063	HELIO_12062	OFUSG17598.1.p1, OFUSG17396.1.p1
OG0000063	HELIO_05484, HELIO_08778, HELIO_04019	OFUSG23292.1.p1
OG0000064	HELIO_01450, HELIO_11717	OFUSG18700.1.p1, OFUSG11503.1.p1, OFUSG24568.1.p1, OFUSG14688.1.p1, OFUSG24348.1.p1, OFUSG04845.1.p1, OFUSG24050.1.p1
OG0000066	HELIO_02871	OFUSG25801.1.p1
OG0000066	HELIO_08302	OFUSG16714.1.p1
OG0000066	HELIO_11387	OFUSG23527.1.p1
OG0000066	HELIO_05268	OFUSG02268.1.p1, OFUSG02267.1.p1
OG0000067	HELIO_11753, HELIO_06955	OFUSG01517.1.p1, OFUSG21774.1.p1
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1
OG0000068	HELIO_09495, HELIO_11520, HELIO_04643, HELIO_09524, HELIO_08964	OFUSG06649.2.p1, OFUSG06649.1.p1
OG0000069	HELIO_11698	OFUSG26968.1.p1
OG0000071	HELIO_00564	OFUSG17876.1.p1, OFUSG17876.2.p1, OFUSG10287.1.p1
OG0000071	HELIO_11788	OFUSG01197.1.p1
OG0000071	HELIO_04987, HELIO_11295	OFUSG17431.1.p1, OFUSG17011.1.p1, OFUSG17010.1.p1, OFUSG08342.1.p1, OFUSG25772.1.p1, OFUSG15787.1.p1, OFUSG16028.1.p2, OFUSG18632.1.p1, OFUSG13731.1.p1
OG0000072	HELIO_10317	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1
OG0000072	HELIO_09782	OFUSG02679.1.p1, OFUSG02679.2.p1
OG0000072	HELIO_10131	OFUSG03079.1.p1
OG0000072	HELIO_04791	OFUSG10198.1.p1
OG0000073	HELIO_06740, HELIO_06515, HELIO_11840, HELIO_11839	OFUSG22954.1.p1
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	OFUSG24829.1.p1, OFUSG06062.1.p1
OG0000075	HELIO_12175	OFUSG16172.1.p1
OG0000075	HELIO_01007	OFUSG16504.1.p1
OG0000075	HELIO_07086	OFUSG13755.2.p1, OFUSG13755.1.p1
OG0000075	HELIO_01193	OFUSG16171.1.p1, OFUSG16171.2.p1
OG0000075	HELIO_09567	OFUSG05709.1.p1
OG0000075	HELIO_05177	OFUSG18892.2.p1, OFUSG18892.1.p1
OG0000075	HELIO_00684	OFUSG19094.1.p1
OG0000077	HELIO_05657	OFUSG19468.1.p1
OG0000077	HELIO_00295	OFUSG04692.1.p1
OG0000077	HELIO_11466	OFUSG05776.1.p1, OFUSG24718.1.p1
OG0000078	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570	OFUSG04718.1.p1
OG0000078	HELIO_07319, HELIO_06987	OFUSG16348.1.p1, OFUSG16350.1.p1, OFUSG04342.1.p1, OFUSG04340.1.p1, OFUSG04336.1.p1, OFUSG16350.2.p1, OFUSG16350.3.p1, OFUSG14729.1.p1, OFUSG25407.3.p1, OFUSG25407.2.p1, OFUSG25408.1.p1, OFUSG25407.1.p1, OFUSG06117.1.p1, OFUSG13932.1.p1, OFUSG09478.1.p1, OFUSG04630.1.p1, OFUSG00727.1.p1, OFUSG19789.1.p1, OFUSG03268.1.p1, OFUSG02334.1.p1, OFUSG03266.2.p1, OFUSG03266.3.p1, OFUSG03267.1.p1, OFUSG03266.1.p1, OFUSG19794.1.p1, OFUSG19793.1.p1, OFUSG19793.2.p1, OFUSG01423.4.p1, OFUSG01423.1.p1, OFUSG01423.2.p1, OFUSG01423.3.p1, OFUSG01423.5.p1, OFUSG02459.1.p1, OFUSG02461.1.p1
OG0000079	HELIO_01794, HELIO_05740	OFUSG21029.1.p1
OG0000079	HELIO_00549	OFUSG24101.1.p1
OG0000079	HELIO_01744, HELIO_07509	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1
OG0000081	HELIO_00244	OFUSG21451.1.p1
OG0000081	HELIO_06946, HELIO_04954, HELIO_06101, HELIO_04830	OFUSG16424.1.p1, OFUSG09104.3.p1, OFUSG09104.1.p1, OFUSG09104.2.p1, OFUSG05420.1.p1, OFUSG05002.1.p1, OFUSG24784.1.p1, OFUSG21093.1.p1
OG0000082	HELIO_12249	OFUSG08036.1.p1
OG0000082	HELIO_08556	OFUSG05603.1.p1
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	OFUSG21176.1.p1
OG0000083	HELIO_10428	OFUSG03973.1.p1
OG0000083	HELIO_03497, HELIO_03496	OFUSG20913.1.p1
OG0000084	HELIO_06950	OFUSG10549.1.p1, OFUSG18518.1.p1, OFUSG18517.1.p1, OFUSG10518.1.p1
OG0000085	HELIO_02405	OFUSG23228.1.p1, OFUSG17240.1.p1
OG0000085	HELIO_05344	OFUSG24119.1.p1
OG0000085	HELIO_08642	OFUSG23884.1.p1
OG0000085	HELIO_11582	OFUSG00479.1.p1
OG0000086	HELIO_04790	OFUSG19605.1.p1
OG0000087	HELIO_02848	OFUSG13953.1.p1
OG0000087	HELIO_02846	OFUSG13949.1.p1
OG0000087	HELIO_09425	OFUSG12025.1.p1
OG0000087	HELIO_00773	OFUSG00692.1.p1
OG0000087	HELIO_06633	OFUSG06740.2.p1, OFUSG06740.1.p1
OG0000087	HELIO_01983	OFUSG18253.1.p1
OG0000087	HELIO_06411	OFUSG19306.1.p1, OFUSG19306.2.p1
OG0000088	HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555	OFUSG15625.1.p1, OFUSG20484.1.p1, OFUSG02298.1.p1, OFUSG02298.2.p1, OFUSG22303.1.p1, OFUSG10900.1.p1
OG0000089	HELIO_06389, HELIO_03526, HELIO_07518, HELIO_10304	OFUSG05790.1.p1
OG0000089	HELIO_06684	OFUSG00843.1.p1
OG0000089	HELIO_10658	OFUSG05923.1.p1, OFUSG05923.2.p1, OFUSG05781.1.p1
OG0000090	HELIO_12415	OFUSG07976.1.p1
OG0000090	HELIO_03859, HELIO_12616	OFUSG08207.1.p1
OG0000090	HELIO_11634	OFUSG16470.1.p1, OFUSG19322.1.p1
OG0000091	HELIO_06734, HELIO_05437, HELIO_01871, HELIO_05996	OFUSG04820.1.p1
OG0000091	HELIO_06609	OFUSG07948.1.p1
OG0000093	HELIO_00044	OFUSG03290.1.p1
OG0000093	HELIO_04928, HELIO_06889	OFUSG03214.1.p1, OFUSG03287.1.p1, OFUSG03281.1.p1, OFUSG07363.1.p1, OFUSG03291.1.p1, OFUSG26492.1.p1, OFUSG03288.1.p1, OFUSG07368.1.p1, OFUSG07369.2.p1, OFUSG07369.1.p1, OFUSG07367.1.p1, OFUSG07371.1.p1, OFUSG07370.1.p1, OFUSG02777.1.p1, OFUSG12122.1.p1, OFUSG03292.1.p1, OFUSG00762.1.p1, OFUSG12123.1.p1, OFUSG01092.1.p1
OG0000094	HELIO_07015	OFUSG06104.1.p1
OG0000094	HELIO_03878	OFUSG07673.3.p1, OFUSG07673.1.p1, OFUSG07673.2.p1, OFUSG07673.4.p1
OG0000095	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874	OFUSG11139.1.p1, OFUSG11139.2.p1, OFUSG20731.1.p1, OFUSG10751.1.p1, OFUSG10752.1.p1, OFUSG05076.1.p1, OFUSG05077.1.p1, OFUSG04927.1.p1, OFUSG04834.1.p1, OFUSG05311.1.p1, OFUSG05311.3.p1, OFUSG05311.2.p1, OFUSG23053.1.p1, OFUSG20564.2.p1, OFUSG20564.1.p1, OFUSG06065.1.p1, OFUSG03477.1.p1, OFUSG05320.1.p1
OG0000096	HELIO_07466	OFUSG14354.1.p1
OG0000096	HELIO_03681	OFUSG06591.1.p1
OG0000096	HELIO_03321	OFUSG12705.1.p1
OG0000096	HELIO_06897	OFUSG09090.1.p1
OG0000096	HELIO_03947	OFUSG08225.1.p1
OG0000097	HELIO_06145	OFUSG00372.1.p1
OG0000097	HELIO_05308	OFUSG05903.1.p1, OFUSG05905.1.p1, OFUSG05904.1.p1, OFUSG19183.1.p1, OFUSG03596.1.p1, OFUSG03594.2.p1, OFUSG03594.1.p1, OFUSG02797.1.p1, OFUSG03593.1.p1, OFUSG03589.1.p1
OG0000097	HELIO_04942	OFUSG05906.1.p1
OG0000098	HELIO_07543	OFUSG19724.1.p1, OFUSG12695.1.p1
OG0000098	HELIO_00467, HELIO_11416	OFUSG09622.1.p1, OFUSG09623.1.p1
OG0000099	HELIO_00318, HELIO_06995	OFUSG00228.1.p1, OFUSG00229.1.p1, OFUSG00229.2.p1, OFUSG01427.1.p1, OFUSG00259.1.p1, OFUSG00259.2.p1
OG0000099	HELIO_00319	OFUSG11416.1.p1
OG0000101	HELIO_03317	OFUSG26221.1.p1
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	OFUSG16240.1.p1, OFUSG16959.1.p1, OFUSG24300.2.p1, OFUSG24300.1.p1
OG0000102	HELIO_08564	OFUSG16711.1.p1, OFUSG12639.1.p1, OFUSG12363.1.p1
OG0000103	HELIO_03996	OFUSG11159.3.p1, OFUSG11159.1.p1, OFUSG11159.4.p1, OFUSG11159.2.p1, OFUSG11159.5.p1
OG0000103	HELIO_12543	OFUSG10643.2.p1, OFUSG10643.1.p1
OG0000104	HELIO_04946	OFUSG23222.1.p1, OFUSG23223.1.p1
OG0000104	HELIO_03807	OFUSG17041.2.p1, OFUSG17041.1.p1
OG0000104	HELIO_05172	OFUSG09600.1.p1, OFUSG17170.1.p1
OG0000104	HELIO_02282	OFUSG09069.1.p1
OG0000104	HELIO_00006	OFUSG06025.1.p1
OG0000105	HELIO_01100, HELIO_00114, HELIO_07550, HELIO_11647, HELIO_00723, HELIO_10734, HELIO_00015, HELIO_04422, HELIO_00218, HELIO_01340, HELIO_05453, HELIO_04143, HELIO_02007, HELIO_06456, HELIO_11991, HELIO_08647, HELIO_10468	OFUSG05787.1.p1
OG0000106	HELIO_02364	OFUSG20665.1.p1
OG0000106	HELIO_07474	OFUSG20761.2.p1, OFUSG20761.1.p1
OG0000106	HELIO_05614	OFUSG20218.1.p1, OFUSG20218.2.p1
OG0000109	HELIO_00715	OFUSG22657.1.p1
OG0000110	HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452	OFUSG25344.1.p1, OFUSG25344.2.p1, OFUSG11146.1.p1
OG0000113	HELIO_06754	OFUSG06848.1.p1, OFUSG19695.1.p1, OFUSG19696.1.p1
