Orthogroup	HELIO_ok	CAPO3
OG0000030	HELIO_11997, HELIO_04525, HELIO_09505, HELIO_00137, HELIO_06719, HELIO_06628	CAPO305356, CAPO301638, CAPO307563
OG0000031	HELIO_11573	CAPO303729
OG0000031	HELIO_11428	CAPO307573
OG0000035	HELIO_06273, HELIO_04621, HELIO_03945, HELIO_04376, HELIO_12501, HELIO_03534, HELIO_07811, HELIO_06366, HELIO_00732, HELIO_11539, HELIO_10164, HELIO_04984	CAPO307346, CAPO308354
OG0000041	HELIO_03057	CAPO308025, CAPO306861
OG0000043	HELIO_04067, HELIO_00563	CAPO308256
OG0000048	HELIO_10223	CAPO305301
OG0000048	HELIO_00288, HELIO_00660, HELIO_12560, HELIO_10706	CAPO306877
OG0000048	HELIO_05605	CAPO304823
OG0000049	HELIO_02366, HELIO_10175, HELIO_12356, HELIO_11403	CAPO304018
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844, HELIO_11965, HELIO_05090, HELIO_05789	CAPO307809, CAPO301249
OG0000053	HELIO_06044	CAPO302193
OG0000054	HELIO_03625, HELIO_05561	CAPO303213, CAPO305653
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	CAPO302015
OG0000056	HELIO_02100, HELIO_05303, HELIO_03513, HELIO_09232, HELIO_07150, HELIO_07638, HELIO_00064, HELIO_07637	CAPO305974, CAPO306012, CAPO306941
OG0000058	HELIO_04784	CAPO305595
OG0000060	HELIO_02035, HELIO_11213, HELIO_01698, HELIO_08930, HELIO_10260, HELIO_12113	CAPO305373
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709, HELIO_06316, HELIO_06187, HELIO_08446, HELIO_09104	CAPO300910
OG0000063	HELIO_10147, HELIO_12629, HELIO_04719, HELIO_12335, HELIO_11425, HELIO_12062, HELIO_05484, HELIO_08778, HELIO_04019, HELIO_04155	CAPO300270
OG0000066	HELIO_02871, HELIO_08302, HELIO_11387, HELIO_05268	CAPO308057
OG0000069	HELIO_11698	CAPO302182
OG0000069	HELIO_03190	CAPO301523, CAPO305173
OG0000079	HELIO_01744, HELIO_07509	CAPO302518
OG0000082	HELIO_12249	CAPO304738
OG0000082	HELIO_08556	CAPO306626
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	CAPO300843
OG0000085	HELIO_02405	CAPO303061
OG0000085	HELIO_05344, HELIO_08642, HELIO_11582	CAPO303047
OG0000089	HELIO_06389, HELIO_03526, HELIO_07518, HELIO_10304, HELIO_06684, HELIO_10658, HELIO_05968, HELIO_04877, HELIO_00224, HELIO_05928	CAPO300386, CAPO300810, CAPO302098
OG0000090	HELIO_04390	CAPO304460, CAPO304458, CAPO303991
OG0000091	HELIO_06734, HELIO_05437, HELIO_01871, HELIO_05996, HELIO_06609	CAPO301134
OG0000095	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874	CAPO301288, CAPO306046
OG0000096	HELIO_03681	CAPO301431
OG0000096	HELIO_03321	CAPO307955
OG0000096	HELIO_06897	CAPO307522
OG0000096	HELIO_03947	CAPO300294
OG0000096	HELIO_09595	CAPO307017
OG0000101	HELIO_03317, HELIO_11521, HELIO_06274, HELIO_11624, HELIO_06876	CAPO306858
OG0000103	HELIO_03996, HELIO_12543	CAPO302453
OG0000106	HELIO_02364, HELIO_07474, HELIO_05614, HELIO_10877	CAPO300017
OG0000110	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191, HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452	CAPO300387
OG0000116	HELIO_08217, HELIO_10553	CAPO305622
OG0000119	HELIO_09291, HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015, HELIO_08423, HELIO_01329	CAPO304642
OG0000122	HELIO_03986, HELIO_09221, HELIO_00601, HELIO_11330, HELIO_07753	CAPO307824
OG0000124	HELIO_07531	CAPO304324
OG0000126	HELIO_05678	CAPO302484
OG0000126	HELIO_07534	CAPO306676
OG0000126	HELIO_02617, HELIO_12717	CAPO300572
OG0000128	HELIO_09757, HELIO_05183, HELIO_03924, HELIO_07945, HELIO_04974	CAPO306991, CAPO304956
OG0000129	HELIO_08318, HELIO_05477, HELIO_12045	CAPO303361
OG0000137	HELIO_10563, HELIO_05850, HELIO_01589, HELIO_12262	CAPO305369
OG0000142	HELIO_07594, HELIO_07399	CAPO302031, CAPO302030
OG0000147	HELIO_07856	CAPO308132
OG0000147	HELIO_07688	CAPO304230
OG0000149	HELIO_11224, HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026, HELIO_08561	CAPO305206, CAPO306214
OG0000157	HELIO_02764	CAPO305956
OG0000157	HELIO_10997	CAPO302981
OG0000157	HELIO_02973, HELIO_02898	CAPO305824
OG0000160	HELIO_11870	CAPO301680
OG0000167	HELIO_01889, HELIO_11909, HELIO_08193, HELIO_10849, HELIO_07346	CAPO301364, CAPO303476
OG0000171	HELIO_09820, HELIO_01149, HELIO_03619	CAPO304813
OG0000174	HELIO_09480, HELIO_04614, HELIO_10809, HELIO_01069, HELIO_01831, HELIO_10694	CAPO304629
OG0000175	HELIO_11471	CAPO303513
OG0000179	HELIO_05015	CAPO300694
OG0000179	HELIO_04929	CAPO303342
OG0000181	HELIO_03744	CAPO302034
OG0000181	HELIO_11084, HELIO_06953	CAPO307692
OG0000181	HELIO_10771	CAPO300374
OG0000183	HELIO_03106, HELIO_07785	CAPO305638
OG0000183	HELIO_12279, HELIO_02987	CAPO305829
OG0000184	HELIO_04383	CAPO304928
OG0000192	HELIO_03155	CAPO300533
OG0000192	HELIO_03349	CAPO301980
OG0000194	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417, HELIO_04980	CAPO305195
OG0000195	HELIO_05982, HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118	CAPO305454
OG0000201	HELIO_03794	CAPO307729
OG0000203	HELIO_11397, HELIO_01088, HELIO_02460	CAPO302139
OG0000204	HELIO_05116, HELIO_05845	CAPO303090
OG0000207	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023, HELIO_10947, HELIO_04894, HELIO_01091	CAPO304105, CAPO304106, CAPO304714
OG0000211	HELIO_11401, HELIO_09853, HELIO_00554, HELIO_04759, HELIO_11035	CAPO306209
OG0000218	HELIO_12321, HELIO_05067	CAPO300559
OG0000220	HELIO_04722, HELIO_04300, HELIO_10035, HELIO_12042, HELIO_05776, HELIO_08506	CAPO306780, CAPO307695
OG0000221	HELIO_06860, HELIO_10767, HELIO_06340	CAPO300247
OG0000222	HELIO_00099, HELIO_10967, HELIO_04924, HELIO_00113	CAPO304211
OG0000223	HELIO_08605, HELIO_10674, HELIO_07967, HELIO_04535, HELIO_08604	CAPO308126
OG0000225	HELIO_03666, HELIO_05507, HELIO_12455, HELIO_12454	CAPO305347
OG0000234	HELIO_06356, HELIO_10361	CAPO301359
OG0000238	HELIO_10889	CAPO305428
OG0000239	HELIO_09847, HELIO_06585, HELIO_09876	CAPO302089
OG0000240	HELIO_07617	CAPO303214
OG0000242	HELIO_01488	CAPO304847
OG0000244	HELIO_03531, HELIO_03532, HELIO_02491, HELIO_05724, HELIO_12702	CAPO301556
OG0000246	HELIO_06641, HELIO_12542, HELIO_06797, HELIO_02441	CAPO303496
OG0000248	HELIO_03449, HELIO_00693, HELIO_05570	CAPO307635, CAPO302481, CAPO302487
OG0000250	HELIO_09216	CAPO305827
OG0000255	HELIO_09865	CAPO306632
OG0000255	HELIO_11786	CAPO301531
OG0000255	HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573	CAPO300499
OG0000256	HELIO_11169	CAPO307884
OG0000256	HELIO_06584, HELIO_07024, HELIO_07406, HELIO_07937	CAPO306483
OG0000257	HELIO_10210, HELIO_02598, HELIO_08653, HELIO_08223	CAPO300414
OG0000258	HELIO_01832	CAPO301106
OG0000258	HELIO_07834, HELIO_11938	CAPO301746
OG0000260	HELIO_02123	CAPO300399
OG0000265	HELIO_10981	CAPO306126
OG0000265	HELIO_02949	CAPO306540
OG0000271	HELIO_09338, HELIO_09337, HELIO_12202, HELIO_10271, HELIO_11250	CAPO304641
OG0000273	HELIO_05150	CAPO305109
OG0000273	HELIO_01650	CAPO300804
OG0000273	HELIO_02819	CAPO306869
OG0000277	HELIO_01369	CAPO303621
OG0000277	HELIO_01920	CAPO301295
OG0000282	HELIO_10802, HELIO_02090, HELIO_06080	CAPO308183
OG0000284	HELIO_04011	CAPO305695
OG0000285	HELIO_08936, HELIO_07805, HELIO_08935, HELIO_08587	CAPO303377
OG0000288	HELIO_01393	CAPO305142
OG0000289	HELIO_07121, HELIO_04864, HELIO_08142	CAPO307835
OG0000295	HELIO_07292, HELIO_04234, HELIO_05051	CAPO302113, CAPO302799
OG0000299	HELIO_09503	CAPO306599
OG0000305	HELIO_04494	CAPO307183
OG0000306	HELIO_09402	CAPO308212
OG0000308	HELIO_09361, HELIO_07835	CAPO304037
OG0000308	HELIO_08987	CAPO303083
OG0000310	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589	CAPO305978
OG0000312	HELIO_10360	CAPO302691
OG0000313	HELIO_06905, HELIO_11614	CAPO307072
OG0000313	HELIO_01266	CAPO301348
OG0000314	HELIO_00525, HELIO_03371	CAPO304303
OG0000315	HELIO_08178	CAPO307611
OG0000315	HELIO_06387	CAPO308167
OG0000316	HELIO_01799, HELIO_11514, HELIO_05676	CAPO307924, CAPO300321
OG0000317	HELIO_04312	CAPO306620
OG0000319	HELIO_04561, HELIO_06272, HELIO_00545, HELIO_04456, HELIO_04612, HELIO_10441, HELIO_04762	CAPO303225
OG0000320	HELIO_00242	CAPO304008
OG0000322	HELIO_05399, HELIO_04398, HELIO_03829, HELIO_10830, HELIO_06778	CAPO306406
OG0000326	HELIO_08613	CAPO303322
OG0000335	HELIO_01713	CAPO307753
OG0000338	HELIO_11240, HELIO_09261, HELIO_11115	CAPO304735
OG0000339	HELIO_05723, HELIO_01207	CAPO305264
OG0000343	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075	CAPO306429
OG0000345	HELIO_12314	CAPO300769
OG0000352	HELIO_07849, HELIO_02109, HELIO_10654	CAPO300356
OG0000357	HELIO_04303	CAPO301487
OG0000359	HELIO_08095	CAPO305417
OG0000359	HELIO_01337	CAPO301540
OG0000359	HELIO_08324	CAPO306866
OG0000360	HELIO_03033, HELIO_07042, HELIO_05668, HELIO_09290	CAPO300757
OG0000364	HELIO_03949, HELIO_12735, HELIO_10136, HELIO_07364, HELIO_06168, HELIO_10958	CAPO301330, CAPO300908
OG0000367	HELIO_11366, HELIO_00864	CAPO301272
OG0000371	HELIO_07468, HELIO_06901, HELIO_00894, HELIO_04470	CAPO307503
OG0000372	HELIO_08010, HELIO_09904, HELIO_12662, HELIO_08215	CAPO307553
OG0000373	HELIO_07356	CAPO301744
OG0000385	HELIO_06965, HELIO_07014, HELIO_02136, HELIO_00841, HELIO_02137	CAPO300182, CAPO305781, CAPO305517
OG0000390	HELIO_00340, HELIO_02309, HELIO_11674, HELIO_05872	CAPO301433, CAPO301477
OG0000390	HELIO_11470, HELIO_06676	CAPO307000
OG0000392	HELIO_05710, HELIO_07226	CAPO300351
OG0000393	HELIO_12162, HELIO_00926, HELIO_04233, HELIO_12760, HELIO_07006	CAPO307627
OG0000397	HELIO_10979	CAPO304372
OG0000399	HELIO_09726, HELIO_07050, HELIO_04949, HELIO_03771	CAPO302781
OG0000402	HELIO_08210, HELIO_08672, HELIO_08610	CAPO300999
OG0000405	HELIO_10657	CAPO300636
OG0000412	HELIO_12508	CAPO306116
OG0000412	HELIO_09547	CAPO307159
OG0000413	HELIO_08207, HELIO_08206	CAPO302663
OG0000413	HELIO_10878	CAPO304678
OG0000416	HELIO_09065	CAPO305980
OG0000420	HELIO_11506, HELIO_10479, HELIO_04176	CAPO307162
OG0000422	HELIO_06618	CAPO301071
OG0000424	HELIO_07447, HELIO_02671	CAPO302770, CAPO306814
OG0000426	HELIO_00568	CAPO302714
OG0000426	HELIO_10983	CAPO306829
OG0000427	HELIO_11307, HELIO_03641	CAPO303813
OG0000429	HELIO_04434	CAPO300725
OG0000431	HELIO_05550	CAPO306585
OG0000431	HELIO_04546	CAPO304684
OG0000433	HELIO_09108	CAPO304838, CAPO302573
OG0000434	HELIO_03450, HELIO_09418, HELIO_09671, HELIO_06005	CAPO304471
OG0000435	HELIO_02789, HELIO_08123	CAPO308080
OG0000436	HELIO_08988, HELIO_08989	CAPO305799
OG0000442	HELIO_02982	CAPO302753, CAPO302633
OG0000444	HELIO_00903	CAPO305423
OG0000444	HELIO_04957	CAPO301239
OG0000445	HELIO_01787, HELIO_05217	CAPO301584
OG0000447	HELIO_10938, HELIO_10939	CAPO300691
OG0000450	HELIO_01846	CAPO307586, CAPO307446
OG0000453	HELIO_11149, HELIO_05758	CAPO305025
OG0000454	HELIO_01041	CAPO301952
OG0000461	HELIO_02414	CAPO303645, CAPO304085, CAPO303531
OG0000461	HELIO_03731, HELIO_03732, HELIO_06581	CAPO307456
OG0000467	HELIO_10923	CAPO302214
OG0000468	HELIO_00401, HELIO_10281, HELIO_03768, HELIO_09960	CAPO302003, CAPO303185
OG0000469	HELIO_06536	CAPO306584, CAPO302277
OG0000469	HELIO_02957	CAPO302982
OG0000470	HELIO_04201	CAPO307521
OG0000474	HELIO_10673	CAPO307766
OG0000475	HELIO_10255	CAPO303779
OG0000476	HELIO_05620	CAPO306104
OG0000479	HELIO_08760	CAPO303549
OG0000479	HELIO_02948	CAPO304267
OG0000480	HELIO_05557, HELIO_08414, HELIO_08413	CAPO307201
OG0000481	HELIO_12216	CAPO300053
OG0000481	HELIO_11178	CAPO304800
OG0000481	HELIO_09259	CAPO304355
OG0000484	HELIO_05916	CAPO304750
OG0000485	HELIO_02562, HELIO_07054	CAPO303224, CAPO303026
OG0000486	HELIO_10558, HELIO_11461, HELIO_05022, HELIO_11212, HELIO_06172, HELIO_02564, HELIO_00117	CAPO306048, CAPO306972
OG0000488	HELIO_02611	CAPO305871
OG0000491	HELIO_02841, HELIO_11924	CAPO305506
OG0000494	HELIO_07387	CAPO300277
OG0000506	HELIO_11106	CAPO304587
OG0000508	HELIO_04860	CAPO303408, CAPO307945
OG0000508	HELIO_10897	CAPO302590
OG0000510	HELIO_05326, HELIO_00614, HELIO_06648	CAPO303128, CAPO305095
OG0000511	HELIO_04224	CAPO301322
OG0000514	HELIO_07204	CAPO307292
OG0000516	HELIO_04523	CAPO302072
OG0000519	HELIO_03762, HELIO_07021, HELIO_05761, HELIO_00935	CAPO300709
OG0000520	HELIO_10311	CAPO304720
OG0000522	HELIO_08815, HELIO_12218, HELIO_08208	CAPO306204
OG0000528	HELIO_11004, HELIO_07368, HELIO_07025	CAPO300417
OG0000530	HELIO_07741, HELIO_07742	CAPO306919
OG0000532	HELIO_04439, HELIO_05643, HELIO_00054	CAPO301913
OG0000538	HELIO_11897, HELIO_11896	CAPO300039
OG0000548	HELIO_10743, HELIO_10294, HELIO_01580	CAPO307253, CAPO307370
OG0000549	HELIO_05772	CAPO305341
OG0000551	HELIO_05085	CAPO305700
OG0000552	HELIO_04288, HELIO_02628	CAPO302805
OG0000553	HELIO_12654, HELIO_00441, HELIO_00012	CAPO302261
OG0000554	HELIO_09952	CAPO300205
OG0000561	HELIO_11408	CAPO307817, CAPO304686, CAPO304296
OG0000566	HELIO_06134, HELIO_05991, HELIO_09539	CAPO306820
OG0000567	HELIO_10257, HELIO_10335, HELIO_10328	CAPO300710, CAPO302895
OG0000569	HELIO_07652, HELIO_07414, HELIO_03504, HELIO_07223, HELIO_04797	CAPO302672
OG0000572	HELIO_10250, HELIO_10251	CAPO302048
OG0000573	HELIO_11819	CAPO301573
OG0000573	HELIO_09237	CAPO300482
OG0000574	HELIO_05765	CAPO303025
OG0000578	HELIO_04018	CAPO305505
OG0000583	HELIO_06801	CAPO302594
OG0000585	HELIO_01503	CAPO302010
OG0000586	HELIO_10402	CAPO304818
OG0000587	HELIO_08335	CAPO304868
OG0000588	HELIO_08850	CAPO300701
OG0000590	HELIO_04845	CAPO302664
OG0000590	HELIO_05331	CAPO307990
OG0000591	HELIO_00717	CAPO300885
OG0000591	HELIO_09984	CAPO301508, CAPO306921
OG0000592	HELIO_11966, HELIO_10886	CAPO302552
OG0000593	HELIO_01727	CAPO303950
OG0000594	HELIO_10206, HELIO_10013, HELIO_09059	CAPO305185
OG0000597	HELIO_02513	CAPO305949
OG0000600	HELIO_06427, HELIO_09191	CAPO302133
OG0000603	HELIO_08442	CAPO300286
OG0000604	HELIO_10843, HELIO_10844	CAPO304248
OG0000609	HELIO_01095	CAPO306415
OG0000611	HELIO_03068, HELIO_03069	CAPO305139
OG0000611	HELIO_06952	CAPO302505
OG0000612	HELIO_12611	CAPO308174
OG0000612	HELIO_07229, HELIO_04425	CAPO300901
OG0000613	HELIO_03222, HELIO_12531	CAPO306741, CAPO303985
OG0000614	HELIO_08984	CAPO308097
OG0000614	HELIO_11672	CAPO306138, CAPO304207
OG0000616	HELIO_12592	CAPO301011
OG0000617	HELIO_02152	CAPO305351, CAPO305350, CAPO301395, CAPO308110, CAPO305569, CAPO302463, CAPO301963, CAPO307719, CAPO308046, CAPO302479, CAPO302684, CAPO303925
OG0000619	HELIO_07452, HELIO_07453	CAPO303580
OG0000623	HELIO_01153	CAPO306891
OG0000623	HELIO_01575	CAPO306678
OG0000624	HELIO_12110, HELIO_04396, HELIO_02075	CAPO304034, CAPO304035
OG0000627	HELIO_01431	CAPO301912
OG0000628	HELIO_07284	CAPO306878
OG0000629	HELIO_03651, HELIO_10813, HELIO_09172	CAPO304632
OG0000634	HELIO_04856, HELIO_00330, HELIO_04828, HELIO_05700, HELIO_04832	CAPO305866
OG0000636	HELIO_06623, HELIO_05388	CAPO300927, CAPO308236
OG0000637	HELIO_11151	CAPO306492
OG0000639	HELIO_03049, HELIO_03048	CAPO300322
OG0000639	HELIO_09484	CAPO305269
OG0000642	HELIO_06112, HELIO_06155	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430
OG0000643	HELIO_10380	CAPO301316
OG0000645	HELIO_03716	CAPO306925
OG0000645	HELIO_08748	CAPO307784, CAPO304648
OG0000648	HELIO_05483	CAPO306715
OG0000648	HELIO_02387	CAPO307568
OG0000650	HELIO_09037, HELIO_09036	CAPO302429
OG0000651	HELIO_06636	CAPO301045
OG0000652	HELIO_05827	CAPO307163
OG0000657	HELIO_10387	CAPO304462
OG0000660	HELIO_01158	CAPO304213
OG0000662	HELIO_03239, HELIO_05920	CAPO308235
OG0000663	HELIO_00575, HELIO_09383, HELIO_07980	CAPO303713
OG0000664	HELIO_01686, HELIO_03266	CAPO305353
OG0000665	HELIO_07542	CAPO304505, CAPO304163
OG0000667	HELIO_04498, HELIO_09789, HELIO_07844, HELIO_00177	CAPO305865
OG0000672	HELIO_01185	CAPO301072
OG0000672	HELIO_02468	CAPO301848
OG0000674	HELIO_04125, HELIO_00323	CAPO303746
OG0000676	HELIO_11959	CAPO304343, CAPO305288
OG0000676	HELIO_04321	CAPO300920, CAPO304680
OG0000683	HELIO_12315	CAPO304912
OG0000683	HELIO_10017	CAPO305392, CAPO303509
OG0000684	HELIO_08779	CAPO306227
OG0000690	HELIO_00922	CAPO306653
OG0000690	HELIO_02624	CAPO306445
OG0000690	HELIO_05919	CAPO304114
OG0000691	HELIO_08803, HELIO_03421	CAPO301028
OG0000692	HELIO_12014	CAPO306980
OG0000693	HELIO_09915	CAPO300633
OG0000693	HELIO_07892	CAPO307538
OG0000694	HELIO_05625	CAPO302468
OG0000696	HELIO_04265	CAPO305456
OG0000696	HELIO_06426	CAPO305466
OG0000696	HELIO_08090	CAPO301422
OG0000701	HELIO_11804, HELIO_02160	CAPO306727
OG0000703	HELIO_02836	CAPO308078
OG0000706	HELIO_02299, HELIO_07131	CAPO301985
OG0000708	HELIO_04126	CAPO302130
OG0000708	HELIO_01919	CAPO300640
OG0000709	HELIO_07079	CAPO305451
OG0000711	HELIO_06385, HELIO_01631, HELIO_03110	CAPO304713
OG0000713	HELIO_07275, HELIO_11463, HELIO_06463, HELIO_00543, HELIO_02508	CAPO302804
OG0000715	HELIO_06043	CAPO305197
OG0000716	HELIO_06181, HELIO_07464	CAPO306457, CAPO306957
OG0000717	HELIO_06882	CAPO302989
OG0000718	HELIO_08422	CAPO301597, CAPO306021
OG0000721	HELIO_03399, HELIO_06261	CAPO305154, CAPO301906
OG0000724	HELIO_09105	CAPO300826
OG0000726	HELIO_04091	CAPO302910
OG0000731	HELIO_11029	CAPO304569
OG0000732	HELIO_08995	CAPO304867
OG0000732	HELIO_10738	CAPO302445
OG0000733	HELIO_03055, HELIO_00314	CAPO301695
OG0000735	HELIO_11007	CAPO302824
OG0000736	HELIO_10996, HELIO_10609	CAPO306770
OG0000737	HELIO_05852	CAPO304586
OG0000743	HELIO_11272, HELIO_06669	CAPO306268
OG0000747	HELIO_08407, HELIO_11171, HELIO_00507	CAPO303187
OG0000748	HELIO_03440	CAPO301276
OG0000751	HELIO_11590	CAPO302771
OG0000752	HELIO_05368	CAPO300507
OG0000752	HELIO_02501	CAPO305335
OG0000753	HELIO_08985, HELIO_08986	CAPO301378
OG0000755	HELIO_04915, HELIO_07851	CAPO300267
OG0000757	HELIO_03294	CAPO307096
OG0000758	HELIO_08482, HELIO_08479	CAPO305275
OG0000759	HELIO_08744	CAPO300473
OG0000761	HELIO_06744, HELIO_05323	CAPO305655
OG0000765	HELIO_01379	CAPO301853
OG0000766	HELIO_09234, HELIO_02323, HELIO_06179	CAPO300388
OG0000768	HELIO_00359	CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904
OG0000772	HELIO_08462	CAPO304708, CAPO302709
OG0000774	HELIO_08849, HELIO_04009, HELIO_08272	CAPO306995
OG0000775	HELIO_06059, HELIO_08032, HELIO_04698	CAPO306201
OG0000776	HELIO_04225, HELIO_09018	CAPO307356
OG0000777	HELIO_01199	CAPO301548
OG0000777	HELIO_04823	CAPO304271
OG0000779	HELIO_11967	CAPO305943
OG0000779	HELIO_02465	CAPO300301
OG0000788	HELIO_09954, HELIO_02295	CAPO304590
OG0000791	HELIO_07748	CAPO304699
OG0000792	HELIO_05838, HELIO_03909	CAPO305838
OG0000793	HELIO_04742	CAPO301604
OG0000794	HELIO_08580, HELIO_07646	CAPO304031
OG0000797	HELIO_10217	CAPO307534
OG0000803	HELIO_01765	CAPO301668
OG0000810	HELIO_02012, HELIO_12250	CAPO305098, CAPO306601
OG0000813	HELIO_06105, HELIO_05174	CAPO300040, CAPO308168
OG0000814	HELIO_12587, HELIO_12586, HELIO_06788, HELIO_00245, HELIO_05814	CAPO307227
OG0000815	HELIO_02679, HELIO_01991, HELIO_09051, HELIO_00716	CAPO300838
OG0000816	HELIO_09415, HELIO_05766	CAPO304990
OG0000817	HELIO_02523	CAPO308202
OG0000818	HELIO_09790	CAPO307656
OG0000820	HELIO_08795	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452
OG0000824	HELIO_00999	CAPO303788
OG0000825	HELIO_05366, HELIO_00080, HELIO_08583	CAPO305165, CAPO306157, CAPO306129
OG0000826	HELIO_04619	CAPO306060
OG0000827	HELIO_03128, HELIO_06494, HELIO_07218	CAPO304578
OG0000828	HELIO_02812	CAPO306023
OG0000828	HELIO_08756	CAPO307153
OG0000834	HELIO_05184, HELIO_06529	CAPO306233
OG0000836	HELIO_03410, HELIO_08284	CAPO306019, CAPO307821
OG0000837	HELIO_06103	CAPO308104, CAPO303511
OG0000838	HELIO_00849, HELIO_10009, HELIO_02719	CAPO303856
OG0000841	HELIO_01420	CAPO307470
OG0000844	HELIO_12719	CAPO306591, CAPO307267
OG0000845	HELIO_09887, HELIO_12283, HELIO_12001	CAPO303615
OG0000847	HELIO_07547	CAPO308298
OG0000849	HELIO_02567	CAPO304492
OG0000850	HELIO_09938	CAPO302141
OG0000850	HELIO_06017	CAPO306299
OG0000851	HELIO_11326	CAPO304092
OG0000852	HELIO_01058	CAPO307622
OG0000857	HELIO_09917	CAPO302559
OG0000858	HELIO_09884	CAPO302161
OG0000858	HELIO_10581	CAPO306693
OG0000860	HELIO_06728, HELIO_10827, HELIO_04489	CAPO306338
OG0000871	HELIO_09841	CAPO300407
OG0000872	HELIO_10138	CAPO308293
OG0000873	HELIO_12140	CAPO307878
OG0000875	HELIO_11887	CAPO303418, CAPO302903
OG0000876	HELIO_09814	CAPO302150
OG0000877	HELIO_03881	CAPO304981
OG0000879	HELIO_12212, HELIO_12213	CAPO301982
OG0000881	HELIO_08698	CAPO301333, CAPO300020
OG0000881	HELIO_01944	CAPO308042
OG0000888	HELIO_05889	CAPO300320
OG0000889	HELIO_04264, HELIO_00210	CAPO302257
OG0000891	HELIO_05993, HELIO_06566	CAPO307358
OG0000894	HELIO_06317	CAPO300968, CAPO300967
OG0000894	HELIO_06932	CAPO301227
OG0000896	HELIO_12759	CAPO301183
OG0000896	HELIO_06843	CAPO304049
OG0000897	HELIO_09055, HELIO_12050	CAPO306059
OG0000898	HELIO_04279	CAPO302619
OG0000899	HELIO_09464	CAPO300655
OG0000904	HELIO_11725, HELIO_04556	CAPO305539
