Orthogroup	HELIO_ok	ASTMX
OG0000011	HELIO_05340	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	HELIO_04969	ASTMX22970
OG0000011	HELIO_07608	ASTMX23073, ASTMX20022, ASTMX23051
OG0000012	HELIO_04072, HELIO_05750	ASTMX22063, ASTMX16492
OG0000012	HELIO_06831	ASTMX06265
OG0000014	HELIO_12068	ASTMX12908, ASTMX11632
OG0000014	HELIO_10724	ASTMX01423, ASTMX16397
OG0000015	HELIO_10798	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	HELIO_09736	ASTMX09206
OG0000016	HELIO_05456	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675
OG0000016	HELIO_09779	ASTMX00540
OG0000016	HELIO_04647	ASTMX02874
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000018	HELIO_06652	ASTMX23058
OG0000018	HELIO_05389	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	HELIO_11234	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	HELIO_01087	ASTMX12285
OG0000020	HELIO_03892	ASTMX15062
OG0000020	HELIO_08119	ASTMX14060
OG0000020	HELIO_10764	ASTMX00490, ASTMX12696
OG0000020	HELIO_10811	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689
OG0000020	HELIO_12285	ASTMX17320
OG0000020	HELIO_05828	ASTMX04750, ASTMX21042
OG0000020	HELIO_10575	ASTMX05243
OG0000020	HELIO_05888	ASTMX04710
OG0000020	HELIO_08365	ASTMX07754
OG0000020	HELIO_01918	ASTMX13875
OG0000021	HELIO_02163	ASTMX04046, ASTMX15305
OG0000021	HELIO_09128	ASTMX09645
OG0000021	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	ASTMX21461, ASTMX05545
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	ASTMX13864
OG0000023	HELIO_07781	ASTMX18896
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000023	HELIO_07600, HELIO_09870	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000024	HELIO_10426, HELIO_03946	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426
OG0000024	HELIO_07378, HELIO_06208, HELIO_06845	ASTMX21974
OG0000026	HELIO_04505	ASTMX06810
OG0000028	HELIO_10800	ASTMX18482, ASTMX18778
OG0000028	HELIO_06306	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	HELIO_10546, HELIO_00115	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000029	HELIO_11942	ASTMX19971, ASTMX06514, ASTMX07156
OG0000030	HELIO_04525, HELIO_09505	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	HELIO_06719	ASTMX02378, ASTMX18821
OG0000031	HELIO_00637	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	HELIO_00475	ASTMX08659, ASTMX04771
OG0000031	HELIO_11237	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	HELIO_10166	ASTMX12572
OG0000031	HELIO_00951	ASTMX06525
OG0000031	HELIO_11573	ASTMX09693, ASTMX17541
OG0000031	HELIO_00638	ASTMX03912, ASTMX00105
OG0000031	HELIO_00007	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	HELIO_08452	ASTMX00107, ASTMX04176
OG0000031	HELIO_02162	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	ASTMX06705
OG0000034	HELIO_03040	ASTMX03519
OG0000034	HELIO_11045	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	HELIO_10910	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	HELIO_05981	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	HELIO_12487	ASTMX12428, ASTMX02190
OG0000034	HELIO_11629	ASTMX01548
OG0000035	HELIO_04621	ASTMX17732
OG0000035	HELIO_12501	ASTMX22713, ASTMX21245
OG0000035	HELIO_03534	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	HELIO_07811, HELIO_06366	ASTMX07340, ASTMX07227, ASTMX07114
OG0000035	HELIO_00732, HELIO_11539	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545
OG0000035	HELIO_04984	ASTMX15321, ASTMX20966
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	HELIO_07711	ASTMX18312, ASTMX10284
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	ASTMX01338, ASTMX03570
OG0000037	HELIO_01421	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	HELIO_01377	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	HELIO_04770	ASTMX03275
OG0000039	HELIO_01180	ASTMX16971
OG0000039	HELIO_00133	ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000043	HELIO_03541	ASTMX09533
OG0000044	HELIO_05461	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	HELIO_08837	ASTMX06176
OG0000045	HELIO_01585	ASTMX16178
OG0000046	HELIO_08475	ASTMX22281
OG0000048	HELIO_10223	ASTMX04189
OG0000048	HELIO_03643	ASTMX13714
OG0000048	HELIO_05568	ASTMX03384
OG0000048	HELIO_11655	ASTMX15600
OG0000048	HELIO_08708	ASTMX04570
OG0000048	HELIO_05605	ASTMX00590
OG0000050	HELIO_04635, HELIO_04600, HELIO_04507, HELIO_05305, HELIO_03827, HELIO_11651, HELIO_10651, HELIO_07585, HELIO_00791, HELIO_04892, HELIO_11650	ASTMX16561
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	ASTMX02511
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	ASTMX04679
OG0000056	HELIO_02100	ASTMX17742
OG0000056	HELIO_05303	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000056	HELIO_03513	ASTMX18310
OG0000057	HELIO_05858	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000059	HELIO_08348	ASTMX20918
OG0000059	HELIO_07693, HELIO_05488	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	HELIO_02035	ASTMX04292, ASTMX07603
OG0000060	HELIO_12113	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	HELIO_11204	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	ASTMX18729, ASTMX15987
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	HELIO_06316	ASTMX01260
OG0000063	HELIO_10147	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	HELIO_12629	ASTMX11259, ASTMX01032
OG0000063	HELIO_04155	ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	HELIO_11387	ASTMX01776
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	HELIO_09524, HELIO_08964	ASTMX03045, ASTMX22587, ASTMX22308
OG0000070	HELIO_00590, HELIO_05047, HELIO_00591	ASTMX17316, ASTMX02948
OG0000072	HELIO_09782	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	HELIO_10131	ASTMX11250, ASTMX11618
OG0000072	HELIO_05118, HELIO_10379	ASTMX02462
OG0000073	HELIO_07437	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	HELIO_06403	ASTMX12476
OG0000074	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885	ASTMX07079, ASTMX08304
OG0000075	HELIO_02705	ASTMX13833, ASTMX15058
OG0000075	HELIO_12175	ASTMX17154
OG0000075	HELIO_01007	ASTMX04760
OG0000075	HELIO_07086	ASTMX10641, ASTMX00718
OG0000075	HELIO_01193	ASTMX16716, ASTMX04759
OG0000075	HELIO_09567	ASTMX12953, ASTMX02098
OG0000075	HELIO_05177	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000075	HELIO_00684	ASTMX07134
OG0000077	HELIO_05657	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	HELIO_00295	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000077	HELIO_12145	ASTMX16324, ASTMX07654, ASTMX03210
OG0000078	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	HELIO_01794, HELIO_05740	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	HELIO_00549	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	HELIO_01744, HELIO_07509	ASTMX02943
OG0000080	HELIO_10367, HELIO_08678, HELIO_04917	ASTMX22762
OG0000080	HELIO_06961	ASTMX21534
OG0000081	HELIO_00244	ASTMX02774
OG0000082	HELIO_12249	ASTMX06917
OG0000082	HELIO_08556	ASTMX17888
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	ASTMX17248
OG0000085	HELIO_02405	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	HELIO_05344	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	HELIO_11582	ASTMX08704, ASTMX02521
OG0000087	HELIO_02847, HELIO_02846	ASTMX06968
OG0000087	HELIO_10321	ASTMX08347
OG0000087	HELIO_06633	ASTMX06381
OG0000087	HELIO_01983	ASTMX19474
OG0000087	HELIO_06411, HELIO_07580	ASTMX17716
OG0000088	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	HELIO_06684, HELIO_10658	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992
OG0000090	HELIO_12415	ASTMX15822, ASTMX13800, ASTMX19765
OG0000090	HELIO_03859, HELIO_12616	ASTMX12258, ASTMX10648
OG0000091	HELIO_06609	ASTMX03395
OG0000093	HELIO_04928, HELIO_06889	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769
OG0000094	HELIO_07015	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	HELIO_03878	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671
OG0000096	HELIO_07466	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	HELIO_03681	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	HELIO_03321	ASTMX18278, ASTMX15892
OG0000096	HELIO_06897	ASTMX09859
OG0000096	HELIO_03947	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	HELIO_09595	ASTMX10423, ASTMX12959
OG0000098	HELIO_07543	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764
OG0000098	HELIO_00467, HELIO_11416	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	HELIO_00318, HELIO_06995	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000101	HELIO_03317	ASTMX00206, ASTMX00424
OG0000101	HELIO_11521	ASTMX08413
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	ASTMX14248, ASTMX12706, ASTMX02894
OG0000102	HELIO_08564	ASTMX10991, ASTMX16111
OG0000103	HELIO_03996	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	HELIO_12543	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	HELIO_04946	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	HELIO_03807	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	HELIO_05172	ASTMX03728, ASTMX07045
OG0000104	HELIO_02282	ASTMX00149
OG0000104	HELIO_00006	ASTMX00709, ASTMX16073
OG0000106	HELIO_02364	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	HELIO_07474	ASTMX03154
OG0000106	HELIO_05614, HELIO_10877	ASTMX10570, ASTMX00462
OG0000110	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191, HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452	ASTMX08508
OG0000113	HELIO_06754	ASTMX19383, ASTMX05472
OG0000113	HELIO_04446, HELIO_08405	ASTMX07205
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000115	HELIO_10283, HELIO_10284	ASTMX01700, ASTMX08993, ASTMX16595
OG0000116	HELIO_08217, HELIO_10553	ASTMX01410
OG0000117	HELIO_02024	ASTMX10401
OG0000117	HELIO_01494, HELIO_11112, HELIO_11113	ASTMX14023
OG0000118	HELIO_04682, HELIO_09644	ASTMX10091, ASTMX22719
OG0000119	HELIO_09291	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636
OG0000119	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905
OG0000119	HELIO_08423, HELIO_01329	ASTMX00656, ASTMX18233
OG0000121	HELIO_11384	ASTMX16272, ASTMX04663, ASTMX01517
OG0000122	HELIO_09221	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832
OG0000122	HELIO_00601, HELIO_11330	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000123	HELIO_08717	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078
OG0000123	HELIO_08884	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212
OG0000123	HELIO_09001	ASTMX14814, ASTMX00304
OG0000124	HELIO_02264	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	HELIO_07531	ASTMX16401, ASTMX07748
OG0000124	HELIO_08965	ASTMX10640, ASTMX14745, ASTMX06441
OG0000124	HELIO_01505	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824
OG0000125	HELIO_11225	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329
OG0000125	HELIO_03951	ASTMX19681, ASTMX13832
OG0000125	HELIO_08019	ASTMX00267
OG0000126	HELIO_05678	ASTMX08551, ASTMX08784, ASTMX11157
OG0000126	HELIO_07534	ASTMX09154
OG0000126	HELIO_02617	ASTMX06187, ASTMX17244
OG0000126	HELIO_12717	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000127	HELIO_00274	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500
OG0000127	HELIO_04203	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000127	HELIO_00760	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478
OG0000127	HELIO_10652	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260
OG0000127	HELIO_03723	ASTMX14863, ASTMX19609, ASTMX20319, ASTMX20860
OG0000128	HELIO_03924	ASTMX05854
OG0000128	HELIO_00789	ASTMX15563, ASTMX07961
OG0000129	HELIO_05477	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539
OG0000129	HELIO_12045	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614
OG0000130	HELIO_00229	ASTMX19336
OG0000131	HELIO_00530, HELIO_08397	ASTMX16327
OG0000132	HELIO_02084, HELIO_02083, HELIO_03711	ASTMX15628
OG0000132	HELIO_04353	ASTMX09702
OG0000137	HELIO_10563	ASTMX17487, ASTMX09719, ASTMX10412, ASTMX17486
OG0000137	HELIO_05850	ASTMX08942, ASTMX01570, ASTMX22671
OG0000137	HELIO_01589, HELIO_12262	ASTMX10792, ASTMX08181
OG0000142	HELIO_07399	ASTMX22061
OG0000147	HELIO_12780	ASTMX03135, ASTMX08761, ASTMX04795
OG0000147	HELIO_07856	ASTMX01265, ASTMX04843
OG0000147	HELIO_02877	ASTMX02385
OG0000147	HELIO_07688	ASTMX08515
OG0000148	HELIO_12241	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929
OG0000148	HELIO_01322	ASTMX22564, ASTMX19926, ASTMX19927, ASTMX14987, ASTMX17016, ASTMX10783, ASTMX14989, ASTMX17279, ASTMX19925, ASTMX14926, ASTMX13485, ASTMX03088, ASTMX00634
OG0000149	HELIO_11224	ASTMX05992, ASTMX18326, ASTMX03365, ASTMX03364
OG0000149	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915
OG0000149	HELIO_08561	ASTMX19335
OG0000151	HELIO_02909	ASTMX22990, ASTMX18031, ASTMX21814, ASTMX15314, ASTMX19154, ASTMX20904, ASTMX08723, ASTMX20739, ASTMX18063
OG0000151	HELIO_01067	ASTMX22005, ASTMX16447, ASTMX16036, ASTMX08859, ASTMX05398, ASTMX21907
OG0000151	HELIO_11427	ASTMX21939, ASTMX10392, ASTMX08593, ASTMX17567
OG0000152	HELIO_05135	ASTMX11374, ASTMX21931
OG0000153	HELIO_06137, HELIO_03409, HELIO_08759	ASTMX11539, ASTMX11537
OG0000154	HELIO_11108	ASTMX17110, ASTMX11785
OG0000154	HELIO_00470	ASTMX08823
OG0000155	HELIO_02785	ASTMX08087, ASTMX14831, ASTMX13520
OG0000155	HELIO_06336	ASTMX13583, ASTMX11431, ASTMX04196, ASTMX13582
OG0000155	HELIO_10305	ASTMX12246, ASTMX04195
OG0000157	HELIO_02764	ASTMX15736, ASTMX02435, ASTMX11937
OG0000157	HELIO_10997	ASTMX10540
OG0000157	HELIO_02898	ASTMX10886
OG0000158	HELIO_05890	ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735
OG0000159	HELIO_11077	ASTMX12753
OG0000159	HELIO_07755	ASTMX03645, ASTMX21390
OG0000159	HELIO_07071, HELIO_00285, HELIO_10509	ASTMX16138, ASTMX16710
OG0000160	HELIO_06133	ASTMX12091
OG0000160	HELIO_11870	ASTMX15798
OG0000160	HELIO_09094	ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060
OG0000163	HELIO_05553	ASTMX22159
OG0000163	HELIO_02290	ASTMX20447, ASTMX17430, ASTMX19882, ASTMX01414
OG0000163	HELIO_07317	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308
OG0000164	HELIO_04867	ASTMX09012, ASTMX09848, ASTMX19193, ASTMX08617, ASTMX21675, ASTMX02898
OG0000165	HELIO_01649	ASTMX11488, ASTMX04091, ASTMX11803, ASTMX15906, ASTMX01165, ASTMX10291, ASTMX01103, ASTMX16431, ASTMX06958, ASTMX01736, ASTMX21744, ASTMX19262, ASTMX02865, ASTMX12138, ASTMX08781, ASTMX06983, ASTMX14824, ASTMX21351, ASTMX04334, ASTMX09529
OG0000166	HELIO_11547	ASTMX17222, ASTMX15335, ASTMX15334, ASTMX17064, ASTMX12331
OG0000167	HELIO_07346	ASTMX06698, ASTMX15256, ASTMX16065, ASTMX10803, ASTMX11328, ASTMX15230, ASTMX12913, ASTMX04282, ASTMX11778, ASTMX05313, ASTMX17463, ASTMX14044
OG0000168	HELIO_11699	ASTMX22875, ASTMX19741, ASTMX00397
OG0000168	HELIO_07708	ASTMX02932, ASTMX22163, ASTMX22493, ASTMX15962, ASTMX06474, ASTMX02912, ASTMX16677, ASTMX20444
OG0000169	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257	ASTMX02738, ASTMX09343, ASTMX15414, ASTMX15415, ASTMX22916, ASTMX23075, ASTMX05645
OG0000171	HELIO_09820	ASTMX13035, ASTMX04406
OG0000171	HELIO_01149	ASTMX01513, ASTMX18079, ASTMX09651
OG0000172	HELIO_09881	ASTMX05345, ASTMX05453, ASTMX00174, ASTMX12723, ASTMX12721, ASTMX12722, ASTMX05451
OG0000173	HELIO_09570, HELIO_09571	ASTMX06798, ASTMX16925, ASTMX20806, ASTMX11171, ASTMX06509, ASTMX18128, ASTMX05261, ASTMX05260, ASTMX18597, ASTMX12773, ASTMX03201, ASTMX16788, ASTMX16293, ASTMX09049, ASTMX07537, ASTMX04181, ASTMX05259, ASTMX00713, ASTMX01037, ASTMX05223, ASTMX10462, ASTMX03643, ASTMX09920
OG0000174	HELIO_09480, HELIO_04614, HELIO_10809	ASTMX14035
OG0000174	HELIO_01069	ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671
OG0000175	HELIO_11471	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252
OG0000179	HELIO_05015	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451
OG0000179	HELIO_04929	ASTMX13630, ASTMX02170
OG0000179	HELIO_08122	ASTMX14866
OG0000180	HELIO_10517	ASTMX03181, ASTMX16660
OG0000180	HELIO_01389	ASTMX11798, ASTMX10163, ASTMX17205, ASTMX08229, ASTMX02239, ASTMX17206, ASTMX11819, ASTMX09327
OG0000181	HELIO_03744	ASTMX02628, ASTMX03065
OG0000181	HELIO_10771	ASTMX09488
OG0000181	HELIO_03461, HELIO_03460	ASTMX00770
OG0000183	HELIO_03106, HELIO_07785	ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109
OG0000183	HELIO_12279	ASTMX12358, ASTMX03484
OG0000183	HELIO_02987	ASTMX16504, ASTMX16505
