Orthogroup	HELIO_ok	BRAFL
OG0000007	HELIO_04275	bflo_24497
OG0000007	HELIO_11721	bflo_11392
OG0000008	HELIO_10953, HELIO_01917	bflo_09106, bflo_19282
OG0000008	HELIO_05140	bflo_01785
OG0000008	HELIO_07090	bflo_17089
OG0000009	HELIO_03078	bflo_13658
OG0000009	HELIO_11928	bflo_22837, bflo_19871, bflo_04807, bflo_11131, bflo_22838, bflo_04755
OG0000009	HELIO_10113, HELIO_06297, HELIO_04676	bflo_25982
OG0000010	HELIO_11860	bflo_05472
OG0000010	HELIO_07073	bflo_25814, bflo_01084
OG0000011	HELIO_01241, HELIO_00959	bflo_20761, bflo_05867
OG0000011	HELIO_09607	bflo_27088, bflo_03175
OG0000011	HELIO_07282	bflo_15139
OG0000012	HELIO_04072, HELIO_05750	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	HELIO_06831	bflo_14731, bflo_13607, bflo_24594
OG0000014	HELIO_12068	bflo_04326, bflo_04339, bflo_04331
OG0000014	HELIO_10724	bflo_06816
OG0000015	HELIO_10798	bflo_24142, bflo_23928
OG0000016	HELIO_08070	bflo_00670, bflo_00496, bflo_00501, bflo_21280, bflo_05402, bflo_07241
OG0000016	HELIO_05456	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	HELIO_03738	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276
OG0000016	HELIO_04647	bflo_12769
OG0000016	HELIO_07791	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656
OG0000016	HELIO_11041	bflo_01790
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	bflo_20387
OG0000017	HELIO_10213, HELIO_05211, HELIO_06568	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215
OG0000018	HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946	bflo_08031
OG0000019	HELIO_07628, HELIO_05932, HELIO_06034, HELIO_06893	bflo_10160, bflo_26497, bflo_00628
OG0000019	HELIO_11234	bflo_26518, bflo_26519, bflo_04870
OG0000020	HELIO_01087	bflo_17473, bflo_27211
OG0000020	HELIO_03892	bflo_24908
OG0000020	HELIO_08119	bflo_12267
OG0000020	HELIO_10811	bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	HELIO_12285	bflo_16368
OG0000020	HELIO_05828	bflo_14118
OG0000020	HELIO_05888	bflo_07448
OG0000020	HELIO_07729	bflo_18684
OG0000020	HELIO_08365	bflo_14450
OG0000020	HELIO_01918	bflo_00687
OG0000020	HELIO_11794	bflo_14415
OG0000021	HELIO_05564	bflo_07173
OG0000021	HELIO_09128	bflo_20505, bflo_09681
OG0000021	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	bflo_14957, bflo_14617, bflo_14568
OG0000022	HELIO_07323	bflo_03149
OG0000023	HELIO_07781	bflo_10816, bflo_10061
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456
OG0000023	HELIO_07887, HELIO_10788, HELIO_06647	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042
OG0000026	HELIO_09541	bflo_06473
OG0000027	HELIO_06026, HELIO_07228, HELIO_05233, HELIO_07068, HELIO_05709	bflo_13627, bflo_13309, bflo_13311, bflo_13310
OG0000028	HELIO_10800	bflo_14636, bflo_15358
OG0000028	HELIO_06306	bflo_06341
OG0000028	HELIO_06269	bflo_01235, bflo_02042
OG0000028	HELIO_12146	bflo_24390, bflo_24387, bflo_05196
OG0000029	HELIO_05447	bflo_25831
OG0000029	HELIO_05915, HELIO_11308	bflo_00316, bflo_26576
OG0000029	HELIO_11942	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	HELIO_06719	bflo_25955
OG0000030	HELIO_06628	bflo_09719
OG0000031	HELIO_00637	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662
OG0000031	HELIO_00475	bflo_02624
OG0000031	HELIO_11237	bflo_02501
OG0000031	HELIO_10166	bflo_02849
OG0000031	HELIO_00951	bflo_06021
OG0000031	HELIO_11573	bflo_06369
OG0000031	HELIO_00638	bflo_15458
OG0000031	HELIO_08452	bflo_15459
OG0000031	HELIO_02162	bflo_02405
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	bflo_23561, bflo_23038, bflo_01635
OG0000032	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	bflo_01430
OG0000033	HELIO_05274	bflo_22799
OG0000033	HELIO_05169, HELIO_06635, HELIO_07393	bflo_07886, bflo_24852, bflo_17791
OG0000033	HELIO_06447	bflo_11964, bflo_24309, bflo_19014, bflo_11315
OG0000034	HELIO_11044	bflo_20016
OG0000034	HELIO_03041, HELIO_03040	bflo_20326
OG0000034	HELIO_10910	bflo_03308, bflo_13145
OG0000034	HELIO_05981	bflo_05871
OG0000034	HELIO_12487	bflo_03310
OG0000034	HELIO_11629	bflo_08443
OG0000035	HELIO_04621	bflo_02157
OG0000035	HELIO_03945, HELIO_04376	bflo_10387, bflo_26954
OG0000035	HELIO_03534	bflo_10385
OG0000035	HELIO_07811, HELIO_06366	bflo_09462
OG0000035	HELIO_00732, HELIO_11539	bflo_09767, bflo_09277
OG0000035	HELIO_04984	bflo_10386
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000036	HELIO_07711	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	bflo_12806, bflo_12805
OG0000037	HELIO_01421	bflo_10999
OG0000037	HELIO_01377	bflo_01342
OG0000037	HELIO_04770	bflo_10180
OG0000038	HELIO_07209	bflo_05210
OG0000039	HELIO_01180	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	HELIO_07214	bflo_06186
OG0000039	HELIO_00133	bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000042	HELIO_05918, HELIO_12031	bflo_18865
OG0000043	HELIO_00563	bflo_23211, bflo_07587
OG0000043	HELIO_03541	bflo_19214
OG0000044	HELIO_05461	bflo_09762
OG0000044	HELIO_02529	bflo_14922
OG0000044	HELIO_01656	bflo_00108, bflo_00107, bflo_01958, bflo_01243, bflo_26025, bflo_26127, bflo_26635
OG0000045	HELIO_07351, HELIO_00342	bflo_00610
OG0000045	HELIO_00381, HELIO_10516, HELIO_06348, HELIO_06793	bflo_01071
OG0000045	HELIO_03034	bflo_05500, bflo_05502
OG0000046	HELIO_08475	bflo_09128, bflo_05621
OG0000047	HELIO_06213, HELIO_05123, HELIO_00552, HELIO_05869	bflo_15647
OG0000048	HELIO_10223	bflo_15152
OG0000048	HELIO_05568	bflo_07462
OG0000048	HELIO_11655	bflo_17669
OG0000048	HELIO_08708	bflo_20353
OG0000048	HELIO_04435, HELIO_12559	bflo_20337
OG0000048	HELIO_05605	bflo_12849
OG0000049	HELIO_12356	bflo_20712
OG0000050	HELIO_04635	bflo_08634, bflo_13204
OG0000050	HELIO_04507, HELIO_05305	bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844	bflo_08711
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	bflo_18195, bflo_17371
OG0000052	HELIO_05693	bflo_05328, bflo_02741
OG0000052	HELIO_04521	bflo_00114, bflo_05170
OG0000054	HELIO_03625, HELIO_05561	bflo_16354, bflo_16689
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	bflo_04388
OG0000055	HELIO_03751	bflo_23317
OG0000056	HELIO_02100	bflo_12398
OG0000056	HELIO_05303	bflo_25516
OG0000056	HELIO_03513	bflo_15952
OG0000056	HELIO_07637	bflo_22428
OG0000057	HELIO_05858	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000057	HELIO_07020	bflo_09753, bflo_09754, bflo_09752, bflo_09751, bflo_09750, bflo_09743, bflo_09742, bflo_09744, bflo_09121, bflo_09741, bflo_09120, bflo_09740, bflo_09749, bflo_21348, bflo_20324, bflo_23697, bflo_24939, bflo_19525, bflo_00567, bflo_15438
OG0000058	HELIO_04764	bflo_00086
OG0000058	HELIO_06019	bflo_23948
OG0000058	HELIO_12406	bflo_25011
OG0000059	HELIO_08348	bflo_21855
OG0000059	HELIO_09805	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815
OG0000059	HELIO_00630, HELIO_02571, HELIO_00753, HELIO_11973	bflo_11837, bflo_12278, bflo_12493, bflo_10907, bflo_06880, bflo_08754, bflo_11971, bflo_20092, bflo_20089
OG0000059	HELIO_07693, HELIO_05488	bflo_13996, bflo_14747
OG0000060	HELIO_02035	bflo_01659, bflo_06661
OG0000060	HELIO_11213	bflo_25984, bflo_26009
OG0000060	HELIO_12113	bflo_01384
OG0000061	HELIO_11204	bflo_18545
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000061	HELIO_00140, HELIO_07930	bflo_18543, bflo_02187, bflo_02797, bflo_02329, bflo_02369
OG0000062	HELIO_06316	bflo_13529
OG0000062	HELIO_08446, HELIO_09104	bflo_00246
OG0000063	HELIO_12062	bflo_26060
OG0000063	HELIO_04155	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	HELIO_08302	bflo_00475, bflo_00473, bflo_00474
OG0000066	HELIO_11387	bflo_04761, bflo_11842
OG0000066	HELIO_05268	bflo_26636, bflo_22827
OG0000067	HELIO_11753, HELIO_06955	bflo_08170
OG0000069	HELIO_11698	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000070	HELIO_05047, HELIO_00591	bflo_15003, bflo_25235
OG0000071	HELIO_11788	bflo_17295
OG0000071	HELIO_04987, HELIO_11295	bflo_03355
OG0000072	HELIO_10317	bflo_14353
OG0000072	HELIO_09782	bflo_14484
OG0000072	HELIO_10131	bflo_14474
OG0000072	HELIO_05118, HELIO_10379	bflo_07890
OG0000072	HELIO_04791	bflo_07359
OG0000073	HELIO_07437	bflo_15886, bflo_10835, bflo_16255, bflo_09590, bflo_09438, bflo_09527
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	bflo_10921
OG0000074	HELIO_06403	bflo_14737
OG0000075	HELIO_02705	bflo_02192
OG0000075	HELIO_12175	bflo_02500
OG0000075	HELIO_01007	bflo_02607
OG0000075	HELIO_07086	bflo_24625
OG0000075	HELIO_01193	bflo_02487
OG0000075	HELIO_09567	bflo_11040
OG0000075	HELIO_05177	bflo_12166
OG0000075	HELIO_00684	bflo_11652
OG0000077	HELIO_05657	bflo_09725
OG0000077	HELIO_00295	bflo_18777, bflo_23174
OG0000077	HELIO_11466	bflo_09163
OG0000078	HELIO_06313	bflo_23379, bflo_23493
OG0000079	HELIO_01794, HELIO_05740	bflo_00523
OG0000079	HELIO_00549	bflo_20026
OG0000079	HELIO_01744, HELIO_07509	bflo_01658, bflo_04787, bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968
OG0000081	HELIO_00244	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241
OG0000082	HELIO_12249	bflo_15900
OG0000082	HELIO_08556	bflo_04889
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	bflo_00187
OG0000083	HELIO_10428	bflo_07981
OG0000083	HELIO_00249, HELIO_04318, HELIO_07120, HELIO_08700, HELIO_11391, HELIO_00176, HELIO_06864, HELIO_06088, HELIO_07519, HELIO_05673	bflo_10398
OG0000084	HELIO_06950	bflo_07872, bflo_07661, bflo_07747
OG0000085	HELIO_02405	bflo_00992
OG0000085	HELIO_08642	bflo_20825
OG0000085	HELIO_11582	bflo_18272, bflo_18210
OG0000086	HELIO_04467	bflo_03575
OG0000087	HELIO_02847, HELIO_02846	bflo_21260
OG0000087	HELIO_09425	bflo_15461
OG0000087	HELIO_00773	bflo_02993
OG0000087	HELIO_06633	bflo_11911
OG0000087	HELIO_01983	bflo_22659
OG0000087	HELIO_06411, HELIO_07580	bflo_03240
OG0000088	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738
OG0000088	HELIO_08028	bflo_20465
OG0000089	HELIO_06389, HELIO_03526, HELIO_07518, HELIO_10304	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487
OG0000089	HELIO_06684	bflo_17962
OG0000089	HELIO_10658	bflo_17832, bflo_01283
OG0000090	HELIO_12415	bflo_16621
OG0000090	HELIO_09255	bflo_01805
OG0000090	HELIO_03859, HELIO_12616	bflo_02393
OG0000091	HELIO_06609	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396
OG0000093	HELIO_00044	bflo_21514, bflo_02944, bflo_02133, bflo_05347, bflo_02787, bflo_02137
OG0000093	HELIO_04928, HELIO_06889	bflo_15515, bflo_15405, bflo_15517, bflo_27119, bflo_14174, bflo_15413, bflo_15404, bflo_19904, bflo_08402, bflo_20451, bflo_26066, bflo_22106, bflo_08411, bflo_26076, bflo_15244, bflo_15246, bflo_15144, bflo_15245, bflo_12946, bflo_10451, bflo_08956, bflo_13239, bflo_15466, bflo_15075, bflo_11196, bflo_15194, bflo_02688, bflo_10905, bflo_07386
OG0000094	HELIO_03878	bflo_11484
OG0000095	HELIO_01565, HELIO_06183, HELIO_04673, HELIO_07611, HELIO_04751, HELIO_04874	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512
OG0000096	HELIO_07466	bflo_21246, bflo_21213
OG0000096	HELIO_03681	bflo_11038
OG0000096	HELIO_03321	bflo_17838
OG0000096	HELIO_03947	bflo_24085, bflo_09131
OG0000096	HELIO_09595	bflo_18893
OG0000097	HELIO_05308	bflo_24938, bflo_05080, bflo_21325, bflo_05085, bflo_21849, bflo_03707, bflo_05045, bflo_21324, bflo_22420
OG0000097	HELIO_04942	bflo_11333
OG0000098	HELIO_07543	bflo_24865
OG0000098	HELIO_11416	bflo_05564
OG0000099	HELIO_00318, HELIO_06995	bflo_17705, bflo_18245
OG0000100	HELIO_04500	bflo_09614, bflo_02134, bflo_13672, bflo_02488
OG0000100	HELIO_06465	bflo_04767
OG0000101	HELIO_03317	bflo_10195
OG0000101	HELIO_11521	bflo_18450
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188
OG0000102	HELIO_08564	bflo_26889, bflo_08442, bflo_08423, bflo_08476
OG0000103	HELIO_03996	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149
OG0000103	HELIO_12543	bflo_23791
OG0000104	HELIO_04946	bflo_11828, bflo_20119
OG0000104	HELIO_03807	bflo_00906
OG0000104	HELIO_05172	bflo_09275
OG0000104	HELIO_02282	bflo_06949
OG0000104	HELIO_00006	bflo_11475
OG0000105	HELIO_01100, HELIO_00114, HELIO_07550, HELIO_11647, HELIO_00723, HELIO_10734, HELIO_00015, HELIO_04422, HELIO_00218, HELIO_01340, HELIO_05453, HELIO_04143, HELIO_02007, HELIO_06456, HELIO_11991, HELIO_08647, HELIO_10468	bflo_24736, bflo_05136, bflo_24174, bflo_05138
OG0000106	HELIO_02364	bflo_13906, bflo_13902, bflo_13905
OG0000106	HELIO_07474	bflo_13959
OG0000106	HELIO_05614	bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023
OG0000108	HELIO_02724	bflo_18071
OG0000108	HELIO_11770	bflo_21974, bflo_21579, bflo_21847
OG0000109	HELIO_03843, HELIO_03964, HELIO_08891	bflo_25289
OG0000109	HELIO_04429, HELIO_05774, HELIO_07157, HELIO_04749	bflo_01799, bflo_24813, bflo_02481, bflo_01802, bflo_24178, bflo_01610, bflo_01320, bflo_24814
OG0000110	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191	bflo_24970, bflo_24083, bflo_09015, bflo_26087
OG0000110	HELIO_04706	bflo_23445, bflo_05644
OG0000110	HELIO_12166, HELIO_08016, HELIO_01452	bflo_25083, bflo_24963
OG0000113	HELIO_06754	bflo_25033, bflo_24791
OG0000113	HELIO_04446, HELIO_08405	bflo_13900, bflo_13882, bflo_00036
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	bflo_16447, bflo_20688, bflo_23618, bflo_04836, bflo_00471, bflo_24385, bflo_07559
OG0000115	HELIO_10283, HELIO_10284	bflo_26620, bflo_19594, bflo_19521, bflo_11918, bflo_01309, bflo_01917, bflo_01308, bflo_09598, bflo_13580, bflo_19581, bflo_09597, bflo_21813, bflo_25470
OG0000116	HELIO_08217, HELIO_10553	bflo_05410, bflo_25141
OG0000117	HELIO_12672	bflo_27532
OG0000117	HELIO_01494	bflo_22010
OG0000119	HELIO_09291	bflo_07858, bflo_19358, bflo_19300
OG0000119	HELIO_08423, HELIO_01329	bflo_18609
OG0000121	HELIO_11384	bflo_07529, bflo_11325, bflo_07518
OG0000121	HELIO_00672	bflo_13413
OG0000121	HELIO_05376	bflo_24496, bflo_24584
OG0000122	HELIO_09221	bflo_02060, bflo_02098, bflo_02745
OG0000122	HELIO_07753	bflo_02079
OG0000123	HELIO_00165	bflo_10734
OG0000123	HELIO_08717	bflo_10706
OG0000123	HELIO_08884	bflo_09726
OG0000124	HELIO_07531	bflo_12150, bflo_12152, bflo_22917
OG0000124	HELIO_01505	bflo_10478
OG0000125	HELIO_11225	bflo_02146
OG0000125	HELIO_03951	bflo_02145
OG0000125	HELIO_08019	bflo_04110
OG0000126	HELIO_05678	bflo_21252
OG0000126	HELIO_02617	bflo_14089
OG0000126	HELIO_12717	bflo_04718
OG0000127	HELIO_00274	bflo_21614
OG0000127	HELIO_04203	bflo_21827
OG0000127	HELIO_00760	bflo_05798
OG0000127	HELIO_10652	bflo_06367
OG0000127	HELIO_03723	bflo_23284
OG0000128	HELIO_05183	bflo_05801, bflo_04928, bflo_06174, bflo_04919, bflo_08083
OG0000128	HELIO_07945, HELIO_04974	bflo_10688
OG0000129	HELIO_08318	bflo_20410
OG0000129	HELIO_05477	bflo_24123
OG0000129	HELIO_12045	bflo_21811
OG0000130	HELIO_00229	bflo_04953
OG0000131	HELIO_00530, HELIO_08397	bflo_09427
OG0000131	HELIO_03420	bflo_01904, bflo_00538, bflo_16856
OG0000132	HELIO_02084, HELIO_02083, HELIO_03711	bflo_17456, bflo_25589, bflo_26376, bflo_25953, bflo_25590, bflo_25949, bflo_26371, bflo_26369, bflo_26372, bflo_00097, bflo_26373, bflo_26370, bflo_01753, bflo_26374, bflo_03326, bflo_03327, bflo_20394, bflo_21602, bflo_21603, bflo_03325, bflo_23200, bflo_23203, bflo_23205, bflo_23199, bflo_23202
OG0000132	HELIO_04353	bflo_23438
OG0000134	HELIO_06674	bflo_03139
OG0000136	HELIO_05622, HELIO_10618	bflo_12160, bflo_26069, bflo_25826, bflo_18249, bflo_18250, bflo_11254, bflo_11724, bflo_18260, bflo_18171, bflo_18251, bflo_17636, bflo_03189, bflo_18252
OG0000137	HELIO_10563	bflo_09259, bflo_06365
OG0000137	HELIO_05850	bflo_15519, bflo_14495, bflo_03009, bflo_18504, bflo_17184, bflo_22195
OG0000137	HELIO_01589, HELIO_12262	bflo_17627, bflo_17554, bflo_17629, bflo_17769
OG0000138	HELIO_05281	bflo_18441, bflo_26543, bflo_03057, bflo_10895, bflo_15130, bflo_17867
OG0000138	HELIO_06895	bflo_08630, bflo_06142, bflo_00254, bflo_01193, bflo_23725, bflo_19047, bflo_07752
OG0000140	HELIO_00031	bflo_05861, bflo_27273, bflo_18707
OG0000141	HELIO_04904, HELIO_05663, HELIO_11061, HELIO_04373	bflo_05698, bflo_23741
OG0000141	HELIO_03491, HELIO_06248, HELIO_06291, HELIO_06766, HELIO_00102, HELIO_10597	bflo_12983
OG0000142	HELIO_07594	bflo_25749, bflo_08776
OG0000144	HELIO_10855	bflo_24763
OG0000147	HELIO_07856	bflo_01706
OG0000147	HELIO_02877	bflo_26820, bflo_06307
OG0000148	HELIO_12241	bflo_10991
OG0000148	HELIO_01322	bflo_17467, bflo_17466
OG0000149	HELIO_11224	bflo_07000
OG0000149	HELIO_09667, HELIO_05786	bflo_07018
OG0000149	HELIO_08463, HELIO_10026	bflo_07764, bflo_07398, bflo_13976, bflo_13431, bflo_02277
OG0000149	HELIO_08561	bflo_07834
OG0000151	HELIO_02909	bflo_05140, bflo_15697
OG0000151	HELIO_01067	bflo_26440
OG0000151	HELIO_11427	bflo_16242
OG0000154	HELIO_00470	bflo_17422
OG0000157	HELIO_10997	bflo_23373
OG0000157	HELIO_02973	bflo_10928, bflo_12452
OG0000157	HELIO_02898	bflo_13284
OG0000158	HELIO_05890	bflo_05936
OG0000159	HELIO_11077	bflo_01737
OG0000159	HELIO_07755	bflo_18341
OG0000159	HELIO_07071, HELIO_00285, HELIO_10509	bflo_10462, bflo_08858
OG0000160	HELIO_11870	bflo_01705
OG0000160	HELIO_09094	bflo_19837, bflo_19835, bflo_19840, bflo_22050, bflo_20492, bflo_19926, bflo_19836, bflo_19925, bflo_01559
OG0000162	HELIO_02633	bflo_04273
OG0000163	HELIO_10005	bflo_14028
OG0000163	HELIO_07317	bflo_00524
OG0000164	HELIO_09272, HELIO_04214	bflo_01014, bflo_21116, bflo_05174, bflo_00764, bflo_00763, bflo_00454, bflo_00455, bflo_00765, bflo_20441, bflo_18014, bflo_23036
OG0000164	HELIO_04867	bflo_25625
OG0000165	HELIO_01649	bflo_14382, bflo_10979, bflo_10842, bflo_10750, bflo_15057, bflo_10390, bflo_06077
OG0000166	HELIO_10168, HELIO_00947	bflo_20238
OG0000166	HELIO_03060, HELIO_06619	bflo_02524
OG0000167	HELIO_01889	bflo_06634
