Orthogroup	HELIO_ok	DANRE
OG0000022	HELIO_07323	DANRE31743, DANRE31997, DANRE32917, DANRE32003, DANRE31707, DANRE32499, DANRE32498, DANRE32011, DANRE31846, DANRE42969, DANRE32115, DANRE32114, DANRE32802, DANRE32801, DANRE32792, DANRE31979, DANRE32305, DANRE42967, DANRE32310, DANRE31747, DANRE31746, DANRE31700, DANRE31699, DANRE31670, DANRE31667, DANRE43199, DANRE42955, DANRE31794, DANRE32729, DANRE32147, DANRE32055, DANRE31673, DANRE32146, DANRE32195, DANRE32231, DANRE32551, DANRE42986, DANRE32798, DANRE32645, DANRE32644, DANRE32799, DANRE32078, DANRE32322, DANRE43208, DANRE32308, DANRE32796, DANRE32125, DANRE43118, DANRE32528, DANRE42988, DANRE31934, DANRE32536, DANRE31781, DANRE31780, DANRE32789, DANRE32278, DANRE31944, DANRE32705, DANRE32704, DANRE32419, DANRE32202, DANRE32333, DANRE32393, DANRE32670, DANRE32671, DANRE32392, DANRE31864, DANRE32174, DANRE31672, DANRE32716, DANRE32054, DANRE32824, DANRE32481, DANRE31879, DANRE31862, DANRE32664, DANRE32663, DANRE31661, DANRE31668, DANRE31963, DANRE32004, DANRE32353, DANRE31757, DANRE32508, DANRE32507, DANRE32506, DANRE32221, DANRE32509, DANRE32731, DANRE32808, DANRE32806, DANRE32823, DANRE31914, DANRE32642, DANRE31655, DANRE32005, DANRE32006, DANRE31958, DANRE31964, DANRE31861, DANRE32655, DANRE32656, DANRE42975, DANRE31722, DANRE31723, DANRE32148, DANRE32284, DANRE32304, DANRE31721, DANRE32720, DANRE31851, DANRE31810, DANRE43389, DANRE32542, DANRE32906, DANRE42972, DANRE32749, DANRE32689, DANRE32907, DANRE32908, DANRE32618, DANRE42995, DANRE31643, DANRE43211, DANRE43337, DANRE31687, DANRE07464, DANRE32158, DANRE32791, DANRE32026, DANRE31702, DANRE32562, DANRE32515, DANRE32024, DANRE32408, DANRE32244, DANRE32002, DANRE32230, DANRE31807, DANRE31710, DANRE32047, DANRE31716, DANRE31695, DANRE31649, DANRE31662, DANRE32235, DANRE32706, DANRE32711, DANRE31918, DANRE32492, DANRE31717, DANRE32091, DANRE32145, DANRE32144, DANRE32719, DANRE31718, DANRE32541, DANRE32956, DANRE31847, DANRE32674, DANRE32287, DANRE32129, DANRE32087, DANRE32647, DANRE31966, DANRE31806, DANRE32073, DANRE32156, DANRE32154, DANRE32155, DANRE32074, DANRE32224, DANRE32225, DANRE31779, DANRE32358, DANRE32194, DANRE31878, DANRE32028, DANRE32433, DANRE32745, DANRE32695, DANRE32480, DANRE32062, DANRE31682, DANRE32566, DANRE32565, DANRE32783, DANRE31708, DANRE31901, DANRE32918, DANRE32272, DANRE32273, DANRE32274, DANRE31902, DANRE31957, DANRE31765, DANRE32116, DANRE31709, DANRE31730, DANRE32788, DANRE31976, DANRE42994, DANRE31680, DANRE32714, DANRE32567, DANRE32568, DANRE32569, DANRE32738, DANRE31701, DANRE32297, DANRE32759, DANRE32296, DANRE32298, DANRE31989, DANRE32561, DANRE32750, DANRE32475, DANRE31744, DANRE32635, DANRE32068, DANRE32067, DANRE32191, DANRE31714, DANRE31713, DANRE32678, DANRE32151, DANRE32150, DANRE43240, DANRE32240, DANRE31895, DANRE31896, DANRE32811, DANRE32810, DANRE31937, DANRE31936, DANRE31729, DANRE32363, DANRE32751, DANRE32487, DANRE31770, DANRE32825, DANRE31998, DANRE32916, DANRE31640, DANRE31639, DANRE32020, DANRE31908, DANRE31907, DANRE31909, DANRE32309, DANRE31706, DANRE32501, DANRE31790, DANRE31789, DANRE32009, DANRE31782, DANRE32660, DANRE32813, DANRE31677, DANRE32715, DANRE32812, DANRE32516, DANRE31739, DANRE32423, DANRE32540, DANRE31669, DANRE32424, DANRE32617, DANRE31923, DANRE31841, DANRE31884
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	HELIO_07600, HELIO_09870	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000025	HELIO_06817	DANRE19901, DANRE03302, DANRE09085, DANRE21568
OG0000026	HELIO_04505	DANRE09875
OG0000028	HELIO_10800	DANRE07178
OG0000028	HELIO_06306	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	HELIO_10546, HELIO_00115	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000029	HELIO_11942	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000030	HELIO_04525, HELIO_09505	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000031	HELIO_00637	DANRE20694
OG0000031	HELIO_00475	DANRE41496, DANRE35535, DANRE23155
OG0000031	HELIO_11237	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	HELIO_10166	DANRE13622, DANRE13623
OG0000031	HELIO_00951	DANRE26516
OG0000031	HELIO_11573	DANRE11621
OG0000031	HELIO_00638	DANRE20276, DANRE16190, DANRE42316
OG0000031	HELIO_00007	DANRE27399, DANRE21472, DANRE14252
OG0000031	HELIO_08452	DANRE16189, DANRE42315, DANRE15746
OG0000031	HELIO_02162	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	HELIO_03061, HELIO_11764, HELIO_06747	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000032	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	DANRE24197
OG0000034	HELIO_03040	DANRE35041
OG0000034	HELIO_11045	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	HELIO_10910	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	HELIO_05981	DANRE14484, DANRE09880, DANRE38036
OG0000034	HELIO_12487	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	HELIO_11629	DANRE04100
OG0000035	HELIO_04621	DANRE23313
OG0000035	HELIO_12501	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	HELIO_03534	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	HELIO_07811, HELIO_06366	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	HELIO_00732, HELIO_11539	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	HELIO_04984	DANRE38222, DANRE38223, DANRE12948
OG0000036	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	HELIO_07711	DANRE07186, DANRE30853
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	DANRE11991, DANRE38630
OG0000037	HELIO_01421	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	HELIO_01377	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	HELIO_04770	DANRE11315
OG0000038	HELIO_07209	DANRE41584
OG0000039	HELIO_01180	DANRE38069, DANRE38070
OG0000039	HELIO_00133	DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000043	HELIO_03541	DANRE43265
OG0000044	HELIO_05461	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000044	HELIO_08837	DANRE24280
OG0000046	HELIO_08475	DANRE15742
OG0000048	HELIO_10223	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	HELIO_03643	DANRE33718
OG0000048	HELIO_05568	DANRE19398
OG0000048	HELIO_08708	DANRE17556, DANRE05472
OG0000048	HELIO_05605	DANRE26183
OG0000050	HELIO_03827, HELIO_11651, HELIO_10651, HELIO_07585	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	DANRE06791, DANRE15743
OG0000056	HELIO_02100	DANRE40469
OG0000056	HELIO_05303	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	HELIO_03513	DANRE40924, DANRE40923
OG0000056	HELIO_07637	DANRE30239
OG0000057	HELIO_05858	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000059	HELIO_08348	DANRE23878, DANRE23877, DANRE23876
OG0000059	HELIO_07693, HELIO_05488	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	HELIO_02035	DANRE15035, DANRE15034, DANRE05268
OG0000060	HELIO_12113	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	HELIO_11204	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	HELIO_04007, HELIO_00294, HELIO_10663	DANRE26341, DANRE29170
OG0000062	HELIO_01760, HELIO_09809, HELIO_08709	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	HELIO_06316	DANRE18807, DANRE18806
OG0000063	HELIO_10147	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	HELIO_12629	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	HELIO_04155	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000066	HELIO_11387	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	HELIO_09524, HELIO_08964	DANRE22551
OG0000069	HELIO_11698	DANRE26091
OG0000070	HELIO_00590, HELIO_05047, HELIO_00591	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330
OG0000072	HELIO_09782	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000072	HELIO_10131	DANRE08498, DANRE08497, DANRE06006
OG0000072	HELIO_05118, HELIO_10379	DANRE05807
OG0000073	HELIO_07437	DANRE23044, DANRE24104, DANRE24103, DANRE27229, DANRE39355, DANRE27228, DANRE27227, DANRE24102, DANRE30709, DANRE30708, DANRE12382
OG0000074	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590
OG0000074	HELIO_06403	DANRE17935
OG0000074	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885	DANRE25680
OG0000075	HELIO_02705	DANRE03709, DANRE26359, DANRE26360
OG0000075	HELIO_12175	DANRE41686, DANRE41687, DANRE35873, DANRE35872
OG0000075	HELIO_01007	DANRE23134, DANRE23133
OG0000075	HELIO_07086	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	HELIO_01193	DANRE41688, DANRE23132
OG0000075	HELIO_09567	DANRE30937, DANRE41300
OG0000075	HELIO_05177	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483
OG0000075	HELIO_00684	DANRE31021, DANRE31022
OG0000077	HELIO_05657	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	HELIO_00295	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657
OG0000077	HELIO_12145	DANRE33612, DANRE00616, DANRE33611, DANRE33613, DANRE17597, DANRE11294, DANRE11293
OG0000078	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000079	HELIO_01794, HELIO_05740	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	HELIO_00549	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813
OG0000079	HELIO_01744, HELIO_07509	DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	HELIO_12249	DANRE33308
OG0000082	HELIO_08556	DANRE06377
OG0000082	HELIO_06503, HELIO_04026, HELIO_02219	DANRE00971
OG0000082	HELIO_05158	DANRE08031, DANRE29358, DANRE29356, DANRE29359, DANRE00970
OG0000085	HELIO_02405	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947
OG0000085	HELIO_05344	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408
OG0000085	HELIO_11582	DANRE14204, DANRE04562
OG0000087	HELIO_02847, HELIO_02846	DANRE37955
OG0000087	HELIO_00773	DANRE02654, DANRE02653
OG0000087	HELIO_06633	DANRE22805, DANRE22804
OG0000087	HELIO_01983	DANRE24820, DANRE24821
OG0000087	HELIO_06411, HELIO_07580	DANRE42134
OG0000088	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035
OG0000089	HELIO_06684, HELIO_10658	DANRE00866, DANRE06893, DANRE01120, DANRE01121, DANRE24411, DANRE18395, DANRE18394, DANRE18393
OG0000090	HELIO_12415	DANRE14575, DANRE14574, DANRE08600, DANRE08601
OG0000090	HELIO_03859, HELIO_12616	DANRE14775, DANRE14776
OG0000091	HELIO_06609	DANRE19328, DANRE19327, DANRE19329
OG0000093	HELIO_04928, HELIO_06889	DANRE38668, DANRE18559, DANRE12452, DANRE31410, DANRE31411, DANRE36972
OG0000094	HELIO_07015	DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286
OG0000094	HELIO_03878	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591
OG0000096	HELIO_07466	DANRE06854, DANRE41409, DANRE15329, DANRE13475
OG0000096	HELIO_03681	DANRE40526, DANRE02165, DANRE31394, DANRE31393
OG0000096	HELIO_03321	DANRE36045, DANRE24893
OG0000096	HELIO_06897	DANRE14485
OG0000096	HELIO_03947	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947
OG0000096	HELIO_09595	DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000098	HELIO_07543	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851
OG0000098	HELIO_00467, HELIO_11416	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953
OG0000099	HELIO_00318, HELIO_06995	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829
OG0000101	HELIO_03317	DANRE38569, DANRE26131, DANRE26132
OG0000101	HELIO_11521	DANRE23836
OG0000101	HELIO_06274, HELIO_11624, HELIO_06876	DANRE42773, DANRE42772, DANRE21261, DANRE21260, DANRE42774
OG0000102	HELIO_08564	DANRE11526, DANRE22227, DANRE22226
OG0000103	HELIO_03996	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772
OG0000103	HELIO_12543	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633
OG0000104	HELIO_04946	DANRE13410, DANRE13408, DANRE13409, DANRE13411, DANRE00019, DANRE00018, DANRE10295, DANRE10293, DANRE10294, DANRE10296
OG0000104	HELIO_03807	DANRE08585, DANRE42030, DANRE42031, DANRE42032, DANRE42033, DANRE35890, DANRE03855
OG0000104	HELIO_05172	DANRE00020, DANRE00021, DANRE13407
OG0000104	HELIO_02282	DANRE42503, DANRE42504
OG0000104	HELIO_00006	DANRE02766, DANRE02765, DANRE02767, DANRE30903, DANRE39783
OG0000106	HELIO_02364	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604
OG0000106	HELIO_07474	DANRE26909
OG0000106	HELIO_05614, HELIO_10877	DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822
OG0000107	HELIO_04878	DANRE26157, DANRE26076
OG0000110	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191, HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452	DANRE11747, DANRE11748, DANRE11749
OG0000113	HELIO_06754	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415
OG0000113	HELIO_04446, HELIO_08405	DANRE12503, DANRE12504, DANRE12502
OG0000114	HELIO_10462, HELIO_00027, HELIO_06292	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942
OG0000115	HELIO_10283, HELIO_10284	DANRE39333, DANRE39334, DANRE39292
OG0000116	HELIO_08217, HELIO_10553	DANRE10733
OG0000117	HELIO_01494	DANRE35421
OG0000119	HELIO_09291	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249
OG0000119	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015	DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167
OG0000119	HELIO_08423, HELIO_01329	DANRE42690, DANRE42691, DANRE05898
OG0000121	HELIO_11384	DANRE15722, DANRE15721, DANRE15724, DANRE15723, DANRE06168, DANRE03946
OG0000121	HELIO_05376	DANRE23017
