Orthogroup	OWEFU	SACKO_ok
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037, SACKO_09441, SACKO_09449, SACKO_09439, SACKO_09461, SACKO_06966, SACKO_06947, SACKO_08105, SACKO_08147, SACKO_09870, SACKO_16092, SACKO_31551, SACKO_29003, SACKO_10634, SACKO_14937, SACKO_17414, SACKO_06936, SACKO_32656, SACKO_09455, SACKO_09442, SACKO_09453, SACKO_09445, SACKO_09444, SACKO_09452, SACKO_06943, SACKO_06984, SACKO_08621, SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257, SACKO_10784, SACKO_10786, SACKO_33738, SACKO_26423, SACKO_26460
OG0000014	OFUSG00805.1.p1	SACKO_13283
OG0000014	OFUSG25832.1.p1	SACKO_06958
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	SACKO_09494
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	SACKO_31697
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509
OG0000015	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000015	OFUSG21186.1.p1	SACKO_09394, SACKO_11453, SACKO_31684
OG0000016	OFUSG16773.1.p1	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1	SACKO_06844
OG0000016	OFUSG13895.1.p1	SACKO_23373, SACKO_07103, SACKO_18319
OG0000016	OFUSG11848.1.p1	SACKO_11717, SACKO_14898
OG0000016	OFUSG06227.1.p1	SACKO_26527
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	SACKO_06390, SACKO_25497, SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000018	OFUSG02956.1.p1	SACKO_12447
OG0000019	OFUSG14039.1.p1, OFUSG23776.1.p1	SACKO_05035
OG0000019	OFUSG08823.1.p1	SACKO_20530, SACKO_31918, SACKO_29250, SACKO_29837, SACKO_29254
OG0000019	OFUSG23567.1.p1, OFUSG09103.1.p1	SACKO_28153
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	SACKO_34115, SACKO_32997, SACKO_06343, SACKO_26551, SACKO_34158, SACKO_09261, SACKO_14219, SACKO_09585, SACKO_04627, SACKO_12671
OG0000019	OFUSG20813.1.p1, OFUSG20814.1.p1, OFUSG18686.1.p1	SACKO_03203
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	SACKO_23880
OG0000019	OFUSG19407.1.p1, OFUSG06826.1.p1	SACKO_20403, SACKO_20414
OG0000020	OFUSG13197.1.p1	SACKO_34195
OG0000020	OFUSG19131.1.p1	SACKO_22951
OG0000020	OFUSG13406.1.p1	SACKO_26124, SACKO_26857, SACKO_10515, SACKO_21519, SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	OFUSG14744.1.p1	SACKO_23553
OG0000020	OFUSG12274.1.p1, OFUSG12274.2.p1	SACKO_23513
OG0000021	OFUSG18643.1.p1	SACKO_33728, SACKO_24549
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	SACKO_32115
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	SACKO_15594
OG0000021	OFUSG13532.1.p1, OFUSG13532.2.p1	SACKO_12803
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	SACKO_25838
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640
OG0000023	OFUSG06069.1.p1	SACKO_10529
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	SACKO_06926
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	SACKO_14770, SACKO_29082, SACKO_29077, SACKO_02636, SACKO_32832, SACKO_04746, SACKO_21615, SACKO_02641, SACKO_06924
OG0000026	OFUSG07096.1.p1, OFUSG14450.1.p1, OFUSG11988.1.p1, OFUSG07552.1.p1, OFUSG06751.1.p1, OFUSG08116.1.p1, OFUSG06159.1.p1, OFUSG25623.1.p1	SACKO_19144
OG0000026	OFUSG24983.1.p1, OFUSG24982.1.p1, OFUSG22806.1.p1, OFUSG15814.1.p1, OFUSG04509.1.p1, OFUSG25030.1.p1, OFUSG08716.1.p1, OFUSG23811.1.p1, OFUSG07410.1.p1, OFUSG07411.1.p1, OFUSG02117.1.p1, OFUSG04992.1.p1, OFUSG04993.1.p1, OFUSG22113.1.p1, OFUSG23954.1.p1, OFUSG23953.1.p1, OFUSG15116.1.p1, OFUSG02635.1.p1, OFUSG07188.1.p1, OFUSG14518.1.p1, OFUSG06741.1.p1, OFUSG04994.1.p1, OFUSG10925.1.p1	SACKO_04600
OG0000026	OFUSG26427.1.p1	SACKO_23233
OG0000026	OFUSG00817.1.p1	SACKO_30546, SACKO_02606, SACKO_02595, SACKO_02609, SACKO_24097
OG0000026	OFUSG25446.1.p1	SACKO_15830
OG0000026	OFUSG24229.1.p1	SACKO_24091
OG0000027	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136
OG0000027	OFUSG21901.2.p1, OFUSG21901.1.p1	SACKO_02698
OG0000028	OFUSG05527.1.p1, OFUSG03389.1.p1	SACKO_21693, SACKO_21697, SACKO_31574, SACKO_31841, SACKO_05910, SACKO_09884, SACKO_09873, SACKO_09880, SACKO_34223, SACKO_34222, SACKO_34227
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	SACKO_00730, SACKO_00734, SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	SACKO_00054, SACKO_29910
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407
OG0000028	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1	SACKO_04520
OG0000029	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1	SACKO_10012, SACKO_10033
OG0000029	OFUSG06802.1.p1	SACKO_27642, SACKO_27630, SACKO_27646, SACKO_08652, SACKO_02246, SACKO_27633, SACKO_08653, SACKO_30490, SACKO_30494, SACKO_05717, SACKO_21895, SACKO_27648, SACKO_19028, SACKO_29723
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	SACKO_12540
OG0000029	OFUSG21155.1.p1	SACKO_07374
OG0000029	OFUSG16858.1.p1	SACKO_15001
OG0000029	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1	SACKO_26681, SACKO_26700, SACKO_26680, SACKO_26670, SACKO_26667, SACKO_25014, SACKO_14195
OG0000030	OFUSG16143.1.p1	SACKO_06190, SACKO_06196
OG0000030	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1	SACKO_22667, SACKO_24779, SACKO_06416, SACKO_06421
OG0000030	OFUSG07789.1.p1, OFUSG07787.1.p1	SACKO_06188, SACKO_06167, SACKO_15139, SACKO_15143
OG0000030	OFUSG04213.1.p1	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	OFUSG21119.1.p1	SACKO_23559
OG0000030	OFUSG17928.1.p1	SACKO_16655, SACKO_09928, SACKO_09940
OG0000030	OFUSG26562.1.p1, OFUSG14908.1.p1, OFUSG24122.1.p1, OFUSG13621.1.p1, OFUSG26418.1.p1, OFUSG03647.1.p1, OFUSG12449.1.p1, OFUSG03648.1.p1, OFUSG03242.1.p1	SACKO_31385, SACKO_04683, SACKO_04687, SACKO_04475
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	SACKO_26701
OG0000030	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	SACKO_18621
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	SACKO_18614
OG0000031	OFUSG09754.1.p1	SACKO_16512
OG0000031	OFUSG12627.1.p1	SACKO_21501
OG0000031	OFUSG02210.1.p1	SACKO_14417
OG0000031	OFUSG17671.1.p1	SACKO_32680
OG0000031	OFUSG16797.1.p1	SACKO_03088
OG0000032	OFUSG07861.1.p1	SACKO_26058
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	SACKO_02664
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	SACKO_08906
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	SACKO_19192
OG0000034	OFUSG08780.1.p1	SACKO_16505
OG0000034	OFUSG00313.1.p1	SACKO_05860
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	SACKO_20630, SACKO_18516
OG0000034	OFUSG08088.1.p1	SACKO_18648
OG0000034	OFUSG09735.1.p1	SACKO_20915
OG0000035	OFUSG08016.1.p1, OFUSG08016.2.p1	SACKO_31939
OG0000035	OFUSG16461.1.p1	SACKO_02558
OG0000035	OFUSG07703.1.p1	SACKO_31936
OG0000035	OFUSG09470.1.p1	SACKO_19408
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	SACKO_12639
OG0000035	OFUSG07851.1.p1	SACKO_13246
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	SACKO_16912, SACKO_19307, SACKO_22660
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	SACKO_07333, SACKO_04598, SACKO_31940, SACKO_31943, SACKO_08422
OG0000036	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	SACKO_28321
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	SACKO_21179, SACKO_14647, SACKO_15030, SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	OFUSG05272.1.p1	SACKO_28315
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	SACKO_22630
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	SACKO_05171
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956
OG0000038	OFUSG15211.1.p1	SACKO_01199
OG0000038	OFUSG08090.1.p1	SACKO_30496
OG0000038	OFUSG09678.1.p1, OFUSG15797.1.p1	SACKO_08733
OG0000038	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1	SACKO_08703
OG0000038	OFUSG04771.1.p1	SACKO_00016
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	SACKO_05258, SACKO_05271
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	SACKO_24480
OG0000039	OFUSG05314.1.p1	SACKO_16726
OG0000039	OFUSG13135.1.p1	SACKO_22588
OG0000039	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1	SACKO_15245
OG0000040	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1	SACKO_01629, SACKO_21533
OG0000041	OFUSG07896.1.p1	SACKO_08282
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	SACKO_06515
OG0000043	OFUSG12022.1.p1	SACKO_16081, SACKO_11560, SACKO_06732, SACKO_06744, SACKO_30022, SACKO_28017, SACKO_06742, SACKO_06747, SACKO_06718, SACKO_22845, SACKO_22851, SACKO_06719, SACKO_27090, SACKO_10903, SACKO_10887, SACKO_10910, SACKO_10918, SACKO_27578, SACKO_10867, SACKO_10904, SACKO_27580, SACKO_10923, SACKO_10919, SACKO_06713, SACKO_06727, SACKO_06759, SACKO_00470
OG0000043	OFUSG22688.1.p1	SACKO_11078
OG0000044	OFUSG03166.1.p1	SACKO_11589
OG0000045	OFUSG07521.1.p1	SACKO_19853
OG0000045	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1	SACKO_32920
OG0000045	OFUSG07523.1.p1	SACKO_19866, SACKO_19846
OG0000045	OFUSG18977.1.p1	SACKO_03986, SACKO_29244
OG0000045	OFUSG07701.1.p1	SACKO_22441
OG0000046	OFUSG14160.1.p1	SACKO_04617
OG0000046	OFUSG10763.1.p1, OFUSG10761.1.p1	SACKO_30288
OG0000048	OFUSG15815.1.p1	SACKO_10818
OG0000048	OFUSG16887.1.p1	SACKO_29264
OG0000048	OFUSG15705.1.p1	SACKO_04413
OG0000048	OFUSG19541.1.p1	SACKO_24161
OG0000048	OFUSG11584.1.p1	SACKO_12018
OG0000048	OFUSG11587.1.p1	SACKO_03133
OG0000048	OFUSG11562.2.p1, OFUSG11562.1.p1	SACKO_17673
OG0000048	OFUSG07757.1.p1, OFUSG07755.1.p1, OFUSG07756.1.p1, OFUSG07755.2.p2, OFUSG07756.2.p1, OFUSG07027.1.p1	SACKO_04525, SACKO_04530, SACKO_31187
OG0000048	OFUSG04756.1.p1	SACKO_29639
OG0000049	OFUSG00390.1.p1	SACKO_08936
OG0000049	OFUSG06038.1.p1	SACKO_25469
OG0000049	OFUSG14032.1.p1, OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1	SACKO_25472
OG0000049	OFUSG23568.1.p1, OFUSG21437.1.p1	SACKO_03908
